"site","Id","raw_state","period_source_start","period_source_end","behavior_source_row","expected_minutes","projected_minutes","valid_minutes","brown_yes","timestamp_and_count_exact"
"BAUA","BAUA_S005","wake",32,33,32,759,759,616,166,TRUE
"BAUA","BAUA_S005","wake",33,34,33,834,834,834,108,TRUE
"BAUA","BAUA_S005","wake",34,35,34,714,714,714,14,TRUE
"BAUA","BAUA_S005","wake",35,36,35,785,785,0,0,TRUE
"BAUA","BAUA_S006","wake",37,38,37,805,805,775,492,TRUE
"BAUA","BAUA_S006","wake",38,39,38,915,915,915,431,TRUE
"BAUA","BAUA_S006","wake",39,40,39,970,970,919,343,TRUE
"BAUA","BAUA_S006","wake",40,41,40,830,830,0,0,TRUE
"BAUA","BAUA_S008","wake",50,51,50,750,750,750,75,TRUE
"BAUA","BAUA_S008","wake",51,52,51,732,732,732,10,TRUE
"BAUA","BAUA_S008","wake",52,53,52,743,743,743,2,TRUE
"BAUA","BAUA_S008","wake",53,54,53,758,758,758,9,TRUE
"BAUA","BAUA_S008","wake",54,55,54,687,687,687,15,TRUE
"BAUA","BAUA_S008","wake",55,56,55,666,666,666,18,TRUE
"BAUA","BAUA_S009","wake",57,58,57,1051,1051,935,679,TRUE
"BAUA","BAUA_S009","wake",58,59,58,659,659,659,339,TRUE
"BAUA","BAUA_S009","wake",59,60,59,913,913,877,506,TRUE
"BAUA","BAUA_S009","wake",60,61,60,815,815,815,472,TRUE
"BAUA","BAUA_S009","wake",61,62,61,821,821,821,681,TRUE
"BAUA","BAUA_S009","wake",62,63,62,797,797,797,486,TRUE
"BAUA","BAUA_S010","wake",65,66,65,840,840,743,156,TRUE
"BAUA","BAUA_S010","wake",66,67,66,690,690,690,31,TRUE
"BAUA","BAUA_S010","wake",67,68,67,835,835,0,0,TRUE
"BAUA","BAUA_S012","wake",75,76,75,844,844,0,0,TRUE
"BAUA","BAUA_S012","wake",76,77,76,754,754,713,13,TRUE
"BAUA","BAUA_S012","wake",77,78,77,626,626,578,256,TRUE
"BAUA","BAUA_S012","wake",78,79,78,782,782,782,334,TRUE
"BAUA","BAUA_S012","wake",79,80,79,667,667,610,0,TRUE
"BAUA","BAUA_S012","wake",80,81,80,598,598,546,426,TRUE
"BAUA","BAUA_S013","wake",82,83,82,860,860,0,0,TRUE
"BAUA","BAUA_S013","wake",84,85,84,710,710,710,287,TRUE
"BAUA","BAUA_S013","wake",85,86,85,702,702,700,329,TRUE
"BAUA","BAUA_S013","wake",86,87,86,840,840,840,282,TRUE
"BAUA","BAUA_S013","wake",87,88,87,749,749,698,191,TRUE
"BAUA","BAUA_S014","wake",89,90,89,871,871,871,284,TRUE
"BAUA","BAUA_S014","wake",90,91,90,831,831,831,261,TRUE
"BAUA","BAUA_S014","wake",91,92,91,873,873,873,484,TRUE
"BAUA","BAUA_S014","wake",92,93,92,904,904,904,202,TRUE
"BAUA","BAUA_S014","wake",93,94,93,632,632,632,518,TRUE
"BAUA","BAUA_S014","wake",94,95,94,808,808,808,364,TRUE
"BAUA","BAUA_S015","wake",96,97,96,760,760,0,0,TRUE
"BAUA","BAUA_S015","wake",97,98,97,785,785,757,492,TRUE
"BAUA","BAUA_S015","wake",98,99,98,770,770,707,192,TRUE
"BAUA","BAUA_S015","wake",99,100,99,754,754,566,193,TRUE
"BAUA","BAUA_S015","wake",100,101,100,610,610,610,128,TRUE
"BAUA","BAUA_S015","wake",101,102,101,605,605,548,112,TRUE
"BAUA","BAUA_S015","wake",102,103,102,890,890,654,20,TRUE
"BAUA","BAUA_S016","wake",104,105,104,770,770,601,56,TRUE
"BAUA","BAUA_S016","wake",105,106,105,758,758,655,71,TRUE
"BAUA","BAUA_S016","wake",106,107,106,807,807,788,49,TRUE
"BAUA","BAUA_S016","wake",107,108,107,730,730,612,55,TRUE
"BAUA","BAUA_S016","wake",108,109,108,649,649,552,87,TRUE
"BAUA","BAUA_S016","wake",109,110,109,760,760,627,40,TRUE
"BAUA","BAUA_S017","wake",111,112,111,903,903,903,112,TRUE
"BAUA","BAUA_S017","wake",112,113,112,495,495,495,236,TRUE
"BAUA","BAUA_S017","wake",113,114,113,701,701,701,217,TRUE
"BAUA","BAUA_S017","wake",114,115,114,850,850,850,431,TRUE
"BAUA","BAUA_S017","wake",115,116,115,872,872,788,130,TRUE
"BAUA","BAUA_S017","wake",116,117,116,638,638,638,236,TRUE
"BAUA","BAUA_S018","wake",118,119,118,805,805,0,0,TRUE
"BAUA","BAUA_S018","wake",119,120,119,750,750,750,133,TRUE
"BAUA","BAUA_S018","wake",120,121,120,805,805,805,141,TRUE
"BAUA","BAUA_S018","wake",121,122,121,910,910,876,76,TRUE
"BAUA","BAUA_S018","wake",122,123,122,800,800,711,97,TRUE
"BAUA","BAUA_S022","wake",125,126,125,815,815,815,153,TRUE
"BAUA","BAUA_S022","wake",127,128,127,700,700,700,289,TRUE
"BAUA","BAUA_S022","wake",128,129,128,615,615,615,366,TRUE
"BAUA","BAUA_S022","wake",129,130,129,735,735,735,166,TRUE
"BAUA","BAUA_S023","wake",131,132,131,865,865,865,165,TRUE
"BAUA","BAUA_S023","wake",132,133,132,780,780,780,185,TRUE
"BAUA","BAUA_S023","wake",133,134,133,840,840,840,130,TRUE
"BAUA","BAUA_S023","wake",134,135,134,709,709,709,186,TRUE
"BAUA","BAUA_S023","wake",135,136,135,695,695,695,90,TRUE
"BAUA","BAUA_S023","wake",136,137,136,880,880,880,332,TRUE
"BAUA","BAUA_S024","wake",138,139,138,740,740,740,10,TRUE
"BAUA","BAUA_S024","wake",139,140,139,710,710,710,8,TRUE
"BAUA","BAUA_S024","wake",140,141,140,705,705,542,38,TRUE
"BAUA","BAUA_S024","wake",141,142,141,600,600,586,3,TRUE
"BAUA","BAUA_S024","wake",142,143,142,623,623,609,155,TRUE
"BAUA","BAUA_S024","wake",143,144,143,662,662,635,171,TRUE
"BAUA","BAUA_S025","wake",145,146,145,831,831,802,162,TRUE
"BAUA","BAUA_S025","wake",146,147,146,735,735,701,0,TRUE
"BAUA","BAUA_S025","wake",148,149,148,690,690,690,137,TRUE
"FUSPCEU","FUSPCEU_S003","wake",1,2,1,750,750,679,39,TRUE
"FUSPCEU","FUSPCEU_S003","wake",2,3,2,800,800,755,222,TRUE
"FUSPCEU","FUSPCEU_S003","wake",3,4,3,795,795,795,386,TRUE
"FUSPCEU","FUSPCEU_S003","wake",4,5,4,790,790,790,77,TRUE
"FUSPCEU","FUSPCEU_S003","wake",5,6,5,925,925,925,34,TRUE
"FUSPCEU","FUSPCEU_S003","wake",6,7,6,830,830,830,142,TRUE
"FUSPCEU","FUSPCEU_S004","wake",8,9,8,754,754,754,51,TRUE
"FUSPCEU","FUSPCEU_S004","wake",9,10,9,779,779,779,38,TRUE
"FUSPCEU","FUSPCEU_S004","wake",10,11,10,655,655,0,0,TRUE
"FUSPCEU","FUSPCEU_S004","wake",11,12,11,904,904,904,299,TRUE
"FUSPCEU","FUSPCEU_S004","wake",12,13,12,764,764,602,5,TRUE
"FUSPCEU","FUSPCEU_S004","wake",13,14,13,744,744,744,372,TRUE
"FUSPCEU","FUSPCEU_S005","wake",15,16,15,685,685,685,385,TRUE
"FUSPCEU","FUSPCEU_S005","wake",16,17,16,705,705,554,48,TRUE
"FUSPCEU","FUSPCEU_S005","wake",17,18,17,720,720,589,17,TRUE
"FUSPCEU","FUSPCEU_S005","wake",18,19,18,840,840,839,403,TRUE
"FUSPCEU","FUSPCEU_S006","wake",21,22,21,755,755,683,73,TRUE
"FUSPCEU","FUSPCEU_S006","wake",22,23,22,743,743,701,194,TRUE
"FUSPCEU","FUSPCEU_S006","wake",23,24,23,730,730,730,92,TRUE
"FUSPCEU","FUSPCEU_S006","wake",24,25,24,840,840,769,200,TRUE
"FUSPCEU","FUSPCEU_S006","wake",25,26,25,1140,1140,919,207,TRUE
"FUSPCEU","FUSPCEU_S006","wake",26,27,26,574,574,0,0,TRUE
"FUSPCEU","FUSPCEU_S007","wake",28,29,28,765,765,735,325,TRUE
"FUSPCEU","FUSPCEU_S007","wake",29,30,29,795,795,780,118,TRUE
"FUSPCEU","FUSPCEU_S007","wake",30,31,30,780,780,728,207,TRUE
"FUSPCEU","FUSPCEU_S007","wake",31,32,31,705,705,671,165,TRUE
"FUSPCEU","FUSPCEU_S007","wake",32,33,32,640,640,640,192,TRUE
"FUSPCEU","FUSPCEU_S007","wake",33,34,33,675,675,675,233,TRUE
"FUSPCEU","FUSPCEU_S008","wake",35,36,35,810,810,810,314,TRUE
"FUSPCEU","FUSPCEU_S008","wake",36,37,36,794,794,794,348,TRUE
"FUSPCEU","FUSPCEU_S008","wake",37,38,37,785,785,785,291,TRUE
"FUSPCEU","FUSPCEU_S008","wake",38,39,38,875,875,875,105,TRUE
"FUSPCEU","FUSPCEU_S008","wake",39,40,39,1019,1019,1019,0,TRUE
"FUSPCEU","FUSPCEU_S008","wake",40,41,40,600,600,600,0,TRUE
"FUSPCEU","FUSPCEU_S009","wake",42,43,42,765,765,765,323,TRUE
"FUSPCEU","FUSPCEU_S009","wake",43,44,43,805,805,805,222,TRUE
"FUSPCEU","FUSPCEU_S009","wake",44,45,44,812,812,812,402,TRUE
"FUSPCEU","FUSPCEU_S009","wake",45,46,45,855,855,855,187,TRUE
"FUSPCEU","FUSPCEU_S009","wake",46,47,46,736,736,736,106,TRUE
"FUSPCEU","FUSPCEU_S009","wake",47,48,47,682,682,682,117,TRUE
"FUSPCEU","FUSPCEU_S010","wake",49,50,49,750,750,723,537,TRUE
"FUSPCEU","FUSPCEU_S010","wake",50,51,50,750,750,750,438,TRUE
"FUSPCEU","FUSPCEU_S010","wake",51,52,51,780,780,780,319,TRUE
"FUSPCEU","FUSPCEU_S010","wake",52,53,52,850,850,0,0,TRUE
"FUSPCEU","FUSPCEU_S011","wake",56,57,56,765,765,765,285,TRUE
"FUSPCEU","FUSPCEU_S011","wake",57,58,57,810,810,810,145,TRUE
"FUSPCEU","FUSPCEU_S011","wake",58,59,58,734,734,734,61,TRUE
"FUSPCEU","FUSPCEU_S011","wake",59,60,59,960,960,0,0,TRUE
"FUSPCEU","FUSPCEU_S012","wake",62,63,62,680,680,680,183,TRUE
"FUSPCEU","FUSPCEU_S012","wake",63,64,63,710,710,710,360,TRUE
"FUSPCEU","FUSPCEU_S012","wake",64,65,64,759,759,759,453,TRUE
"FUSPCEU","FUSPCEU_S012","wake",65,66,65,565,565,565,57,TRUE
"FUSPCEU","FUSPCEU_S012","wake",66,67,66,570,570,570,12,TRUE
"FUSPCEU","FUSPCEU_S012","wake",67,68,67,548,548,548,0,TRUE
"FUSPCEU","FUSPCEU_S013","wake",69,70,69,882,882,882,200,TRUE
"FUSPCEU","FUSPCEU_S013","wake",70,71,70,852,852,852,246,TRUE
"FUSPCEU","FUSPCEU_S013","wake",71,72,71,800,800,800,149,TRUE
"FUSPCEU","FUSPCEU_S013","wake",72,73,72,806,806,806,213,TRUE
"FUSPCEU","FUSPCEU_S013","wake",73,74,73,795,795,795,141,TRUE
"FUSPCEU","FUSPCEU_S013","wake",74,75,74,730,730,730,59,TRUE
"FUSPCEU","FUSPCEU_S014","wake",76,77,76,870,870,0,0,TRUE
"FUSPCEU","FUSPCEU_S014","wake",77,78,77,900,900,900,186,TRUE
"FUSPCEU","FUSPCEU_S014","wake",78,79,78,860,860,828,264,TRUE
"FUSPCEU","FUSPCEU_S014","wake",79,80,79,870,870,870,278,TRUE
"FUSPCEU","FUSPCEU_S014","wake",80,81,80,800,800,679,108,TRUE
"FUSPCEU","FUSPCEU_S014","wake",81,82,81,740,740,634,111,TRUE
"FUSPCEU","FUSPCEU_S015","wake",83,84,83,845,845,845,55,TRUE
"FUSPCEU","FUSPCEU_S015","wake",84,85,84,845,845,845,260,TRUE
"FUSPCEU","FUSPCEU_S015","wake",85,86,85,879,879,879,170,TRUE
"FUSPCEU","FUSPCEU_S015","wake",86,87,86,767,767,767,78,TRUE
"FUSPCEU","FUSPCEU_S015","wake",87,88,87,815,815,748,105,TRUE
"FUSPCEU","FUSPCEU_S015","wake",88,89,88,670,670,670,36,TRUE
"FUSPCEU","FUSPCEU_S016","wake",90,91,90,742,742,705,82,TRUE
"FUSPCEU","FUSPCEU_S016","wake",91,92,91,840,840,0,0,TRUE
"FUSPCEU","FUSPCEU_S016","wake",92,93,92,645,645,563,120,TRUE
"FUSPCEU","FUSPCEU_S016","wake",93,94,93,630,630,630,39,TRUE
"FUSPCEU","FUSPCEU_S016","wake",94,95,94,811,811,709,16,TRUE
"FUSPCEU","FUSPCEU_S017","wake",96,97,96,685,685,685,100,TRUE
"FUSPCEU","FUSPCEU_S017","wake",97,98,97,713,713,713,133,TRUE
"FUSPCEU","FUSPCEU_S017","wake",98,99,98,577,577,577,9,TRUE
"FUSPCEU","FUSPCEU_S017","wake",99,100,99,553,553,352,69,TRUE
"FUSPCEU","FUSPCEU_S018","wake",101,102,101,497,497,497,13,TRUE
"FUSPCEU","FUSPCEU_S018","wake",102,103,102,493,493,493,44,TRUE
"FUSPCEU","FUSPCEU_S018","wake",103,104,103,509,509,429,8,TRUE
"FUSPCEU","FUSPCEU_S019","wake",105,106,105,690,690,690,84,TRUE
"FUSPCEU","FUSPCEU_S019","wake",106,107,106,690,690,690,44,TRUE
"FUSPCEU","FUSPCEU_S019","wake",107,108,107,646,646,646,0,TRUE
"FUSPCEU","FUSPCEU_S019","wake",108,109,108,795,795,795,39,TRUE
"FUSPCEU","FUSPCEU_S019","wake",109,110,109,705,705,705,40,TRUE
"FUSPCEU","FUSPCEU_S019","wake",110,111,110,625,625,625,72,TRUE
"FUSPCEU","FUSPCEU_S020","wake",112,113,112,810,810,810,151,TRUE
"FUSPCEU","FUSPCEU_S020","wake",113,114,113,740,740,740,269,TRUE
"FUSPCEU","FUSPCEU_S020","wake",114,115,114,930,930,930,188,TRUE
"FUSPCEU","FUSPCEU_S020","wake",115,116,115,680,680,680,124,TRUE
"FUSPCEU","FUSPCEU_S020","wake",116,117,116,1057,1057,1057,71,TRUE
"FUSPCEU","FUSPCEU_S020","wake",117,118,117,472,472,472,15,TRUE
"FUSPCEU","FUSPCEU_S022","wake",124,125,124,660,660,660,114,TRUE
"FUSPCEU","FUSPCEU_S022","wake",125,126,125,735,735,735,199,TRUE
"FUSPCEU","FUSPCEU_S022","wake",126,127,126,720,720,720,8,TRUE
"FUSPCEU","FUSPCEU_S022","wake",127,128,127,790,790,790,194,TRUE
"FUSPCEU","FUSPCEU_S022","wake",128,129,128,690,690,690,77,TRUE
"FUSPCEU","FUSPCEU_S022","wake",129,130,129,615,615,615,20,TRUE
"FUSPCEU","FUSPCEU_S023","wake",131,132,131,617,617,617,129,TRUE
"FUSPCEU","FUSPCEU_S023","wake",132,133,132,868,868,868,143,TRUE
"FUSPCEU","FUSPCEU_S023","wake",133,134,133,885,885,885,274,TRUE
"FUSPCEU","FUSPCEU_S023","wake",134,135,134,798,798,798,138,TRUE
"FUSPCEU","FUSPCEU_S024","wake",136,137,136,900,900,890,199,TRUE
"FUSPCEU","FUSPCEU_S024","wake",137,138,137,855,855,765,267,TRUE
"FUSPCEU","FUSPCEU_S024","wake",138,139,138,825,825,735,215,TRUE
"FUSPCEU","FUSPCEU_S024","wake",139,140,139,1145,1145,140,0,TRUE
"FUSPCEU","FUSPCEU_S024","wake",140,141,140,750,750,750,2,TRUE
"FUSPCEU","FUSPCEU_S024","wake",141,142,141,630,630,630,3,TRUE
"FUSPCEU","FUSPCEU_S025","wake",143,144,143,780,780,676,268,TRUE
"FUSPCEU","FUSPCEU_S025","wake",144,145,144,750,750,738,342,TRUE
"FUSPCEU","FUSPCEU_S025","wake",145,146,145,800,800,788,241,TRUE
"FUSPCEU","FUSPCEU_S025","wake",146,147,146,882,882,0,0,TRUE
"FUSPCEU","FUSPCEU_S025","wake",147,148,147,825,825,0,0,TRUE
"FUSPCEU","FUSPCEU_S025","wake",148,149,148,678,678,435,140,TRUE
"IZTECH","IZTECH_S001","wake",1,2,1,1230,1230,90,0,TRUE
"IZTECH","IZTECH_S001","wake",2,3,2,1040,1040,1040,0,TRUE
"IZTECH","IZTECH_S001","wake",3,4,3,780,780,780,2,TRUE
"IZTECH","IZTECH_S001","wake",4,5,4,904,904,879,0,TRUE
"IZTECH","IZTECH_S001","wake",5,6,5,755,755,755,105,TRUE
"IZTECH","IZTECH_S001","wake",6,7,6,765,765,765,101,TRUE
"IZTECH","IZTECH_S001","wake",7,8,7,665,665,665,13,TRUE
"IZTECH","IZTECH_S001","wake",8,9,8,760,760,695,128,TRUE
"IZTECH","IZTECH_S002","wake",10,11,10,900,900,0,0,TRUE
"IZTECH","IZTECH_S002","wake",11,12,11,710,710,667,29,TRUE
"IZTECH","IZTECH_S002","wake",12,13,12,758,758,758,53,TRUE
"IZTECH","IZTECH_S002","wake",13,14,13,618,618,618,66,TRUE
"IZTECH","IZTECH_S002","wake",14,15,14,615,615,393,71,TRUE
"IZTECH","IZTECH_S002","wake",15,16,15,656,656,656,52,TRUE
"IZTECH","IZTECH_S002","wake",16,17,16,640,640,640,24,TRUE
"IZTECH","IZTECH_S003","wake",18,19,18,796,796,0,0,TRUE
"IZTECH","IZTECH_S003","wake",19,20,19,590,590,590,29,TRUE
"IZTECH","IZTECH_S003","wake",20,21,20,870,870,870,31,TRUE
"IZTECH","IZTECH_S003","wake",21,22,21,750,750,750,44,TRUE
"IZTECH","IZTECH_S003","wake",22,23,22,870,870,870,58,TRUE
"IZTECH","IZTECH_S003","wake",23,24,23,650,650,612,3,TRUE
"IZTECH","IZTECH_S003","wake",24,25,24,748,748,748,40,TRUE
"IZTECH","IZTECH_S004","wake",26,27,26,750,750,0,0,TRUE
"IZTECH","IZTECH_S004","wake",27,28,27,780,780,743,53,TRUE
"IZTECH","IZTECH_S004","wake",28,29,28,765,765,765,173,TRUE
"IZTECH","IZTECH_S004","wake",29,30,29,750,750,750,184,TRUE
"IZTECH","IZTECH_S004","wake",30,31,30,755,755,755,137,TRUE
"IZTECH","IZTECH_S004","wake",31,32,31,780,780,780,40,TRUE
"IZTECH","IZTECH_S004","wake",32,33,32,720,720,675,134,TRUE
"IZTECH","IZTECH_S005","wake",34,35,34,810,810,0,0,TRUE
"IZTECH","IZTECH_S005","wake",35,36,35,745,745,745,108,TRUE
"IZTECH","IZTECH_S005","wake",36,37,36,730,730,676,27,TRUE
"IZTECH","IZTECH_S005","wake",37,38,37,685,685,685,133,TRUE
"IZTECH","IZTECH_S005","wake",38,39,38,795,795,782,151,TRUE
"IZTECH","IZTECH_S005","wake",39,40,39,735,735,735,1,TRUE
"IZTECH","IZTECH_S005","wake",40,41,40,695,695,668,130,TRUE
"IZTECH","IZTECH_S006","wake",42,43,42,860,860,0,0,TRUE
"IZTECH","IZTECH_S006","wake",43,44,43,850,850,850,128,TRUE
"IZTECH","IZTECH_S006","wake",44,45,44,865,865,865,340,TRUE
"IZTECH","IZTECH_S006","wake",45,46,45,850,850,850,283,TRUE
"IZTECH","IZTECH_S006","wake",46,47,46,795,795,707,51,TRUE
"IZTECH","IZTECH_S006","wake",47,48,47,1015,1015,1015,122,TRUE
"IZTECH","IZTECH_S006","wake",48,49,48,640,640,640,15,TRUE
"IZTECH","IZTECH_S007","wake",50,51,50,780,780,0,0,TRUE
"IZTECH","IZTECH_S007","wake",51,52,51,776,776,689,94,TRUE
"IZTECH","IZTECH_S007","wake",52,53,52,759,759,670,116,TRUE
"IZTECH","IZTECH_S007","wake",53,54,53,695,695,695,109,TRUE
"IZTECH","IZTECH_S007","wake",54,55,54,757,757,757,93,TRUE
"IZTECH","IZTECH_S007","wake",55,56,55,715,715,536,45,TRUE
"IZTECH","IZTECH_S007","wake",56,57,56,719,719,719,0,TRUE
"IZTECH","IZTECH_S008","wake",58,59,58,775,775,0,0,TRUE
"IZTECH","IZTECH_S008","wake",59,60,59,645,645,640,122,TRUE
"IZTECH","IZTECH_S008","wake",60,61,60,897,897,850,84,TRUE
"IZTECH","IZTECH_S008","wake",61,62,61,670,670,640,224,TRUE
"IZTECH","IZTECH_S008","wake",62,63,62,660,660,633,75,TRUE
"IZTECH","IZTECH_S008","wake",63,64,63,570,570,0,0,TRUE
"IZTECH","IZTECH_S008","wake",64,65,64,823,823,823,78,TRUE
"IZTECH","IZTECH_S009","wake",67,68,67,815,815,756,249,TRUE
"IZTECH","IZTECH_S009","wake",68,69,68,759,759,646,21,TRUE
"IZTECH","IZTECH_S009","wake",69,70,69,810,810,647,147,TRUE
"IZTECH","IZTECH_S009","wake",70,71,70,727,727,0,0,TRUE
"IZTECH","IZTECH_S009","wake",71,72,71,597,597,505,104,TRUE
"IZTECH","IZTECH_S009","wake",72,73,72,592,592,592,15,TRUE
"IZTECH","IZTECH_S009","wake",73,74,73,782,782,688,256,TRUE
"IZTECH","IZTECH_S010","wake",75,76,75,840,840,0,0,TRUE
"IZTECH","IZTECH_S010","wake",76,77,76,915,915,845,133,TRUE
"IZTECH","IZTECH_S010","wake",77,78,77,795,795,795,66,TRUE
"IZTECH","IZTECH_S010","wake",78,79,78,890,890,731,46,TRUE
"IZTECH","IZTECH_S010","wake",79,80,79,780,780,711,87,TRUE
"IZTECH","IZTECH_S010","wake",80,81,80,825,825,754,341,TRUE
"IZTECH","IZTECH_S010","wake",81,82,81,870,870,780,293,TRUE
"IZTECH","IZTECH_S011","wake",83,84,83,915,915,0,0,TRUE
"IZTECH","IZTECH_S011","wake",84,85,84,840,840,840,365,TRUE
"IZTECH","IZTECH_S011","wake",85,86,85,900,900,890,295,TRUE
"IZTECH","IZTECH_S011","wake",86,87,86,860,860,860,444,TRUE
"IZTECH","IZTECH_S011","wake",87,88,87,900,900,844,316,TRUE
"IZTECH","IZTECH_S011","wake",88,89,88,915,915,915,149,TRUE
"IZTECH","IZTECH_S011","wake",89,90,89,750,750,750,85,TRUE
"IZTECH","IZTECH_S012","wake",91,92,91,858,858,0,0,TRUE
"IZTECH","IZTECH_S012","wake",93,94,93,716,716,716,104,TRUE
"IZTECH","IZTECH_S012","wake",94,95,94,785,785,785,311,TRUE
"IZTECH","IZTECH_S012","wake",95,96,95,776,776,776,30,TRUE
"IZTECH","IZTECH_S012","wake",96,97,96,830,830,830,92,TRUE
"IZTECH","IZTECH_S013","wake",98,99,98,772,772,36,0,TRUE
"IZTECH","IZTECH_S013","wake",99,100,99,960,960,920,223,TRUE
"IZTECH","IZTECH_S013","wake",100,101,100,516,516,516,44,TRUE
"IZTECH","IZTECH_S013","wake",101,102,101,1070,1070,1070,6,TRUE
"IZTECH","IZTECH_S013","wake",102,103,102,463,463,463,60,TRUE
"IZTECH","IZTECH_S013","wake",103,104,103,754,754,707,9,TRUE
"IZTECH","IZTECH_S013","wake",104,105,104,696,696,601,2,TRUE
"IZTECH","IZTECH_S014","wake",106,107,106,790,790,0,0,TRUE
"IZTECH","IZTECH_S014","wake",107,108,107,831,831,804,167,TRUE
"IZTECH","IZTECH_S014","wake",108,109,108,717,717,717,242,TRUE
"IZTECH","IZTECH_S014","wake",109,110,109,659,659,483,191,TRUE
"IZTECH","IZTECH_S014","wake",110,111,110,660,660,526,106,TRUE
"IZTECH","IZTECH_S014","wake",111,112,111,854,854,725,124,TRUE
"IZTECH","IZTECH_S014","wake",112,113,112,693,693,693,200,TRUE
"IZTECH","IZTECH_S015","wake",114,115,114,900,900,0,0,TRUE
"IZTECH","IZTECH_S015","wake",115,116,115,554,554,517,46,TRUE
"IZTECH","IZTECH_S015","wake",116,117,116,570,570,510,8,TRUE
"IZTECH","IZTECH_S015","wake",117,118,117,570,570,427,20,TRUE
"IZTECH","IZTECH_S015","wake",118,119,118,615,615,547,2,TRUE
"IZTECH","IZTECH_S015","wake",119,120,119,465,465,385,37,TRUE
"IZTECH","IZTECH_S015","wake",120,121,120,525,525,495,94,TRUE
"IZTECH","IZTECH_S016","wake",122,123,122,938,938,0,0,TRUE
"IZTECH","IZTECH_S016","wake",123,124,123,782,782,782,68,TRUE
"IZTECH","IZTECH_S016","wake",124,125,124,844,844,726,13,TRUE
"IZTECH","IZTECH_S016","wake",125,126,125,833,833,719,19,TRUE
"IZTECH","IZTECH_S016","wake",126,127,126,999,999,999,102,TRUE
"IZTECH","IZTECH_S016","wake",127,128,127,865,865,844,101,TRUE
"IZTECH","IZTECH_S016","wake",128,129,128,685,685,685,9,TRUE
"IZTECH","IZTECH_S017","wake",130,131,130,900,900,0,0,TRUE
"IZTECH","IZTECH_S017","wake",131,132,131,750,750,750,179,TRUE
"IZTECH","IZTECH_S017","wake",132,133,132,793,793,793,154,TRUE
"IZTECH","IZTECH_S017","wake",133,134,133,798,798,798,154,TRUE
"IZTECH","IZTECH_S017","wake",134,135,134,865,865,865,221,TRUE
"IZTECH","IZTECH_S017","wake",135,136,135,538,538,538,196,TRUE
"IZTECH","IZTECH_S017","wake",136,137,136,825,825,825,16,TRUE
"KNUST","KNUST_S001","wake",1,2,1,628,628,628,48,TRUE
"KNUST","KNUST_S001","wake",2,3,2,540,540,540,49,TRUE
"KNUST","KNUST_S001","wake",3,4,3,555,555,450,42,TRUE
"KNUST","KNUST_S001","wake",4,5,4,830,830,637,80,TRUE
"KNUST","KNUST_S001","wake",5,6,5,660,660,588,29,TRUE
"KNUST","KNUST_S001","wake",6,7,6,621,621,601,4,TRUE
"KNUST","KNUST_S002","wake",8,9,8,715,715,600,0,TRUE
"KNUST","KNUST_S002","wake",9,10,9,585,585,497,105,TRUE
"KNUST","KNUST_S002","wake",10,11,10,730,730,568,65,TRUE
"KNUST","KNUST_S002","wake",11,12,11,730,730,615,190,TRUE
"KNUST","KNUST_S002","wake",12,13,12,730,730,679,115,TRUE
"KNUST","KNUST_S002","wake",13,14,13,695,695,682,47,TRUE
"KNUST","KNUST_S003","wake",15,16,15,730,730,730,88,TRUE
