"path","exact","classification","status"
"artifacts/11_source_data/H09/H09_linearity_curve_data.csv",TRUE,"live-exact","PASS"
"artifacts/11_source_data/H09/H09_paired_placement_effects_data.csv",TRUE,"live-exact","PASS"
"artifacts/11_source_data/H09/H09_primary_diagnostic_figure_data.csv",TRUE,"live-exact","PASS"
"artifacts/11_source_data/H09/H09_primary_diagnostic_plot_data.csv",TRUE,"live-exact","PASS"
"artifacts/11_source_data/H09/H09_primary_effects_data.csv",TRUE,"live-exact","PASS"
"artifacts/11_source_data/H09/H09_v0_observed_figure_data.csv",TRUE,"live-exact","PASS"
"artifacts/11_source_data/H09/H09_v0_prediction_figure_data.csv",TRUE,"live-exact","PASS"
"audit/handoffs/H09_shared_change_request.md",FALSE,"accepted transition","PASS"
"tests/hypotheses/H09/test_h09_stage2.R",TRUE,"live-exact","PASS"
"tests/hypotheses/H09/test_h09_stage3_reader_report.R",TRUE,"live-exact","PASS"
"renv.lock",TRUE,"live-exact","PASS"
"artifacts/08_diagnostics/H09/H09_chronotype_score_audit.csv",TRUE,"live-exact","PASS"
"artifacts/08_diagnostics/H09/H09_chronotype_value_audit.csv",TRUE,"live-exact","PASS"
"artifacts/08_diagnostics/H09/H09_clock_support.csv",TRUE,"live-exact","PASS"
"artifacts/08_diagnostics/H09/H09_diagnostic_assessment_registry.csv",TRUE,"live-exact","PASS"
"artifacts/08_diagnostics/H09/H09_diagnostic_author_adjudication.csv",TRUE,"live-exact","PASS"
"artifacts/08_diagnostics/H09/H09_diagnostic_target_summary.csv",TRUE,"live-exact","PASS"
"artifacts/08_diagnostics/H09/H09_diagnostic_thresholds.csv",TRUE,"live-exact","PASS"
"artifacts/08_diagnostics/H09/H09_fit_gates.csv",TRUE,"live-exact","PASS"
"artifacts/08_diagnostics/H09/H09_leave_one_site_out.csv",TRUE,"live-exact","PASS"
"artifacts/08_diagnostics/H09/H09_leave_one_site_out_summary.csv",TRUE,"live-exact","PASS"
"artifacts/08_diagnostics/H09/H09_linearity_diagnostics.csv",TRUE,"live-exact","PASS"
"artifacts/08_diagnostics/H09/H09_participant_influence.csv",TRUE,"live-exact","PASS"
"artifacts/08_diagnostics/H09/H09_participant_influence_summary.csv",TRUE,"live-exact","PASS"
"artifacts/08_diagnostics/H09/H09_residual_diagnostics.csv",TRUE,"live-exact","PASS"
"artifacts/08_diagnostics/H09/H09_serial_diagnostics.csv",TRUE,"live-exact","PASS"
"artifacts/08_diagnostics/H09/H09_site_support.csv",TRUE,"live-exact","PASS"
"artifacts/07_models/H09/H09_model_bundles.rds",TRUE,"live-exact","PASS"
"artifacts/07_models/H09/H09_model_fit_index.csv",TRUE,"live-exact","PASS"
"artifacts/07_models/H09/H09_v0_model_objects.rds",TRUE,"live-exact","PASS"
"artifacts/06_model_data/H09/H09_author_approvals.csv",TRUE,"live-exact","PASS"
"artifacts/06_model_data/H09/H09_base_bundle_audit.csv",FALSE,"accepted transition","PASS"
"artifacts/06_model_data/H09/H09_family_registry.csv",TRUE,"live-exact","PASS"
"artifacts/06_model_data/H09/H09_formula_registry.csv",TRUE,"live-exact","PASS"
"artifacts/06_model_data/H09/H09_gap_common_sample_audit.csv",TRUE,"live-exact","PASS"
"artifacts/06_model_data/H09/H09_input_audit.csv",FALSE,"accepted transition","PASS"
"artifacts/06_model_data/H09/H09_metric_display_audit.csv",TRUE,"live-exact","PASS"
"artifacts/06_model_data/H09/H09_metric_registry.csv",TRUE,"live-exact","PASS"
"artifacts/06_model_data/H09/H09_model_frame_by_site.csv",TRUE,"live-exact","PASS"
"artifacts/06_model_data/H09/H09_model_frame_index.csv",TRUE,"live-exact","PASS"
"artifacts/06_model_data/H09/H09_model_frames.rds",TRUE,"live-exact","PASS"
"artifacts/06_model_data/H09/H09_non_estimable_targets.csv",TRUE,"live-exact","PASS"
"artifacts/06_model_data/H09/H09_paired_sample_audit.csv",TRUE,"live-exact","PASS"
"artifacts/06_model_data/H09/H09_predictor_registry.csv",TRUE,"live-exact","PASS"
"artifacts/06_model_data/H09/H09_run_registry.csv",TRUE,"live-exact","PASS"
"artifacts/09_tables/H09/H09_ar1_sensitivity.csv",TRUE,"live-exact","PASS"
"artifacts/09_tables/H09/H09_family_audit.csv",TRUE,"live-exact","PASS"
"artifacts/09_tables/H09/H09_fifth_outcome_sensitivity.csv",TRUE,"live-exact","PASS"
"artifacts/09_tables/H09/H09_gap_timing_unaware_sensitivity.csv",TRUE,"live-exact","PASS"
"artifacts/09_tables/H09/H09_l10_cut_sensitivity.csv",TRUE,"live-exact","PASS"
"artifacts/09_tables/H09/H09_model_effects.csv",TRUE,"live-exact","PASS"
"artifacts/09_tables/H09/H09_model_results_master.csv",TRUE,"live-exact","PASS"
"artifacts/09_tables/H09/H09_model_tests.csv",TRUE,"live-exact","PASS"
"artifacts/09_tables/H09/H09_paired_placement_effects.csv",TRUE,"live-exact","PASS"
"artifacts/09_tables/H09/H09_participant_summary_sensitivity.csv",TRUE,"live-exact","PASS"
"artifacts/09_tables/H09/H09_photoperiod_sensitivity.csv",TRUE,"live-exact","PASS"
"artifacts/09_tables/H09/H09_site_specific_slopes.csv",TRUE,"live-exact","PASS"
"artifacts/09_tables/H09/H09_v0_reproduction.csv",TRUE,"live-exact","PASS"
"artifacts/09_tables/H09/H09_v0_to_stage2_comparison.csv",TRUE,"live-exact","PASS"
"audit/hypotheses/H03-H11_gated_workflow.qmd",TRUE,"live-exact","PASS"
"audit/hypotheses/H09-H11_migration_map.md",TRUE,"live-exact","PASS"
"audit/evidence/preregistration_contract.md",TRUE,"live-exact","PASS"
"artifacts/12_manifests/H09/H09_execution_record.csv",TRUE,"live-exact","PASS"
"artifacts/12_manifests/H09/H09_figure_manifest.csv",FALSE,"accepted transition","PASS"
"artifacts/12_manifests/H09/H09_package_versions.csv",TRUE,"live-exact","PASS"
"artifacts/12_manifests/H09/H09_stage2_artifacts.csv",TRUE,"live-exact","PASS"
"_build/nathealth/notebooks/hypotheses/H09.html",FALSE,"accepted transition","PASS"
"notebooks/hypotheses/H09.qmd",FALSE,"accepted transition","PASS"
"config/metric_display_registry.csv",FALSE,"accepted transition","PASS"
"config/site_display_registry.csv",TRUE,"live-exact","PASS"
"scripts/pipeline/paths_io.R",TRUE,"live-exact","PASS"
"_quarto-nathealth.yml",FALSE,"accepted transition","PASS"
"_quarto.yml",TRUE,"live-exact","PASS"
"audit/decisions/bootstrap_execution_policy.md",TRUE,"live-exact","PASS"
"audit/decisions/figure_readability_and_layout.md",FALSE,"accepted transition","PASS"
"audit/decisions/gap_timing_unaware_dataset_terminology.md",TRUE,"live-exact","PASS"
"audit/decisions/model_reporting.md",TRUE,"live-exact","PASS"
"audit/decisions/p_value_display_conventions.md",TRUE,"live-exact","PASS"
"audit/decisions/paired_placement_comparison_display.md",TRUE,"live-exact","PASS"
"audit/decisions/placement_decision.md",TRUE,"live-exact","PASS"
"audit/decisions/reader_facing_symlog_scale.md",TRUE,"live-exact","PASS"
"audit/decisions/site_display_conventions.md",TRUE,"live-exact","PASS"
"scripts/pipeline/p_value_display.R",TRUE,"live-exact","PASS"
