route,desktop_toc_count,mobile_script_count,main_count,id_count,duplicate_id_values,extra_duplicate_instances,duplicate_bearing_nodes,duplicate_multiset_exact,ids_order_exact,idref_count,unresolved_idrefs,idref_resolution_exact,gt_tables,header_tokens,unresolved_headers,header_resolution_exact,figures,element_id_order_exact,heading_order_exact,captions_exact,figure_alt_exact,links_endpoints_exact,page_navigation_exact,visible_text_exact,non_script_dom_exact,error_nodes
notebooks/hypotheses/H02.html,1,1,1,274,0,0,0,TRUE,TRUE,558,0,TRUE,15,530,0,TRUE,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0
audit/hypotheses/H02/H02_analysis_preparation.html,1,1,1,2412,0,0,0,TRUE,TRUE,556,0,TRUE,16,527,0,TRUE,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0
notebooks/hypotheses/H03.html,1,1,1,209,0,0,0,TRUE,TRUE,1112,0,TRUE,14,1082,0,TRUE,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0
audit/hypotheses/H03/H03_analysis_preparation.html,1,1,1,3547,0,0,0,TRUE,TRUE,1577,0,TRUE,27,1537,0,TRUE,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0
notebooks/hypotheses/H04.html,1,1,1,257,0,0,0,TRUE,TRUE,1196,0,TRUE,17,1164,0,TRUE,7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0
audit/hypotheses/H04/H04_analysis_preparation.html,1,1,1,4382,0,0,0,TRUE,TRUE,2018,0,TRUE,37,1968,0,TRUE,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0
notebooks/hypotheses/H05.html,1,1,1,645,0,0,0,TRUE,TRUE,2571,0,TRUE,30,2514,0,TRUE,7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0
audit/hypotheses/H05/H05_analysis_preparation.html,1,1,1,3501,0,0,0,TRUE,TRUE,1959,0,TRUE,22,1925,0,TRUE,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0
notebooks/hypotheses/H06.html,1,1,1,1911,0,0,0,TRUE,TRUE,450,0,TRUE,14,421,0,TRUE,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0
audit/hypotheses/H06/H06_analysis_preparation.html,1,1,1,2808,0,0,0,TRUE,TRUE,1184,0,TRUE,30,1142,0,TRUE,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0
notebooks/hypotheses/H06_daily.html,1,1,1,232,0,0,0,TRUE,TRUE,1329,0,TRUE,14,1293,0,TRUE,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0
audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html,1,1,1,585,0,0,0,TRUE,TRUE,1219,0,TRUE,17,1193,0,TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0
notebooks/hypotheses/H07.html,1,1,1,244,0,0,0,TRUE,TRUE,986,0,TRUE,11,965,0,TRUE,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0
audit/hypotheses/H07/H07_analysis_preparation.html,1,1,1,2002,0,0,0,TRUE,TRUE,1176,0,TRUE,21,1144,0,TRUE,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0
notebooks/hypotheses/H08.html,1,1,1,282,0,0,0,TRUE,TRUE,892,0,TRUE,15,864,0,TRUE,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0
audit/hypotheses/H08/H08_analysis_preparation.html,1,1,1,2463,0,0,0,TRUE,TRUE,1612,0,TRUE,19,1581,0,TRUE,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0
notebooks/hypotheses/H09.html,1,1,1,143,0,0,0,TRUE,TRUE,528,0,TRUE,11,505,0,TRUE,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0
audit/hypotheses/H09/H09_analysis_preparation.html,1,1,1,2112,0,0,0,TRUE,TRUE,860,0,TRUE,19,831,0,TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0
notebooks/hypotheses/H10.html,1,1,1,215,0,0,0,TRUE,TRUE,1069,0,TRUE,15,1038,0,TRUE,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0
audit/hypotheses/H10/H10_analysis_preparation.html,1,1,1,2076,0,0,0,TRUE,TRUE,1080,0,TRUE,19,1050,0,TRUE,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0
notebooks/hypotheses/H11.html,1,1,1,272,0,0,0,TRUE,TRUE,627,0,TRUE,15,584,0,TRUE,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0
audit/hypotheses/H11/H11_analysis_preparation.html,1,1,1,2393,0,0,0,TRUE,TRUE,1231,0,TRUE,26,1193,0,TRUE,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0
notebooks/sensitivity_battery.html,1,1,1,122,0,0,0,TRUE,TRUE,9,0,TRUE,0,0,0,TRUE,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0
