logical_order,role,source,title,source_sha256,render_position,sidebar_position,expected_html,html_exists,html_sha256
11,shared,notebooks/descriptives.qmd,Descriptive tables and figures,b631936d9e47c4988dd453ea22184090b076705e3716e8f037e1953e3309cd4c,9,11,_build/nathealth/notebooks/descriptives.html,TRUE,b8451d11fbabc889dff7f811c23df92f9d813975a0b8f00a9ec157b5128c3553
12,shared,notebooks/preregistration_deviations.qmd,Preregistration deviations and current analysis decisions,b542018a0e127b280fc5a106928d8689307c420f2e62913f4047d5c4c292bc6d,10,12,_build/nathealth/notebooks/preregistration_deviations.html,TRUE,2f97ce2e737e572819d309e96a7b63e4b985b60ed164a54de835a9624e677cb1
13,hypothesis_result,notebooks/hypotheses/H01.qmd,H01: Site differences in personal light exposure,9448eacc1345a2b0bf73c988be588308d191e42d90c49d68c7f92db36ba83eeb,11,13,_build/nathealth/notebooks/hypotheses/H01.html,TRUE,eab336d8cde80608968679d68cfc4ed67828c4f60969d51f90d3738b59e63839
14,hypothesis_companion,audit/hypotheses/H01/H01_analysis_preparation.qmd,H01 analysis preparation and provenance,ed12b6232ef60905b648707240309e6574e627995d0436a19f671fdc033ecc5f,12,14,_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html,TRUE,52b24d00ed6e5a9251b813932969376e396b6ff89239de9ef413d1a3e9054578
15,hypothesis_result,notebooks/hypotheses/H02.qmd,H02: Daily melEDI patterns across sites and people,4f431eaba1fd449837186497dc988f95c30a9ece7ae83d57b2f0c377690f0f6d,13,15,_build/nathealth/notebooks/hypotheses/H02.html,TRUE,4298689a560cf3ceb693360533dec03c0f724c02022638b7cc8b075c8968f474
16,hypothesis_companion,audit/hypotheses/H02/H02_analysis_preparation.qmd,H02 analysis preparation and provenance,92424e41a7f54d05b816ff79144850a27aabc8181aa705384b22f4c7cdc3b9a1,14,16,_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html,TRUE,438cb5fe7505999f38ed9e17c424fb77bc3a380bc363ef1cb5b0e57a9c4402e6
17,hypothesis_result,notebooks/hypotheses/H03.qmd,H03: Self-reported light source and measured personal light exposure,45ea5a009efd3b451c392dfc23bef584c7b16e087bf4093780b051cfde42ae41,15,17,_build/nathealth/notebooks/hypotheses/H03.html,TRUE,1ad80c1574ada455e978ce905a1e5bb4f53b0392bf5e4433cdeac41da85f7cac
18,hypothesis_companion,audit/hypotheses/H03/H03_analysis_preparation.qmd,H03 analysis preparation and provenance,59270288388e48ceef880ffa4a2ba0e87b8deeb9a8046b49510c4e525ff8c131,16,18,_build/nathealth/audit/hypotheses/H03/H03_analysis_preparation.html,TRUE,a95e89c6771b7b752b9968e0fa24b0d99f68e1d30853554ced33479ce4eb294e
19,hypothesis_result,notebooks/hypotheses/H04.qmd,H04: Self-reported activity and measured personal light exposure,f8adb6d78be041ce296dd7e89eb92769b128631c1b4227ce5d8ab3d526daf1d5,17,19,_build/nathealth/notebooks/hypotheses/H04.html,TRUE,edb592760ee086c4b58abf7ab8946dbdf2be2c4b35bb7e6f11d84f66f71160e0
20,hypothesis_companion,audit/hypotheses/H04/H04_analysis_preparation.qmd,H04 analysis preparation and provenance,efdb5be8dc194695f40c50249fab14905ec337bc63079ae589557de860188474,18,20,_build/nathealth/audit/hypotheses/H04/H04_analysis_preparation.html,TRUE,52c6024ab04de8b6480e17234b456eca7baacefec7a87cca81014bb79bceefe4
21,hypothesis_result,notebooks/hypotheses/H05.qmd,H05: Habitual light-related behaviour and personal light exposure,7c20e16629729de433d1ab400038e9d32c73aeb25c95ecd44d581b876755d5e0,19,21,_build/nathealth/notebooks/hypotheses/H05.html,TRUE,579921b11cced98f3e39f67f5eb87f43d6b54eebfb6d0903a8b9af9ffdd189fd
22,hypothesis_companion,audit/hypotheses/H05/H05_analysis_preparation.qmd,H05 analysis preparation and provenance,843f60f890daac0e41c6655bc365ab0325e3f582e011610469a799946b2f2811,20,22,_build/nathealth/audit/hypotheses/H05/H05_analysis_preparation.html,TRUE,a2d3dea4576685982838fec366669165c4c26617fb6cc3fc8c5512b0277a0d91
23,hypothesis_result,notebooks/hypotheses/H06.qmd,"H06: Day type, exercise, sleep, and personal light exposure",d65c197cb37db32101d8a43fcdc80198ab599a95cb73259abd187c9b2b58d350,21,23,_build/nathealth/notebooks/hypotheses/H06.html,TRUE,bf3f70118afca9264aba77f9483a1cdd783e3c43996c9049fce67780ceca539b
24,hypothesis_companion,audit/hypotheses/H06/H06_analysis_preparation.qmd,H06 analysis preparation and provenance,f952d5ec72066ee86fded4888aaa815bdf763c11f466806ebc7391c79e22918b,22,24,_build/nathealth/audit/hypotheses/H06/H06_analysis_preparation.html,TRUE,ae3dd53c5c3947e163a6048807f1e639197548e8e824c9d52709da3a65f74683
25,shared,notebooks/hypotheses/H06_daily.qmd,H06 daily metrics: day-level context and personal light exposure,8f696f3f89fe9ea18c8066b756a01fc5da6b41e86f8ac7d37d1e16f9c10ba639,23,25,_build/nathealth/notebooks/hypotheses/H06_daily.html,TRUE,7fd65a465185a341d5065a2c47b07d510b2ff331a3a99e56bc7f90044e755a02
26,shared,audit/hypotheses/H06_daily/H06_daily_analysis_preparation.qmd,H06 daily-metric analysis preparation and provenance,b1d2c9ec6184e9c537af04119d94040b581ae691069e38e0a713935ab1582536,24,26,_build/nathealth/audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html,TRUE,29f03d5b13833d793653d4061ab8deea47596765ba6aec22a77a8c07bc71b6de
27,hypothesis_result,notebooks/hypotheses/H07.qmd,H07: Photoperiod and qualifying transitions in personal light exposure,c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226,25,27,_build/nathealth/notebooks/hypotheses/H07.html,TRUE,878f1f7bec7dad63ea5b2b18f74502053f1d5d9b3de2a96588e1d2ef1e437462
28,hypothesis_companion,audit/hypotheses/H07/H07_analysis_preparation.qmd,H07 analysis preparation and provenance,a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b,26,28,_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html,TRUE,bebaadfd61b1ff20462c54e5e37ad35de65903c3c9596027de21e5fdb41cecb8
29,hypothesis_result,notebooks/hypotheses/H08.qmd,H08: Visual light sensitivity and personal light exposure,1b6b50b21e22d60909a65b125ce74be54829e5efc10de33f888fcd294c7374b1,27,29,_build/nathealth/notebooks/hypotheses/H08.html,TRUE,d264716572c7e00230544fcb90990a488b970b259b3cacb50c84de5ef9bc4860
30,hypothesis_companion,audit/hypotheses/H08/H08_analysis_preparation.qmd,H08 analysis preparation and provenance,3eeeda47c909be2ca32bf234af18f2d690f1c3e7b26e854f7311c0d8300f6f2d,28,30,_build/nathealth/audit/hypotheses/H08/H08_analysis_preparation.html,TRUE,c8e9eda22c20463b3f554371b93a6b40d113f509380f697ce855af2ce0c02a3c
31,hypothesis_result,notebooks/hypotheses/H09.qmd,H09: Chronotype and timing of personal light exposure,c738a4365d01497030a260691ceff35fd5c2dab478148fd28676e27981e203c6,29,31,_build/nathealth/notebooks/hypotheses/H09.html,TRUE,2815dfb547ef1bb268fcaa36e6d816819b7a1215c118e9e01cd46c83babb8ea7
32,hypothesis_companion,audit/hypotheses/H09/H09_analysis_preparation.qmd,H09 analysis preparation and provenance,394a976e52faf002cb2034a13353a053aae8bfda8942a79c2eb007017cae014f,30,32,_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation.html,TRUE,603bb751141231944a4b677cc15f58e597cd28346a2f672ffbd053d755cffe37
33,hypothesis_result,notebooks/hypotheses/H10.qmd,"H10: Age, measured biological sex, and personal light exposure",0cf302f74c482168c5f5d4c640bbc6a80ef451333f7d76f3c3be204ac1b5f64d,31,33,_build/nathealth/notebooks/hypotheses/H10.html,TRUE,c0f4cbc78b899b41cad904e723891c9ac499bf4485233cf7aefff2ebaa059409
34,hypothesis_companion,audit/hypotheses/H10/H10_analysis_preparation.qmd,H10 analysis preparation and provenance,706fe46f293bd09bfd3cb75c14bc3082410a452acfff666d76219f266fded1a6,32,34,_build/nathealth/audit/hypotheses/H10/H10_analysis_preparation.html,TRUE,8def05900ef9cdb38b588de1eb46465945b43a1403984514de84bdf11a81d1a9
35,hypothesis_result,notebooks/hypotheses/H11.qmd,H11: Biological sex and daily personal light-exposure patterns,7909ba06782c84223197ab7fcd16493d7ee6e6d8b63c750aa81f17cb97977867,33,35,_build/nathealth/notebooks/hypotheses/H11.html,TRUE,8728ef781e8b814ccc5ffd2388dfe388529f3e0dbbd9782f343503e99a45e88e
36,hypothesis_companion,audit/hypotheses/H11/H11_analysis_preparation.qmd,H11 analysis preparation and provenance,3f5a0d2ead03d2cb149451709110b59ba1387401f9ff633dfba1a0663f4b0816,34,36,_build/nathealth/audit/hypotheses/H11/H11_analysis_preparation.html,TRUE,a7f13fda8a5a99deda8821c4bd9b990bbcf80bb07592317108532391592aa33e
37,shared,notebooks/sensitivity_battery.qmd,Planned sensitivity checks,d2d1777062dbf58eca69cc58eadd6ad17a7ce80f4a8f335b6828f54ffcbfeb70,35,37,_build/nathealth/notebooks/sensitivity_battery.html,TRUE,20cb3da96ee563067fbef387c60346cd0815ee09b3ea997750be81f134920170
