"sample_id","state","raw_state","site","day_type","state_rows","participants","participants_in_both_daytypes_for_site_state","valid_minutes","expected_minutes","minimum_valid_minutes","q25_valid_minutes","median_valid_minutes","q75_valid_minutes","maximum_valid_minutes","exact_zero_rows","exact_one_rows","exact_zero_fraction","exact_one_fraction","rows_at_most_5_minutes","rows_at_most_30_minutes","sparse_under_10_rows","sparse_under_5_participants"
"linkage_b_any_valid","Sleep environment","sleep","IZTECH","Work day",64,17,17,30803,31020,117,408.75,482.5,553,750,1,17,0.015625,0.265625,0,0,FALSE,FALSE
"linkage_b_any_valid","Wake outside the three hours before sleep","wake","UCR","Work day",22,6,4,16686,17920,523,684.75,750.5,816,1050,0,0,0,0,0,0,FALSE,FALSE
"linkage_b_any_valid","Pre-sleep","pre-sleep","UCR","Work day",20,6,4,3364,3600,53,176.25,180,180,180,1,0,0.05,0,0,0,FALSE,FALSE
"linkage_b_any_valid","Sleep environment","sleep","UCR","Work day",23,6,4,9639,10381,80,393,435,482.5,630,1,6,0.0434782608695652,0.260869565217391,0,0,FALSE,FALSE
"linkage_b_any_valid","Wake outside the three hours before sleep","wake","KNUST","Work day",41,14,13,31606,33519,450,699,780,852,1020,0,0,0,0,0,0,FALSE,FALSE
"linkage_b_any_valid","Pre-sleep","pre-sleep","KNUST","Work day",41,14,13,6291,7380,15,140,180,180,180,2,11,0.048780487804878,0.268292682926829,0,1,FALSE,FALSE
"linkage_b_any_valid","Sleep environment","sleep","KNUST","Work day",42,14,13,17598,19021,40,360.5,394.5,477,735,1,33,0.0238095238095238,0.785714285714286,0,0,FALSE,FALSE
"linkage_b_any_valid","Wake outside the three hours before sleep","wake","RISE","Free day",30,13,12,21889,22943,535,669.5,722,797,935,0,0,0,0,0,0,FALSE,FALSE
"linkage_b_any_valid","Pre-sleep","pre-sleep","RISE","Free day",30,13,12,4898,5400,2,180,180,180,180,0,4,0,0.133333333333333,1,1,FALSE,FALSE
"linkage_b_any_valid","Sleep environment","sleep","RISE","Free day",30,13,12,14770,14938,351,435,487.5,538.5,685,0,13,0,0.433333333333333,0,0,FALSE,FALSE
"linkage_b_any_valid","Wake outside the three hours before sleep","wake","THUAS","Free day",23,12,12,15773,16768,511,616.5,688,734.5,915,1,0,0.0434782608695652,0,0,0,FALSE,FALSE
"linkage_b_any_valid","Pre-sleep","pre-sleep","THUAS","Free day",24,12,12,3629,4320,15,123.5,180,180,180,0,5,0,0.208333333333333,0,1,FALSE,FALSE
"linkage_b_any_valid","Sleep environment","sleep","THUAS","Free day",24,12,12,11893,12489,50,472.75,509.5,559.75,649,0,3,0,0.125,0,0,FALSE,FALSE
"linkage_b_any_valid","Wake outside the three hours before sleep","wake","BAUA","Free day",33,15,15,22382,23184,491,602,659,714,1012,2,1,0.0606060606060606,0.0303030303030303,0,0,FALSE,FALSE
"linkage_b_any_valid","Pre-sleep","pre-sleep","BAUA","Free day",33,16,16,5287,5940,60,162,180,180,180,1,4,0.0303030303030303,0.121212121212121,0,0,FALSE,FALSE
"linkage_b_any_valid","Sleep environment","sleep","BAUA","Free day",33,15,15,18107,18107,349,484,570,608,719,0,9,0,0.272727272727273,0,0,FALSE,FALSE
"linkage_b_any_valid","Wake outside the three hours before sleep","wake","MPI","Free day",62,25,25,44800,48090,489,654,722.5,769.5,1059,1,0,0.0161290322580645,0,0,0,FALSE,FALSE
"linkage_b_any_valid","Pre-sleep","pre-sleep","MPI","Free day",61,25,25,9509,10980,2,164,180,180,180,3,5,0.0491803278688525,0.0819672131147541,1,4,FALSE,FALSE
"linkage_b_any_valid","Sleep environment","sleep","MPI","Free day",62,25,25,29104,29289,237,436.5,465,523.5,661,1,12,0.0161290322580645,0.193548387096774,0,0,FALSE,FALSE
"linkage_b_any_valid","Wake outside the three hours before sleep","wake","TUM","Free day",30,10,10,20683,22100,375,599.25,682.5,770.75,969,0,0,0,0,0,0,FALSE,FALSE
"linkage_b_any_valid","Pre-sleep","pre-sleep","TUM","Free day",28,10,10,4383,5040,103,131.25,168,180,180,0,5,0,0.178571428571429,0,0,FALSE,FALSE
"linkage_b_any_valid","Sleep environment","sleep","TUM","Free day",30,10,10,15269,15269,300,446.25,503,604.75,690,1,10,0.0333333333333333,0.333333333333333,0,0,FALSE,FALSE
"linkage_b_any_valid","Wake outside the three hours before sleep","wake","FUSPCEU","Free day",43,19,18,29023,30467,352,588.5,677,747,1057,3,0,0.0697674418604651,0,0,0,FALSE,FALSE
"linkage_b_any_valid","Pre-sleep","pre-sleep","FUSPCEU","Free day",43,18,17,7182,7740,85,180,180,180,180,0,8,0,0.186046511627907,0,0,FALSE,FALSE
"linkage_b_any_valid","Sleep environment","sleep","FUSPCEU","Free day",43,19,18,23430,23662,280,454,525,616,842,0,24,0,0.558139534883721,0,0,FALSE,FALSE
"linkage_b_any_valid","Wake outside the three hours before sleep","wake","IZTECH","Free day",35,16,16,23983,25325,385,596.5,685,765,1040,3,0,0.0857142857142857,0,0,0,FALSE,FALSE
"linkage_b_any_valid","Pre-sleep","pre-sleep","IZTECH","Free day",35,16,16,5145,6300,21,120.5,180,180,180,2,4,0.0571428571428571,0.114285714285714,0,2,FALSE,FALSE
"linkage_b_any_valid","Sleep environment","sleep","IZTECH","Free day",36,17,17,19032,19692,200,450,537.5,593.5,797,0,4,0,0.111111111111111,0,0,FALSE,FALSE
"linkage_b_any_valid","Wake outside the three hours before sleep","wake","UCR","Free day",7,4,4,5200,5520,605,683.5,730,821,856,0,0,0,0,0,0,TRUE,TRUE
"linkage_b_any_valid","Pre-sleep","pre-sleep","UCR","Free day",8,4,4,1274,1440,25,177.25,180,180,180,0,1,0,0.125,0,1,TRUE,TRUE
"linkage_b_any_valid","Sleep environment","sleep","UCR","Free day",7,4,4,3325,3325,430,450,456,477,585,0,1,0,0.142857142857143,0,0,TRUE,TRUE
"linkage_b_any_valid","Wake outside the three hours before sleep","wake","KNUST","Free day",40,14,13,28089,30065,497,611.5,684,794.25,927,6,0,0.15,0,0,0,FALSE,FALSE
"linkage_b_any_valid","Pre-sleep","pre-sleep","KNUST","Free day",40,14,13,6073,7200,50,127.75,166,180,180,1,13,0.025,0.325,0,0,FALSE,FALSE
"linkage_b_any_valid","Sleep environment","sleep","KNUST","Free day",41,14,13,20183,21187,170,420,478,560,661,1,33,0.024390243902439,0.804878048780488,0,0,FALSE,FALSE
"linkage_b_support_80","Wake outside the three hours before sleep","wake","RISE","Work day",43,12,12,33597,34875,568,724.5,790,841,955,0,0,0,0,0,0,FALSE,FALSE
"linkage_b_support_80","Pre-sleep","pre-sleep","RISE","Work day",38,12,12,6719,6840,146,180,180,180,180,1,2,0.0263157894736842,0.0526315789473684,0,0,FALSE,FALSE
"linkage_b_support_80","Sleep environment","sleep","RISE","Work day",41,12,12,18225,18397,306,385,425,490,620,0,24,0,0.585365853658537,0,0,FALSE,FALSE
"linkage_b_support_80","Wake outside the three hours before sleep","wake","THUAS","Work day",40,12,12,29225,31027,526,669.75,728,773,948,1,0,0.025,0,0,0,FALSE,FALSE
"linkage_b_support_80","Pre-sleep","pre-sleep","THUAS","Work day",32,12,10,5700,5760,161,180,180,180,180,0,5,0,0.15625,0,0,FALSE,FALSE
"linkage_b_support_80","Sleep environment","sleep","THUAS","Work day",40,12,12,19578,20033,352,450,487.5,534.75,630,0,10,0,0.25,0,0,FALSE,FALSE
"linkage_b_support_80","Wake outside the three hours before sleep","wake","BAUA","Work day",53,18,15,40192,42472,586,705,750,831,935,3,0,0.0566037735849057,0,0,0,FALSE,FALSE
"linkage_b_support_80","Pre-sleep","pre-sleep","BAUA","Work day",51,17,13,9052,9180,146,180,180,180,180,0,2,0,0.0392156862745098,0,0,FALSE,FALSE
"linkage_b_support_80","Sleep environment","sleep","BAUA","Work day",51,18,15,23727,24011,345,418,469,509,585,0,14,0,0.274509803921569,0,0,FALSE,FALSE
"linkage_b_support_80","Wake outside the three hours before sleep","wake","MPI","Work day",82,26,25,62462,65917,568,700.5,766.5,821.75,1067,2,0,0.024390243902439,0,0,0,FALSE,FALSE
"linkage_b_support_80","Pre-sleep","pre-sleep","MPI","Work day",75,26,23,13313,13500,145,180,180,180,180,2,2,0.0266666666666667,0.0266666666666667,0,0,FALSE,FALSE
"linkage_b_support_80","Sleep environment","sleep","MPI","Work day",86,26,25,39248,39736,201,411.25,460.5,505,645,0,26,0,0.302325581395349,0,0,FALSE,FALSE
"linkage_b_support_80","Wake outside the three hours before sleep","wake","TUM","Work day",26,10,10,19537,20566,597,677.5,745,811,960,1,0,0.0384615384615385,0,0,0,FALSE,FALSE
"linkage_b_support_80","Pre-sleep","pre-sleep","TUM","Work day",28,10,9,4924,5040,151,180,180,180,180,0,1,0,0.0357142857142857,0,0,FALSE,FALSE
"linkage_b_support_80","Sleep environment","sleep","TUM","Work day",28,10,10,13886,13886,340,455,480,531.25,675,0,3,0,0.107142857142857,0,0,FALSE,FALSE
"linkage_b_support_80","Wake outside the three hours before sleep","wake","FUSPCEU","Work day",67,22,18,51263,52323,563,716.5,765,810,930,1,0,0.0149253731343284,0,0,0,FALSE,FALSE
"linkage_b_support_80","Pre-sleep","pre-sleep","FUSPCEU","Work day",63,21,16,11225,11340,145,180,180,180,180,0,8,0,0.126984126984127,0,0,FALSE,FALSE
"linkage_b_support_80","Sleep environment","sleep","FUSPCEU","Work day",68,22,18,32464,33074,345,429,477.5,517.75,720,0,52,0,0.764705882352941,0,0,FALSE,FALSE
"linkage_b_support_80","Wake outside the three hours before sleep","wake","IZTECH","Work day",61,17,16,45986,47561,463,689,755,840,1070,1,0,0.0163934426229508,0,0,0,FALSE,FALSE
"linkage_b_support_80","Pre-sleep","pre-sleep","IZTECH","Work day",55,17,15,9731,9900,146,180,180,180,180,2,1,0.0363636363636364,0.0181818181818182,0,0,FALSE,FALSE
"linkage_b_support_80","Sleep environment","sleep","IZTECH","Work day",64,17,16,30803,31020,117,408.75,482.5,553,750,1,17,0.015625,0.265625,0,0,FALSE,FALSE
"linkage_b_support_80","Wake outside the three hours before sleep","wake","UCR","Work day",21,6,4,16163,17170,631,690,751,818,1050,0,0,0,0,0,0,FALSE,FALSE
"linkage_b_support_80","Pre-sleep","pre-sleep","UCR","Work day",18,6,4,3182,3240,153,180,180,180,180,1,0,0.0555555555555556,0,0,0,FALSE,FALSE
"linkage_b_support_80","Sleep environment","sleep","UCR","Work day",20,6,4,8786,8847,210,407.5,440,503.75,630,1,4,0.05,0.2,0,0,FALSE,FALSE
"linkage_b_support_80","Wake outside the three hours before sleep","wake","KNUST","Work day",38,13,12,29807,31117,450,732,785,855.75,1020,0,0,0,0,0,0,FALSE,FALSE
"linkage_b_support_80","Pre-sleep","pre-sleep","KNUST","Work day",28,11,9,4965,5040,159,180,180,180,180,1,9,0.0357142857142857,0.321428571428571,0,0,FALSE,FALSE
"linkage_b_support_80","Sleep environment","sleep","KNUST","Work day",36,14,13,15745,15986,210,374,402,505.5,735,1,27,0.0277777777777778,0.75,0,0,FALSE,FALSE
"linkage_b_support_80","Wake outside the three hours before sleep","wake","RISE","Free day",29,13,12,21208,22083,535,669,734,800,935,0,0,0,0,0,0,FALSE,FALSE
"linkage_b_support_80","Pre-sleep","pre-sleep","RISE","Free day",26,13,12,4654,4680,161,180,180,180,180,0,2,0,0.0769230769230769,0,0,FALSE,FALSE
"linkage_b_support_80","Sleep environment","sleep","RISE","Free day",30,13,12,14770,14938,351,435,487.5,538.5,685,0,13,0,0.433333333333333,0,0,FALSE,FALSE
"linkage_b_support_80","Wake outside the three hours before sleep","wake","THUAS","Free day",20,12,12,14188,14621,540,656,691.5,759,915,1,0,0.05,0,0,0,FALSE,FALSE
"linkage_b_support_80","Pre-sleep","pre-sleep","THUAS","Free day",16,10,10,2857,2880,162,180,180,180,180,0,3,0,0.1875,0,0,FALSE,FALSE
"linkage_b_support_80","Sleep environment","sleep","THUAS","Free day",23,12,12,11843,11873,360,480,510,564.5,649,0,2,0,0.0869565217391304,0,0,FALSE,FALSE
"linkage_b_support_80","Wake outside the three hours before sleep","wake","BAUA","Free day",33,15,15,22382,23184,491,602,659,714,1012,2,1,0.0606060606060606,0.0303030303030303,0,0,FALSE,FALSE
"linkage_b_support_80","Pre-sleep","pre-sleep","BAUA","Free day",25,14,13,4481,4500,162,180,180,180,180,1,2,0.04,0.08,0,0,FALSE,FALSE
"linkage_b_support_80","Sleep environment","sleep","BAUA","Free day",33,15,15,18107,18107,349,484,570,608,719,0,9,0,0.272727272727273,0,0,FALSE,FALSE
"linkage_b_support_80","Wake outside the three hours before sleep","wake","MPI","Free day",58,25,25,42573,45120,534,674.75,732.5,771.5,1059,1,0,0.0172413793103448,0,0,0,FALSE,FALSE
"linkage_b_support_80","Pre-sleep","pre-sleep","MPI","Free day",49,23,23,8628,8820,144,180,180,180,180,0,4,0,0.0816326530612245,0,0,FALSE,FALSE
"linkage_b_support_80","Sleep environment","sleep","MPI","Free day",62,25,25,29104,29289,237,436.5,465,523.5,661,1,12,0.0161290322580645,0.193548387096774,0,0,FALSE,FALSE
"linkage_b_support_80","Wake outside the three hours before sleep","wake","TUM","Free day",28,10,10,19751,20872,510,615.75,692,788.5,969,0,0,0,0,0,0,FALSE,FALSE
"linkage_b_support_80","Pre-sleep","pre-sleep","TUM","Free day",20,9,9,3444,3600,150,165.5,180,180,180,0,2,0,0.1,0,0,FALSE,FALSE
"linkage_b_support_80","Sleep environment","sleep","TUM","Free day",30,10,10,15269,15269,300,446.25,503,604.75,690,1,10,0.0333333333333333,0.333333333333333,0,0,FALSE,FALSE
"linkage_b_support_80","Wake outside the three hours before sleep","wake","FUSPCEU","Free day",40,19,18,27634,28472,429,611.25,679.5,754.25,1057,3,0,0.075,0,0,0,FALSE,FALSE
"linkage_b_support_80","Pre-sleep","pre-sleep","FUSPCEU","Free day",36,17,16,6393,6480,144,180,180,180,180,0,6,0,0.166666666666667,0,0,FALSE,FALSE
"linkage_b_support_80","Sleep environment","sleep","FUSPCEU","Free day",43,19,18,23430,23662,280,454,525,616,842,0,24,0,0.558139534883721,0,0,FALSE,FALSE
"linkage_b_support_80","Wake outside the three hours before sleep","wake","IZTECH","Free day",32,16,16,22438,23291,385,633,700,777,1040,3,0,0.09375,0,0,0,FALSE,FALSE
"linkage_b_support_80","Pre-sleep","pre-sleep","IZTECH","Free day",23,15,15,4053,4140,147,180,180,180,180,0,3,0,0.130434782608696,0,0,FALSE,FALSE
"linkage_b_support_80","Sleep environment","sleep","IZTECH","Free day",35,16,16,18832,18832,260,467,540,596,797,0,4,0,0.114285714285714,0,0,FALSE,FALSE
"linkage_b_support_80","Wake outside the three hours before sleep","wake","UCR","Free day",7,4,4,5200,5520,605,683.5,730,821,856,0,0,0,0,0,0,TRUE,TRUE
"linkage_b_support_80","Pre-sleep","pre-sleep","UCR","Free day",7,4,4,1249,1260,169,180,180,180,180,0,0,0,0,0,0,TRUE,TRUE
"linkage_b_support_80","Sleep environment","sleep","UCR","Free day",7,4,4,3325,3325,430,450,456,477,585,0,1,0,0.142857142857143,0,0,TRUE,TRUE
"linkage_b_support_80","Wake outside the three hours before sleep","wake","KNUST","Free day",40,14,12,28089,30065,497,611.5,684,794.25,927,6,0,0.15,0,0,0,FALSE,FALSE
"linkage_b_support_80","Pre-sleep","pre-sleep","KNUST","Free day",27,12,9,4694,4860,150,166,180,180,180,1,8,0.037037037037037,0.296296296296296,0,0,FALSE,FALSE
"linkage_b_support_80","Sleep environment","sleep","KNUST","Free day",37,14,13,18767,18837,340,439,507,573,661,1,30,0.027027027027027,0.810810810810811,0,0,FALSE,FALSE
