placement,activity_label,joint_group,joint_order,work_free_day,activity_status,local_hour,hours,participants,participant_days,sites
Near-eye,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),19,88,60,88,9
Near-eye,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),20,87,57,87,9
Near-eye,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),21,84,53,84,9
Near-eye,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),22,86,56,86,9
Near-eye,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),23,84,53,84,9
Near-eye,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",0,191,106,191,9
Near-eye,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",1,194,106,194,9
Near-eye,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",2,193,106,193,9
Near-eye,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",3,193,106,193,9
Near-eye,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",4,194,106,194,9
Near-eye,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",5,194,106,194,9
Near-eye,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",6,192,105,192,9
Near-eye,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",7,191,106,191,9
Near-eye,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",8,191,105,191,9
Near-eye,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",9,192,105,192,9
Near-eye,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",10,184,104,184,9
Near-eye,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",11,181,101,181,9
Near-eye,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",12,187,106,187,9
Near-eye,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",13,189,104,189,9
Near-eye,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",14,181,102,181,9
Near-eye,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",15,180,99,180,9
Near-eye,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",16,180,101,180,9
Near-eye,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",17,183,102,183,9
Near-eye,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",18,183,103,183,9
Near-eye,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",19,181,100,181,9
Near-eye,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",20,180,100,180,9
Near-eye,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",21,187,102,187,9
Near-eye,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",22,181,102,181,9
Near-eye,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",23,182,104,182,9
Chest,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),0,168,93,168,8
Chest,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),1,169,94,169,8
Chest,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),2,168,94,168,8
Chest,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),3,168,94,168,8
Chest,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),4,169,94,169,8
Chest,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),5,166,94,166,8
Chest,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),6,167,94,167,8
Chest,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),7,167,92,167,8
Chest,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),8,165,92,165,8
Chest,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),9,166,94,166,8
Chest,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),10,166,93,166,8
Chest,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),11,165,92,165,8
Chest,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),12,167,92,167,8
Chest,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),13,165,92,165,8
Chest,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),14,166,93,166,8
Chest,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),15,160,93,160,8
Chest,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),16,160,92,160,8
Chest,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),17,158,91,158,8
Chest,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),18,163,93,163,8
Chest,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),19,166,93,166,8
Chest,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),20,161,90,161,8
Chest,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),21,163,91,163,8
Chest,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),22,164,91,164,8
Chest,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),23,163,92,163,8
Chest,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",0,316,128,316,8
Chest,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",1,318,128,318,8
Chest,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",2,319,129,319,8
Chest,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",3,319,129,319,8
Chest,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",4,319,129,319,8
Chest,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",5,318,128,318,8
Chest,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",6,308,127,308,8
Chest,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",7,304,126,304,8
Chest,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",8,303,125,303,8
Chest,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",9,309,128,309,8
Chest,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",10,309,129,309,8
Chest,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",11,311,128,311,8
Chest,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",12,310,129,310,8
Chest,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",13,313,128,313,8
Chest,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",14,309,128,309,8
Chest,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",15,309,129,309,8
Chest,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",16,303,125,303,8
Chest,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",17,299,125,299,8
Chest,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",18,295,126,295,8
Chest,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",19,290,127,290,8
Chest,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",20,297,127,297,8
Chest,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",21,303,128,303,8
Chest,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",22,304,128,304,8
Chest,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",23,309,129,309,8
Chest,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),0,106,71,106,8
Chest,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),1,106,71,106,8
Chest,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),2,106,71,106,8
Chest,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),3,106,71,106,8
Chest,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),4,106,71,106,8
Chest,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),5,106,71,106,8
Chest,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),6,106,71,106,8
Chest,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),7,102,69,102,8
Chest,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),8,106,71,106,8
Chest,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),9,105,71,105,8
Chest,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),10,103,71,103,8
Chest,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),11,104,71,104,8
Chest,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),12,102,70,102,8
Chest,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),13,99,69,99,8
Chest,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),14,104,70,104,8
Chest,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),15,103,70,103,8
Chest,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),16,103,71,103,8
Chest,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),17,103,69,103,8
Chest,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),18,104,69,104,8
Chest,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),19,103,70,103,8
Chest,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),20,101,68,101,8
Chest,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),21,99,64,99,8
Chest,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),22,100,68,100,8
Chest,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),23,101,66,101,8
Chest,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",0,194,112,194,8
Chest,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",1,195,112,195,8
Chest,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",2,194,112,194,8
Chest,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",3,194,112,194,8
Chest,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",4,195,112,195,8
Chest,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",5,195,112,195,8
Chest,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",6,193,111,193,8
Chest,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",7,191,112,191,8
Chest,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",8,189,109,189,8
Chest,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",9,188,108,188,8
Chest,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",10,185,109,185,8
Chest,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",11,183,106,183,8
Chest,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",12,185,109,185,8
Chest,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",13,188,109,188,8
Chest,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",14,182,109,182,8
Chest,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",15,183,107,183,8
Chest,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",16,183,107,183,8
Chest,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",17,185,109,185,8
Chest,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",18,184,110,184,8
Chest,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",19,185,107,185,8
Chest,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",20,182,106,182,8
Chest,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",21,190,109,190,8
Chest,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",22,185,109,185,8
Chest,Active,Free day · Active,4,Free day,"Active (light, moderate, or vigorous exercise)",23,186,111,186,8
