site,modality,repository,commit,local_path,bytes,cache_mtime_utc,old_pseudo_sha256,bytewise_sha256,old_digest_reproduced,cached_bytes_unchanged,downloaded,reconciliation_utc
IZTECH,sleepdiaries,DidikogluEtAl_Dataset_2025,15b1150ce0c62339d299de24359b4257218560d8,artifacts/01_imported/cache/IZTECH_sleepdiaries_15b1150ce0c6.RData,6205,2026-07-29 22:43:15 UTC,217a90b538894e7b798ea601093b0cc2f5b52940be504d0512167446e6d04b77,63d207d3440472c98ca121c3913e86e092d5f38386e6bd50b5452a9b05d9a06e,TRUE,TRUE,FALSE,2026-07-30 02:37:40 UTC
IZTECH,wearlog,DidikogluEtAl_Dataset_2025,15b1150ce0c62339d299de24359b4257218560d8,artifacts/01_imported/cache/IZTECH_wearlog_15b1150ce0c6.RData,4554,2026-07-29 22:43:16 UTC,af2f706d5b846697a0da4a1d06960aba4ac22fe894867a99fb9acc4c7c188397,d0e025af8e912d6157349849d64e3072bb781b08ffec7fb97c7d67ee6052c0d8,TRUE,TRUE,FALSE,2026-07-30 02:37:40 UTC
KNUST,light_chest,AkuffoEtAl_Dataset_2025,ea49a38edfb1f6397302f37776a4496ed0ca2dd5,artifacts/01_imported/cache/KNUST_light_chest_ea49a38edfb1.RData,18214427,2026-07-29 22:43:41 UTC,6cfccda2342db9c35acaea956da9ff50524a872198da448a6f6078dc4e96ac34,0397df1b2c4d5c2ea98fa7707bcd07048140fa1c239823c814733da81b5d1377,TRUE,TRUE,FALSE,2026-07-30 02:37:40 UTC
KNUST,light_glasses,AkuffoEtAl_Dataset_2025,ea49a38edfb1f6397302f37776a4496ed0ca2dd5,artifacts/01_imported/cache/KNUST_light_glasses_ea49a38edfb1.RData,17344087,2026-07-29 22:43:32 UTC,4eddc9b7b0f03115e10f147689d8a2ee53ad4bc68b7c7ccc07ef830c864ae979,405d423f4a322fb66d0fc1225456a2456404d4f9ab42a209e31e27c1ebe7e0e9,TRUE,TRUE,FALSE,2026-07-30 02:37:40 UTC
KNUST,sleepdiaries,AkuffoEtAl_Dataset_2025,ea49a38edfb1f6397302f37776a4496ed0ca2dd5,artifacts/01_imported/cache/KNUST_sleepdiaries_ea49a38edfb1.RData,4025,2026-07-29 22:43:41 UTC,69f05519d091cd803576a69bf4e98f995ec69fafaf15b27d7f1d856a93ceb2da,e60e14a538f8765aa60eeaadfdfdcc1f0edd6dca487d03c534f066bb1d04b197,TRUE,TRUE,FALSE,2026-07-30 02:37:40 UTC
KNUST,wearlog,AkuffoEtAl_Dataset_2025,ea49a38edfb1f6397302f37776a4496ed0ca2dd5,artifacts/01_imported/cache/KNUST_wearlog_ea49a38edfb1.RData,3495,2026-07-29 22:43:42 UTC,590d80bdf8157a0665f660ed2ec4e39b4b18d40ae6d9e1a0023c8a663c923241,75ad3dbb6e519fa8d526b833483b7cb480fc2d94b8ebc99f8f4b33ffd5f27f82,TRUE,TRUE,FALSE,2026-07-30 02:37:40 UTC
MPI,light_glasses,GuidolinEtAl_Dataset_2025,cd0099b0eed758692bdc9f23071d4a052ff8f72f,artifacts/01_imported/cache/MPI_light_glasses_cd0099b0eed7.RData,37617638,2026-07-29 22:44:14 UTC,b456e51a3647efbbca29ec2c690552b0068d9be108b4fffa44eb94f375a344d0,17de149ce4be62ab0074f7942279030ebc889b4af947d54c892f1a869232d787,TRUE,TRUE,FALSE,2026-07-30 02:37:40 UTC
MPI,sleepdiaries,GuidolinEtAl_Dataset_2025,cd0099b0eed758692bdc9f23071d4a052ff8f72f,artifacts/01_imported/cache/MPI_sleepdiaries_cd0099b0eed7.RData,7757,2026-07-29 22:44:15 UTC,80c9c8149eff395ef1e91561977e9af5ecb63f146b868baae012fbe4570631ba,868b51fdfd4c8632ee3e12478dc1410a1d7901b9781a00dda71c1a6103abdb91,TRUE,TRUE,FALSE,2026-07-30 02:37:40 UTC
MPI,wearlog,GuidolinEtAl_Dataset_2025,cd0099b0eed758692bdc9f23071d4a052ff8f72f,artifacts/01_imported/cache/MPI_wearlog_cd0099b0eed7.RData,6142,2026-07-29 22:44:15 UTC,696003409f564ba7d915a7dfaa9cc536e0371c7b868d24f3687b27361549fac6,21bb71c2cef2e70f32f72927c597eb808acb417bce4c91cba80ee30a50abdc5b,TRUE,TRUE,FALSE,2026-07-30 02:37:40 UTC
RISE,light_chest,NilssonTengelinEtAl_Dataset_2026,12ca7139b78949ab84e0be92822d03910c1e47c8,artifacts/01_imported/cache/RISE_light_chest_12ca7139b789.RData,26619740,2026-07-29 22:44:49 UTC,8f03886f83903bde4edb2dc82d8ee3a136427fbc0498dcf7ecb1662c6c3b4202,070555298f7a20c421ba25dd8372f1c18d18eab0f1a7bf2c987fb5eaf96ecd72,TRUE,TRUE,FALSE,2026-07-30 02:37:40 UTC
RISE,light_glasses,NilssonTengelinEtAl_Dataset_2026,12ca7139b78949ab84e0be92822d03910c1e47c8,artifacts/01_imported/cache/RISE_light_glasses_12ca7139b789.RData,23275541,2026-07-29 22:44:30 UTC,eeb60d3a7bfc1c800dda0ff4e5655838a429b73e2aef487077821fb9d408149d,ad5ff229ea7d0431196771d8cb85c799f625d878c88c4035873622ee473f958b,TRUE,TRUE,FALSE,2026-07-30 02:37:40 UTC
RISE,sleepdiaries,NilssonTengelinEtAl_Dataset_2026,12ca7139b78949ab84e0be92822d03910c1e47c8,artifacts/01_imported/cache/RISE_sleepdiaries_12ca7139b789.RData,5145,2026-07-29 22:44:49 UTC,1b47c2fd9926ceba7e2cd1a785db765c238cc811157b4b38f2c636d3b241e879,a958d83f02bce5b44f4d30ecd058b046cae762f6b298921c3e9862992d94bf4b,TRUE,TRUE,FALSE,2026-07-30 02:37:40 UTC
RISE,wearlog,NilssonTengelinEtAl_Dataset_2026,12ca7139b78949ab84e0be92822d03910c1e47c8,artifacts/01_imported/cache/RISE_wearlog_12ca7139b789.RData,3859,2026-07-29 22:44:50 UTC,4bb078ee1597ee93a9534678a8f8715b7b142c7200b478b78385dfdc9a4d24d3,f17e772770b942d62f6922ef3b786f84131c237e37df1482fb53ab78c55d3586,TRUE,TRUE,FALSE,2026-07-30 02:37:40 UTC
THUAS,light_chest,AertsEtAl_Dataset_2025,19bf83f353e1cbdd33cd22621b2484bc3ead0c7d,artifacts/01_imported/cache/THUAS_light_chest_19bf83f353e1.RData,23817165,2026-07-29 22:45:13 UTC,e028026be2df84a3ee80c44c8b194857a09915102459e980431f7aa8c29d2655,a13b91ac2843ee841d79ac6ba4b1b8652a5be55ebb59db1c467bf04561ded32d,TRUE,TRUE,FALSE,2026-07-30 02:37:40 UTC
THUAS,light_glasses,AertsEtAl_Dataset_2025,19bf83f353e1cbdd33cd22621b2484bc3ead0c7d,artifacts/01_imported/cache/THUAS_light_glasses_19bf83f353e1.RData,19532673,2026-07-29 22:45:02 UTC,c82ebc3c0f2bbddba83849d2713cab7d34e5b848d5766f669a530c02e8a4fd7b,51025e37bad8516558845d177ac0d00a1c3bf8357b518448aa24d4ff8d6f56e7,TRUE,TRUE,FALSE,2026-07-30 02:37:40 UTC
THUAS,sleepdiaries,AertsEtAl_Dataset_2025,19bf83f353e1cbdd33cd22621b2484bc3ead0c7d,artifacts/01_imported/cache/THUAS_sleepdiaries_19bf83f353e1.RData,6382,2026-07-29 22:45:14 UTC,2713609a54ed587a8d3a56363cf9966e9d52103f52fd04aa5de4fa5142ce6564,b143d5948aa5b43d99aa00eb8d7f17d37705413c07ba3cd4b90372d12d94c305,TRUE,TRUE,FALSE,2026-07-30 02:37:40 UTC
THUAS,wearlog,AertsEtAl_Dataset_2025,19bf83f353e1cbdd33cd22621b2484bc3ead0c7d,artifacts/01_imported/cache/THUAS_wearlog_19bf83f353e1.RData,3434,2026-07-29 22:45:14 UTC,cabdf100d02d8ef93ff21fab0665a690a95a5c1e57ff204f60e8197f03c7de62,7ed4931e81afc0cf24d1cb5d307f80aa48d96d665574879917e1aca557574d68,TRUE,TRUE,FALSE,2026-07-30 02:37:40 UTC
TUM,light_chest,HildenEtAl_Dataset_2025,eeafeea65ee0d2e0f3a5ab9f17b0f22b29e63e57,artifacts/01_imported/cache/TUM_light_chest_eeafeea65ee0.RData,14119078,2026-07-29 22:45:35 UTC,6886aed3df8364902bc77387135faba0fc3b34588a0fe83907eeb1acf54a416e,6894aa8edc3d22560605cac4314b0b5da6d81826cc33ff6b1231dada52268091,TRUE,TRUE,FALSE,2026-07-30 02:37:40 UTC
TUM,light_glasses,HildenEtAl_Dataset_2025,eeafeea65ee0d2e0f3a5ab9f17b0f22b29e63e57,artifacts/01_imported/cache/TUM_light_glasses_eeafeea65ee0.RData,14685903,2026-07-29 22:45:24 UTC,f7bf090d3904ce0f63ea59ecc03b33d8be88a6f4d4b79a31305ba626e83774a4,7c5b6c7b386c953d30b44451159c990c9fb16e05fa4384d4656bd8d6884e86b0,TRUE,TRUE,FALSE,2026-07-30 02:37:40 UTC
TUM,sleepdiaries,HildenEtAl_Dataset_2025,eeafeea65ee0d2e0f3a5ab9f17b0f22b29e63e57,artifacts/01_imported/cache/TUM_sleepdiaries_eeafeea65ee0.RData,3117,2026-07-29 22:45:35 UTC,3fc2544233b51927458e73747f44b82be6eeb31917091eba206cb33f5091045c,2806ea1d87d407ef67732c01d0430b562c1bc8c5b7a5e5af4aeab5ca6ad65004,TRUE,TRUE,FALSE,2026-07-30 02:37:40 UTC
TUM,wearlog,HildenEtAl_Dataset_2025,eeafeea65ee0d2e0f3a5ab9f17b0f22b29e63e57,artifacts/01_imported/cache/TUM_wearlog_eeafeea65ee0.RData,3521,2026-07-29 22:45:35 UTC,9791bbfc6aa4765148fc004a291d8f38f64ec6fd3109e02142b569729a464eec,43c2b326af597b1efc2a6232dd477e2e3797cd6c84b9171587ff391747166158,TRUE,TRUE,FALSE,2026-07-30 02:37:40 UTC
UCR,light_chest,Sancho-SalasEtAl_Dataset_2025,ed90d9ac91b9fa81c0869dafbe6efb3c8d9faed3,artifacts/01_imported/cache/UCR_light_chest_ed90d9ac91b9.RData,59543045,2026-07-29 22:46:18 UTC,cd5c590636e421f4b76e66af83a2cc1b2f32d94079f5a7393eb3977c605df07e,52e56ae7b3e8a2971cac855ed660b0a6febf08e408df6b1530a47a7fe854aa05,TRUE,TRUE,FALSE,2026-07-30 02:37:40 UTC
UCR,light_glasses,Sancho-SalasEtAl_Dataset_2025,ed90d9ac91b9fa81c0869dafbe6efb3c8d9faed3,artifacts/01_imported/cache/UCR_light_glasses_ed90d9ac91b9.RData,8551810,2026-07-29 22:45:40 UTC,f45851c9fb8e1c4cacfc1d0fccd512d9831d48c526075923a3fbf0fee6fff870,2c0bd29db10c7995b24aa6f2b5764e40ac3697b143684fbda4a0f17033c7c95a,TRUE,TRUE,FALSE,2026-07-30 02:37:40 UTC
UCR,sleepdiaries,Sancho-SalasEtAl_Dataset_2025,ed90d9ac91b9fa81c0869dafbe6efb3c8d9faed3,artifacts/01_imported/cache/UCR_sleepdiaries_ed90d9ac91b9.RData,13513,2026-07-29 22:46:19 UTC,39637633354165291564980cfa721be33f54e85b6eb6de9adbf46f135196725b,7be2c52ae5dda7c7bd46dee30a13aef7fddc5c35fdd711b074dd9b1e59465ed9,TRUE,TRUE,FALSE,2026-07-30 02:37:40 UTC
UCR,wearlog,Sancho-SalasEtAl_Dataset_2025,ed90d9ac91b9fa81c0869dafbe6efb3c8d9faed3,artifacts/01_imported/cache/UCR_wearlog_ed90d9ac91b9.RData,9618,2026-07-29 22:46:20 UTC,3c42838d7335246ec2570369841921ff92285e8da208848c01dc991887eb27f2,1e27bd6f03f35d172b16dbed5ba296bd9a60d10e961b180ca52c9e87b62306c8,TRUE,TRUE,FALSE,2026-07-30 02:37:40 UTC
