"link_text","href","kind","resolved_path","target_exists","fragment","fragment_resolves","forbidden_reader_target","known_doc001_hold","pass"
"06 Model-ready datasets","../../notebooks/preparation/06_model_ready_datasets.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/06_model_ready_datasets.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"07 Example days","../../notebooks/preparation/07_example_days.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/07_example_days.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"Placement decision","../../notebooks/placement_decision.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/placement_decision.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"Descriptive results","../../notebooks/descriptives.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/descriptives.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"Preregistration deviations","../../notebooks/preregistration_deviations.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preregistration_deviations.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H01 results","../../notebooks/hypotheses/H01.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H01 preparation and provenance","../../audit/hypotheses/H01/H01_analysis_preparation.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H02 results","../../notebooks/hypotheses/H02.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H02.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H02 preparation and provenance","../../audit/hypotheses/H02/H02_analysis_preparation.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H03 results","../../notebooks/hypotheses/H03.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H03.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H03 preparation and provenance","../../audit/hypotheses/H03/H03_analysis_preparation.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H03/H03_analysis_preparation.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H04 results","../../notebooks/hypotheses/H04.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H04.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H04 preparation and provenance","../../audit/hypotheses/H04/H04_analysis_preparation.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H04/H04_analysis_preparation.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H05 results","../../notebooks/hypotheses/H05.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H05.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H05 preparation and provenance","../../audit/hypotheses/H05/H05_analysis_preparation.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H05/H05_analysis_preparation.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H06 results","../../notebooks/hypotheses/H06.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H06 preparation and provenance","../../audit/hypotheses/H06/H06_analysis_preparation.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H06/H06_analysis_preparation.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H06 complementary daily results","../../notebooks/hypotheses/H06_daily.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06_daily.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H06 complementary daily preparation and provenance","../../audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H07 results","../../notebooks/hypotheses/H07.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H07.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H07 preparation and provenance","../../audit/hypotheses/H07/H07_analysis_preparation.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H08 results","../../notebooks/hypotheses/H08.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H08.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H08 preparation and provenance","../../audit/hypotheses/H08/H08_analysis_preparation.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H08/H08_analysis_preparation.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H09 results","../../notebooks/hypotheses/H09.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H09.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H09 preparation and provenance","../../audit/hypotheses/H09/H09_analysis_preparation.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H10 results","../../notebooks/hypotheses/H10.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H10.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H10 preparation and provenance","../../audit/hypotheses/H10/H10_analysis_preparation.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H10/H10_analysis_preparation.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H11 results","../../notebooks/hypotheses/H11.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H11.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H11 preparation and provenance","../../audit/hypotheses/H11/H11_analysis_preparation.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H11/H11_analysis_preparation.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"Sensitivity checks","../../notebooks/sensitivity_battery.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/sensitivity_battery.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"Hypothesis and analytical question","#hypothesis-and-analytical-question","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"hypothesis-and-analytical-question",TRUE,FALSE,FALSE,TRUE
"What was analysed","#what-was-analysed","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"what-was-analysed",TRUE,FALSE,FALSE,TRUE
"Statistical models","#statistical-models","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"statistical-models",TRUE,FALSE,FALSE,TRUE
"Results overview","#results-overview","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"results-overview",TRUE,FALSE,FALSE,TRUE
"Primary near-eye summary","#primary-near-eye-summary","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"primary-near-eye-summary",TRUE,FALSE,FALSE,TRUE
"Primary near-eye results","#primary-near-eye-results","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"primary-near-eye-results",TRUE,FALSE,FALSE,TRUE
"Model-level tests","#model-level-tests","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"model-level-tests",TRUE,FALSE,FALSE,TRUE
"Photoperiod and latitude effects","#photoperiod-and-latitude-effects","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"photoperiod-and-latitude-effects",TRUE,FALSE,FALSE,TRUE
"Hierarchical site contrasts","#hierarchical-site-contrasts","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"hierarchical-site-contrasts",TRUE,FALSE,FALSE,TRUE
"Variation represented","#variation-represented","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"variation-represented",TRUE,FALSE,FALSE,TRUE
"Complementary chest results","#complementary-chest-results","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"complementary-chest-results",TRUE,FALSE,FALSE,TRUE
"Model-level tests","#model-level-tests-1","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"model-level-tests-1",TRUE,FALSE,FALSE,TRUE
"Photoperiod and latitude effects","#photoperiod-and-latitude-effects-1","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"photoperiod-and-latitude-effects-1",TRUE,FALSE,FALSE,TRUE
"Hierarchical site contrasts","#hierarchical-site-contrasts-1","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"hierarchical-site-contrasts-1",TRUE,FALSE,FALSE,TRUE
"Variation represented","#variation-represented-1","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"variation-represented-1",TRUE,FALSE,FALSE,TRUE
"Matched near-eye and chest evidence","#matched-near-eye-and-chest-evidence","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"matched-near-eye-and-chest-evidence",TRUE,FALSE,FALSE,TRUE
"Model checks","#model-checks","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"model-checks",TRUE,FALSE,FALSE,TRUE
"Representative review examples","#representative-review-examples","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"representative-review-examples",TRUE,FALSE,FALSE,TRUE
"Sensitivity analyses","#sensitivity-analyses","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"sensitivity-analyses",TRUE,FALSE,FALSE,TRUE
"Alternative dataset and matched-sample results","#alternative-dataset-and-matched-sample-results","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"alternative-dataset-and-matched-sample-results",TRUE,FALSE,FALSE,TRUE
"Matched near-eye and chest estimands","#matched-near-eye-and-chest-estimands","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"matched-near-eye-and-chest-estimands",TRUE,FALSE,FALSE,TRUE
"Darkest-10-hour midpoint clock cut","#darkest-10-hour-midpoint-clock-cut","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"darkest-10-hour-midpoint-clock-cut",TRUE,FALSE,FALSE,TRUE
"Exactly identified continuous periods","#exactly-identified-continuous-periods","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"exactly-identified-continuous-periods",TRUE,FALSE,FALSE,TRUE
"Preregistered photoperiod scope","#preregistered-photoperiod-scope","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"preregistered-photoperiod-scope",TRUE,FALSE,FALSE,TRUE
"Marginalization, participant influence, and latitude leverage","#marginalization-participant-influence-and-latitude-leverage","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"marginalization-participant-influence-and-latitude-leverage",TRUE,FALSE,FALSE,TRUE
"Interpretation","#interpretation","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"interpretation",TRUE,FALSE,FALSE,TRUE
"Limitations","#limitations","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"limitations",TRUE,FALSE,FALSE,TRUE
"Detailed analysis record","#detailed-analysis-record","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"detailed-analysis-record",TRUE,FALSE,FALSE,TRUE
"Exact fitted samples","#exact-fitted-samples","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"exact-fitted-samples",TRUE,FALSE,FALSE,TRUE
"Registration changes and related records","#h01-preregistration-deviations","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"h01-preregistration-deviations",TRUE,FALSE,FALSE,TRUE
"Response and model-family registry","#response-and-model-family-registry","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"response-and-model-family-registry",TRUE,FALSE,FALSE,TRUE
"Exact formulas and model engines","#exact-formulas-and-model-engines","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"exact-formulas-and-model-engines",TRUE,FALSE,FALSE,TRUE
"Participant-level formula objects","#participant-level-formula-objects","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"participant-level-formula-objects",TRUE,FALSE,FALSE,TRUE
"Participant-day formula objects","#participant-day-formula-objects","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"participant-day-formula-objects",TRUE,FALSE,FALSE,TRUE
"Preregistered-scope sensitivity formula objects","#preregistered-scope-sensitivity-formula-objects","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"preregistered-scope-sensitivity-formula-objects",TRUE,FALSE,FALSE,TRUE
"Analysis record and source data","#analysis-record-and-source-data","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"analysis-record-and-source-data",TRUE,FALSE,FALSE,TRUE
"Edit this page","https://github.com/tscnlab/ZaunerEtAl_bioRxiv_2026/edit/main/notebooks/hypotheses/H01.qmd","external","",TRUE,"",TRUE,FALSE,FALSE,TRUE
"Report an issue","https://github.com/tscnlab/ZaunerEtAl_bioRxiv_2026/issues","external","",TRUE,"",TRUE,FALSE,FALSE,TRUE
"Hypothesis analyses","../../notebooks/hypotheses/H01.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H01 results","../../notebooks/hypotheses/H01.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"detailed analysis record","#exact-fitted-samples","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"exact-fitted-samples",TRUE,FALSE,FALSE,TRUE
"registration changes and related records","#h01-preregistration-deviations","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"h01-preregistration-deviations",TRUE,FALSE,FALSE,TRUE
"Preparation 04","../../notebooks/preparation/04_metric_derivation.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/04_metric_derivation.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"Preparation 06","../../notebooks/preparation/06_model_ready_datasets.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/06_model_ready_datasets.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"","../../artifacts/10_figures/H01/stage3/H01_stage3_model_support.png","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/artifacts/10_figures/H01/stage3/H01_stage3_model_support.png",TRUE,"",TRUE,FALSE,FALSE,TRUE
"Source data for Figure 1","../../artifacts/11_source_data/H01/stage3/H01_stage3_METRIC011_l10_mean_medi_model_support_figure_source.csv","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/artifacts/11_source_data/H01/stage3/H01_stage3_METRIC011_l10_mean_medi_model_support_figure_source.csv",TRUE,"",TRUE,FALSE,FALSE,TRUE
"","../../artifacts/10_figures/H01/stage3/H01_stage3_site_contrasts_near_eye.png","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/artifacts/10_figures/H01/stage3/H01_stage3_site_contrasts_near_eye.png",TRUE,"",TRUE,FALSE,FALSE,TRUE
"Source data for Figure 2","../../artifacts/11_source_data/H01/stage3/H01_stage3_METRIC011_l10_mean_medi_site_contrast_figure_source.csv","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/artifacts/11_source_data/H01/stage3/H01_stage3_METRIC011_l10_mean_medi_site_contrast_figure_source.csv",TRUE,"",TRUE,FALSE,FALSE,TRUE
"","../../artifacts/10_figures/H01/stage3/H01_stage3_site_contrasts_chest.png","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/artifacts/10_figures/H01/stage3/H01_stage3_site_contrasts_chest.png",TRUE,"",TRUE,FALSE,FALSE,TRUE
