"job_id","sample_id","formula_id","gate","nominal_model_count","maximum_model_count","maximum_wall_seconds","model_path","gate_path"
"LOSO-THUAS","B_any_without_THUAS","selected_primary_rung","One deletion per registered site; no ad hoc repair ladder",1,1,120,"audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-LOSO-THUAS.rds","audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-LOSO-THUAS_fit_gate.csv"
"LOSO-BAUA","B_any_without_BAUA","selected_primary_rung","One deletion per registered site; no ad hoc repair ladder",1,1,120,"audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-LOSO-BAUA.rds","audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-LOSO-BAUA_fit_gate.csv"
"LOSO-MPI","B_any_without_MPI","selected_primary_rung","One deletion per registered site; no ad hoc repair ladder",1,1,120,"audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-LOSO-MPI.rds","audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-LOSO-MPI_fit_gate.csv"
"LOSO-TUM","B_any_without_TUM","selected_primary_rung","One deletion per registered site; no ad hoc repair ladder",1,1,120,"audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-LOSO-TUM.rds","audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-LOSO-TUM_fit_gate.csv"
"LOSO-FUSPCEU","B_any_without_FUSPCEU","selected_primary_rung","One deletion per registered site; no ad hoc repair ladder",1,1,120,"audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-LOSO-FUSPCEU.rds","audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-LOSO-FUSPCEU_fit_gate.csv"
"LOSO-IZTECH","B_any_without_IZTECH","selected_primary_rung","One deletion per registered site; no ad hoc repair ladder",1,1,120,"audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-LOSO-IZTECH.rds","audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-LOSO-IZTECH_fit_gate.csv"
"LOSO-UCR","B_any_without_UCR","selected_primary_rung","One deletion per registered site; no ad hoc repair ladder",1,1,120,"audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-LOSO-UCR.rds","audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-LOSO-UCR_fit_gate.csv"
"LOSO-KNUST","B_any_without_KNUST","selected_primary_rung","One deletion per registered site; no ad hoc repair ladder",1,1,120,"audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-LOSO-KNUST.rds","audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-LOSO-KNUST_fit_gate.csv"
"INFLUENCE-1","B_any_without_screen_position_1","selected_primary_rung","Five participants selected by the frozen seven-metric screen in the B primary sample",1,1,120,"audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-INFLUENCE-1.rds","audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-INFLUENCE-1_fit_gate.csv"
"INFLUENCE-2","B_any_without_screen_position_2","selected_primary_rung","Five participants selected by the frozen seven-metric screen in the B primary sample",1,1,120,"audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-INFLUENCE-2.rds","audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-INFLUENCE-2_fit_gate.csv"
"INFLUENCE-3","B_any_without_screen_position_3","selected_primary_rung","Five participants selected by the frozen seven-metric screen in the B primary sample",1,1,120,"audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-INFLUENCE-3.rds","audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-INFLUENCE-3_fit_gate.csv"
"INFLUENCE-4","B_any_without_screen_position_4","selected_primary_rung","Five participants selected by the frozen seven-metric screen in the B primary sample",1,1,120,"audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-INFLUENCE-4.rds","audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-INFLUENCE-4_fit_gate.csv"
"INFLUENCE-5","B_any_without_screen_position_5","selected_primary_rung","Five participants selected by the frozen seven-metric screen in the B primary sample",1,1,120,"audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-INFLUENCE-5.rds","audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-INFLUENCE-5_fit_gate.csv"
