"parent_index","site","Id","raw_state","period_source_start","period_source_end","expected_minutes","projected_minutes","valid_minutes","brown_yes","expected_recount","projected_recount","valid_recount","yes_recount","pass"
44,"BAUA","BAUA_S011","sleep",71,71,570,570,570,566,570,570,570,566,TRUE
45,"BAUA","BAUA_S011","sleep",72,72,470,470,470,458,470,470,470,458,TRUE
46,"BAUA","BAUA_S011","sleep",73,73,500,500,500,498,500,500,500,498,TRUE
47,"BAUA","BAUA_S012","sleep",76,76,524,524,498,314,524,524,498,314,TRUE
48,"BAUA","BAUA_S012","sleep",77,77,613,613,613,312,613,613,613,312,TRUE
49,"BAUA","BAUA_S012","sleep",78,78,509,509,509,320,509,509,509,320,TRUE
50,"BAUA","BAUA_S012","sleep",79,79,631,631,631,318,631,631,631,318,TRUE
51,"BAUA","BAUA_S012","sleep",80,80,632,632,632,305,632,632,632,305,TRUE
52,"BAUA","BAUA_S013","sleep",84,84,550,550,550,392,550,550,550,392,TRUE
53,"BAUA","BAUA_S013","sleep",85,85,578,578,578,425,578,578,578,425,TRUE
54,"BAUA","BAUA_S013","sleep",86,86,490,490,490,482,490,490,490,482,TRUE
55,"BAUA","BAUA_S013","sleep",87,87,491,491,491,359,491,491,491,359,TRUE
56,"BAUA","BAUA_S014","sleep",89,89,449,449,329,329,449,449,329,329,TRUE
57,"BAUA","BAUA_S014","sleep",90,90,390,390,390,387,390,390,390,387,TRUE
58,"BAUA","BAUA_S014","sleep",91,91,460,460,460,453,460,460,460,453,TRUE
59,"BAUA","BAUA_S014","sleep",92,92,429,429,429,399,429,429,429,399,TRUE
60,"BAUA","BAUA_S014","sleep",93,93,466,466,466,391,466,466,466,391,TRUE
61,"BAUA","BAUA_S014","sleep",94,94,509,509,509,492,509,509,509,492,TRUE
62,"BAUA","BAUA_S015","sleep",97,97,530,530,510,354,530,530,510,354,TRUE
63,"BAUA","BAUA_S015","sleep",98,98,475,475,475,453,475,475,475,453,TRUE
64,"BAUA","BAUA_S015","sleep",99,99,491,491,491,307,491,491,491,307,TRUE
65,"BAUA","BAUA_S015","sleep",100,100,710,710,710,324,710,710,710,324,TRUE
66,"BAUA","BAUA_S015","sleep",101,101,595,595,595,261,595,595,595,261,TRUE
67,"BAUA","BAUA_S015","sleep",102,102,415,415,415,300,415,415,415,300,TRUE
68,"BAUA","BAUA_S016","sleep",104,104,490,490,355,355,490,490,355,355,TRUE
69,"BAUA","BAUA_S016","sleep",105,105,492,492,492,488,492,492,492,488,TRUE
70,"BAUA","BAUA_S016","sleep",106,106,500,500,500,496,500,500,500,496,TRUE
71,"BAUA","BAUA_S016","sleep",107,107,548,548,548,533,548,548,548,533,TRUE
72,"BAUA","BAUA_S016","sleep",108,108,576,576,576,563,576,576,576,563,TRUE
73,"BAUA","BAUA_S016","sleep",109,109,470,470,470,468,470,470,470,468,TRUE
74,"BAUA","BAUA_S018","sleep",119,119,495,495,495,423,495,495,495,423,TRUE
75,"BAUA","BAUA_S018","sleep",120,120,465,465,465,392,465,465,465,392,TRUE
76,"BAUA","BAUA_S018","sleep",121,121,360,360,360,352,360,360,360,352,TRUE
77,"BAUA","BAUA_S018","sleep",122,122,480,480,480,399,480,480,480,399,TRUE
78,"BAUA","BAUA_S022","sleep",125,125,435,435,355,355,435,435,355,355,TRUE
79,"BAUA","BAUA_S022","sleep",127,127,530,530,530,530,530,530,530,530,TRUE
80,"BAUA","BAUA_S022","sleep",128,128,545,545,545,545,545,545,545,545,TRUE
81,"BAUA","BAUA_S022","sleep",129,129,555,555,555,555,555,555,555,555,TRUE
82,"BAUA","BAUA_S024","sleep",138,138,535,535,415,415,535,535,415,415,TRUE
83,"BAUA","BAUA_S024","sleep",139,139,565,565,565,565,565,565,565,565,TRUE
84,"BAUA","BAUA_S024","sleep",140,140,555,555,555,555,555,555,555,555,TRUE
85,"BAUA","BAUA_S024","sleep",141,141,570,570,570,564,570,570,570,564,TRUE
86,"BAUA","BAUA_S024","sleep",142,142,697,697,697,694,697,697,697,694,TRUE
87,"BAUA","BAUA_S024","sleep",143,143,608,608,608,608,608,608,608,608,TRUE
88,"BAUA","BAUA_S025","sleep",145,145,450,450,450,450,450,450,450,450,TRUE
89,"BAUA","BAUA_S025","sleep",146,146,569,569,569,569,569,569,569,569,TRUE
90,"BAUA","BAUA_S025","sleep",148,148,580,580,580,580,580,580,580,580,TRUE
91,"FUSPCEU","FUSPCEU_S003","sleep",1,1,480,480,400,400,480,480,400,400,TRUE
92,"FUSPCEU","FUSPCEU_S003","sleep",2,2,490,490,490,490,490,490,490,490,TRUE
93,"FUSPCEU","FUSPCEU_S003","sleep",3,3,470,470,470,470,470,470,470,470,TRUE
94,"FUSPCEU","FUSPCEU_S003","sleep",4,4,455,455,455,455,455,455,455,455,TRUE
95,"FUSPCEU","FUSPCEU_S003","sleep",5,5,360,360,360,360,360,360,360,360,TRUE
96,"FUSPCEU","FUSPCEU_S003","sleep",6,6,405,405,405,405,405,405,405,405,TRUE
97,"FUSPCEU","FUSPCEU_S004","sleep",8,8,523,523,445,445,523,523,445,445,TRUE
98,"FUSPCEU","FUSPCEU_S004","sleep",9,9,481,481,481,481,481,481,481,481,TRUE
99,"FUSPCEU","FUSPCEU_S004","sleep",10,10,579,579,61,61,579,579,61,61,TRUE
100,"FUSPCEU","FUSPCEU_S004","sleep",11,11,518,518,431,431,518,518,431,431,TRUE
101,"FUSPCEU","FUSPCEU_S004","sleep",12,12,493,493,493,493,493,493,493,493,TRUE
102,"FUSPCEU","FUSPCEU_S004","sleep",13,13,480,480,480,480,480,480,480,480,TRUE
103,"FUSPCEU","FUSPCEU_S005","sleep",15,15,581,581,485,485,581,581,485,485,TRUE
104,"FUSPCEU","FUSPCEU_S005","sleep",16,16,555,555,555,555,555,555,555,555,TRUE
105,"FUSPCEU","FUSPCEU_S005","sleep",17,17,540,540,540,540,540,540,540,540,TRUE
106,"FUSPCEU","FUSPCEU_S005","sleep",18,18,540,540,540,540,540,540,540,540,TRUE
107,"FUSPCEU","FUSPCEU_S006","sleep",21,21,400,400,400,400,400,400,400,400,TRUE
108,"FUSPCEU","FUSPCEU_S006","sleep",22,22,505,505,505,503,505,505,505,503,TRUE
109,"FUSPCEU","FUSPCEU_S006","sleep",23,23,517,517,517,517,517,517,517,517,TRUE
110,"FUSPCEU","FUSPCEU_S006","sleep",24,24,530,530,530,530,530,530,530,530,TRUE
111,"FUSPCEU","FUSPCEU_S006","sleep",25,25,485,485,485,485,485,485,485,485,TRUE
112,"FUSPCEU","FUSPCEU_S007","sleep",28,28,510,510,495,495,510,510,495,495,TRUE
113,"FUSPCEU","FUSPCEU_S007","sleep",29,29,495,495,495,495,495,495,495,495,TRUE
114,"FUSPCEU","FUSPCEU_S007","sleep",30,30,450,450,450,439,450,450,450,439,TRUE
115,"FUSPCEU","FUSPCEU_S007","sleep",31,31,525,525,525,525,525,525,525,525,TRUE
116,"FUSPCEU","FUSPCEU_S007","sleep",32,32,605,605,605,605,605,605,605,605,TRUE
117,"FUSPCEU","FUSPCEU_S007","sleep",33,33,705,705,705,705,705,705,705,705,TRUE
118,"FUSPCEU","FUSPCEU_S008","sleep",35,35,450,450,450,449,450,450,450,449,TRUE
119,"FUSPCEU","FUSPCEU_S008","sleep",36,36,436,436,436,436,436,436,436,436,TRUE
120,"FUSPCEU","FUSPCEU_S008","sleep",37,37,490,490,490,490,490,490,490,490,TRUE
121,"FUSPCEU","FUSPCEU_S008","sleep",38,38,465,465,465,465,465,465,465,465,TRUE
122,"FUSPCEU","FUSPCEU_S008","sleep",39,39,415,415,415,415,415,415,415,415,TRUE
123,"FUSPCEU","FUSPCEU_S008","sleep",40,40,511,511,511,269,511,511,511,269,TRUE
124,"FUSPCEU","FUSPCEU_S009","sleep",42,42,365,365,365,365,365,365,365,365,TRUE
125,"FUSPCEU","FUSPCEU_S009","sleep",43,43,475,475,475,475,475,475,475,475,TRUE
126,"FUSPCEU","FUSPCEU_S009","sleep",44,44,448,448,448,448,448,448,448,448,TRUE
127,"FUSPCEU","FUSPCEU_S009","sleep",45,45,460,460,460,460,460,460,460,460,TRUE
128,"FUSPCEU","FUSPCEU_S009","sleep",46,46,545,545,545,545,545,545,545,545,TRUE
129,"FUSPCEU","FUSPCEU_S009","sleep",47,47,477,477,477,477,477,477,477,477,TRUE
130,"FUSPCEU","FUSPCEU_S010","sleep",49,49,510,510,510,492,510,510,510,492,TRUE
131,"FUSPCEU","FUSPCEU_S010","sleep",50,50,510,510,510,499,510,510,510,499,TRUE
132,"FUSPCEU","FUSPCEU_S010","sleep",51,51,510,510,510,510,510,510,510,510,TRUE
133,"FUSPCEU","FUSPCEU_S010","sleep",52,52,480,480,60,58,480,480,60,58,TRUE
134,"FUSPCEU","FUSPCEU_S011","sleep",56,56,495,495,435,435,495,495,435,435,TRUE
135,"FUSPCEU","FUSPCEU_S011","sleep",57,57,480,480,480,480,480,480,480,480,TRUE
136,"FUSPCEU","FUSPCEU_S011","sleep",58,58,555,555,555,555,555,555,555,555,TRUE
137,"FUSPCEU","FUSPCEU_S011","sleep",59,59,451,451,1,0,451,451,1,0,TRUE
138,"FUSPCEU","FUSPCEU_S012","sleep",62,62,476,476,450,450,476,476,450,450,TRUE
139,"FUSPCEU","FUSPCEU_S012","sleep",63,63,565,565,565,506,565,565,565,506,TRUE
140,"FUSPCEU","FUSPCEU_S012","sleep",64,64,550,550,550,544,550,550,550,544,TRUE
141,"FUSPCEU","FUSPCEU_S012","sleep",65,65,681,681,681,597,681,681,681,597,TRUE
142,"FUSPCEU","FUSPCEU_S012","sleep",66,66,710,710,710,612,710,710,710,612,TRUE
143,"FUSPCEU","FUSPCEU_S012","sleep",67,67,622,622,622,569,622,622,622,569,TRUE
144,"FUSPCEU","FUSPCEU_S013","sleep",69,69,405,405,390,390,405,405,390,390,TRUE
145,"FUSPCEU","FUSPCEU_S013","sleep",70,70,426,426,426,425,426,426,426,425,TRUE
146,"FUSPCEU","FUSPCEU_S013","sleep",71,71,390,390,390,390,390,390,390,390,TRUE
147,"FUSPCEU","FUSPCEU_S013","sleep",72,72,470,470,470,470,470,470,470,470,TRUE
148,"FUSPCEU","FUSPCEU_S013","sleep",73,73,519,519,519,519,519,519,519,519,TRUE
149,"FUSPCEU","FUSPCEU_S013","sleep",74,74,480,480,480,480,480,480,480,480,TRUE
150,"FUSPCEU","FUSPCEU_S014","sleep",77,77,390,390,390,191,390,390,390,191,TRUE
151,"FUSPCEU","FUSPCEU_S014","sleep",78,78,360,360,360,171,360,360,360,171,TRUE
152,"FUSPCEU","FUSPCEU_S014","sleep",79,79,400,400,400,213,400,400,400,213,TRUE
153,"FUSPCEU","FUSPCEU_S014","sleep",80,80,500,500,500,310,500,500,500,310,TRUE
154,"FUSPCEU","FUSPCEU_S014","sleep",81,81,470,470,470,308,470,470,470,308,TRUE
155,"FUSPCEU","FUSPCEU_S015","sleep",83,83,420,420,360,360,420,420,360,360,TRUE
156,"FUSPCEU","FUSPCEU_S015","sleep",84,84,430,430,430,421,430,430,430,421,TRUE
157,"FUSPCEU","FUSPCEU_S015","sleep",85,85,420,420,420,420,420,420,420,420,TRUE
158,"FUSPCEU","FUSPCEU_S015","sleep",86,86,439,439,439,396,439,439,439,396,TRUE
159,"FUSPCEU","FUSPCEU_S015","sleep",87,87,430,430,430,389,430,430,430,389,TRUE
160,"FUSPCEU","FUSPCEU_S015","sleep",88,88,580,580,580,567,580,580,580,567,TRUE
161,"FUSPCEU","FUSPCEU_S016","sleep",90,90,420,420,420,420,420,420,420,420,TRUE
162,"FUSPCEU","FUSPCEU_S016","sleep",91,91,578,578,38,38,578,578,38,38,TRUE
163,"FUSPCEU","FUSPCEU_S016","sleep",92,92,420,420,420,420,420,420,420,420,TRUE
164,"FUSPCEU","FUSPCEU_S016","sleep",93,93,675,675,675,670,675,675,675,670,TRUE
165,"FUSPCEU","FUSPCEU_S016","sleep",94,94,570,570,570,570,570,570,570,570,TRUE
166,"FUSPCEU","FUSPCEU_S017","sleep",96,96,690,690,690,690,690,690,690,690,TRUE
167,"FUSPCEU","FUSPCEU_S017","sleep",97,97,499,499,499,499,499,499,499,499,TRUE
168,"FUSPCEU","FUSPCEU_S017","sleep",98,98,686,686,686,686,686,686,686,686,TRUE
169,"FUSPCEU","FUSPCEU_S017","sleep",99,99,710,710,710,710,710,710,710,710,TRUE
170,"FUSPCEU","FUSPCEU_S018","sleep",101,101,842,842,842,842,842,842,842,842,TRUE
171,"FUSPCEU","FUSPCEU_S018","sleep",102,102,759,759,759,515,759,759,759,515,TRUE
172,"FUSPCEU","FUSPCEU_S018","sleep",103,103,836,836,836,808,836,836,836,808,TRUE
173,"FUSPCEU","FUSPCEU_S019","sleep",105,105,540,540,450,450,540,540,450,450,TRUE
174,"FUSPCEU","FUSPCEU_S019","sleep",106,106,540,540,540,540,540,540,540,540,TRUE
175,"FUSPCEU","FUSPCEU_S019","sleep",107,107,720,720,720,720,720,720,720,720,TRUE
176,"FUSPCEU","FUSPCEU_S019","sleep",108,108,494,494,494,494,494,494,494,494,TRUE
177,"FUSPCEU","FUSPCEU_S019","sleep",109,109,555,555,555,553,555,555,555,553,TRUE
178,"FUSPCEU","FUSPCEU_S019","sleep",110,110,575,575,575,565,575,575,575,565,TRUE
179,"FUSPCEU","FUSPCEU_S020","sleep",112,112,480,480,390,387,480,480,390,387,TRUE
180,"FUSPCEU","FUSPCEU_S020","sleep",113,113,480,480,480,480,480,480,480,480,TRUE
181,"FUSPCEU","FUSPCEU_S020","sleep",114,114,520,520,520,520,520,520,520,520,TRUE
182,"FUSPCEU","FUSPCEU_S020","sleep",115,115,610,610,610,604,610,610,610,604,TRUE
183,"FUSPCEU","FUSPCEU_S020","sleep",116,116,453,453,453,445,453,453,453,445,TRUE
184,"FUSPCEU","FUSPCEU_S020","sleep",117,117,338,338,338,338,338,338,338,338,TRUE
185,"FUSPCEU","FUSPCEU_S021","sleep",119,119,546,546,546,545,546,546,546,545,TRUE
186,"FUSPCEU","FUSPCEU_S021","sleep",122,122,718,718,718,677,718,718,718,677,TRUE
187,"FUSPCEU","FUSPCEU_S022","sleep",124,124,540,540,525,525,540,540,525,525,TRUE
188,"FUSPCEU","FUSPCEU_S022","sleep",125,125,540,540,540,540,540,540,540,540,TRUE
189,"FUSPCEU","FUSPCEU_S022","sleep",126,126,555,555,555,555,555,555,555,555,TRUE
190,"FUSPCEU","FUSPCEU_S022","sleep",127,127,510,510,510,510,510,510,510,510,TRUE
191,"FUSPCEU","FUSPCEU_S022","sleep",128,128,590,590,590,586,590,590,590,586,TRUE
192,"FUSPCEU","FUSPCEU_S022","sleep",129,129,555,555,555,555,555,555,555,555,TRUE
193,"FUSPCEU","FUSPCEU_S023","sleep",131,131,613,613,553,553,613,613,553,553,TRUE
194,"FUSPCEU","FUSPCEU_S023","sleep",132,132,422,422,422,420,422,422,422,420,TRUE
195,"FUSPCEU","FUSPCEU_S023","sleep",133,133,495,495,495,482,495,495,495,482,TRUE
196,"FUSPCEU","FUSPCEU_S023","sleep",134,134,420,420,420,420,420,420,420,420,TRUE
197,"FUSPCEU","FUSPCEU_S024","sleep",136,136,450,450,450,450,450,450,450,450,TRUE
198,"FUSPCEU","FUSPCEU_S024","sleep",137,137,345,345,345,345,345,345,345,345,TRUE
199,"FUSPCEU","FUSPCEU_S024","sleep",138,138,405,405,405,405,405,405,405,405,TRUE
200,"FUSPCEU","FUSPCEU_S024","sleep",140,140,280,280,280,280,280,280,280,280,TRUE
201,"FUSPCEU","FUSPCEU_S024","sleep",141,141,570,570,570,570,570,570,570,570,TRUE
202,"FUSPCEU","FUSPCEU_S025","sleep",143,143,510,510,440,440,510,510,440,440,TRUE
203,"FUSPCEU","FUSPCEU_S025","sleep",144,144,470,470,470,470,470,470,470,470,TRUE
204,"FUSPCEU","FUSPCEU_S025","sleep",145,145,520,520,520,520,520,520,520,520,TRUE
205,"FUSPCEU","FUSPCEU_S025","sleep",146,146,493,493,20,20,493,493,20,20,TRUE
206,"FUSPCEU","FUSPCEU_S025","sleep",148,148,442,442,442,401,442,442,442,401,TRUE
207,"IZTECH","IZTECH_S001","sleep",2,2,260,260,260,260,260,260,260,260,TRUE
208,"IZTECH","IZTECH_S001","sleep",3,3,170,170,170,170,170,170,170,170,TRUE
209,"IZTECH","IZTECH_S001","sleep",4,4,476,476,476,476,476,476,476,476,TRUE
210,"IZTECH","IZTECH_S001","sleep",5,5,415,415,415,403,415,415,415,403,TRUE
211,"IZTECH","IZTECH_S001","sleep",6,6,510,510,510,510,510,510,510,510,TRUE
212,"IZTECH","IZTECH_S001","sleep",7,7,475,475,475,463,475,475,475,463,TRUE
213,"IZTECH","IZTECH_S001","sleep",8,8,615,615,615,575,615,615,615,575,TRUE
214,"IZTECH","IZTECH_S002","sleep",11,11,460,460,460,423,460,460,460,423,TRUE
215,"IZTECH","IZTECH_S002","sleep",12,12,622,622,622,563,622,622,622,563,TRUE
216,"IZTECH","IZTECH_S002","sleep",13,13,540,540,540,308,540,540,540,308,TRUE
217,"IZTECH","IZTECH_S002","sleep",14,14,577,577,577,450,577,577,577,450,TRUE
218,"IZTECH","IZTECH_S002","sleep",15,15,784,784,784,450,784,784,784,450,TRUE
219,"IZTECH","IZTECH_S002","sleep",16,16,580,580,580,387,580,580,580,387,TRUE
220,"IZTECH","IZTECH_S003","sleep",19,19,510,510,510,419,510,510,510,419,TRUE
221,"IZTECH","IZTECH_S003","sleep",20,20,600,600,600,577,600,600,600,577,TRUE
222,"IZTECH","IZTECH_S003","sleep",21,21,450,450,450,382,450,450,450,382,TRUE
223,"IZTECH","IZTECH_S003","sleep",22,22,380,380,380,380,380,380,380,380,TRUE
224,"IZTECH","IZTECH_S003","sleep",23,23,650,650,650,445,650,650,650,445,TRUE
225,"IZTECH","IZTECH_S003","sleep",24,24,512,512,512,426,512,512,512,426,TRUE
226,"IZTECH","IZTECH_S004","sleep",28,28,495,495,495,495,495,495,495,495,TRUE
227,"IZTECH","IZTECH_S004","sleep",29,29,495,495,495,495,495,495,495,495,TRUE
228,"IZTECH","IZTECH_S004","sleep",30,30,540,540,540,540,540,540,540,540,TRUE
229,"IZTECH","IZTECH_S004","sleep",31,31,535,535,535,535,535,535,535,535,TRUE
230,"IZTECH","IZTECH_S004","sleep",32,32,495,495,495,485,495,495,495,485,TRUE
231,"IZTECH","IZTECH_S005","sleep",35,35,520,520,515,515,520,520,515,515,TRUE
232,"IZTECH","IZTECH_S005","sleep",36,36,545,545,545,519,545,545,545,519,TRUE
233,"IZTECH","IZTECH_S005","sleep",37,37,535,535,535,484,535,535,535,484,TRUE
234,"IZTECH","IZTECH_S005","sleep",38,38,520,520,520,520,520,520,520,520,TRUE
235,"IZTECH","IZTECH_S005","sleep",39,39,525,525,525,525,525,525,525,525,TRUE
236,"IZTECH","IZTECH_S005","sleep",40,40,540,540,540,539,540,540,540,539,TRUE
237,"IZTECH","IZTECH_S006","sleep",43,43,405,405,405,405,405,405,405,405,TRUE
238,"IZTECH","IZTECH_S006","sleep",44,44,405,405,405,405,405,405,405,405,TRUE
239,"IZTECH","IZTECH_S006","sleep",45,45,425,425,425,419,425,425,425,419,TRUE
240,"IZTECH","IZTECH_S006","sleep",46,46,500,500,500,406,500,500,500,406,TRUE
241,"IZTECH","IZTECH_S006","sleep",47,47,585,585,585,399,585,585,585,399,TRUE
242,"IZTECH","IZTECH_S006","sleep",48,48,290,290,290,57,290,290,290,57,TRUE
243,"IZTECH","IZTECH_S007","sleep",51,51,484,484,454,452,484,484,454,452,TRUE
244,"IZTECH","IZTECH_S007","sleep",52,52,481,481,481,481,481,481,481,481,TRUE
245,"IZTECH","IZTECH_S007","sleep",53,53,600,600,600,586,600,600,600,586,TRUE
246,"IZTECH","IZTECH_S007","sleep",54,54,600,600,600,596,600,600,600,596,TRUE
247,"IZTECH","IZTECH_S007","sleep",55,55,498,498,498,498,498,498,498,498,TRUE
248,"IZTECH","IZTECH_S007","sleep",56,56,565,565,565,534,565,565,565,534,TRUE
249,"IZTECH","IZTECH_S008","sleep",59,59,440,440,405,405,440,440,405,405,TRUE
250,"IZTECH","IZTECH_S008","sleep",60,60,583,583,583,582,583,583,583,582,TRUE
251,"IZTECH","IZTECH_S008","sleep",61,61,530,530,530,522,530,530,530,522,TRUE
252,"IZTECH","IZTECH_S008","sleep",62,62,450,450,450,449,450,450,450,449,TRUE
253,"IZTECH","IZTECH_S008","sleep",63,63,860,860,200,199,860,860,200,199,TRUE
254,"IZTECH","IZTECH_S008","sleep",64,64,440,440,410,410,440,440,410,410,TRUE
255,"IZTECH","IZTECH_S009","sleep",67,67,420,420,420,420,420,420,420,420,TRUE
256,"IZTECH","IZTECH_S009","sleep",68,68,536,536,536,418,536,536,536,418,TRUE
257,"IZTECH","IZTECH_S009","sleep",69,69,610,610,610,383,610,610,610,383,TRUE
258,"IZTECH","IZTECH_S009","sleep",71,71,601,601,601,263,601,601,601,263,TRUE
259,"IZTECH","IZTECH_S009","sleep",72,72,643,643,643,322,643,643,643,322,TRUE
260,"IZTECH","IZTECH_S009","sleep",73,73,588,588,588,356,588,588,588,356,TRUE
261,"IZTECH","IZTECH_S010","sleep",76,76,420,420,420,351,420,420,420,351,TRUE
262,"IZTECH","IZTECH_S010","sleep",77,77,405,405,405,276,405,405,405,276,TRUE
263,"IZTECH","IZTECH_S010","sleep",78,78,405,405,405,338,405,405,405,338,TRUE
264,"IZTECH","IZTECH_S010","sleep",79,79,400,400,400,304,400,400,400,304,TRUE
265,"IZTECH","IZTECH_S010","sleep",80,80,510,510,510,373,510,510,510,373,TRUE
266,"IZTECH","IZTECH_S010","sleep",81,81,405,405,405,306,405,405,405,306,TRUE
267,"IZTECH","IZTECH_S011","sleep",84,84,360,360,360,279,360,360,360,279,TRUE
268,"IZTECH","IZTECH_S011","sleep",85,85,420,420,420,330,420,420,420,330,TRUE
269,"IZTECH","IZTECH_S011","sleep",86,86,370,370,370,277,370,370,370,277,TRUE
270,"IZTECH","IZTECH_S011","sleep",87,87,396,396,396,296,396,396,396,296,TRUE
271,"IZTECH","IZTECH_S011","sleep",88,88,459,459,459,187,459,459,459,187,TRUE
272,"IZTECH","IZTECH_S011","sleep",89,89,360,360,360,174,360,360,360,174,TRUE
273,"IZTECH","IZTECH_S012","sleep",93,93,584,584,584,437,584,584,584,437,TRUE
274,"IZTECH","IZTECH_S012","sleep",94,94,400,400,400,293,400,400,400,293,TRUE
275,"IZTECH","IZTECH_S012","sleep",95,95,580,580,580,377,580,580,580,377,TRUE
276,"IZTECH","IZTECH_S012","sleep",96,96,414,414,414,249,414,414,414,249,TRUE
277,"IZTECH","IZTECH_S013","sleep",99,99,294,294,294,199,294,294,294,199,TRUE
278,"IZTECH","IZTECH_S013","sleep",100,100,714,714,714,195,714,714,714,195,TRUE
279,"IZTECH","IZTECH_S013","sleep",101,101,615,615,615,232,615,615,615,232,TRUE
280,"IZTECH","IZTECH_S013","sleep",102,102,117,117,117,0,117,117,117,0,TRUE
281,"IZTECH","IZTECH_S013","sleep",103,103,797,797,797,467,797,797,797,467,TRUE
282,"IZTECH","IZTECH_S013","sleep",104,104,564,564,564,195,564,564,564,195,TRUE
283,"IZTECH","IZTECH_S014","sleep",107,107,529,529,509,462,529,529,509,462,TRUE
284,"IZTECH","IZTECH_S014","sleep",108,108,433,433,433,381,433,433,433,381,TRUE
285,"IZTECH","IZTECH_S014","sleep",109,109,630,630,630,553,630,630,630,553,TRUE
286,"IZTECH","IZTECH_S014","sleep",110,110,541,541,541,419,541,541,541,419,TRUE
287,"IZTECH","IZTECH_S014","sleep",111,111,591,591,591,430,591,591,591,430,TRUE
288,"IZTECH","IZTECH_S014","sleep",112,112,423,423,423,276,423,423,423,276,TRUE
