decision_id,date,status,scope,decision,rationale,evidence_locator,implementation_effect,reopening_condition
PLACEMENT-008,2026-07-29,verified_at_last_check,"Related-work citation status","Do not use a numbered placeholder citation while no public preprint is available","No public preprint was found at the last check","audit/evidence/placement_paper_reading_notes.md","Disclose the submitted/unpublished related manuscript in the cover letter","Recheck immediately before final staging and replace with a verified public citation if available"
TIME-001,2026-07-30,approved,"Canonical time axes","Retain both true datetime_utc and a shared datetime_wall local-clock coordinate","Cross-site local-clock cutoffs need one common clock representation, while elapsed-time calculations require preserved absolute instants","audit/findings/timestamp_dst_fallback.md","Use datetime_wall only for clock alignment and datetime_utc for keys, ordering, durations, gaps, and adjacency","Reopen only if a later source proves the input timestamps do not represent site-local instants"
TIME-002,2026-07-30,approved,"DST fall-back in clock-aligned analyses","Average duplicate fall-back observations within each wall-clock minute and record fold provenance","This keeps all sites on a common 24-hour clock grid without double-weighting the repeated local hour in profiles, cutoffs, or clock-aligned models","audit/findings/timestamp_dst_fallback.md","Clock-aligned artifacts include source-interval counts, distinct instants, offsets, and a DST-fold flag","Reopen if a target model explicitly estimates the two fall-back occurrences separately"
TIME-003,2026-07-30,approved,"DST fall-back in elapsed-time analyses","Retain both real fall-back hours for dose, durations, continuous periods, gaps, and sequential metrics","Averaging the repeated hour would erase real exposure time and break physical adjacency","audit/findings/timestamp_dst_fallback.md","Elapsed-time metrics use datetime_utc and actual interval durations; datetime_wall is not an ordering key","Reopen only as an explicit estimand change"
STATE-001,2026-07-30,approved,"Sleep-window authority","Use the sleep diary sleepprep-to-wake interval as the authoritative sleep and bedside-environment window","Wear-log sleep/off declarations were inconsistent and incomplete; the wear log is not a suitable alternative sleep detector","audit/findings/state_precedence_and_channel_mask.md","Diary Brown states define wake, pre-sleep, and sleep windows; wear='sleep' is provenance only","Reopen only with validated evidence that the diary intervals are wrong or a separately approved sleep-state estimand"
STATE-002,2026-07-30,approved,"True non-wear","Treat only wear='off' outside diary sleep as invalid non-wear","The wear log is useful for declared real non-wear but not for determining sleep; off during diary sleep is consistent with bedside placement","audit/findings/state_precedence_and_channel_mask.md","Retain off during diary sleep, missing wear, and site_leave; mask off outside sleep","Reopen only if protocol evidence changes the meaning of an observed wear state"
STATE-003,2026-07-30,approved,"Analytical light-channel masking","Apply invalid-nonwear masking consistently to analytical MEDI and LIGHT while preserving raw channels","Leaving finite LIGHT where MEDI is masked creates incompatible denominators for photopic and paired-channel metrics","audit/findings/state_precedence_and_channel_mask.md","Create immutable raw channel columns, analytical channel columns, validity flags, and exclusion reasons","Reopen only as an explicit channel-specific estimand with separate support accounting"
SIGNAL-001,2026-07-30,approved,"ActLumus melanopic EDI operating range","Retain only MEDI values below 100000 lx and set values >=100000 lx to missing","The official ActLumus manual reports a 1–100000-lx light-sensor operating interval; the companion dosimeter-placement manuscript uses <100000 lx melEDI, and the author approved that conservative strict endpoint","audit/decisions/saturation_boundary.md; audit/evidence/ActLumus_manual_targeted_search.md","Apply the rule after one-minute aggregation, preserve raw values and an operating-boundary flag, and report affected observations and result differences","Reopen only with verified manufacturer or calibration evidence supporting a different valid operating range"
COVERAGE-001,2026-07-30,approved,"Daily 80% participant-day eligibility denominator","Retain Rule A's fixed 1440-wall-minute whole-cycle denominator as primary; use Rule B's sleep-excluded daily denominator and Rule C's wake-aware hourly-plus-daily denominator as fixed sensitivity scenarios","Rule A operationalizes the intended hybrid 24-hour coverage question across worn waking and bedside diary-sleep measurements; the signed preregistration literally says to exclude sleep, so Rule A is disclosed as DEV-055 rather than called preregistration-faithful; sensitivity definitions were fixed before rebuilt hypothesis results were inspected","audit/decisions/daily_coverage_denominator.md; audit/findings/daily_coverage_denominator.md; audit/evidence/preregistration_contract.md:83-89","Leave canonical primary eligibility unchanged; add Rules B and C to the sensitivity battery with scenario-specific and common-sample flows and result comparisons","Reopen if either sensitivity materially changes an estimate or conclusion, reveals unexpected site/placement exclusion, or the intended hybrid-day construct or support definition changes"
METRIC-001,2026-07-29,approved,"Metric validity and admissibility","Retain the intentional hybrid 24-hour construct and the registered 50% hourly and 80% daily thresholds, but separate participant-day eligibility from metric-specific temporal, state, boundary, gap, and denominator support; unsupported metrics become reason-coded missing values and L5 is excluded","This preserves otherwise useful participant-days while preventing missingness, masked intervals, or compressed gaps from silently changing a metric's meaning; COVERAGE-001 fixes Rule A as primary and Rules B and C as sensitivities, with the literal preregistration conflict documented in DEV-055","audit/decisions/metric_validity.md; audit/ledgers/metric_validity.csv","Apply the row-specific retain, modify, or exclude decision before a metric enters any model and export metric-specific support and reason codes","Reopen if a clean rerun reveals construct failure, non-estimability, or a material result change requiring the agreed major gate"
METRIC-002,2026-07-30,approved,"Support-aware metric implementation parameters","Fix the base grid, strict endpoints, no-bridge rule, reference support, metric-specific relevance maps, dose guard, M10/L10 rules, censoring, and IS/IV requirements before inspecting rebuilt results","Predeclaring the parameters prevents result-driven support choices while preserving otherwise useful participant-days","audit/decisions/metric_implementation_parameters.md","Implement reason-coded metric-specific missingness and retain raw/corrected or support diagnostics where specified","Reopen if the clean rerun reveals a construct failure or a material result change requiring the agreed major gate"
INPUT-001,2026-07-29,approved,"Canonical light-data source and state-alignment order","Import the public native-epoch light datasets from immutable repository commits; aggregate complete 1-second 10-second or 60-second streams to one minute before attaching prepared sleep and wear intervals; do not substitute the separately published one-minute objects","The published one-minute objects differ in keys and values and are not computationally interchangeable; for the pinned releases the minute-start interval state exactly matches the modal native-epoch state in every directly affected minute","audit/decisions/input_source_selection.md; audit/findings/state_aggregation_order.md; audit/scripts/verify_state_aggregation_order.R; config/site_sources.csv","The canonical importer uses pinned native-epoch inputs and records their hashes; source aggregation and later interval projection remain explicit auditable steps and fail closed on source object schema or time-zone drift","Reopen if a pinned light sleep or wear source changes or if the native-epoch versus minute-start state-equivalence audit yields any mismatch"
PREP-001,2026-07-30,approved,"Source-epoch-aware one-minute aggregation","Infer and validate the regular participant-stream epoch and require every expected finite subepoch per signal for the primary one-minute arithmetic mean; apply the MEDI operating-range rule after aggregation; fix >=50% finite native subepochs as a sensitivity","The pinned releases are regular but include verified 1-second and 60-second participant streams in addition to 10-second streams; the relaxed rule adds only 0.040%-0.146% of represented minutes overall but is concentrated at KNUST","audit/decisions/minute_aggregation.md; audit/findings/heterogeneous_source_epochs.md; audit/findings/minute_aggregation_support.md","Retain stream epoch and subepoch support counts; do not exclude a valid stream for using another regular epoch; keep complete native-epoch support primary and report the relaxed sensitivity by site","Reopen if a participant stream is irregular, its dominant epoch does not divide a minute, or the relaxed sensitivity changes a substantive result"
STATE-004,2026-07-30,approved,"State projection and metric domains","Project the canonical Preparation 01 diary and wear intervals onto every complete true-UTC metric minute with half-open [start, end) bounds; do not carry labels forward; classify a state-duration metric as incomplete_state_domain when unresolved diary minutes prevent bounding the calendar-day state domains","State denominators must not depend on whether a light-source row happened to be present, while genuinely unsupported diary spans must not be inferred from wear logs or treated as wake","audit/findings/state_interval_projection.md; tests/test_build_metric_derivation.R","Load and checksum interval artifacts as explicit Preparation 04 inputs; verify all source-present state/context labels exactly; keep affected days and full-day metrics while making state metrics reason-coded NA","Reopen if interval preparation, state precedence, calendar-day boundaries, or the state-duration estimand changes"
STATE-005,2026-07-30,approved,"State-duration metric-specific support cutoff","Use 0.80 as the primary cutoff from the fixed 0.70/0.80/0.90 registry and retain 0.70 and 0.90 as fixed sensitivities","The cutoff was chosen from construct-support and missingness considerations before final metric values or hypothesis results were inspected; it changes only the affected state metric and never removes a participant-day","audit/findings/state_support_cutoff_gate.md; artifacts/05_metrics/state_support_candidate_diagnostics.csv; artifacts/05_metrics/state_support_candidate_by_site.csv","Run final Preparation 04 with 0.80 recorded explicitly and register 0.70 and 0.90 metric-specific sensitivity scenarios","Reopen if the state-duration estimand diary-state domain support definition or fixed candidate registry changes or if a sensitivity materially changes a conclusion"
METRIC-003,2026-07-30,superseded_by_METRIC_010,"MDER metric-specific support cutoff","Use 0.80 as the primary cutoff for each of ordinary paired coverage fixed MEDI-profile support and fixed LIGHT-profile support; retain 0.70 and 0.90 as fixed sensitivities","MDER requires an adequately observed common two-signal domain; the choice was based on construct and support diagnostics before repaired ratios or downstream results were calculated and it does not remove participant-days","audit/findings/mder_support_cutoff_gate.md; artifacts/08_diagnostics/mder_support_gate/mder_support_candidate_summary.csv; artifacts/08_diagnostics/mder_support_gate/mder_support_candidate_by_site.csv; artifacts/08_diagnostics/mder_support_gate/mder_support_candidate_by_participant.csv","Historical rule for the superseded ratio-of-integrals estimand only; it must not determine current MDER values samples sensitivities or claims","Retain as audit history; reopen only if the ratio-of-integrals estimand is explicitly reconsidered"
METRIC-004,2026-07-30,approved,"Threshold-timing relevance support","Learn once at 30-minute resolution a strict MEDI >250 lx distribution by averaging valid-minute exceedance fractions equally across participant-days within participant and then equally across participants; use the pooled placement-specific distribution as primary with site-specific and leave-one-site-out variants; use it only for support at 0.80 primary and 0.70/0.90 sensitivities","A median-profile excess map had zero mass even though individual participant-days crossed 250 lx; the hierarchical empirical distribution captures time-of-day event propensity without scaling observed timings or overweighting participants with more days","audit/findings/threshold_timing_zero_relevance_map.md; audit/decisions/metric_implementation_parameters.md; tests/test_reference_profiles.R","Produce fixed strict-exceedance distribution artifacts and derive first last and mean timing support from them without changing timing values or deleting participant-days; canonical rebuild remains pending","Reopen if the threshold strict endpoint aggregation hierarchy profile variants support cutoff registry or support-only interpretation changes or if a sensitivity materially changes a conclusion"
METRIC-005,2026-07-30,approved,"M10/L10 wall-clock candidate grid","Evaluate each 600-minute window at every wall-clock minute; use M10 starts 0 through 840 without wrapping and L10 starts 0 through 1439 with wrapping; expand the fixed 30-minute support profiles to minutes without relearning them and do not calculate L5","Candidate resolution belongs to the one-minute exposure grid and must not be coupled to the 30-minute learning resolution of a support profile","audit/findings/rolling_window_candidate_grid.md; scripts/pipeline/verify_rolling_windows.R; tests/test_verify_rolling_windows.R","Use 841 M10 and 1440 L10 candidates with deterministic support and tie handling; canonical Preparation 04 rebuild and result comparison remain pending","Reopen if the minute grid window width wrapping rule profile expansion tie handling or candidate-support definition changes or if the rebuild materially changes a conclusion"
METRIC-006,2026-07-30,approved,"Longest period above 250 lx under incomplete observation","Report the longest observed uninterrupted period with strict >250 lx melEDI as the primary lower bound; let missing and invalid minutes break observed runs; retain the possible upper bound and censoring flag; report an exactly identifiable sensitivity only when both bounds agree; never delete the day solely for partial identification","A reason-coded missing primary value discards observed information whereas the lower and upper bounds state exactly what the incomplete record identifies and preserve the accepted participant-day","audit/decisions/metric_implementation_parameters.md; scripts/pipeline/metric_derivation.R; tests/test_build_metric_derivation.R","Expose the observed lower bound possible upper bound censor status and exactly identifiable sensitivity as separate fields while retaining every otherwise eligible participant-day; full-data rebuild remains pending","Reopen if the threshold adjacency context boundary missing-minute rule bound definition or primary estimand changes or if the exactly identifiable sensitivity materially changes a conclusion"
METRIC-007,2026-07-30,approved,"M10 timing when all candidate starts tie","Retain the M10 level and participant-day but set onset midpoint and offset to missing set timing_estimable to FALSE and use all_candidates_tied when all 841 non-wrapping starts share the optimum","The circular resultant over the partial M10 candidate domain reflects domain geometry rather than exposure timing when every candidate ties","audit/findings/m10_all_candidates_tied.md; audit/reconciliation/preparation04/core_verification.md; audit/reconciliation/preparation04/result_gate.md; scripts/pipeline/time_support.R; scripts/pipeline/verify_rolling_windows.R; tests/test_time_support.R; tests/test_verify_rolling_windows.R; tests/test_build_metric_derivation.R","Apply the special case only to the complete 841-start M10 tie and preserve partial M10 ties and all L10 behavior; canonical artifacts now verify 809 near-eye and 894 chest M10-timing days while retaining level on all 811 and 897 days","Reopen if the M10 candidate domain window width optimum tolerance tie rule or timing estimability definition changes or if canonical regeneration does not reproduce the five expected timing-only missing rows"
METRIC-008,2026-07-30,approved,"MDER upper-tail measurement-QC disposition","Retain the two preidentified serial-2962 device-days under the primary 80% rule without silent recoding; require the registered 90% common-support scenario an exclusion scenario containing exactly those two days and a full-day versus waking-only explanatory scenario","Both values are arithmetically exact and not proven invalid; they share a physical device but that device has no persistent high-MDER shift outside the two episodes and available reports contain no adjudicating calibration or error evidence","audit/findings/mder_upper_tail.md; audit/findings/mder_device_provenance.md; audit/reconciliation/preparation04/mder_device_qc/; audit/reconciliation/preparation04/result_gate.md; audit/scripts/audit_mder_device_assignment.R","Carry both values into the primary model; preidentify them for influence sensitivity; do not add an unplanned calibration model or device predictor; the primary disposition is closed but every MDER conclusion remains pending until the 90% support exact two-day exclusion and waking-only scenarios are compared","Reopen if new device or calibration evidence establishes invalidity another serial-2962 anomaly is identified by an independently fixed rule or a registered sensitivity changes a substantive conclusion"
SOURCE-001,2026-07-30,approved,"Immutable external analytical inputs","Use only exact commit-pinned and hash-verified questionnaire diary device and site-context inputs in the canonical analysis; prohibit moving-main retrieval in executable notebooks","Mutable branch heads can change values schemas keys and samples without a reviewable analytical change","audit/findings/preparation05_input_provenance_gaps.md; config/site_sources.csv; config/model_input_availability.csv; artifacts/12_manifests/model_input_acquisition.csv; artifacts/12_manifests/model_input_normalization.csv; artifacts/12_manifests/site_solar_context_artifacts.csv","Every external analytical object must pass expected repository commit path object schema byte and SHA-256 checks before normalization or joining","Reopen if a repository revision source path object schema scoring rule site-context producer or acquisition policy changes"
SOURCE-002,2026-07-30,approved,"Corrected TUM exercise-diary source","Pin only TUM exercisediary to upstream commit 618fda8521f3cf581661ceb2c026e3de7cd9ba82 while retaining all other TUM modalities at their existing site-wide pin; do not apply a local participant-key rewrite","The corrected upstream source assigns the seven exercise records to TUM_S001 and removes the erroneous TUM_S101 identity; a modality-specific exact pin preserves source authority and avoids unrelated input drift","config/model_input_source_pins.csv; audit/findings/preparation05_input_provenance_gaps.md; audit/reconciliation/preparation06/normalization_gate.md; audit/reconciliation/preparation06/tum_exercise_source_transition_columns.csv; tests/test_tum_exercise_source_transition.R","Acquisition fails closed on commit path hash byte schema or expected source-transition mismatch; normalization and base-model artifacts are rebuilt from the corrected object","Reopen if the upstream TUM exercise release changes again or the corrected source transition fails any exact identity or key invariant"
METRIC-009,2026-07-30,approved,"M10/L10 analytical timing registry","Retain only M10 and L10 level and midpoint as analytical window outcomes; keep onset and offset at most as internal boundary diagnostics and prohibit them from H01-H11 models multiplicity families author-facing comparison tables figures and claims","The signed preregistration specifies the midpoint of the brightest and darkest 10 hours but not onset or offset; the current manuscript likewise reports window levels and midpoints","audit/evidence/preregistration_contract.md; index.qmd:269-289; index.qmd:367; index.qmd:518; scripts/pipeline/metric_derivation.R; scripts/pipeline/preanalysis_comparison.R","The canonical analytical registry and every downstream hypothesis contract select only m10_mean_medi m10_midpoint l10_mean_medi and l10_midpoint; onset and offset may remain in internal window diagnostics solely to verify wrapping duration and ties","Reopen only if a later protocol explicitly adds a window-boundary estimand or a midpoint cannot be independently verified without preserving the diagnostic boundaries"
REPORT-001,2026-07-30,approved,"Manuscript-facing metric names and categories","Use the established names and categories from the current manuscript in every author-facing table figure heading legend comparison output hypothesis registry and submission document; use melEDI consistently in reader-facing text reserve MEDI for the actual code/data variable and keep implementation qualifiers in separate method variant or audit fields rather than embedding them in metric names","Familiar names such as mean timing above 250 lx melEDI and timing-based metrics preserve continuity with the manuscript and are clearer than implementation labels such as support-aware mean timing","index.qmd:269-293; index.qmd:343-367; index.qmd:516-518; data_preparation.qmd:25-45; config/metric_display_registry.csv; scripts/pipeline/metric_display_registry.R","All analytical outputs join stable internal metric identifiers to the central display registry; downstream public labels use manuscript_name manuscript_category and abbreviation while support correction censoring and sensitivity details remain explicit in separate fields or notes; the registry rejects reader-facing melanopic EDI or MEDI labels","Reopen if the manuscript adopts a deliberately revised metric taxonomy or an author approves a specific reader-facing terminology change"
REPORT-002,2026-07-30,approved,"Working render format","Use Quarto HTML as the authoritative working and audit format for preparation analysis hypothesis sensitivity manuscript-development and supplementary documents; defer the only Word render to the final stable manuscript","HTML is the author's main review format and avoids repeated format-specific repair work before the manuscript is stable","audit/decisions/render_and_hypothesis_comparison_workflow.md; _quarto-nathealth.yml; index.qmd; audit/reconciliation/preparation06/clean_render_gate.md","The nathealth profile and canonical manuscript source declare HTML only during development; Preparation 06 and each H01-H11 audit are reviewed as HTML","Reopen if the author requests another working format or a final submission requirement adds a format-specific validation"
AUDIT-001,2026-07-30,approved,"Hypothesis audit comparison target","For H01-H11 lead with submitted implementation result and claim versus audited implementation result and claim; report preregistration alignment and deviations in a separate later section","The author primarily needs to know what changed relative to the implementation and results already submitted while retaining transparent preregistration reporting","audit/decisions/render_and_hypothesis_comparison_workflow.md; audit/hypotheses/implementation_result_comparison_contract.qmd; audit/ledgers/hypothesis_implementation_audit.csv; audit/ledgers/hypothesis_result_comparisons.csv","Each hypothesis HTML follows result-first comparison order and links numerical result differences implementation changes claims and preregistration disposition without conflating the comparison baselines","Reopen if the author changes the comparison target or a submitted implementation or result cannot be recovered"
"REPORT-003","2026-07-30","approved","Plain-language audit outputs","Use familiar manuscript terms and plain language in every reader-facing audit output; explain necessary technical terms at first use; reserve internal identifiers for folded code or technical notes; do not call the main analysis canonical","The author could not assess outputs written in pipeline terminology and recognizable manuscript language is required for meaningful review","audit/decisions/model_reporting.md; notebooks/preparation/01_import_state_alignment.qmd; notebooks/preparation/02_coverage_sample_flow.qmd; notebooks/preparation/03_reference_profiles.qmd; notebooks/preparation/04_metric_derivation.qmd; notebooks/preparation/05_model_input_acquisition.qmd; notebooks/preparation/06_model_ready_datasets.qmd; notebooks/hypotheses/H01.qmd","Reader-facing tables headings and prose use plain labels while scientific values internal code and provenance remain unchanged","Reopen if a necessary exact technical term cannot be expressed without ambiguity"
"REPORT-004","2026-07-30","approved","Confidence intervals","Report 95% confidence intervals for all consequential model estimates contrasts model-based averages transformed effects and model-performance summaries where estimable; state method and scale","Intervals show magnitude and uncertainty whereas p-values and standard errors alone are insufficient for interpretation","audit/decisions/model_reporting.md; audit/decisions/h01_model_specification.md; notebooks/hypotheses/H01.qmd; notebooks/hypotheses/H02.qmd; notebooks/hypotheses/H03.qmd; notebooks/hypotheses/H04.qmd; notebooks/hypotheses/H05.qmd; notebooks/hypotheses/H06.qmd; notebooks/hypotheses/H07.qmd; notebooks/hypotheses/H08.qmd; notebooks/hypotheses/H09.qmd; notebooks/hypotheses/H10.qmd; notebooks/hypotheses/H11.qmd","Every result table includes a 95% interval or an explicit non-estimable reason and records interval method and scale","Reopen if a target method does not permit the planned interval to be defined"
"REPORT-005","2026-07-30","approved","Exact fitted-model sample","Report the exact participants participant-days participant-level rows hourly or 30-minute observations sites relevant category-by-site cells paired records and common-sample counts that entered each fitted model; never substitute prepared-dataset counts","Model-specific missingness pairing and sparse cells can change the estimand and must be visible beside the result","audit/decisions/model_reporting.md; audit/hypotheses/implementation_result_comparison_contract.qmd; notebooks/hypotheses/H01.qmd; notebooks/hypotheses/H02.qmd; notebooks/hypotheses/H03.qmd; notebooks/hypotheses/H04.qmd; notebooks/hypotheses/H05.qmd; notebooks/hypotheses/H06.qmd; notebooks/hypotheses/H07.qmd; notebooks/hypotheses/H08.qmd; notebooks/hypotheses/H09.qmd; notebooks/hypotheses/H10.qmd; notebooks/hypotheses/H11.qmd; notebooks/placement_decision.qmd; notebooks/sensitivity_battery.qmd","Each result row or directly linked sample-flow table reconciles the prepared sample with the exact fitted sample using the scientifically relevant unit","Reopen if the fitted sample unit or grouping structure changes"
"REPORT-006","2026-07-30","approved","Manuscript-prepared-data sensitivity","Apply the same new H01-H11 implementation to both the newly prepared data and the dataset prepared for the manuscript with only objectively demonstrable data errors corrected; do not rerun the manuscript modelling implementation as the formal sensitivity","Using identical analysis code isolates the effect of data preparation and metric calculation rather than mixing data and model changes","audit/decisions/model_reporting.md; audit/decisions/manuscript_prepared_data_sensitivity.md; audit/hypotheses/implementation_result_comparison_contract.qmd; notebooks/sensitivity_battery.qmd; notebooks/hypotheses/H01.qmd","Every H01-H11 result reports main and manuscript-prepared-data samples estimates 95% confidence intervals diagnostics common-sample counts and stability classification","Reopen if either dataset definition changes or the two scenarios no longer use the identical H01-H11 implementation"
"REPORT-007","2026-08-01","approved","Hypothesis analysis-preparation and provenance companions","Treat the reciprocal-linked scientific preparation and provenance page as Stage 4 after each hypothesis result is accepted; write it for ordinary scientific readers without Stage 4 Step 4 internal task roles gates approvals or migration history in its reader-facing content; limit rendering to bounded identity checks and lightweight model-frame descriptions","The Stage 3 results report should remain concise while the Stage 4 plain-language page makes exact inputs samples support transformations temporal ordering model construction inference diagnostics influence sensitivities scripts outputs and provenance auditable without repeating expensive scientific computation","audit/decisions/hypothesis_preparation_provenance_companions.md; audit/hypotheses/H03-H11_gated_workflow.qmd; audit/hypotheses/H02/H02_analysis_preparation.qmd; scripts/pipeline/hypothesis_preparation_provenance_contract.R; tests/test_hypothesis_preparation_provenance_contract.R","Every companion sits immediately after its result in the Nature Health render list and navigation uses compact gt tables accessible figures paired source data an informational execution-boundary note byte-identical authoring and website QMD sources hypothesis-specific structural tests and non-circular checksummed manifests","Reopen if Stage 4 is mistaken for a new inferential analysis or a companion becomes an internal task report runs scientific model computation during rendering loses exact source or output provenance omits fitted-sample information fails accessibility checks or no longer sits beside its result"
"REPORT-008","2026-08-01","approved","P-value display convention","Display every raw or adjusted p-value with a leading zero and exactly three decimal places use <0.001 only for values strictly below 0.001 and bold the displayed value only when it meets its explicitly labelled significance rule","One consistent display makes inferential results easy to scan while keeping raw versus adjusted decisions unambiguous and preserving full numeric precision for calculations","audit/decisions/p_value_display_conventions.md; audit/decisions/model_reporting.md; audit/hypotheses/implementation_result_comparison_contract.qmd; audit/hypotheses/H03-H11_gated_workflow.qmd; scripts/pipeline/p_value_display.R; tests/test_p_value_display.R","All report table figure caption annotation and prose displays follow the convention; raw and adjusted values are labelled and styled independently and source artifacts retain full precision","Reopen if decimal precision the strict <0.001 boundary leading-zero rule significance styling or raw-versus-adjusted labelling changes"
"REPORT-009","2026-08-01","approved","Paired near-eye and chest comparison display","In every Stage 3 report assess whether separately fitted estimates on an identical paired/common sample and comparison scale support a near-eye-versus-chest identity plot; include it when valid and otherwise explain why and use the closest valid matched comparison","The H05 plot makes placement concordance and divergence directly visible but forcing it onto unmatched samples incompatible scales or unreduced curves would mislead","audit/decisions/paired_placement_comparison_display.md; audit/decisions/model_reporting.md; audit/hypotheses/implementation_result_comparison_contract.qmd; audit/hypotheses/H03-H11_gated_workflow.qmd","Valid plots use near-eye x chest y matched estimands identity and null lines equal axis geometry exact paired sample accessible annotation and paired source data; they do not imply pooling or equivalence","Reopen if placement roles matched-sample requirements comparison scales identity-plot interpretation or the no-new-fit boundary changes"
