panel,placement,placement_label,site,site_display_order,site_display_name,site_color_hex,participant_display_index,age,biological_sex,predictor,association_label,metric_order,metric_id,manuscript_name,standardized_estimate,standardized_conf_low,standardized_conf_high,estimate_practical,conf_low_practical,conf_high_practical,effect_95_ci_display,p_raw,p_adjusted,p_raw_display,p_adjusted_display,observations,participants,participant_days,contributing_participant_days,metric_support_valid_hours,sites,interaction_p_raw,interaction_p_adjusted,interaction_p_raw_display,interaction_p_adjusted_display
age_distribution,chest,Chest (complementary),RISE,1,Borås (SE),#88CCEE,14,54,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),RISE,1,Borås (SE),#88CCEE,15,64,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),RISE,1,Borås (SE),#88CCEE,16,68,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),THUAS,2,Delft (NL),#117733,1,19,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),THUAS,2,Delft (NL),#117733,2,20,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),THUAS,2,Delft (NL),#117733,3,23,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),THUAS,2,Delft (NL),#117733,4,24,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),THUAS,2,Delft (NL),#117733,5,26,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),THUAS,2,Delft (NL),#117733,6,27,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),THUAS,2,Delft (NL),#117733,7,29,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),THUAS,2,Delft (NL),#117733,8,32,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),THUAS,2,Delft (NL),#117733,9,35,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),THUAS,2,Delft (NL),#117733,10,38,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),THUAS,2,Delft (NL),#117733,11,39,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),THUAS,2,Delft (NL),#117733,12,42,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),THUAS,2,Delft (NL),#117733,13,46,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),THUAS,2,Delft (NL),#117733,14,57,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),THUAS,2,Delft (NL),#117733,15,59,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),BAUA,3,Dortmund (DE),#DDCC77,1,18,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),BAUA,3,Dortmund (DE),#DDCC77,2,20,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),BAUA,3,Dortmund (DE),#DDCC77,3,21,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),BAUA,3,Dortmund (DE),#DDCC77,4,21,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),BAUA,3,Dortmund (DE),#DDCC77,5,22,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),BAUA,3,Dortmund (DE),#DDCC77,6,23,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),BAUA,3,Dortmund (DE),#DDCC77,7,24,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),BAUA,3,Dortmund (DE),#DDCC77,8,26,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),BAUA,3,Dortmund (DE),#DDCC77,9,27,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),BAUA,3,Dortmund (DE),#DDCC77,10,29,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),BAUA,3,Dortmund (DE),#DDCC77,11,33,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),BAUA,3,Dortmund (DE),#DDCC77,12,34,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),BAUA,3,Dortmund (DE),#DDCC77,13,39,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),BAUA,3,Dortmund (DE),#DDCC77,14,40,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),BAUA,3,Dortmund (DE),#DDCC77,15,41,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),BAUA,3,Dortmund (DE),#DDCC77,16,45,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),BAUA,3,Dortmund (DE),#DDCC77,17,46,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),BAUA,3,Dortmund (DE),#DDCC77,18,48,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),BAUA,3,Dortmund (DE),#DDCC77,19,60,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),BAUA,3,Dortmund (DE),#DDCC77,20,62,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),TUM,5,Munich (DE),#DDCC77,1,20,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),TUM,5,Munich (DE),#DDCC77,2,25,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),TUM,5,Munich (DE),#DDCC77,3,26,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),TUM,5,Munich (DE),#DDCC77,4,26,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),TUM,5,Munich (DE),#DDCC77,5,27,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),TUM,5,Munich (DE),#DDCC77,6,28,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),TUM,5,Munich (DE),#DDCC77,7,28,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),TUM,5,Munich (DE),#DDCC77,8,28,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),TUM,5,Munich (DE),#DDCC77,9,29,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),TUM,5,Munich (DE),#DDCC77,10,29,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),FUSPCEU,6,Madrid (ES),#CC6677,1,20,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),FUSPCEU,6,Madrid (ES),#CC6677,2,22,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),FUSPCEU,6,Madrid (ES),#CC6677,3,23,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),FUSPCEU,6,Madrid (ES),#CC6677,4,23,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),FUSPCEU,6,Madrid (ES),#CC6677,5,25,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),FUSPCEU,6,Madrid (ES),#CC6677,6,26,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),FUSPCEU,6,Madrid (ES),#CC6677,7,27,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),FUSPCEU,6,Madrid (ES),#CC6677,8,28,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),FUSPCEU,6,Madrid (ES),#CC6677,9,30,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),FUSPCEU,6,Madrid (ES),#CC6677,10,30,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),FUSPCEU,6,Madrid (ES),#CC6677,11,31,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),FUSPCEU,6,Madrid (ES),#CC6677,12,33,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),FUSPCEU,6,Madrid (ES),#CC6677,13,35,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),FUSPCEU,6,Madrid (ES),#CC6677,14,40,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),FUSPCEU,6,Madrid (ES),#CC6677,15,41,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),FUSPCEU,6,Madrid (ES),#CC6677,16,42,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),FUSPCEU,6,Madrid (ES),#CC6677,17,45,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),FUSPCEU,6,Madrid (ES),#CC6677,18,46,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),FUSPCEU,6,Madrid (ES),#CC6677,19,48,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),FUSPCEU,6,Madrid (ES),#CC6677,20,48,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),FUSPCEU,6,Madrid (ES),#CC6677,21,55,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),FUSPCEU,6,Madrid (ES),#CC6677,22,56,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),IZTECH,7,Izmir (TR),#332288,1,21,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),IZTECH,7,Izmir (TR),#332288,2,21,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),IZTECH,7,Izmir (TR),#332288,3,22,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),IZTECH,7,Izmir (TR),#332288,4,23,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),IZTECH,7,Izmir (TR),#332288,5,23,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),IZTECH,7,Izmir (TR),#332288,6,23,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),IZTECH,7,Izmir (TR),#332288,7,23,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),IZTECH,7,Izmir (TR),#332288,8,24,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),IZTECH,7,Izmir (TR),#332288,9,24,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),IZTECH,7,Izmir (TR),#332288,10,24,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),IZTECH,7,Izmir (TR),#332288,11,25,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),IZTECH,7,Izmir (TR),#332288,12,25,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),IZTECH,7,Izmir (TR),#332288,13,26,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),IZTECH,7,Izmir (TR),#332288,14,27,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),IZTECH,7,Izmir (TR),#332288,15,27,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),IZTECH,7,Izmir (TR),#332288,16,29,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),IZTECH,7,Izmir (TR),#332288,17,32,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),UCR,8,San José (CR),#44AA99,1,22,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),UCR,8,San José (CR),#44AA99,2,22,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),UCR,8,San José (CR),#44AA99,3,22,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),UCR,8,San José (CR),#44AA99,4,22,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),UCR,8,San José (CR),#44AA99,5,22,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),UCR,8,San José (CR),#44AA99,6,23,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),UCR,8,San José (CR),#44AA99,7,23,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),UCR,8,San José (CR),#44AA99,8,23,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),UCR,8,San José (CR),#44AA99,9,23,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),UCR,8,San José (CR),#44AA99,10,24,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),UCR,8,San José (CR),#44AA99,11,24,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),UCR,8,San José (CR),#44AA99,12,24,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),UCR,8,San José (CR),#44AA99,13,25,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),UCR,8,San José (CR),#44AA99,14,25,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),UCR,8,San José (CR),#44AA99,15,25,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),UCR,8,San José (CR),#44AA99,16,27,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),UCR,8,San José (CR),#44AA99,17,27,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),UCR,8,San José (CR),#44AA99,18,28,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),UCR,8,San José (CR),#44AA99,19,29,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),UCR,8,San José (CR),#44AA99,20,34,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),UCR,8,San José (CR),#44AA99,21,35,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),UCR,8,San José (CR),#44AA99,22,35,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),UCR,8,San José (CR),#44AA99,23,36,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),UCR,8,San José (CR),#44AA99,24,36,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),UCR,8,San José (CR),#44AA99,25,37,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),UCR,8,San José (CR),#44AA99,26,37,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),UCR,8,San José (CR),#44AA99,27,37,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),UCR,8,San José (CR),#44AA99,28,38,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),UCR,8,San José (CR),#44AA99,29,38,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),UCR,8,San José (CR),#44AA99,30,39,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),UCR,8,San José (CR),#44AA99,31,39,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),UCR,8,San José (CR),#44AA99,32,41,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),UCR,8,San José (CR),#44AA99,33,42,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),UCR,8,San José (CR),#44AA99,34,43,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),UCR,8,San José (CR),#44AA99,35,44,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),UCR,8,San José (CR),#44AA99,36,47,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),UCR,8,San José (CR),#44AA99,37,48,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),UCR,8,San José (CR),#44AA99,38,49,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),UCR,8,San José (CR),#44AA99,39,52,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),KNUST,9,Kumasi (GH),#AA4499,1,18,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),KNUST,9,Kumasi (GH),#AA4499,2,21,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),KNUST,9,Kumasi (GH),#AA4499,3,21,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),KNUST,9,Kumasi (GH),#AA4499,4,22,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),KNUST,9,Kumasi (GH),#AA4499,5,22,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),KNUST,9,Kumasi (GH),#AA4499,6,23,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),KNUST,9,Kumasi (GH),#AA4499,7,23,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),KNUST,9,Kumasi (GH),#AA4499,8,23,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),KNUST,9,Kumasi (GH),#AA4499,9,24,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),KNUST,9,Kumasi (GH),#AA4499,10,24,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),KNUST,9,Kumasi (GH),#AA4499,11,24,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),KNUST,9,Kumasi (GH),#AA4499,12,25,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),KNUST,9,Kumasi (GH),#AA4499,13,25,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),KNUST,9,Kumasi (GH),#AA4499,14,25,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),KNUST,9,Kumasi (GH),#AA4499,15,25,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,glasses,Near eye (primary),RISE,1,Borås (SE),#88CCEE,1,21,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,glasses,Near eye (primary),RISE,1,Borås (SE),#88CCEE,2,23,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,glasses,Near eye (primary),RISE,1,Borås (SE),#88CCEE,3,27,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,glasses,Near eye (primary),RISE,1,Borås (SE),#88CCEE,4,34,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,glasses,Near eye (primary),RISE,1,Borås (SE),#88CCEE,5,36,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,glasses,Near eye (primary),RISE,1,Borås (SE),#88CCEE,6,38,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,glasses,Near eye (primary),RISE,1,Borås (SE),#88CCEE,7,40,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,glasses,Near eye (primary),RISE,1,Borås (SE),#88CCEE,8,42,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,glasses,Near eye (primary),RISE,1,Borås (SE),#88CCEE,9,44,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,glasses,Near eye (primary),RISE,1,Borås (SE),#88CCEE,10,50,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,glasses,Near eye (primary),RISE,1,Borås (SE),#88CCEE,11,54,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,glasses,Near eye (primary),RISE,1,Borås (SE),#88CCEE,12,64,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,glasses,Near eye (primary),RISE,1,Borås (SE),#88CCEE,13,68,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,glasses,Near eye (primary),THUAS,2,Delft (NL),#117733,1,19,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,glasses,Near eye (primary),THUAS,2,Delft (NL),#117733,2,20,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,glasses,Near eye (primary),THUAS,2,Delft (NL),#117733,3,23,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,glasses,Near eye (primary),THUAS,2,Delft (NL),#117733,4,24,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,glasses,Near eye (primary),THUAS,2,Delft (NL),#117733,5,26,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,glasses,Near eye (primary),THUAS,2,Delft (NL),#117733,6,27,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,glasses,Near eye (primary),THUAS,2,Delft (NL),#117733,7,29,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,glasses,Near eye (primary),THUAS,2,Delft (NL),#117733,8,32,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,glasses,Near eye (primary),THUAS,2,Delft (NL),#117733,9,38,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,glasses,Near eye (primary),THUAS,2,Delft (NL),#117733,10,39,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,glasses,Near eye (primary),THUAS,2,Delft (NL),#117733,11,42,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,glasses,Near eye (primary),THUAS,2,Delft (NL),#117733,12,57,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,glasses,Near eye (primary),THUAS,2,Delft (NL),#117733,13,59,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,glasses,Near eye (primary),BAUA,3,Dortmund (DE),#DDCC77,1,20,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,glasses,Near eye (primary),BAUA,3,Dortmund (DE),#DDCC77,2,21,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,glasses,Near eye (primary),BAUA,3,Dortmund (DE),#DDCC77,3,22,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,glasses,Near eye (primary),BAUA,3,Dortmund (DE),#DDCC77,4,23,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,glasses,Near eye (primary),BAUA,3,Dortmund (DE),#DDCC77,5,24,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,glasses,Near eye (primary),BAUA,3,Dortmund (DE),#DDCC77,6,26,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,glasses,Near eye (primary),BAUA,3,Dortmund (DE),#DDCC77,7,27,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,glasses,Near eye (primary),BAUA,3,Dortmund (DE),#DDCC77,8,29,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,glasses,Near eye (primary),BAUA,3,Dortmund (DE),#DDCC77,9,33,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,glasses,Near eye (primary),BAUA,3,Dortmund (DE),#DDCC77,10,37,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,glasses,Near eye (primary),BAUA,3,Dortmund (DE),#DDCC77,11,39,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
