placement,site,activity,unique_hours,long_rows,effective_weighted_hours,participants,participant_days,shared_with_home_participants,support_rule,activity_label,activity_code,display_order.x,display_name,display_order.y,color_hex,support_status,reader_order,short_label
Near-eye,MPI,Working in the office/from home,453,453,447.5,13,67,13,TRUE,Working in the office/from home,working_indoor,4,Tübingen (DE),4,#DDCC77,Supported,2,Office/home working
Near-eye,MPI,Outdoors,111,111,106.5,13,50,13,TRUE,Outdoors,outdoors,5,Tübingen (DE),4,#DDCC77,Supported,3,Outdoors
Near-eye,MPI,On the road with public transport/car,63,63,54,10,34,10,TRUE,On the road with public transport/car,road_vehicle,3,Tübingen (DE),4,#DDCC77,Supported,4,Vehicle/public transport
Near-eye,MPI,Sleeping,591,591,583.5,13,77,13,TRUE,Sleeping,sleeping,1,Tübingen (DE),4,#DDCC77,Supported,5,Sleeping
Near-eye,MPI,Other/unspecified activity,35,35,35,8,19,8,TRUE,Other/unspecified activity,other,6,Tübingen (DE),4,#DDCC77,Supported,6,Other/unspecified
Near-eye,TUM,At home,523,523,519.5,10,59,10,TRUE,At home,home,2,Munich (DE),5,#DDCC77,Supported,1,At home
Near-eye,TUM,Working in the office/from home,229,229,227,10,36,10,TRUE,Working in the office/from home,working_indoor,4,Munich (DE),5,#DDCC77,Supported,2,Office/home working
Near-eye,TUM,Outdoors,79,79,74,10,38,10,TRUE,Outdoors,outdoors,5,Munich (DE),5,#DDCC77,Supported,3,Outdoors
Near-eye,TUM,On the road with public transport/car,53,53,52.5,8,26,8,TRUE,On the road with public transport/car,road_vehicle,3,Munich (DE),5,#DDCC77,Supported,4,Vehicle/public transport
Near-eye,TUM,Sleeping,498,498,497,10,60,10,TRUE,Sleeping,sleeping,1,Munich (DE),5,#DDCC77,Supported,5,Sleeping
Near-eye,TUM,Other/unspecified activity,20,20,20,8,15,8,TRUE,Other/unspecified activity,other,6,Munich (DE),5,#DDCC77,Supported,6,Other/unspecified
Near-eye,FUSPCEU,At home,680,680,664.5,22,114,22,TRUE,At home,home,2,Madrid (ES),6,#CC6677,Supported,1,At home
Near-eye,FUSPCEU,Working in the office/from home,591,591,580,22,77,22,TRUE,Working in the office/from home,working_indoor,4,Madrid (ES),6,#CC6677,Supported,2,Office/home working
Near-eye,FUSPCEU,Outdoors,205,205,185,21,73,21,TRUE,Outdoors,outdoors,5,Madrid (ES),6,#CC6677,Supported,3,Outdoors
Near-eye,FUSPCEU,On the road with public transport/car,161,161,143.5,21,72,21,TRUE,On the road with public transport/car,road_vehicle,3,Madrid (ES),6,#CC6677,Supported,4,Vehicle/public transport
Near-eye,FUSPCEU,Sleeping,1079,1079,1074,22,120,22,TRUE,Sleeping,sleeping,1,Madrid (ES),6,#CC6677,Supported,5,Sleeping
Near-eye,FUSPCEU,Other/unspecified activity,84,84,84,15,42,15,TRUE,Other/unspecified activity,other,6,Madrid (ES),6,#CC6677,Supported,6,Other/unspecified
Near-eye,IZTECH,At home,742,742,698,16,94,16,TRUE,At home,home,2,Izmir (TR),7,#332288,Supported,1,At home
Near-eye,IZTECH,Working in the office/from home,533,533,509.16666666666663,16,78,16,TRUE,Working in the office/from home,working_indoor,4,Izmir (TR),7,#332288,Supported,2,Office/home working
Near-eye,IZTECH,Outdoors,169,169,132.33333333333331,15,62,15,TRUE,Outdoors,outdoors,5,Izmir (TR),7,#332288,Supported,3,Outdoors
Near-eye,IZTECH,On the road with public transport/car,89,89,67.5,13,42,13,TRUE,On the road with public transport/car,road_vehicle,3,Izmir (TR),7,#332288,Supported,4,Vehicle/public transport
Near-eye,IZTECH,Sleeping,791,791,767,16,95,16,TRUE,Sleeping,sleeping,1,Izmir (TR),7,#332288,Supported,5,Sleeping
Near-eye,IZTECH,Other/unspecified activity,41,41,41,9,17,9,TRUE,Other/unspecified activity,other,6,Izmir (TR),7,#332288,Supported,6,Other/unspecified
Near-eye,UCR,At home,210,210,182.33333333333337,6,29,6,TRUE,At home,home,2,San José (CR),8,#44AA99,Supported,1,At home
Near-eye,UCR,Working in the office/from home,270,270,244.83333333333337,6,28,6,TRUE,Working in the office/from home,working_indoor,4,San José (CR),8,#44AA99,Supported,2,Office/home working
Near-eye,UCR,Outdoors,16,16,13,4,9,4,FALSE,Outdoors,outdoors,5,San José (CR),8,#44AA99,Observed but sparse,3,Outdoors
Near-eye,UCR,On the road with public transport/car,38,38,33.83333333333333,6,17,6,TRUE,On the road with public transport/car,road_vehicle,3,San José (CR),8,#44AA99,Supported,4,Vehicle/public transport
Near-eye,UCR,Sleeping,260,260,255,6,32,6,TRUE,Sleeping,sleeping,1,San José (CR),8,#44AA99,Supported,5,Sleeping
Near-eye,UCR,Other/unspecified activity,11,11,11,3,7,3,FALSE,Other/unspecified activity,other,6,San José (CR),8,#44AA99,Observed but sparse,6,Other/unspecified
Near-eye,KNUST,At home,516,516,516,15,80,15,TRUE,At home,home,2,Kumasi (GH),9,#AA4499,Supported,1,At home
Near-eye,KNUST,Working in the office/from home,373,373,373,14,62,14,TRUE,Working in the office/from home,working_indoor,4,Kumasi (GH),9,#AA4499,Supported,2,Office/home working
Near-eye,KNUST,Outdoors,218,218,218,15,72,15,TRUE,Outdoors,outdoors,5,Kumasi (GH),9,#AA4499,Supported,3,Outdoors
Near-eye,KNUST,On the road with public transport/car,70,70,70,12,36,12,TRUE,On the road with public transport/car,road_vehicle,3,Kumasi (GH),9,#AA4499,Supported,4,Vehicle/public transport
Near-eye,KNUST,Sleeping,661,661,661,15,81,15,TRUE,Sleeping,sleeping,1,Kumasi (GH),9,#AA4499,Supported,5,Sleeping
Near-eye,KNUST,Other/unspecified activity,25,25,25,3,4,3,FALSE,Other/unspecified activity,other,6,Kumasi (GH),9,#AA4499,Observed but sparse,6,Other/unspecified
Chest,RISE,At home,819,819,745.0000000000001,16,96,16,TRUE,At home,home,2,Borås (SE),1,#88CCEE,Supported,1,At home
Chest,RISE,Working in the office/from home,466,466,431.50000000000006,16,60,16,TRUE,Working in the office/from home,working_indoor,4,Borås (SE),1,#88CCEE,Supported,2,Office/home working
Chest,RISE,Outdoors,213,213,161.5,16,63,16,TRUE,Outdoors,outdoors,5,Borås (SE),1,#88CCEE,Supported,3,Outdoors
Chest,RISE,On the road with public transport/car,149,149,100.83333333333331,14,57,14,TRUE,On the road with public transport/car,road_vehicle,3,Borås (SE),1,#88CCEE,Supported,4,Vehicle/public transport
Chest,RISE,Sleeping,806,806,771.1666666666666,16,96,16,TRUE,Sleeping,sleeping,1,Borås (SE),1,#88CCEE,Supported,5,Sleeping
Chest,RISE,Other/unspecified activity,33,33,33,9,13,9,TRUE,Other/unspecified activity,other,6,Borås (SE),1,#88CCEE,Supported,6,Other/unspecified
Chest,THUAS,At home,646,646,601.8333333333333,15,91,15,TRUE,At home,home,2,Delft (NL),2,#117733,Supported,1,At home
Chest,THUAS,Working in the office/from home,468,468,436.5,15,67,15,TRUE,Working in the office/from home,working_indoor,4,Delft (NL),2,#117733,Supported,2,Office/home working
Chest,THUAS,Outdoors,226,226,176.83333333333331,15,72,15,TRUE,Outdoors,outdoors,5,Delft (NL),2,#117733,Supported,3,Outdoors
Chest,THUAS,On the road with public transport/car,84,84,65.33333333333334,13,38,13,TRUE,On the road with public transport/car,road_vehicle,3,Delft (NL),2,#117733,Supported,4,Vehicle/public transport
Chest,THUAS,Sleeping,668,668,646.5,15,85,15,TRUE,Sleeping,sleeping,1,Delft (NL),2,#117733,Supported,5,Sleeping
Chest,THUAS,Other/unspecified activity,64,64,64,10,24,10,TRUE,Other/unspecified activity,other,6,Delft (NL),2,#117733,Supported,6,Other/unspecified
Chest,BAUA,At home,766,766,739.5,19,106,19,TRUE,At home,home,2,Dortmund (DE),3,#DDCC77,Supported,1,At home
Chest,BAUA,Working in the office/from home,419,419,410,18,60,18,TRUE,Working in the office/from home,working_indoor,4,Dortmund (DE),3,#DDCC77,Supported,2,Office/home working
Chest,BAUA,Outdoors,275,275,246.5,18,68,18,TRUE,Outdoors,outdoors,5,Dortmund (DE),3,#DDCC77,Supported,3,Outdoors
Chest,BAUA,On the road with public transport/car,132,132,109,18,57,18,TRUE,On the road with public transport/car,road_vehicle,3,Dortmund (DE),3,#DDCC77,Supported,4,Vehicle/public transport
Chest,BAUA,Sleeping,922,922,914,19,108,19,TRUE,Sleeping,sleeping,1,Dortmund (DE),3,#DDCC77,Supported,5,Sleeping
Chest,BAUA,Other/unspecified activity,81,81,81,12,24,12,TRUE,Other/unspecified activity,other,6,Dortmund (DE),3,#DDCC77,Supported,6,Other/unspecified
Chest,TUM,At home,523,523,519.5,10,59,10,TRUE,At home,home,2,Munich (DE),5,#DDCC77,Supported,1,At home
Chest,TUM,Working in the office/from home,229,229,227,10,36,10,TRUE,Working in the office/from home,working_indoor,4,Munich (DE),5,#DDCC77,Supported,2,Office/home working
Chest,TUM,Outdoors,79,79,74,10,38,10,TRUE,Outdoors,outdoors,5,Munich (DE),5,#DDCC77,Supported,3,Outdoors
Chest,TUM,On the road with public transport/car,53,53,52.5,8,26,8,TRUE,On the road with public transport/car,road_vehicle,3,Munich (DE),5,#DDCC77,Supported,4,Vehicle/public transport
Chest,TUM,Sleeping,498,498,497,10,60,10,TRUE,Sleeping,sleeping,1,Munich (DE),5,#DDCC77,Supported,5,Sleeping
Chest,TUM,Other/unspecified activity,20,20,20,8,15,8,TRUE,Other/unspecified activity,other,6,Munich (DE),5,#DDCC77,Supported,6,Other/unspecified
Chest,FUSPCEU,At home,667,667,651.5,21,111,21,TRUE,At home,home,2,Madrid (ES),6,#CC6677,Supported,1,At home
Chest,FUSPCEU,Working in the office/from home,584,584,573,21,76,21,TRUE,Working in the office/from home,working_indoor,4,Madrid (ES),6,#CC6677,Supported,2,Office/home working
Chest,FUSPCEU,Outdoors,191,191,171,20,70,20,TRUE,Outdoors,outdoors,5,Madrid (ES),6,#CC6677,Supported,3,Outdoors
Chest,FUSPCEU,On the road with public transport/car,161,161,143.5,21,72,21,TRUE,On the road with public transport/car,road_vehicle,3,Madrid (ES),6,#CC6677,Supported,4,Vehicle/public transport
Chest,FUSPCEU,Sleeping,1033,1033,1028,21,115,21,TRUE,Sleeping,sleeping,1,Madrid (ES),6,#CC6677,Supported,5,Sleeping
Chest,FUSPCEU,Other/unspecified activity,78,78,78,14,40,14,TRUE,Other/unspecified activity,other,6,Madrid (ES),6,#CC6677,Supported,6,Other/unspecified
Chest,IZTECH,At home,748,748,702.8333333333333,16,95,16,TRUE,At home,home,2,Izmir (TR),7,#332288,Supported,1,At home
Chest,IZTECH,Working in the office/from home,542,542,517,16,79,16,TRUE,Working in the office/from home,working_indoor,4,Izmir (TR),7,#332288,Supported,2,Office/home working
Chest,IZTECH,Outdoors,172,172,134.16666666666666,15,63,15,TRUE,Outdoors,outdoors,5,Izmir (TR),7,#332288,Supported,3,Outdoors
Chest,IZTECH,On the road with public transport/car,89,89,67.5,13,42,13,TRUE,On the road with public transport/car,road_vehicle,3,Izmir (TR),7,#332288,Supported,4,Vehicle/public transport
Chest,IZTECH,Sleeping,800,800,775.5,16,96,16,TRUE,Sleeping,sleeping,1,Izmir (TR),7,#332288,Supported,5,Sleeping
Chest,IZTECH,Other/unspecified activity,41,41,41,9,17,9,TRUE,Other/unspecified activity,other,6,Izmir (TR),7,#332288,Supported,6,Other/unspecified
Chest,UCR,At home,1452,1452,1377.8333333333337,38,217,38,TRUE,At home,home,2,San José (CR),8,#44AA99,Supported,1,At home
Chest,UCR,Working in the office/from home,1326,1326,1278.8333333333337,38,166,38,TRUE,Working in the office/from home,working_indoor,4,San José (CR),8,#44AA99,Supported,2,Office/home working
Chest,UCR,Outdoors,279,279,250.5,34,106,34,TRUE,Outdoors,outdoors,5,San José (CR),8,#44AA99,Supported,3,Outdoors
Chest,UCR,On the road with public transport/car,315,315,280.3333333333333,35,130,35,TRUE,On the road with public transport/car,road_vehicle,3,San José (CR),8,#44AA99,Supported,4,Vehicle/public transport
Chest,UCR,Sleeping,1738,1738,1717.5,38,224,38,TRUE,Sleeping,sleeping,1,San José (CR),8,#44AA99,Supported,5,Sleeping
Chest,UCR,Other/unspecified activity,283,283,283,28,94,28,TRUE,Other/unspecified activity,other,6,San José (CR),8,#44AA99,Supported,6,Other/unspecified
Chest,KNUST,At home,549,549,549,15,84,15,TRUE,At home,home,2,Kumasi (GH),9,#AA4499,Supported,1,At home
Chest,KNUST,Working in the office/from home,369,369,369,14,65,14,TRUE,Working in the office/from home,working_indoor,4,Kumasi (GH),9,#AA4499,Supported,2,Office/home working
Chest,KNUST,Outdoors,221,221,221,15,73,15,TRUE,Outdoors,outdoors,5,Kumasi (GH),9,#AA4499,Supported,3,Outdoors
Chest,KNUST,On the road with public transport/car,73,73,73,13,38,13,TRUE,On the road with public transport/car,road_vehicle,3,Kumasi (GH),9,#AA4499,Supported,4,Vehicle/public transport
Chest,KNUST,Sleeping,690,690,690,15,84,15,TRUE,Sleeping,sleeping,1,Kumasi (GH),9,#AA4499,Supported,5,Sleeping
Chest,KNUST,Other/unspecified activity,31,31,31,4,5,4,FALSE,Other/unspecified activity,other,6,Kumasi (GH),9,#AA4499,Observed but sparse,6,Other/unspecified
