placement,activity,clock_hour,unique_participant_hours,long_rows,effective_weighted_hours,participants,participant_days,sites,locally_sparse,activity_code,display_order
Near-eye,At home,0,142,142,130,51,142,9,FALSE,home,2
Near-eye,At home,1,59,59,56.33333333333333,35,59,8,FALSE,home,2
Near-eye,At home,2,19,19,17,14,19,6,TRUE,home,2
Near-eye,At home,3,14,14,12,13,14,5,TRUE,home,2
Near-eye,At home,4,21,21,20.5,14,21,7,FALSE,home,2
Near-eye,At home,5,55,55,48.5,27,55,8,FALSE,home,2
Near-eye,At home,6,151,151,133,56,151,9,FALSE,home,2
Near-eye,At home,7,237,237,217.5,88,237,9,FALSE,home,2
Near-eye,At home,8,226,226,210.33333333333337,100,226,9,FALSE,home,2
Near-eye,At home,9,209,209,197.5,105,209,9,FALSE,home,2
Near-eye,At home,10,217,217,204.33333333333337,103,217,9,FALSE,home,2
Near-eye,At home,11,206,206,196.66666666666669,101,206,9,FALSE,home,2
Near-eye,At home,12,200,200,194,100,200,9,FALSE,home,2
Near-eye,At home,13,190,190,182.33333333333337,98,190,9,FALSE,home,2
Near-eye,At home,14,177,177,171,94,177,9,FALSE,home,2
Near-eye,At home,15,198,198,190,101,198,9,FALSE,home,2
Near-eye,At home,16,225,225,217.33333333333337,99,225,9,FALSE,home,2
Near-eye,At home,17,276,276,264.33333333333337,105,276,9,FALSE,home,2
Near-eye,At home,18,340,340,328.5,112,340,9,FALSE,home,2
Near-eye,At home,19,394,394,384.5,116,394,9,FALSE,home,2
Near-eye,At home,20,432,432,427,115,432,9,FALSE,home,2
Near-eye,At home,21,453,453,447,113,453,9,FALSE,home,2
Near-eye,At home,22,411,411,397,108,411,9,FALSE,home,2
Near-eye,At home,23,253,253,242.5,81,253,9,FALSE,home,2
Near-eye,On the road with public transport/car,0,7,7,6.5,6,7,5,TRUE,road_vehicle,3
Near-eye,On the road with public transport/car,1,2,2,1.3333333333333333,2,2,2,TRUE,road_vehicle,3
Near-eye,On the road with public transport/car,2,2,2,2,2,2,2,TRUE,road_vehicle,3
Near-eye,On the road with public transport/car,3,1,1,1,1,1,1,TRUE,road_vehicle,3
Near-eye,On the road with public transport/car,4,1,1,1,1,1,1,TRUE,road_vehicle,3
Near-eye,On the road with public transport/car,5,3,3,2.5,1,3,1,TRUE,road_vehicle,3
Near-eye,On the road with public transport/car,6,21,21,14,11,21,5,FALSE,road_vehicle,3
Near-eye,On the road with public transport/car,7,65,65,50.16666666666667,37,65,9,FALSE,road_vehicle,3
Near-eye,On the road with public transport/car,8,92,92,76.33333333333334,45,92,8,FALSE,road_vehicle,3
Near-eye,On the road with public transport/car,9,49,49,44,35,49,9,FALSE,road_vehicle,3
Near-eye,On the road with public transport/car,10,38,38,29.666666666666664,35,38,8,FALSE,road_vehicle,3
Near-eye,On the road with public transport/car,11,32,32,25.666666666666664,27,32,9,FALSE,road_vehicle,3
Near-eye,On the road with public transport/car,12,34,34,28.833333333333332,28,34,9,FALSE,road_vehicle,3
Near-eye,On the road with public transport/car,13,36,36,28.333333333333336,32,36,8,FALSE,road_vehicle,3
Near-eye,On the road with public transport/car,14,45,45,38,36,45,9,FALSE,road_vehicle,3
Near-eye,On the road with public transport/car,15,50,50,41.833333333333336,34,50,8,FALSE,road_vehicle,3
Near-eye,On the road with public transport/car,16,67,67,55.16666666666667,50,67,9,FALSE,road_vehicle,3
Near-eye,On the road with public transport/car,17,80,80,66.83333333333334,56,80,9,FALSE,road_vehicle,3
Near-eye,On the road with public transport/car,18,73,73,64,46,73,9,FALSE,road_vehicle,3
Near-eye,On the road with public transport/car,19,44,44,39,32,44,9,FALSE,road_vehicle,3
Near-eye,On the road with public transport/car,20,30,30,24.333333333333332,23,30,7,FALSE,road_vehicle,3
Near-eye,On the road with public transport/car,21,23,23,18,19,23,7,FALSE,road_vehicle,3
Near-eye,On the road with public transport/car,22,14,14,12.5,12,14,6,TRUE,road_vehicle,3
Near-eye,On the road with public transport/car,23,9,9,8.5,8,9,5,TRUE,road_vehicle,3
Near-eye,Working in the office/from home,0,20,20,19.5,10,20,5,FALSE,working_indoor,4
Near-eye,Working in the office/from home,1,9,9,8,5,9,4,TRUE,working_indoor,4
Near-eye,Working in the office/from home,2,7,7,6.5,4,7,4,TRUE,working_indoor,4
Near-eye,Working in the office/from home,3,5,5,5,4,5,4,TRUE,working_indoor,4
Near-eye,Working in the office/from home,4,3,3,3,3,3,3,TRUE,working_indoor,4
Near-eye,Working in the office/from home,5,1,1,1,1,1,1,TRUE,working_indoor,4
Near-eye,Working in the office/from home,6,17,17,16,9,17,6,TRUE,working_indoor,4
Near-eye,Working in the office/from home,7,57,57,53.66666666666667,29,57,9,FALSE,working_indoor,4
Near-eye,Working in the office/from home,8,150,150,142,65,150,9,FALSE,working_indoor,4
Near-eye,Working in the office/from home,9,282,282,273.5,100,282,9,FALSE,working_indoor,4
Near-eye,Working in the office/from home,10,343,343,333.5,110,343,9,FALSE,working_indoor,4
Near-eye,Working in the office/from home,11,364,364,358.5,115,364,9,FALSE,working_indoor,4
Near-eye,Working in the office/from home,12,336,336,319.83333333333337,114,336,9,FALSE,working_indoor,4
Near-eye,Working in the office/from home,13,360,360,348.6666666666667,122,360,9,FALSE,working_indoor,4
Near-eye,Working in the office/from home,14,350,350,338,117,350,9,FALSE,working_indoor,4
Near-eye,Working in the office/from home,15,336,336,322.33333333333337,117,336,9,FALSE,working_indoor,4
Near-eye,Working in the office/from home,16,275,275,264.83333333333337,105,275,9,FALSE,working_indoor,4
Near-eye,Working in the office/from home,17,209,209,200.33333333333337,83,209,9,FALSE,working_indoor,4
Near-eye,Working in the office/from home,18,134,134,130,61,134,9,FALSE,working_indoor,4
Near-eye,Working in the office/from home,19,108,108,106,54,108,9,FALSE,working_indoor,4
Near-eye,Working in the office/from home,20,93,93,89.83333333333334,45,93,9,FALSE,working_indoor,4
Near-eye,Working in the office/from home,21,77,77,75,38,77,9,FALSE,working_indoor,4
Near-eye,Working in the office/from home,22,56,56,52,29,56,9,FALSE,working_indoor,4
Near-eye,Working in the office/from home,23,32,32,31,17,32,7,FALSE,working_indoor,4
Near-eye,Outdoors,0,8,8,7.5,6,8,4,TRUE,outdoors,5
Near-eye,Outdoors,1,5,5,4.5,2,5,2,TRUE,outdoors,5
Near-eye,Outdoors,2,2,2,1,1,2,1,TRUE,outdoors,5
Near-eye,Outdoors,3,1,1,1,1,1,1,TRUE,outdoors,5
Near-eye,Outdoors,4,2,2,2,2,2,2,TRUE,outdoors,5
Near-eye,Outdoors,5,1,1,0.5,1,1,1,TRUE,outdoors,5
Near-eye,Outdoors,6,6,6,4.166666666666666,5,6,3,TRUE,outdoors,5
Near-eye,Outdoors,7,21,21,17.166666666666664,15,21,6,FALSE,outdoors,5
Near-eye,Outdoors,8,59,59,46.833333333333336,37,59,7,FALSE,outdoors,5
Near-eye,Outdoors,9,75,75,62,49,75,9,FALSE,outdoors,5
Near-eye,Outdoors,10,73,73,61.50000000000001,52,73,9,FALSE,outdoors,5
Near-eye,Outdoors,11,92,92,80.66666666666667,58,92,7,FALSE,outdoors,5
Near-eye,Outdoors,12,125,125,106.33333333333334,72,125,9,FALSE,outdoors,5
Near-eye,Outdoors,13,118,118,105.66666666666666,72,118,9,FALSE,outdoors,5
Near-eye,Outdoors,14,120,120,108,69,120,8,FALSE,outdoors,5
Near-eye,Outdoors,15,112,112,98.83333333333331,66,112,9,FALSE,outdoors,5
Near-eye,Outdoors,16,118,118,103.66666666666669,70,118,8,FALSE,outdoors,5
Near-eye,Outdoors,17,126,126,112.5,71,126,9,FALSE,outdoors,5
Near-eye,Outdoors,18,121,121,109,69,121,9,FALSE,outdoors,5
Near-eye,Outdoors,19,100,100,92.5,62,100,9,FALSE,outdoors,5
Near-eye,Outdoors,20,62,62,55.833333333333336,41,62,9,FALSE,outdoors,5
Near-eye,Outdoors,21,44,44,39.5,31,44,8,FALSE,outdoors,5
Near-eye,Outdoors,22,21,21,19,18,21,8,FALSE,outdoors,5
Near-eye,Outdoors,23,10,10,9,9,10,5,TRUE,outdoors,5
Near-eye,Other/unspecified activity,0,4,4,4,4,4,4,TRUE,other,6
Near-eye,Other/unspecified activity,1,3,3,3,3,3,3,TRUE,other,6
Near-eye,Other/unspecified activity,2,3,3,3,3,3,3,TRUE,other,6
Near-eye,Other/unspecified activity,3,1,1,1,1,1,1,TRUE,other,6
Near-eye,Other/unspecified activity,8,4,4,4,4,4,3,TRUE,other,6
Near-eye,Other/unspecified activity,9,11,11,11,11,11,8,TRUE,other,6
Near-eye,Other/unspecified activity,10,20,20,20,18,20,8,FALSE,other,6
Near-eye,Other/unspecified activity,11,15,15,15,14,15,8,TRUE,other,6
Near-eye,Other/unspecified activity,12,26,26,26,23,26,6,FALSE,other,6
Near-eye,Other/unspecified activity,13,22,22,22,20,22,6,FALSE,other,6
Near-eye,Other/unspecified activity,14,28,28,28,26,28,9,FALSE,other,6
Near-eye,Other/unspecified activity,15,30,30,30,27,30,9,FALSE,other,6
Near-eye,Other/unspecified activity,16,31,31,31,27,31,9,FALSE,other,6
Near-eye,Other/unspecified activity,17,29,29,29,23,29,8,FALSE,other,6
Near-eye,Other/unspecified activity,18,37,37,37,29,37,9,FALSE,other,6
Near-eye,Other/unspecified activity,19,35,35,35,29,35,9,FALSE,other,6
Near-eye,Other/unspecified activity,20,37,37,37,26,37,8,FALSE,other,6
Near-eye,Other/unspecified activity,21,26,26,26,18,26,8,FALSE,other,6
Near-eye,Other/unspecified activity,22,19,19,19,12,19,6,TRUE,other,6
Near-eye,Other/unspecified activity,23,10,10,10,5,10,4,TRUE,other,6
