placement,locally_sparse,support_status,activity_code,clock_hour,unique_participant_hours,long_rows,effective_weighted_hours,participants,participant_days,sites,activity_label,reader_order,short_label
Near-eye,FALSE,Supported,working_indoor,17,209,209,200.33333333333334,83,209,9,Working in the office/from home,2,Office/home working
Near-eye,FALSE,Supported,working_indoor,18,134,134,130,61,134,9,Working in the office/from home,2,Office/home working
Near-eye,FALSE,Supported,working_indoor,19,108,108,106,54,108,9,Working in the office/from home,2,Office/home working
Near-eye,FALSE,Supported,working_indoor,20,93,93,89.83333333333334,45,93,9,Working in the office/from home,2,Office/home working
Near-eye,FALSE,Supported,working_indoor,21,77,77,75,38,77,9,Working in the office/from home,2,Office/home working
Near-eye,FALSE,Supported,working_indoor,22,56,56,52,29,56,9,Working in the office/from home,2,Office/home working
Near-eye,FALSE,Supported,working_indoor,23,32,32,31,17,32,7,Working in the office/from home,2,Office/home working
Near-eye,TRUE,Locally sparse,outdoors,0,8,8,7.5,6,8,4,Outdoors,3,Outdoors
Near-eye,TRUE,Locally sparse,outdoors,1,5,5,4.5,2,5,2,Outdoors,3,Outdoors
Near-eye,TRUE,Locally sparse,outdoors,2,2,2,1,1,2,1,Outdoors,3,Outdoors
Near-eye,TRUE,Locally sparse,outdoors,3,1,1,1,1,1,1,Outdoors,3,Outdoors
Near-eye,TRUE,Locally sparse,outdoors,4,2,2,2,2,2,2,Outdoors,3,Outdoors
Near-eye,TRUE,Locally sparse,outdoors,5,1,1,0.5,1,1,1,Outdoors,3,Outdoors
Near-eye,TRUE,Locally sparse,outdoors,6,6,6,4.166666666666667,5,6,3,Outdoors,3,Outdoors
Near-eye,FALSE,Supported,outdoors,7,21,21,17.166666666666668,15,21,6,Outdoors,3,Outdoors
Near-eye,FALSE,Supported,outdoors,8,59,59,46.833333333333336,37,59,7,Outdoors,3,Outdoors
Near-eye,FALSE,Supported,outdoors,9,75,75,62,49,75,9,Outdoors,3,Outdoors
Near-eye,FALSE,Supported,outdoors,10,73,73,61.5,52,73,9,Outdoors,3,Outdoors
Near-eye,FALSE,Supported,outdoors,11,92,92,80.66666666666666,58,92,7,Outdoors,3,Outdoors
Near-eye,FALSE,Supported,outdoors,12,125,125,106.33333333333333,72,125,9,Outdoors,3,Outdoors
Near-eye,FALSE,Supported,outdoors,13,118,118,105.66666666666666,72,118,9,Outdoors,3,Outdoors
Near-eye,FALSE,Supported,outdoors,14,120,120,108,69,120,8,Outdoors,3,Outdoors
Near-eye,FALSE,Supported,outdoors,15,112,112,98.83333333333333,66,112,9,Outdoors,3,Outdoors
Near-eye,FALSE,Supported,outdoors,16,118,118,103.66666666666667,70,118,8,Outdoors,3,Outdoors
Near-eye,FALSE,Supported,outdoors,17,126,126,112.5,71,126,9,Outdoors,3,Outdoors
Near-eye,FALSE,Supported,outdoors,18,121,121,109,69,121,9,Outdoors,3,Outdoors
Near-eye,FALSE,Supported,outdoors,19,100,100,92.5,62,100,9,Outdoors,3,Outdoors
Near-eye,FALSE,Supported,outdoors,20,62,62,55.83333333333333,41,62,9,Outdoors,3,Outdoors
Near-eye,FALSE,Supported,outdoors,21,44,44,39.5,31,44,8,Outdoors,3,Outdoors
Near-eye,FALSE,Supported,outdoors,22,21,21,19,18,21,8,Outdoors,3,Outdoors
Near-eye,TRUE,Locally sparse,outdoors,23,10,10,9,9,10,5,Outdoors,3,Outdoors
Near-eye,TRUE,Locally sparse,road_vehicle,0,7,7,6.5,6,7,5,On the road with public transport/car,4,Vehicle/public transport
Near-eye,TRUE,Locally sparse,road_vehicle,1,2,2,1.3333333333333333,2,2,2,On the road with public transport/car,4,Vehicle/public transport
Near-eye,TRUE,Locally sparse,road_vehicle,2,2,2,2,2,2,2,On the road with public transport/car,4,Vehicle/public transport
Near-eye,TRUE,Locally sparse,road_vehicle,3,1,1,1,1,1,1,On the road with public transport/car,4,Vehicle/public transport
Near-eye,TRUE,Locally sparse,road_vehicle,4,1,1,1,1,1,1,On the road with public transport/car,4,Vehicle/public transport
Near-eye,TRUE,Locally sparse,road_vehicle,5,3,3,2.5,1,3,1,On the road with public transport/car,4,Vehicle/public transport
Near-eye,FALSE,Supported,road_vehicle,6,21,21,13.999999999999998,11,21,5,On the road with public transport/car,4,Vehicle/public transport
Near-eye,FALSE,Supported,road_vehicle,7,65,65,50.16666666666667,37,65,9,On the road with public transport/car,4,Vehicle/public transport
Near-eye,FALSE,Supported,road_vehicle,8,92,92,76.33333333333333,45,92,8,On the road with public transport/car,4,Vehicle/public transport
Near-eye,FALSE,Supported,road_vehicle,9,49,49,44,35,49,9,On the road with public transport/car,4,Vehicle/public transport
Near-eye,FALSE,Supported,road_vehicle,10,38,38,29.666666666666668,35,38,8,On the road with public transport/car,4,Vehicle/public transport
Near-eye,FALSE,Supported,road_vehicle,11,32,32,25.666666666666664,27,32,9,On the road with public transport/car,4,Vehicle/public transport
Near-eye,FALSE,Supported,road_vehicle,12,34,34,28.833333333333332,28,34,9,On the road with public transport/car,4,Vehicle/public transport
Near-eye,FALSE,Supported,road_vehicle,13,36,36,28.333333333333332,32,36,8,On the road with public transport/car,4,Vehicle/public transport
Near-eye,FALSE,Supported,road_vehicle,14,45,45,38,36,45,9,On the road with public transport/car,4,Vehicle/public transport
Near-eye,FALSE,Supported,road_vehicle,15,50,50,41.83333333333333,34,50,8,On the road with public transport/car,4,Vehicle/public transport
Near-eye,FALSE,Supported,road_vehicle,16,67,67,55.166666666666664,50,67,9,On the road with public transport/car,4,Vehicle/public transport
Near-eye,FALSE,Supported,road_vehicle,17,80,80,66.83333333333333,56,80,9,On the road with public transport/car,4,Vehicle/public transport
Near-eye,FALSE,Supported,road_vehicle,18,73,73,64,46,73,9,On the road with public transport/car,4,Vehicle/public transport
Near-eye,FALSE,Supported,road_vehicle,19,44,44,39,32,44,9,On the road with public transport/car,4,Vehicle/public transport
Near-eye,FALSE,Supported,road_vehicle,20,30,30,24.333333333333336,23,30,7,On the road with public transport/car,4,Vehicle/public transport
Near-eye,FALSE,Supported,road_vehicle,21,23,23,18,19,23,7,On the road with public transport/car,4,Vehicle/public transport
Near-eye,TRUE,Locally sparse,road_vehicle,22,14,14,12.5,12,14,6,On the road with public transport/car,4,Vehicle/public transport
Near-eye,TRUE,Locally sparse,road_vehicle,23,9,9,8.5,8,9,5,On the road with public transport/car,4,Vehicle/public transport
Near-eye,FALSE,Supported,sleeping,0,537,537,526.5,119,537,9,Sleeping,5,Sleeping
Near-eye,FALSE,Supported,sleeping,1,631,631,627.8333333333333,123,631,9,Sleeping,5,Sleeping
Near-eye,FALSE,Supported,sleeping,2,673,673,671.5,124,673,9,Sleeping,5,Sleeping
Near-eye,FALSE,Supported,sleeping,3,684,684,682,124,684,9,Sleeping,5,Sleeping
Near-eye,FALSE,Supported,sleeping,4,681,681,680.5,124,681,9,Sleeping,5,Sleeping
Near-eye,FALSE,Supported,sleeping,5,662,662,656.5,124,662,9,Sleeping,5,Sleeping
Near-eye,FALSE,Supported,sleeping,6,552,552,534.8333333333333,121,552,9,Sleeping,5,Sleeping
Near-eye,FALSE,Supported,sleeping,7,370,370,360.5,103,370,9,Sleeping,5,Sleeping
Near-eye,FALSE,Supported,sleeping,8,235,235,228.5,84,235,9,Sleeping,5,Sleeping
Near-eye,FALSE,Supported,sleeping,9,123,123,119,57,123,9,Sleeping,5,Sleeping
Near-eye,FALSE,Supported,sleeping,10,49,49,48,31,49,9,Sleeping,5,Sleeping
Near-eye,FALSE,Supported,sleeping,11,23,23,19.5,13,23,5,Sleeping,5,Sleeping
Near-eye,TRUE,Locally sparse,sleeping,12,8,8,7,5,8,3,Sleeping,5,Sleeping
Near-eye,TRUE,Locally sparse,sleeping,13,6,6,6,6,6,3,Sleeping,5,Sleeping
Near-eye,TRUE,Locally sparse,sleeping,14,8,8,8,8,8,4,Sleeping,5,Sleeping
Near-eye,TRUE,Locally sparse,sleeping,15,5,5,5,5,5,4,Sleeping,5,Sleeping
Near-eye,TRUE,Locally sparse,sleeping,16,4,4,4,4,4,3,Sleeping,5,Sleeping
Near-eye,TRUE,Locally sparse,sleeping,17,7,7,6,6,7,5,Sleeping,5,Sleeping
Near-eye,TRUE,Locally sparse,sleeping,18,7,7,6.5,6,7,5,Sleeping,5,Sleeping
Near-eye,TRUE,Locally sparse,sleeping,19,5,5,5,5,5,4,Sleeping,5,Sleeping
Near-eye,FALSE,Supported,sleeping,20,24,24,23,13,24,7,Sleeping,5,Sleeping
Near-eye,FALSE,Supported,sleeping,21,66,66,64.5,26,66,8,Sleeping,5,Sleeping
Near-eye,FALSE,Supported,sleeping,22,176,176,167.5,56,176,9,Sleeping,5,Sleeping
Near-eye,FALSE,Supported,sleeping,23,370,370,362,95,370,9,Sleeping,5,Sleeping
Near-eye,TRUE,Locally sparse,other,0,4,4,4,4,4,4,Other/unspecified activity,6,Other/unspecified
Near-eye,TRUE,Locally sparse,other,1,3,3,3,3,3,3,Other/unspecified activity,6,Other/unspecified
Near-eye,TRUE,Locally sparse,other,2,3,3,3,3,3,3,Other/unspecified activity,6,Other/unspecified
Near-eye,TRUE,Locally sparse,other,3,1,1,1,1,1,1,Other/unspecified activity,6,Other/unspecified
Near-eye,FALSE,No observations,other,4,0,0,0,0,0,0,Other/unspecified activity,6,Other/unspecified
Near-eye,FALSE,No observations,other,5,0,0,0,0,0,0,Other/unspecified activity,6,Other/unspecified
Near-eye,FALSE,No observations,other,6,0,0,0,0,0,0,Other/unspecified activity,6,Other/unspecified
Near-eye,FALSE,No observations,other,7,0,0,0,0,0,0,Other/unspecified activity,6,Other/unspecified
Near-eye,TRUE,Locally sparse,other,8,4,4,4,4,4,3,Other/unspecified activity,6,Other/unspecified
Near-eye,TRUE,Locally sparse,other,9,11,11,11,11,11,8,Other/unspecified activity,6,Other/unspecified
Near-eye,FALSE,Supported,other,10,20,20,20,18,20,8,Other/unspecified activity,6,Other/unspecified
Near-eye,TRUE,Locally sparse,other,11,15,15,15,14,15,8,Other/unspecified activity,6,Other/unspecified
Near-eye,FALSE,Supported,other,12,26,26,26,23,26,6,Other/unspecified activity,6,Other/unspecified
Near-eye,FALSE,Supported,other,13,22,22,22,20,22,6,Other/unspecified activity,6,Other/unspecified
Near-eye,FALSE,Supported,other,14,28,28,28,26,28,9,Other/unspecified activity,6,Other/unspecified
Near-eye,FALSE,Supported,other,15,30,30,30,27,30,9,Other/unspecified activity,6,Other/unspecified
Near-eye,FALSE,Supported,other,16,31,31,31,27,31,9,Other/unspecified activity,6,Other/unspecified
Near-eye,FALSE,Supported,other,17,29,29,29,23,29,8,Other/unspecified activity,6,Other/unspecified
Near-eye,FALSE,Supported,other,18,37,37,37,29,37,9,Other/unspecified activity,6,Other/unspecified
Near-eye,FALSE,Supported,other,19,35,35,35,29,35,9,Other/unspecified activity,6,Other/unspecified
Near-eye,FALSE,Supported,other,20,37,37,37,26,37,8,Other/unspecified activity,6,Other/unspecified
Near-eye,FALSE,Supported,other,21,26,26,26,18,26,8,Other/unspecified activity,6,Other/unspecified
Near-eye,TRUE,Locally sparse,other,22,19,19,19,12,19,6,Other/unspecified activity,6,Other/unspecified
Near-eye,TRUE,Locally sparse,other,23,10,10,10,5,10,4,Other/unspecified activity,6,Other/unspecified
Chest,FALSE,Supported,home,0,155,155,141.5,56,155,8,At home,1,At home
Chest,FALSE,Supported,home,1,61,61,56.83333333333333,36,61,8,At home,1,At home
Chest,FALSE,Supported,home,2,22,22,19,16,22,7,At home,1,At home
Chest,TRUE,Locally sparse,home,3,16,16,13.5,15,16,6,At home,1,At home
Chest,FALSE,Supported,home,4,30,30,27,19,30,7,At home,1,At home
Chest,FALSE,Supported,home,5,92,92,83.5,42,92,7,At home,1,At home
Chest,FALSE,Supported,home,6,204,204,180.49999999999997,81,204,8,At home,1,At home
Chest,FALSE,Supported,home,7,309,309,285,109,309,8,At home,1,At home
Chest,FALSE,Supported,home,8,291,291,268.83333333333337,119,291,8,At home,1,At home
Chest,FALSE,Supported,home,9,256,256,238.83333333333334,127,256,8,At home,1,At home
Chest,FALSE,Supported,home,10,255,255,239.83333333333331,125,255,8,At home,1,At home
Chest,FALSE,Supported,home,11,237,237,226.16666666666669,121,237,8,At home,1,At home
Chest,FALSE,Supported,home,12,234,234,227,117,234,8,At home,1,At home
Chest,FALSE,Supported,home,13,230,230,220.83333333333331,115,230,8,At home,1,At home
Chest,FALSE,Supported,home,14,207,207,200,115,207,8,At home,1,At home
Chest,FALSE,Supported,home,15,241,241,231.5,123,241,8,At home,1,At home
Chest,FALSE,Supported,home,16,270,270,260.33333333333337,122,270,8,At home,1,At home
Chest,FALSE,Supported,home,17,336,336,322.3333333333333,128,336,8,At home,1,At home
Chest,FALSE,Supported,home,18,437,437,422,134,437,8,At home,1,At home
Chest,FALSE,Supported,home,19,496,496,480.5,138,496,8,At home,1,At home
Chest,FALSE,Supported,home,20,528,528,519.5,141,528,8,At home,1,At home
Chest,FALSE,Supported,home,21,545,545,533.5,135,545,8,At home,1,At home
Chest,FALSE,Supported,home,22,455,455,439,127,455,8,At home,1,At home
Chest,FALSE,Supported,home,23,263,263,250,93,263,8,At home,1,At home
Chest,TRUE,Locally sparse,working_indoor,0,16,16,15.5,9,16,4,Working in the office/from home,2,Office/home working
Chest,TRUE,Locally sparse,working_indoor,1,7,7,6,4,7,3,Working in the office/from home,2,Office/home working
Chest,TRUE,Locally sparse,working_indoor,2,5,5,4.5,3,5,3,Working in the office/from home,2,Office/home working
Chest,TRUE,Locally sparse,working_indoor,3,4,4,4,3,4,3,Working in the office/from home,2,Office/home working
Chest,TRUE,Locally sparse,working_indoor,4,3,3,3,3,3,3,Working in the office/from home,2,Office/home working
Chest,TRUE,Locally sparse,working_indoor,5,3,3,2.5,3,3,2,Working in the office/from home,2,Office/home working
Chest,TRUE,Locally sparse,working_indoor,6,12,12,11,8,12,5,Working in the office/from home,2,Office/home working
Chest,FALSE,Supported,working_indoor,7,70,70,64.66666666666666,37,70,8,Working in the office/from home,2,Office/home working
Chest,FALSE,Supported,working_indoor,8,183,183,174.5,74,183,8,Working in the office/from home,2,Office/home working
Chest,FALSE,Supported,working_indoor,9,353,353,339.8333333333333,123,353,8,Working in the office/from home,2,Office/home working
Chest,FALSE,Supported,working_indoor,10,426,426,412.5,135,426,8,Working in the office/from home,2,Office/home working
Chest,FALSE,Supported,working_indoor,11,441,441,433.5,138,441,8,Working in the office/from home,2,Office/home working
Chest,FALSE,Supported,working_indoor,12,408,408,389.83333333333337,132,408,8,Working in the office/from home,2,Office/home working
Chest,FALSE,Supported,working_indoor,13,429,429,413.6666666666667,142,429,8,Working in the office/from home,2,Office/home working
Chest,FALSE,Supported,working_indoor,14,427,427,413.5,140,427,8,Working in the office/from home,2,Office/home working
Chest,FALSE,Supported,working_indoor,15,404,404,388.83333333333337,139,404,8,Working in the office/from home,2,Office/home working
Chest,FALSE,Supported,working_indoor,16,340,340,328.8333333333333,129,340,8,Working in the office/from home,2,Office/home working
Chest,FALSE,Supported,working_indoor,17,255,255,242.33333333333334,105,255,8,Working in the office/from home,2,Office/home working
Chest,FALSE,Supported,working_indoor,18,156,156,150.5,78,156,8,Working in the office/from home,2,Office/home working
Chest,FALSE,Supported,working_indoor,19,134,134,130,69,134,8,Working in the office/from home,2,Office/home working
Chest,FALSE,Supported,working_indoor,20,121,121,116.33333333333334,58,121,8,Working in the office/from home,2,Office/home working
Chest,FALSE,Supported,working_indoor,21,102,102,99.5,51,102,8,Working in the office/from home,2,Office/home working
Chest,FALSE,Supported,working_indoor,22,71,71,66.5,39,71,8,Working in the office/from home,2,Office/home working
Chest,FALSE,Supported,working_indoor,23,33,33,31.5,19,33,7,Working in the office/from home,2,Office/home working
Chest,TRUE,Locally sparse,outdoors,0,6,6,5.5,4,6,3,Outdoors,3,Outdoors
Chest,TRUE,Locally sparse,outdoors,1,5,5,4.5,2,5,2,Outdoors,3,Outdoors
Chest,TRUE,Locally sparse,outdoors,2,2,2,1,1,2,1,Outdoors,3,Outdoors
Chest,FALSE,No observations,outdoors,3,0,0,0,0,0,0,Outdoors,3,Outdoors
Chest,TRUE,Locally sparse,outdoors,4,1,1,1,1,1,1,Outdoors,3,Outdoors
Chest,TRUE,Locally sparse,outdoors,5,4,4,2,2,4,2,Outdoors,3,Outdoors
Chest,TRUE,Locally sparse,outdoors,6,15,15,11.166666666666666,8,15,3,Outdoors,3,Outdoors
Chest,FALSE,Supported,outdoors,7,26,26,20.166666666666668,20,26,5,Outdoors,3,Outdoors
Chest,FALSE,Supported,outdoors,8,80,80,64.33333333333334,44,80,7,Outdoors,3,Outdoors
Chest,FALSE,Supported,outdoors,9,100,100,81.33333333333333,61,100,8,Outdoors,3,Outdoors
Chest,FALSE,Supported,outdoors,10,93,93,77.5,64,93,8,Outdoors,3,Outdoors
Chest,FALSE,Supported,outdoors,11,115,115,101.66666666666666,71,115,7,Outdoors,3,Outdoors
Chest,FALSE,Supported,outdoors,12,148,148,125.33333333333333,86,148,8,Outdoors,3,Outdoors
Chest,FALSE,Supported,outdoors,13,143,143,125.66666666666666,88,143,8,Outdoors,3,Outdoors
Chest,FALSE,Supported,outdoors,14,137,137,122,79,137,8,Outdoors,3,Outdoors
Chest,FALSE,Supported,outdoors,15,128,128,112.33333333333334,76,128,8,Outdoors,3,Outdoors
Chest,FALSE,Supported,outdoors,16,133,133,117.66666666666667,79,133,8,Outdoors,3,Outdoors
Chest,FALSE,Supported,outdoors,17,141,141,124,76,141,8,Outdoors,3,Outdoors
Chest,FALSE,Supported,outdoors,18,128,128,113,78,128,8,Outdoors,3,Outdoors
Chest,FALSE,Supported,outdoors,19,103,103,94.5,63,103,8,Outdoors,3,Outdoors
Chest,FALSE,Supported,outdoors,20,73,73,64.83333333333333,47,73,8,Outdoors,3,Outdoors
Chest,FALSE,Supported,outdoors,21,44,44,38.5,31,44,7,Outdoors,3,Outdoors
Chest,FALSE,Supported,outdoors,22,20,20,17.5,18,20,7,Outdoors,3,Outdoors
Chest,TRUE,Locally sparse,outdoors,23,11,11,10,10,11,5,Outdoors,3,Outdoors
Chest,TRUE,Locally sparse,road_vehicle,0,8,8,7.5,7,8,6,On the road with public transport/car,4,Vehicle/public transport
Chest,TRUE,Locally sparse,road_vehicle,1,3,3,1.8333333333333333,3,3,3,On the road with public transport/car,4,Vehicle/public transport
Chest,TRUE,Locally sparse,road_vehicle,2,2,2,2,2,2,2,On the road with public transport/car,4,Vehicle/public transport
Chest,TRUE,Locally sparse,road_vehicle,3,1,1,1,1,1,1,On the road with public transport/car,4,Vehicle/public transport
Chest,TRUE,Locally sparse,road_vehicle,4,1,1,1,1,1,1,On the road with public transport/car,4,Vehicle/public transport
Chest,TRUE,Locally sparse,road_vehicle,5,5,5,4,4,5,1,On the road with public transport/car,4,Vehicle/public transport
Chest,FALSE,Supported,road_vehicle,6,39,39,29,21,39,5,On the road with public transport/car,4,Vehicle/public transport
Chest,FALSE,Supported,road_vehicle,7,84,84,66.66666666666667,48,84,8,On the road with public transport/car,4,Vehicle/public transport
Chest,FALSE,Supported,road_vehicle,8,105,105,89.33333333333333,54,105,8,On the road with public transport/car,4,Vehicle/public transport
Chest,FALSE,Supported,road_vehicle,9,65,65,57,47,65,8,On the road with public transport/car,4,Vehicle/public transport
Chest,FALSE,Supported,road_vehicle,10,47,47,36.66666666666667,43,47,7,On the road with public transport/car,4,Vehicle/public transport
Chest,FALSE,Supported,road_vehicle,11,43,43,35.166666666666664,35,43,8,On the road with public transport/car,4,Vehicle/public transport
Chest,FALSE,Supported,road_vehicle,12,50,50,43.33333333333333,40,50,8,On the road with public transport/car,4,Vehicle/public transport
Chest,FALSE,Supported,road_vehicle,13,48,48,38.83333333333333,41,48,8,On the road with public transport/car,4,Vehicle/public transport
Chest,FALSE,Supported,road_vehicle,14,55,55,47.5,44,55,8,On the road with public transport/car,4,Vehicle/public transport
Chest,FALSE,Supported,road_vehicle,15,60,60,51.33333333333333,42,60,8,On the road with public transport/car,4,Vehicle/public transport
Chest,FALSE,Supported,road_vehicle,16,91,91,78.16666666666666,65,91,8,On the road with public transport/car,4,Vehicle/public transport
Chest,FALSE,Supported,road_vehicle,17,104,104,89.33333333333334,72,104,8,On the road with public transport/car,4,Vehicle/public transport
Chest,FALSE,Supported,road_vehicle,18,97,97,86.5,57,97,8,On the road with public transport/car,4,Vehicle/public transport
Chest,FALSE,Supported,road_vehicle,19,61,61,54,44,61,8,On the road with public transport/car,4,Vehicle/public transport
Chest,FALSE,Supported,road_vehicle,20,35,35,28.833333333333336,27,35,7,On the road with public transport/car,4,Vehicle/public transport
Chest,FALSE,Supported,road_vehicle,21,27,27,20.5,22,27,7,On the road with public transport/car,4,Vehicle/public transport
Chest,TRUE,Locally sparse,road_vehicle,22,15,15,13,14,15,6,On the road with public transport/car,4,Vehicle/public transport
Chest,TRUE,Locally sparse,road_vehicle,23,10,10,9.5,9,10,5,On the road with public transport/car,4,Vehicle/public transport
Chest,FALSE,Supported,sleeping,0,688,688,676,142,688,8,Sleeping,5,Sleeping
Chest,FALSE,Supported,sleeping,1,790,790,785.8333333333333,147,790,8,Sleeping,5,Sleeping
Chest,FALSE,Supported,sleeping,2,832,832,829.5,148,832,8,Sleeping,5,Sleeping
Chest,FALSE,Supported,sleeping,3,841,841,838.5,148,841,8,Sleeping,5,Sleeping
Chest,FALSE,Supported,sleeping,4,829,829,826,148,829,8,Sleeping,5,Sleeping
Chest,FALSE,Supported,sleeping,5,768,768,763,147,768,8,Sleeping,5,Sleeping
Chest,FALSE,Supported,sleeping,6,625,625,606.3333333333333,144,625,8,Sleeping,5,Sleeping
Chest,FALSE,Supported,sleeping,7,399,399,386.5,119,399,8,Sleeping,5,Sleeping
Chest,FALSE,Supported,sleeping,8,236,236,224,90,236,8,Sleeping,5,Sleeping
Chest,FALSE,Supported,sleeping,9,116,116,111,57,116,8,Sleeping,5,Sleeping
Chest,FALSE,Supported,sleeping,10,45,45,43.5,28,45,8,Sleeping,5,Sleeping
Chest,FALSE,Supported,sleeping,11,22,22,18.5,12,22,4,Sleeping,5,Sleeping
Chest,TRUE,Locally sparse,sleeping,12,12,12,10.5,8,12,4,Sleeping,5,Sleeping
Chest,TRUE,Locally sparse,sleeping,13,5,5,5,5,5,2,Sleeping,5,Sleeping
Chest,TRUE,Locally sparse,sleeping,14,11,11,11,11,11,5,Sleeping,5,Sleeping
Chest,TRUE,Locally sparse,sleeping,15,7,7,7,6,7,6,Sleeping,5,Sleeping
Chest,TRUE,Locally sparse,sleeping,16,3,3,3,3,3,3,Sleeping,5,Sleeping
Chest,TRUE,Locally sparse,sleeping,17,7,7,6,6,7,6,Sleeping,5,Sleeping
Chest,TRUE,Locally sparse,sleeping,18,7,7,6,6,7,5,Sleeping,5,Sleeping
Chest,TRUE,Locally sparse,sleeping,19,7,7,6,6,7,5,Sleeping,5,Sleeping
Chest,FALSE,Supported,sleeping,20,27,27,25.5,16,27,8,Sleeping,5,Sleeping
Chest,FALSE,Supported,sleeping,21,91,91,85,39,91,8,Sleeping,5,Sleeping
Chest,FALSE,Supported,sleeping,22,268,268,258,81,268,8,Sleeping,5,Sleeping
Chest,FALSE,Supported,sleeping,23,519,519,508,126,519,8,Sleeping,5,Sleeping
Chest,TRUE,Locally sparse,other,0,5,5,5,5,5,4,Other/unspecified activity,6,Other/unspecified
Chest,TRUE,Locally sparse,other,1,3,3,3,3,3,3,Other/unspecified activity,6,Other/unspecified
Chest,TRUE,Locally sparse,other,2,2,2,2,2,2,2,Other/unspecified activity,6,Other/unspecified
Chest,TRUE,Locally sparse,other,3,1,1,1,1,1,1,Other/unspecified activity,6,Other/unspecified
Chest,TRUE,Locally sparse,other,4,1,1,1,1,1,1,Other/unspecified activity,6,Other/unspecified
