placement,activity,clock_hour,unique_participant_hours,long_rows,effective_weighted_hours,participants,participant_days,sites,locally_sparse,activity_code,display_order
Chest,Working in the office/from home,12,408,408,389.83333333333337,132,408,8,FALSE,working_indoor,4
Chest,Working in the office/from home,13,429,429,413.6666666666667,142,429,8,FALSE,working_indoor,4
Chest,Working in the office/from home,14,427,427,413.5,140,427,8,FALSE,working_indoor,4
Chest,Working in the office/from home,15,404,404,388.83333333333337,139,404,8,FALSE,working_indoor,4
Chest,Working in the office/from home,16,340,340,328.83333333333337,129,340,8,FALSE,working_indoor,4
Chest,Working in the office/from home,17,255,255,242.33333333333334,105,255,8,FALSE,working_indoor,4
Chest,Working in the office/from home,18,156,156,150.5,78,156,8,FALSE,working_indoor,4
Chest,Working in the office/from home,19,134,134,130,69,134,8,FALSE,working_indoor,4
Chest,Working in the office/from home,20,121,121,116.33333333333333,58,121,8,FALSE,working_indoor,4
Chest,Working in the office/from home,21,102,102,99.5,51,102,8,FALSE,working_indoor,4
Chest,Working in the office/from home,22,71,71,66.5,39,71,8,FALSE,working_indoor,4
Chest,Working in the office/from home,23,33,33,31.5,19,33,7,FALSE,working_indoor,4
Chest,Outdoors,0,6,6,5.5,4,6,3,TRUE,outdoors,5
Chest,Outdoors,1,5,5,4.5,2,5,2,TRUE,outdoors,5
Chest,Outdoors,2,2,2,1,1,2,1,TRUE,outdoors,5
Chest,Outdoors,4,1,1,1,1,1,1,TRUE,outdoors,5
Chest,Outdoors,5,4,4,2,2,4,2,TRUE,outdoors,5
Chest,Outdoors,6,15,15,11.166666666666666,8,15,3,TRUE,outdoors,5
Chest,Outdoors,7,26,26,20.166666666666664,20,26,5,FALSE,outdoors,5
Chest,Outdoors,8,80,80,64.33333333333334,44,80,7,FALSE,outdoors,5
Chest,Outdoors,9,100,100,81.33333333333334,61,100,8,FALSE,outdoors,5
Chest,Outdoors,10,93,93,77.5,64,93,8,FALSE,outdoors,5
Chest,Outdoors,11,115,115,101.66666666666667,71,115,7,FALSE,outdoors,5
Chest,Outdoors,12,148,148,125.33333333333334,86,148,8,FALSE,outdoors,5
Chest,Outdoors,13,143,143,125.66666666666666,88,143,8,FALSE,outdoors,5
Chest,Outdoors,14,137,137,122,79,137,8,FALSE,outdoors,5
Chest,Outdoors,15,128,128,112.33333333333333,76,128,8,FALSE,outdoors,5
Chest,Outdoors,16,133,133,117.66666666666667,79,133,8,FALSE,outdoors,5
Chest,Outdoors,17,141,141,124,76,141,8,FALSE,outdoors,5
Chest,Outdoors,18,128,128,113,78,128,8,FALSE,outdoors,5
Chest,Outdoors,19,103,103,94.5,63,103,8,FALSE,outdoors,5
Chest,Outdoors,20,73,73,64.83333333333334,47,73,8,FALSE,outdoors,5
Chest,Outdoors,21,44,44,38.5,31,44,7,FALSE,outdoors,5
Chest,Outdoors,22,20,20,17.5,18,20,7,FALSE,outdoors,5
Chest,Outdoors,23,11,11,10,10,11,5,TRUE,outdoors,5
Chest,Other/unspecified activity,0,5,5,5,5,5,4,TRUE,other,6
Chest,Other/unspecified activity,1,3,3,3,3,3,3,TRUE,other,6
Chest,Other/unspecified activity,2,2,2,2,2,2,2,TRUE,other,6
Chest,Other/unspecified activity,3,1,1,1,1,1,1,TRUE,other,6
Chest,Other/unspecified activity,4,1,1,1,1,1,1,TRUE,other,6
Chest,Other/unspecified activity,5,2,2,2,2,2,1,TRUE,other,6
Chest,Other/unspecified activity,6,9,9,9,5,9,1,TRUE,other,6
Chest,Other/unspecified activity,7,13,13,13,6,13,1,TRUE,other,6
Chest,Other/unspecified activity,8,21,21,21,10,21,3,FALSE,other,6
Chest,Other/unspecified activity,9,20,20,20,16,20,8,FALSE,other,6
Chest,Other/unspecified activity,10,36,36,36,26,36,8,FALSE,other,6
Chest,Other/unspecified activity,11,28,28,28,23,28,8,FALSE,other,6
Chest,Other/unspecified activity,12,41,41,41,32,41,7,FALSE,other,6
Chest,Other/unspecified activity,13,36,36,36,29,36,7,FALSE,other,6
Chest,Other/unspecified activity,14,45,45,45,37,45,8,FALSE,other,6
Chest,Other/unspecified activity,15,43,43,43,32,43,8,FALSE,other,6
Chest,Other/unspecified activity,16,39,39,39,32,39,8,FALSE,other,6
Chest,Other/unspecified activity,17,44,44,44,34,44,8,FALSE,other,6
Chest,Other/unspecified activity,18,48,48,48,35,48,8,FALSE,other,6
Chest,Other/unspecified activity,19,51,51,51,38,51,8,FALSE,other,6
Chest,Other/unspecified activity,20,57,57,57,34,57,7,FALSE,other,6
Chest,Other/unspecified activity,21,47,47,47,28,47,7,FALSE,other,6
Chest,Other/unspecified activity,22,25,25,25,17,25,5,FALSE,other,6
Chest,Other/unspecified activity,23,14,14,14,9,14,4,TRUE,other,6
