"path","role","sha256","bytes","current_sha256","current_bytes","status"
"tests/hypotheses/H01/test_h01_preparation_report.R","preparation_test","379414830e5bcd656ac460c2ad93616ecbcab104259c56a8fcf9296da8c0f2c4",10993,"379414830e5bcd656ac460c2ad93616ecbcab104259c56a8fcf9296da8c0f2c4",10993,"PASS"
"tests/hypotheses/H01/test_h01_reporting_inputs.R","reporting_test","48f374cc70b69a6d96a95dc425ffd9676b2e83133a5554ae1c19eda939c0c8af",23014,"48f374cc70b69a6d96a95dc425ffd9676b2e83133a5554ae1c19eda939c0c8af",23014,"PASS"
"tests/hypotheses/H01/test_h01_report016_deviation_reconciliation.R","report016_test","140cc2d0305026885f8703e2aa349d324d1cef9a8d7d92c9b72314d845d0f8ab",15682,"140cc2d0305026885f8703e2aa349d324d1cef9a8d7d92c9b72314d845d0f8ab",15682,"PASS"
"audit/handoffs/H01_worker_handoff.md","H01_handoff","0de574566315d44934d3c6dd5fd91be9045e2f6b43887c9e3ad98d97caf1f19b",97406,"0de574566315d44934d3c6dd5fd91be9045e2f6b43887c9e3ad98d97caf1f19b",97406,"PASS"
"scripts/report_harmonization/post_render_gt_html_semantics.R","semantic_wrapper","28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205",21453,"28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205",21453,"PASS"
"scripts/report_harmonization/repair_gt_html_semantics.R","semantic_engine","7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1",17747,"7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1",17747,"PASS"
"tests/report_harmonization/test_reader_links.R","reader_link_test","3b4164069b36493a643886d87065cffd1b5ca644854d4e3be12db0ac9e8aee21",10233,"3b4164069b36493a643886d87065cffd1b5ca644854d4e3be12db0ac9e8aee21",10233,"PASS"
"tests/report_harmonization/test_navigation_contract.R","navigation_test","1ba59346328e8e4fb2aa898c5806313763711867514097969f5e4df1c22d3407",922,"1ba59346328e8e4fb2aa898c5806313763711867514097969f5e4df1c22d3407",922,"PASS"
"tests/report_harmonization/test_country_coded_site_names.R","country_code_test","aab0faa578f2e4a0de093247dec65b395837789a5c6211ee46669b82f6402c2b",3490,"aab0faa578f2e4a0de093247dec65b395837789a5c6211ee46669b82f6402c2b",3490,"PASS"
"tests/report_harmonization/test_preregistration_deviations.R","deviation_page_test","65fbff3ff6075b751f909af6fdf8c9844ba8248f0efc9c33bb26ca009fed8be5",9457,"65fbff3ff6075b751f909af6fdf8c9844ba8248f0efc9c33bb26ca009fed8be5",9457,"PASS"
"notebooks/preregistration_deviations.qmd","deviation_page","b542018a0e127b280fc5a106928d8689307c420f2e62913f4047d5c4c292bc6d",94061,"b542018a0e127b280fc5a106928d8689307c420f2e62913f4047d5c4c292bc6d",94061,"PASS"
"artifacts/11_source_data/H01/preparation/H01_preparation_fitted_sample_support.csv","protected_download_source","760e634fd6139b8c6561d185c95fb5c06ef5b41637c7b20f8c61b0e627ff37c7",4818,"760e634fd6139b8c6561d185c95fb5c06ef5b41637c7b20f8c61b0e627ff37c7",4818,"PASS"
"artifacts/11_source_data/H01/preparation/H01_preparation_model_frame_retention.csv","protected_download_source","28cc582f2778c849025f2ea77fee2036ce693378630d6f7e172adc0db6bb6d5b",2860,"28cc582f2778c849025f2ea77fee2036ce693378630d6f7e172adc0db6bb6d5b",2860,"PASS"
