"requirement_id","area","requirement_stage","requirement_level","requirement","official_url","accessed_on","evidence_to_prove","current_project_status","stale_or_inconsistent_page_notes"
"NH-011","Cover letter","initial","mandatory","Cover letter explains the work's importance and fit for the diverse Nature Health readership, discloses related manuscripts, and states any prior discussion with a Nature Health editor.","https://www.nature.com/naturehealth/submission-guidelines/preparing-your-submission","2026-07-29","Final author-approved cover letter with significance, fit, related-work, and prior-contact statements.","OPEN","Reviewer suggestions or exclusions are optional, and the cover letter is not sent to reviewers."
"NH-012","Related manuscripts","initial","mandatory","Related material under consideration or in press must be disclosed, uploaded as a clearly marked copy, and highlighted in the cover letter; later related submissions must also be reported.","https://www.nature.com/naturehealth/editorial-policies/plagiarism","2026-07-29","Related placement-manuscript copy, status/date record, overlap/distinction statement, and cover-letter disclosure.","OPEN: the placement manuscript is known but not staged.","The journal-level Editorial Policies page also says a copy and progress details must be sent if related work is submitted elsewhere during consideration."
"NH-013","Preprints and unpublished citations","initial","mandatory","Preprints are allowed and should be disclosed with DOI and licence; a paper under review without a public preprint should not appear as a numbered reference.","https://www.nature.com/naturehealth/editorial-policies/preprints-conference-proceedings","2026-07-29","Final live status/DOI check, bibliography scan, and cover-letter disclosure.","OPEN: companion-paper public-preprint status requires final preflight.","The no-numbered-reference rule for under-review work without a preprint appears on the AIP references page."
"NH-014","Final manuscript source","AIP","mandatory","Final manuscript source must be Word or TeX/LaTeX; PDF is not accepted as the final manuscript source.","https://www.nature.com/naturehealth/submission-guidelines/aip-and-formatting","2026-07-29","Authoritative DOCX that opens cleanly and agrees with the review PDF.","OPEN","Initial submission does accept PDF, so the two stages must not be conflated."
"NH-015","Tables","AIP","mandatory","Tables are placed at the end of the text document; complex tables may be separate Excel files; statistical table legends describe standards of error analysis and ranges.","https://www.nature.com/naturehealth/submission-guidelines/aip-and-formatting","2026-07-29","Final DOCX table-location inspection and table/legend inventory.","NOT_VERIFIED","No separate main-table count exists beyond the six combined display-item limit."
"NH-016","Figure technical specifications","AIP","mandatory","Figures are cited sequentially, maximum 180 mm wide, bitmap panels are at least 300 dpi, text is editable 5-7 pt sans serif, original-research artwork is RGB, and line art is supplied as editable vector AI, EPS, or PDF.","https://www.nature.com/documents/NRJs-guide-to-preparing-final-artwork.pdf","2026-07-29","Per-figure format, colour-mode, dimension, resolution, font-size, editability, and rendered-page inspection.","NOT_VERIFIED","The journal AIP page gives the same 180 mm, 300 dpi, and 5-7 pt core specifications; PNG/JPG/TIFF are not authoritative vector formats for charts."
"NH-017","Figure legends","AIP","mandatory","Each legend has a brief title, describes panels in order, identifies centre and error values and calculation, sample size, statistical test, and P values, and avoids unnecessary methodological detail.","https://www.nature.com/naturehealth/submission-guidelines/aip-and-formatting","2026-07-29","Legend-to-output audit using exact analytical n and repeated-measure unit.","NOT_VERIFIED","No separate legend word limit is stated; figure legends are excluded from the 4000-word main-text limit."
"NH-018","Extended Data","initial","mandatory_if_used","No more than ten Extended Data display items are permitted; each is cited and fits on a single PDF page.","https://www.nature.com/naturehealth/submission-guidelines/preparing-your-submission","2026-07-29","Combined Extended Data figure/table manifest, sequential citation check, and final-page inspection.","NOT_VERIFIED","The preparation page says ten display items, while the AIP page says ten Extended Data figures; use a conservative combined limit of ten figures and tables."
"NH-019","Supplementary Information","initial","mandatory_if_used","Supplementary text, figures, simple tables, and legends are submitted in a single combined PDF; items use separate sequential numbering, are cited in sequence, and each Supplementary Figure plus legend fits one page.","https://www.nature.com/naturehealth/submission-guidelines/aip-and-formatting","2026-07-29","Final combined SI PDF, item/citation-order validation, and visual page inspection.","OPEN","Large tables or data may instead be Excel or CSV; Supplementary Information is published as supplied."
"NH-020","Statistical source data","AIP","recommended_strong","Statistical source data should be supplied in Excel, one file per relevant figure, with the linked figure identified.","https://www.nature.com/naturehealth/submission-guidelines/aip-and-formatting","2026-07-29","One journal-facing XLSX per main and Extended Data figure, reconciled to exact tracked CSV producers.","OPEN","The page first says source data are encouraged and then says statistics source data should be Excel; it is not framed as an explicit initial-submission must."
"NH-021","Nature Portfolio Reporting Summary","review","mandatory","Research in life, clinical, behavioural/social, and environmental sciences selected for review must provide a completed Nature Portfolio Reporting Summary, which is published with accepted papers.","https://www.nature.com/naturehealth/editorial-policies/reporting-standards","2026-07-29","Completed interactive PDF reconciled to exact sample sizes, repeat-measure structure, tests, covariates, multiplicity, uncertainty, ethics, and sex/gender reporting.","OPEN","Use the interactive PDF in Adobe Reader; the flat PDF is a reference copy only and contains a stale reference to the removed Editorial Policy Checklist."
"NH-022","Editorial Policy Checklist","review","removed","The canonical checklist endpoint states that the form is no longer required for Nature Portfolio submissions and has been removed.","https://www.nature.com/documents/nr-editorial-policy-checklist.pdf","2026-07-29","Final preflight confirms the removal notice remains current, or a contemporaneous editor/submission-system instruction is recorded.","REMOVED: do not stage the obsolete April 2023 checklist by default.","The Nature Health double-blind page and older Reporting Summary still mention this form; those references are stale."
"NH-023","STROBE","initial","mandatory_reporting_standard","Observational cohort, case-control, and cross-sectional studies must be reported according to STROBE; Nature Health does not explicitly require the completed checklist to be uploaded.","https://www.nature.com/naturehealth/editorial-policies/clinical-research","2026-07-29","Completed STROBE checklist with manuscript page/section map and a portal decision on whether to upload it.","OPEN","No Nature-hosted STROBE template was located; Nature Health links to the external STROBE statement."
"NH-024","Data Availability","initial","mandatory","All original research manuscripts include a Data Availability statement describing access to the minimum dataset, identifiers, and restrictions; supporting data must be available to editors and reviewers on request.","https://www.nature.com/naturehealth/editorial-policies/reporting-standards","2026-07-29","Verified statement, durable identifiers, controlled-access details where needed, and reconciliation to deposited files.","PARTIAL: index.qmd contains a data-availability section, but final access and deposit reconciliation is pending.","For controlled access, the policy requests precise reasons, contacts, response timeframe, restrictions, and data-use terms."
"NH-025","Code Availability","initial","mandatory","For central custom code, a separate Code availability section states access and restrictions and appears after Data Availability and before references; code must be available to editors and reviewers on request.","https://www.nature.com/naturehealth/editorial-policies/reporting-standards","2026-07-29","Versioned repository or release, access and licence details, and exact end-matter section placement.","FAIL: no distinct Code Availability section was located in index.qmd.","A DOI-minting repository release is described as best practice rather than an absolute initial-submission requirement."
"NH-026","Code and Software Submission Checklist","review","conditional","A code/software checklist and review materials are required when newly developed code or software is central to the paper's main claims.","https://www.nature.com/documents/GuidelinesCodePublication.pdf","2026-07-29","Editorial classification and, if triggered, versioned code, README, install guide, dependencies, demo/test data, runtime, repository/DOI, and licence.","OPEN/CONDITIONAL","Central analysis scripts require Code Availability, but may not trigger this checklist unless new software/code is itself a central contribution."
"NH-027","Preregistration","initial","mandatory_disclosure_where_applicable","Details of study and analysis-plan preregistration should be provided with submission.","https://www.nature.com/naturehealth/editorial-policies/reporting-standards","2026-07-29","Preregistration identifier/link, complete deviation register, and agreement across Methods, Supplementary Information, and Reporting Summary.","PARTIAL: index.qmd has a preregistration/deviation section; full contract and deviation audit are in progress.","Nature Health does not impose the former Nature Human Behaviour preregistration policy, but the general reporting policy asks for details."
"NH-028","Human-participant ethics","initial","mandatory","Human-participant research states Declaration of Helsinki compliance, ethics committee name and reference number, and that informed consent was obtained.","https://www.nature.com/naturehealth/editorial-policies/ethics-and-biosecurity","2026-07-29","Author-verified ethics matrix and exact manuscript statements for every site.","PARTIAL: TUM approval 2023-115-S-KK and written consent are stated, but all local committee names and reference numbers require verification.","The Aims & Scope separately introduces a meaningful-engagement requirement tied to the 2024 Helsinki revision."
"NH-029","Sex and gender reporting","initial","mandatory_where_relevant","Sex and gender are distinguished and their determination and categorization described; relevant disaggregated data and prespecified analyses are reported, and omitted analyses are justified in the Reporting Summary.","https://www.nature.com/naturehealth/editorial-policies/ethics-and-biosecurity","2026-07-29","Construct and coding audit, disaggregated sample counts, hypothesis trace, and Reporting Summary justification.","NOT_VERIFIED","The policy combines recommendations and requirements; the listed reporting points apply where relevant to human-participant studies."
"NH-030","Authorship, contributions, and ORCID","initial","mandatory","All authors approve the manuscript, author list, and order and accept accountability; every author's contribution is specified; corresponding-author ORCID is required before final acceptance.","https://www.nature.com/naturehealth/editorial-policies/authorship","2026-07-29","Recorded author approval, final contribution statement, and corresponding-author ORCID verification.","PARTIAL: contribution and ORCID metadata exist; final author approval is pending.","Writing assistance must be acknowledged; LLMs cannot be authors."
"NH-031","Competing interests","initial","mandatory","Financial and non-financial competing interests are declared in the system and in article end matter, including a negative declaration when none exist.","https://www.nature.com/naturehealth/editorial-policies/competing-interests","2026-07-29","Corresponding-author declaration covering all authors and matching manuscript/submission-system text.","PARTIAL: a manuscript statement exists; final author verification is pending.","The removed Editorial Policy Checklist is not needed to satisfy this disclosure."
"NH-032","Funding and sponsor role","initial","mandatory","Relevant funding is declared in a separate statement; Nature Health's clinical guidance requires the funder or sponsor role at every study stage to be explicitly stated, including a no-role statement where appropriate.","https://www.nature.com/naturehealth/editorial-policies/clinical-research","2026-07-29","Author-verified grants-by-author statement and explicit role or no-role text covering design, collection, analysis, interpretation, writing, and submission decision.","PARTIAL: a funding section exists; sponsor-role verification is pending.","The general funding page describes grant attribution as best practice; the Nature Health clinical page uses mandatory wording for sponsor role."
"NH-033","LLM and AI disclosure","initial","mandatory","LLMs cannot be authors; substantive LLM use is documented in Methods; copyediting-only use need not be; human authors remain accountable.","https://www.nature.com/naturehealth/editorial-policies/ai","2026-07-29","Accurate Methods disclosure naming substantive assistance categories, safeguards, human verification, and accountability.","FAIL: the current AI statement describes language editing only and says AI was not used to analyse or interpret primary data; that will not accurately describe the substantive audit workflow if retained through completion.","The policy distinguishes AI-assisted copyediting from generative editorial work and autonomous content creation."
"NH-034","Generative-AI images","initial","mandatory","Generative-AI publication images are generally not permitted; non-generative machine-learning manipulation of existing images must be disclosed in the relevant caption.","https://www.nature.com/naturehealth/editorial-policies/ai","2026-07-29","Final asset-provenance scan and author confirmation.","PASS/PENDING_FINAL_SCAN: no generative-AI artwork is planned.","Limited exceptions exist for works specifically about AI or verifiable scientific-data tools, but none are relevant here."
