"canonical_record_id","citation_key","primary_status","verified_title","verified_authors","verified_year","verified_source","verified_identifier","verification_source","access_level","screening_level","related_records","study_purpose","publication_type","population","sample_size","setting","observation_window","study_design","comparison","reference_method","measured_quantity","device","calibration","dosimeter_placement","sampling_interval","aggregation","timestamp_alignment","sleep_handling","nonwear_handling","gap_handling","completeness_rule","metrics","model","repeated_measures_structure","effect_or_bias","precision_or_uncertainty","limitations","data_availability","code_availability","construct_score","measurement_score","population_score","design_score","temporal_score","analysis_score","proximity_total","priority_tier","evidence_role","reviewer_interpretation"
"NH-CAN-011","read2018","verified_contextual","Patterns of Daily Outdoor Light Exposure in Australian and Singaporean Children","Scott A. Read; Stephen J. Vincent; Chuen-Seng Tan; Cheryl Ngo; Michael J. Collins; Seang-Mei Saw","2018","Translational Vision Science & Technology","10.1167/tvst.7.3.8","Crossref; Europe PMC PMID 29862140 and PMCID PMC5976264","full_text","full_text","none known","Compare outdoor light-exposure patterns among children in Australia and Singapore.","journal article","Children in Australia and Singapore","69 in Singapore and 43 in Australia","Two countries","Multiple free-living days; exact windows differed by cohort","Cross-cohort observational comparison","Country cohorts measured with different wearable sensors","No common ocular reference method","Personal photopic light exposure and outdoor time","HOBO in one cohort and Actiwatch in the other","Device-specific procedures differed by cohort","Wearable placement differed from the target and by cohort","not re-extracted","Daily outdoor-light summaries","Local time profiles were compared; exact alignment not re-extracted","Sleep handling requires focused extraction","Non-wear handling requires focused extraction","Gap handling requires focused extraction","Cohort-specific rules require focused extraction","Outdoor time and light-intensity exposure","Group and temporal comparisons","Repeated days within child, compared across cohorts","Country differences are confounded with device and protocol differences","Exact comparative estimates are not used here","Children, photopic quantity, and non-harmonized devices across countries.","Article available through PMC.","Code not reported in inspected source.","1","1","1","1","2","1","7","B","Closest verified multi-country comparator found before recent alpha-opic studies.","It shows international personal-light comparison is not itself new, while highlighting why a single harmonized near-eye protocol is distinctive."
"NH-CAN-012","wallace2025","verified_contextual","Characteristics of objectively-measured naturalistic light exposure patterns in U.S. adults: A cross-sectional analysis of two cohorts","Danielle A. Wallace; Kelly R. Evenson; Carmen R. Isasi; Sanjay R. Patel; Daniela Sotres-Alvarez; Phyllis C. Zee; Susan Redline; Frank A.J.L. Scheer; Tamar Sofer","2025","Science of The Total Environment","10.1016/j.scitotenv.2025.178839","Crossref; Europe PMC PMID 39999702 and PMCID PMC11939000","full_text","full_text","none known","Describe naturalistic light-exposure patterns in large, diverse adult cohorts across the United States.","journal article","Adults in two U.S. cohorts","4,067","Eight U.S. regions represented across two cohorts","Approximately one week per cohort; exact valid-wear rules require focused extraction","Cross-sectional pooled and cohort-specific observational analysis","Light patterns across cohorts, regions, and participant characteristics","No ocular reference instrument","Wrist-level photopic light exposure","Wrist-worn Actiwatch devices","Device procedures described in article; exact calibration not re-extracted","Wrist","Device-defined interval; exact interval not re-extracted","Daily and temporal light-exposure patterns","Local clock profiles used; exact alignment requires focused extraction","Sleep and wake inferred or diary-linked according to cohort procedures","Cohort-specific non-wear rules","Cohort-specific gap rules","Cohort-specific valid-day rules","Light level, timing, day-night patterns, and participant correlates","Cross-sectional regression and descriptive analyses","Repeated records within participant and cohort","Large sample provides scope context but does not measure ocular exposure","Exact estimates not used here","One country, wrist placement, and heterogeneous cohort procedures relative to target.","Article available through PMC.","Code availability not extracted.","1","0","2","1","2","2","8","B","Large multisite contextual comparator.","The target is neither the largest personal-light study nor the largest adult cohort, but it is more physiologically proximal and internationally harmonized."
"NH-CAN-013","biller2026","verified_contextual","Physiologically-relevant light exposure and light behaviour in Switzerland and Malaysia","Anna M. Biller; Johannes Zauner; Christian Cajochen; Marisa A. Gerle; Vineetha Kalavally; Anas Mohamed; Lukas Rottländer; Ming-Yi Seah; Oliver Stefani; Manuel Spitschan","2026","Journal of Exposure Science & Environmental Epidemiology","10.1038/s41370-025-00825-8","Crossref; Europe PMC PMID 41339708 and PMCID PMC12960204","full_text","full_text","Europe PMC preprint record PPR963786","Compare physiologically relevant personal light exposure and behaviours in Switzerland and Malaysia.","journal article","Healthy adults in Switzerland and Malaysia","39","Two countries","30 days","Two-country repeated-measures observational study","Light exposure and behaviour between countries and contexts","No direct ocular reference instrument","Melanopic equivalent daylight illuminance and light behaviour","Common wearable light logger","Device methods described in article; exact calibration not re-extracted","Chest","Device-defined interval; exact interval not re-extracted","Daily, temporal, and behavioural exposure summaries","Local time used; exact alignment not re-extracted","Sleep treatment described in article; exact rule not re-extracted","Non-wear handling described in article; exact rule not re-extracted","Gap handling described in article; exact rule not re-extracted","Study-specific valid-data rule requires focused extraction","Melanopic exposure, time-of-day patterns, and behavioural context","Repeated-measures descriptive and associational analyses","Repeated days within participant and country","Country differences cannot be separated fully from season and context","Exact estimates not used for priority adjudication","Small sample and chest placement, despite long observation and common device.","Data availability described in article; repository not extracted.","Code availability not extracted.","2","1","2","1","2","2","10","A","Close international alpha-opic comparator at a different placement.","Prevents broad claims that the target is the first international physiologically weighted field study, while leaving the harmonized near-eye nine-site combination distinctive."
"NH-CAN-014","windred2024","verified_contextual","Brighter nights and darker days predict higher mortality risk: A prospective analysis of personal light exposure in >88,000 individuals","Daniel P. Windred; Angus C. Burns; Jacqueline M. Lane; Patrick Olivier; Martin K. Rutter; Richa Saxena; Andrew J. K. Phillips; Sean W. Cain","2024","Proceedings of the National Academy of Sciences","10.1073/pnas.2405924121","Crossref; Europe PMC PMID 39405349 and PMCID PMC11513964","full_text","full_text","none known","Relate personal day and night light exposure to subsequent mortality in UK Biobank.","journal article","UK Biobank adults","More than 88,000","United Kingdom","One-week wrist light measurement with prospective mortality follow-up","Prospective cohort analysis","Personal light-exposure patterns in relation to mortality outcomes","No ocular reference instrument","Wrist-measured light exposure","Wrist-worn light sensor integrated with accelerometry","Device procedures described in article","Wrist","Device-defined interval; exact interval not re-extracted","Day and night exposure summaries and modeled light profiles","Clock-time processing described in article; exact rules not re-extracted","Sleep windows derived from wearable data; exact method requires focused extraction","Valid-wear procedures described in article","Gap procedures described in article","Study-specific valid-data rules","Day and night light exposure and mortality associations","Prospective survival models","Repeated wearable records summarized per participant with cohort follow-up","Associations with mortality do not validate health effects of the target study's exposure patterns","Effect estimates and intervals are outside the current positioning question","Single-country wrist measurement and observational health associations.","Article and data-access procedures available through PMC and UK Biobank governance.","Code availability described in article but not extracted.","1","0","2","1","2","2","8","B","Large health-outcome comparator that sets the boundary for health claims.","The target contributes detailed ocular-exposure architecture and benchmark context, not direct health-outcome evidence."
"NH-CAN-015","vanduijnhoven2025","verified_methods","Measuring light exposure in daily life: A review of wearable light loggers","J. van Duijnhoven; S.L. Hartmeyer; A. Didikoglu; O. Stefani; K.W. Houser; V. Kalavally; M. Spitschan","2025","Building and Environment","10.1016/j.buildenv.2025.112771","Crossref; Elsevier publisher record; author-accessible full text","full_text","full_text","none known","Review wearable light-logger technologies used for daily-life measurement.","review article","Devices and studies rather than a participant cohort","53 wearable light-logger devices identified","Daily-life measurement contexts","Not applicable","Technology and methods review","Device capabilities, placements, quantities, and use cases","Bench and field validation evidence summarized across sources","Wearable light quantities including photopic and alpha-opic measures","Multiple wearable light loggers","Calibration and validation information varies across devices","Multiple body placements including corneal, chest, and wrist","Varies by device","Varies by device and study","Varies; heterogeneity is part of the review finding","Varies by study","Varies by study","Varies by study","Varies by study","Device outputs and reporting capabilities","Narrative and structured review synthesis","Not applicable","Documents major methodological heterogeneity; does not enumerate every eligible empirical cohort systematically","not applicable","Device inventory is not a complete priority census and device reporting quality varies.","Availability depends on cited source.","Review code not reported in inspected source.","2","2","1","2","1","1","9","B","Current methods overview and candidate generator.","Supports the claim that comparable field measurement is methodologically heterogeneous, but cannot by itself prove that no prior matching cohort exists."
"NH-CAN-016","hartmeyer2023methods","verified_methods","Towards a framework for light-dosimetry studies: Methodological considerations","SL Hartmeyer; FS Webler; M Andersen","2023","Lighting Research & Technology","10.1177/14771535221103258","Crossref; SAGE publisher record","abstract","abstract","conference precursor 10.25039/x48.2021.OP16","Review methodological choices in personal light-dosimetry studies and propose a comparability framework.","review article","Published light-dosimetry studies","Number reviewed not available at abstract level","Real-life personal light-dosimetry literature","Not applicable","Methodological review","Measurement, preparation, and reporting procedures across studies","No single reference method","Personal light exposure","Multiple dosimeters","Calibration approaches reviewed; details require full text","Multiple placements","Varies","Varies","Temporal processing heterogeneity is a central topic","Sleep handling varies across studies","Non-wear handling varies across studies","Gap handling varies across studies","Completeness rules vary across studies","Measurement and preprocessing methods","Narrative review and framework development","Not applicable","Reports substantial methodological variability and need for consensus","not applicable","Abstract-level inspection cannot establish every reviewed study or implementation detail.","not reported in inspected source","not reported in inspected source","2","2","1","2","2","2","11","A","Methods rationale for the value of harmonization.","Directly supports framing a shared protocol as a substantive advance in comparability, not as proof of priority."
"NH-CAN-017","hartmeyer2024metrics","verified_methods","Towards a framework for light-dosimetry studies: Quantification metrics","SL Hartmeyer; M Andersen","2024","Lighting Research & Technology","10.1177/14771535231170500","Crossref; SAGE publisher record","abstract","abstract","none known","Review how personal light exposure is quantified and propose transparent metric considerations.","review article","Published light-dosimetry studies","Number reviewed not available at abstract level","Real-life light-dosimetry literature","Not applicable","Methodological review","Quantification metrics and reporting choices across studies","No single reference method","Personal light exposure metrics","Multiple devices","Not the principal focus at abstract level","Multiple placements","Varies","Metric definitions and summary windows reviewed","Temporal quantification is a central topic","Varies by source study","Varies by source study","Varies by source study","Varies by source study","Duration, timing, level, and other light-dosimetry metrics","Narrative and framework synthesis","Not applicable","Documents that metric choice changes comparability and interpretation","not applicable","Abstract-level inspection and heterogeneity of source studies.","not reported in inspected source","not reported in inspected source","2","1","1","2","2","2","10","A","Methods rationale for explicit metric definitions and rationales.","Supports reusing the Descriptives metric guide and making metric purpose and units visible."
"NH-CAN-018","spitschan2022v3","verified_methods","Verification, analytical validation and clinical validation (V3) of wearable dosimeters and light loggers","Manuel Spitschan; Karin Smolders; Benjamin Vandendriessche; Brinnae Bent; Jessie P Bakker; Isaac R Rodriguez-Chavez; Céline Vetter","2022","DIGITAL HEALTH","10.1177/20552076221144858","Crossref; Europe PMC PMID 36601285 and PMCID PMC9806438","full_text","full_text","none known","Provide a staged framework for judging whether wearable light devices are fit for technical, analytical, and clinical purposes.","framework article","Wearable light and dosimetry applications","Not applicable","Laboratory, field, and digital-health contexts","Not applicable","Methods and reporting framework","Verification, analytical validation, clinical validation, usability, and equity","Reference depends on validation stage","Wearable light and optical-radiation quantities","Multiple wearable devices","Calibration and reference procedures are separated by validation stage","Multiple placements, explicitly including glasses and wrist","Varies","Varies by validation purpose","Time synchronization is part of analytical validity","Depends on intended use","Usability and wear affect fitness for purpose","Gap handling depends on use and validation target","Completeness depends on intended use","Device performance and purpose-specific outcomes","Framework rather than one fitted model","Not applicable","Emphasizes tradeoffs between physiological proximity, usability, and field validity","not applicable","Framework does not supply an empirical priority census.","Article available through PMC.","No dedicated analysis code reported.","2","2","1","2","1","2","10","A","Methods authority for separating physiological proximity from usability and clinical inference.","Supports precise claims about near-eye value and burden while preventing the manuscript from equating measurement proximity with health validation."
"NH-CAN-019","stampfli2023lido","verified_methods","The Light-Dosimeter: A new device to help advance research on the non-visual responses to light","Janine R. Stampfli; Björn Schrader; Claudio di Battista; Reto Häfliger; Oliver Schälli; Georg Wichmann; Christoph Zumbühl; Peter Blattner; Christian Cajochen; Ruth Lazar; Manuel Spitschan","2023","Lighting Research & Technology","10.1177/14771535221147140","Crossref; Europe PMC PMID 37469656 and PMCID PMC10353031","full_text","full_text","none known","Develop and characterize an alpha-opic light dosimeter for near-corneal and real-world use.","device methods article","Researchers and participants using the device in development trials","Sample size not reported in inspected passages","Laboratory and real-world device testing","Trial periods described; exact duration varies","Device development and metrological characterization","Device outputs against commercial research-grade optical measurements and usability in trials","Commercial research-grade optical device used in characterization","Alpha-opic irradiance and equivalent daylight illuminance","lido light dosimeter and Lido Studio","Spectral and angular characterization plus comparison with research-grade instrumentation","Near-corneal mountings and other custom placements","10 seconds","Raw spectral-channel-derived alpha-opic outputs","Device and software procedures described; exact drift handling requires focused extraction","Depends on field protocol","Event and handling procedures available in device workflow","Gap handling depends on downstream protocol","Completeness not fixed by device article","Alpha-opic irradiance and equivalent daylight illuminance","Metrological and descriptive device evaluation","Repeated device measurements","Reported technical performance supports device capability, not participant exposure validity in every context","Device-specific performance measures reported in article","Prototype and device-specific range, angular response, handling, and field-use constraints.","Article available through PMC.","Software availability described in article; exact licence not extracted.","2","2","1","2","1","1","9","B","Device-chain methods evidence for near-corneal alpha-opic sensing.","Supports technical plausibility and explains why near-eye collection requires active fitting and handling."
"NH-CAN-020","zauner2025wearability","verified_direct_empirical","Impact of light logger and dosimeter placement on wearability and appeal in real-life settings","Johannes Zauner; Anna M. Biller; Manuel Spitschan","2025","Open Research Europe","10.12688/openreseurope.20985.1","Crossref; Europe PMC PMID 41081246 and PMCID PMC12514442","full_text","full_text","preprint 10.1101/2025.06.13.25329548; registered peer-review reports linked by Crossref","Assess perceived wearability and appeal across eight light-logger forms and placements.","journal article","Online respondents from the United Kingdom, United States, and other countries","145","Online international survey","Single survey session","Within-respondent presentation and rating of eight hypothetical logger designs","Glasses, chest pin, wrist, necklace, sleeve collar, collar pin, neck loop, and hat pin","No measurement reference; outcome is perceived wearability","Wearability, appeal, expected wear duration, and activity restriction","Images or mock representations of eight designs","not applicable","Eight proposed placements including glasses and chest","not applicable","Rating-scale summaries by design","not applicable","not applicable","not applicable","not applicable","not applicable","Attractiveness, likelihood of wear across contexts, expected hours, and restriction","Within-respondent survey comparisons","Repeated ratings of eight designs within respondent","Perceived willingness is not actual longitudinal recruitment or wear behaviour","Rating distributions and comparative tests reported in article","Hypothetical designs, online sample, and intention-behaviour gap.","Article data availability stated; exact repository not extracted.","Analysis code availability not extracted.","1","2","1","2","0","1","7","B","Direct evidence that placement affects recruitment-relevant acceptability.","Supports the author's recruitment-feasibility explanation, but the site-specific Costa Rica experience remains an author-confirmed implementation fact rather than an inference from this survey."
"NH-CAN-021","zauner2026qaqc","verified_methods","Auxiliary data, quality assurance and quality control for wearable light loggers and optical radiation dosimeters","Johannes Zauner; Oliver Stefani; Gianfranco Bocanegra; Carolina Guidolin; Björn Schrader; Ljiljana Udovicic; Manuel Spitschan","2026","npj Biological Timing and Sleep","10.1038/s44323-025-00067-9","Crossref; Europe PMC PMID 41803322 and PMCID PMC12972172","full_text","full_text","Europe PMC preprint record PPR1082463","Develop QA and QC guidance for wearable light and optical-radiation measurement using auxiliary and contextual data.","methods and consensus article","Researchers and wearable-light applications","Survey sample not re-extracted because it is not used quantitatively here","Laboratory and free-living measurement","Not applicable","Expert survey and methods synthesis","Auxiliary data, wear, occlusion, compliance, technical faults, and context","Reference depends on QA or QC question","Wearable light and optical-radiation data quality","Multiple wearable loggers","Calibration is one component of a wider quality chain","Multiple placements including glasses and chest","Varies","Varies by device and study","Synchronization and time context are core QA concerns","Sleep context should be captured explicitly","Wear-time tracking and participant briefing are emphasized","Gaps and faults require transparent flagging","Completeness rules should be prespecified and reported","Wear, non-wear, occlusion, orientation, activity, sleep, and contextual flags","Methods synthesis and survey summaries","Not applicable","Occlusion, non-wear, device faults, and missing context can compromise fidelity","not applicable","Guidance and consensus do not by themselves validate a particular dataset.","Article available through PMC.","Code availability not extracted.","2","2","1","2","2","2","11","A","Methods evidence for the active labour and quality safeguards required by near-eye sensing.","Supports presenting the dataset as resource-intensive without implying that burden guarantees validity."
"NH-CAN-022","devries2026hybrid","verified_methods","Impact of wear position on dosimeter performance: a hybrid measurement-simulation approach to quantify in-situ factors","S. W. de Vries; J. Mardaljevic; J. van Duijnhoven","2026","npj Biological Timing and Sleep","10.1038/s44323-026-00079-z","Europe PMC PMID 42086926 and PMCID PMC13144307; publisher record","full_text","full_text","companion simulated-indoor study 10.1038/s44323-026-00073-5","Quantify how in-situ factors and wear position affect dosimeter performance using measurement and simulation.","methods article","Measurement scenarios and simulated wear positions; participant sample not central","not reported in inspected source","Hybrid field-relevant measurement and simulation setting","Scenario based","Hybrid measurement-simulation methods study","Outputs across positions and in-situ factors","Simulation and reference measurement chain described in article; not re-extracted","Wear-position-dependent light measurement","Dosimeters and simulation models; exact devices require focused extraction","Described in full text; not re-extracted","Multiple wear positions","not extracted","Position and scenario summaries","Alignment depends on hybrid design; details not re-extracted","not central","Occlusion and position factors are part of the design","not central","not central","Position-dependent performance quantities","Hybrid comparison models","Repeated scenarios and positions","Demonstrates position dependence under specified conditions, not a universal field correction","Exact performance estimates not used here","Hybrid scenarios cannot substitute for paired target-cohort evidence.","Article available through PMC.","Code availability not extracted.","2","2","1","2","1","1","9","B","Methods context for placement-dependent measurement.","Reinforces the decision to keep chest and near-eye evidence separate."
"NH-CAN-023","spitschan2026consensus","verified_contextual","Ocular light and optical radiation exposure as a modifiable environmental determinant of health: expert consensus on research gaps and priorities","Manuel Spitschan; Anna M. Biller; Kai Broszio; Elaine Fischer; Janice Hegewald; Sylvia Rabstein; Elmar Saathoff; Karin Smolders; Salma M. Thalji; Sarah Weigelt; Daniela Weiskopf; Johannes Zauner","2026","BMC Medicine","10.1186/s12916-025-04608-8","Crossref; Europe PMC PMID 41612386 and PMCID PMC12924618","full_text","full_text","Europe PMC preprint record PPR1074035","Define research gaps and priorities for real-world ocular light and optical-radiation exposure in relation to health.","expert consensus","Human ocular-exposure research and stakeholder community","Expert panel; no participant cohort","Research agenda spanning laboratory, field, and population health","Not applicable","Expert consensus and research-priority synthesis","Current measurement capabilities, gaps, and needed standards","No empirical reference method","Ocular light and optical-radiation exposure","Multiple existing and future devices","Calls for standardized, physiologically relevant measurement","Corneal plane and other placements discussed","Varies","Varies","Standardized metadata and time handling identified as needs","Sleep context identified as relevant","Wearability and everyday availability are identified constraints","Transparent handling needed","Comparable reporting needed","Ocular exposure quantities, health relevance, and research priorities","Consensus synthesis","Not applicable","Identifies lack of standardized real-world ocular measurement at scale","not applicable","Consensus and author overlap with the target team do not establish priority.","Article available through PMC.","Code not applicable.","2","2","2","1","1","1","9","B","Current external context for why an international ocular-exposure baseline matters.","Supports the significance of the gap, not the words first or largest."
"NH-CAN-024","brown2022recommendations","verified_contextual","Recommendations for daytime, evening, and nighttime indoor light exposure to best support physiology, sleep, and wakefulness in healthy adults","Timothy M. Brown; George C. Brainard; Christian Cajochen; Charles A. Czeisler; John P. Hanifin; Steven W. Lockley; Robert J. Lucas; Mirjam Münch; John B. O’Hagan; Stuart N. Peirson; Luke L. A. Price; Till Roenneberg; Luc J. M. Schlangen; Debra J. Skene; Manuel Spitschan; Céline Vetter; Phyllis C. Zee; Kenneth P. Wright","2022","PLOS Biology","10.1371/journal.pbio.3001571","Crossref; Europe PMC PMID 35298459 and PMCID PMC8929548; PLOS full text and 2023 typographical-errata note","full_text","full_text","preprint 10.20944/preprints202012.0037.v1; publisher annotation 10.1371/annotation/41b4d297-30ce-4c08-88ce-2cc3d2f875d7","Provide expert-consensus melanopic light recommendations for daytime, evening, and sleep environments based on physiological response evidence.","consensus view","Healthy adults aged 18 to 55 with regular daytime schedules are the principal intended population","No new participant cohort","Indoor daytime, residential evening, and sleep environment","Daytime, at least three hours before bed, and sleep environment","Expert consensus supported by synthesis of human laboratory response evidence","Recommended melanopic EDI ranges by time and state","Human circadian, neuroendocrine, and alerting response literature","Ocular melanopic equivalent daylight illuminance","No single wearable device; recommendations specify measurement at the eye","SI-compliant alpha-opic metrology underpins the quantity","At the eye in the vertical plane for daytime and evening; ambient sleep-environment measurement","Contextual recommendation windows rather than a sampling interval","Daytime minimum 250 lx; evening maximum 10 lx; sleep-environment maximum 1 lx","Clock and habitual-bedtime contexts are integral","Sleep environment should be as dark as possible and at or below the recommended ambient level","not applicable","not applicable","not applicable","Melanopic EDI recommendation thresholds","Consensus synthesis of response functions and expert judgment","Not applicable","Recommendations are health-relevant physiological targets, not proof that crossing a threshold causes a health outcome in an observational cohort","Thresholds are recommendations, not estimated risk functions for individuals","Direct benefits of implementation are difficult to quantify; population scope excludes several special groups and individual sensitivity varies.","Article and supporting material openly available through PLOS and PMC.","Underlying cited response data are in source studies; no analysis code used here.","2","2","2","1","2","2","11","A","Health-relevant benchmark for the target study's descriptive context comparison.","Enables a prominent connection to physiology and healthy-light guidance, but the manuscript must report fractions of valid measured minutes in range, not person-level adherence, compliance, health benefit, or biological response."
"NH-CAN-025","zauner2026placement","verified_direct_empirical","Sensor placement causes outcome-dependent bias in ambulatory light-exposure estimates","Johannes Zauner; Sietse W. de Vries; Altug Didikoglu; Juliëtte van Duijnhoven; Manuel Spitschan","2026","bioRxiv","10.64898/2026.07.28.741277","Official bioRxiv metadata API for versions 1 and 2; v2 full PDF posted 2026-08-11 and inspected on 2026-08-13","full_text","full_text","bioRxiv version 1 posted 2026-08-01 under the earlier title Toward scalable ambulatory light dosimetry: sensor-placement bias under naturalistic conditions; overlapping MeLiDos cohort with the target manuscript","Quantify how chest and wrist placement changes simultaneous eye-level light estimates across contexts and affects derived exposure outcomes.","preprint","Adults in the MeLiDos field study with concurrent glasses, chest, and wrist measurements across eight sites in seven countries","Analysis-specific paired samples, with up to 108 participants; participant-day counts vary by context and outcome","Free-living multisite field study in seven countries","Repeated concurrent monitoring across multiple days","Paired concurrent within-person placement comparison at measurement and daily-metric scales","Glasses-level reference versus chest and wrist, with variation by context, metric class, site, day, and participant","Glasses-mounted sensor near the corneal plane as the reference estimate of ocular exposure","Melanopic equivalent daylight illuminance and 54 daily or phase-specific exposure metrics","Calibrated ActLumus devices of the same model at all three placements","Factory calibration and a common device model; further validation references are reported in the preprint","Glasses near the corneal plane, chest pendant, and wrist","10 seconds","Time-resolved comparisons and 54 daily or phase-specific metrics","Local time, photoperiod, and repeated contextual reports were aligned to observations","Documented sleep was excluded from the primary measurement-level analysis; a wake-only metric sensitivity was reported","Documented non-wear was excluded in the primary analysis; retaining it was exploratory sensitivity evidence","Paper-specific preparation and pairing rules; full details in the public methods and analysis repository","Analysis-specific paired availability and metric support","Duration, exposure history, level, spectrum, temporal dynamics, and timing metrics","Generalized additive mixed models for time-resolved errors, mixed-effects models for metrics, and hierarchical bootstrap for precision","Repeated observations within participants, days, and sites; participant-specific placement slopes were estimable for a subset of metrics","Body-worn sensors generally underestimated momentary glasses-level exposure, but magnitude varied by context and derived-outcome sensitivity varied by metric class; no universal correction was supported","Model-based uncertainty was reported; population-average precision was assessed by hierarchical bootstrap; many nominal comparisons were unadjusted and interpreted as estimation-focused and exploratory","Version 2 is a non-peer-reviewed preprint using an overlapping cohort; glasses are a proxy rather than direct retinal measurement; residual heavy tails, unadjusted comparisons, and sparse site samples qualify inference.","MeLiDos data repositories, the melidosData R package, and site dataset identifiers are listed in the preprint.","Analysis code and rendered reports are public on GitHub and archived at Zenodo DOI 10.5281/zenodo.21533915.","2","2","2","2","2","2","12","A","Public related analysis establishing that sensor-position differences are structured by analytical scale, metric class, context, site, day, and participant.","Cite as a parallel analysis from an overlapping cohort, not independent validation or a substitute for the accepted paired analyses in this manuscript."
