"page","unit","text"
"table_s2_part_02.html",4,"13.809 ± 23.711"
"table_s2_part_02.html",5,"7.719 ± 9.847"
"table_s2_part_02.html",6,"10.055 ± 11.237"
"table_s2_part_02.html",7,"6.115 ± 8.79"
"table_s2_part_02.html",8,"7.49 ± 8.898"
"table_s2_part_02.html",9,"3.281 ± 2.573"
"table_s2_part_02.html",10,"10.016 ± 10.799"
"table_s2_part_02.html",11,"7.587 ± 9.496"
"table_s2_part_02.html",12,"9.171 ± 7.111"
"table_s2_part_02.html",13,"8.274 ± 6.558"
"table_s2_part_02.html",14,"12.017 ± 18.865"
"table_s2_part_02.html",15,"7.221 ± 6.33"
"table_s2_part_02.html",16,"12.102 ± 12.013"
"table_s2_part_02.html",17,"4.166 ± 3.272"
"table_s2_part_02.html",18,"7.778 ± 6.946"
"table_s2_part_02.html",19,"5.248 ± 2.85"
"table_s2_part_02.html",20,"3.019 ± 2.896"
"table_s2_part_02.html",21,"214.866 ± 508.56"
"table_s2_part_02.html",22,"399.302 ± 518.102"
"table_s2_part_02.html",23,"262.206 ± 329.201"
"table_s2_part_02.html",24,"422.54 ± 1,209.616"
"table_s2_part_02.html",25,"179.372 ± 241.53"
"table_s2_part_02.html",26,"201.947 ± 194.042"
"table_s2_part_02.html",27,"136.312 ± 134.07"
"table_s2_part_02.html",28,"120.172 ± 101.545"
"table_s2_part_02.html",29,"96.735 ± 72.311"
"table_s2_part_02.html",30,"82.489 ± 115.07"
"table_s2_part_02.html",31,"0.243 ± 0.513"
"table_s2_part_02.html",32,"0.183 ± 0.299"
"table_s2_part_02.html",33,"0.2 ± 0.332"
"table_s2_part_02.html",34,"0.223 ± 0.299"
"table_s2_part_02.html",35,"0.273 ± 0.465"
"table_s2_part_02.html",36,"0.515 ± 0.653"
"table_s2_part_02.html",37,"0.054 ± 0.075"
"table_s2_part_02.html",38,"0.475 ± 0.882"
"table_s2_part_02.html",39,"0.411 ± 1.044"
"table_s2_part_02.html",40,"0.059 ± 0.104"
"table_s2_part_02.html",41,"0.724 ± 0.116"
"table_s2_part_02.html",42,"0.796 ± 0.162"
"table_s2_part_02.html",43,"0.743 ± 0.077"
"table_s2_part_02.html",44,"0.768 ± 0.118"
"table_s2_part_02.html",45,"0.667 ± 0.098"
"table_s2_part_02.html",46,"0.72 ± 0.093"
"table_s2_part_02.html",47,"0.673 ± 0.07"
"table_s2_part_02.html",48,"0.735 ± 0.122"
"table_s2_part_02.html",49,"0.706 ± 0.067"
"table_s2_part_02.html",50,"0.758 ± 0.097"
"table_s2_part_03.html",1,"13:56 ± 01:51"
"table_s2_part_03.html",2,"13:20 ± 01:33"
"table_s2_part_03.html",3,"14:22 ± 01:51"
"table_s2_part_03.html",4,"14:00 ± 01:42"
"table_s2_part_03.html",5,"13:52 ± 01:42"
"table_s2_part_03.html",6,"14:31 ± 02:14"
"table_s2_part_03.html",7,"14:10 ± 01:51"
"table_s2_part_03.html",8,"14:25 ± 01:37"
"table_s2_part_03.html",9,"12:55 ± 01:44"
"table_s2_part_03.html",10,"13:03 ± 01:58"
"table_s2_part_03.html",11,"02:58 ± 01:41"
"table_s2_part_03.html",12,"02:03 ± 01:07"
"table_s2_part_03.html",13,"02:50 ± 02:05"
"table_s2_part_03.html",14,"02:37 ± 01:19"
"table_s2_part_03.html",15,"03:16 ± 01:34"
"table_s2_part_03.html",16,"03:10 ± 02:00"
"table_s2_part_03.html",17,"03:34 ± 01:49"
"table_s2_part_03.html",18,"03:26 ± 01:25"
"table_s2_part_03.html",19,"02:10 ± 01:27"
"table_s2_part_03.html",20,"02:36 ± 01:36"
"table_s2_part_03.html",21,"09:26 ± 02:22"
"table_s2_part_03.html",22,"08:03 ± 01:32"
"table_s2_part_03.html",23,"09:17 ± 01:56"
"table_s2_part_03.html",24,"08:45 ± 02:21"
"table_s2_part_03.html",25,"09:45 ± 02:21"
"table_s2_part_03.html",26,"09:39 ± 03:12"
"table_s2_part_03.html",27,"10:05 ± 02:18"
"table_s2_part_03.html",28,"10:26 ± 02:28"
"table_s2_part_03.html",29,"08:36 ± 01:30"
"table_s2_part_03.html",30,"09:19 ± 01:52"
"table_s2_part_03.html",31,"18:03 ± 02:36"
"table_s2_part_03.html",32,"18:39 ± 01:38"
"table_s2_part_03.html",33,"18:37 ± 02:08"
"table_s2_part_03.html",34,"19:16 ± 02:28"
"table_s2_part_03.html",35,"17:18 ± 02:44"
"table_s2_part_03.html",36,"19:33 ± 02:11"
"table_s2_part_03.html",37,"18:01 ± 02:21"
"table_s2_part_03.html",38,"18:23 ± 02:15"
"table_s2_part_03.html",39,"15:22 ± 02:38"
"table_s2_part_03.html",40,"15:46 ± 02:13"
"table_s2_part_03.html",41,"13:31 ± 01:52"
"table_s2_part_03.html",42,"13:21 ± 01:25"
"table_s2_part_03.html",43,"14:02 ± 01:41"
"table_s2_part_03.html",44,"13:51 ± 01:56"
"table_s2_part_03.html",45,"13:24 ± 01:45"
"table_s2_part_03.html",46,"14:09 ± 02:22"
"table_s2_part_03.html",47,"13:47 ± 01:33"
"table_s2_part_03.html",48,"14:04 ± 01:39"
"table_s2_part_03.html",49,"11:26 ± 01:36"
"table_s2_part_03.html",50,"12:11 ± 01:36"
