metric_order,metric_id,near_analysis_unit,near_response_family,near_response_transform,term,near_effect_type,near_estimate_practical,near_conf_low_practical,near_conf_high_practical,near_p_raw,near_status,near_model_level_p_raw,near_model_level_bh_adjusted_p,chest_analysis_unit,chest_response_family,chest_response_transform,chest_effect_type,chest_estimate_practical,chest_conf_low_practical,chest_conf_high_practical,chest_p_raw,chest_status,chest_model_level_p_raw,chest_model_level_bh_adjusted_p,near_participants,near_participant_days,near_observations,near_sites,chest_participants,chest_participant_days,chest_observations,chest_sites,analysis_unit,response_family,response_transform,effect_scale,preregistered_photoperiod,lower_bound,upper_bound,audit_upper_threshold,diagnostic_note,manuscript_name,abbreviation,manuscript_category,display_unit,variant_label,family_label,analysis_unit_label,predictor,predictor_order,null_value,point_label,sample_exactly_matched
15,last_timing_above_250,participant_day,gaussian,clock_hours,photoperiod_centered_hours,difference,0.2887218393032521,0.1416987649315941,0.43574491367491014,1.186253982796269e-4,PASS,1.0145084025019225e-4,4.0246587662767086e-4,participant_day,gaussian,clock_hours,difference,0.3234223704172228,0.2003657460050513,0.4464789948293943,2.5874744786741776e-7,PASS,3.923973446630546e-7,6.670754859271928e-6,112,524,524,8,112,524,524,8,participant_day,gaussian,clock_hours,Difference,FALSE,0,24,,Early-morning cluster check,Last light timing above 250 lx melEDI,LLIT250,timing-based,clock time,Boundary-censoring rule,Gaussian on the linear clock scale,Participant-day,Photoperiod,1,0,LLIT250 · P,TRUE
15,last_timing_above_250,participant_day,gaussian,clock_hours,absolute_latitude_10deg_centered,difference,0.5885082001694264,0.40385502194259737,0.7731613783962554,4.1947863955815447e-10,PASS,4.397104655567987e-9,7.475077914465578e-8,participant_day,gaussian,clock_hours,difference,0.4481549701950648,0.294448854099991,0.6018610862901386,1.099681334222657e-8,PASS,6.012915979302106e-8,5.585327617030845e-7,112,524,524,8,112,524,524,8,participant_day,gaussian,clock_hours,Difference,FALSE,0,24,,Early-morning cluster check,Last light timing above 250 lx melEDI,LLIT250,timing-based,clock time,Boundary-censoring rule,Gaussian on the linear clock scale,Participant-day,Latitude per 10°,2,0,LLIT250 · L,TRUE
17,mder_ratio_of_integrals,participant_day,gaussian,identity,photoperiod_centered_hours,difference,0.01195261429193917,0.00581944071495929,0.01808578786891904,1.3363082766672534e-4,PASS,1.1837231665519731e-4,4.0246587662767086e-4,participant_day,gaussian,identity,difference,0.01467370709504444,0.0074834071533324,0.0218640070367565,6.338949107809262e-5,PASS,5.918934067605479e-5,2.5155469787323286e-4,112,597,597,8,112,597,597,8,participant_day,gaussian,identity,Difference,FALSE,0,,,Lower-tail and influence checks,Melanopic daylight efficacy ratio,MDER,spectrum-based,dimensionless,Ratio of paired-channel integrals,Gaussian on the identity scale,Participant-day,Photoperiod,1,0,MDER · P,TRUE
17,mder_ratio_of_integrals,participant_day,gaussian,identity,absolute_latitude_10deg_centered,difference,-0.00102396344848764,-0.00827940248217662,0.00623147558520132,0.7820791101460679,PASS,0.7790625224729874,1,participant_day,gaussian,identity,difference,-0.00979547589322698,-0.01840997470887307,-0.00118097707758089,0.02583660492646341,PASS,0.02540684953212697,0.06170234886373692,112,597,597,8,112,597,597,8,participant_day,gaussian,identity,Difference,FALSE,0,,,Lower-tail and influence checks,Melanopic daylight efficacy ratio,MDER,spectrum-based,dimensionless,Ratio of paired-channel integrals,Gaussian on the identity scale,Participant-day,Latitude per 10°,2,0,MDER · L,TRUE
3,daily_geometric_mean_medi,participant_day,gaussian,log10_offset_0.1,photoperiod_centered_hours,ratio,1.156683506771025,1.0777692020943346,1.2413759200358103,5.4081610878597645e-5,PASS,5.041728275165365e-5,2.85697935592704e-4,participant_day,gaussian,log10_offset_0.1,ratio,1.1604083528864728,1.0767997259685904,1.2505088114110228,9.645136172184196e-5,PASS,8.76762660941015e-5,2.9312855855888873e-4,112,643,643,8,112,643,643,8,participant_day,gaussian,log10_offset_0.1,Ratio,FALSE,0,,,"Offset, influence, and upper-tail checks",Mean melEDI,Mean,level-based,lx,Daily geometric mean,Gaussian after log10(value + 0.1),Participant-day,Photoperiod,1,1,Mean · P,TRUE
3,daily_geometric_mean_medi,participant_day,gaussian,log10_offset_0.1,absolute_latitude_10deg_centered,ratio,1.1377827004734828,1.0445549940962733,1.2393310843501808,0.00308303160524243,PASS,0.00322721745431503,0.00914378278722594,participant_day,gaussian,log10_offset_0.1,ratio,1.065629532299895,0.974339193166906,1.1654732849437666,0.16420351456344082,PASS,0.16058183794780953,0.2729891245112762,112,643,643,8,112,643,643,8,participant_day,gaussian,log10_offset_0.1,Ratio,FALSE,0,,,"Offset, influence, and upper-tail checks",Mean melEDI,Mean,level-based,lx,Daily geometric mean,Gaussian after log10(value + 0.1),Participant-day,Latitude per 10°,2,1,Mean · L,TRUE
4,m10_mean_medi,participant_day,gaussian,log10_offset_0.1,photoperiod_centered_hours,ratio,1.192351431614587,1.0772844058644342,1.3197090097415394,6.79564289993646e-4,PASS,5.665414334157015e-4,0.00160520072801115,participant_day,gaussian,log10_offset_0.1,ratio,1.211446426956983,1.0862098505594744,1.3511223863702968,5.704771496879005e-4,PASS,4.802350265830712e-4,0.00116628506455888,112,643,643,8,112,643,643,8,participant_day,gaussian,log10_offset_0.1,Ratio,FALSE,0,,,Influence and upper-tail checks,Brightest 10 h mean,M10mean,level-based,lx,Supported 10-hour window,Gaussian after log10(value + 0.1),Participant-day,Photoperiod,1,1,M10mean · P,TRUE
4,m10_mean_medi,participant_day,gaussian,log10_offset_0.1,absolute_latitude_10deg_centered,ratio,1.256875870491945,1.1148892352894637,1.4169452030046106,1.8539455777706327e-4,PASS,2.290625919370303e-4,9.735160157323788e-4,participant_day,gaussian,log10_offset_0.1,ratio,1.195935576478245,1.0507134482993832,1.3612292727396622,0.00675043798477974,PASS,0.00681419664330188,0.01930689048935534,112,643,643,8,112,643,643,8,participant_day,gaussian,log10_offset_0.1,Ratio,FALSE,0,,,Influence and upper-tail checks,Brightest 10 h mean,M10mean,level-based,lx,Supported 10-hour window,Gaussian after log10(value + 0.1),Participant-day,Latitude per 10°,2,1,M10mean · L,TRUE
5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,photoperiod_centered_hours,ratio,1.0967789103617998,1.03548145845693,1.1617049908426258,0.00164276456241955,PASS,0.00135058029437082,0.00255109611158932,participant_day,gaussian,log10_offset_0.1,ratio,1.082709152365447,1.0236619611780091,1.1451623222053626,0.00548119697953204,PASS,0.00450316197074329,0.0078675107463254,112,643,643,8,112,643,643,8,participant_day,gaussian,log10_offset_0.1,Ratio,FALSE,0,,,High-risk exact-zero and residual checks,Darkest 10 h mean,L10mean,level-based,lx,Supported 10-hour window,Gaussian after log10(value + 0.1),Participant-day,Photoperiod,1,1,L10mean · P,TRUE
5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,absolute_latitude_10deg_centered,ratio,1.0033077247056017,0.9310802507388344,1.0811381614583155,0.9309654492624256,PASS,0.9277888758970932,1,participant_day,gaussian,log10_offset_0.1,ratio,0.9314693330407454,0.8678658099417843,0.999734185234894,0.04914503750557482,PASS,0.04801181931861004,0.10202511605204634,112,643,643,8,112,643,643,8,participant_day,gaussian,log10_offset_0.1,Ratio,FALSE,0,,,High-risk exact-zero and residual checks,Darkest 10 h mean,L10mean,level-based,lx,Supported 10-hour window,Gaussian after log10(value + 0.1),Participant-day,Latitude per 10°,2,1,L10mean · L,TRUE
6,duration_above_1000,participant_day,tweedie_log,identity,photoperiod_centered_hours,ratio,1.1611938566204678,1.0853109782604649,1.2423823214377534,1.4629452700917328e-5,PASS,3.064103983782832e-5,2.6044883862154074e-4,participant_day,tweedie_log,identity,ratio,1.172518438391484,1.093382686410283,1.2573817982079531,8.043245651525445e-6,PASS,2.052649894087274e-5,1.163168273316122e-4,112,643,643,8,112,643,643,8,participant_day,tweedie_log,identity,Ratio,TRUE,0,24,,"Zero mass, dispersion, tail, and 24-hour prediction checks","Time above 1,000 lx melEDI",TAT1000,duration-based,h,Full 24-hour cycle,Tweedie with log link,Participant-day,Photoperiod,1,1,TAT1000 · P,TRUE
6,duration_above_1000,participant_day,tweedie_log,identity,absolute_latitude_10deg_centered,ratio,1.0405033337163865,0.9540034751540482,1.134846167410546,0.36992414842918153,PASS,0.3708991105431781,0.6305284879234028,participant_day,tweedie_log,identity,ratio,0.9926696971138408,0.9075909957847348,1.085723781025482,0.8721480855178652,PASS,0.8721107759144481,1,112,643,643,8,112,643,643,8,participant_day,tweedie_log,identity,Ratio,TRUE,0,24,,"Zero mass, dispersion, tail, and 24-hour prediction checks","Time above 1,000 lx melEDI",TAT1000,duration-based,h,Full 24-hour cycle,Tweedie with log link,Participant-day,Latitude per 10°,2,1,TAT1000 · L,TRUE
7,duration_above_250_wake,participant_day,tweedie_log,identity,photoperiod_centered_hours,ratio,1.0995666500331365,1.0403480193978525,1.1621561201845545,7.784186953394596e-4,PASS,0.001033219781435,0.00250924804062787,participant_day,tweedie_log,identity,ratio,1.115240349744287,1.0575670103807724,1.1760588459070307,5.674820250857728e-5,PASS,1.034571383149019e-4,2.9312855855888873e-4,112,578,578,8,112,578,578,8,participant_day,tweedie_log,identity,Ratio,TRUE,0,,,"Zero mass, tail, and waking-duration prediction checks",Time above 250 lx melEDI during wake,TAT250,duration-based,h,Waking near-eye measurement,Tweedie with log link,Participant-day,Photoperiod,1,1,TAT250 · P,TRUE
7,duration_above_250_wake,participant_day,tweedie_log,identity,absolute_latitude_10deg_centered,ratio,1.1521945370321516,1.073210190077447,1.2369918432016869,9.229648265162444e-5,PASS,1.519094964733699e-4,8.608204800157627e-4,participant_day,tweedie_log,identity,ratio,1.117918092043306,1.043903292035839,1.197180687188445,0.00142600334384667,PASS,0.00182054664590684,0.00618985859608328,112,578,578,8,112,578,578,8,participant_day,tweedie_log,identity,Ratio,TRUE,0,,,"Zero mass, tail, and waking-duration prediction checks",Time above 250 lx melEDI during wake,TAT250,duration-based,h,Waking near-eye measurement,Tweedie with log link,Participant-day,Latitude per 10°,2,1,TAT250 · L,TRUE
9,duration_below_1_sleep_environment,participant_day,tweedie_log,identity,photoperiod_centered_hours,ratio,0.9831100647909682,0.9616247891768288,1.0050753790578244,0.13080875895224528,PASS,0.13212258015293574,0.17277568173845442,participant_day,tweedie_log,identity,ratio,0.987100557735244,0.967827499013004,1.0067574150092813,0.1968633633643368,PASS,0.1981588031836973,0.25913074262483493,112,608,608,8,112,608,608,8,participant_day,tweedie_log,identity,Ratio,TRUE,0,,,Distribution and sleep-window prediction checks,Time below 1 lx melEDI during sleep,TBT1,duration-based,h,Bedside sleep-environment measurement,Tweedie with log link,Participant-day,Photoperiod,1,1,TBT1 · P,TRUE
9,duration_below_1_sleep_environment,participant_day,tweedie_log,identity,absolute_latitude_10deg_centered,ratio,1.008175295494633,0.9811655607908158,1.0359285599328023,0.5567710725623181,PASS,0.5567303048640774,0.8604013802444832,participant_day,tweedie_log,identity,ratio,1.02365538647326,0.9989133072226536,1.0490103021744546,0.06108684338855404,PASS,0.06257875884454933,0.11820432226192652,112,608,608,8,112,608,608,8,participant_day,tweedie_log,identity,Ratio,TRUE,0,,,Distribution and sleep-window prediction checks,Time below 1 lx melEDI during sleep,TBT1,duration-based,h,Bedside sleep-environment measurement,Tweedie with log link,Participant-day,Latitude per 10°,2,1,TBT1 · L,TRUE
10,longest_bout_above_250,participant_day,gaussian,log10_offset_0.1,photoperiod_centered_hours,ratio,1.0927263534776186,1.034138923075529,1.154632957855784,0.00161100224748892,PASS,0.00132254831309734,0.00255109611159144,participant_day,gaussian,log10_offset_0.1,ratio,1.0931315072572745,1.038217332459701,1.1509502440376012,7.087498912989098e-4,PASS,5.949401019058791e-4,0.00126424771654999,112,643,643,8,112,643,643,8,participant_day,gaussian,log10_offset_0.1,Ratio,TRUE,0,24,,Mandatory exactly-identified-only sensitivity,Longest continuous period above 250 lx melEDI,PAT250,duration-based,h,Observed lower bound,Gaussian after log10(value + 0.1),Participant-day,Photoperiod,1,1,PAT250 · P,TRUE
10,longest_bout_above_250,participant_day,gaussian,log10_offset_0.1,absolute_latitude_10deg_centered,ratio,1.085526836212875,1.0174680595269543,1.1581380870925675,0.01298549755103228,PASS,0.01297772128757158,0.03151732312695955,participant_day,gaussian,log10_offset_0.1,ratio,1.0260971221134396,0.9650873382770428,1.0909637524508058,0.41009769817813585,PASS,0.4043100535543463,0.6248428100385351,112,643,643,8,112,643,643,8,participant_day,gaussian,log10_offset_0.1,Ratio,TRUE,0,24,,Mandatory exactly-identified-only sensitivity,Longest continuous period above 250 lx melEDI,PAT250,duration-based,h,Observed lower bound,Gaussian after log10(value + 0.1),Participant-day,Latitude per 10°,2,1,PAT250 · L,TRUE
16,dose_time_sensitive_corrected_medi,participant_day,gaussian,log10_offset_0.1,photoperiod_centered_hours,ratio,1.2352241064433906,1.1271843285437964,1.353619416542118,6.078508998196239e-6,PASS,7.246122336895984e-6,1.2318407972723174e-4,participant_day,gaussian,log10_offset_0.1,ratio,1.2528678659519068,1.1397430556835026,1.3772208408793956,3.0257017549567338e-6,PASS,4.099942637939284e-6,3.484951242248391e-5,112,598,598,8,112,598,598,8,participant_day,gaussian,log10_offset_0.1,Ratio,FALSE,0,,,"Offset, influence, and upper-tail checks",melEDI dose,Dose,exposure-history-based,lx·h,Time-sensitive missing-coverage correction,Gaussian after log10(value + 0.1),Participant-day,Photoperiod,1,1,Dose · P,TRUE
16,dose_time_sensitive_corrected_medi,participant_day,gaussian,log10_offset_0.1,absolute_latitude_10deg_centered,ratio,1.051532294602232,0.9422771617400382,1.1734553393500258,0.36932798272006107,PASS,0.36437521059712447,0.6305284879234028,participant_day,gaussian,log10_offset_0.1,ratio,0.9781006788504116,0.869957608480511,1.0996868452459403,0.7110859748427256,PASS,0.7062494453604109,0.923556967009768,112,598,598,8,112,598,598,8,participant_day,gaussian,log10_offset_0.1,Ratio,FALSE,0,,,"Offset, influence, and upper-tail checks",melEDI dose,Dose,exposure-history-based,lx·h,Time-sensitive missing-coverage correction,Gaussian after log10(value + 0.1),Participant-day,Latitude per 10°,2,1,Dose · L,TRUE
