"href","label","classification","resolved","within_root","exists","fragment","fragment_exists"
"./notebooks/preparation/07_example_days.html","07 Example days","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/07_example_days.html","TRUE","TRUE","","TRUE"
"./notebooks/placement_decision.html","Placement decision","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/placement_decision.html","TRUE","TRUE","","TRUE"
"./notebooks/descriptives.html","Descriptive results","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/descriptives.html","TRUE","TRUE","","TRUE"
"./notebooks/preregistration_deviations.html","Preregistration deviations","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preregistration_deviations.html","TRUE","TRUE","","TRUE"
"./notebooks/hypotheses/H01.html","H01 results","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html","TRUE","TRUE","","TRUE"
"./audit/hypotheses/H01/H01_analysis_preparation.html","H01 preparation and provenance","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html","TRUE","TRUE","","TRUE"
"./notebooks/hypotheses/H02.html","H02 results","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H02.html","TRUE","TRUE","","TRUE"
"./audit/hypotheses/H02/H02_analysis_preparation.html","H02 preparation and provenance","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html","TRUE","TRUE","","TRUE"
"./notebooks/hypotheses/H03.html","H03 results","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H03.html","TRUE","TRUE","","TRUE"
"./audit/hypotheses/H03/H03_analysis_preparation.html","H03 preparation and provenance","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H03/H03_analysis_preparation.html","TRUE","TRUE","","TRUE"
"./notebooks/hypotheses/H04.html","H04 results","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H04.html","TRUE","TRUE","","TRUE"
"./audit/hypotheses/H04/H04_analysis_preparation.html","H04 preparation and provenance","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H04/H04_analysis_preparation.html","TRUE","TRUE","","TRUE"
"./notebooks/hypotheses/H05.html","H05 results","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H05.html","TRUE","TRUE","","TRUE"
"./audit/hypotheses/H05/H05_analysis_preparation.html","H05 preparation and provenance","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H05/H05_analysis_preparation.html","TRUE","TRUE","","TRUE"
"./notebooks/hypotheses/H06.html","H06 results","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06.html","TRUE","TRUE","","TRUE"
"./audit/hypotheses/H06/H06_analysis_preparation.html","H06 preparation and provenance","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H06/H06_analysis_preparation.html","TRUE","TRUE","","TRUE"
"./notebooks/hypotheses/H06_daily.html","H06 complementary daily results","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06_daily.html","TRUE","TRUE","","TRUE"
"./audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html","H06 complementary daily preparation and provenance","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html","TRUE","TRUE","","TRUE"
"./notebooks/hypotheses/H07.html","H07 results","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H07.html","TRUE","TRUE","","TRUE"
"./audit/hypotheses/H07/H07_analysis_preparation.html","H07 preparation and provenance","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html","TRUE","TRUE","","TRUE"
"./notebooks/hypotheses/H08.html","H08 results","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H08.html","TRUE","TRUE","","TRUE"
"./audit/hypotheses/H08/H08_analysis_preparation.html","H08 preparation and provenance","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H08/H08_analysis_preparation.html","TRUE","TRUE","","TRUE"
"./notebooks/hypotheses/H09.html","H09 results","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H09.html","TRUE","TRUE","","TRUE"
"./audit/hypotheses/H09/H09_analysis_preparation.html","H09 preparation and provenance","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation.html","TRUE","TRUE","","TRUE"
"./notebooks/hypotheses/H10.html","H10 results","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H10.html","TRUE","TRUE","","TRUE"
"./audit/hypotheses/H10/H10_analysis_preparation.html","H10 preparation and provenance","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H10/H10_analysis_preparation.html","TRUE","TRUE","","TRUE"
"./notebooks/hypotheses/H11.html","H11 results","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H11.html","TRUE","TRUE","","TRUE"
"./audit/hypotheses/H11/H11_analysis_preparation.html","H11 preparation and provenance","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H11/H11_analysis_preparation.html","TRUE","TRUE","","TRUE"
"./notebooks/sensitivity_battery.html","Sensitivity checks","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/sensitivity_battery.html","TRUE","TRUE","","TRUE"
"#supplementary-methods","Supplementary Methods","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/supplementary_information.html","TRUE","TRUE","supplementary-methods","TRUE"
"#preregistration-and-deviations","Preregistration and deviations","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/supplementary_information.html","TRUE","TRUE","preregistration-and-deviations","TRUE"
"#hypothesis-level-results","Hypothesis-level results","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/supplementary_information.html","TRUE","TRUE","hypothesis-level-results","TRUE"
"#h01","H01","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/supplementary_information.html","TRUE","TRUE","h01","TRUE"
"#h02","H02","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/supplementary_information.html","TRUE","TRUE","h02","TRUE"
"#h03","H03","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/supplementary_information.html","TRUE","TRUE","h03","TRUE"
"#h04","H04","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/supplementary_information.html","TRUE","TRUE","h04","TRUE"
"#h05","H05","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/supplementary_information.html","TRUE","TRUE","h05","TRUE"
"#h06","H06","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/supplementary_information.html","TRUE","TRUE","h06","TRUE"
"#h07","H07","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/supplementary_information.html","TRUE","TRUE","h07","TRUE"
"#h08","H08","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/supplementary_information.html","TRUE","TRUE","h08","TRUE"
"#h09","H09","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/supplementary_information.html","TRUE","TRUE","h09","TRUE"
"#h10","H10","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/supplementary_information.html","TRUE","TRUE","h10","TRUE"
"#h11","H11","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/supplementary_information.html","TRUE","TRUE","h11","TRUE"
"#sensor-placement-analysis","Sensor-placement analysis","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/supplementary_information.html","TRUE","TRUE","sensor-placement-analysis","TRUE"
"#sensitivity-analyses","Sensitivity analyses","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/supplementary_information.html","TRUE","TRUE","sensitivity-analyses","TRUE"
"#supplementary-figures","Supplementary figures","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/supplementary_information.html","TRUE","TRUE","supplementary-figures","TRUE"
"#supplementary-tables","Supplementary tables","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/supplementary_information.html","TRUE","TRUE","supplementary-tables","TRUE"
"#references","References","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/supplementary_information.html","TRUE","TRUE","references","TRUE"
"https://github.com/tscnlab/ZaunerEtAl_bioRxiv_2026/edit/main/supplementary_information.qmd","Edit this page","external","","","","",""
"https://github.com/tscnlab/ZaunerEtAl_bioRxiv_2026/issues","Report an issue","external","","","","",""
"./index.html","Manuscript","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/index.html","TRUE","TRUE","","TRUE"
"./notebooks/preparation/01_import_state_alignment.html","01 Import and state alignment","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/01_import_state_alignment.html","TRUE","TRUE","","TRUE"
"#cb1-1","","generated_code_line_anchor","","","","",""
"#cb1-2","","generated_code_line_anchor","","","","",""
"#cb1-3","","generated_code_line_anchor","","","","",""
"#cb1-4","","generated_code_line_anchor","","","","",""
"#cb1-5","","generated_code_line_anchor","","","","",""
"#cb1-6","","generated_code_line_anchor","","","","",""
"#cb1-7","","generated_code_line_anchor","","","","",""
"#cb1-8","","generated_code_line_anchor","","","","",""
"#cb1-9","","generated_code_line_anchor","","","","",""
"#cb1-10","","generated_code_line_anchor","","","","",""
"#cb1-11","","generated_code_line_anchor","","","","",""
"#cb1-12","","generated_code_line_anchor","","","","",""
"#cb1-13","","generated_code_line_anchor","","","","",""
"#cb1-14","","generated_code_line_anchor","","","","",""
"#cb1-15","","generated_code_line_anchor","","","","",""
"#cb1-16","","generated_code_line_anchor","","","","",""
"#cb1-17","","generated_code_line_anchor","","","","",""
"#cb1-18","","generated_code_line_anchor","","","","",""
"#cb1-19","","generated_code_line_anchor","","","","",""
"#cb1-20","","generated_code_line_anchor","","","","",""
"#cb1-21","","generated_code_line_anchor","","","","",""
"#cb1-22","","generated_code_line_anchor","","","","",""
"#cb1-23","","generated_code_line_anchor","","","","",""
"#cb1-24","","generated_code_line_anchor","","","","",""
"#cb1-25","","generated_code_line_anchor","","","","",""
"#cb1-26","","generated_code_line_anchor","","","","",""
"#cb1-27","","generated_code_line_anchor","","","","",""
"#cb1-28","","generated_code_line_anchor","","","","",""
"#cb1-29","","generated_code_line_anchor","","","","",""
"#cb1-30","","generated_code_line_anchor","","","","",""
"#cb1-31","","generated_code_line_anchor","","","","",""
"#cb1-32","","generated_code_line_anchor","","","","",""
"#cb1-33","","generated_code_line_anchor","","","","",""
"#cb1-34","","generated_code_line_anchor","","","","",""
"#cb1-35","","generated_code_line_anchor","","","","",""
"#cb1-36","","generated_code_line_anchor","","","","",""
"#cb1-37","","generated_code_line_anchor","","","","",""
"#cb1-38","","generated_code_line_anchor","","","","",""
"#cb1-39","","generated_code_line_anchor","","","","",""
"#cb1-40","","generated_code_line_anchor","","","","",""
"#cb1-41","","generated_code_line_anchor","","","","",""
"#cb1-42","","generated_code_line_anchor","","","","",""
"#cb1-43","","generated_code_line_anchor","","","","",""
"#cb1-44","","generated_code_line_anchor","","","","",""
"#cb1-45","","generated_code_line_anchor","","","","",""
"#cb1-46","","generated_code_line_anchor","","","","",""
"#cb1-47","","generated_code_line_anchor","","","","",""
"#cb1-48","","generated_code_line_anchor","","","","",""
"#cb1-49","","generated_code_line_anchor","","","","",""
"#cb1-50","","generated_code_line_anchor","","","","",""
"#cb1-51","","generated_code_line_anchor","","","","",""
"#cb1-52","","generated_code_line_anchor","","","","",""
"#cb1-53","","generated_code_line_anchor","","","","",""
"#cb1-54","","generated_code_line_anchor","","","","",""
"#cb1-55","","generated_code_line_anchor","","","","",""
"#cb1-56","","generated_code_line_anchor","","","","",""
"#cb1-57","","generated_code_line_anchor","","","","",""
"#cb1-58","","generated_code_line_anchor","","","","",""
"#cb1-59","","generated_code_line_anchor","","","","",""
"#cb1-60","","generated_code_line_anchor","","","","",""
"https://github.com/tscnlab/ZaunerEtAl_bioRxiv_2026/edit/main/supplementary_information.qmd","Edit this page","external","","","","",""
"https://github.com/tscnlab/ZaunerEtAl_bioRxiv_2026/issues","Report an issue","external","","","","",""
