"check_id","status","expected","observed","detail"
"inline_r_preserved","PASS","exact pre-order inline-R multisets","19 result expressions",""
"top_level_assignments_preserved","PASS","exact pre-order top-level assignment multisets","result and companion",""
"formula_lines_preserved","PASS","exact pre-order formula-line multisets","population-mean, Mundlak, interaction, mixed, and temporal formulas",""
"scientific_numeric_tokens_preserved","PASS","only glossary AR(1) and 95% CI tokens added","1:1; 95:1",""
"artifact_references_preserved","PASS","exact H04 artifact filename multisets","result and companion",""
"markdown_targets_preserved","PASS","exact pre-order Markdown target multisets","includes source-data and reciprocal QMD links",""
"result_heading_order","PASS","approved main-first result hierarchy","## Question; ## What was analysed; ## Terms used below; ## Principal activity-category estimates; ## Supporting contrasts and omnibus tests; ## Sample and activity support; ## Model and estimand; ## Site-specific context; ## Exploratory participant random-intercept decomposition; ## Model checks; ## Sensitivity analyses; ## Same-participant, same-hour sensor-position comparison; ## Exploratory time-of-day context; ## Interpretation; ## Detailed analysis record",""
"result_disclosures","PASS","five exact balanced disclosures","Show supporting contrasts and interaction tests; Show site-specific context and R² summaries; Show detailed primary model checks; Show detailed sensitivity results; Show exploratory nonlinear time-of-day details",""
"lightbox_enabled","PASS","lightbox enabled once in each YAML header","result and companion",""
"random_intercept_anchor_and_link","PASS","one exact result link and one exact companion anchor","../../audit/hypotheses/H04/H04_analysis_preparation.qmd#sec-h04-prep-participant-random-intercept",""
"preregistration_links_and_anchors","PASS","five exact deviation links and unique central anchors","013, 014, 025, 026, 027",""
"reciprocal_qmd_links","PASS","result-to-companion and companion-to-result relative QMD links","reciprocal links present",""
"all_relative_targets_resolve","PASS","all relative QMD, preparation, artifact, and source-data targets exist","",""
"no_hard_coded_page_links","PASS","no internal HTML, build, file, absolute-local, or root-absolute page link","",""
"approved_reader_vocabulary","PASS","approved site, activity, FDR, identifier, and punctuation vocabulary","reader-visible prose scanned with code fences removed",""
"country_coded_sites","PASS","all nine country-coded study-site names in both reader sources","Borås (SE); Delft (NL); Dortmund (DE); Tübingen (DE); Munich (DE); Madrid (ES); Izmir (TR); San José (CR); Kumasi (GH)",""
"compact_glossary","PASS","nine approved first-use glossary entries","**Site-average estimate:**; **Activity-by-site interaction:**; **95% CI:**; **FDR:**; **Random intercept:**; **Nonlinear GAM analysis:**; **AR(1):**; **Shapley allocation:**; **Common sample:**",""
"companion_display_mappings","PASS","verification, multiplicity, threshold, and spaced-label mappings","## About this analysis record; PASS = ""Verified""; `VERIFIED CURRENT IDENTITY` = ""Verified current identity""; BH = ""FDR""; Scientific_reason = ""Scientific reason""; Near_eye = ""Near eye""; Source_model = ""Source model""; Reference_distribution = ""Reference distribution""; Inferential_role = ""Inferential role""; Principal_outputs = ""Principal outputs""; Run_on_this_page = ""Run on this page""; Output_group = ""Output group""; Reader_use = ""Reader use""; Calculated_on_render = ""Calculated on render""; predefined $10^{10}$ threshold",""
"exact_primary_mundlak_temporal_formulas","PASS","exact accepted formulas","primary_full; secondary_mundlak_audit; heterogeneity_five_named_full; temporal_activity_long",""
"scientific_role_separation","PASS","primary, Mundlak, and random-intercept roles remain distinct","additive population-mean model; population-mean Mundlak-style sensitivity; participant-level variation; no participant-specific activity slope; no participant-day random effect; Neither assessment changes the primary analysis; not a causal",""
"script_and_output_maps_preserved","PASS","13 scripts and 9 output groups","exact names retained",""
"no_scientific_or_write_calls","PASS","no project write, fit, predict, simulation, bootstrap, resampling, or builder call","",""
"controlling_package_manifest_identity","PASS","34-row controlling package manifest","34",""
"owner_package_protected_identities","PASS","30 protected package identities","",""
"random_intercept_artifacts_preserved","PASS","7 accepted random-intercept identities","artifacts/07_models/H04/H04_participant_random_intercept_assessment.rds; artifacts/09_tables/H04/H04_participant_random_intercept_summary.csv; artifacts/09_tables/H04/H04_participant_random_intercept_marginal_r2_shapley.csv; artifacts/08_diagnostics/H04/H04_participant_random_intercept_diagnostics.csv; artifacts/08_diagnostics/H04/H04_participant_random_intercept_shapley_models.csv; artifacts/12_manifests/H04/H04_participant_random_intercept_environment.csv; artifacts/12_manifests/H04/H04_participant_random_intercept_manifest.csv",""
"untracked_audit_html_preserved","FAIL","two out-of-order audit HTML pages untouched","audit/hypotheses/H04/01_audit_and_plan.html; audit/hypotheses/H04/02_implementation_and_v0_comparison.html",""
"stored_figure_baked_labels_held","PASS","known baked labels remain pending later bounded refresh","two SVG families inventoried without regeneration",""
