"path","protection_role","expected_source","expected_sha256","observed_sha256","expected_bytes","observed_bytes","status"
"config/site_display_registry.csv","site_display_registry","order-35 controlling package","3d669d459ecc27d3154bbb5ff5b0d64cb510805d486b45264443228c44a6d809","3d669d459ecc27d3154bbb5ff5b0d64cb510805d486b45264443228c44a6d809",295,295,"PASS"
"notebooks/preregistration_deviations.qmd","central_deviation_page","order-35 controlling package","b542018a0e127b280fc5a106928d8689307c420f2e62913f4047d5c4c292bc6d","b542018a0e127b280fc5a106928d8689307c420f2e62913f4047d5c4c292bc6d",94061,94061,"PASS"
"audit/report_harmonization/phase2_main_supplement_output_catalog.csv","provisional_output_catalog","order-35 controlling package","43110e4f20a4e9d6257351fad4905c08587f85a28aa27d2a932b0d33b88b6894","43110e4f20a4e9d6257351fad4905c08587f85a28aa27d2a932b0d33b88b6894",165132,165132,"PASS"
"artifacts/10_figures/H04/H04_reader_heterogeneity_category_estimates.png","principal_figure_png","order-35 controlling package","b2f883b89fa4e482442651f97f6e97c2aed14b48b83cc77050cbe7a1f51ed940","b2f883b89fa4e482442651f97f6e97c2aed14b48b83cc77050cbe7a1f51ed940",233841,233841,"PASS"
"artifacts/10_figures/H04/H04_reader_heterogeneity_category_estimates.pdf","principal_figure_pdf","order-35 controlling package","65c2a3cbc125df54e9780f9d255dcd624d5c126593afe2658481c803f22d6103","65c2a3cbc125df54e9780f9d255dcd624d5c126593afe2658481c803f22d6103",7659,7659,"PASS"
"artifacts/10_figures/H04/H04_reader_heterogeneity_category_estimates.svg","principal_figure_svg","order-35 controlling package","b8bc9612b27ed876bb28bb9e5755f8c6a0564cf20d08ec16a0d68f0402e821ae","b8bc9612b27ed876bb28bb9e5755f8c6a0564cf20d08ec16a0d68f0402e821ae",21396,21396,"PASS"
"artifacts/10_figures/H04/H04_site_activity_estimates.png","site_context_figure_png","order-35 controlling package","a183754e2d79d6c748caf9747b37e3d52277efc89d586844f225ee45c6f80da0","a183754e2d79d6c748caf9747b37e3d52277efc89d586844f225ee45c6f80da0",378901,378901,"PASS"
"artifacts/10_figures/H04/H04_site_activity_estimates.pdf","site_context_figure_pdf","order-35 controlling package","f8afe38e949f03351f8ad4b2af28eb15cbd7e7f2e44fb7144bb40c70354e6a0c","f8afe38e949f03351f8ad4b2af28eb15cbd7e7f2e44fb7144bb40c70354e6a0c",14014,14014,"PASS"
"artifacts/10_figures/H04/H04_site_activity_estimates.svg","site_context_figure_svg","order-35 controlling package","4015ec7e9b5756c1e8efba18b1195763e9bb274a019980430cf9a72cc3c14746","4015ec7e9b5756c1e8efba18b1195763e9bb274a019980430cf9a72cc3c14746",72684,72684,"PASS"
"artifacts/11_source_data/H04/H04_reader_heterogeneity_category_figure.csv","principal_figure_source_data","order-35 controlling package","e27bc81e0c6dd2ff50dd0c6ffa4e95d9c7e9c16e5b20ce45fb4df7d1e89f3652","e27bc81e0c6dd2ff50dd0c6ffa4e95d9c7e9c16e5b20ce45fb4df7d1e89f3652",5994,5994,"PASS"
"artifacts/11_source_data/H04/H04_site_activity_figure.csv","site_context_figure_source_data","order-35 controlling package","f07f54bc288bd660b0e3a107016c7852a64ce72c0f1594df052519062a2c5caf","f07f54bc288bd660b0e3a107016c7852a64ce72c0f1594df052519062a2c5caf",27807,27807,"PASS"
"scripts/hypotheses/H04/build_h04_stage3_reader_figures.R","reader_figure_builder","order-35 controlling package","2ae1ae770d4b0cf3725b04cd337d883659d429ff9a8f7c482d38f0af516c158a","2ae1ae770d4b0cf3725b04cd337d883659d429ff9a8f7c482d38f0af516c158a",6219,6219,"PASS"
"scripts/hypotheses/H04/h04_reporting.R","display_functions","order-35 controlling package","44945d43958f5b7c0c0d484b670d435e0db0a5400b133d5b72cc05a2609e53e3","44945d43958f5b7c0c0d484b670d435e0db0a5400b133d5b72cc05a2609e53e3",22405,22405,"PASS"
"scripts/hypotheses/H04/build_h04_stage3_reader_assets.R","reader_asset_builder","order-35 controlling package","9fef4f87941e28c0db784d5e9ef2971cd96e1d5f8ffd55847b51ccbcc2a24c60","9fef4f87941e28c0db784d5e9ef2971cd96e1d5f8ffd55847b51ccbcc2a24c60",27629,27629,"PASS"
"artifacts/12_manifests/H04/H04_participant_random_intercept_manifest.csv","auxiliary_model_manifest","order-35 controlling package","ec267c547cd7ca3f44a3bf0b09a016dda226d85535f908f3b8632718f23712b4","ec267c547cd7ca3f44a3bf0b09a016dda226d85535f908f3b8632718f23712b4",2138,2138,"PASS"
"audit/hypotheses/H04/01_audit_and_plan.html","excluded_untracked_audit_html","accepted Stage 3 manifest","59afbcd101e77ceadd7a720ef5e7bceebc22650d3e5d4b623a463d25f8bb2a4b","59afbcd101e77ceadd7a720ef5e7bceebc22650d3e5d4b623a463d25f8bb2a4b",2098178,2098178,"PASS"
"audit/hypotheses/H04/02_implementation_and_v0_comparison.html","excluded_untracked_audit_html","accepted Stage 3 manifest","2e8bcaa35974c7aef36b1cfa9b942a4d7e1baca9cfacc2edb57365bf43aab636","2e8bcaa35974c7aef36b1cfa9b942a4d7e1baca9cfacc2edb57365bf43aab636",4644570,4644570,"PASS"
"artifacts/07_models/H04/H04_participant_random_intercept_assessment.rds","accepted_random_intercept_artifact","accepted participant-random-intercept manifest","6b44b614b0898ba1c812fb44a532e2add6fe96e9eb41534bde574975bdfec351","6b44b614b0898ba1c812fb44a532e2add6fe96e9eb41534bde574975bdfec351",8148576,8148576,"PASS"
"artifacts/08_diagnostics/H04/H04_participant_random_intercept_diagnostics.csv","accepted_random_intercept_artifact","accepted participant-random-intercept manifest","b1dae2a0ba345c1ffc7eea5a3bf2c0df9753f6bbdbb79c175761ef5377ffe541","b1dae2a0ba345c1ffc7eea5a3bf2c0df9753f6bbdbb79c175761ef5377ffe541",2026,2026,"PASS"
"artifacts/08_diagnostics/H04/H04_participant_random_intercept_shapley_models.csv","accepted_random_intercept_artifact","accepted participant-random-intercept manifest","f68f4a0ef2ceed8455fc75854858094bf9a28b0981a53c1561bf73aae01dfe31","f68f4a0ef2ceed8455fc75854858094bf9a28b0981a53c1561bf73aae01dfe31",3516,3516,"PASS"
"artifacts/09_tables/H04/H04_participant_random_intercept_marginal_r2_shapley.csv","accepted_random_intercept_artifact","accepted participant-random-intercept manifest","87d56a1b482e471e162171af4a6b2c3182eba08e915b7e1bca7025385e229fda","87d56a1b482e471e162171af4a6b2c3182eba08e915b7e1bca7025385e229fda",4067,4067,"PASS"
"artifacts/09_tables/H04/H04_participant_random_intercept_summary.csv","accepted_random_intercept_artifact","accepted participant-random-intercept manifest","44ce688f51b023f827ccf6fbb12d8dcc506e1c824c98d0e7d4e9bf046ec38c65","44ce688f51b023f827ccf6fbb12d8dcc506e1c824c98d0e7d4e9bf046ec38c65",2702,2702,"PASS"
"artifacts/12_manifests/H04/H04_participant_random_intercept_environment.csv","accepted_random_intercept_artifact","accepted participant-random-intercept manifest","5d76a1f50993cce6b7b209a238b5551c0e0b3890bfad479b2732d5301c4b9534","5d76a1f50993cce6b7b209a238b5551c0e0b3890bfad479b2732d5301c4b9534",136,136,"PASS"
