logical_order,role,source,title,source_sha256,render_position,sidebar_position,expected_html,html_exists,html_sha256
17,hypothesis_result,notebooks/hypotheses/H03.qmd,H03: Self-reported light source and measured personal light exposure,45ea5a009efd3b451c392dfc23bef584c7b16e087bf4093780b051cfde42ae41,15,17,_build/nathealth/notebooks/hypotheses/H03.html,TRUE,8751090b4d38794c8ff24606a3c92ec2895880c97108074595dfcaf78edf551c
18,hypothesis_companion,audit/hypotheses/H03/H03_analysis_preparation.qmd,H03 analysis preparation and provenance,59270288388e48ceef880ffa4a2ba0e87b8deeb9a8046b49510c4e525ff8c131,16,18,_build/nathealth/audit/hypotheses/H03/H03_analysis_preparation.html,TRUE,01958106e0363f7f449e234eabde65d0246f4ca864d895a57909d4cd46dde59a
19,hypothesis_result,notebooks/hypotheses/H04.qmd,H04: Self-reported activity and measured personal light exposure,f8adb6d78be041ce296dd7e89eb92769b128631c1b4227ce5d8ab3d526daf1d5,17,19,_build/nathealth/notebooks/hypotheses/H04.html,TRUE,9f56f3c5bda2058c7e97f524e12f4b9734c9a61b0fafee3e5a810f2444229543
20,hypothesis_companion,audit/hypotheses/H04/H04_analysis_preparation.qmd,H04 analysis preparation and provenance,efdb5be8dc194695f40c50249fab14905ec337bc63079ae589557de860188474,18,20,_build/nathealth/audit/hypotheses/H04/H04_analysis_preparation.html,TRUE,a7ae510b6f7b5c990699bacc3d2a60d2bdf55464996ca31c5653dd6f3bf6bcb9
21,hypothesis_result,notebooks/hypotheses/H05.qmd,H05: Habitual light-related behaviour and personal light exposure,7c20e16629729de433d1ab400038e9d32c73aeb25c95ecd44d581b876755d5e0,19,21,_build/nathealth/notebooks/hypotheses/H05.html,TRUE,d643cf7e51a357c64e46d52e72a1607491d70ad9626bc45f06d497fd46663dda
22,hypothesis_companion,audit/hypotheses/H05/H05_analysis_preparation.qmd,H05 analysis preparation and provenance,843f60f890daac0e41c6655bc365ab0325e3f582e011610469a799946b2f2811,20,22,_build/nathealth/audit/hypotheses/H05/H05_analysis_preparation.html,TRUE,c88614a3c17b604817a5f08e8c8310adb702d40edd7da67bc1238c737d3cdbb8
23,hypothesis_result,notebooks/hypotheses/H06.qmd,"H06: Day type, exercise, sleep, and personal light exposure",d65c197cb37db32101d8a43fcdc80198ab599a95cb73259abd187c9b2b58d350,21,23,_build/nathealth/notebooks/hypotheses/H06.html,TRUE,4883b77a2e225c8bad8628f1a04274f5d19d81aeb7cc493949707cdc6cd98e2f
24,hypothesis_companion,audit/hypotheses/H06/H06_analysis_preparation.qmd,H06 analysis preparation and provenance,f952d5ec72066ee86fded4888aaa815bdf763c11f466806ebc7391c79e22918b,22,24,_build/nathealth/audit/hypotheses/H06/H06_analysis_preparation.html,TRUE,aeac00b6806ae10368e133e904784e7c2fcc79747bb8c8e2dc95fe2d721a944e
25,shared,notebooks/hypotheses/H06_daily.qmd,H06 daily metrics: day-level context and personal light exposure,8f696f3f89fe9ea18c8066b756a01fc5da6b41e86f8ac7d37d1e16f9c10ba639,23,25,_build/nathealth/notebooks/hypotheses/H06_daily.html,TRUE,e10dbaa356c63c808465a3a0b28963a0c84d97b03f1798f22315ee258f9cb180
26,shared,audit/hypotheses/H06_daily/H06_daily_analysis_preparation.qmd,H06 daily-metric analysis preparation and provenance,b1d2c9ec6184e9c537af04119d94040b581ae691069e38e0a713935ab1582536,24,26,_build/nathealth/audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html,TRUE,46c1b40edeecb6fe980aa2a9500b47d68d4e26d2b1202a7c0e0bd1564d935c2e
27,hypothesis_result,notebooks/hypotheses/H07.qmd,H07: Photoperiod and qualifying transitions in personal light exposure,c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226,25,27,_build/nathealth/notebooks/hypotheses/H07.html,TRUE,851a301c400e771cee6e9d6dff4360f2842f3fa3055190405342853563a2b284
28,hypothesis_companion,audit/hypotheses/H07/H07_analysis_preparation.qmd,H07 analysis preparation and provenance,a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b,26,28,_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html,TRUE,fdff004d7cb1bfd249b8bf0c26a3ced61a989fa6373a732c40849e1fad94be5f
29,hypothesis_result,notebooks/hypotheses/H08.qmd,H08: Visual light sensitivity and personal light exposure,1b6b50b21e22d60909a65b125ce74be54829e5efc10de33f888fcd294c7374b1,27,29,_build/nathealth/notebooks/hypotheses/H08.html,TRUE,4943ccbb186ddc292a169513f3752da15bc29765acb5f3c33ef0f585f7d96a20
30,hypothesis_companion,audit/hypotheses/H08/H08_analysis_preparation.qmd,H08 analysis preparation and provenance,3eeeda47c909be2ca32bf234af18f2d690f1c3e7b26e854f7311c0d8300f6f2d,28,30,_build/nathealth/audit/hypotheses/H08/H08_analysis_preparation.html,TRUE,524107d84b907fd830bcc31fa0b2340c10608923a4d5f99208c40b3adf5af4ba
31,hypothesis_result,notebooks/hypotheses/H09.qmd,H09: Chronotype and timing of personal light exposure,c738a4365d01497030a260691ceff35fd5c2dab478148fd28676e27981e203c6,29,31,_build/nathealth/notebooks/hypotheses/H09.html,TRUE,37c06994b2eb992d924b266a6ac930090170a68642f956b9690dada379300ced
32,hypothesis_companion,audit/hypotheses/H09/H09_analysis_preparation.qmd,H09 analysis preparation and provenance,394a976e52faf002cb2034a13353a053aae8bfda8942a79c2eb007017cae014f,30,32,_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation.html,TRUE,cdf9aaed6c594b365b048ee4d9256c492a1e5f41f88f33df47e829dc2eca422c
33,hypothesis_result,notebooks/hypotheses/H10.qmd,"H10: Age, measured biological sex, and personal light exposure",0cf302f74c482168c5f5d4c640bbc6a80ef451333f7d76f3c3be204ac1b5f64d,31,33,_build/nathealth/notebooks/hypotheses/H10.html,TRUE,9eccd8f7b2156aca725c884298b17111b3945ff14b8070cf131d8c7ea2fc6cb8
34,hypothesis_companion,audit/hypotheses/H10/H10_analysis_preparation.qmd,H10 analysis preparation and provenance,706fe46f293bd09bfd3cb75c14bc3082410a452acfff666d76219f266fded1a6,32,34,_build/nathealth/audit/hypotheses/H10/H10_analysis_preparation.html,TRUE,c679d369c1e38a2f8479a2a2bef7b2d17fee6ba6bbf17c0d1d27c180ab97693d
35,hypothesis_result,notebooks/hypotheses/H11.qmd,H11: Biological sex and daily personal light-exposure patterns,7909ba06782c84223197ab7fcd16493d7ee6e6d8b63c750aa81f17cb97977867,33,35,_build/nathealth/notebooks/hypotheses/H11.html,TRUE,5e18bb94d0ad84d0e6916a12c1eb819b224b87c9030eb2bd8dba49422d1c4d53
36,hypothesis_companion,audit/hypotheses/H11/H11_analysis_preparation.qmd,H11 analysis preparation and provenance,3f5a0d2ead03d2cb149451709110b59ba1387401f9ff633dfba1a0663f4b0816,34,36,_build/nathealth/audit/hypotheses/H11/H11_analysis_preparation.html,TRUE,8eaf3fa9ee561f90a18ab5980c12447e33a0955d17eb6a7ebc3183c5d089517c
37,shared,notebooks/sensitivity_battery.qmd,Planned sensitivity checks,d2d1777062dbf58eca69cc58eadd6ad17a7ce80f4a8f335b6828f54ffcbfeb70,35,37,_build/nathealth/notebooks/sensitivity_battery.html,TRUE,977bc8dab6ee4b28ec506c0e1b4d4f1bd27339311ce78972cd6fefe08a2fc219
