page,topic,orientation,expected_orientation,width_px,height_px,sha256,nonblank,comparison_page,byte_identical_to_comparison,inspection_basis,focused_visual_recheck,notes,status
13,Main Table 3,landscape,landscape,2002,1547,4bf681116bafed7faba6c7be52a97c50c74fa1550f8684c69f97599ec90c6474,True,13,True,Byte-identical to visually accepted pre-repair page 13,False,,PASS
14,Main Table 3,landscape,landscape,2002,1547,d1b59e072472be04b919d88b0b18896840054db20ec9838820225e73d752c51b,True,14,True,Byte-identical to visually accepted pre-repair page 14,False,,PASS
15,Main Table 3,landscape,landscape,2002,1547,e77335775b0f991380b33cf2de0e243048972bb178bca1c48edfe58c22fa789a,True,15,True,Byte-identical to visually accepted pre-repair page 15,False,,PASS
16,Main Table 3,landscape,landscape,2002,1547,d4cdcfa1931e0512e82c8ce14b938cf346fc3aca8041d9b79079298931e58c26,True,16,True,Byte-identical to visually accepted pre-repair page 16,False,,PASS
17,Immediate-setting Results,portrait,portrait,1547,2002,d1ee6c801a772da85c29e9558dcf90257804f8d98cb82e2ce5bd9fb7d72ae33b,True,17,True,Byte-identical to visually accepted pre-repair page 17,False,,PASS
18,Immediate-setting Results,portrait,portrait,1547,2002,599b88f829d3eff42f77dd1f76afd40cb5e607cb552186d76faa3d77de2e4d96,True,18,True,Byte-identical to visually accepted pre-repair page 18,False,,PASS
19,Main Figure 3 and routine Results,portrait,portrait,1547,2002,db0a360a4f444d6c25ce554711a4028c2734c85702d7749a5eba22f832ece700,True,19,True,Byte-identical to visually accepted pre-repair page 19,False,,PASS
20,Routine and person-level Results,portrait,portrait,1547,2002,5805b5082152f6b1bc69ffc1e3d695406c31630d5816b5946fe37c1f69ae6e1f,True,20,True,Byte-identical to visually accepted pre-repair page 20,False,,PASS
21,Measurement-position Results and Discussion,portrait,portrait,1547,2002,80e6de6bd4ae4c44a79cd13d19e4b03fdf593b623bbabe3fe22fae8bd8d8a005,True,21,True,Byte-identical to visually accepted pre-repair page 21,False,,PASS
22,Measurement-position Results and Discussion,portrait,portrait,1547,2002,adcfa19cb4752cf74f35e9ce8dc372f24d54f3c525103f79d9140a45852c172a,True,22,True,Byte-identical to visually accepted pre-repair page 22,False,,PASS
23,Measurement-position Results and Discussion,portrait,portrait,1547,2002,06e128891dca41f59b13197f790c2c17233c59e46c7fd666e4fbf1cb4631d083,True,23,True,Byte-identical to visually accepted pre-repair page 23,False,,PASS
24,Methods and AI-assistance statement,portrait,portrait,1547,2002,a24b522d6bef44414756234dba51fd865681e90525d38ffabdbfd2a95a128e8e,True,24,True,Byte-identical to visually accepted pre-repair page 24,False,,PASS
25,Methods and AI-assistance statement,portrait,portrait,1547,2002,2962bb1329d7dd876cf3c64001fdddd5d1a7594215628f89ce2093b2134e5a23,True,25,True,Byte-identical to visually accepted pre-repair page 25,False,,PASS
26,Methods and AI-assistance statement,portrait,portrait,1547,2002,1b1180fd432d363f62af794a4fff81ae159bf493b206ded4367fb88e09162a38,True,26,True,Byte-identical to visually accepted pre-repair page 26,False,,PASS
27,Methods and AI-assistance statement,portrait,portrait,1547,2002,7b65c25083767199badd77ab851b6c977a33f0a600d6cba95929264c306f438e,True,27,True,Byte-identical to visually accepted pre-repair page 27,False,,PASS
28,Methods and AI-assistance statement,portrait,portrait,1547,2002,ca4ae92daf20877d5ee9dcc583ee678846f39c7418d6b3a4ca6842a4aa7decc3,True,28,True,Byte-identical to visually accepted pre-repair page 28,False,,PASS
29,Methods and AI-assistance statement,portrait,portrait,1547,2002,3340fbab80dcc0d6cde0526a4c01d025560641f8b02e0a1ae0b095b36c32dc4a,True,29,True,Byte-identical to visually accepted pre-repair page 29,False,,PASS
30,Methods and AI-assistance statement,portrait,portrait,1547,2002,0ac15c75863c321d78b0562d1a9c16c4e45b5446435a0551045bc13434a96bb5,True,30,True,Byte-identical to visually accepted pre-repair page 30,False,,PASS
31,References,portrait,portrait,1547,2002,576318aa2c496ccf4b4909c0903fcabef88afc69056556f304808dc6c695e46d,True,31,True,Byte-identical to visually accepted pre-repair page 31,False,,PASS
32,References,portrait,portrait,1547,2002,3c8586cd2a52a79c96ca2ec239280cbd2baf3f248eecd58764528c5fc4c3d81c,True,32,True,Byte-identical to visually accepted pre-repair page 32,False,,PASS
33,References,portrait,portrait,1547,2002,b757cc538291cf1696b6058449af874e3b3fbcfeace2b594ee91ad0af3b7fc24,True,33,True,Byte-identical to visually accepted pre-repair page 33,False,,PASS
34,References,portrait,portrait,1547,2002,8a870dcd319b5bd8fde52e1f93ded3b94e56f56273395048e8f372b21ad28829,True,34,True,Byte-identical to visually accepted pre-repair page 34,False,,PASS
35,References,portrait,portrait,1547,2002,009ef186a7897fa7102af522e1ffeba8dd87374a69d6a10fd5935c5d9da0c51d,True,35,True,Byte-identical to visually accepted pre-repair page 35,False,,PASS
36,References,portrait,portrait,1547,2002,a15b8f45a11e98392d3ae5ed372890ab799951a180a9cebf8a1401d29cf62624,True,36,True,Byte-identical to visually accepted pre-repair page 36,False,,PASS
37,References,portrait,portrait,1547,2002,bb43006f600ac0725693c5737c8e4fece2f8dbe5012f782f4798a056001f186b,True,37,True,Byte-identical to visually accepted pre-repair page 37,False,,PASS
38,"Acknowledgements, funding, CRediT roles, and competing interests",portrait,portrait,1547,2002,9f9a701da46e88bd8e98cac584639e0c989758b54de33b2d55eaadf80041c5ef,True,38,True,Byte-identical to visually accepted pre-repair page 38,False,,PASS
39,"Acknowledgements, funding, CRediT roles, and competing interests",portrait,portrait,1547,2002,51e70b96e13e54220553b127373d6ec76dc28a8b0f26bd030598c8ce2bfed3c2,True,39,True,Byte-identical to visually accepted pre-repair page 39,False,,PASS
40,Supplementary Table S1,landscape,landscape,2002,1547,b33062f89a2b3b8aec945abe860bfae96da06457337cbb1ccd8cdbbfe2fbd871,True,40,True,Byte-identical to visually accepted pre-repair page 40,False,,PASS
41,Supplementary Table S2,landscape,landscape,2002,1547,c04cda913bfdd9cb2b1e565f7f44dc9b9acc04a0df910089193522664c54ef36,True,41,True,Byte-identical to visually accepted pre-repair page 41,False,,PASS
42,Supplementary Table S2,landscape,landscape,2002,1547,2cda8ee665e24de88739a327f830380e4023c46673b48b06cbbd6a8e6fcef0be,True,42,True,Byte-identical to visually accepted pre-repair page 42,False,,PASS
43,Supplementary Table S2,landscape,landscape,2002,1547,d237224f94c337af64ffd649313dc88ef78836cd90b680648f3dccf7628ff38e,True,43,True,Byte-identical to visually accepted pre-repair page 43,False,,PASS
44,Supplementary Table S2,landscape,landscape,2002,1547,9cca7ff4d8779adf9e83e26c25128bc2a64951e3983463d704f7685ace35acbd,True,44,True,Byte-identical to visually accepted pre-repair page 44,False,,PASS
45,Supplementary Table S2,landscape,landscape,2002,1547,ff3840fd21c9ffc1e0f1d98f0b96febfef53ef246e2640a5c10c650f12850b28,True,45,True,Byte-identical to visually accepted pre-repair page 45,False,,PASS
46,Supplementary Table S2,landscape,landscape,2002,1547,7b9b6e09e89f1f41723ac4dd0d84f4ee25b8c55c88a951f41e19800c698a3a07,True,46,True,Byte-identical to visually accepted pre-repair page 46,False,,PASS
47,Supplementary Table S3,landscape,landscape,2002,1547,ba8bda7768d331188384e65859b4b5d503b3cd11768961564212cf10a82d624e,True,47,True,Byte-identical to visually accepted pre-repair page 47,False,,PASS
48,Supplementary Figure S1,portrait,portrait,1547,2002,76c7e33f80a1bfb96f088900a1a6ae5e14741254fc394e9a67743699f2e8edd9,True,48,True,Byte-identical to visually accepted pre-repair page 48,False,,PASS
49,Supplementary Figure S2,portrait,portrait,1547,2002,3b47bff903b153f8d2d432d49e2f88e43d4cfbe97cf5b4b546aee010690d7c41,True,49,True,Byte-identical to visually accepted pre-repair page 49,False,,PASS
50,Supplementary Figure S3,portrait,portrait,1547,2002,f64ab1e7f81eb509c166daea694972897de64d1278a5c54f167d4d5f4bdbc8bd,True,50,True,Byte-identical to visually accepted pre-repair page 50,False,,PASS
51,Supplementary Figure S4,portrait,portrait,1547,2002,ee53d2ccdd45c258dff289ef3f3984463f7fbae633eb6ed989af360ebb8c1c34,True,51,True,Byte-identical to visually accepted pre-repair page 51,False,,PASS
52,Supplementary Figure S5,portrait,portrait,1547,2002,c68ec613a7e7d2dffc10dc9d6182dd27fbf4dcbc081b11dc7cc66c4eb2e414f0,True,52,True,Byte-identical to visually accepted pre-repair page 52,False,,PASS
53,Supplementary Table S4,landscape,landscape,2002,1547,00f4f8d5fde7f158cb4105cb434004d41f9be7ffdd24e26fa2b07c7f177a0389,True,53,True,Byte-identical to visually accepted pre-repair page 53,False,,PASS
54,Supplementary Table S4,landscape,landscape,2002,1547,d565b69cad60afe2a34b4f7a2ee34d8e6aae5e20b106f7402e14f501460554c7,True,54,True,Byte-identical to visually accepted pre-repair page 54,False,,PASS
55,Supplementary Figure S6,portrait,portrait,1547,2002,48f486950a152265705b590de212f7b3449c52ee865cbc745bd1ec9a4751cabd,True,55,True,Byte-identical to visually accepted pre-repair page 55,False,,PASS
56,Supplementary Table S5,landscape,landscape,2002,1547,07f3bf1e20ac55ed55dc0d4a03f511b6801c8f1d9327afebf8d865d22b7260da,True,56,True,Byte-identical to visually accepted pre-repair page 56,False,,PASS
57,Supplementary Table S6,landscape,landscape,2002,1547,d3c1ae16423a499cb9dbc070fed818b8bb571e0960b5077c25abfc174a2100c6,True,57,True,Byte-identical to visually accepted pre-repair page 57,False,,PASS
58,Supplementary Figure S7,portrait,portrait,1547,2002,999a88245e096db623549c29b674940eb8a0e735ebf87c10f0774123be2b9112,True,58,True,Byte-identical to visually accepted pre-repair page 58,False,,PASS
59,Supplementary Table S7,landscape,landscape,2002,1547,d4d5f853c0d6047a0457f1a1cff3a26816614fdbce06e93e789b49ade9470a41,True,59,True,Byte-identical to visually accepted pre-repair page 59,False,,PASS
60,Supplementary Table S7,landscape,landscape,2002,1547,4114c655e9f892db1d4642974a413b08c882573fc44c91c1c55dac83e83c41aa,True,60,True,Byte-identical to visually accepted pre-repair page 60,False,,PASS
61,Supplementary Table S7,landscape,landscape,2002,1547,390c1c2313f1c9da7cb495b3aacec2da546a9d05a559121d0a750bd287983eda,True,61,True,Byte-identical to visually accepted pre-repair page 61,False,,PASS
62,Supplementary Table S8,landscape,landscape,2002,1547,7e48c2dec1b670deddec2405ce407e9485dcf9a432fb54ab73eff66653b03bd6,True,62,True,Byte-identical to visually accepted pre-repair page 62,False,,PASS
63,"Supplementary Figure S8, panels A-C",portrait,portrait,1547,2002,6f2276a5d68b3eb59600408f9365928a940ad735433688946111e7753b7feedb,True,,not_applicable,Direct full-resolution visual inspection after bounded S8 repair,True,Panels A-C fill the text width; all labels and plotted content are legible.,PASS
64,"Supplementary Figure S8, panel D and full caption",portrait,portrait,1547,2002,018583032546550ab3a21b0199d61b25761fd7e0d1814c1d488b9af0715d0bc0,True,,not_applicable,Direct full-resolution visual inspection after bounded S8 repair,True,"Continued label, panel D, notes, and the unchanged full caption are complete and unclipped.",PASS
65,Supplementary Figure S9,portrait,portrait,1547,2002,3571d3647bc833cbcdc1958df49b4304d3797092ba3792717e4cc2c99957a237,True,64,True,Byte-identical to visually accepted pre-repair page 64,False,,PASS
66,Supplementary Figure S10,portrait,portrait,1547,2002,b589fb631c1322fc0e68a130a7ad036e9806fe5a1fe9be17e46473d9c87052e1,True,65,True,Byte-identical to visually accepted pre-repair page 65,False,,PASS
67,Supplementary Figure S11,portrait,portrait,1547,2002,e995fce201f9a47106986cf10aba9b756d5680ce070102ae83a5c90f6c686fde,True,66,True,Byte-identical to visually accepted pre-repair page 66,False,,PASS
68,Supplementary Figure S12,portrait,portrait,1547,2002,b9e638b2d188d05b7dad1c25331039fa010e4e7670897c2677985e3eed1ad565,True,67,True,Byte-identical to visually accepted pre-repair page 67,False,,PASS
69,Supplementary Table S9,landscape,landscape,2002,1547,51a1ca370d30ac0144befc21e016a8e2eb30a5d198371f3c1faf91412e9209c5,True,68,True,Byte-identical to visually accepted pre-repair page 68,False,,PASS
70,Supplementary Table S10,landscape,landscape,2002,1547,85f0f4bde2e67f2029068cded0111aecd265371e149a7e41577fc30877a64710,True,69,True,Byte-identical to visually accepted pre-repair page 69,False,,PASS
71,Supplementary Table S10,landscape,landscape,2002,1547,9fe857dcbbd42b8e4ee90b31e2bf6bd2dbbb6da7e81d880e829f45ba2a390776,True,70,True,Byte-identical to visually accepted pre-repair page 70,False,,PASS
72,Supplementary Figure S13,portrait,portrait,1547,2002,884c5990028ef8844a08dba6faaf8f30738e3329ebd37e3697d549a8d74334ef,True,71,True,Byte-identical to visually accepted pre-repair page 71,False,,PASS
73,Supplementary Table S11,landscape,landscape,2002,1547,a71f56c7bcb1e73835ade138208865b24701e2f1d7a0fb21d358603cda49b725,True,72,True,Byte-identical to visually accepted pre-repair page 72,False,,PASS
74,Supplementary Table S11,landscape,landscape,2002,1547,35a3e78c1dc9972bbe02e81741bc4d66a4c18392769592a8f53fbf25eb516dc2,True,73,True,Byte-identical to visually accepted pre-repair page 73,False,,PASS
75,Supplementary Figure S14,portrait,portrait,1547,2002,d6122cd1a5812bfa124046533ec1934f43a72f7a06219e7cc963eb675e72faff,True,74,True,Byte-identical to visually accepted pre-repair page 74,False,,PASS
76,Supplementary Table S12,landscape,landscape,2002,1547,7c4de64c420856b9f92e361fcf66781652cf7d1e1f13e24b6e7f2950ea95d980,True,75,True,Byte-identical to visually accepted pre-repair page 75,False,,PASS
77,Supplementary Figure S15,portrait,portrait,1547,2002,311f173c628eaab345d5270d3da8d8774ef5a62133d835651d3fe9cbe44cc501,True,76,True,Byte-identical to visually accepted pre-repair page 76,False,,PASS
78,Supplementary Table S13,landscape,landscape,2002,1547,e7da3a670cd6a053da998049cdcc8dd8b3f1d44b563441f356fe840b33431fbc,True,77,True,Byte-identical to visually accepted pre-repair page 77,False,,PASS
79,Supplementary Figure S16,portrait,portrait,1547,2002,bef5be66992a41b3d5d7c695413d38794158d29cc79e839277a0c89b665d791b,True,78,True,Byte-identical to visually accepted pre-repair page 78,False,,PASS
80,Supplementary Table S14,landscape,landscape,2002,1547,2edcddf442918c8b5ca797ef96118cd61130e21cd46c80983e4b4e26b961386f,True,79,True,Byte-identical to visually accepted pre-repair page 79,False,,PASS
81,Supplementary Figure S17,portrait,portrait,1547,2002,5896b3042ca2ea1e617eb4389b34aee190d1152324efb4882693b4263e6f7b23,True,80,True,Byte-identical to visually accepted pre-repair page 80,True,The complete S17/Table S15 heading is visible; no clipping reproduced.,PASS
82,Supplementary Table S15,landscape,landscape,2002,1547,b406f70a545aed9c8cbd0e84095977a28c4366e9dbe6538ffa42c5ecb00eaf51,True,81,True,Byte-identical to visually accepted pre-repair page 81,True,Landscape S15 table is complete and legible.,PASS
83,"Measurement position, robustness, and reproducibility",portrait,portrait,1547,2002,23ed5eb0838e55865d53c8c4b2630e855c178fbd998723b0e4bf5d5fed903b90,True,82,True,Byte-identical to visually accepted pre-repair page 82,True,Final robustness section is present and unobstructed.,PASS
