site,participant,participant_order,local_date,weekday,protocol_day,interval,dawn_minute,dusk_minute,civil_night,xmin,xmax,state_source
BAUA,BAUA_S003,2,2025-06-14,Fri,3,midnight_to_dawn,265.26669702927273,1356.3963753064475,TRUE,2880,3145.2666970292726,Daily mean dawn and dusk
BAUA,BAUA_S003,2,2025-06-14,Fri,3,dusk_to_midnight,265.26669702927273,1356.3963753064475,TRUE,4236.396375306447,4320,Daily mean dawn and dusk
BAUA,BAUA_S003,2,2025-06-15,Sat,4,midnight_to_dawn,265.0742370565732,1356.973304617405,TRUE,4320,4585.074237056573,Daily mean dawn and dusk
BAUA,BAUA_S003,2,2025-06-15,Sat,4,dusk_to_midnight,265.0742370565732,1356.973304617405,TRUE,5676.973304617405,5760,Daily mean dawn and dusk
BAUA,BAUA_S003,2,2025-06-16,Sun,5,midnight_to_dawn,264.9451247493426,1357.489778180917,TRUE,5760,6024.9451247493425,Daily mean dawn and dusk
BAUA,BAUA_S003,2,2025-06-16,Sun,5,dusk_to_midnight,264.9451247493426,1357.489778180917,TRUE,7117.489778180917,7200,Daily mean dawn and dusk
MPI,MPI_S227,3,2023-11-01,Wed,1,midnight_to_dawn,396.40385413567225,1057.5952709317207,TRUE,0,396.40385413567225,Daily mean dawn and dusk
MPI,MPI_S227,3,2023-11-01,Wed,1,dusk_to_midnight,396.40385413567225,1057.5952709317207,TRUE,1057.5952709317207,1440,Daily mean dawn and dusk
MPI,MPI_S227,3,2023-11-02,Thu,2,midnight_to_dawn,397.87986703713733,1056.0832543253898,TRUE,1440,1837.8798670371373,Daily mean dawn and dusk
MPI,MPI_S227,3,2023-11-02,Thu,2,dusk_to_midnight,397.87986703713733,1056.0832543253898,TRUE,2496.08325432539,2880,Daily mean dawn and dusk
MPI,MPI_S227,3,2023-11-03,Fri,3,midnight_to_dawn,399.35540607372917,1054.5991877436638,TRUE,2880,3279.3554060737292,Daily mean dawn and dusk
MPI,MPI_S227,3,2023-11-03,Fri,3,dusk_to_midnight,399.35540607372917,1054.5991877436638,TRUE,3934.5991877436636,4320,Daily mean dawn and dusk
MPI,MPI_S227,3,2023-11-04,Sat,4,midnight_to_dawn,400.830083946387,1053.1437340378761,TRUE,4320,4720.830083946387,Daily mean dawn and dusk
MPI,MPI_S227,3,2023-11-04,Sat,4,dusk_to_midnight,400.830083946387,1053.1437340378761,TRUE,5373.143734037876,5760,Daily mean dawn and dusk
MPI,MPI_S227,3,2023-11-05,Sun,5,midnight_to_dawn,402.30348343054453,1051.7175568381945,TRUE,5760,6162.3034834305445,Daily mean dawn and dusk
MPI,MPI_S227,3,2023-11-05,Sun,5,dusk_to_midnight,402.30348343054453,1051.7175568381945,TRUE,6811.7175568381945,7200,Daily mean dawn and dusk
BAUA,BAUA_S022,4,2025-09-25,Wed,1,midnight_to_dawn,408.23524704376854,1194.6689691662789,TRUE,0,408.23524704376854,Daily mean dawn and dusk
BAUA,BAUA_S022,4,2025-09-25,Wed,1,dusk_to_midnight,408.23524704376854,1194.6689691662789,TRUE,1194.6689691662789,1440,Daily mean dawn and dusk
BAUA,BAUA_S022,4,2025-09-26,Thu,2,midnight_to_dawn,409.8658170978228,1192.3571679910024,TRUE,1440,1849.8658170978229,Daily mean dawn and dusk
BAUA,BAUA_S022,4,2025-09-26,Thu,2,dusk_to_midnight,409.8658170978228,1192.3571679910024,TRUE,2632.3571679910024,2880,Daily mean dawn and dusk
BAUA,BAUA_S022,4,2025-09-27,Fri,3,midnight_to_dawn,411.4953073422114,1190.052709945043,TRUE,2880,3291.495307342211,Daily mean dawn and dusk
BAUA,BAUA_S022,4,2025-09-27,Fri,3,dusk_to_midnight,411.4953073422114,1190.052709945043,TRUE,4070.052709945043,4320,Daily mean dawn and dusk
BAUA,BAUA_S022,4,2025-09-28,Sat,4,midnight_to_dawn,413.1239168802897,1187.7560792764027,TRUE,4320,4733.1239168802895,Daily mean dawn and dusk
BAUA,BAUA_S022,4,2025-09-28,Sat,4,dusk_to_midnight,413.1239168802897,1187.7560792764027,TRUE,5507.7560792764025,5760,Daily mean dawn and dusk
BAUA,BAUA_S022,4,2025-09-29,Sun,5,midnight_to_dawn,414.7518424709638,1185.4677642067275,TRUE,5760,6174.751842470964,Daily mean dawn and dusk
BAUA,BAUA_S022,4,2025-09-29,Sun,5,dusk_to_midnight,414.7518424709638,1185.4677642067275,TRUE,6945.467764206727,7200,Daily mean dawn and dusk
MPI,MPI_S205,5,2023-08-30,Wed,1,midnight_to_dawn,364.84277172485986,1243.139546342691,TRUE,0,364.84277172485986,Daily mean dawn and dusk
MPI,MPI_S205,5,2023-08-30,Wed,1,dusk_to_midnight,364.84277172485986,1243.139546342691,TRUE,1243.139546342691,1440,Daily mean dawn and dusk
MPI,MPI_S205,5,2023-08-31,Thu,2,midnight_to_dawn,366.34096283515294,1241.0286448836328,TRUE,1440,1806.3409628351528,Daily mean dawn and dusk
MPI,MPI_S205,5,2023-08-31,Thu,2,dusk_to_midnight,366.34096283515294,1241.0286448836328,TRUE,2681.0286448836328,2880,Daily mean dawn and dusk
MPI,MPI_S205,5,2023-09-01,Fri,3,midnight_to_dawn,367.8354861497879,1238.9111482222875,TRUE,2880,3247.835486149788,Daily mean dawn and dusk
MPI,MPI_S205,5,2023-09-01,Fri,3,dusk_to_midnight,367.8354861497879,1238.9111482222875,TRUE,4118.911148222287,4320,Daily mean dawn and dusk
MPI,MPI_S205,5,2023-09-02,Sat,4,midnight_to_dawn,369.3263298392296,1236.78760689497,TRUE,4320,4689.326329839229,Daily mean dawn and dusk
MPI,MPI_S205,5,2023-09-02,Sat,4,dusk_to_midnight,369.3263298392296,1236.78760689497,TRUE,5556.78760689497,5760,Daily mean dawn and dusk
MPI,MPI_S205,5,2023-09-03,Sun,5,midnight_to_dawn,370.8134985367457,1234.6585641463598,TRUE,5760,6130.813498536746,Daily mean dawn and dusk
MPI,MPI_S205,5,2023-09-03,Sun,5,dusk_to_midnight,370.8134985367457,1234.6585641463598,TRUE,6994.65856414636,7200,Daily mean dawn and dusk
TUM,TUM_S009,6,2024-07-17,Wed,1,midnight_to_dawn,292.77369338274,1306.3921951532363,TRUE,0,292.77369338274,Daily mean dawn and dusk
TUM,TUM_S009,6,2024-07-17,Wed,1,dusk_to_midnight,292.77369338274,1306.3921951532363,TRUE,1306.3921951532363,1440,Daily mean dawn and dusk
TUM,TUM_S009,6,2024-07-18,Thu,2,midnight_to_dawn,294.02723277807235,1305.2676554838815,TRUE,1440,1734.0272327780724,Daily mean dawn and dusk
TUM,TUM_S009,6,2024-07-18,Thu,2,dusk_to_midnight,294.02723277807235,1305.2676554838815,TRUE,2745.2676554838818,2880,Daily mean dawn and dusk
TUM,TUM_S009,6,2024-07-19,Fri,3,midnight_to_dawn,295.3032608429591,1304.103206773599,TRUE,2880,3175.303260842959,Daily mean dawn and dusk
TUM,TUM_S009,6,2024-07-19,Fri,3,dusk_to_midnight,295.3032608429591,1304.103206773599,TRUE,4184.103206773599,4320,Daily mean dawn and dusk
TUM,TUM_S009,6,2024-07-20,Sat,4,midnight_to_dawn,296.6005545139313,1302.8997470617294,TRUE,4320,4616.6005545139315,Daily mean dawn and dusk
TUM,TUM_S009,6,2024-07-20,Sat,4,dusk_to_midnight,296.6005545139313,1302.8997470617294,TRUE,5622.89974706173,5760,Daily mean dawn and dusk
TUM,TUM_S009,6,2024-07-21,Sun,5,midnight_to_dawn,297.9179086089134,1301.6581817905108,TRUE,5760,6057.917908608913,Daily mean dawn and dusk
TUM,TUM_S009,6,2024-07-21,Sun,5,dusk_to_midnight,297.9179086089134,1301.6581817905108,TRUE,7061.658181790511,7200,Daily mean dawn and dusk
BAUA,BAUA_S009,7,2025-06-26,Wed,1,midnight_to_dawn,267.12012409766515,1359.1936196923257,TRUE,0,267.12012409766515,Daily mean dawn and dusk
BAUA,BAUA_S009,7,2025-06-26,Wed,1,dusk_to_midnight,267.12012409766515,1359.1936196923257,TRUE,1359.1936196923257,1440,Daily mean dawn and dusk
BAUA,BAUA_S009,7,2025-06-27,Thu,2,midnight_to_dawn,267.6751626531283,1359.011588060856,TRUE,1440,1707.6751626531284,Daily mean dawn and dusk
BAUA,BAUA_S009,7,2025-06-27,Thu,2,dusk_to_midnight,267.6751626531283,1359.011588060856,TRUE,2799.011588060856,2880,Daily mean dawn and dusk
BAUA,BAUA_S009,7,2025-06-28,Fri,3,midnight_to_dawn,268.28862828413645,1358.7656512180963,TRUE,2880,3148.2886282841364,Daily mean dawn and dusk
BAUA,BAUA_S009,7,2025-06-28,Fri,3,dusk_to_midnight,268.28862828413645,1358.7656512180963,TRUE,4238.7656512180965,4320,Daily mean dawn and dusk
BAUA,BAUA_S009,7,2025-06-29,Sat,4,midnight_to_dawn,268.95948287645973,1358.456168270111,TRUE,4320,4588.959482876459,Daily mean dawn and dusk
BAUA,BAUA_S009,7,2025-06-29,Sat,4,dusk_to_midnight,268.95948287645973,1358.456168270111,TRUE,5678.456168270111,5760,Daily mean dawn and dusk
BAUA,BAUA_S009,7,2025-06-30,Sun,5,midnight_to_dawn,269.6866058588028,1358.0835876425108,TRUE,5760,6029.686605858803,Daily mean dawn and dusk
BAUA,BAUA_S009,7,2025-06-30,Sun,5,dusk_to_midnight,269.6866058588028,1358.0835876425108,TRUE,7118.083587642511,7200,Daily mean dawn and dusk
