change_type,path,pre_line,post_line,pre_sha256,post_sha256
updated,artifacts/10_figures/H06/H06_reader_temporal_activity.png,"artifacts/10_figures/H06/H06_reader_temporal_activity.png,H06_figure,png,01354dbbbb6156f8813a76a75762c82010d8c5fb0d70b5846a21725c0ed13e5c,368603,scripts/hypotheses/H06/build_h06_stage3_manifest.R,4.6.1,2026-08-11 14:26:48 UTC","artifacts/10_figures/H06/H06_reader_temporal_activity.png,H06_figure,png,718c0917cb0aa58e2308cf8cdf9f2af144f80d55769044cc1cc294a84095c3d0,366674,scripts/hypotheses/H06/refresh_h06_report018_reader_figure_labels.R,4.6.1,2026-08-20 23:12:05 UTC",01354dbbbb6156f8813a76a75762c82010d8c5fb0d70b5846a21725c0ed13e5c,718c0917cb0aa58e2308cf8cdf9f2af144f80d55769044cc1cc294a84095c3d0
updated,artifacts/10_figures/H06/H06_reader_temporal_activity.pdf,"artifacts/10_figures/H06/H06_reader_temporal_activity.pdf,H06_figure,pdf,9e61383178a1f4e85aa8b4ed007891590c4513e6ccbc1780094e1900a7c50ceb,16661,scripts/hypotheses/H06/build_h06_stage3_manifest.R,4.6.1,2026-08-11 14:26:48 UTC","artifacts/10_figures/H06/H06_reader_temporal_activity.pdf,H06_figure,pdf,e2afdfaf893081922e9dcefc2d26dbcab689a358084c09a2576c507140cc2f2d,16658,scripts/hypotheses/H06/refresh_h06_report018_reader_figure_labels.R,4.6.1,2026-08-20 23:12:05 UTC",9e61383178a1f4e85aa8b4ed007891590c4513e6ccbc1780094e1900a7c50ceb,e2afdfaf893081922e9dcefc2d26dbcab689a358084c09a2576c507140cc2f2d
updated,artifacts/10_figures/H06/H06_reader_temporal_activity.svg,"artifacts/10_figures/H06/H06_reader_temporal_activity.svg,H06_figure,svg,f09c9fd1fca5fb5670355da6f9189d791cbe27bb5299d17c91ff348ad8220c60,58545,scripts/hypotheses/H06/build_h06_stage3_manifest.R,4.6.1,2026-08-11 14:26:48 UTC","artifacts/10_figures/H06/H06_reader_temporal_activity.svg,H06_figure,svg,07b54b298f8c159432f08fc81b0ca2025915c1eb2128d6b02783f14987c58fb0,58495,scripts/hypotheses/H06/refresh_h06_report018_reader_figure_labels.R,4.6.1,2026-08-20 23:12:05 UTC",f09c9fd1fca5fb5670355da6f9189d791cbe27bb5299d17c91ff348ad8220c60,07b54b298f8c159432f08fc81b0ca2025915c1eb2128d6b02783f14987c58fb0
appended,scripts/hypotheses/H06/refresh_h06_report018_reader_figure_labels.R,,"scripts/hypotheses/H06/refresh_h06_report018_reader_figure_labels.R,H06_code,r,cea9e7d1d395df0ad45459cc7bdd9fa493320fdc8ab737e6b957d7c475a47ba1,67073,scripts/hypotheses/H06/refresh_h06_report018_reader_figure_labels.R,4.6.1,2026-08-20 23:12:05 UTC",,cea9e7d1d395df0ad45459cc7bdd9fa493320fdc8ab737e6b957d7c475a47ba1
appended,tests/hypotheses/H06/test_h06_report018_figure_label_refresh.R,,"tests/hypotheses/H06/test_h06_report018_figure_label_refresh.R,H06_test,r,ead333294b952239ba97fb6562179593847b60da137b670a2ba1954e53c30cdd,11422,scripts/hypotheses/H06/refresh_h06_report018_reader_figure_labels.R,4.6.1,2026-08-20 23:12:05 UTC",,ead333294b952239ba97fb6562179593847b60da137b670a2ba1954e53c30cdd
appended,audit/hypotheses/H06/report018_order46_figure_label_refresh/authorized_label_transitions.csv,,"audit/hypotheses/H06/report018_order46_figure_label_refresh/authorized_label_transitions.csv,H06_report018_evidence,csv,006c2e3dc5fb1742547df490d04e9a7a04cf4352cdb8755dd136e130cf00b187,1403,scripts/hypotheses/H06/refresh_h06_report018_reader_figure_labels.R,4.6.1,2026-08-20 23:12:05 UTC",,006c2e3dc5fb1742547df490d04e9a7a04cf4352cdb8755dd136e130cf00b187
appended,audit/hypotheses/H06/report018_order46_figure_label_refresh/source_value_and_geometry_checks.csv,,"audit/hypotheses/H06/report018_order46_figure_label_refresh/source_value_and_geometry_checks.csv,H06_report018_evidence,csv,7db9671c852c44b9ad73797e7cd03cfe150239109260a4dbbe4e0bb74e448419,5720,scripts/hypotheses/H06/refresh_h06_report018_reader_figure_labels.R,4.6.1,2026-08-20 23:12:05 UTC",,7db9671c852c44b9ad73797e7cd03cfe150239109260a4dbbe4e0bb74e448419
appended,audit/hypotheses/H06/report018_order46_figure_label_refresh/visual_qa.csv,,"audit/hypotheses/H06/report018_order46_figure_label_refresh/visual_qa.csv,H06_report018_evidence,csv,0f970cf1402f99b0569a0b5b9e55ec86074a795780f687f72832118c63124fd1,1023,scripts/hypotheses/H06/refresh_h06_report018_reader_figure_labels.R,4.6.1,2026-08-20 23:12:05 UTC",,0f970cf1402f99b0569a0b5b9e55ec86074a795780f687f72832118c63124fd1
appended,audit/hypotheses/H06/report018_order46_figure_label_refresh/protected_inventory.csv,,"audit/hypotheses/H06/report018_order46_figure_label_refresh/protected_inventory.csv,H06_report018_evidence,csv,d4678da09afe2c36b4c6e30eaf1293b9cdcc5e975ce4d319c64c57cd2149bc05,170725,scripts/hypotheses/H06/refresh_h06_report018_reader_figure_labels.R,4.6.1,2026-08-20 23:12:05 UTC",,d4678da09afe2c36b4c6e30eaf1293b9cdcc5e975ce4d319c64c57cd2149bc05
appended,audit/hypotheses/H06/report018_order46_figure_label_refresh/package_versions.csv,,"audit/hypotheses/H06/report018_order46_figure_label_refresh/package_versions.csv,H06_report018_evidence,csv,4f4581f8833476117ce5174ae9afe3d8d087186b53f02b994b497b2d4a6d5864,260,scripts/hypotheses/H06/refresh_h06_report018_reader_figure_labels.R,4.6.1,2026-08-20 23:12:05 UTC",,4f4581f8833476117ce5174ae9afe3d8d087186b53f02b994b497b2d4a6d5864
