family,format,check,status,detail
day_type,svg,old_label_baseline_exact_bytes,TRUE,5e14c8f45006cb15459720c4058bf184a4bacfc52dabfe07cf1eecbdc9664059
day_type,svg,normalized_structure,TRUE,All non-text SVG structure retained
day_type,svg,required_visible_labels,TRUE,Estimated near-eye melEDI by day type and local time | Estimated melEDI (lx) | Estimated melEDI ratio | Exploratory nonlinear two-part generalized additive model (GAM) display | individual displayed hours
activity,png,old_label_baseline_exact_bytes,TRUE,01354dbbbb6156f8813a76a75762c82010d8c5fb0d70b5846a21725c0ed13e5c
activity,png,candidate_dimensions,TRUE,2141x2582
activity,png,authorized_pixel_regions_only,TRUE,changed=177559; unexplained=0
activity,pdf,old_label_baseline_rendered_pixels,TRUE,ab19eeb41cc707a8a75b41994c1b1489f0e0dc30fad3304442a2a51a3a21c24a
activity,pdf,old_label_baseline_visible_text,TRUE,pdftotext -layout
activity,pdf,page_geometry,TRUE,481 x 581 pts
activity,pdf,authorized_rendered_page_regions_only,TRUE,unexplained=0
activity,pdf,required_visible_labels,TRUE,Estimated near-eye melEDI by activity status and local time | Estimated melEDI (lx) | Estimated melEDI ratio | Exploratory nonlinear two-part generalized additive model (GAM) display | individual displayed hours
activity,pdf,retired_visible_terms_absent,TRUE,expected-hour | supported-hour | equal-site |  BH  | heterogeneity | frozen
activity,svg,old_label_baseline_exact_bytes,TRUE,f09c9fd1fca5fb5670355da6f9189d791cbe27bb5299d17c91ff348ad8220c60
activity,svg,normalized_structure,TRUE,All non-text SVG structure retained
activity,svg,required_visible_labels,TRUE,Estimated near-eye melEDI by activity status and local time | Estimated melEDI (lx) | Estimated melEDI ratio | Exploratory nonlinear two-part generalized additive model (GAM) display | individual displayed hours
