"path","role","expected_sha256","observed_sha256","expected_bytes","observed_bytes","hash_matches","bytes_match","status"
"artifacts/08_figures/H07/H07_revised_smooth_derivative_pairs_chest.png","accepted chest figure","2a714e192bd5c266d03c6f74bdabae9424f5a3663940f0bc3ae5a9ae4e066cd5","2a714e192bd5c266d03c6f74bdabae9424f5a3663940f0bc3ae5a9ae4e066cd5",650084,650084,TRUE,TRUE,"PASS"
"audit/handoffs/H07_worker_handoff.md","accepted H07 handoff","95351007249f187a5c6650e951a1ad1078923ca35c628d730334866cf3593a3e","95351007249f187a5c6650e951a1ad1078923ca35c628d730334866cf3593a3e",27270,27270,TRUE,TRUE,"PASS"
"_quarto-nathealth.yml","accepted profile","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,7480,TRUE,TRUE,"PASS"
"scripts/report_harmonization/post_render_gt_html_semantics.R","semantic wrapper","28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205","28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205",21453,21453,TRUE,TRUE,"PASS"
"scripts/report_harmonization/repair_gt_html_semantics.R","semantic engine","7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1","7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1",17747,17747,TRUE,TRUE,"PASS"
"renv.lock","package lock","3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350","3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350",603493,603493,TRUE,TRUE,"PASS"
"audit/report_harmonization/phase4_gt_source_audit.csv","native gt source audit","2c265f89e48e98f3575fb2032f5523cf649a6d8356f7667cf68f451bb6f49921","2c265f89e48e98f3575fb2032f5523cf649a6d8356f7667cf68f451bb6f49921",60870,60870,TRUE,TRUE,"PASS"
"audit/report_harmonization/deviation_link_plan.csv","deviation-link plan","89ff952248bedb7ad7b9ce1a0652ec0046c99ea34e52832778a4f17ec2176051","89ff952248bedb7ad7b9ce1a0652ec0046c99ea34e52832778a4f17ec2176051",8748,8748,TRUE,TRUE,"PASS"
"notebooks/preregistration_deviations.qmd","central deviation page","b542018a0e127b280fc5a106928d8689307c420f2e62913f4047d5c4c292bc6d","b542018a0e127b280fc5a106928d8689307c420f2e62913f4047d5c4c292bc6d",94061,94061,TRUE,TRUE,"PASS"
"_build/nathealth/supplementary_information.html","accepted supplementary target","a0b5d097b12ee4a7cbfbcd5cb4740f1eac81bf1c9dba1e4e00a9d5644bfec4eb","a0b5d097b12ee4a7cbfbcd5cb4740f1eac81bf1c9dba1e4e00a9d5644bfec4eb",49234,49234,TRUE,TRUE,"PASS"
"audit/report_harmonization/phase4_corpus_manifest.csv","shared corpus manifest held","73f1a371f8352f1baf69d38f1613de1a662112642370b0cc89798b4d6d469334","73f1a371f8352f1baf69d38f1613de1a662112642370b0cc89798b4d6d469334",11937,11937,TRUE,TRUE,"PASS"
"_quarto.yml","base Quarto configuration","44e4a7435494d570baca6e7b0de75b15be015a52c811c076dd2b8b959d70f59c","44e4a7435494d570baca6e7b0de75b15be015a52c811c076dd2b8b959d70f59c",2517,2517,TRUE,TRUE,"PASS"
"scripts/pipeline/p_value_display.R","protected display helper","ea33b30d2c887b033c7e22e2358be7e403ce7116261a4d0c0fbc6bf214eeb1a2","ea33b30d2c887b033c7e22e2358be7e403ce7116261a4d0c0fbc6bf214eeb1a2",1750,1750,TRUE,TRUE,"PASS"
"config/site_display_registry.csv","site display registry","3d669d459ecc27d3154bbb5ff5b0d64cb510805d486b45264443228c44a6d809","3d669d459ecc27d3154bbb5ff5b0d64cb510805d486b45264443228c44a6d809",295,295,TRUE,TRUE,"PASS"
"tests/report_harmonization/test_post_render_gt_html_semantics.R","historical semantic transition test","696e3308275d366dcc4aefb8e60c36d7c4c42d02a88402e3d06717b6383d0fae","696e3308275d366dcc4aefb8e60c36d7c4c42d02a88402e3d06717b6383d0fae",16662,16662,TRUE,TRUE,"PASS"
