data_scenario_id,preparation,placement,placement_label,metric_order,metric_id,manuscript_name,availability_reason,participant_days
main,Primary dataset,chest,Chest,9,dose_time_sensitive_corrected_medi,melEDI dose,available,851
main,Primary dataset,chest,Chest,9,dose_time_sensitive_corrected_medi,melEDI dose,low_relevance_coverage,51
main,Primary dataset,glasses,Near eye,1,daily_geometric_mean_medi,Mean melEDI,available,816
main,Primary dataset,glasses,Near eye,2,m10_mean_medi,Brightest 10 h mean,available,816
main,Primary dataset,glasses,Near eye,3,l10_mean_medi,Darkest 10 h mean,available,816
main,Primary dataset,glasses,Near eye,4,duration_above_1000,"Time above 1,000 lx melEDI",available,816
main,Primary dataset,glasses,Near eye,5,duration_above_250_wake,Time above 250 lx melEDI during wake,available,737
main,Primary dataset,glasses,Near eye,5,duration_above_250_wake,Time above 250 lx melEDI during wake,incomplete_state_domain,38
main,Primary dataset,glasses,Near eye,5,duration_above_250_wake,Time above 250 lx melEDI during wake,insufficient_state_support,41
main,Primary dataset,glasses,Near eye,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,available,655
main,Primary dataset,glasses,Near eye,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,incomplete_state_domain,38
main,Primary dataset,glasses,Near eye,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,insufficient_state_support,109
main,Primary dataset,glasses,Near eye,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,no_state_window,14
main,Primary dataset,glasses,Near eye,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,available,778
main,Primary dataset,glasses,Near eye,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,incomplete_state_domain,38
main,Primary dataset,glasses,Near eye,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,available,816
main,Primary dataset,glasses,Near eye,9,dose_time_sensitive_corrected_medi,melEDI dose,available,761
main,Primary dataset,glasses,Near eye,9,dose_time_sensitive_corrected_medi,melEDI dose,low_relevance_coverage,55
