run_order,run_id,placement,placement_label,metric_order,metric_id,manuscript_name,display_order,site,site_name,participants,participant_days,metric_support_valid_hours,metric_support_expected_hours
1,main__glasses__all_available,glasses,Near eye,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,6,FUSPCEU,Madrid (ES),23,118,990.15,990.15
1,main__glasses__all_available,glasses,Near eye,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,7,IZTECH,Izmir (TR),17,99,832.6,832.6
1,main__glasses__all_available,glasses,Near eye,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,8,UCR,San José (CR),6,31,236.91666666666663,236.91666666666663
1,main__glasses__all_available,glasses,Near eye,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,9,KNUST,Kumasi (GH),15,81,643.7666666666667,644.7666666666667
1,main__glasses__all_available,glasses,Near eye,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,1,RISE,Borås (SE),13,78,1807.1666666666667,1871
1,main__glasses__all_available,glasses,Near eye,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,2,THUAS,Delft (NL),13,78,1796.4166666666667,1871
1,main__glasses__all_available,glasses,Near eye,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,3,BAUA,Dortmund (DE),18,107,2476.3333333333335,2568
1,main__glasses__all_available,glasses,Near eye,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,4,MPI,Tübingen (DE),26,150,3445.133333333333,3602
1,main__glasses__all_available,glasses,Near eye,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,5,TUM,Munich (DE),10,60,1374.4833333333331,1440
1,main__glasses__all_available,glasses,Near eye,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,6,FUSPCEU,Madrid (ES),23,129,3025.1666666666665,3098
1,main__glasses__all_available,glasses,Near eye,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,7,IZTECH,Izmir (TR),17,101,2348.0833333333335,2424
1,main__glasses__all_available,glasses,Near eye,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,8,UCR,San José (CR),6,32,732.2166666666667,768
1,main__glasses__all_available,glasses,Near eye,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,9,KNUST,Kumasi (GH),15,81,1846,1944
1,main__glasses__all_available,glasses,Near eye,9,dose_time_sensitive_corrected_medi,melEDI dose,1,RISE,Borås (SE),13,71,1657.2833333333333,1703
1,main__glasses__all_available,glasses,Near eye,9,dose_time_sensitive_corrected_medi,melEDI dose,2,THUAS,Delft (NL),13,74,1713.0166666666669,1775
1,main__glasses__all_available,glasses,Near eye,9,dose_time_sensitive_corrected_medi,melEDI dose,3,BAUA,Dortmund (DE),18,97,2261.116666666667,2328
1,main__glasses__all_available,glasses,Near eye,9,dose_time_sensitive_corrected_medi,melEDI dose,4,MPI,Tübingen (DE),26,137,3165.5,3289
1,main__glasses__all_available,glasses,Near eye,9,dose_time_sensitive_corrected_medi,melEDI dose,5,TUM,Munich (DE),10,55,1268.65,1320
1,main__glasses__all_available,glasses,Near eye,9,dose_time_sensitive_corrected_medi,melEDI dose,6,FUSPCEU,Madrid (ES),23,125,2942.4666666666667,3002
1,main__glasses__all_available,glasses,Near eye,9,dose_time_sensitive_corrected_medi,melEDI dose,7,IZTECH,Izmir (TR),17,96,2241.1833333333334,2304
1,main__glasses__all_available,glasses,Near eye,9,dose_time_sensitive_corrected_medi,melEDI dose,8,UCR,San José (CR),6,30,687.9333333333333,720
1,main__glasses__all_available,glasses,Near eye,9,dose_time_sensitive_corrected_medi,melEDI dose,9,KNUST,Kumasi (GH),15,76,1741.6666666666667,1824
2,main__chest__all_available,chest,Chest,1,daily_geometric_mean_medi,Mean melEDI,1,RISE,Borås (SE),16,96,2232.366666666667,2303
2,main__chest__all_available,chest,Chest,1,daily_geometric_mean_medi,Mean melEDI,2,THUAS,Delft (NL),15,93,2151.8,2231
2,main__chest__all_available,chest,Chest,1,daily_geometric_mean_medi,Mean melEDI,3,BAUA,Dortmund (DE),20,114,2651.233333333333,2736
2,main__chest__all_available,chest,Chest,1,daily_geometric_mean_medi,Mean melEDI,5,TUM,Munich (DE),10,60,1374.2,1440
2,main__chest__all_available,chest,Chest,1,daily_geometric_mean_medi,Mean melEDI,6,FUSPCEU,Madrid (ES),22,123,2890.25,2954
2,main__chest__all_available,chest,Chest,1,daily_geometric_mean_medi,Mean melEDI,7,IZTECH,Izmir (TR),17,102,2371.4,2448
2,main__chest__all_available,chest,Chest,1,daily_geometric_mean_medi,Mean melEDI,8,UCR,San José (CR),39,230,5305.516666666666,5520
2,main__chest__all_available,chest,Chest,1,daily_geometric_mean_medi,Mean melEDI,9,KNUST,Kumasi (GH),15,84,1914.9833333333331,2016
2,main__chest__all_available,chest,Chest,2,m10_mean_medi,Brightest 10 h mean,1,RISE,Borås (SE),16,96,,
2,main__chest__all_available,chest,Chest,2,m10_mean_medi,Brightest 10 h mean,2,THUAS,Delft (NL),15,93,,
2,main__chest__all_available,chest,Chest,2,m10_mean_medi,Brightest 10 h mean,3,BAUA,Dortmund (DE),20,114,,
2,main__chest__all_available,chest,Chest,2,m10_mean_medi,Brightest 10 h mean,5,TUM,Munich (DE),10,60,,
2,main__chest__all_available,chest,Chest,2,m10_mean_medi,Brightest 10 h mean,6,FUSPCEU,Madrid (ES),22,123,,
2,main__chest__all_available,chest,Chest,2,m10_mean_medi,Brightest 10 h mean,7,IZTECH,Izmir (TR),17,102,,
2,main__chest__all_available,chest,Chest,2,m10_mean_medi,Brightest 10 h mean,8,UCR,San José (CR),39,230,,
2,main__chest__all_available,chest,Chest,2,m10_mean_medi,Brightest 10 h mean,9,KNUST,Kumasi (GH),15,84,,
2,main__chest__all_available,chest,Chest,3,l10_mean_medi,Darkest 10 h mean,1,RISE,Borås (SE),16,96,,
2,main__chest__all_available,chest,Chest,3,l10_mean_medi,Darkest 10 h mean,2,THUAS,Delft (NL),15,93,,
2,main__chest__all_available,chest,Chest,3,l10_mean_medi,Darkest 10 h mean,3,BAUA,Dortmund (DE),20,114,,
2,main__chest__all_available,chest,Chest,3,l10_mean_medi,Darkest 10 h mean,5,TUM,Munich (DE),10,60,,
2,main__chest__all_available,chest,Chest,3,l10_mean_medi,Darkest 10 h mean,6,FUSPCEU,Madrid (ES),22,123,,
2,main__chest__all_available,chest,Chest,3,l10_mean_medi,Darkest 10 h mean,7,IZTECH,Izmir (TR),17,102,,
2,main__chest__all_available,chest,Chest,3,l10_mean_medi,Darkest 10 h mean,8,UCR,San José (CR),39,230,,
2,main__chest__all_available,chest,Chest,3,l10_mean_medi,Darkest 10 h mean,9,KNUST,Kumasi (GH),15,84,,
2,main__chest__all_available,chest,Chest,4,duration_above_1000,"Time above 1,000 lx melEDI",1,RISE,Borås (SE),16,96,2232.366666666667,2303
2,main__chest__all_available,chest,Chest,4,duration_above_1000,"Time above 1,000 lx melEDI",2,THUAS,Delft (NL),15,93,2151.8,2231
2,main__chest__all_available,chest,Chest,4,duration_above_1000,"Time above 1,000 lx melEDI",3,BAUA,Dortmund (DE),20,114,2651.233333333333,2736
2,main__chest__all_available,chest,Chest,4,duration_above_1000,"Time above 1,000 lx melEDI",5,TUM,Munich (DE),10,60,1374.2,1440
2,main__chest__all_available,chest,Chest,4,duration_above_1000,"Time above 1,000 lx melEDI",6,FUSPCEU,Madrid (ES),22,123,2890.25,2954
2,main__chest__all_available,chest,Chest,4,duration_above_1000,"Time above 1,000 lx melEDI",7,IZTECH,Izmir (TR),17,102,2371.4,2448
2,main__chest__all_available,chest,Chest,4,duration_above_1000,"Time above 1,000 lx melEDI",8,UCR,San José (CR),39,230,5305.516666666666,5520
2,main__chest__all_available,chest,Chest,4,duration_above_1000,"Time above 1,000 lx melEDI",9,KNUST,Kumasi (GH),15,84,1914.9833333333331,2016
2,main__chest__all_available,chest,Chest,5,duration_above_250_wake,Time above 250 lx melEDI during wake,1,RISE,Borås (SE),16,89,1125.9666666666667,1165.8666666666666
2,main__chest__all_available,chest,Chest,5,duration_above_250_wake,Time above 250 lx melEDI during wake,2,THUAS,Delft (NL),15,79,1000.5333333333332,1041.0333333333333
2,main__chest__all_available,chest,Chest,5,duration_above_250_wake,Time above 250 lx melEDI during wake,3,BAUA,Dortmund (DE),20,98,1198.65,1250.4833333333331
2,main__chest__all_available,chest,Chest,5,duration_above_250_wake,Time above 250 lx melEDI during wake,5,TUM,Munich (DE),10,54,654.8,690.6333333333333
2,main__chest__all_available,chest,Chest,5,duration_above_250_wake,Time above 250 lx melEDI during wake,6,FUSPCEU,Madrid (ES),22,111,1387.4833333333331,1416.3666666666666
2,main__chest__all_available,chest,Chest,5,duration_above_250_wake,Time above 250 lx melEDI during wake,7,IZTECH,Izmir (TR),17,95,1165.6,1208.1166666666666
2,main__chest__all_available,chest,Chest,5,duration_above_250_wake,Time above 250 lx melEDI during wake,8,UCR,San José (CR),39,211,2770.6666666666665,2902.4
2,main__chest__all_available,chest,Chest,5,duration_above_250_wake,Time above 250 lx melEDI during wake,9,KNUST,Kumasi (GH),15,81,994.0166666666668,1052.7
2,main__chest__all_available,chest,Chest,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,1,RISE,Borås (SE),16,81,237.56666666666663,241.46666666666667
2,main__chest__all_available,chest,Chest,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,2,THUAS,Delft (NL),14,63,184.28333333333333,185.81666666666663
2,main__chest__all_available,chest,Chest,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,3,BAUA,Dortmund (DE),20,92,269.03333333333336,271.3
2,main__chest__all_available,chest,Chest,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,5,TUM,Munich (DE),10,52,150.76666666666668,154.31666666666666
2,main__chest__all_available,chest,Chest,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,6,FUSPCEU,Madrid (ES),22,103,305.53333333333336,308.1333333333333
2,main__chest__all_available,chest,Chest,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,7,IZTECH,Izmir (TR),17,83,245.96666666666667,248.56666666666663
2,main__chest__all_available,chest,Chest,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,8,UCR,San José (CR),39,208,611.6666666666666,616.4
2,main__chest__all_available,chest,Chest,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,9,KNUST,Kumasi (GH),15,61,175.28333333333333,179.5
2,main__chest__all_available,chest,Chest,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,1,RISE,Borås (SE),16,92,725,726
2,main__chest__all_available,chest,Chest,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,2,THUAS,Delft (NL),15,83,667.8333333333334,668.8333333333334
2,main__chest__all_available,chest,Chest,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,3,BAUA,Dortmund (DE),20,102,848.6166666666667,848.6166666666667
2,main__chest__all_available,chest,Chest,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,5,TUM,Munich (DE),10,60,499.18333333333334,499.18333333333334
2,main__chest__all_available,chest,Chest,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,6,FUSPCEU,Madrid (ES),22,115,962.4166666666666,962.4166666666666
2,main__chest__all_available,chest,Chest,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,7,IZTECH,Izmir (TR),17,100,840.6,840.6
2,main__chest__all_available,chest,Chest,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,8,UCR,San José (CR),39,225,1653.45,1653.45
2,main__chest__all_available,chest,Chest,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,9,KNUST,Kumasi (GH),15,84,674.3166666666667,674.7666666666667
2,main__chest__all_available,chest,Chest,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,1,RISE,Borås (SE),16,96,2232.366666666667,2303
2,main__chest__all_available,chest,Chest,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,2,THUAS,Delft (NL),15,93,2151.8,2231
2,main__chest__all_available,chest,Chest,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,3,BAUA,Dortmund (DE),20,114,2651.233333333333,2736
2,main__chest__all_available,chest,Chest,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,5,TUM,Munich (DE),10,60,1374.2,1440
2,main__chest__all_available,chest,Chest,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,6,FUSPCEU,Madrid (ES),22,123,2890.25,2954
2,main__chest__all_available,chest,Chest,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,7,IZTECH,Izmir (TR),17,102,2371.4,2448
2,main__chest__all_available,chest,Chest,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,8,UCR,San José (CR),39,230,5305.516666666666,5520
2,main__chest__all_available,chest,Chest,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,9,KNUST,Kumasi (GH),15,84,1914.9833333333331,2016
2,main__chest__all_available,chest,Chest,9,dose_time_sensitive_corrected_medi,melEDI dose,1,RISE,Borås (SE),16,90,2104.55,2159
2,main__chest__all_available,chest,Chest,9,dose_time_sensitive_corrected_medi,melEDI dose,2,THUAS,Delft (NL),15,89,2068.4,2135
2,main__chest__all_available,chest,Chest,9,dose_time_sensitive_corrected_medi,melEDI dose,3,BAUA,Dortmund (DE),20,105,2456.85,2520
2,main__chest__all_available,chest,Chest,9,dose_time_sensitive_corrected_medi,melEDI dose,5,TUM,Munich (DE),10,55,1268.3666666666666,1320
2,main__chest__all_available,chest,Chest,9,dose_time_sensitive_corrected_medi,melEDI dose,6,FUSPCEU,Madrid (ES),22,118,2785.25,2834
2,main__chest__all_available,chest,Chest,9,dose_time_sensitive_corrected_medi,melEDI dose,7,IZTECH,Izmir (TR),17,98,2286.05,2352
2,main__chest__all_available,chest,Chest,9,dose_time_sensitive_corrected_medi,melEDI dose,8,UCR,San José (CR),39,217,5034.016666666666,5208
2,main__chest__all_available,chest,Chest,9,dose_time_sensitive_corrected_medi,melEDI dose,9,KNUST,Kumasi (GH),15,79,1811.4166666666667,1896
