placement,data_scenario_id,model_implementation_id,scenario,metric_order,metric_id,analysis_unit,stage,scope,site,model_observations,participants,participant_days,participant_hours,contributing_participant_days,metric_support_missing_observations,metric_support_valid_hours,metric_support_expected_hours,prepared_record_support_missing_observations,prepared_record_valid_melEDI_hours,prepared_record_valid_illuminance_hours,sites,excluded_observations,status
glasses,alternative_preprocessing,hypothesis_models,all_available,1,interdaily_stability,participant,metric_estimable,site,UCR,6,6,,,30,6,,,6,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,1,interdaily_stability,participant,metric_estimable,overall,ALL,141,141,,,811,141,,,141,,,9,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,1,interdaily_stability,participant,site_photoperiod_model,site,BAUA,18,18,,,106,18,,,18,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,1,interdaily_stability,participant,site_photoperiod_model,site,FUSPCEU,23,23,,,127,23,,,23,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,1,interdaily_stability,participant,site_photoperiod_model,site,IZTECH,17,17,,,102,17,,,17,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,1,interdaily_stability,participant,site_photoperiod_model,site,KNUST,15,15,,,80,15,,,15,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,1,interdaily_stability,participant,site_photoperiod_model,site,MPI,26,26,,,150,26,,,26,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,1,interdaily_stability,participant,site_photoperiod_model,site,RISE,13,13,,,78,13,,,13,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,1,interdaily_stability,participant,site_photoperiod_model,site,THUAS,13,13,,,78,13,,,13,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,1,interdaily_stability,participant,site_photoperiod_model,site,TUM,10,10,,,60,10,,,10,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,1,interdaily_stability,participant,site_photoperiod_model,site,UCR,6,6,,,30,6,,,6,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,1,interdaily_stability,participant,site_photoperiod_model,overall,ALL,141,141,,,811,141,,,141,,,9,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,1,interdaily_stability,participant,latitude_photoperiod_model,site,BAUA,18,18,,,106,18,,,18,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,1,interdaily_stability,participant,latitude_photoperiod_model,site,FUSPCEU,23,23,,,127,23,,,23,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,1,interdaily_stability,participant,latitude_photoperiod_model,site,IZTECH,17,17,,,102,17,,,17,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,1,interdaily_stability,participant,latitude_photoperiod_model,site,KNUST,15,15,,,80,15,,,15,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,1,interdaily_stability,participant,latitude_photoperiod_model,site,MPI,26,26,,,150,26,,,26,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,1,interdaily_stability,participant,latitude_photoperiod_model,site,RISE,13,13,,,78,13,,,13,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,1,interdaily_stability,participant,latitude_photoperiod_model,site,THUAS,13,13,,,78,13,,,13,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,1,interdaily_stability,participant,latitude_photoperiod_model,site,TUM,10,10,,,60,10,,,10,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,1,interdaily_stability,participant,latitude_photoperiod_model,site,UCR,6,6,,,30,6,,,6,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,1,interdaily_stability,participant,latitude_photoperiod_model,overall,ALL,141,141,,,811,141,,,141,,,9,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,2,intradaily_variability,participant,prepared_rows,site,BAUA,18,18,,,106,18,,,18,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,2,intradaily_variability,participant,prepared_rows,site,FUSPCEU,23,23,,,127,23,,,23,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,2,intradaily_variability,participant,prepared_rows,site,IZTECH,17,17,,,102,17,,,17,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,2,intradaily_variability,participant,prepared_rows,site,KNUST,15,15,,,80,15,,,15,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,2,intradaily_variability,participant,prepared_rows,site,MPI,26,26,,,150,26,,,26,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,2,intradaily_variability,participant,prepared_rows,site,RISE,13,13,,,78,13,,,13,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,2,intradaily_variability,participant,prepared_rows,site,THUAS,13,13,,,78,13,,,13,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,2,intradaily_variability,participant,prepared_rows,site,TUM,10,10,,,60,10,,,10,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,2,intradaily_variability,participant,prepared_rows,site,UCR,6,6,,,30,6,,,6,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,2,intradaily_variability,participant,prepared_rows,overall,ALL,141,141,,,811,141,,,141,,,9,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,2,intradaily_variability,participant,metric_estimable,site,BAUA,18,18,,,106,18,,,18,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,2,intradaily_variability,participant,metric_estimable,site,FUSPCEU,23,23,,,127,23,,,23,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,2,intradaily_variability,participant,metric_estimable,site,IZTECH,17,17,,,102,17,,,17,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,2,intradaily_variability,participant,metric_estimable,site,KNUST,15,15,,,80,15,,,15,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,2,intradaily_variability,participant,metric_estimable,site,MPI,26,26,,,150,26,,,26,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,2,intradaily_variability,participant,metric_estimable,site,RISE,13,13,,,78,13,,,13,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,2,intradaily_variability,participant,metric_estimable,site,THUAS,13,13,,,78,13,,,13,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,2,intradaily_variability,participant,metric_estimable,site,TUM,10,10,,,60,10,,,10,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,2,intradaily_variability,participant,metric_estimable,site,UCR,6,6,,,30,6,,,6,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,2,intradaily_variability,participant,metric_estimable,overall,ALL,141,141,,,811,141,,,141,,,9,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,2,intradaily_variability,participant,site_photoperiod_model,site,BAUA,18,18,,,106,18,,,18,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,2,intradaily_variability,participant,site_photoperiod_model,site,FUSPCEU,23,23,,,127,23,,,23,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,2,intradaily_variability,participant,site_photoperiod_model,site,IZTECH,17,17,,,102,17,,,17,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,2,intradaily_variability,participant,site_photoperiod_model,site,KNUST,15,15,,,80,15,,,15,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,2,intradaily_variability,participant,site_photoperiod_model,site,MPI,26,26,,,150,26,,,26,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,2,intradaily_variability,participant,site_photoperiod_model,site,RISE,13,13,,,78,13,,,13,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,2,intradaily_variability,participant,site_photoperiod_model,site,THUAS,13,13,,,78,13,,,13,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,2,intradaily_variability,participant,site_photoperiod_model,site,TUM,10,10,,,60,10,,,10,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,2,intradaily_variability,participant,site_photoperiod_model,site,UCR,6,6,,,30,6,,,6,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,2,intradaily_variability,participant,site_photoperiod_model,overall,ALL,141,141,,,811,141,,,141,,,9,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,2,intradaily_variability,participant,latitude_photoperiod_model,site,BAUA,18,18,,,106,18,,,18,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,2,intradaily_variability,participant,latitude_photoperiod_model,site,FUSPCEU,23,23,,,127,23,,,23,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,2,intradaily_variability,participant,latitude_photoperiod_model,site,IZTECH,17,17,,,102,17,,,17,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,2,intradaily_variability,participant,latitude_photoperiod_model,site,KNUST,15,15,,,80,15,,,15,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,2,intradaily_variability,participant,latitude_photoperiod_model,site,MPI,26,26,,,150,26,,,26,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,2,intradaily_variability,participant,latitude_photoperiod_model,site,RISE,13,13,,,78,13,,,13,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,2,intradaily_variability,participant,latitude_photoperiod_model,site,THUAS,13,13,,,78,13,,,13,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,2,intradaily_variability,participant,latitude_photoperiod_model,site,TUM,10,10,,,60,10,,,10,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,2,intradaily_variability,participant,latitude_photoperiod_model,site,UCR,6,6,,,30,6,,,6,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,2,intradaily_variability,participant,latitude_photoperiod_model,overall,ALL,141,141,,,811,141,,,141,,,9,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,3,daily_geometric_mean_medi,participant_day,prepared_rows,site,BAUA,106,18,106,,106,106,,,106,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,3,daily_geometric_mean_medi,participant_day,prepared_rows,site,FUSPCEU,127,23,127,,127,127,,,127,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,3,daily_geometric_mean_medi,participant_day,prepared_rows,site,IZTECH,102,17,102,,102,102,,,102,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,3,daily_geometric_mean_medi,participant_day,prepared_rows,site,KNUST,80,15,80,,80,80,,,80,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,3,daily_geometric_mean_medi,participant_day,prepared_rows,site,MPI,150,26,150,,150,150,,,150,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,3,daily_geometric_mean_medi,participant_day,prepared_rows,site,RISE,78,13,78,,78,78,,,78,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,3,daily_geometric_mean_medi,participant_day,prepared_rows,site,THUAS,78,13,78,,78,78,,,78,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,3,daily_geometric_mean_medi,participant_day,prepared_rows,site,TUM,60,10,60,,60,60,,,60,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,3,daily_geometric_mean_medi,participant_day,prepared_rows,site,UCR,30,6,30,,30,30,,,30,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,3,daily_geometric_mean_medi,participant_day,prepared_rows,overall,ALL,811,141,811,,811,811,,,811,,,9,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,3,daily_geometric_mean_medi,participant_day,metric_estimable,site,BAUA,106,18,106,,106,106,,,106,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,3,daily_geometric_mean_medi,participant_day,metric_estimable,site,FUSPCEU,127,23,127,,127,127,,,127,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,3,daily_geometric_mean_medi,participant_day,metric_estimable,site,IZTECH,102,17,102,,102,102,,,102,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,3,daily_geometric_mean_medi,participant_day,metric_estimable,site,KNUST,80,15,80,,80,80,,,80,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,3,daily_geometric_mean_medi,participant_day,metric_estimable,site,MPI,150,26,150,,150,150,,,150,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,3,daily_geometric_mean_medi,participant_day,metric_estimable,site,RISE,78,13,78,,78,78,,,78,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,3,daily_geometric_mean_medi,participant_day,metric_estimable,site,THUAS,78,13,78,,78,78,,,78,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,3,daily_geometric_mean_medi,participant_day,metric_estimable,site,TUM,60,10,60,,60,60,,,60,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,3,daily_geometric_mean_medi,participant_day,metric_estimable,site,UCR,30,6,30,,30,30,,,30,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,3,daily_geometric_mean_medi,participant_day,metric_estimable,overall,ALL,811,141,811,,811,811,,,811,,,9,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,3,daily_geometric_mean_medi,participant_day,site_photoperiod_model,site,BAUA,106,18,106,,106,106,,,106,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,3,daily_geometric_mean_medi,participant_day,site_photoperiod_model,site,FUSPCEU,127,23,127,,127,127,,,127,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,3,daily_geometric_mean_medi,participant_day,site_photoperiod_model,site,IZTECH,102,17,102,,102,102,,,102,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,3,daily_geometric_mean_medi,participant_day,site_photoperiod_model,site,KNUST,80,15,80,,80,80,,,80,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,3,daily_geometric_mean_medi,participant_day,site_photoperiod_model,site,MPI,150,26,150,,150,150,,,150,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,3,daily_geometric_mean_medi,participant_day,site_photoperiod_model,site,RISE,78,13,78,,78,78,,,78,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,3,daily_geometric_mean_medi,participant_day,site_photoperiod_model,site,THUAS,78,13,78,,78,78,,,78,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,3,daily_geometric_mean_medi,participant_day,site_photoperiod_model,site,TUM,60,10,60,,60,60,,,60,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,3,daily_geometric_mean_medi,participant_day,site_photoperiod_model,site,UCR,30,6,30,,30,30,,,30,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,3,daily_geometric_mean_medi,participant_day,site_photoperiod_model,overall,ALL,811,141,811,,811,811,,,811,,,9,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,3,daily_geometric_mean_medi,participant_day,latitude_photoperiod_model,site,BAUA,106,18,106,,106,106,,,106,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,3,daily_geometric_mean_medi,participant_day,latitude_photoperiod_model,site,FUSPCEU,127,23,127,,127,127,,,127,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,3,daily_geometric_mean_medi,participant_day,latitude_photoperiod_model,site,IZTECH,102,17,102,,102,102,,,102,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,3,daily_geometric_mean_medi,participant_day,latitude_photoperiod_model,site,KNUST,80,15,80,,80,80,,,80,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,3,daily_geometric_mean_medi,participant_day,latitude_photoperiod_model,site,MPI,150,26,150,,150,150,,,150,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,3,daily_geometric_mean_medi,participant_day,latitude_photoperiod_model,site,RISE,78,13,78,,78,78,,,78,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,3,daily_geometric_mean_medi,participant_day,latitude_photoperiod_model,site,THUAS,78,13,78,,78,78,,,78,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,3,daily_geometric_mean_medi,participant_day,latitude_photoperiod_model,site,TUM,60,10,60,,60,60,,,60,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,3,daily_geometric_mean_medi,participant_day,latitude_photoperiod_model,site,UCR,30,6,30,,30,30,,,30,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,3,daily_geometric_mean_medi,participant_day,latitude_photoperiod_model,overall,ALL,811,141,811,,811,811,,,811,,,9,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,4,m10_mean_medi,participant_day,prepared_rows,site,BAUA,106,18,106,,106,106,,,106,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,4,m10_mean_medi,participant_day,prepared_rows,site,FUSPCEU,127,23,127,,127,127,,,127,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,4,m10_mean_medi,participant_day,prepared_rows,site,IZTECH,102,17,102,,102,102,,,102,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,4,m10_mean_medi,participant_day,prepared_rows,site,KNUST,80,15,80,,80,80,,,80,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,4,m10_mean_medi,participant_day,prepared_rows,site,MPI,150,26,150,,150,150,,,150,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,4,m10_mean_medi,participant_day,prepared_rows,site,RISE,78,13,78,,78,78,,,78,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,4,m10_mean_medi,participant_day,prepared_rows,site,THUAS,78,13,78,,78,78,,,78,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,4,m10_mean_medi,participant_day,prepared_rows,site,TUM,60,10,60,,60,60,,,60,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,4,m10_mean_medi,participant_day,prepared_rows,site,UCR,30,6,30,,30,30,,,30,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,4,m10_mean_medi,participant_day,prepared_rows,overall,ALL,811,141,811,,811,811,,,811,,,9,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,4,m10_mean_medi,participant_day,metric_estimable,site,BAUA,106,18,106,,106,106,,,106,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,4,m10_mean_medi,participant_day,metric_estimable,site,FUSPCEU,127,23,127,,127,127,,,127,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,4,m10_mean_medi,participant_day,metric_estimable,site,IZTECH,102,17,102,,102,102,,,102,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,4,m10_mean_medi,participant_day,metric_estimable,site,KNUST,80,15,80,,80,80,,,80,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,4,m10_mean_medi,participant_day,metric_estimable,site,MPI,150,26,150,,150,150,,,150,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,4,m10_mean_medi,participant_day,metric_estimable,site,RISE,78,13,78,,78,78,,,78,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,4,m10_mean_medi,participant_day,metric_estimable,site,THUAS,78,13,78,,78,78,,,78,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,4,m10_mean_medi,participant_day,metric_estimable,site,TUM,60,10,60,,60,60,,,60,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,4,m10_mean_medi,participant_day,metric_estimable,site,UCR,30,6,30,,30,30,,,30,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,4,m10_mean_medi,participant_day,metric_estimable,overall,ALL,811,141,811,,811,811,,,811,,,9,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,4,m10_mean_medi,participant_day,site_photoperiod_model,site,BAUA,106,18,106,,106,106,,,106,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,4,m10_mean_medi,participant_day,site_photoperiod_model,site,FUSPCEU,127,23,127,,127,127,,,127,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,4,m10_mean_medi,participant_day,site_photoperiod_model,site,IZTECH,102,17,102,,102,102,,,102,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,4,m10_mean_medi,participant_day,site_photoperiod_model,site,KNUST,80,15,80,,80,80,,,80,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,4,m10_mean_medi,participant_day,site_photoperiod_model,site,MPI,150,26,150,,150,150,,,150,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,4,m10_mean_medi,participant_day,site_photoperiod_model,site,RISE,78,13,78,,78,78,,,78,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,4,m10_mean_medi,participant_day,site_photoperiod_model,site,THUAS,78,13,78,,78,78,,,78,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,4,m10_mean_medi,participant_day,site_photoperiod_model,site,TUM,60,10,60,,60,60,,,60,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,4,m10_mean_medi,participant_day,site_photoperiod_model,site,UCR,30,6,30,,30,30,,,30,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,4,m10_mean_medi,participant_day,site_photoperiod_model,overall,ALL,811,141,811,,811,811,,,811,,,9,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,4,m10_mean_medi,participant_day,latitude_photoperiod_model,site,BAUA,106,18,106,,106,106,,,106,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,4,m10_mean_medi,participant_day,latitude_photoperiod_model,site,FUSPCEU,127,23,127,,127,127,,,127,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,4,m10_mean_medi,participant_day,latitude_photoperiod_model,site,IZTECH,102,17,102,,102,102,,,102,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,4,m10_mean_medi,participant_day,latitude_photoperiod_model,site,KNUST,80,15,80,,80,80,,,80,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,4,m10_mean_medi,participant_day,latitude_photoperiod_model,site,MPI,150,26,150,,150,150,,,150,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,4,m10_mean_medi,participant_day,latitude_photoperiod_model,site,RISE,78,13,78,,78,78,,,78,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,4,m10_mean_medi,participant_day,latitude_photoperiod_model,site,THUAS,78,13,78,,78,78,,,78,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,4,m10_mean_medi,participant_day,latitude_photoperiod_model,site,TUM,60,10,60,,60,60,,,60,,,1,0,AVAILABLE
