path,expected_sha256,observed_sha256,expected_bytes,observed_bytes,disposition,status
artifacts/11_source_data/H06_daily/H06_daily_stage3_primary_site_deviation_figure.csv,12193a0a1795fe478bf4829a3986c2b1290510038e4c4aed59aa7e61714bcbcc,12193a0a1795fe478bf4829a3986c2b1290510038e4c4aed59aa7e61714bcbcc,85705,85705,UNCHANGED,PASS
audit/hypotheses/H06_daily/report018_order48a_display_repair/candidate_inventory.csv,f2fba3f0de841bac5392041c1f64bb95dd38ffa07fdea2bc4d0bb9bfe61e48d2,f2fba3f0de841bac5392041c1f64bb95dd38ffa07fdea2bc4d0bb9bfe61e48d2,1090,1090,UNCHANGED,PASS
audit/hypotheses/H06_daily/report018_order48a_display_repair/candidate_layer_audit.csv,031052120910dea46075b5084ee4f25d7f1ab9449f598d8b90393313e99d14c9,031052120910dea46075b5084ee4f25d7f1ab9449f598d8b90393313e99d14c9,137,137,UNCHANGED,PASS
audit/hypotheses/H06_daily/report018_order48a_display_repair/candidate_typography_contract.csv,ee93d75abb0c0795861e430b5ba4ccda38564db953895b6ee25de105c4f1f640,ee93d75abb0c0795861e430b5ba4ccda38564db953895b6ee25de105c4f1f640,658,658,UNCHANGED,PASS
audit/hypotheses/H06_daily/report018_order48a_display_repair/candidate_visual_qa.csv,c75704235b31426cdba482552af1a768ca18c96411e12094100e4dc86c219a92,c75704235b31426cdba482552af1a768ca18c96411e12094100e4dc86c219a92,2448,2448,UNCHANGED,PASS
audit/hypotheses/H06_daily/report018_order48a_display_repair/historical_baseline_reproduction.csv,27e655fb89cb077a8f3af4e9568f7953b1dc2930181d0e0b2ad4c6ae05d0511e,27e655fb89cb077a8f3af4e9568f7953b1dc2930181d0e0b2ad4c6ae05d0511e,2622,2622,UNCHANGED,PASS
audit/hypotheses/H06_daily/report018_order48a_display_repair/preimage_postimage_ledger.csv,e4deb1ecd2c42fef91c0d12db515bec4470f7d204189a08d138382c51fbd7e4d,e4deb1ecd2c42fef91c0d12db515bec4470f7d204189a08d138382c51fbd7e4d,2773,2773,UNCHANGED,PASS
audit/hypotheses/H06_daily/report018_order48a_display_repair/promotion_record.csv,5cc63cbea8a33e6a71c271d0977d10d0d403299fe3234baa82b25b9813e7ef01,5cc63cbea8a33e6a71c271d0977d10d0d403299fe3234baa82b25b9813e7ef01,150,150,UNCHANGED,PASS
audit/hypotheses/H06_daily/report018_order48a_display_repair/recoverable_preimages/H06_daily_non_l10_production_primary_absolute_effects.png,da67b5f8a27b49d7c4d0e6426563d79aaa540ef835e350d02fd952a3a134c686,da67b5f8a27b49d7c4d0e6426563d79aaa540ef835e350d02fd952a3a134c686,123076,123076,UNCHANGED,PASS
audit/hypotheses/H06_daily/report018_order48a_display_repair/recoverable_preimages/H06_daily_non_l10_production_primary_ratio_effects.png,a50f6b25c1c09abca1700870594d26a15e2085ec1c2a4c8eb5f6bc0f727cfa66,a50f6b25c1c09abca1700870594d26a15e2085ec1c2a4c8eb5f6bc0f727cfa66,123364,123364,UNCHANGED,PASS
audit/hypotheses/H06_daily/report018_order48a_display_repair/recoverable_preimages/H06_daily_stage3_fdr_overview.png,48283afc83e9ebcd0f7d02177dacc162287940126c335b47efab11cc54c9edd9,48283afc83e9ebcd0f7d02177dacc162287940126c335b47efab11cc54c9edd9,534607,534607,UNCHANGED,PASS
audit/hypotheses/H06_daily/report018_order48a_display_repair/recoverable_preimages/H06_daily_stage3_fdr_overview.svg,ef8a3ba3d502804c5b7a01f9d21fada9d598006b8d6fcd83f0c721bd96dbda84,ef8a3ba3d502804c5b7a01f9d21fada9d598006b8d6fcd83f0c721bd96dbda84,24947,24947,UNCHANGED,PASS
audit/hypotheses/H06_daily/report018_order48a_display_repair/recoverable_preimages/H06_daily_stage3_primary_site_deviations.png,a1ddd2ae719d5a6ab11c1c591801d4b4aa7cb06f9eb0bcad7c983d8024fd86e1,a1ddd2ae719d5a6ab11c1c591801d4b4aa7cb06f9eb0bcad7c983d8024fd86e1,476355,476355,UNCHANGED,PASS
audit/hypotheses/H06_daily/report018_order48a_display_repair/recoverable_preimages/H06_daily_stage3_primary_site_deviations.svg,b23f9a6838c2ecc476bdb5e68c203e0c7a85d05479a65841f75ee02d21e20b1c,b23f9a6838c2ecc476bdb5e68c203e0c7a85d05479a65841f75ee02d21e20b1c,72789,72789,UNCHANGED,PASS
audit/hypotheses/H06_daily/report018_order48a_display_repair/source_input_inventory.csv,488b1515865b336d7bd81726001604c017855df3e8b951d4554b2baf23c08c83,488b1515865b336d7bd81726001604c017855df3e8b951d4554b2baf23c08c83,1636,1636,UNCHANGED,PASS
config/site_display_registry.csv,3d669d459ecc27d3154bbb5ff5b0d64cb510805d486b45264443228c44a6d809,3d669d459ecc27d3154bbb5ff5b0d64cb510805d486b45264443228c44a6d809,295,295,UNCHANGED,PASS
notebooks/hypotheses/H06_daily.qmd,8f696f3f89fe9ea18c8066b756a01fc5da6b41e86f8ac7d37d1e16f9c10ba639,8f696f3f89fe9ea18c8066b756a01fc5da6b41e86f8ac7d37d1e16f9c10ba639,65349,65349,UNCHANGED,PASS
scripts/hypotheses/H06_daily/refresh_h06_daily_order48_figures.R,154091b99da11b51b8e41a53f1532c0bf7a57f44ec6e58b35d0fa19913bf2ce6,154091b99da11b51b8e41a53f1532c0bf7a57f44ec6e58b35d0fa19913bf2ce6,34869,34869,UNCHANGED,PASS
tests/hypotheses/H06_daily/test_h06_daily_order48_display_repair.R,aca33f5815bb34979513caa7a50a9a38ba66e7bb22d228c8c04f6afb010e42f7,06abb903f7de51792d1dbb57d8ffcfd26ddf02ebd2455f646ae3f12db6ee6109,63149,66973,AUTHORIZED_VERIFIER_TRANSITION,PASS
