relative_path,role,expected_sha256,observed_sha256,expected_bytes,observed_bytes,disposition,status
artifacts/06_model_data/H06_daily/H06_daily_joint_context_exploratory_frame_registry.csv,protected member,34679dd10561ab4ca8a442d6a765daa7705f059bd4f6e0f07cb29b1b61f9a1fb,34679dd10561ab4ca8a442d6a765daa7705f059bd4f6e0f07cb29b1b61f9a1fb,3613,3613,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_joint_context_exploratory_frames.rds,protected member,9276c0ff0450c2a6dca603f38a4e9f24a957b84a936a1f68ec35ae3f593e4fb8,9276c0ff0450c2a6dca603f38a4e9f24a957b84a936a1f68ec35ae3f593e4fb8,261074,261074,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__gap_timing_unaware__chest__all_available__activity_status__positive_magnitude__frame.rds,protected member,d86edc91d73f8a5715e2c91adc0dfd5f05b87dc302894f243064b57ba752d1e3,d86edc91d73f8a5715e2c91adc0dfd5f05b87dc302894f243064b57ba752d1e3,20044,20044,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__gap_timing_unaware__chest__all_available__activity_status__zero_occurrence__frame.rds,protected member,660180a125ef0a06dbcf91a54c47eb74529157cbbe3310dab85d19796ae4d04d,660180a125ef0a06dbcf91a54c47eb74529157cbbe3310dab85d19796ae4d04d,15152,15152,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__gap_timing_unaware__chest__all_available__previous_sleep_duration_centered_h__positive_magnitude__frame.rds,protected member,c9a968464160b7d36237f06868fb8b14b170ab04c15b317ab2b3551151fe60de,c9a968464160b7d36237f06868fb8b14b170ab04c15b317ab2b3551151fe60de,20872,20872,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__gap_timing_unaware__chest__all_available__previous_sleep_duration_centered_h__zero_occurrence__frame.rds,protected member,ddaa762f14c8433ea00264408d235034138b8d48b9e70fbac8f93a0c96350702,ddaa762f14c8433ea00264408d235034138b8d48b9e70fbac8f93a0c96350702,15844,15844,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__gap_timing_unaware__chest__all_available__work_free_day__positive_magnitude__frame.rds,protected member,c79f5c8d6b01ad653209fe36325c49f6146e459d7e7fb15598a57195fa9abed1,c79f5c8d6b01ad653209fe36325c49f6146e459d7e7fb15598a57195fa9abed1,20720,20720,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__gap_timing_unaware__chest__all_available__work_free_day__zero_occurrence__frame.rds,protected member,cc22b2ec08fc896c52584fe091ab31e676e46c1c21ed62b063ed3da2f4cbf596,cc22b2ec08fc896c52584fe091ab31e676e46c1c21ed62b063ed3da2f4cbf596,15848,15848,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__gap_timing_unaware__near_eye__all_available__activity_status__positive_magnitude__frame.rds,protected member,fce9cdd040a5a8c52f0fa1cafc1cd762b4306efce4db2215c5bdbe3a18f331cf,fce9cdd040a5a8c52f0fa1cafc1cd762b4306efce4db2215c5bdbe3a18f331cf,18288,18288,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__gap_timing_unaware__near_eye__all_available__activity_status__zero_occurrence__frame.rds,protected member,0d7e6faebb20e0fe4d083e188863470ad7499829907155928c5f7c63ef37d64f,0d7e6faebb20e0fe4d083e188863470ad7499829907155928c5f7c63ef37d64f,14312,14312,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__gap_timing_unaware__near_eye__all_available__previous_sleep_duration_centered_h__positive_magnitude__frame.rds,protected member,c14dbaefaa2ad55b5c7af1b815ef17f75a82787f3c84c94cd7bf67544bd349ce,c14dbaefaa2ad55b5c7af1b815ef17f75a82787f3c84c94cd7bf67544bd349ce,19204,19204,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__gap_timing_unaware__near_eye__all_available__previous_sleep_duration_centered_h__zero_occurrence__frame.rds,protected member,7c696eb6994eeeb7cfe17a237351e19ab20ceb50855aae2ce44cc0911c975d07,7c696eb6994eeeb7cfe17a237351e19ab20ceb50855aae2ce44cc0911c975d07,14836,14836,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__gap_timing_unaware__near_eye__all_available__work_free_day__positive_magnitude__frame.rds,protected member,805146003ef411871a04d066671570bce39a99fbcc90320983e4ffbae43fb90f,805146003ef411871a04d066671570bce39a99fbcc90320983e4ffbae43fb90f,19048,19048,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__gap_timing_unaware__near_eye__all_available__work_free_day__zero_occurrence__frame.rds,protected member,63f2d4d67574cf2ac92860fcdd2ba1bd7b306e11483390a170d671c2a4b70068,63f2d4d67574cf2ac92860fcdd2ba1bd7b306e11483390a170d671c2a4b70068,14832,14832,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__primary__chest__all_available__activity_status__positive_magnitude__frame.rds,protected member,3d6a2be6bca021fe787c6898fc0097ac25c0c7a97a49f86e1ea36257fdddc414,3d6a2be6bca021fe787c6898fc0097ac25c0c7a97a49f86e1ea36257fdddc414,20084,20084,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__primary__chest__all_available__activity_status__zero_occurrence__frame.rds,protected member,700a00786cbeefbd57a131f04d08d2c0b016e52de5388abb790344a54aadad7a,700a00786cbeefbd57a131f04d08d2c0b016e52de5388abb790344a54aadad7a,15276,15276,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__primary__chest__all_available__previous_sleep_duration_centered_h__positive_magnitude__frame.rds,protected member,647b3336a9693ef4d94ed103bb299e324ab59fdfa6dd146e124ae4b7110d8255,647b3336a9693ef4d94ed103bb299e324ab59fdfa6dd146e124ae4b7110d8255,20976,20976,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__primary__chest__all_available__previous_sleep_duration_centered_h__zero_occurrence__frame.rds,protected member,49c0bb50ad04008546fe6c27abbc0bb99de546cdd3164f4264554a9dbb5ec7b1,49c0bb50ad04008546fe6c27abbc0bb99de546cdd3164f4264554a9dbb5ec7b1,15928,15928,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__primary__chest__all_available__work_free_day__positive_magnitude__frame.rds,protected member,f8deb5e250647e4def68a1dc7d0f2e2ce3b7958bd584c744c89c2080a918b116,f8deb5e250647e4def68a1dc7d0f2e2ce3b7958bd584c744c89c2080a918b116,20968,20968,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__primary__chest__all_available__work_free_day__zero_occurrence__frame.rds,protected member,a74f62ff91ec98d4a4182850358c1a3fc4cd40841ab2199ca95b18a84bba87c4,a74f62ff91ec98d4a4182850358c1a3fc4cd40841ab2199ca95b18a84bba87c4,15932,15932,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__primary__chest__paired_common__activity_status__positive_magnitude__frame.rds,protected member,3f6609d6f6b4af11cd6a1d111bd9f671c5677ab9bbb3022848e8596a7030e176,3f6609d6f6b4af11cd6a1d111bd9f671c5677ab9bbb3022848e8596a7030e176,15340,15340,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__primary__chest__paired_common__activity_status__zero_occurrence__frame.rds,protected member,10e635db261a92b98af99d5eb6f8092221004d3bc92079631e2bf391e3039395,10e635db261a92b98af99d5eb6f8092221004d3bc92079631e2bf391e3039395,12164,12164,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__primary__chest__paired_common__previous_sleep_duration_centered_h__positive_magnitude__frame.rds,protected member,fc74a32756cb60d447f89e135eb27ffd85b6f9c5e06da2966696d1354983d373,fc74a32756cb60d447f89e135eb27ffd85b6f9c5e06da2966696d1354983d373,15952,15952,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__primary__chest__paired_common__previous_sleep_duration_centered_h__zero_occurrence__frame.rds,protected member,c5f0516de1845c87efde4152c2a7117845dd5cbfe913d636a2a6cac2e58fbe6f,c5f0516de1845c87efde4152c2a7117845dd5cbfe913d636a2a6cac2e58fbe6f,12620,12620,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__primary__chest__paired_common__work_free_day__positive_magnitude__frame.rds,protected member,c0d43701bc7e6e534c0088ad4d78fbcfc06ba294a31b55d39d6a93d61347776e,c0d43701bc7e6e534c0088ad4d78fbcfc06ba294a31b55d39d6a93d61347776e,15944,15944,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__primary__chest__paired_common__work_free_day__zero_occurrence__frame.rds,protected member,07806ea9011a092a70907a3421343dc6d5cdb78e1046b3aa1530b8186af0e3c4,07806ea9011a092a70907a3421343dc6d5cdb78e1046b3aa1530b8186af0e3c4,12616,12616,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__primary__near_eye__all_available__activity_status__positive_magnitude__frame.rds,protected member,9c455cfe6a26b6f13888c0f3997a68e4ea596a914b5bb42f777e5084c7ccf5d8,9c455cfe6a26b6f13888c0f3997a68e4ea596a914b5bb42f777e5084c7ccf5d8,18400,18400,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__primary__near_eye__all_available__activity_status__zero_occurrence__frame.rds,protected member,2b0ac10dbe547674192129f08ed64587e3f5ee8f56a3bec2822f7a0d5a9aad59,2b0ac10dbe547674192129f08ed64587e3f5ee8f56a3bec2822f7a0d5a9aad59,14372,14372,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__primary__near_eye__all_available__previous_sleep_duration_centered_h__positive_magnitude__frame.rds,protected member,8bf0c9d954f8b8333da5c03b6e0e4f0907d34d360a464b34e7e14963545f3354,8bf0c9d954f8b8333da5c03b6e0e4f0907d34d360a464b34e7e14963545f3354,19276,19276,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__primary__near_eye__all_available__previous_sleep_duration_centered_h__zero_occurrence__frame.rds,protected member,68feb0d76da0f92f63ea62d35b4a9f7af8f2d651f3d52e8a99a9b51d8843d48d,68feb0d76da0f92f63ea62d35b4a9f7af8f2d651f3d52e8a99a9b51d8843d48d,14948,14948,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__primary__near_eye__all_available__work_free_day__positive_magnitude__frame.rds,protected member,2f852860f51296930852bf4c802133c64022c78ba3196c6d33268a91e7bd3f29,2f852860f51296930852bf4c802133c64022c78ba3196c6d33268a91e7bd3f29,19284,19284,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__primary__near_eye__all_available__work_free_day__zero_occurrence__frame.rds,protected member,c674ab22cd08786ecaa074b548d0475be0a8c20f5098cae96d3fc5ab75dc1ecd,c674ab22cd08786ecaa074b548d0475be0a8c20f5098cae96d3fc5ab75dc1ecd,14940,14940,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__primary__near_eye__paired_common__activity_status__positive_magnitude__frame.rds,protected member,1b76d5fe7eeeced03427dd0d1c39945d3f1e617deb9109d01a5a70e638ff68b6,1b76d5fe7eeeced03427dd0d1c39945d3f1e617deb9109d01a5a70e638ff68b6,14972,14972,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__primary__near_eye__paired_common__activity_status__zero_occurrence__frame.rds,protected member,852228378badd7b05f85f35554335192a48f68c7bb52868b98b6f3e41c98b8ea,852228378badd7b05f85f35554335192a48f68c7bb52868b98b6f3e41c98b8ea,12104,12104,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__primary__near_eye__paired_common__previous_sleep_duration_centered_h__positive_magnitude__frame.rds,protected member,f67ea4b2e407c67cc3a4fa7d719393a24d90eb586392a8684dd6c10e464c7908,f67ea4b2e407c67cc3a4fa7d719393a24d90eb586392a8684dd6c10e464c7908,15680,15680,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__primary__near_eye__paired_common__previous_sleep_duration_centered_h__zero_occurrence__frame.rds,protected member,93c60ec30c07ff76ecc1b6431956726c9d6384e601709b59b9a6c974f4177232,93c60ec30c07ff76ecc1b6431956726c9d6384e601709b59b9a6c974f4177232,12588,12588,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__primary__near_eye__paired_common__work_free_day__positive_magnitude__frame.rds,protected member,a6272d2c040da7be5694dbd9341912fdbddde6bde7b186af3fd19e0c749bc366,a6272d2c040da7be5694dbd9341912fdbddde6bde7b186af3fd19e0c749bc366,15680,15680,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__primary__near_eye__paired_common__work_free_day__zero_occurrence__frame.rds,protected member,f564caa392c8a93b55fb77e8b92b1d4c30eac1a149973388360db7f1fef5d786,f564caa392c8a93b55fb77e8b92b1d4c30eac1a149973388360db7f1fef5d786,12576,12576,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_metric011_frame_registry.csv,protected member,ff771012e7b81a16aa0e311660f425548bbbb9404b441de26c9bda6b5ca04475,ff771012e7b81a16aa0e311660f425548bbbb9404b441de26c9bda6b5ca04475,22995,22995,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_metric011_metric_contract.csv,protected member,c2c0ba46163050e40efe31d409af8233eaa4b5b30f8c4a61631a354f2326a2f5,c2c0ba46163050e40efe31d409af8233eaa4b5b30f8c4a61631a354f2326a2f5,461,461,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_metric011_metric_slot_registry.csv,protected member,7cf6041131f2f8c98f5c2ed87aed6adebf098017b6d1b4d70e96cc8597400160,7cf6041131f2f8c98f5c2ed87aed6adebf098017b6d1b4d70e96cc8597400160,859,859,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_shiftlog_pilot__activity_status__frame.rds,protected member,fcb52b653aea3c4ca106c3fd1b92a477651b83b2a8ea976f3ed258b4a62d5c4e,fcb52b653aea3c4ca106c3fd1b92a477651b83b2a8ea976f3ed258b4a62d5c4e,19056,19056,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_shiftlog_pilot__previous_sleep_duration_centered_h__frame.rds,protected member,ef254fbdd01e20c3b6fe19f3043b7e39f181d6100c6449091568d4b36292568f,ef254fbdd01e20c3b6fe19f3043b7e39f181d6100c6449091568d4b36292568f,19888,19888,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_shiftlog_pilot__work_free_day__frame.rds,protected member,49591cedba3d0e822b677235985d7c4dc274a3030c84ad05b23bf71bff04444e,49591cedba3d0e822b677235985d7c4dc274a3030c84ad05b23bf71bff04444e,19876,19876,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_l10_shiftlog_pilot_frame_registry.csv,protected member,19797b82c4a1ae4c654c5bf453b15fb6075b7d0a00317144d83a778daa8ee695,19797b82c4a1ae4c654c5bf453b15fb6075b7d0a00317144d83a778daa8ee695,2640,2640,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_mder_metric010__gap_timing_unaware__chest__all_available__activity_status__frame.rds,protected member,8aaae0d530e976c7b21e36c770e93968594207c163edb8499bbf4466522039b4,8aaae0d530e976c7b21e36c770e93968594207c163edb8499bbf4466522039b4,30697,30697,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_mder_metric010__gap_timing_unaware__chest__all_available__previous_sleep_duration_centered_h__frame.rds,protected member,6393f4ba1074b22c8f7391822c74d470896ea829a93146bb79603ffb94b16da2,6393f4ba1074b22c8f7391822c74d470896ea829a93146bb79603ffb94b16da2,32253,32253,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_mder_metric010__gap_timing_unaware__chest__all_available__work_free_day__frame.rds,protected member,17ed13318905c50f1afc5c81670b4a8a82c4753081d20238868312e32758125b,17ed13318905c50f1afc5c81670b4a8a82c4753081d20238868312e32758125b,32172,32172,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_mder_metric010__gap_timing_unaware__chest__dataset_common__activity_status__frame.rds,protected member,8aaae0d530e976c7b21e36c770e93968594207c163edb8499bbf4466522039b4,8aaae0d530e976c7b21e36c770e93968594207c163edb8499bbf4466522039b4,30697,30697,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_mder_metric010__gap_timing_unaware__chest__dataset_common__previous_sleep_duration_centered_h__frame.rds,protected member,6393f4ba1074b22c8f7391822c74d470896ea829a93146bb79603ffb94b16da2,6393f4ba1074b22c8f7391822c74d470896ea829a93146bb79603ffb94b16da2,32253,32253,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_mder_metric010__gap_timing_unaware__chest__dataset_common__work_free_day__frame.rds,protected member,17ed13318905c50f1afc5c81670b4a8a82c4753081d20238868312e32758125b,17ed13318905c50f1afc5c81670b4a8a82c4753081d20238868312e32758125b,32172,32172,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_mder_metric010__gap_timing_unaware__chest__paired_common__activity_status__frame.rds,protected member,0f028c4c04d2c5a5918dc703e13cafaebec949ec0d72e8b3dc4e9af039a9ef7c,0f028c4c04d2c5a5918dc703e13cafaebec949ec0d72e8b3dc4e9af039a9ef7c,21835,21835,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_mder_metric010__gap_timing_unaware__chest__paired_common__previous_sleep_duration_centered_h__frame.rds,protected member,c3ffa92fc671fb6f37a6458cfc524151471b6a961d669041a1801a09d68bb7fd,c3ffa92fc671fb6f37a6458cfc524151471b6a961d669041a1801a09d68bb7fd,22799,22799,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_mder_metric010__gap_timing_unaware__chest__paired_common__work_free_day__frame.rds,protected member,b62c2bd5ce6117f376f4418a676ead224e615594cc913c70dd3bd3b741269687,b62c2bd5ce6117f376f4418a676ead224e615594cc913c70dd3bd3b741269687,22740,22740,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_mder_metric010__gap_timing_unaware__near_eye__all_available__activity_status__frame.rds,protected member,924327671e797624782b4bb116299f60ef9acc2e799bcd15bf1c5cc02d77a176,924327671e797624782b4bb116299f60ef9acc2e799bcd15bf1c5cc02d77a176,29320,29320,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_mder_metric010__gap_timing_unaware__near_eye__all_available__previous_sleep_duration_centered_h__frame.rds,protected member,d941761d2d07bd74f3817f279e13b9a59c5cae358f79acbabe1e950ca5707748,d941761d2d07bd74f3817f279e13b9a59c5cae358f79acbabe1e950ca5707748,30621,30621,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_mder_metric010__gap_timing_unaware__near_eye__all_available__work_free_day__frame.rds,protected member,6e759b6606f6308bb8fd2f03b82a87f99aac90c6cdd79ba75592cd559769d5d8,6e759b6606f6308bb8fd2f03b82a87f99aac90c6cdd79ba75592cd559769d5d8,30542,30542,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_mder_metric010__gap_timing_unaware__near_eye__dataset_common__activity_status__frame.rds,protected member,924327671e797624782b4bb116299f60ef9acc2e799bcd15bf1c5cc02d77a176,924327671e797624782b4bb116299f60ef9acc2e799bcd15bf1c5cc02d77a176,29320,29320,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_mder_metric010__gap_timing_unaware__near_eye__dataset_common__previous_sleep_duration_centered_h__frame.rds,protected member,d941761d2d07bd74f3817f279e13b9a59c5cae358f79acbabe1e950ca5707748,d941761d2d07bd74f3817f279e13b9a59c5cae358f79acbabe1e950ca5707748,30621,30621,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_mder_metric010__gap_timing_unaware__near_eye__dataset_common__work_free_day__frame.rds,protected member,6e759b6606f6308bb8fd2f03b82a87f99aac90c6cdd79ba75592cd559769d5d8,6e759b6606f6308bb8fd2f03b82a87f99aac90c6cdd79ba75592cd559769d5d8,30542,30542,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_mder_metric010__gap_timing_unaware__near_eye__paired_common__activity_status__frame.rds,protected member,592655dc819ba0539960a61f2c8e686d437b966759ecbf3b285e2ca05b78a745,592655dc819ba0539960a61f2c8e686d437b966759ecbf3b285e2ca05b78a745,21774,21774,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_mder_metric010__gap_timing_unaware__near_eye__paired_common__previous_sleep_duration_centered_h__frame.rds,protected member,fe0dfef067b73979e85b4c3afdefb89ee174b5322c14b7e2907861f3a92b267e,fe0dfef067b73979e85b4c3afdefb89ee174b5322c14b7e2907861f3a92b267e,22752,22752,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_mder_metric010__gap_timing_unaware__near_eye__paired_common__work_free_day__frame.rds,protected member,635541c87e25e0023600056bc5ffcfc58ad7b3248e39cef6e8dfbc1cd2209450,635541c87e25e0023600056bc5ffcfc58ad7b3248e39cef6e8dfbc1cd2209450,22692,22692,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_mder_metric010__primary__chest__all_available__activity_status__frame.rds,protected member,1b15f618829b472495883c50ff4215a67346610ae379cfcf61c88e6bc9cffd91,1b15f618829b472495883c50ff4215a67346610ae379cfcf61c88e6bc9cffd91,37670,37670,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_mder_metric010__primary__chest__all_available__previous_sleep_duration_centered_h__frame.rds,protected member,3aee0b94df611c9c972206c7ebb83bbd0a82f343297b7f2ad75b0955443b237c,3aee0b94df611c9c972206c7ebb83bbd0a82f343297b7f2ad75b0955443b237c,39660,39660,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_mder_metric010__primary__chest__all_available__work_free_day__frame.rds,protected member,d686804e13c88398839edd127fc15fc5ff5c2ae36d615101f6b3e2d1a7d59631,d686804e13c88398839edd127fc15fc5ff5c2ae36d615101f6b3e2d1a7d59631,39567,39567,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_mder_metric010__primary__chest__dataset_common__activity_status__frame.rds,protected member,4d28914be7c8c6bcd6470fe4602b61c12373f3afdb0fe976c2f5cf237f8c54b2,4d28914be7c8c6bcd6470fe4602b61c12373f3afdb0fe976c2f5cf237f8c54b2,37261,37261,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_mder_metric010__primary__chest__dataset_common__previous_sleep_duration_centered_h__frame.rds,protected member,49bba99f391b77e091bbc97d97cb14d46c87e83f7fb821e6d70cfd8ebed0828d,49bba99f391b77e091bbc97d97cb14d46c87e83f7fb821e6d70cfd8ebed0828d,39266,39266,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_mder_metric010__primary__chest__dataset_common__work_free_day__frame.rds,protected member,4d8e6d38b9bb37807c9adec52dde62a0d754f92de5449bac3e499764a7c94079,4d8e6d38b9bb37807c9adec52dde62a0d754f92de5449bac3e499764a7c94079,39172,39172,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_mder_metric010__primary__chest__paired_common__activity_status__frame.rds,protected member,ba64a5a72a55866bdded16cff7b2d340f1f4c2c22b27732e6e82ae532911f139,ba64a5a72a55866bdded16cff7b2d340f1f4c2c22b27732e6e82ae532911f139,23180,23180,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_mder_metric010__primary__chest__paired_common__previous_sleep_duration_centered_h__frame.rds,protected member,88a947e8db3f48371781c5e909b1b643002141d35585f0f4f85bcfc1fc98a02d,88a947e8db3f48371781c5e909b1b643002141d35585f0f4f85bcfc1fc98a02d,24230,24230,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_mder_metric010__primary__chest__paired_common__work_free_day__frame.rds,protected member,8368c1476f660af4a4049ca58feae48cd0b0e2e5ca55e727b856bd2b339d318e,8368c1476f660af4a4049ca58feae48cd0b0e2e5ca55e727b856bd2b339d318e,24169,24169,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_mder_metric010__primary__near_eye__all_available__activity_status__frame.rds,protected member,be8cca9362ead6c2a9763fed3d00f8755c530517717cb045be76bbac4a8bb150,be8cca9362ead6c2a9763fed3d00f8755c530517717cb045be76bbac4a8bb150,36190,36190,UNCHANGED,PASS
