path,expected_sha256,observed_sha256,expected_bytes,observed_bytes,disposition,status
audit/hypotheses/H06_daily/report018_order48_result_render/figure_final_size_typography_audit.csv,0307bbca17f31d2b6ef30613c0efadde8fb3f0df8012eff94fdddab9afcfdae9,0307bbca17f31d2b6ef30613c0efadde8fb3f0df8012eff94fdddab9afcfdae9,3337,3337,UNCHANGED,PASS
audit/hypotheses/H06_daily/report018_order48_result_render/placement_tab_content_audit.csv,345e6f590aaecc685e3961d1ea087fe42de30adc9e9bb720803691c503e6d6f2,345e6f590aaecc685e3961d1ea087fe42de30adc9e9bb720803691c503e6d6f2,3800,3800,UNCHANGED,PASS
notebooks/hypotheses/H06_daily.qmd,01213a193515c49419dcd1ed9cffcc070a88d639a7382e218275a89bd704cb08,8f696f3f89fe9ea18c8066b756a01fc5da6b41e86f8ac7d37d1e16f9c10ba639,65344,65349,AUTHORIZED_QMD_POSTIMAGE,PASS
_build/nathealth/notebooks/hypotheses/H06_daily.html,15c537269ac0be96ce06c6b574946dc0b98d46afe36c3c696f804a216a7d0c76,15c537269ac0be96ce06c6b574946dc0b98d46afe36c3c696f804a216a7d0c76,11691631,11691631,UNCHANGED,PASS
audit/hypotheses/H06_daily/H06_daily_analysis_preparation.qmd,ef4fde67d5dd2ebbb14deb76c025b5ac2ac9b6a34f7b34ca62c2fdb382bde709,ef4fde67d5dd2ebbb14deb76c025b5ac2ac9b6a34f7b34ca62c2fdb382bde709,35409,35409,UNCHANGED,PASS
_build/nathealth/audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html,7f3adfd0d80c9e083baa34f6aa056bc12e0a30e233f786fbc55a6ad6ac176259,7f3adfd0d80c9e083baa34f6aa056bc12e0a30e233f786fbc55a6ad6ac176259,4613650,4613650,UNCHANGED,PASS
_quarto-nathealth.yml,80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3,80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3,7480,7480,UNCHANGED,PASS
_quarto.yml,44e4a7435494d570baca6e7b0de75b15be015a52c811c076dd2b8b959d70f59c,44e4a7435494d570baca6e7b0de75b15be015a52c811c076dd2b8b959d70f59c,2517,2517,UNCHANGED,PASS
scripts/report_harmonization/post_render_gt_html_semantics.R,28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205,28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205,21453,21453,UNCHANGED,PASS
scripts/report_harmonization/repair_gt_html_semantics.R,7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1,7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1,17747,17747,UNCHANGED,PASS
artifacts/11_source_data/H06_daily/H06_daily_stage3_placement_results.csv,55fc295f3d5ad4e4e19fc0dce745d64c1c954ada15e99ca7e28086058dd9769b,55fc295f3d5ad4e4e19fc0dce745d64c1c954ada15e99ca7e28086058dd9769b,112128,112128,UNCHANGED,PASS
artifacts/11_source_data/H06_daily/H06_daily_non_l10_production_primary_ratio_effects.csv,c7a1c0018e82db71e2fb0fe74d6e3e5a6645948017b10dd938fce18f6c5c2a9d,c7a1c0018e82db71e2fb0fe74d6e3e5a6645948017b10dd938fce18f6c5c2a9d,5398,5398,UNCHANGED,PASS
artifacts/11_source_data/H06_daily/H06_daily_non_l10_production_primary_absolute_effects.csv,2b695be686e6fdfdef9bdad4082be1fdcd1100e0d3d763fac35b4a75b8df11a7,2b695be686e6fdfdef9bdad4082be1fdcd1100e0d3d763fac35b4a75b8df11a7,4958,4958,UNCHANGED,PASS
artifacts/11_source_data/H06_daily/H06_daily_stage3_fdr_overview_figure.csv,4a9a7c3f0877872e2efe7bfddd73afac1c50299f60474bd8d328ce945f17ddf1,4a9a7c3f0877872e2efe7bfddd73afac1c50299f60474bd8d328ce945f17ddf1,24744,24744,UNCHANGED,PASS
artifacts/11_source_data/H06_daily/H06_daily_stage3_primary_site_deviation_figure.csv,12193a0a1795fe478bf4829a3986c2b1290510038e4c4aed59aa7e61714bcbcc,12193a0a1795fe478bf4829a3986c2b1290510038e4c4aed59aa7e61714bcbcc,85705,85705,UNCHANGED,PASS
config/site_display_registry.csv,3d669d459ecc27d3154bbb5ff5b0d64cb510805d486b45264443228c44a6d809,3d669d459ecc27d3154bbb5ff5b0d64cb510805d486b45264443228c44a6d809,295,295,UNCHANGED,PASS
artifacts/10_figures/H06_daily/H06_daily_non_l10_production_primary_ratio_effects.png,a50f6b25c1c09abca1700870594d26a15e2085ec1c2a4c8eb5f6bc0f727cfa66,a50f6b25c1c09abca1700870594d26a15e2085ec1c2a4c8eb5f6bc0f727cfa66,123364,123364,UNCHANGED,PASS
artifacts/10_figures/H06_daily/H06_daily_non_l10_production_primary_absolute_effects.png,da67b5f8a27b49d7c4d0e6426563d79aaa540ef835e350d02fd952a3a134c686,da67b5f8a27b49d7c4d0e6426563d79aaa540ef835e350d02fd952a3a134c686,123076,123076,UNCHANGED,PASS
artifacts/10_figures/H06_daily/H06_daily_stage3_fdr_overview.png,48283afc83e9ebcd0f7d02177dacc162287940126c335b47efab11cc54c9edd9,48283afc83e9ebcd0f7d02177dacc162287940126c335b47efab11cc54c9edd9,534607,534607,UNCHANGED,PASS
artifacts/10_figures/H06_daily/H06_daily_stage3_fdr_overview.svg,ef8a3ba3d502804c5b7a01f9d21fada9d598006b8d6fcd83f0c721bd96dbda84,ef8a3ba3d502804c5b7a01f9d21fada9d598006b8d6fcd83f0c721bd96dbda84,24947,24947,UNCHANGED,PASS
artifacts/10_figures/H06_daily/H06_daily_stage3_primary_site_deviations.png,a1ddd2ae719d5a6ab11c1c591801d4b4aa7cb06f9eb0bcad7c983d8024fd86e1,a1ddd2ae719d5a6ab11c1c591801d4b4aa7cb06f9eb0bcad7c983d8024fd86e1,476355,476355,UNCHANGED,PASS
artifacts/10_figures/H06_daily/H06_daily_stage3_primary_site_deviations.svg,b23f9a6838c2ecc476bdb5e68c203e0c7a85d05479a65841f75ee02d21e20b1c,b23f9a6838c2ecc476bdb5e68c203e0c7a85d05479a65841f75ee02d21e20b1c,72789,72789,UNCHANGED,PASS
artifacts/10_figures/H06_daily/H06_daily_temporal_h02_primary_context_functions.png,e28c639f23b3f33687ca046a77069153bb66073d29cd03d96fd03408c4317d98,e28c639f23b3f33687ca046a77069153bb66073d29cd03d96fd03408c4317d98,256215,256215,UNCHANGED,PASS
tests/hypotheses/H06_daily/test_h06_daily_stage3_reader_report.R,16e3d02bbfe443928708a8a6e2c793a04c47281afaa8993116e1c27d0bdaa8d2,16e3d02bbfe443928708a8a6e2c793a04c47281afaa8993116e1c27d0bdaa8d2,21760,21760,UNCHANGED,PASS
artifacts/12_manifests/H06_daily/H06_daily_stage3_output_manifest.csv,7c7658fca61687b0124f0f49a1b773fd1a101af7a5e6be641cd1adc2eb09c01e,7c7658fca61687b0124f0f49a1b773fd1a101af7a5e6be641cd1adc2eb09c01e,14087,14087,UNCHANGED,PASS
artifacts/12_manifests/H06_daily/H06_daily_stage3_revision_figure_readability_qa.csv,75f3e82a7fcfa6b846fbb13b5441d892767b322073222bd7b6d433ecfa318064,75f3e82a7fcfa6b846fbb13b5441d892767b322073222bd7b6d433ecfa318064,5315,5315,UNCHANGED,PASS
scripts/hypotheses/H06_daily/make_h06_daily_non_l10_production_figures.R,81fedfd17adb611a40e358f9977b72b05f7280077c6ff18b41702fd00a30cc06,81fedfd17adb611a40e358f9977b72b05f7280077c6ff18b41702fd00a30cc06,6867,6867,UNCHANGED,PASS
scripts/hypotheses/H06_daily/build_h06_daily_stage3_reader.R,0ad86f6d36f50c012770aa97048026ed52e9bf386430589693d49316e7b6f7d9,0ad86f6d36f50c012770aa97048026ed52e9bf386430589693d49316e7b6f7d9,35174,35174,UNCHANGED,PASS
scripts/hypotheses/H06_daily/build_h06_daily_stage3_revision_inputs.R,c8637cd229f8955729950ca59970926e705c38d0c3b9f025665bb6b862600aca,c8637cd229f8955729950ca59970926e705c38d0c3b9f025665bb6b862600aca,46872,46872,UNCHANGED,PASS
scripts/hypotheses/H06_daily/refresh_h06_daily_stage3_site_deviation_labels.R,6ecdf76296fca9f479a06d319274cc6c5d03366867e0f69c5c8b15845013ab8d,6ecdf76296fca9f479a06d319274cc6c5d03366867e0f69c5c8b15845013ab8d,7436,7436,UNCHANGED,PASS
audit/report_harmonization/phase4_corpus_manifest.csv,73f1a371f8352f1baf69d38f1613de1a662112642370b0cc89798b4d6d469334,73f1a371f8352f1baf69d38f1613de1a662112642370b0cc89798b4d6d469334,11937,11937,UNCHANGED,PASS
audit/handoffs/H06_daily_worker_handoff.md,70482aaaa6c7de7554d54e2c193c3f4de1b6a2fb959ff64993e91cfb89550095,70482aaaa6c7de7554d54e2c193c3f4de1b6a2fb959ff64993e91cfb89550095,34395,34395,UNCHANGED,PASS
renv.lock,3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350,3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350,603493,603493,UNCHANGED,PASS
.Rprofile,3f9d62fc3f1bf5888a09816101b705f9844ef4cd44ee5ad157f4168dac4af4d4,3f9d62fc3f1bf5888a09816101b705f9844ef4cd44ee5ad157f4168dac4af4d4,26,26,UNCHANGED,PASS
renv/activate.R,51798a35c2772b94b4a73ae7a7cc928975ff6e628a17bad1bc73d30defca82e6,51798a35c2772b94b4a73ae7a7cc928975ff6e628a17bad1bc73d30defca82e6,39946,39946,UNCHANGED,PASS
audit/report_harmonization/coordination_matrix.csv,96fd1fbdd9ab44dd2d0838f529e8e412866fbacec781721b73342bfa2466a470,e208a935121cb031bf76669575daf885ec22103bd2c70c86c717bd8de444c20c,29639,29490,AUTHORIZED_DISPATCH_TRANSITION,PASS
audit/report_harmonization/report018_h06_daily_result_release.md,20ab904bbe4bcbd2a7c8b8abcf434a8ed2c033d0db6682589bcbaec07aaa2137,20ab904bbe4bcbd2a7c8b8abcf434a8ed2c033d0db6682589bcbaec07aaa2137,9205,9205,UNCHANGED,PASS
audit/report_harmonization/report018_h06_daily_result_release_manifest.csv,14e42dcb2c0037589acb4520f1f39e55313c3a43704713aef447d32cfb22ed59,14e42dcb2c0037589acb4520f1f39e55313c3a43704713aef447d32cfb22ed59,4376,4376,UNCHANGED,PASS
audit/report_harmonization/owner_orders/48_h06_daily_result_render.md,861ac979127df7fcdc03f74e80e536a7c524453ccacb0b8b6b26c8537c50e186,861ac979127df7fcdc03f74e80e536a7c524453ccacb0b8b6b26c8537c50e186,9214,9214,UNCHANGED,PASS
audit/report_harmonization/report018_h06_daily_order48_dispatch_manifest.csv,4de5cb9a18009e4d9df2c4b3c7aa22864241678d127424d1678c32f9ca69e0ea,4de5cb9a18009e4d9df2c4b3c7aa22864241678d127424d1678c32f9ca69e0ea,7539,7539,UNCHANGED,PASS
