order,link_text,href,local,resolved_path,target_exists,forbidden_internal_target,status
32,primary predictor scope,../../notebooks/preregistration_deviations.html#dev-030,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/../../notebooks/preregistration_deviations.html,TRUE,FALSE,PASS
33,model and site structure,../../notebooks/preregistration_deviations.html#dev-031,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/../../notebooks/preregistration_deviations.html,TRUE,FALSE,PASS
34,multiplicity and contrast decisions,../../notebooks/preregistration_deviations.html#dev-032,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/../../notebooks/preregistration_deviations.html,TRUE,FALSE,PASS
35,complete primary results,../../artifacts/11_source_data/H06_daily/H06_daily_stage3_primary_results.csv,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/../../artifacts/11_source_data/H06_daily/H06_daily_stage3_primary_results.csv,TRUE,FALSE,PASS
36,complete complementary placement results,../../artifacts/11_source_data/H06_daily/H06_daily_stage3_placement_results.csv,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/../../artifacts/11_source_data/H06_daily/H06_daily_stage3_placement_results.csv,TRUE,FALSE,PASS
37,complete gap-timing-unaware results,../../artifacts/11_source_data/H06_daily/H06_daily_stage3_gap_results.csv,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/../../artifacts/11_source_data/H06_daily/H06_daily_stage3_gap_results.csv,TRUE,FALSE,PASS
38,primary site-specific interaction estimates,../../artifacts/11_source_data/H06_daily/H06_daily_stage3_primary_site_interaction_estimates.csv,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/../../artifacts/11_source_data/H06_daily/H06_daily_stage3_primary_site_interaction_estimates.csv,TRUE,FALSE,PASS
39,mutually adjusted common-sample stability results,../../artifacts/11_source_data/H06_daily/H06_daily_joint_context_exploratory_stability.csv,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/../../artifacts/11_source_data/H06_daily/H06_daily_joint_context_exploratory_stability.csv,TRUE,FALSE,PASS
40,mutually adjusted site estimates,../../artifacts/11_source_data/H06_daily/H06_daily_joint_context_exploratory_site_estimates.csv,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/../../artifacts/11_source_data/H06_daily/H06_daily_joint_context_exploratory_site_estimates.csv,TRUE,FALSE,PASS
41,main hourly H06 comparison,../../artifacts/11_source_data/H06_daily/H06_daily_stage3_main_hourly_comparison.csv,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/../../artifacts/11_source_data/H06_daily/H06_daily_stage3_main_hourly_comparison.csv,TRUE,FALSE,PASS
42,30-minute temporal GAMM summary,../../artifacts/11_source_data/H06_daily/H06_daily_stage3_temporal_gamm_summary.csv,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/../../artifacts/11_source_data/H06_daily/H06_daily_stage3_temporal_gamm_summary.csv,TRUE,FALSE,PASS
43,12-family primary and sensitivity summary,../../artifacts/11_source_data/H06_daily/H06_daily_stage3_family_summary.csv,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/../../artifacts/11_source_data/H06_daily/H06_daily_stage3_family_summary.csv,TRUE,FALSE,PASS
44,model-check classification summary,../../artifacts/11_source_data/H06_daily/H06_daily_stage3_diagnostic_summary.csv,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/../../artifacts/11_source_data/H06_daily/H06_daily_stage3_diagnostic_summary.csv,TRUE,FALSE,PASS
