placement,sample_scenario,metric_order,metric_id,manuscript_name,estimate_main,estimate_gap_timing_unaware,conf_low_main,conf_low_gap_timing_unaware,conf_high_main,conf_high_gap_timing_unaware,p_adjusted_main,p_adjusted_gap_timing_unaware,adjusted_significant_main,adjusted_significant_gap_timing_unaware,participants_main,participants_gap_timing_unaware,participant_days_main,participant_days_gap_timing_unaware,sites_main,sites_gap_timing_unaware,row_key_hash_main,row_key_hash_gap_timing_unaware,exact_common_keys,stability_classification
glasses,all_available,2,m10_mean_medi,Brightest 10 h mean,-0.06985729087185912,-0.059518814907700016,-0.14518886006010845,-0.13292042264886747,0.005474278316390219,0.013882792833467439,0.16003911637249282,0.2550562832929807,FALSE,FALSE,141,141,816,811,9,9,25702bb348901735e44c17f7342b6653ed1f1e450a2700c269690472425bb0f1,e3cb946628555c4b277767992c79327826b151e78d9a882a930f97da60f36b4b,,stable within model uncertainty
glasses,all_available,3,l10_mean_medi,Darkest 10 h mean,0.010384381224478142,0.005618284769096115,-0.029728149664584973,-0.03408060985474043,0.05049691211354126,0.04531717939293266,0.6885354822094747,0.8676596715829991,FALSE,FALSE,141,141,816,811,9,9,25702bb348901735e44c17f7342b6653ed1f1e450a2700c269690472425bb0f1,e3cb946628555c4b277767992c79327826b151e78d9a882a930f97da60f36b4b,,stable within model uncertainty
glasses,all_available,4,duration_above_1000,"Time above 1,000 lx melEDI",-0.13281875215496758,-0.13154325332716385,-0.26793245182869707,-0.26746876186104684,0.002294947518761914,0.004382255206719171,0.16003911637249282,0.2550562832929807,FALSE,FALSE,141,141,816,811,9,9,25702bb348901735e44c17f7342b6653ed1f1e450a2700c269690472425bb0f1,e3cb946628555c4b277767992c79327826b151e78d9a882a930f97da60f36b4b,,stable within model uncertainty
glasses,all_available,5,duration_above_250_wake,Time above 250 lx melEDI during wake,-0.1053697079782573,-0.12154985958703905,-0.2159408763765933,-0.23361070517212207,0.005201460420078685,-0.009489014001956023,0.16003911637249282,0.2550562832929807,FALSE,FALSE,141,140,737,755,9,9,3097ca37533a81a8009274f251ec65fb2fbc09044f8f796d9f0f42e1443c7c80,0685311f69640083b09993c0f3ec818ab040314cdc8d2ed922d83ce230dbdd71,,precision-sensitive
glasses,all_available,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,0.06274563540691916,0.06494098233251598,-0.062443501863366224,-0.05178368856236974,0.18793477267720454,0.1816656532274017,0.4215641243963805,0.3560483307820795,FALSE,FALSE,139,141,655,780,9,9,6d2f283781ab3130ba2caacbcbde035f8a0d2b1c8818f4b45ad57fb46943af14,f2d1d578349c41e7e7fd61aea76d6264f96f88ce5f1f219c4541513424976ef5,,stable within model uncertainty
glasses,all_available,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,-0.00218331399520316,-0.0030146814551533737,-0.03711842130738444,-0.03847567465686499,0.03275179331697812,0.032446311746558244,0.902507450654676,0.8676596715829991,FALSE,FALSE,141,141,778,790,9,9,d596e734fdd69bd06887b1be05ef2592538649b4853eaac2d68646c80660f820,5e9367064155630c75ec88613ea4ff9ad765f117fdb15dcf51c04109bd230da6,,stable within model uncertainty
glasses,all_available,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,-0.037856503245056884,-0.03383548769237343,-0.0817561777201808,-0.07875683536532686,0.006043171230067035,0.01108585998058001,0.16720433630010997,0.2550562832929807,FALSE,FALSE,141,141,816,811,9,9,25702bb348901735e44c17f7342b6653ed1f1e450a2700c269690472425bb0f1,e3cb946628555c4b277767992c79327826b151e78d9a882a930f97da60f36b4b,,stable within model uncertainty
glasses,all_available,9,dose_time_sensitive_corrected_medi,melEDI dose,-0.07275260529338083,-0.05884807863288177,-0.14510811690196485,-0.13297309679155675,-3.9709368479680374e-4,0.015276939525793204,0.16003911637249282,0.2550562832929807,FALSE,FALSE,141,141,761,811,9,9,b1ce4b966797511254650262b1a4d5dad4a0c83dca0f90c108e8de32f19e1a8b,e3cb946628555c4b277767992c79327826b151e78d9a882a930f97da60f36b4b,,precision-sensitive
chest,main_gap_common_sample,1,daily_geometric_mean_medi,Mean melEDI,-0.029499862865652874,-0.02928924547218869,-0.0763625750581191,-0.07636253038236712,0.01736284932681335,0.017784039437989736,,,FALSE,FALSE,154,154,894,894,8,8,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,TRUE,stable within model uncertainty
chest,main_gap_common_sample,2,m10_mean_medi,Brightest 10 h mean,-0.05134899858639793,-0.05192753464598292,-0.11905963176394291,-0.11818964008459541,0.01636163459114704,0.014334570792629578,,,FALSE,FALSE,154,154,894,894,8,8,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,TRUE,stable within model uncertainty
chest,main_gap_common_sample,3,l10_mean_medi,Darkest 10 h mean,0.0059407247498145035,0.0016762601493106326,-0.030185301333722936,-0.03343931059149657,0.04206675083335194,0.03679183089011783,,,FALSE,FALSE,154,154,894,894,8,8,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,TRUE,stable within model uncertainty
chest,main_gap_common_sample,4,duration_above_1000,"Time above 1,000 lx melEDI",-0.13582164896873788,-0.13650910285605286,-0.2527875754910544,-0.25485921533236644,-0.018855722446421364,-0.018158990379739254,,,FALSE,FALSE,154,154,894,894,8,8,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,TRUE,stable within model uncertainty
chest,main_gap_common_sample,5,duration_above_250_wake,Time above 250 lx melEDI during wake,-0.08465137467684501,-0.0840333858844802,-0.17536318139112061,-0.1753143701323713,0.006060432037430591,0.0072475983634109065,,,FALSE,FALSE,153,153,800,800,8,8,41fc6dc744f173fe8847f1de44c27e0a60cebd1a4a697932da5be93f0160494d,41fc6dc744f173fe8847f1de44c27e0a60cebd1a4a697932da5be93f0160494d,TRUE,stable within model uncertainty
chest,main_gap_common_sample,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,0.06671352640343457,0.06789515005612597,-0.037212117157040814,-0.035819477065428706,0.17063916996390996,0.17160977717768064,,,FALSE,FALSE,153,153,740,740,8,8,ba2d480b26573b4d58d04f198d396f2257e85c118ec7a67c9d93938c48d30da6,ba2d480b26573b4d58d04f198d396f2257e85c118ec7a67c9d93938c48d30da6,TRUE,stable within model uncertainty
chest,main_gap_common_sample,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,-0.002123685057308198,-0.001871607219619943,-0.030263581816801895,-0.030001773060107678,0.0260162117021855,0.02625855862086779,,,FALSE,FALSE,154,154,853,853,8,8,75e4aafe14768c22016def3e25ff8de8b92aa0dc3a64376ad608d7d442ae9e31,75e4aafe14768c22016def3e25ff8de8b92aa0dc3a64376ad608d7d442ae9e31,TRUE,stable within model uncertainty
chest,main_gap_common_sample,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,-0.034285270838016586,-0.03501900311051959,-0.0694335723482642,-0.07127967046736008,8.630306722310285e-4,0.0012416642463209046,,,FALSE,FALSE,154,154,894,894,8,8,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,TRUE,stable within model uncertainty
chest,main_gap_common_sample,9,dose_time_sensitive_corrected_medi,melEDI dose,-0.06177283192604015,-0.06098876512384954,-0.12442782597676892,-0.1238809634121425,8.821621246886263e-4,0.0019034331644434133,,,FALSE,FALSE,154,154,847,847,8,8,4191db606baf26b4b445175f54d82b81dd6e1e140e4772dbe2673930533be54b,4191db606baf26b4b445175f54d82b81dd6e1e140e4772dbe2673930533be54b,TRUE,stable within model uncertainty
glasses,main_gap_common_sample,1,daily_geometric_mean_medi,Mean melEDI,-0.03916915587093909,-0.03978243219764263,-0.09138018411465697,-0.09221068721105413,0.01304187237277879,0.012645822815768863,,,FALSE,FALSE,141,141,809,809,9,9,61039a9159cf67f3ff487eb424ac12bc6635491c324a2ba837ea7cbc2f2c4f60,61039a9159cf67f3ff487eb424ac12bc6635491c324a2ba837ea7cbc2f2c4f60,TRUE,stable within model uncertainty
glasses,main_gap_common_sample,2,m10_mean_medi,Brightest 10 h mean,-0.06988242614416762,-0.06963928550399885,-0.14563894489664864,-0.14216243661763495,0.005874092608313397,0.002883865609637243,,,FALSE,FALSE,141,141,809,809,9,9,61039a9159cf67f3ff487eb424ac12bc6635491c324a2ba837ea7cbc2f2c4f60,61039a9159cf67f3ff487eb424ac12bc6635491c324a2ba837ea7cbc2f2c4f60,TRUE,stable within model uncertainty
glasses,main_gap_common_sample,3,l10_mean_medi,Darkest 10 h mean,0.008928954729880745,0.004504518693393994,-0.03160776487298017,-0.035104963457779324,0.04946567433274167,0.04411400084456731,,,FALSE,FALSE,141,141,809,809,9,9,61039a9159cf67f3ff487eb424ac12bc6635491c324a2ba837ea7cbc2f2c4f60,61039a9159cf67f3ff487eb424ac12bc6635491c324a2ba837ea7cbc2f2c4f60,TRUE,stable within model uncertainty
glasses,main_gap_common_sample,4,duration_above_1000,"Time above 1,000 lx melEDI",-0.13358930743214717,-0.13535751919050362,-0.26838468750551336,-0.2714054374340784,0.0012060726412190526,6.903990530711945e-4,,,FALSE,FALSE,141,141,809,809,9,9,61039a9159cf67f3ff487eb424ac12bc6635491c324a2ba837ea7cbc2f2c4f60,61039a9159cf67f3ff487eb424ac12bc6635491c324a2ba837ea7cbc2f2c4f60,TRUE,stable within model uncertainty
glasses,main_gap_common_sample,5,duration_above_250_wake,Time above 250 lx melEDI during wake,-0.10674677397411698,-0.10920139815234277,-0.21809401574441578,-0.22129568581902526,0.004600467796181826,0.0028928895143397193,,,FALSE,FALSE,140,140,719,719,9,9,487838b79c56de5ec9d4018148d95f87ba7403db3c27dc53d7e093cb49ee6be5,487838b79c56de5ec9d4018148d95f87ba7403db3c27dc53d7e093cb49ee6be5,TRUE,stable within model uncertainty
glasses,main_gap_common_sample,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,0.06108602959379059,0.0627027474733004,-0.06444345590538705,-0.06272070070276975,0.18661551509296823,0.18812619564937055,,,FALSE,FALSE,139,139,653,653,9,9,30860cb14cfa1a0380cd9f6e85ca6fb419e6e7047876156324d53ece69f8bbad,30860cb14cfa1a0380cd9f6e85ca6fb419e6e7047876156324d53ece69f8bbad,TRUE,stable within model uncertainty
glasses,main_gap_common_sample,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,-0.002423000850639856,-0.0017912491084281833,-0.03736096639186998,-0.036711646515306506,0.032514964690590266,0.03312914829845014,,,FALSE,FALSE,141,141,771,771,9,9,96bfe1b74f38a7947cfed2ff2764099d6039ddc4e5c0b7c317c18db5f0c4b230,96bfe1b74f38a7947cfed2ff2764099d6039ddc4e5c0b7c317c18db5f0c4b230,TRUE,stable within model uncertainty
glasses,main_gap_common_sample,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,-0.03736215756845239,-0.03701586187401143,-0.08147163811624197,-0.08200640190290365,0.006747322979337195,0.007974678154880795,,,FALSE,FALSE,141,141,809,809,9,9,61039a9159cf67f3ff487eb424ac12bc6635491c324a2ba837ea7cbc2f2c4f60,61039a9159cf67f3ff487eb424ac12bc6635491c324a2ba837ea7cbc2f2c4f60,TRUE,stable within model uncertainty
glasses,main_gap_common_sample,9,dose_time_sensitive_corrected_medi,melEDI dose,-0.07413480607460976,-0.07721372475150311,-0.1465698174697781,-0.14994162664507926,-0.0016997946794414243,-0.004485822857926952,,,FALSE,FALSE,141,141,757,757,9,9,6fd158f13e1ee47e142818f79c89ce27de5622ff4623af8484644e27825f9a2d,6fd158f13e1ee47e142818f79c89ce27de5622ff4623af8484644e27825f9a2d,TRUE,stable within model uncertainty
