run_id,data_scenario,placement,sample_scenario,analytical_role,metric_order,metric_id,manuscript_name,abbreviation,manuscript_category,analysis_unit,response_family,response_transform,effect_scale,display_unit,predictor,deleted_participant,observations_after_deletion,participants_after_deletion,estimate_model_after_deletion,conf_low_model_after_deletion,conf_high_model_after_deletion,estimate_change_from_full,change_in_full_standard_errors,sign_reversal,converged,positive_definite_hessian,singular,warnings,error,deletion_status
primary__chest__all_available,primary,chest,all_available,complementary_chest,7,duration_above_250_wake,Time above 250 lx melEDI during wake,TAT250,duration-based,participant_day,tweedie_log,identity,ratio,h,age,THUAS:THUAS_S001,812,153,0.13986139507274872,0.05301402392102863,0.2267087662244688,-0.00631545417403983,0.1421259994107009,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,7,duration_above_250_wake,Time above 250 lx melEDI during wake,TAT250,duration-based,participant_day,tweedie_log,identity,ratio,h,biological_sex,THUAS:THUAS_S001,812,153,-0.12646540006662435,-0.305042819945412,0.05211201981216329,-0.01104115092303342,0.12019576864055911,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,TBT10,duration-based,participant_day,gaussian,identity,difference,h,age,BAUA:BAUA_S017,737,152,-0.0979015578009897,-0.2062121529978903,0.01040903739591092,0.00745361553596564,0.13545334677640777,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,TBT10,duration-based,participant_day,gaussian,identity,difference,h,biological_sex,BAUA:BAUA_S017,737,152,0.02730388742299442,-0.1887635971131003,0.24337137195908917,0.0149647959664829,0.13587116225012927,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,TBT1,duration-based,participant_day,tweedie_log,identity,ratio,h,age,BAUA:BAUA_S025,857,153,0.01248172958949908,-0.01558456377054709,0.04054802294954526,-1.1669541916203494e-5,8.164354105410947e-4,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,TBT1,duration-based,participant_day,tweedie_log,identity,ratio,h,biological_sex,BAUA:BAUA_S025,857,153,0.05384705397025242,-0.00153594183136526,0.10923004977187008,-0.00132300423579189,0.04711986386404986,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,PAT250,duration-based,participant_day,gaussian,log10_offset_0.1,ratio,h,age,BAUA:BAUA_S012,896,153,0.07196023669264433,0.03722756812408135,0.10669290526120732,0.00111564139024618,0.06310882929525784,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,PAT250,duration-based,participant_day,gaussian,log10_offset_0.1,ratio,h,biological_sex,BAUA:BAUA_S012,896,153,-0.06069381546379191,-0.13281435387952176,0.01142672295193793,0.00165574846953612,0.04529851134732528,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,11,m10_midpoint,Midpoint of the brightest 10 hours,M10,timing-based,participant_day,gaussian,clock_minutes,difference,clock time,age,KNUST:KNUST_S007,898,153,-1.1549063023244768,-11.000474242505485,8.690661637856529,-0.05224605903881207,0.01039913706280048,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,11,m10_midpoint,Midpoint of the brightest 10 hours,M10,timing-based,participant_day,gaussian,clock_minutes,difference,clock time,biological_sex,KNUST:KNUST_S007,898,153,6.881270642995569,-12.661487133489668,26.424028419480805,-0.8128500482151271,0.08180294926154909,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,12,l10_midpoint,Midpoint of the darkest 10 hours,L10,timing-based,participant_day,gaussian,clock_minutes_after_16,difference,clock time,age,THUAS:THUAS_S002,897,153,-0.2641457975161791,-9.766624302889772,9.238332707857415,-1.0202112365553668,0.20448785579549889,TRUE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,12,l10_midpoint,Midpoint of the darkest 10 hours,L10,timing-based,participant_day,gaussian,clock_minutes_after_16,difference,clock time,biological_sex,THUAS:THUAS_S002,897,153,2.2802850740790244,-16.597862220410516,21.158432368568565,-3.147914902905916,0.31876550488810057,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,MLIT250,timing-based,participant_day,gaussian,clock_minutes,difference,clock time,age,KNUST:KNUST_S007,827,153,-2.466473805170335,-11.638760548376371,6.7058129380357014,-0.11115036919837218,0.02366026118711032,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,MLIT250,timing-based,participant_day,gaussian,clock_minutes,difference,clock time,biological_sex,KNUST:KNUST_S007,827,153,-14.982459199575372,-33.20977139063034,3.2448529914795916,-1.3728037803198865,0.14730993474777443,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,14,first_timing_above_250,First light timing above 250 lx melEDI,FLIT250,timing-based,participant_day,gaussian,clock_minutes,difference,clock time,age,KNUST:KNUST_S007,799,153,-15.514886226681584,-29.266288426582445,-1.76348402678072,-0.10327560368509126,0.01461270950254787,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,14,first_timing_above_250,First light timing above 250 lx melEDI,FLIT250,timing-based,participant_day,gaussian,clock_minutes,difference,clock time,biological_sex,KNUST:KNUST_S007,799,153,-6.2362363344335865,-34.27195846845837,21.799485799591203,-2.3329543289496955,0.16250164790297686,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,15,last_timing_above_250,Last light timing above 250 lx melEDI,LLIT250,timing-based,participant_day,gaussian,clock_minutes,difference,clock time,age,UCR:UCR_S020,781,153,8.522561457023462,-5.508216447315752,22.55333936136267,0.4193180305783617,0.05895826414471568,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,15,last_timing_above_250,Last light timing above 250 lx melEDI,LLIT250,timing-based,participant_day,gaussian,clock_minutes,difference,clock time,biological_sex,UCR:UCR_S020,781,153,-21.062487219235795,-48.80318737856551,6.678212940093918,-0.8354605246467699,0.05933166557311004,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,16,dose_time_sensitive_corrected_medi,melEDI dose,Dose,exposure-history-based,participant_day,gaussian,log10_offset_0.1,ratio,lx·h,age,THUAS:THUAS_S007,846,153,0.1408453383968521,0.08003084977110671,0.2016598270225975,-0.00387172736619847,0.12425745022794853,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,16,dose_time_sensitive_corrected_medi,melEDI dose,Dose,exposure-history-based,participant_day,gaussian,log10_offset_0.1,ratio,lx·h,biological_sex,THUAS:THUAS_S007,846,153,-0.08308105823789627,-0.21168164071309337,0.04551952423730082,-0.00899386130891861,0.13596223636054017,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,1,interdaily_stability,Interdaily stability,IS,dynamics-based,participant,gaussian,logit,odds_ratio,dimensionless,age,MPI:MPI_S201,140,140,0.05944941839636226,-0.01617974619237676,0.13507858298510128,0.00417232353003399,0.10634963820012223,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,1,interdaily_stability,Interdaily stability,IS,dynamics-based,participant,gaussian,logit,odds_ratio,dimensionless,biological_sex,MPI:MPI_S201,140,140,0.08594280111986953,-0.05369331694810615,0.22557891918784523,0.01924069766623506,0.2664232969269015,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,2,intradaily_variability,Intradaily variability,IV,dynamics-based,participant,gaussian,identity,difference,dimensionless,age,FUSPCEU:FUSPCEU_S004,140,140,-0.06734563841059761,-0.13837884347144613,0.00368756665025089,-0.01032860912628087,0.2846241779720881,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,2,intradaily_variability,Intradaily variability,IV,dynamics-based,participant,gaussian,identity,difference,dimensionless,biological_sex,FUSPCEU:FUSPCEU_S004,140,140,-0.01846163719783555,-0.15028783676818022,0.11336456237250912,-0.0166233604699113,0.2475972627282132,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,3,daily_geometric_mean_medi,Mean melEDI,Mean,level-based,participant_day,gaussian,log10_offset_0.1,ratio,lx,age,THUAS:THUAS_S010,810,140,0.04925101068431138,-0.00764374011556204,0.1061457614841848,7.432712114888163e-4,0.02584093442500905,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,3,daily_geometric_mean_medi,Mean melEDI,Mean,level-based,participant_day,gaussian,log10_offset_0.1,ratio,lx,biological_sex,THUAS:THUAS_S010,810,140,-0.1075937061584458,-0.21143727056817443,-0.00375014174871718,-5.456802815509559e-4,0.01037658734089167,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,4,m10_mean_medi,Brightest 10 h mean,M10mean,level-based,participant_day,gaussian,log10_offset_0.1,ratio,lx,age,THUAS:THUAS_S007,810,140,0.11626303625985554,0.03554463924636679,0.19698143327334428,-0.00228973413637587,0.0558916260038755,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,4,m10_mean_medi,Brightest 10 h mean,M10mean,level-based,participant_day,gaussian,log10_offset_0.1,ratio,lx,biological_sex,THUAS:THUAS_S007,810,140,-0.16812703112755512,-0.3185351346201861,-0.01771892763492411,-0.00756734815069837,0.09891345179372574,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,6,duration_above_1000,"Time above 1,000 lx melEDI",TAT1000,duration-based,participant_day,tweedie_log,identity,ratio,h,age,FUSPCEU:FUSPCEU_S004,811,140,0.2556382517972143,0.12356030760218133,0.38771619599224727,0.01674694464861523,0.2474335335346489,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,6,duration_above_1000,"Time above 1,000 lx melEDI",TAT1000,duration-based,participant_day,tweedie_log,identity,ratio,h,biological_sex,BAUA:BAUA_S012,810,140,-0.2804087039282727,-0.535853129933553,-0.02496427792299238,0.01943904285550396,0.1490102839826331,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,7,duration_above_250_wake,Time above 250 lx melEDI during wake,TAT250,duration-based,participant_day,tweedie_log,identity,ratio,h,age,THUAS:THUAS_S001,731,140,0.10478830779920384,-0.00919632380797458,0.21877293940638223,-0.00771763249486345,0.1324300942803917,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,7,duration_above_250_wake,Time above 250 lx melEDI during wake,TAT250,duration-based,participant_day,tweedie_log,identity,ratio,h,biological_sex,THUAS:THUAS_S002,735,140,-0.20943921385310685,-0.4230248961276348,0.0041464684214211,-0.00248961643087308,0.02302704498491169,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,TBT10,duration-based,participant_day,gaussian,identity,difference,h,age,MPI:MPI_S230,650,138,-0.05032726231393861,-0.1883686512567885,0.08771412662891129,0.00154878463907495,0.02196651300558099,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,TBT10,duration-based,participant_day,gaussian,identity,difference,h,biological_sex,MPI:MPI_S230,650,138,-0.04468534094371906,-0.2978099511547819,0.2084392692673438,0.01261019122212211,0.09804602450437076,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,TBT1,duration-based,participant_day,tweedie_log,identity,ratio,h,age,BAUA:BAUA_S025,774,140,0.01148835337152361,-0.02539353036044272,0.04837023710348995,-1.7296101544896775e-4,0.00923446611802295,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,TBT1,duration-based,participant_day,tweedie_log,identity,ratio,h,biological_sex,BAUA:BAUA_S025,774,140,0.04908057816139276,-0.01823645630821692,0.11639761263100244,-5.12879441967963e-4,0.01505653285614411,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,PAT250,duration-based,participant_day,gaussian,log10_offset_0.1,ratio,h,age,THUAS:THUAS_S002,810,140,0.05616203370025002,0.0088915630011515,0.10343250439934852,-0.00206623974918208,0.08596219385026596,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,PAT250,duration-based,participant_day,gaussian,log10_offset_0.1,ratio,h,biological_sex,THUAS:THUAS_S002,810,140,-0.07982661392096396,-0.16757594830897898,0.00792272046705105,-0.00599043584040295,0.13396035199330503,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,11,m10_midpoint,Midpoint of the brightest 10 hours,M10,timing-based,participant_day,gaussian,clock_minutes,difference,clock time,age,KNUST:KNUST_S008,811,140,3.794973360669153,-7.545500035777396,15.1354467571157,-0.02966378913517564,0.00509213587282618,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,11,m10_midpoint,Midpoint of the brightest 10 hours,M10,timing-based,participant_day,gaussian,clock_minutes,difference,clock time,biological_sex,KNUST:KNUST_S008,811,140,1.9492122844157136,-19.020021896467945,22.91844646529937,1.4512881983056032,0.13511313157344032,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,12,l10_midpoint,Midpoint of the darkest 10 hours,L10,timing-based,participant_day,gaussian,clock_minutes_after_16,difference,clock time,age,KNUST:KNUST_S008,811,140,-3.0943964630441836,-14.569250435943095,8.380457509854727,-0.01891389147895372,0.00321489312514039,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,12,l10_midpoint,Midpoint of the darkest 10 hours,L10,timing-based,participant_day,gaussian,clock_minutes_after_16,difference,clock time,biological_sex,KNUST:KNUST_S008,811,140,5.072070472917171,-16.090566852817084,26.234707798651428,-1.34561060754472,0.1244548839590936,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,MLIT250,timing-based,participant_day,gaussian,clock_minutes,difference,clock time,age,THUAS:THUAS_S010,737,140,1.6535892254527684,-9.04631472645431,12.353493177359846,-0.5887597973154539,0.10831566486250288,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,MLIT250,timing-based,participant_day,gaussian,clock_minutes,difference,clock time,biological_sex,THUAS:THUAS_S010,737,140,-9.88591025490834,-29.627311663730964,9.855491153914286,-1.0003943680503389,0.0994756069456906,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,14,first_timing_above_250,First light timing above 250 lx melEDI,FLIT250,timing-based,participant_day,gaussian,clock_minutes,difference,clock time,age,TUM:TUM_S005,721,139,-2.8706577189086233,-19.86691659344289,14.125601155625644,-0.0763097225104028,0.00883633306415853,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,14,first_timing_above_250,First light timing above 250 lx melEDI,FLIT250,timing-based,participant_day,gaussian,clock_minutes,difference,clock time,biological_sex,TUM:TUM_S005,721,139,12.768901970235405,-18.95469039169795,44.492494332168754,-0.3144883822758491,0.01954817763933169,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,15,last_timing_above_250,Last light timing above 250 lx melEDI,LLIT250,timing-based,participant_day,gaussian,clock_minutes,difference,clock time,age,THUAS:THUAS_S015,682,140,0.6470410128636688,-16.251459650381737,17.54554167610907,0.19411090988910323,0.02263325526682065,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,15,last_timing_above_250,Last light timing above 250 lx melEDI,LLIT250,timing-based,participant_day,gaussian,clock_minutes,difference,clock time,biological_sex,THUAS:THUAS_S015,682,140,-17.585012891315035,-48.782732368665634,13.612706586035564,0.57554714579679,0.03645748629473761,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,16,dose_time_sensitive_corrected_medi,melEDI dose,Dose,exposure-history-based,participant_day,gaussian,log10_offset_0.1,ratio,lx·h,age,THUAS:THUAS_S007,756,140,0.11143189873456708,0.03456290598543792,0.18830089148369628,-0.00422332008863918,0.1075500497893654,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,16,dose_time_sensitive_corrected_medi,melEDI dose,Dose,exposure-history-based,participant_day,gaussian,log10_offset_0.1,ratio,lx·h,biological_sex,THUAS:THUAS_S007,756,140,-0.12651086275643794,-0.27122245543325246,0.01820072992037658,-0.01085205303263411,0.14631365685606473,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,17,mder_mean_of_viable_ratios,Melanopic daylight efficacy ratio,MDER,spectrum-based,participant_day,gaussian,identity,difference,dimensionless,age,UCR:UCR_S020,726,151,0.01111484343718002,-0.02669562238211229,0.04892530925647233,0.00163020789981498,0.08580071188377177,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,17,mder_mean_of_viable_ratios,Melanopic daylight efficacy ratio,MDER,spectrum-based,participant_day,gaussian,identity,difference,dimensionless,biological_sex,UCR:UCR_S020,726,151,-0.0379122203601822,-0.1127884016517235,0.0369639609313591,-0.00340469774915225,0.09033922287643908,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,17,mder_mean_of_viable_ratios,Melanopic daylight efficacy ratio,MDER,spectrum-based,participant_day,gaussian,identity,difference,dimensionless,age,RISE:RISE_S001,696,136,0.00989854007324057,-0.00582532915702945,0.0256224093035106,-9.313469738624712e-4,0.11601906625522584,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,17,mder_mean_of_viable_ratios,Melanopic daylight efficacy ratio,MDER,spectrum-based,participant_day,gaussian,identity,difference,dimensionless,biological_sex,RISE:RISE_S001,696,136,-0.01423848762606538,-0.04350750112123708,0.0150305258691063,-0.00267090562974265,0.17846909724611187,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,5,l10_mean_medi,Darkest 10 h mean,L10mean,level-based,participant_day,gaussian,log10_offset_0.1,ratio,lx,age,UCR:UCR_S003,811,140,-0.04081895530207493,-0.08353962274535107,0.0019017121412012034,0.00214840659381621,0.09805311089278437,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,5,l10_mean_medi,Darkest 10 h mean,L10mean,level-based,participant_day,gaussian,log10_offset_0.1,ratio,lx,biological_sex,UCR:UCR_S003,811,140,-0.05461186862762272,-0.13400144286416385,0.02477770560891842,0.008071673774820591,0.19961915727157778,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,5,l10_mean_medi,Darkest 10 h mean,L10mean,level-based,participant_day,gaussian,log10_offset_0.1,ratio,lx,age,KNUST:KNUST_S001,896,153,-0.028493142270533938,-0.06513893126877882,0.008152646727710936,-4.019167141252958e-4,0.021444575337361778,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,5,l10_mean_medi,Darkest 10 h mean,L10mean,level-based,participant_day,gaussian,log10_offset_0.1,ratio,lx,biological_sex,KNUST:KNUST_S001,896,153,-0.1145052328061311,-0.18553717693438215,-0.04347328867788004,0.0032331723632454262,0.08954266839066213,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
