run_id,data_scenario_id,placement,sample_scenario,site,participant_key,local_date,value,metric_support_valid_minutes,metric_support_expected_minutes,.model_row_id
manuscript_prepared_data__chest__paired_common_sample,manuscript_prepared_data,chest,paired_common_sample,KNUST,KNUST::KNUST_S007,2024-11-19,3.4034718260526153,,,KNUST::KNUST_S007::2024-11-19
manuscript_prepared_data__chest__paired_common_sample,manuscript_prepared_data,chest,paired_common_sample,IZTECH,IZTECH::IZTECH_S017,2025-06-01,1.0661294054309798,,,IZTECH::IZTECH_S017::2025-06-01
manuscript_prepared_data__chest__paired_common_sample,manuscript_prepared_data,chest,paired_common_sample,RISE,RISE::RISE_S012,2025-06-11,1.0645496973891768,,,RISE::RISE_S012::2025-06-11
manuscript_prepared_data__chest__paired_common_sample,manuscript_prepared_data,chest,paired_common_sample,IZTECH,IZTECH::IZTECH_S017,2025-05-31,1.009414374311098,,,IZTECH::IZTECH_S017::2025-05-31
manuscript_prepared_data__chest__paired_common_sample,manuscript_prepared_data,chest,paired_common_sample,BAUA,BAUA::BAUA_S009,2025-06-25,1.0032638426972054,,,BAUA::BAUA_S009::2025-06-25
manuscript_prepared_data__glasses__all_available,manuscript_prepared_data,glasses,all_available,RISE,RISE::RISE_S001,2025-03-05,1.8219523485765623,,,RISE::RISE_S001::2025-03-05
manuscript_prepared_data__glasses__all_available,manuscript_prepared_data,glasses,all_available,KNUST,KNUST::KNUST_S003,2024-10-27,1.1360484420324999,,,KNUST::KNUST_S003::2024-10-27
manuscript_prepared_data__glasses__all_available,manuscript_prepared_data,glasses,all_available,FUSPCEU,FUSPCEU::FUSPCEU_S005,2024-10-20,1.0612648457949503,,,FUSPCEU::FUSPCEU_S005::2024-10-20
manuscript_prepared_data__glasses__all_available,manuscript_prepared_data,glasses,all_available,BAUA,BAUA::BAUA_S009,2025-06-25,0.985903813241868,,,BAUA::BAUA_S009::2025-06-25
manuscript_prepared_data__glasses__all_available,manuscript_prepared_data,glasses,all_available,BAUA,BAUA::BAUA_S009,2025-06-30,0.9695491388161244,,,BAUA::BAUA_S009::2025-06-30
manuscript_prepared_data__glasses__paired_common_sample,manuscript_prepared_data,glasses,paired_common_sample,RISE,RISE::RISE_S001,2025-03-05,1.8219523485765623,,,RISE::RISE_S001::2025-03-05
manuscript_prepared_data__glasses__paired_common_sample,manuscript_prepared_data,glasses,paired_common_sample,KNUST,KNUST::KNUST_S003,2024-10-27,1.1360484420324999,,,KNUST::KNUST_S003::2024-10-27
manuscript_prepared_data__glasses__paired_common_sample,manuscript_prepared_data,glasses,paired_common_sample,BAUA,BAUA::BAUA_S009,2025-06-25,0.985903813241868,,,BAUA::BAUA_S009::2025-06-25
manuscript_prepared_data__glasses__paired_common_sample,manuscript_prepared_data,glasses,paired_common_sample,BAUA,BAUA::BAUA_S009,2025-06-30,0.9695491388161244,,,BAUA::BAUA_S009::2025-06-30
manuscript_prepared_data__glasses__paired_common_sample,manuscript_prepared_data,glasses,paired_common_sample,FUSPCEU,FUSPCEU::FUSPCEU_S016,2024-11-29,0.9681286450346315,,,FUSPCEU::FUSPCEU_S016::2024-11-29
