"item_id","record_type","artifact","line","construct_or_role","referenced_path","disposition","source_excerpt"
"W11","wording_occurrence","manuscript/R0_NatHealth/ZaunerEtAl2026_NatHealth_phase3_brown.qmd",245,"H04 marginal R-squared allocation","","APPLIED_ORDER71A","Immediate setting combined behaviour and environment, with an FDR-supported activity-by-site interaction. Site-average near-eye estimates were 714.2 lx outdoors (95% CI 561.7 to 908.2), 331.2 lx on the road or in a vehicle (274.4 to 399.8), 198.9 lx during office or home work (173.9 to 227.5), 76.4 lx while awake at home (62.0 to 94.1) and 4.28 lx during sleep (3.06 to 5.99). The sleep category included many low or zero observations and occasional high stray-light readings, so its fitted mean need not represent a typical observation. Relative to awake time at home, the ratios were 9.35 outdoors, 4.34 for travel, 2.60 for work and 0.056 during sleep. The outdoor estimate exceeded the 250-lx daytime recommendation, the work estimate remained below it, and the sleep estimate exceeded the 1-lx bedside-environment upper limit. Borås (SE) had a fitted outdoor estimate of 3,054 lx, 4.28 times the site average, whereas Tübingen (DE) had 127 lx, 0.18 times the site average. In an exploratory mixed model of five setting categories, marginal R² was 0.766 near eye and 0.768 at the chest. Adding the participant intercept raised conditional R² to 0.858 and 0.859, an explained-variance increment of 9.2 percentage points at both positions. Of the marginal R², immediate setting accounted for 80.7% near eye and 86.1% at the chest, site 12.5% and 5.9%, and their interaction 6.9% and 8.0%, respectively. @fig-activity-context shows the immediate-setting patterns and site-specific estimates. Separately, an exploratory near-eye time-of-day model attributed 52.5% of variation in fitted hourly patterns to time of day and 30.7% to immediate setting. Among these two components, immediate setting accounted for 36.9%. The remaining shares were 5.6% for site, 8.4% for participant patterns and 2.8% for day-to-day shifts."
"W12","wording_occurrence","manuscript/R0_NatHealth/ZaunerEtAl2026_NatHealth_phase3_brown.qmd",245,"H04 fitted hourly-pattern variation","","APPLIED_ORDER71A","Immediate setting combined behaviour and environment, with an FDR-supported activity-by-site interaction. Site-average near-eye estimates were 714.2 lx outdoors (95% CI 561.7 to 908.2), 331.2 lx on the road or in a vehicle (274.4 to 399.8), 198.9 lx during office or home work (173.9 to 227.5), 76.4 lx while awake at home (62.0 to 94.1) and 4.28 lx during sleep (3.06 to 5.99). The sleep category included many low or zero observations and occasional high stray-light readings, so its fitted mean need not represent a typical observation. Relative to awake time at home, the ratios were 9.35 outdoors, 4.34 for travel, 2.60 for work and 0.056 during sleep. The outdoor estimate exceeded the 250-lx daytime recommendation, the work estimate remained below it, and the sleep estimate exceeded the 1-lx bedside-environment upper limit. Borås (SE) had a fitted outdoor estimate of 3,054 lx, 4.28 times the site average, whereas Tübingen (DE) had 127 lx, 0.18 times the site average. In an exploratory mixed model of five setting categories, marginal R² was 0.766 near eye and 0.768 at the chest. Adding the participant intercept raised conditional R² to 0.858 and 0.859, an explained-variance increment of 9.2 percentage points at both positions. Of the marginal R², immediate setting accounted for 80.7% near eye and 86.1% at the chest, site 12.5% and 5.9%, and their interaction 6.9% and 8.0%, respectively. @fig-activity-context shows the immediate-setting patterns and site-specific estimates. Separately, an exploratory near-eye time-of-day model attributed 52.5% of variation in fitted hourly patterns to time of day and 30.7% to immediate setting. Among these two components, immediate setting accounted for 36.9%. The remaining shares were 5.6% for site, 8.4% for participant patterns and 2.8% for day-to-day shifts."
"W13","wording_occurrence","manuscript/R0_NatHealth/ZaunerEtAl2026_NatHealth_phase3_brown.qmd",281,"Discussion opening","","APPLIED_ORDER71A","The expected 24-hour rhythm was evident across nine sites in seven countries. The key advance was to quantify its amplitude across sites, participants and participant-days, and to show how immediate settings reorganised exposure within that rhythm. Across analyses, the shared local-clock pattern accounted for the largest share of full-model R² in the daily-pattern analysis. Separate hourly decompositions showed large light-source and immediate-setting contrasts, with the next-largest shares of variation in fitted hourly patterns after time of day. Participant patterns and participant-day shifts together exceeded site patterns in the daily-pattern model, while site, photoperiod and measured person-level associations were metric-specific. Because these analyses used different outcomes and decompositions, this is a qualitative synthesis rather than a single quantitative ranking."
"W14","wording_occurrence","manuscript/R0_NatHealth/ZaunerEtAl2026_NatHealth_phase3_brown.qmd",290,"Discussion fitted hourly-pattern variation","","APPLIED_ORDER71A","Exploratory inverse associations of average daytime with sleep and pre-sleep adherence show why the three recommendation windows should not be collapsed into one score. They may reflect schedules, environments or other between-participant differences, not a within-person trade-off or stable phenotype. In exploratory nonlinear models, light source and immediate setting accounted for substantially more variation in fitted hourly patterns than participant-specific patterns: 24.2% versus 7.6%, and 30.7% versus 8.4%, respectively. This finding is consistent with schedules and immediate environments being prominent correlates of hourly exposure, but it is not a causal explanation for the cross-window adherence association. Longitudinal models of dependence and changing routines are needed to test whether improving one part of the pattern displaces or supports another."
"W15","wording_occurrence","manuscript/R0_NatHealth/ZaunerEtAl2026_NatHealth_phase3_brown.qmd",331,"near-eye device terminology","","APPLIED_ORDER71A","Personal light was recorded every 10 s with spectrally sensitive ActLumus loggers (Condor Instruments, São Paulo, Brazil). Eight visible-band channels were processed by the device to generate photopic and alpha-opic quantities, including melanopic EDI [@cie2018s026]. The manufacturer specified a factory-calibrated operating range of 1 to 100,000 lx and 10% precision at 1,000 lx. Independent testing against a criterion spectrometer across indoor LED and outdoor daylight conditions covered 2 to 100,000 lx and reported mean photopic error of +3.3% (SD 13.4%) for ActLumus [@ishihara2025]. A subsequent scene-based field validation found high overall agreement with laboratory-grade spectral reference instruments, together with systematic underestimation that varied with intensity and setting [@gemici2026]. Participants wore the near-eye device centrally on non-prescription spectacle frames and, where available, a complementary pendant-mounted device at the chest. The near-eye position measures light closer to the eye but is not a direct retinal measurement. The chest position provided a separate measurement of the local environmental light field. Paired common-sample analyses evaluated how closely it tracked the near-eye measurement as a potential ocular proxy. During reported sleep, devices were placed facing upward on a bedside surface near head level, so both positions characterise the bedside sleep environment. Participants recorded removals and placed devices in an opaque bag during waking non-wear [@guidolin2026; @zauner2026]."
"W16","wording_occurrence","manuscript/R0_NatHealth/ZaunerEtAl2026_NatHealth_phase3_brown.qmd",366,"near-eye record terminology","","APPLIED_ORDER71A","We compared valid one-minute values with the Brown et al. recommendation ranges [@brown2022]: at least 250 lx melanopic EDI during daytime, no more than 10 lx during pre-sleep and no more than 1 lx during sleep. Daytime comprised diary-defined wake excluding the three hours before reported sleep, pre-sleep comprised those three hours and sleep comprised the reported sleep interval. Each descriptive numerator was divided by all valid near-eye-record minutes in the corresponding window and pooled across the analysed sample. Daytime and pre-sleep used the worn near-eye record; sleep used the bedside sleep-environment record."
"W17","wording_occurrence","manuscript/R0_NatHealth/ZaunerEtAl2026_NatHealth_phase3_brown.qmd",377,"H02 in-sample R-squared boundary","","APPLIED_ORDER71A","The daily-pattern analysis used supported 30-minute arithmetic means, retaining a bin when at least 15 one-minute values were valid. The outcome was log10(melanopic EDI + 0.1 lx). A generalised additive model fitted with `mgcv::bam()` and fREML combined a cyclic common local-clock smooth, sum-to-zero site curves, participant curves and participant-day random intercepts [@hastie1986; @hastie1995; @mgcv; @pedersen2019]. A boundary-aware first-order autoregressive working structure prevented residual sequences from crossing participant-day, clock-repeat or gap boundaries. Fitted-curve dispersion was compared on a common 48-bin grid. A Shapley decomposition averaged each component's addition to R² across all component orders, thereby distributing the model's explained variance [@azen2003; @groemping2007]. The decomposition partitioned the full model’s row-weighted in-sample R² for log10(melanopic EDI + 0.1 lx), defined as the reduction in squared prediction error relative to predicting the fitted-sample mean. The percentages therefore partition full-model R² on that transformed response scale. They are not percentages of variance explained in raw melanopic EDI and do not indicate causal or out-of-sample predictive importance. Confidence intervals for dispersion and R²-share ratios used 2,000 hierarchical cluster resamples while holding the fitted model structure fixed."
"W18","wording_occurrence","manuscript/R0_NatHealth/ZaunerEtAl2026_NatHealth_phase3_brown.qmd",390,"H03/H04 R-squared boundary","","APPLIED_ORDER71A","Light-source and activity-environment analyses modelled the zero-aware one-hour geometric mean melanopic EDI with fixed-power quasi-Tweedie log-mean models and participant-cluster-robust inference [@jorgensen1987; @dunn2005]. Additive fixed-site models supplied primary category tests. Category-by-site interaction models supplied site-average category estimates, ratios and site-specific context when the interaction was supported. The activity-environment analysis retained fractional 1/*k* weights for concurrent labels. FDR adjustments were applied to the declared category and site-contrast families. Exact-zero calibration, residual dependence, sparse cells and deletion refits were retained as model checks. A secondary population-mean sensitivity added six participant-level category-proportion terms to the light-source model while retaining participant-clustered covariance. This separated hour-to-hour category differences within participants from between-participant differences in category composition; it did not estimate participant random slopes. Exploratory `glmmTMB` Tweedie log-link models fitted by maximum likelihood then added one common participant intercept to site-by-category fixed effects at the near-eye position for light source and separately at both positions for the activity-environment variable, with the power fixed at 1.539919 [@glmmTMB; @performance]. The activity-environment models retained the five named categories, excluded Other-only hours and used exact 1/*k* weights. Their fixed-predictor variance used the same fractional weights so every participant-hour contributed one unit. Marginal and conditional R² used a lognormal distribution-specific variance approximation, and hierarchy-respecting Shapley allocations distributed marginal R² across site, category and their interaction. Percentages from the exploratory time-of-day models instead partition variance among fitted linear-predictor values. Because they do not compare this with observed outcome variance, they are not R². Results describe them as variation in fitted hourly patterns, not variance explained in raw exposure. These were model-based point descriptions without bootstrap intervals. No model included random category slopes."
"W19","wording_occurrence","manuscript/R0_NatHealth/supplementary_information_outline.qmd",87,"Supplementary Table S5 title","","APPLIED_ORDER71A","### Supplementary Table S5. Near-eye fitted-curve dispersion and full-model R² allocation"
"W20","wording_occurrence","manuscript/R0_NatHealth/supplementary_information_outline.qmd",93,"Supplementary Table S5 caption","","APPLIED_ORDER71A","**Supplementary Table S5.** Near-eye fitted-curve dispersion and Shapley allocation of full-model in-sample R². Fitted-curve variation is in squared log10(melanopic EDI + 0.1 lx) prediction units; dispersion and R²-share ratios are unitless. The allocation includes the shared local-clock curve in every component model as the baseline. Intervals are 95% hierarchical cluster-bootstrap percentile intervals from 2,000 replicates and are conditional on the fitted models. Dispersion and R² allocation describe different estimands and should not be added or interpreted causally."
"W21","wording_occurrence","manuscript/R0_NatHealth/supplementary_information_outline.qmd",96,"Supplementary Table S6 title","","APPLIED_ORDER71A","### Supplementary Table S6. Chest fitted-curve dispersion and full-model R² allocation"
"W22","wording_occurrence","manuscript/R0_NatHealth/supplementary_information_outline.qmd",102,"Supplementary Table S6 caption","","APPLIED_ORDER71A","**Supplementary Table S6.** Complementary chest fitted-curve dispersion and Shapley allocation of full-model in-sample R². The quantities, bootstrap intervals and interpretation follow Supplementary Table S5; chest and near-eye measurements remain distinct sensor-position estimands."
"W23","wording_occurrence","manuscript/R0_NatHealth/supplementary_information_outline.qmd",221,"Supplementary Figure S15 placement wording","","APPLIED_ORDER71A","<figcaption><strong>Supplementary Figure S15.</strong> Chronotype and timing of personal light exposure. <strong>A</strong>, Study-site-adjusted associations of sleep-timing-based corrected midsleep on Free days and questionnaire-based morningness-eveningness with the analysed timing metrics. Points are estimates and bars are 95% confidence intervals; the two chronotype instruments remain separate. <strong>B</strong>, Observed participant-day timing values across chronotype and country-coded study sites for the samples used in the corresponding models. Each point represents one participant-day in a fitted sample. The observed panel is descriptive and does not replace the adjusted models or estimate independent site effects. Near-eye estimates provide ocular-exposure evidence; chest estimates, where shown, are complementary non-ocular evidence.</figcaption>"
"W24","wording_occurrence","manuscript/R0_NatHealth/ZaunerEtAl2026_NatHealth_phase3_brown.qmd",239,"retained primary-analysis distinction","","REVIEWED_AND_RETAINED","The primary analysis used a population-mean quasi-Tweedie model with participant-cluster-robust covariance for uncertainty; lag-one residual correlation remained 0.288. Fitted versus observed exact-zero proportions were 39.8% and 27.8%, respectively. An exploratory mixed-effects model quantified variance explained after adding a participant intercept to site-by-light-source fixed terms. Marginal R² was 0.796 and conditional R² 0.876, an 8.0-percentage-point increase in explained variance from the participant intercept. Of the marginal R², light source accounted for 89.3%, site 7.1% and their interaction 3.7%. Separately, an exploratory time-of-day model attributed 60.4% of variation in fitted hourly patterns to global time of day and 24.2% to light-source deviations. Among these two components, light source accounted for 28.6%. The remaining shares were 5.2% for site, 7.6% for participant patterns and 2.5% for day-to-day shifts."
"W25","wording_occurrence","manuscript/R0_NatHealth/ZaunerEtAl2026_NatHealth_phase3_brown.qmd",242,"retained primary-versus-sensitivity distinction","","REVIEWED_AND_RETAINED","A sensitivity adjusted the population-average light-source comparisons for each participant's overall category distribution, distinguishing hour-to-hour differences within participants from differences in category composition between participants. The overall category pattern was retained. For external light during sleep, the near-eye ratio relative to indoor electric light changed from 0.449 in the primary additive model to 0.333 (95% CI 0.190 to 0.585), a 25.8% decrease. Thus, between-participant category composition influenced the magnitude, but not the direction, of this contrast. [Supplementary Figure S8](#fig-s8) shows the temporal, support and site-specific results."
"W26","wording_occurrence","manuscript/R0_NatHealth/ZaunerEtAl2026_NatHealth_phase3_brown.qmd",342,"retained primary-analysis distinction","","REVIEWED_AND_RETAINED","The modified Harvard Light Exposure Assessment categories were indoor electric light, outdoor electric light, indoor daylight, outdoor daylight including shade, an emissive display, darkness during sleep and external light during sleep [@Bajaj2011]. The primary light-source analysis used one retained category per participant-hour. The diary variable labelled activity combined behaviour and environmental setting. Its categories distinguished sleep, awake time at home, motorised travel, active travel, office or home work, outdoor work, outdoor leisure and other activities. We therefore refer to this variable as immediate setting in the narrative. For analysis, outdoor travel, outdoor work and outdoor leisure were combined as Outdoors. Reports could contain concurrent categories; duplicates were removed and an hour with *k* retained labels contributed weight 1/*k* to each, preserving total weight one. Day type was coded as work or free day, daily activity status as sedentary or active, and previous sleep duration was linked from the preceding sleep period."
"W27","wording_occurrence","manuscript/R0_NatHealth/ZaunerEtAl2026_NatHealth_phase3_brown.qmd",369,"retained primary-sample distinction","","REVIEWED_AND_RETAINED","The main adherence analysis retained one row per window period and defined adherence as adherent valid minutes divided by all valid minutes in that period. A behavioural cycle crossed midnight when necessary and inherited the work or free label of the calendar date on which daytime began. The any-valid primary sample retained a window with at least one valid comparison; an otherwise identical coverage sensitivity required at least 80% coverage of the exact window interval. Exact 0% and 100% periods remained in an endpoint-inflated beta-binomial model. Fixed predictors represented the complete window-by-site-by-day-type pattern, and the retained random effect was a participant intercept in the beta-binomial mean. Population averages weighted all nine sites equally. Separate FDR families covered window-specific free-minus-work contrasts, interaction tests, site-specific contrasts against zero and 27 comparisons of site-specific contrasts with their window-specific equal-site values. Chest models were fitted separately for daytime and pre-sleep."
"W28","wording_occurrence","manuscript/R0_NatHealth/ZaunerEtAl2026_NatHealth_phase3_brown.qmd",390,"retained primary-test distinction","","REVIEWED_AND_RETAINED","Light-source and activity-environment analyses modelled the zero-aware one-hour geometric mean melanopic EDI with fixed-power quasi-Tweedie log-mean models and participant-cluster-robust inference [@jorgensen1987; @dunn2005]. Additive fixed-site models supplied primary category tests. Category-by-site interaction models supplied site-average category estimates, ratios and site-specific context when the interaction was supported. The activity-environment analysis retained fractional 1/*k* weights for concurrent labels. FDR adjustments were applied to the declared category and site-contrast families. Exact-zero calibration, residual dependence, sparse cells and deletion refits were retained as model checks. A secondary population-mean sensitivity added six participant-level category-proportion terms to the light-source model while retaining participant-clustered covariance. This separated hour-to-hour category differences within participants from between-participant differences in category composition; it did not estimate participant random slopes. Exploratory `glmmTMB` Tweedie log-link models fitted by maximum likelihood then added one common participant intercept to site-by-category fixed effects at the near-eye position for light source and separately at both positions for the activity-environment variable, with the power fixed at 1.539919 [@glmmTMB; @performance]. The activity-environment models retained the five named categories, excluded Other-only hours and used exact 1/*k* weights. Their fixed-predictor variance used the same fractional weights so every participant-hour contributed one unit. Marginal and conditional R² used a lognormal distribution-specific variance approximation, and hierarchy-respecting Shapley allocations distributed marginal R² across site, category and their interaction. Percentages from the exploratory time-of-day models instead partition variance among fitted linear-predictor values. Because they do not compare this with observed outcome variance, they are not R². Results describe them as variation in fitted hourly patterns, not variance explained in raw exposure. These were model-based point descriptions without bootstrap intervals. No model included random category slopes."
"W29","wording_occurrence","manuscript/R0_NatHealth/ZaunerEtAl2026_NatHealth_phase3_brown.qmd",401,"retained primary-test distinction","","REVIEWED_AND_RETAINED","The complete biological-sex curve analysis used supported 30-minute arithmetic means transformed as log10(melanopic EDI + 0.1 lx). The generalised additive model included cyclic common and female-specific curves, site curves, participant curves, participant-day random effects and boundary-aware first-order autoregression. The primary test jointly assessed the time-constant and time-varying female-minus-male contributions across the complete 24-hour curve. Clock-specific uncertainty was participant-cluster robust. Level-versus-shape attribution and adjustment for the activity-environment variable were secondary or exploratory analyses."
"D01","display_reference","manuscript/R0_NatHealth/ZaunerEtAl2026_NatHealth_phase3_brown.qmd",155,"figure image","../../artifacts/10_figures/descriptives/descriptive_overview.png","PRESENT_AFTER_ORDER71A","![](../../artifacts/10_figures/descriptives/descriptive_overview.png){fig-alt=""Five-panel overview of the eight-day protocol, sensor positions, nine country-coded sites, collection windows, civil photoperiod, and the pooled near-eye daily profile.""}"
"D02","display_reference","manuscript/R0_NatHealth/ZaunerEtAl2026_NatHealth_phase3_brown.qmd",162,"included table or document","display_assets/table1_participant_site.html","PRESENT_AFTER_ORDER71A","{{< include display_assets/table1_participant_site.html >}}"
"D03","display_reference","manuscript/R0_NatHealth/ZaunerEtAl2026_NatHealth_phase3_brown.qmd",184,"included table or document","display_assets/table2_brown_adherence.html","PRESENT_AFTER_ORDER71A","{{< include display_assets/table2_brown_adherence.html >}}"
"D04","display_reference","manuscript/R0_NatHealth/ZaunerEtAl2026_NatHealth_phase3_brown.qmd",207,"figure image","../../artifacts/10_figures/H02/figure4_exact_layout_replication.png","PRESENT_AFTER_ORDER71A","![](../../artifacts/10_figures/H02/figure4_exact_layout_replication.png){fig-alt=""Four-panel display of the site-average, site-specific, participant-specific, and site-to-average daily near-eye melanopic EDI patterns.""}"
"D05","display_reference","manuscript/R0_NatHealth/ZaunerEtAl2026_NatHealth_phase3_brown.qmd",225,"included table or document","display_assets/table3_metric_context.html","PRESENT_AFTER_ORDER71A","{{< include display_assets/table3_metric_context.html >}}"
"D06","display_reference","manuscript/R0_NatHealth/ZaunerEtAl2026_NatHealth_phase3_brown.qmd",248,"figure image","../../audit/manuscript_nature_health/figure_table_selection_assets/H04_manuscript_figure3_selection_candidate.png","PRESENT_AFTER_ORDER71A","![](../../audit/manuscript_nature_health/figure_table_selection_assets/H04_manuscript_figure3_selection_candidate.png){fig-alt=""Four-panel display of fitted near-eye melanopic EDI by immediate setting, effective weighted support across local clock time, and activity-by-site estimates. The activity variable combines behaviour and environmental setting.""}"
"D07","display_reference","manuscript/R0_NatHealth/ZaunerEtAl2026_NatHealth_phase3_brown.qmd",483,"included table or document","supplementary_information_outline.qmd","PRESENT_AFTER_ORDER71A","{{< include supplementary_information_outline.qmd >}}"
"D08","display_reference","manuscript/R0_NatHealth/supplementary_information_outline.qmd",7,"included table or document","../../audit/manuscript_nature_health/figure_table_selection_assets/tbl-plan-descriptive-sample-flow.html","PRESENT_AFTER_ORDER71A","{{< include ../../audit/manuscript_nature_health/figure_table_selection_assets/tbl-plan-descriptive-sample-flow.html >}}"
"D09","display_reference","manuscript/R0_NatHealth/supplementary_information_outline.qmd",16,"included table or document","../../audit/manuscript_nature_health/figure_table_selection_assets/tbl-near-eye-metrics.html","PRESENT_AFTER_ORDER71A","{{< include ../../audit/manuscript_nature_health/figure_table_selection_assets/tbl-near-eye-metrics.html >}}"
"D10","display_reference","manuscript/R0_NatHealth/supplementary_information_outline.qmd",25,"included table or document","display_assets/table_s3_recommendation_windows.html","PRESENT_AFTER_ORDER71A","{{< include display_assets/table_s3_recommendation_windows.html >}}"
"D11","display_reference","manuscript/R0_NatHealth/supplementary_information_outline.qmd",33,"figure image","../../artifacts/10_figures/descriptives/near_eye_metric_distributions.png","PRESENT_AFTER_ORDER71A","<img src=""../../artifacts/10_figures/descriptives/near_eye_metric_distributions.png"" alt=""Distributions of near-eye light-exposure metrics by country-coded study site."">"
"D12","display_reference","manuscript/R0_NatHealth/supplementary_information_outline.qmd",40,"figure image","../../artifacts/10_figures/descriptives/time_series_to_metrics.png","PRESENT_AFTER_ORDER71A","<img src=""../../artifacts/10_figures/descriptives/time_series_to_metrics.png"" alt=""Example time series linked to the daily time-above-250-lx metric."">"
"D13","display_reference","manuscript/R0_NatHealth/supplementary_information_outline.qmd",47,"figure image","../../artifacts/10_figures/descriptives/latitude_photoperiod_diagnostic.png","PRESENT_AFTER_ORDER71A","<img src=""../../artifacts/10_figures/descriptives/latitude_photoperiod_diagnostic.png"" alt=""Observed civil photoperiod and theoretical bounds by absolute latitude."">"
