"old_location","old_function_or_content","disposition","reason","proposed_new_location","reuse_instruction","controlling_update_source"
"Results chest summary","Chest measurements described as broadly confirming or highly stable relative to near eye","substantially rewrite","Placement is not interchangeable, pooled inference is prohibited, paired evidence does not yield a universal correction, and the public parallel placement analysis shows that differences are structured by outcome and context.","Cross-cutting complementary evidence in each Results section; short measurement-boundary section","Do not create a general replication paragraph. State exactly where chest is complementary, paired, concordant, different, or non-estimable. Cite the placement preprint as related overlapping evidence, not independent replication.","PLACEMENT-001 to PLACEMENT-008; DOI 10.64898/2026.07.28.741277"
"Discussion opening","Broad summary of site, environment, behaviour, and individual determinants","substantially rewrite","The old opening lacks a clear hierarchy and uses causal language.","Discussion paragraph 1, without subheading","Open with the approved one-sentence thesis and the genuinely new contribution.","Claim-evidence map; reviewer NM-R1-00 and NM-R1-04"
"Discussion geographic interpretation","Latitude, photoperiod, geography, and season","update","The topic remains central, but the accepted evidence requires partial, site-linked, and confounded interpretation.","Discussion paragraphs 2 and 3","Contrast shared daily architecture and substantial within-site variation with incomplete geographic explanation.","H01; H02; H07"
"Discussion behavioural interpretation","Light source, activity, routines, and potential modification","update","These associations are among the most consistent findings, but observational data cannot establish intervention effects.","Discussion paragraph 3","Emphasize proximal contexts as measurement and hypothesis targets. Use could inform rather than will improve.","H03; H04; H06; H06_daily"
"Discussion individual characteristics","Sensitivity, chronotype, age, sex, and behavioural scales","substantially rewrite","Accepted results are mixed and selective, with important nulls and placement differences.","Discussion paragraph 4","Use the mixed pattern to argue against simple person-level profiling, not to catalogue every test.","H05; H08; H09; H10; H11"
"Discussion health and intervention implications","Precision prevention, intervention, and clinical translation","omit or substantially rewrite","No health outcome or intervention was tested. These statements created the prior fit problem and would overstate the evidence.","Discussion implications and closing paragraph","Replace with exposure-epidemiology, measurement, surveillance, and future health-linkage implications. State the health-outcome boundary directly.","Reviewer NM-R2-04; Nature Health aims"
"Discussion exposome and unmeasured context","Social, occupational, environmental, and built-environment framing","update","The broader framing is useful if measured and unmeasured factors are clearly separated.","Discussion limitations and future work","Retain the multiscale concept but avoid a composite index or claims about unmeasured pathways.","Reviewer NM-R1-07 to NM-R1-09"
"Discussion placement interpretation","Near-eye and chest comparison","substantially rewrite","The old prose implies broad stability or interchangeability and does not separate paired inference, structured position differences, recruitment feasibility, and related-work overlap.","Discussion measurement paragraph","Explain sensor-position meaning, paired common-sample evidence, structured outcome- and context-dependent differences supported by the public parallel analysis, the chest option's recruitment-feasibility role where willingness to wear glasses was limited, bedside sleep interpretation, and absence of a universal correction.","PLACEMENT-001 to PLACEMENT-008; author decision 2026-08-13; DOI 10.64898/2026.07.28.741277"
"Discussion strengths and limitations","International design, repeated measurement, observational design, samples, seasonality","retain with update","This foundation is valuable, but it underplays the researcher and participant effort required for repeated near-eye and contextual data collection. Limitations must include exact coverage, model diagnostics, multiplicity, unmeasured context, population inclusion, and no health outcome.","Discussion strengths and limitations paragraphs","Retain strong prose, add the active fitting, instruction, wear burden, removal, and occlusion context, and update every limitation against accepted reports and current journal fit. Do not treat burden as proof of validity.","All accepted reports; Balajadia 2023; Stefani 2024; QA/QC 2026; deviation overlay; reviewer map; author decision 2026-08-13"
"Methods study design and setting","Multicentre observational design and site descriptions","retain with update","The design description is a strong legacy foundation and remains scientifically accurate in broad outline.","Methods: study design and sites","Reuse closely after checking dates, site labels, country codes, and collection context against accepted Descriptives.","Descriptives; Preparation 01"
"Methods participants and ethics","Recruitment, eligibility, consent, ethics, and sample","update","Core prose is reusable, but the population-inclusion deviation and Nature Health engagement and ethics requirements must be explicit.","Methods: participants, ethics, and engagement","Update criteria and analytical denominators. Do not relabel site collaboration as participant or community engagement without evidence.","DEV-003; Nature Health aims and ethics policy"
"Methods devices and protocol","Near-eye and chest sensors, study days, diaries, and questionnaires","retain with update","The protocol foundation is strong, but placement, recruitment, wear burden, occlusion, sleep-period interpretation, and overlap with the public placement analysis must follow current decisions.","Methods: participants, recruitment, measurements, and contextual data","Reuse technical descriptions after terminology and role checks. State near-eye primary, chest complementary, the site recruitment-feasibility context, active fitting and instructions, bedside sleep environment, and the related public placement analysis with its overlapping-data relationship.","Preparation 01; Preparation 05; placement decision; author decision 2026-08-13; DOI 10.64898/2026.07.28.741277"
"Methods metric definitions","Seventeen light metrics and recommendation ranges","substantially rewrite","Several definitions, windows, dose, MDER, and support rules have been repaired or clarified.","Methods: exposure metrics; Supplementary metric guide","Use Preparation 04 as the only current metric authority. Do not copy legacy formulas or ranges without mapping.","Preparation 03 and 04; deviation overlay"
"Methods preprocessing and coverage","Time alignment, state masks, non-wear, sleep, gaps, valid days, and sample flow","substantially rewrite","The accepted preparation chain now gives fixed UTC and local-time handling, hybrid-day rules, coverage thresholds, and sensitivity roles.","Methods: time alignment, states, coverage, and analytical samples","Rebuild from Preparations 01, 02, and 06. Preserve incomplete independent-reconstruction qualifications where material.","Preparation 01, 02, 03, 04, and 06"
"Methods statistical analysis","Research-question and hypothesis-by-hypothesis models","relocate and substantially rewrite","Technical accuracy is necessary, but the main Methods should follow conceptual analysis families rather than eleven labels.","Methods: multiscale temporal variation; geographic context; immediate context and routines; individual characteristics","Describe each accepted estimand, model family, multiplicity rule, and sample in conceptual order. Put the full preregistration crosswalk in Supplementary Information.","All accepted result companions; model-reporting decision"
"Methods sensitivities and deviations","Gap, placement, influence, and deviations","update","Accepted sensitivities and deviation dispositions are more complete and several non-estimable or superseded routes need precise classification.","Methods: robustness and preregistration; Supplementary Information","Summarize families and link to the current deviation record. Do not narrate internal workflow history.","Deviation reader overlay; accepted reports; AUDIT-004"
"Data, code, author, funding, interests, AI, and other end matter","Submission declarations","update","The legacy sections provide a useful scaffold, but Nature Health has different explicit policies and substantive LLM assistance requires an accurate disclosure.","End matter after scientific draft stabilizes","Retain verifiable facts only. Reconcile repository access, author approvals, ethics, contributions, sponsor role, competing interests, and AI disclosure before finalization.","Nature Health official policies accessed 2026-08-13"
"Main figures and tables","Three figures and three tables organized around the previous analysis","omit as fixed roles; reuse selected content only","Current accepted display catalog contains stronger and more complete candidates. All current principal roles remain provisional.","Provisional six-item main display plan","Use the legacy displays only as design references. Select sealed current outputs after REPORT-017 and author visual approval.","REPORT-017 status; output catalog and shortlist"
"Supplementary figures, tables, and methods","Legacy hypothesis-organized supporting information","substantially rewrite","The content remains useful as a completeness model, but values, roles, analyses, and journal formatting have changed.","New Supplementary Information outline","Rebuild around metric definitions, sample flow, complete category results, full person-level results, diagnostics, sensitivities, placement, and preregistration traceability.","Accepted reports; Nature Health AIP and Supplementary Information rules"
