"paragraph_id","manuscript_section","claim_ids","evidence_role","accepted_sources","required_qualification","status"
"P-R08","Results geography","NH-C003;NH-C013;NH-C014;NH-C015;NH-C016","primary geographic families","notebooks/hypotheses/H01.qmd; audit/hypotheses/H01/H01_analysis_preparation.qmd","Counts are separate 17-test FDR families; site-model adequacy does not make latitude irrelevant.","mapped"
"P-R09","Results geography","NH-C017;NH-C018;NH-C039","nonlinear photoperiod and limitation","notebooks/hypotheses/H07.qmd; audit/hypotheses/H07/H07_analysis_preparation.qmd","Near-flat tail is descriptive, pointwise and model-sensitive; no ceiling, mechanism or identified interaction.","mapped"
"P-R10","Results immediate context","NH-C002;NH-C019;NH-C039","light-source association","notebooks/hypotheses/H03.qmd; audit/hypotheses/H03/H03_analysis_preparation.qmd","Site-standardised observational category estimates are not intervention effects; sparse cells and working-model limits remain.","mapped"
"P-R11","Results immediate context","NH-C002;NH-C020","activity association","notebooks/hypotheses/H04.qmd; audit/hypotheses/H04/H04_analysis_preparation.qmd","Activity categories are self-reported, may be concurrent and use fractional weighting.","mapped"
"P-R12","Results routines","NH-C021;NH-C022;NH-C023;NH-C039","hourly main estimand","notebooks/hypotheses/H06.qmd; audit/hypotheses/H06/H06_analysis_preparation.qmd","Free-day association is site- and model-sensitive; previous sleep is inconclusive; all are observational.","mapped"
"P-R13","Results routines","NH-C024;NH-C025;NH-C039","daily complement","notebooks/hypotheses/H06_daily.qmd; audit/hypotheses/H06_daily/H06_daily_analysis_preparation.qmd","Daily evidence is complementary and uses different outcomes and weighting; diagnostic and deletion limitations remain.","mapped"
"P-R14","Results person-level","NH-C026;NH-C027;NH-C028","null and non-estimable families","notebooks/hypotheses/H05.qmd; notebooks/hypotheses/H08.qmd; accepted preparation companions","No adjusted support is not equivalence; unfit cells remain in family accounting and are not nulls.","mapped"
"P-R15","Results person-level","NH-C029;NH-C030","chronotype timing","notebooks/hypotheses/H09.qmd; audit/hypotheses/H09/H09_analysis_preparation.qmd","MCTQ and MEQ directions and scales remain distinct; unsupported outcomes are not evidence of absence.","mapped"
"P-R16","Results person-level","NH-C032;NH-C033;NH-C035;NH-C036;NH-C038","age and biological-sex synthesis","notebooks/hypotheses/H10.qmd; notebooks/hypotheses/H11.qmd; accepted preparation companions","Age is cross-sectional; sex is not gender; global curve test controls inference; windows are pointwise; activity adjustment is not mediation.","mapped"
"P-R17","Results placement","NH-C051;NH-C052","paired relation and recruitment","notebooks/descriptives.qmd; notebooks/placement_decision.qmd; audit/manuscript_nature_health/author_decision_2026-08-13.md","Recruitment possibility is not analytical eligibility, and chest is not an enlarged ocular sample.","mapped"
"P-R18","Results placement","NH-C007;NH-C054","structured position differences","bioRxiv DOI 10.64898/2026.07.28.741277 v2; notebooks/placement_decision.qmd; accepted common-sample analyses","Overlapping cohort, no independent replication, no pooling, equivalence or universal correction.","mapped"
"P-R19","Results robustness","NH-C027;NH-C031;NH-C039;NH-C040","non-estimable, diagnostic and provenance boundaries","notebooks/hypotheses/H05.qmd; notebooks/hypotheses/H06_daily.qmd; notebooks/hypotheses/H09.qmd; notebooks/preparation/03_reference_profiles.qmd; notebooks/preparation/04_metric_derivation.qmd; notebooks/preparation/06_model_ready_datasets.qmd","Non-estimable remains non-estimable; incomplete reconstruction is not evidence of known error.","mapped"
"P-D01","Discussion","NH-C001;NH-C002;NH-C003;NH-C004","cross-source synthesis","accepted Descriptives, H01-H11 and H06_daily reports and companions","Synthesis remains observational and role-aware.","mapped"
"P-D02","Discussion","NH-C042;NH-C045;NH-C046;NH-C047;NH-C048","recommendation interpretation","notebooks/descriptives.qmd; Brown et al. 2022","Pooled valid-minute fractions, target-population caveat, bedside sleep, no health-risk or benefit inference.","mapped"
"P-D03","Discussion","NH-C003;NH-C013;NH-C014;NH-C015;NH-C016;NH-C017;NH-C018;NH-C039","geographic interpretation","notebooks/hypotheses/H01.qmd; notebooks/hypotheses/H07.qmd","No causal latitude, ceiling or separated seasonal mechanism.","mapped"
"P-D04","Discussion","NH-C002;NH-C019;NH-C020;NH-C021;NH-C022;NH-C023;NH-C024;NH-C025","proximal context interpretation","notebooks/hypotheses/H03.qmd; notebooks/hypotheses/H04.qmd; notebooks/hypotheses/H06.qmd; notebooks/hypotheses/H06_daily.qmd","No intervention effect; hourly and daily estimands remain distinct.","mapped"
"P-D05","Discussion","NH-C004;NH-C026;NH-C027;NH-C028;NH-C029;NH-C030;NH-C032;NH-C033;NH-C035;NH-C036;NH-C038","person-level synthesis","accepted H05, H08, H09, H10 and H11 reports and companions","Broad unsupported families and selective findings remain distinct; no profiling or mechanism claim.","mapped"
"P-D06","Discussion","NH-C007;NH-C051;NH-C054","measurement meaning","notebooks/placement_decision.qmd; author decision; public placement preprint v2","Biological proximity, burden and recruitment feasibility are separate considerations; no universal correction.","mapped"
"P-D07","Discussion","NH-C050","strengths","Guidolin et al. protocol; Stefani et al. 2024; Zauner et al. 2025 and 2026; accepted preparation corpus","Collection effort is a strength only with quality safeguards and is not itself validity evidence.","mapped"
"P-D08","Discussion","NH-C039;NH-C040;NH-C041;NH-C042","limitations","accepted reports and model checks; DEV-003 reader disposition; preparation provenance reports; reviewer concern map","No population representation, causality or health endpoint; model and provenance qualifications remain visible.","mapped"
"P-D09","Discussion","NH-C042;NH-C044","bounded implication","accepted cross-source synthesis; Nature Health targeting memo","Prospective use for surveillance and future health linkage, not demonstrated policy or health benefit.","mapped"
"P-M01","Methods design","","protocol method","bibliography.bib: guidolin2024; manuscript/R0_NatMed/ZaunerEtAl2026_NatMed.docx; notebooks/descriptives.qmd","Opportunity sites are not nationally representative.","mapped"
"P-M02","Methods participants","NH-C041;NH-C051","recruitment and population qualification","legacy Methods; notebooks/preregistration_deviations.qmd DEV-003; audit/manuscript_nature_health/author_decision_2026-08-13.md","Registered restrictions were not uniform; recruitment willingness is not eligibility.","mapped"
"P-M03","Methods ethics","NH-C043","ethics and engagement status","legacy Methods; Nature Health targeting memo; task-local unresolved author decisions","Local approvals and factual engagement statement require author confirmation before final integration.","provisional-author-input"
"P-M04","Methods measurement","NH-C007;NH-C008;NH-C050","sensor and state method","notebooks/preparation/01_import_state_alignment.qmd; notebooks/placement_decision.qmd; Guidolin et al. protocol; accepted QA/QC sources","Near-eye is an approximation during wear; sleep is bedside; chest is complementary.","mapped"
"P-M05","Methods measurement","NH-C007;NH-C054","related placement and common samples","notebooks/placement_decision.qmd; public placement preprint v2; accepted common-sample reports","Overlapping data and no pooled or universal conversion.","mapped"
"P-M06","Methods context","NH-C002;NH-C021;NH-C022;NH-C023","diary representation","notebooks/hypotheses/H03.qmd; notebooks/hypotheses/H04.qmd; notebooks/hypotheses/H06.qmd; accepted preparation companions","Activity labels can be concurrent; total hourly weight remains one.","mapped"
"P-M07","Methods person measures","NH-C026;NH-C028;NH-C029;NH-C030;NH-C032;NH-C033","questionnaires and demographic constructs","legacy Methods; accepted H05, H08, H09 and H10 reports; fixed participant inputs","Chronotype instruments remain separate; sex is not gender.","mapped"
"P-M08","Methods preparation","","time and operating-range method","notebooks/preparation/01_import_state_alignment.qmd","UTC and local time have separate roles; repeated and absent clock minutes remain explicit.","mapped"
"P-M09","Methods preparation","NH-C005;NH-C006;NH-C008","state and coverage method","notebooks/preparation/01_import_state_alignment.qmd; notebooks/preparation/02_coverage_sample_flow.qmd; notebooks/descriptives.qmd","Sleep is retained; waking non-wear is missing; zeros are not general missing-value replacements.","mapped"
"P-M10","Methods metrics","NH-C053","metric method","notebooks/preparation/04_metric_derivation.qmd; artifacts/09_tables/descriptives/metric_descriptive_summary_replica.csv","Support failure affects one metric; continuous-period lower-bound status preserved.","mapped"
"P-M11","Methods metrics","NH-C053","MDER method","notebooks/preparation/04_metric_derivation.qmd; notebooks/preparation/06_model_ready_datasets.qmd","Mean of viable positive one-minute ratios, not ratio of integrals or profile-weighted estimate.","mapped"
"P-M12","Methods recommendations","NH-C009;NH-C045;NH-C046;NH-C047;NH-C048","recommendation comparison","notebooks/descriptives.qmd; accepted recommendation-context CSV; Brown et al. 2022","Pooled state-specific valid-minute fractions, no participant classifications.","mapped"
"P-M13","Methods temporal architecture","NH-C010;NH-C011;NH-C012;NH-C039","daily-pattern model","notebooks/hypotheses/H02.qmd; audit/hypotheses/H02/H02_analysis_preparation.qmd","Transformed-scale model summaries; conditional fixed-structure resampling.","mapped"
"P-M14","Methods geography","NH-C013;NH-C014;NH-C015;NH-C016","metric-model families","notebooks/hypotheses/H01.qmd; audit/hypotheses/H01/H01_analysis_preparation.qmd","Four complete families; site and latitude assessed on separate same-frame models.","mapped"
"P-M15","Methods photoperiod","NH-C017;NH-C018;NH-C039","nonlinear model","notebooks/hypotheses/H07.qmd; audit/hypotheses/H07/H07_analysis_preparation.qmd","Pointwise descriptive transition, not equivalence or ceiling.","mapped"
"P-M16","Methods context","NH-C019;NH-C020;NH-C039","light-source and activity models","notebooks/hypotheses/H03.qmd; notebooks/hypotheses/H04.qmd; accepted preparation companions","Working log-mean models with clustered inference; interaction summaries are descriptive context.","mapped"
"P-M17","Methods routines","NH-C021;NH-C022;NH-C023;NH-C024;NH-C025;NH-C039","hourly main and daily complement","notebooks/hypotheses/H06.qmd; notebooks/hypotheses/H06_daily.qmd; accepted preparation companions","Hourly is main; daily is complementary and uses different weighting and outcomes.","mapped"
"P-M18","Methods person-level","NH-C026;NH-C027;NH-C028;NH-C029;NH-C030;NH-C032;NH-C033","metric-based person models","accepted H05, H08, H09 and H10 reports and companions","Complete FDR families retain non-estimable slots; instruments and constructs remain separate.","mapped"
"P-M19","Methods person-level","NH-C035;NH-C036;NH-C038;NH-C039","whole-curve model","notebooks/hypotheses/H11.qmd; audit/hypotheses/H11/H11_analysis_preparation.qmd","Global test controls inference; clock intervals are pointwise; secondary adjustment is exploratory.","mapped"
"P-M20","Methods inference","NH-C039","multiplicity and uncertainty","all accepted hypothesis reports; Benjamini and Hochberg 1995","Families remain separate; non-support is not equivalence; intervals retain stated scope.","mapped"
"P-M21","Methods checks","NH-C039","diagnostics and sensitivity","accepted H01-H11 and H06_daily reports and companions; preparations 03, 04 and 06","Qualifications stay outcome-specific; placements stay separate.","mapped"
"P-M22","Methods preregistration","NH-C031;NH-C040;NH-C041","preregistration and deviations","AsPredicted #273407; notebooks/preregistration_deviations.qmd; current reader-disposition overlay","Current deviations, qualifications and superseded history remain distinct.","mapped"
"P-M23","Methods availability","","availability placeholder","bibliography.bib: zauner2026a; current repository records","Final repositories, access terms, licences and restricted information require reconciliation.","provisional-author-input"
"P-M24","Methods AI statement","","assistance disclosure placeholder","task-local manuscript records and handoff","No claim that AI generated accepted analyses; final tool and human-review details require author confirmation.","provisional-author-input"
