"paragraph_id","manuscript_section","claim_ids","evidence_role","accepted_sources","required_qualification","status"
"P-D03","Discussion","NH-P3-030","geography and photoperiod interpretation","accepted H01 and H07 reports and tables","Metric specificity, confounding with site and descriptive near-flat tails must remain visible; no ceiling.","mapped"
"P-D04","Discussion","NH-P3-031","context, site interaction and participant-intercept interpretation","accepted H03, H04 and H06 reports and tables; H03 owner-approved participant random-intercept assessment at commit c88c2d7","Observational self-selection and site dependence preclude causal intervention contrasts. Exploratory participant heterogeneity does not support individual prediction.","mapped"
"P-D05","Discussion","NH-P3-032","person-level interpretation","accepted H05, H08, H09, H10 and H11 reports; H11 activity tables","Do not infer a general phenotype or activity mechanism; gender was not analysed.","mapped"
"P-D06","Discussion","NH-P3-033","placement meaning and feasibility","placement decision; paired display decision; placement preprint; author feedback","Near-eye is closer to the ocular field but not retinal; chest remains non-ocular complementary evidence.","mapped"
"P-D07","Discussion","NH-P3-034","strengths and burden","H02 accepted model; protocol; bibliography.bib: stefani2024, zauner2025, zauner2026","Strength is local-clock layered modelling plus harmonised high-burden near-eye collection, not merely elapsed-time bookkeeping.","mapped"
"P-D08","Discussion","NH-P3-035","limitations","accepted report qualifications; preregistration deviations; author feedback","No health outcome, representativeness or causal claims; gender not analysed; site and time remain entangled.","mapped"
"P-D09","Discussion","NH-P3-036","conclusion","complete accepted corpus and health_outcomes_discovery/positioning.md","Future health linkage and causal benefits remain to be tested.","mapped"
"P-M01","Methods: design","NH-P3-037","protocol and sites","bibliography.bib: guidolin2024, walde2023; legacy submission design text; notebooks/descriptives.qmd","Opportunity sites are not nationally representative; translated administration details retained.","mapped"
"P-M02","Methods: participants","NH-P3-038","eligibility, sample target and recruitment","protocol; bibliography.bib: zauner2024; preregistration deviations; author feedback","Registered restrictions were not uniform; chest concerns willingness and recruitment, not eligibility.","mapped"
"P-M03","Methods: ethics","NH-P3-039","verified site ethics and formative Tübingen participant input","ethics_documents.zip SHA-256 770f0a121f25229cfb255b525ee4189bf1744afbce9c7a3b43c2c8141de6bd50; ethics_approval_matrix.csv; bibliography.bib: guidolin2024; author confirmation that BAuA uses the TUM multicentre approval; author clarification on 2026-08-14 that the protocol trial sample is the Tübingen site included in the present cohort","Committee names and identifiers are verified from the supplied records. Tübingen participant feedback informed procedural refinements before the remaining sites; this is not labelled formal participant or community co-design, and the Tübingen cohort is not represented as a separate pilot sample.","mapped"
"P-M04","Methods: measurement","NH-P3-040","device, calibration and placement","protocol; bibliography.bib: cies02, ishihara2025, guidolin2026, zauner2026; placement decision","Near-eye is not retinal; sleep is bedside; device-range details are manufacturer and external benchmark statements.","mapped"
"P-M05","Methods: measurement","NH-P3-041","public placement analysis and common sample","placement decision; placement preprint; paired display decision","Overlapping analysis, separate fits and no conversion.","mapped"
"P-M06","Methods: contextual measures","NH-P3-042","assessment schedule and platforms","protocol; bibliography.bib: Carney2012, kaida2006, tsanas2016, sischka2020, harris2022, patridge2018","Collected assessments are distinguished from variables used in accepted models.","mapped"
"P-M06A","Methods: contextual measures","NH-P3-043","light-source and activity coding","protocol; bibliography.bib: Bajaj2011; accepted H03 and H04 preparations","One primary light source per hour; concurrent activities use total weight one.","mapped"
"P-M07","Methods: person measures","NH-P3-044","questionnaires, sex and gender","protocol; bibliography.bib: kantermann2015, horne1976, verriotto2017, grandner2022, siraji2023; audit/hypotheses/H10/01_audit_and_plan.qmd","Biological sex and gender were separate source variables; only biological sex was analysed.","mapped"
"P-M08","Methods: time preparation","NH-P3-045","actual and local time","preparations 01, 03 and 04; accepted central decisions","Local clock aligns daily patterns; actual time controls sequence and gaps; DST repeats remain distinct.","mapped"
"P-M09","Methods: state and coverage","NH-P3-046","sleep, non-wear and coverage","preparations 01, 02 and 06; descriptives report","Unsupported intervals remain missing; hybrid day and exact-all-zero rules preserved.","mapped"
"P-M10","Methods: metrics","NH-P3-047","17 metric definitions and support","preparation 04; descriptives metric table; bibliography.bib: base, LightLogR, hartmeyer2023, zauner2025a","Metric streams and offset handling remain exact; lower-bound longest periods are qualified.","mapped"
"P-M11","Methods: metrics","NH-P3-048","melanopic daylight efficacy ratio","preparations 04 and 06","Arithmetic mean of minute ratios with viable-channel support; not ratio of daily integrals.","mapped"
"P-M12","Methods: recommendations","NH-P3-049","minute-level context comparison","descriptives recommendation table; brown2022","Wake and pre-sleep are near-eye; sleep is bedside; no participant classification.","mapped"
"P-M13","Methods: temporal architecture","NH-P3-050","GAM, dispersion and Shapley","accepted H02 report and preparation; bibliography.bib: hastie1986, hastie1995, mgcv, pedersen2019; references_additional.bib: azen2003, groemping2007","Shapley is conditional in-sample model-fit credit, not causal or predictive importance.","mapped"
"P-M14","Methods: geography","NH-P3-051","metric models, software and multiplicity","accepted H01 report and preparation; bibliography.bib: lme4, glmmTMB, performance, emmeans; references_additional.bib: jorgensen1987, dunn2005","Four complete 17-test families remain separate; term part R2 is non-additive.","mapped"
"P-M15","Methods: nonlinear photoperiod","NH-P3-052","derivative rule and sensitivities","accepted H07 report and preparation; bibliography.bib: gratia; gap-timing-unaware dataset decision","Slope rule is descriptive and not equivalence, a mechanism or ceiling. The gap-timing-unaware definition preserves the hourly and daily coverage rules.","mapped"
"P-M16","Methods: immediate context","NH-P3-053","quasi-Tweedie category, interaction, within/between and exploratory participant-intercept models","accepted H03 and H04 reports and preparations; notebooks/hypotheses/H03.qmd at commit c88c2d7; notebooks/hypotheses/H04.qmd at commit 2c8c097 and companion SHA-256 28e44e527f1048cdd2b56cf2d7d7ed4b6a1faea5b8cd2c6765068fb2bf994d3d; H03 and H04 participant-intercept artifacts; bibliography.bib: glmmTMB, performance; references_additional.bib: jorgensen1987, dunn2005","Primary population-mean inference remains the anchor. The light-source within/between sensitivity is not a random-slope model. Exploratory models have one common participant intercept, point-only model-based R2 and no individual-prediction claim. The H04 fixed-predictor variance preserves exact fractional weights and excludes Other-only hours.","mapped"
"P-M17","Methods: routine models","NH-P3-054","main hourly and complementary daily analyses","accepted H06 and H06_daily reports and preparations","Related but different outcomes, weights and structures; neither substitutes for the other.","mapped"
"P-M18","Methods: person-level models","NH-P3-055","metric-level person analyses","accepted H05, H08, H09 and H10 reports and preparations","Complete FDR families retain non-estimable slots; instruments and constructs remain separate.","mapped"
"P-M19","Methods: whole-curve sex model","NH-P3-056","complete-curve and activity sensitivity","accepted H11 report and preparation","Clock-specific uncertainty is not a separate whole-window test; activity analysis is exploratory.","mapped"
"P-M20","Methods: inference","NH-P3-057","multiplicity and reporting","all accepted reports; bibliography.bib: benjamini1995; model_reporting decision","Reader uses FDR, not BH; full method name is retained only for reproducibility; non-support is not absence.","mapped"
"P-M21","Methods: checks","NH-P3-058","model checks and sensitivities","accepted H01 to H11 and complementary daily reports; preparations 03, 04 and 06; bibliography.bib: base, tidyverse","Qualifications remain outcome-specific; gap-timing-unaware definition and separate placements retained.","mapped"
"P-M22","Methods: preregistration","NH-P3-059","preregistration and deviations","AsPredicted 273407; notebooks/preregistration_deviations.qmd; current reader-disposition overlay","Current scientific deviations, qualifications and superseded history remain distinct.","mapped"
"P-M23","Data availability","NH-P3-060","public project and site data repositories","legacy Nature Medicine manuscript SHA-256 9cd2e1ffb1395337528db4e3151a8fbbb3ab4be8352852424bda06aca9527e35; author confirmation on 2026-08-14; bibliography.bib: zauner2026a, melidosData, akuffo2025, baezamoyano2025, broszio2025, didikoglu2025, guidolin2025, sancho-salas2026, hilden2025, nilssontengelin2026, aerts2025","The author confirmed that the repositories stated in the original manuscript remain the current repositories. Final archived analysis version still requires reconciliation after the Brown model, figures and author rewrite.","mapped"
"P-M24","Methods: AI statement","NH-P3-061","assistance disclosure placeholder","task-owned manuscript audit and worker handoff","Final system, version and human-review wording requires author confirmation.","provisional-author-input"
"P-A01","Code availability","NH-P3-063","public analysis repository, rendered reports and archive","legacy Nature Medicine manuscript SHA-256 9cd2e1ffb1395337528db4e3151a8fbbb3ab4be8352852424bda06aca9527e35; author confirmation on 2026-08-14","The live repository is current. The Zenodo archive must be reconciled with the final manuscript snapshot before submission.","mapped"
"P-A02","Acknowledgements","NH-P3-064","participant and device-loan acknowledgements","legacy Nature Medicine manuscript SHA-256 9cd2e1ffb1395337528db4e3151a8fbbb3ab4be8352852424bda06aca9527e35; author confirmation on 2026-08-14","Acknowledgement does not imply participant co-design or community engagement.","mapped"
"P-A03","Funding","NH-P3-065","project funding, additional support and sponsor role","legacy Nature Medicine manuscript SHA-256 9cd2e1ffb1395337528db4e3151a8fbbb3ab4be8352852424bda06aca9527e35; author confirmation on 2026-08-14","Funding text is carried forward from the original submission and remains subject to final all-author confirmation before submission.","mapped"
"P-A04","Author contributions","NH-P3-066","contribution roles","legacy Nature Medicine manuscript SHA-256 9cd2e1ffb1395337528db4e3151a8fbbb3ab4be8352852424bda06aca9527e35; author confirmation on 2026-08-14","Duplicate initials within two legacy role lists were removed mechanically. Final manuscript approval by all authors remains outstanding.","mapped"
"P-A05","Competing interests","NH-P3-067","M.S. competing-interest declaration","legacy Nature Medicine manuscript SHA-256 9cd2e1ffb1395337528db4e3151a8fbbb3ab4be8352852424bda06aca9527e35; author confirmation on 2026-08-14","Disclosure is carried forward from the original submission and retains its stated 2021 to 2025 interval. It must be rechecked before submission.","mapped"
"P-A06","Competing interests","NH-P3-068","J.Z. competing-interest declaration","legacy Nature Medicine manuscript SHA-256 9cd2e1ffb1395337528db4e3151a8fbbb3ab4be8352852424bda06aca9527e35; author confirmation on 2026-08-14","Disclosure is carried forward from the original submission and retains its stated 2021 to 2025 interval. It must be rechecked before submission.","mapped"
"P-A07","Competing interests","NH-P3-069","A.D., D.B. and remaining-author competing-interest declarations","legacy Nature Medicine manuscript SHA-256 9cd2e1ffb1395337528db4e3151a8fbbb3ab4be8352852424bda06aca9527e35; author confirmation on 2026-08-14","Disclosures are carried forward from the original submission and must be rechecked before submission.","mapped"
