"old_number","old_reference","doi","library_key","library_title","current_key","current_title","disposition","reason_category","reason"
11,"Biller, A. M., Balakrishnan, P. & Spitschan, M. Behavioural determinants of physiologically-relevant light exposure. Communications Psychology 2, (2024).","10.1038/s44271-024-00159-5","biller2024","Behavioural determinants of physiologically-relevant light exposure","biller2024","Behavioural determinants of physiologically-relevant light exposure","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
12,"Spitschan, M. & Zauner, J. Light exposure as a modifiable determinant of mental health. Current Psychiatry Reports 28, (2026).","10.1007/s11920-026-01671-7","spitschan2026a","Light exposure as a modifiable determinant of mental health","spitschan2026a","Light exposure as a modifiable determinant of mental health","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
13,"Didikoglu, A. et al. Associations between light exposure and sleep timing and sleepiness while awake in a sample of UK adults in everyday life. Proceedings of the National Academy of Sciences 120, (2023).","10.1073/pnas.2301608120","didikoglu2023","Associations between light exposure and sleep timing and sleepiness while awake in a sample of UK adults in everyday life","didikoglu2023","Associations between light exposure and sleep timing and sleepiness while awake in a sample of UK adults in everyday life","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
14,"Burns, A. C. et al. Day and night light exposure are associated with psychiatric disorders: An objective light study in \>85,000 people. Nature Mental Health 1, 853--862 (2023).","10.1038/s44220-023-00135-8","burns2023","Day and night light exposure are associated with psychiatric disorders: An objective light study in >85,000 people","burns2023","Day and night light exposure are associated with psychiatric disorders: An objective light study in >85,000 people","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
15,"Windred, D. P. et al. Personal light exposure patterns and incidence of type 2 diabetes: Analysis of 13 million hours of light sensor data and 670,000 person-years of prospective observation. The Lancet Regional Health - Europe 42, 100943 (2024).","10.1016/j.lanepe.2024.100943","windred2024","Personal light exposure patterns and incidence of type 2 diabetes: Analysis of 13 million hours of light sensor data and 670,000 person-years of prospective observation","windred2024","Personal light exposure patterns and incidence of type 2 diabetes: Analysis of 13 million hours of light sensor data and 670,000 person-years of prospective observation","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
16,"Windred, D. P. et al. Brighter nights and darker days predict higher mortality risk: A prospective analysis of personal light exposure in \>88,000 individuals. Proceedings of the National Academy of Sciences 121, (2024).","10.1073/pnas.2405924121","windred2024a","Brighter nights and darker days predict higher mortality risk: A prospective analysis of personal light exposure in >88,000 individuals","windred2024a","Brighter nights and darker days predict higher mortality risk: A prospective analysis of personal light exposure in >88,000 individuals","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
17,"Price, L. L. A., Khazova, M. & Udovičić, L. Assessment of the light exposures of shift-working nurses in london and dortmund in relation to recommendations for sleep and circadian health. Annals of Work Exposures and Health 66, 447--458 (2021).","10.1093/annweh/wxab092","price2021","Assessment of the light exposures of shift-working nurses in london and dortmund in relation to recommendations for sleep and circadian health","price2021","Assessment of the light exposures of shift-working nurses in london and dortmund in relation to recommendations for sleep and circadian health","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
18,"Esaki, Y. et al. Effect of evening light exposure on sleep in bipolar disorder: A longitudinal analysis for repeated measures in the APPLE cohort. Australian & New Zealand Journal of Psychiatry 55, 305--313 (2020).","10.1177/0004867420968886","esaki2020","Effect of evening light exposure on sleep in bipolar disorder: A longitudinal analysis for repeated measures in the APPLE cohort","esaki2020","Effect of evening light exposure on sleep in bipolar disorder: A longitudinal analysis for repeated measures in the APPLE cohort","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
19,"Obayashi, K., Saeki, K. & Kurumatani, N. Ambient light exposure and changes in obesity parameters: A longitudinal study of the HEIJO-KYO cohort. The Journal of Clinical Endocrinology & Metabolism 101, 3539--3547 (2016).","10.1210/jc.2015-4123","obayashi2016","Ambient light exposure and changes in obesity parameters: A longitudinal study of the HEIJO-KYO cohort","obayashi2016","Ambient light exposure and changes in obesity parameters: A longitudinal study of the HEIJO-KYO cohort","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
20,"Kim, M. et al. Light at night in older age is associated with obesity, diabetes, and hypertension. Sleep 46, (2022).","10.1093/sleep/zsac130","kim2022","Light at night in older age is associated with obesity, diabetes, and hypertension","kim2022","Light at night in older age is associated with obesity, diabetes, and hypertension","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
21,"Lok, R. et al. Timing of outdoor light exposure is associated with sleep-wake consolidation in community-dwelling older men. Frontiers in Sleep 2, (2023).","10.3389/frsle.2023.1268379","lok2023","Timing of outdoor light exposure is associated with sleep-wake consolidation in community-dwelling older men","lok2023","Timing of outdoor light exposure is associated with sleep-wake consolidation in community-dwelling older men","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
22,"Lok, R., Weed, L., Winer, J. & Zeitzer, J. M. Perils of the nighttime: Impact of behavioral timing and preference on mental health in 73,888 community-dwelling adults. Psychiatry Research 337, 115956 (2024).","10.1016/j.psychres.2024.115956","lok2024","Perils of the nighttime: Impact of behavioral timing and preference on mental health in 73,888 community-dwelling adults",,,"dropped","construct_mismatch","This study concerns behavioural timing and preference rather than measured personal light exposure, so it is not needed for the current health claims."
23,"Gubin, D. et al. Light environment of arctic solstices is coupled with melatonin phase-amplitude changes and decline of metabolic health. Journal of Pineal Research 77, (2024).","10.1111/jpi.70023","gubin2024","Light environment of arctic solstices is coupled with melatonin phase-amplitude changes and decline of metabolic health","gubin2024","Light environment of arctic solstices is coupled with melatonin phase-amplitude changes and decline of metabolic health","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
24,"Stefani, O. et al. Wearable light loggers in field conditions: Corneal light characteristics, user compliance, and acceptance. Clocks & Sleep 6, 619--634 (2024).","10.3390/clockssleep6040042","stefani2024","Wearable light loggers in field conditions: Corneal light characteristics, user compliance, and acceptance","stefani2024","Wearable light loggers in field conditions: Corneal light characteristics, user compliance, and acceptance","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
25,"Huss, A. et al. Shedding some light in the darka comparison of personal measurements with satellite-based estimates of exposure to light at night among children in the netherlands. Environmental Health Perspectives 127, (2019).","10.1289/ehp3431","huss2019","Shedding some light in the darka comparison of personal measurements with satellite-based estimates of exposure to light at night among children in the netherlands","huss2019corrected","Shedding some light in the dark—a comparison of personal measurements with satellite-based estimates of exposure to light at night among children in the netherlands","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
26,"CIE s 026/e:2018 CIE system for metrology of optical radiation for ipRGC-influenced responses to light. doi:10.25039/s026.2018.","10.25039/s026.2018","cies02","CIE s 026/e:2018 CIE system for metrology of optical radiation for ipRGC-influenced responses to light","cies02","CIE s 026/e:2018 CIE system for metrology of optical radiation for ipRGC-influenced responses to light","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
27,"Brown, T. M. et al. Recommendations for daytime, evening, and nighttime indoor light exposure to best support physiology, sleep, and wakefulness in healthy adults. PLOS Biology 20, e3001571 (2022).","10.1371/journal.pbio.3001571","brown2022","Recommendations for daytime, evening, and nighttime indoor light exposure to best support physiology, sleep, and wakefulness in healthy adults","brown2022","Recommendations for daytime, evening, and nighttime indoor light exposure to best support physiology, sleep, and wakefulness in healthy adults","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
28,"Biller, A. M. et al. Physiologically-relevant light exposure and light behaviour in switzerland and malaysia. Journal of Exposure Science & Environmental Epidemiology 36, 409--422 (2025).","10.1038/s41370-025-00825-8","biller2025","Physiologically-relevant light exposure and light behaviour in switzerland and malaysia","biller2025","Physiologically-relevant light exposure and light behaviour in switzerland and malaysia","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
29,"Zauner, J. et al. Auxiliary data, quality assurance and quality control for wearable light loggers and optical radiation dosimeters. npj Biological Timing and Sleep 3, (2026).","10.1038/s44323-025-00067-9","zauner2026","Auxiliary data, quality assurance and quality control for wearable light loggers and optical radiation dosimeters","zauner2026","Auxiliary data, quality assurance and quality control for wearable light loggers and optical radiation dosimeters","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
30,"Spitschan, M. et al. Illuminating the future of wearable light metrology: Overview of the MeLiDos project. Measurement 235, 114909 (2024).","10.1016/j.measurement.2024.114909","spitschan2024","Illuminating the future of wearable light metrology: Overview of the MeLiDos project","spitschan2024","Illuminating the future of wearable light metrology: Overview of the MeLiDos project","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
31,"Guidolin, C. et al. Protocol for a prospective, multicentre, cross-sectional cohort study to assess personal light exposure. BMC Public Health 24, (2024).","10.1186/s12889-024-20206-4","guidolin2024","Protocol for a prospective, multicentre, cross-sectional cohort study to assess personal light exposure","guidolin2024","Protocol for a prospective, multicentre, cross-sectional cohort study to assess personal light exposure","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
32,"Zauner, J. et al. MeLiDos project data hub. <https://doi.org/10.5281/ZENODO.19678543> (2026) doi:10.5281/ZENODO.19678543.","10.5281/zenodo.19678543","zauner2026a","MeLiDos project data hub","zauner2026a","MeLiDos project data hub","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
33,"Agbeshie, G. K. et al. Physiologically relevant real-world light exposure and its behavioural and environmental determinants in kumasi, ghana. Open Research Europe 5, 300 (2025).","10.12688/openreseurope.21304.1","agbeshie2025","Physiologically relevant real-world light exposure and its behavioural and environmental determinants in kumasi, ghana","agbeshie2025","Physiologically relevant real-world light exposure and its behavioural and environmental determinants in kumasi, ghana","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
34,"Akuffo, K. O., Agbeshie, G. K., Zauner, J. & Spitschan, M. Personal light exposure dataset for kumasi, ghana. <https://doi.org/10.5281/ZENODO.15576731> (2025) doi:10.5281/ZENODO.15576731.","10.5281/zenodo.15576731","akuffo2025","Personal light exposure dataset for kumasi, ghana","akuffo2025","Personal light exposure dataset for kumasi, ghana","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
35,"Baeza Moyano, D. et al. Personal light exposure dataset for madrid, spain. <https://doi.org/10.5281/ZENODO.16834951> (2025) doi:10.5281/ZENODO.16834951.","10.5281/zenodo.16834951","baezamoyano2025","Personal light exposure dataset for madrid, spain","baezamoyano2025","Personal light exposure dataset for madrid, spain","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
36,"Broszio, K., Zauner, J. & Spitschan, M. Personal light exposure dataset for dortmund, germany. <https://doi.org/10.5281/ZENODO.18111232> (2025) doi:10.5281/ZENODO.18111232.","10.5281/zenodo.18111232","broszio2025","Personal light exposure dataset for dortmund, germany","broszio2025","Personal light exposure dataset for dortmund, germany","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
37,"Didikoglu, A. et al. Personal light exposure dataset for izmir, türkiye. <https://doi.org/10.5281/ZENODO.16568109> (2025) doi:10.5281/ZENODO.16568109.","10.5281/zenodo.16568109","didikoglu2025","Personal light exposure dataset for izmir, türkiye","didikoglu2025","Personal light exposure dataset for izmir, türkiye","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
38,"Guidolin, C., Zauner, J. & Spitschan, M. Personal light exposure dataset for tuebingen, germany. <https://doi.org/10.5281/ZENODO.16895188> (2025) doi:10.5281/ZENODO.16895188.","10.5281/zenodo.16895188","guidolin2025","Personal light exposure dataset for tuebingen, germany","guidolin2025","Personal light exposure dataset for tuebingen, germany","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
39,"Sancho-Salas, A., von-Breymann, H., Zauner, J. & Spitschan, M. Personal light exposure dataset for san pedro, san josé, costa rica. <https://doi.org/10.5281/ZENODO.17289456> (2026) doi:10.5281/ZENODO.17289456.","10.5281/zenodo.17289456","sancho-salas2026","Personal light exposure dataset for san pedro, san josé, costa rica","sancho-salas2026","Personal light exposure dataset for san pedro, san josé, costa rica","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
40,"Hilden, S., Lee, S., Zauner, J. & Spitschan, M. Personal light exposure dataset for munich, germany. <https://doi.org/10.5281/ZENODO.16893901> (2025) doi:10.5281/ZENODO.16893901.","10.5281/zenodo.16893901","hilden2025","Personal light exposure dataset for munich, germany","hilden2025","Personal light exposure dataset for munich, germany","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
41,"Nilsson Tengelin, M., Svensson, I., Källberg, S., Zauner, J. & Spitschan, M. Personal light exposure dataset for borås, sweden. <https://doi.org/10.5281/ZENODO.18925834> (2026) doi:10.5281/ZENODO.18925834.","10.5281/zenodo.18925834","nilssontengelin2026","Personal light exposure dataset for borås, sweden","nilssontengelin2026","Personal light exposure dataset for borås, sweden","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
42,"Aerts, S. et al. Personal light exposure dataset for delft, the netherlands. <https://doi.org/10.5281/ZENODO.17979893> (2025) doi:10.5281/ZENODO.17979893.","10.5281/zenodo.17979893","aerts2025","Personal light exposure dataset for delft, the netherlands","aerts2025","Personal light exposure dataset for delft, the netherlands","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
43,"Savides, T. J., Messin, S., Senger, C. & Kripke, D. F. Natural light exposure of young adults90427-0). Physiology & Behavior 38, 571--574 (1986).","10.1016/0031-9384(86)90427-0","savides1986","Natural light exposure of young adults","savides1986","Natural light exposure of young adults","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
44,"Diffey, B. A behavioral model for estimating population exposure to solar ultraviolet radiation^†^. Photochemistry and Photobiology 84, 371--375 (2008).","10.1111/j.1751-1097.2007.00271.x","diffey2008","A behavioral model for estimating population exposure to solar ultraviolet radiation<sup>†</sup>",,,"dropped","construct_mismatch","Solar ultraviolet exposure is a different construct from the visible and melanopic personal light exposure analysed here."
45,"Middel, A., Selover, N., Hagen, B. & Chhetri, N. Impact of shade on outdoor thermal comforta seasonal field study in tempe, arizona. International Journal of Biometeorology 60, 1849--1861 (2016).","10.1007/s00484-016-1172-5","middel2016","Impact of shade on outdoor thermal comforta seasonal field study in tempe, arizona",,,"dropped","construct_mismatch","Outdoor thermal comfort is not an exposure or outcome analysed in the revised manuscript."
46,"Huang, K.-T., Lin, T.-P. & Lien, H.-C. Investigating thermal comfort and user behaviors in outdoor spaces: A seasonal and spatial perspective. Advances in Meteorology 2015, 1--11 (2015).","10.1155/2015/423508","huang2015","Investigating thermal comfort and user behaviors in outdoor spaces: A seasonal and spatial perspective",,,"dropped","construct_mismatch","Outdoor thermal comfort and space-use behaviour are outside the measured constructs and current claims."
47,"Raymond-Lezman, J. R. & Riskin, S. Attitudes, behaviors, and risks of sun protection to prevent skin cancer amongst children, adolescents, and adults. Cureus <https://doi.org/10.7759/cureus.34934> (2023) doi:10.7759/cureus.34934.","10.7759/cureus.34934","raymond-lezman2023","Attitudes, behaviors, and risks of sun protection to prevent skin cancer amongst children, adolescents, and adults",,,"dropped","construct_mismatch","Sun-protection behaviour and skin-cancer prevention concern ultraviolet exposure, not the ocular and bedside light measures analysed here."
48,"Roenneberg, T., Pilz, L. K., Zerbini, G. & Winnebeck, E. C. Chronotype and social jetlag: A (self-) critical review. Biology 8, 54 (2019).","10.3390/biology8030054","roenneberg2019","Chronotype and social jetlag: A (self-) critical review","roenneberg2019","Chronotype and social jetlag: A (self-) critical review","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
49,"Roenneberg, T. Having trouble typing? What on earth is chronotype? Journal of Biological Rhythms 30, 487--491 (2015).","10.1177/0748730415603835","roenneberg2015","Having trouble typing? What on earth is chronotype?",,,"dropped","redundant_background","This chronotype commentary is redundant with the retained critical review and the sources for the two chronotype instruments actually used."
50,"Tortello, C. et al. Chronotype delay and sleep disturbances shaped by the antarctic polar night. Scientific Reports 13, (2023).","10.1038/s41598-023-43102-0","tortello2023","Chronotype delay and sleep disturbances shaped by the antarctic polar night","tortello2023","Chronotype delay and sleep disturbances shaped by the antarctic polar night","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
51,"Bonatto, F. S. et al. Daylight exposure and mood in real life: Direct association and mediating role of sleep and routine regularity. Chronobiology International 41, 1128--1141 (2024).","10.1080/07420528.2024.2381590","bonatto2024","Daylight exposure and mood in real life: Direct association and mediating role of sleep and routine regularity","bonatto2024","Daylight exposure and mood in real life: Direct association and mediating role of sleep and routine regularity","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
52,"Costa Lopes, L. da, Ribeiro da Silva Vallim, J., Tufik, S., Louzada, F. & D'Almeida, V. Associations between real-life light exposure patterns and sleep behaviour in adolescents. Journal of Sleep Research 34, (2024).","10.1111/jsr.14315","dacostalopes2024","Associations between real-life light exposure patterns and sleep behaviour in adolescents","dacostalopes2024","Associations between real-life light exposure patterns and sleep behaviour in adolescents","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
53,"De vries, S. W., Mardaljevic, J. & Van duijnhoven, J. CHARACTERISING INTER-INDIVIDUAL VARIABILITY IN SIMULATED PERSONAL LIGHT EXPOSURE: IMPACT OF BODY MORPHOLOGY ON LIGHT-DOSIMETRY. CIE x051:2025 Proceedings of the CIE 2025 Midterm Meeting Vienna, Austria, July 4-11, 2025: Scientific Conference (July 7-9, 2025) 207--216 (2025) doi:10.25039/x051.2025/62xbgg.","10.25039/x051.2025/62xbgg","devries2025","CHARACTERISING INTER-INDIVIDUAL VARIABILITY IN SIMULATED PERSONAL LIGHT EXPOSURE: IMPACT OF BODY MORPHOLOGY ON LIGHT-DOSIMETRY","devries2025","CHARACTERISING INTER-INDIVIDUAL VARIABILITY IN SIMULATED PERSONAL LIGHT EXPOSURE: IMPACT OF BODY MORPHOLOGY ON LIGHT-DOSIMETRY","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
54,"Vries, S. W. de, Mardaljevic, J. & Duijnhoven, J. van. Impact of wear position on dosimeter performance: A hybrid measurement-simulation approach to quantify in-situ factors. npj Biological Timing and Sleep 3, (2026).","10.1038/s44323-026-00079-z","devries2026","Impact of wear position on dosimeter performance: A hybrid measurement-simulation approach to quantify in-situ factors","devries2026","Impact of wear position on dosimeter performance: A hybrid measurement-simulation approach to quantify in-situ factors","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
55,"Vries, S. W. de, Mardaljevic, J. & Duijnhoven, J. van. Impact of wear position on dosimeter performance: Measurement validity under simulated indoor illumination. npj Biological Timing and Sleep 3, (2026).","10.1038/s44323-026-00073-5","devries2026a","Impact of wear position on dosimeter performance: Measurement validity under simulated indoor illumination","devries2026a","Impact of wear position on dosimeter performance: Measurement validity under simulated indoor illumination","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
56,"Gibaldi, A., Harb, E. N., Wildsoet, C. F. & Banks, M. S. A child-friendly wearable device for quantifying environmental risk factors for myopia. Translational Vision Science & Technology 13, 28 (2024).","10.1167/tvst.13.10.28","gibaldi2024","A child-friendly wearable device for quantifying environmental risk factors for myopia","gibaldi2024","A child-friendly wearable device for quantifying environmental risk factors for myopia","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
57,"Ishihara, A. et al. Performance of wearable light sensors for measuring photopic and melanopic illuminance under laboratory and free-living conditions. SLEEPJ 49, (2025).","10.1093/sleep/zsaf358","ishihara2025","Performance of wearable light sensors for measuring photopic and melanopic illuminance under laboratory and free-living conditions","ishihara2025","Performance of wearable light sensors for measuring photopic and melanopic illuminance under laboratory and free-living conditions","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
58,"Zauner, J., Didikoglu, A. & Spitschan, M. MeLiDos Project -- Multi-country determinants of personal light exposure. (2026).",,"zauner2026melidos_preregistration","MeLiDos Project – Multi-country determinants of personal light exposure","zauner2026melidos_preregistration","MeLiDos Project – Multi-country determinants of personal light exposure","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
59,"Tengelin, M. N. & Källberg, S. Initial results from the swedish cohort in a wearable light logger field study. 2025 IEEE Sustainable Smart Lighting World Conference &amp; Expo (LS25) 1--4 (2025) doi:10.1109/ls2566125.2025.11467681.","10.1109/ls2566125.2025.11467681","tengelin2025","Initial results from the swedish cohort in a wearable light logger field study","tengelin2025","Initial results from the swedish cohort in a wearable light logger field study","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
60,"Walde, P. & Völlm, B. A. The TRAPD approach as a method for questionnaire translation. Frontiers in Psychiatry 14, (2023).","10.3389/fpsyt.2023.1199989","walde2023","The TRAPD approach as a method for questionnaire translation","walde2023","The TRAPD approach as a method for questionnaire translation","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
61,"Zauner, J., Udovicic, L. & Spitschan, M. Power analysis for personal light exposure measurements and interventions. PLOS ONE 19, e0308768 (2024).","10.1371/journal.pone.0308768","zauner2024","Power analysis for personal light exposure measurements and interventions","zauner2024","Power analysis for personal light exposure measurements and interventions","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
62,"Guidolin, C., Zauner, J., Hartmeyer, S. L. & Spitschan, M. Collecting, detecting, and handling non-wear intervals in longitudinal light exposure data. Behavior Research Methods 58, (2026).","10.3758/s13428-025-02823-y","guidolin2026","Collecting, detecting, and handling non-wear intervals in longitudinal light exposure data","guidolin2026","Collecting, detecting, and handling non-wear intervals in longitudinal light exposure data","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
63,"Kaida, K. et al. Validation of the karolinska sleepiness scale against performance and EEG variables. Clinical Neurophysiology 117, 1574--1581 (2006).","10.1016/j.clinph.2006.03.011","kaida2006","Validation of the karolinska sleepiness scale against performance and EEG variables","kaida2006","Validation of the karolinska sleepiness scale against performance and EEG variables","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
64,"Tsanas, A. et al. Daily longitudinal self-monitoring of mood variability in bipolar disorder and borderline personality disorder. Journal of Affective Disorders 205, 225--233 (2016).","10.1016/j.jad.2016.06.065","tsanas2016","Daily longitudinal self-monitoring of mood variability in bipolar disorder and borderline personality disorder","tsanas2016","Daily longitudinal self-monitoring of mood variability in bipolar disorder and borderline personality disorder","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
65,"Carney, C. E. et al. The consensus sleep diary: Standardizing prospective sleep self-monitoring. Sleep 35, 287--302 (2012).","10.5665/sleep.1642","Carney2012","The consensus sleep diary: Standardizing prospective sleep self-monitoring","Carney2012","The consensus sleep diary: Standardizing prospective sleep self-monitoring","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
66,"Sischka, P. E., Costa, A. P., Steffgen, G. & Schmidt, A. F. The WHO-5 well-being index validation based on item response theory and the analysis of measurement invariance across 35 countries. Journal of Affective Disorders Reports 1, 100020 (2020).","10.1016/j.jadr.2020.100020","sischka2020","The WHO-5 well-being index  validation based on item response theory and the analysis of measurement invariance across 35 countries","sischka2020","The WHO-5 well-being index  validation based on item response theory and the analysis of measurement invariance across 35 countries","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
67,"Bajaj, A., Rosner, B., Lockley, S. W. & Schernhammer, E. S. Validation of a light questionnaire with real-life photopic illuminance measurements: The harvard light exposure assessment questionnaire. Cancer Epidemiology, Biomarkers & Prevention 20, 1341--1349 (2011).","10.1158/1055-9965.epi-11-0204","Bajaj2011","Validation of a light questionnaire with real-life photopic illuminance measurements: The harvard light exposure assessment questionnaire","Bajaj2011","Validation of a light questionnaire with real-life photopic illuminance measurements: The harvard light exposure assessment questionnaire","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
