"paragraph_id","manuscript_numbers","accepted_source","verification_note"
"P-R09A","1.18;1.11;1.26;1.24;1.13;1.36;250;1.14;1.07;1.20;1.28;1.17;1.39;0.134;0.066;0.201;10;0.323;0.186;0.460;12;17;1;5.2%;6;4.0%","H01_stage3_primary_publication_summary.csv; H01 R2 grand-average table","Rounded per-hour associations and mean part R2 among supported metrics."
"P-R09B","10.33;20.52;6;9;10;1,000;250;14.24;16.20;10;1;250","H07_revised_plateau_summary.csv","Accepted recorded range and qualifying-transition metrics and bounds; no ceiling."
"P-R10","959.6;786.8;1,170.2;198.8;169.3;233.4;85.1;71.6;101.1;23.8;17.4;32.5;11.27;8.71;14.60;250;2.24;1.54;3.26;11.18;8.06;15.51;1","H03_reader_heterogeneity_category_estimands.csv","Accepted site-average interaction-model estimands and contextual recommendation values."
"P-R10A","130.2;11.65;0.371;0.166;52.2%;86.3%;8.7%;5.0%","H03_site_context_estimands.csv; accepted H03 quasi-deviance allocation","Site deviations and descriptive quasi-deviance allocation."
"P-R10B","0.796;0.876;0.080;89.3%;7.1%;3.7%;0.288;39.8%;27.8%;0.333;0.190;0.585;0.244;0.116;0.514;1.019;0.336;3.090;0.973","H03_near_eye_participant_random_intercept_summary.csv; H03_near_eye_participant_random_intercept_marginal_r2_shapley.csv; H03_near_eye_participant_random_intercept_diagnostics.csv; H03_sensitivity_comparison.csv","Owner-approved exploratory model-based R2, participant increment, hierarchy-respecting marginal-R2 allocation, diagnostics and within/between sensitivity estimates."
"P-R11","714.2;561.7;908.2;331.2;274.4;399.8;198.9;173.9;227.5;76.4;62.0;94.1;4.28;3.06;5.99;9.35;4.34;2.60;0.056;250;1;3,054;4.28;127;0.18;0.766;0.858;0.768;0.859;0.092;80.7%;86.1%;12.5%;5.9%;6.9%;8.0%","notebooks/hypotheses/H04.qmd at commit 2c8c097; H04 category and site-context tables; H04_participant_random_intercept_summary.csv; H04_participant_random_intercept_marginal_r2_shapley.csv","Accepted activity interaction estimands and site examples followed by the sealed exploratory model-based R2, common participant-intercept increment and hierarchy-respecting marginal-R2 allocation. The exploratory quantities are not raw response-variance or causal shares."
"P-R12","7.8;89;67;119;2.06;1.54;2.76;0.001;1.45;1.14;1.85;0.004;1.15;0.93;1.44;0.298;0.017;1.95;1.26;3.01;2.44;1.42;4.22;0.013;9;8;0.98;0.85;1.12;0.745","accepted H06 primary, interaction and practical-contrast tables","Main hourly reference, common-site additive association, interaction-model equal-site average, site interaction, exploratory site ratios and sleep-duration association."
"P-R13","0.70;0.63;0.78;9","accepted H06_daily interaction table","Site-average Free-to-Work daily mean ratio, interval and consistent site directions."
"P-R14","68;17;4;9","accepted H05 and H08 reports","Complete tested families and non-estimable slots."
"P-R15","250;0.381;0.146;0.616;0.003;10;0.444;0.189;0.699;0.001","accepted H09 primary table","Accepted chronotype timing coefficients, scale, intervals and FDR p values."
"P-R16","10;1,000;1.27;1.31;0.028;0.029;0.160;0.364;0.025;0.050","accepted H10 and H11 tables; H11_reader_activity_global_comparison.csv","Age ratios and all-available versus activity-complete global p values; activity analysis is exploratory."
"P-R17","112;643;154;902;141;816","descriptives sample contract; placement decision","Matched, chest and near-eye samples remain separate."
"P-R19","4;4;10","accepted H05, H06_daily and H09 reports","Four unfit cells per placement and darkest-10-hour non-estimable slots."
"P-D02","24.0%;63.3%;87.7%;18;55","recommendation_context_near_eye.csv; H04 category estimands; accepted Brown integrated report; Brown et al. 2022","Pooled minute fractions, modelled state-period adherence, contextual hourly estimands and recommendation scope remain distinct."
"P-D03","14.2;16.2","H07_revised_plateau_summary.csv","Rounded union of accepted metric-specific transition bounds; no ceiling."
"P-D07","24","accepted H02 daily-pattern model","Shared local-clock cycle."
"P-M01","8;7;2023;2025","protocol; notebooks/descriptives.qmd; legacy accepted design description","Protocol and collection dates."
"P-M02","18;65;80%;2;15;one-third","protocol; zauner2024; preregistration deviations","Registered criteria and target, explicitly qualified as not uniform."
"P-M03","2023-115-S-KK;2024-118-S-SB;2024-06792-01;29 May 2024;834/24/106;5/1;CEC-279-2025;CHRPE/AP/644/24","ethics_approval_matrix.csv; visually verified supplied ethics documents; author confirmation on 2026-08-14","Every reader-facing committee identifier or dated no-number review is protected; absence of participant or community co-design is author-confirmed."
"P-M04","10;8;1;100,000;10%;1,000;2;100,000;+3.3%;13.4%","protocol; Ishihara et al. 2025; manufacturer description","Sampling, channels, manufacturer range and independent benchmark remain attributed."
"P-M06","11:00;14:00;17:00;20:00","protocol; legacy accepted assessment schedule","Four scheduled smartphone assessments."
"P-M06A","1/k;1","accepted H04 preparation","Fractional concurrent-activity weight preserves total one."
"P-M07","8;4","VLSQ-8 and LEBA source instruments; accepted H05 and H08 preparations","Instrument label and retained factor count."
"P-M08","1;100,000","preparation 01","One-minute completeness and strict operating boundary."
"P-M09","1,440;80%;50%;2;3","preparation 02; descriptives report","Complete grid, coverage cutoffs and exact-all-zero exclusions."
"P-M10","17;3;10;5;1,000;250;10;1;5;250;0.1","preparation 04; descriptive metric table","Metric counts, thresholds, offset and thematic groups."
"P-M11","1,440;720","preparations 04 and 06","Complete clock grid and viable-ratio support."
"P-M12","250;10;3;1","Brown et al. 2022; descriptives report","Recommendation thresholds and three-hour context."
"P-M12A","1;80%;0%;100%;9;27","accepted Brown integrated report and main source-data tables","State-period row, coverage threshold, exact endpoints, equal-site averaging and separate site-versus-equal-site family size."
"P-M12B","4;139;3;417","accepted Brown stage3_cross_state_association/source_data/table_association_effects.csv; table_profile_sample_flow.csv; figure_participant_state_profiles.csv","Cross-state family size and anonymous complete-profile display dimensions."
"P-M13","30;15;0.1;48;2,000","accepted H02 report and preparation","Bin, support, offset, common grid and hierarchical resample count."
"P-M14","17;4","accepted H01 report and preparation","Metric count and four separate complete model questions."
"P-M15","9;6;100;50%;80%","accepted H07 report and preparation; gap-timing-unaware dataset decision","Planned metrics, basis dimension, derivative grid and retained coverage rules."
"P-M16","1;1/k;1;6;1.539919;5","accepted H03 and H04 preparations; owner-approved H03 participant assessment at commit c88c2d7; sealed H04 participant assessment at commit 2c8c097","Hourly outcome, exact fractional activity weights, six light-source participant-level proportion terms, one common participant intercept, fixed Tweedie power and five-category H04 exploratory frame."
"P-M17","8;3;15","accepted H06 and H06_daily preparations","Sleep centring, hourly families and daily metric slots."
"P-M18","5;10","accepted H09 and H10 preparations","Five timing outcomes and per-decade age scale."
"P-M19","30;0.1;24","accepted H11 report and preparation","Epoch, shifted transformation and complete daily curve."
"P-M20","95%","all accepted reports","Common interval level, with model-specific scope."
"P-M22","273407","AsPredicted registration; preregistration-deviation page","Accepted registration identifier."
"P-A01","10.5281/zenodo.20547314","legacy Nature Medicine data-availability statement; author confirmation on 2026-08-14","Current analysis archive DOI, subject to final-version reconciliation."
"P-A03","22NRM05;224S740","legacy Nature Medicine funding statement; author confirmation on 2026-08-14","Project and additional-support identifiers."
"P-A05","2021;2025;EP23159999.4A","legacy Nature Medicine competing-interest statement; author confirmation on 2026-08-14","Time boundary and patent-application identifier in M.S.'s carried-forward disclosure."
"P-A06","2021;2025;008194021-0001;-0006","legacy Nature Medicine competing-interest statement; author confirmation on 2026-08-14","Time boundary and design-patent identifiers in J.Z.'s carried-forward disclosure."
"P-A07","DR6-50","legacy Nature Medicine competing-interest statement; author confirmation on 2026-08-14","Committee role identifier in A.D.'s carried-forward disclosure."
