"claim_id","role","candidate_manuscript_claim","accepted_source","source_identity_sha256","evidence_locator","required_qualification","planned_location"
"NH-C011","supporting","When participant and day shifts were represented together, their fitted-curve dispersion relative to sites was 1.991 with a 95% interval of 1.291 to 4.767.","notebooks/hypotheses/H02.qmd","56f6ded2dae5420e36231958d0b1a50f5f938d0d9dd2172301b2340861a0ff20","Primary near-eye variation table","This is a model-based dispersion comparison and should be paired with diagnostic qualifications.","Results section 2"
"NH-C012","supporting","The Shapley allocation compared participant and site contributions at 6.410 with a 95% interval of 3.846 to 15.136 in the primary near-eye model.","notebooks/hypotheses/H02.qmd","56f6ded2dae5420e36231958d0b1a50f5f938d0d9dd2172301b2340861a0ff20","Primary near-eye relevance table","The allocation is conditional, in-sample, model-based, and not a causal attribution or general predictive importance measure.","Results section 2, if space permits"
"NH-C013","supporting","Overall site differences retained false-discovery-rate support for 8 of 17 primary near-eye metric families.","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9","Primary model-support figure and publication summary","Counts describe separately adjusted 17-test families and do not imply that every site contrast is supported.","Results section 3; provisional display"
"NH-C014","supporting","Civil photoperiod retained false-discovery-rate support for 12 of 17 primary near-eye metric families.","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9","Primary model-support figure and publication summary","Photoperiod is linked to site and collection period and does not represent all seasonal or weather variation.","Results section 3"
"NH-C015","supporting","Absolute latitude retained false-discovery-rate support for 6 of 17 primary near-eye metric families.","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9","Primary model-support figure and publication summary","Latitude is an ecological site attribute in this design and should not be interpreted as an isolated causal exposure.","Results section 3"
"NH-C016","supporting","For 8 of 17 primary near-eye metric families, a categorical site model fit better than a simple linear latitude model after family-wise false-discovery-rate adjustment.","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9","Site-versus-linear-latitude adequacy family","This is a model adequacy comparison, not proof that latitude is irrelevant.","Results section 3"
"NH-C017","supporting","Several photoperiod associations were consistent with an increase followed by a sustained near-flat tail across the observed range.","notebooks/hypotheses/H07.qmd","c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226","Primary near-eye derivative classifications","Do not call this a ceiling, saturation, equivalence, or biological mechanism. Pointwise derivative intervals and extreme overlap among nonlinear terms limit attribution.","Results section 3"
"NH-C018","limitation","The nonlinear photoperiod analysis could not identify a latitude-by-photoperiod interaction separately from site and collection context.","notebooks/hypotheses/H07.qmd","c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226","Interaction, concurvity, and interpretation sections","State the non-identifiability and avoid mechanistic or universal photoperiod claims.","Results section 3; Discussion"
"NH-C019","supporting","Site-standardized near-eye exposure under outdoor daylight was estimated at 959.6 lx with a 95% interval of 786.8 to 1170.2, or 11.274 times indoor electric light with a 95% interval of 8.709 to 14.595.","notebooks/hypotheses/H03.qmd","84625736235533fc80da6f4b24b6c9904c7e59db0cb9545da9ceebc1c2cfd093","Primary light-source results","The unit is melanopic equivalent daylight illuminance. Estimates describe observed labelled contexts in a site-standardized model and are not causal effects.","Results section 4; provisional display"
"NH-C020","supporting","In the activity analysis, the site-average near-eye estimate was 714.2 lx outdoors compared with 76.4 lx at home, a ratio of 9.354.","notebooks/hypotheses/H04.qmd","3f56afe495a343218a8ae1803be4d56bd5768447a2e6bee4bd695f1ea1269837","Primary activity results","Activity categories were self-reported, may be concurrent, and use weighted multi-select handling. Associations are observational.","Results section 4; provisional display"
"NH-C021","supporting","In the hourly main analysis, active days were associated with 2.06 times the expected supported-hour near-eye exposure of sedentary days, with a 95% interval of 1.54 to 2.76 and adjusted p below 0.001.","notebooks/hypotheses/H06.qmd","692c28ce165eda27e0b85dbb73f2e834a31a188ae8eefe9f1391980bd5641459","Primary effects table","Hourly exposure is the main estimand. Residual time structure, zero mass, model form, and observational confounding remain.","Results section 4"
"NH-C022","supporting","In the hourly main analysis, free days were associated with 1.45 times the expected supported-hour near-eye exposure of work days, with a 95% interval of 1.14 to 1.85 and adjusted p equal to 0.004.","notebooks/hypotheses/H06.qmd","692c28ce165eda27e0b85dbb73f2e834a31a188ae8eefe9f1391980bd5641459","Primary effects table","The site-varying equal-site contrast was weaker and included the null. The finding is site- and model-sensitive.","Results section 4"
"NH-C023","null","The hourly association per additional hour of previous sleep was 0.98 with a 95% interval of 0.85 to 1.12 and adjusted p equal to 0.745.","notebooks/hypotheses/H06.qmd","692c28ce165eda27e0b85dbb73f2e834a31a188ae8eefe9f1391980bd5641459","Primary effects table","Describe as inconclusive for the hourly estimand, not as proof of no relation. The daily complement addresses different metric-level estimands.","Results section 4"
"NH-C024","complementary","The daily complement showed broad associations of day type, activity, and previous sleep with multiple daily exposure metrics, while some directions or strengths differed from the hourly estimand.","notebooks/hypotheses/H06_daily.qmd","01213a193515c49419dcd1ed9cffcc070a88d639a7382e218275a89bd704cb08","Primary daily matrix, false-discovery-rate overview, and hourly versus daily comparison","Daily evidence is complementary, not a replacement for the hourly main result. Equal-day weighting, metric construction, deletion instability, and non-estimable slots must be explained.","Results section 4; Supplementary Information"
"NH-C025","complementary","For daily mean exposure, the free-to-work association varied by site and the equal-site ratio was 0.70 with a 95% interval of 0.63 to 0.78, with lower estimates at all sites.","notebooks/hypotheses/H06_daily.qmd","01213a193515c49419dcd1ed9cffcc070a88d639a7382e218275a89bd704cb08","Primary interaction and main-comparison sections","This differs from the positive hourly main association because the estimands and weighting differ. It must not be described as a contradiction without that explanation.","Results section 4 or Supplementary Information"
"NH-C026","null","None of 68 prespecified near-eye associations with the four light-related behaviour and attitude factors retained false-discovery-rate support.","notebooks/hypotheses/H05.qmd","b4167419ce0f22b635d41c98d3d7edda2717fc73e6c963371f79035a334d793c","Primary near-eye result and complete 68-cell family","Lack of adjusted support does not establish zero association. Four sleep-environment cells were unfit for inference and remain in the multiplicity family.","Results section 5"
"NH-C027","non-estimable","Four near-eye sleep-environment model cells and four corresponding chest cells in the light-related behaviour analysis were unfit for inference and their estimates were suppressed.","notebooks/hypotheses/H05.qmd","b4167419ce0f22b635d41c98d3d7edda2717fc73e6c963371f79035a334d793c","Model-adequacy and sleep-diagnostic sections","Do not turn these cells into null findings or omit them from family accounting.","Results section 5 note; Supplementary Information"
"NH-C028","null","No primary association or site interaction between the visual light sensitivity score and the nine exposure metrics retained false-discovery-rate support at either placement.","notebooks/hypotheses/H08.qmd","1b6b50b21e22d60909a65b125ce74be54829e5efc10de33f888fcd294c7374b1","Primary and interaction families","The strongest raw near-eye estimate was near the threshold, but adjusted support was absent. Do not imply equivalence or no effect.","Results section 5"
"NH-C029","supporting","Later chronotype by the Munich Chronotype Questionnaire was associated with later first exposure above 250 lx by 0.381 hours per hour of chronotype, with a 95% interval of 0.146 to 0.616 and adjusted p equal to 0.003.","notebooks/hypotheses/H09.qmd","c738a4365d01497030a260691ceff35fd5c2dab478148fd28676e27981e203c6","Primary near-eye chronotype results","Instrument direction and scale must be explained. Last and longest timing outcomes did not retain support.","Results section 5"
"NH-C030","supporting","Greater morningness on the Morningness-Eveningness Questionnaire was associated with earlier first exposure above 250 lx by 0.444 hours per 10 score points, with a 95% interval of 0.189 to 0.699 hours earlier and adjusted p equal to 0.001.","notebooks/hypotheses/H09.qmd","c738a4365d01497030a260691ceff35fd5c2dab478148fd28676e27981e203c6","Primary near-eye chronotype results","Write the direction in plain language and keep the two chronotype instruments separate.","Results section 5"
"NH-C031","non-estimable","The registered gap-timing-unaware sensitivity for longest-period timing was non-estimable.","notebooks/hypotheses/H09.qmd; audit/decisions/h03_h11_stage_status_reconciliation.md","c738a4365d01497030a260691ceff35fd5c2dab478148fd28676e27981e203c6; 1fe341f8f78050dedc32dfd89f7ef5f0e31469d305e8644a4a3d509f769e0baa","Registered sensitivity and AUDIT-004 status","This is a complete non-estimable result, not unfinished science.","Supplementary Information; limitation note if the outcome is discussed"
"NH-C032","supporting","Each additional decade of age was associated with higher primary near-eye M10 level, time above 1000 lx, and daily dose, with ratios near 1.27 to 1.31.","notebooks/hypotheses/H10.qmd","3c8d6891854a298e4fad69d1d7499c4d45a7d7c522f50e920b6b6aa1e4abac3f","Primary near-eye age table","Cross-sectional associations are adjusted for site but may reflect cohort, behaviour, occupation, or other confounding. They do not imply ageing effects.","Results section 5"
"NH-C033","null","No primary near-eye metric association with measured biological sex and no primary near-eye age-by-site or sex-by-site interaction retained false-discovery-rate support in the metric-level analysis.","notebooks/hypotheses/H10.qmd","3c8d6891854a298e4fad69d1d7499c4d45a7d7c522f50e920b6b6aa1e4abac3f","Primary near-eye sex and interaction families","This result concerns metric-level models, not the separate whole-curve analysis. Sex is not gender.","Results section 5"
"NH-C034","complementary","Complementary chest analyses retained six age associations and two Female-to-Male level associations, plus two age-by-site interactions.","notebooks/hypotheses/H10.qmd","3c8d6891854a298e4fad69d1d7499c4d45a7d7c522f50e920b6b6aa1e4abac3f","Complementary chest and interaction results","Chest is not a surrogate for ocular exposure, and placement differences may reflect measurement position as well as behaviour or selection.","Results section 5 or Supplementary Information"
"NH-C035","supporting","The complete 24-hour fitted exposure curve differed by measured biological sex in the primary near-eye analysis.","notebooks/hypotheses/H11.qmd","7909ba06782c84223197ab7fcd16493d7ee6e6d8b63c750aa81f17cb97977867","Primary global complete-curve test","The global curve test is the inferential result. Time-specific intervals are pointwise and not simultaneous.","Results section 5; provisional display"
"NH-C036","supporting","Pointwise near-eye differences were most evident in the morning and late afternoon, but these windows provide descriptive timing context rather than separate complete-curve tests.","notebooks/hypotheses/H11.qmd","7909ba06782c84223197ab7fcd16493d7ee6e6d8b63c750aa81f17cb97977867","Primary near-eye curve and pointwise interval sections","Do not report pointwise windows as multiplicity-controlled or simultaneous inference.","Results section 5"
"NH-C037","complementary","The complementary chest whole-curve analysis also differed by measured biological sex and showed a more nearly constant lower curve among women.","notebooks/hypotheses/H11.qmd","7909ba06782c84223197ab7fcd16493d7ee6e6d8b63c750aa81f17cb97977867","Complementary chest global test and curve","Chest describes a distinct measurement position. Pointwise chest intervals are not simultaneous.","Results section 5 or Supplementary Information"
"NH-C038","exploratory","Activity-context adjustment attenuated some sex-specific curve differences on an activity-complete sample.","notebooks/hypotheses/H11.qmd","7909ba06782c84223197ab7fcd16493d7ee6e6d8b63c750aa81f17cb97977867","Exploratory activity-context sensitivity","This is not a mediation analysis and cannot identify a behavioural mechanism.","Discussion or Supplementary Information only"
"NH-C039","limitation","Several accepted models retain residual-distribution, zero-mass, serial-dependence, concurvity, influence, sparse-support, or deletion-instability qualifications.","Accepted H01 to H11 and H06_daily result reports and companions","See source_inventory.md for exact report and companion identities","Model-check, influence, and sensitivity sections across the accepted corpus","These qualifications must be attached to the affected claim rather than collapsed into a generic final limitation sentence.","Results qualification sentences; Methods; Discussion; Supplementary Information"
"NH-C040","limitation","Independent reconstruction of the current reference-profile input and diary-period support remains incomplete in two shared preparation stages.","notebooks/preparation/03_reference_profiles.qmd; notebooks/preparation/04_metric_derivation.qmd; notebooks/preparation/06_model_ready_datasets.qmd","4ec7a6880591157eefe969e85d7b2adf7c22690fafaf434f715af944a7906504; 86041585edfb60ba0f3137d268418e7479b369be859b41350d2347bd81e064a6; 2067db45d46b49bec34985f68eb9e10d5e35377548c5103218321261d50f4c5b","PREP-002 or FIND-043 and PREP-003 or FIND-044 reader qualifications","These are open provenance qualifications, not evidence that accepted data or results are wrong and not unfinished hypothesis science.","Methods or Supplementary reproducibility note"
"NH-C041","limitation","The registered population restrictions were not uniformly applied, so generalization beyond the observed working-adult sample requires caution.","audit/ledgers/deviation_reader_dispositions.csv; notebooks/preregistration_deviations.qmd; notebooks/hypotheses/H10.qmd","0ae6f9d0ea161759d1a514c3c8ca7ac6869f5cf7634e7af8198224fa8b5cac6d; b542018a0e127b280fc5a106928d8689307c420f2e62913f4047d5c4c292bc6d; 3c8d6891854a298e4fad69d1d7499c4d45a7d7c522f50e920b6b6aa1e4abac3f","DEV-003 and current qualification","Do not imply a population-representative sample or restrict interpretation to a registered age or employment band that was not uniformly enforced.","Methods participants; Discussion limitations"
"NH-C042","limitation","The study measured environmental exposure patterns but no health outcome.","manuscript/reviewer_comments_NatMed.rtf; audit/ledgers/reviewer_feedback_disposition.csv; Nature Health Aims and Scope","15290f731f8fae2539529903361a48c9aa231f61d5290fa136e68ee01fc6130a; 5ebb863dd2671ef468d9e3b5a0d5bed0720337480be4188a2da98099a89e7fac; official page accessed 2026-08-13","Reviewer 2 comment 4; NM-R2-04; official scope criteria","Do not infer physiological, clinical, or population-health effects, or claim that changing the observed contexts will improve health.","Abstract; Introduction; Discussion; targeting memo"
"NH-C043","limitation","The project record does not currently document meaningful engagement with research participants and their communities beyond participation and site collaboration.","Nature Health Aims and Scope; local Nature Health requirements audit","official page accessed 2026-08-13; bb1a1c5cc8c800d681676a318921934f13e3445dc1717219763bce8f9e3ef0bf","Official Aims and Scope; NH-002","Do not relabel recruitment, consent, participation, or research-site collaboration as engagement without factual author evidence.","Targeting memo; unresolved author decisions; eventual Methods or involvement statement"
"NH-C044","public-health inference","The dataset can provide an international reference for exposure measurement, surveillance, study design, and future linkage of personal light patterns to health outcomes.","Synthesis of Descriptives, H01 to H11, H06_daily, and Nature Health scope","See source_inventory.md for exact accepted identities; official scope page accessed 2026-08-13","Cross-source synthesis","This is a prospective use of the exposure resource, not a demonstrated policy impact, health benefit, or validated intervention target.","Significance pitch; Discussion closing"
"NH-C045","headline","Across the accepted primary near-eye record, 24.0% of valid waking minutes reached the Brown daytime range of at least 250 lx melanopic EDI: 137,792 of 573,712 valid waking minutes.","notebooks/descriptives.qmd; artifacts/09_tables/descriptives/recommendation_context_near_eye.csv; Brown et al. 2022","b631936d9e47c4988dd453ea22184090b076705e3716e8f037e1953e3309cd4c; 7c53c4dd8b315c7a61aa7d0f488ee9ccbfc28bc238d6c5cf6eed0dcd7409eb38; DOI 10.1371/journal.pbio.3001571","Accepted recommendation-context table, Overall wake row; current PLOS publisher version","This is a pooled fraction of valid measured minutes in a contextual range. It is not person-level adherence, a prevalence estimate, or evidence of health effect or biological response.","One-sentence thesis; Results section 1; Discussion benchmark; provisional main table"
"NH-C046","headline","Across the accepted primary near-eye record, 63.3% of valid minutes during the three hours before sleep were at or below the Brown evening upper limit of 10 lx melanopic EDI: 81,894 of 129,390 valid pre-sleep minutes.","notebooks/descriptives.qmd; artifacts/09_tables/descriptives/recommendation_context_near_eye.csv; Brown et al. 2022","b631936d9e47c4988dd453ea22184090b076705e3716e8f037e1953e3309cd4c; 7c53c4dd8b315c7a61aa7d0f488ee9ccbfc28bc238d6c5cf6eed0dcd7409eb38; DOI 10.1371/journal.pbio.3001571","Accepted recommendation-context table, Overall pre-sleep row; current PLOS publisher version","This is a pooled valid-minute fraction. The recommendation applies beginning at least three hours before bed and is not an individual health or risk threshold.","One-sentence thesis; Results section 1; Discussion benchmark; provisional main table"
"NH-C047","headline","Across the accepted primary record, 87.7% of valid sleep-environment minutes were at or below the Brown sleep-environment upper limit of 1 lx melanopic EDI: 336,052 of 383,366 valid sleep minutes.","notebooks/descriptives.qmd; artifacts/09_tables/descriptives/recommendation_context_near_eye.csv; Brown et al. 2022","b631936d9e47c4988dd453ea22184090b076705e3716e8f037e1953e3309cd4c; 7c53c4dd8b315c7a61aa7d0f488ee9ccbfc28bc238d6c5cf6eed0dcd7409eb38; DOI 10.1371/journal.pbio.3001571","Accepted recommendation-context table, Overall sleep row; current PLOS publisher version","The device was bedside during sleep. This result characterizes the sleep environment, not direct ocular exposure, individual adherence, or biological response.","One-sentence thesis; Results section 1; Discussion benchmark; provisional main table"
"NH-C048","public-health inference","The Brown ranges are health-relevant physiological benchmarks derived by expert consensus from evidence on human circadian, neuroendocrine, and alerting responses.","Brown et al. 2022; first_largest_discovery/evidence_matrix.csv","DOI 10.1371/journal.pbio.3001571; canonical record NH-CAN-024","PLOS full text, recommendation and applicability sections; attached 2023 typographical-errata note","The recommendations principally concern healthy adults aged 18 to 55 with regular daytime schedules. They do not supply person-level risk functions or quantify the direct health benefit of implementation.","Introduction; Results benchmark framing; Discussion"
"NH-C049","headline","The preferred working title, The international architecture of personal light exposure, is defensible as a conceptual description of a harmonized nine-site, seven-country study, but the evidence does not support an unqualified first or largest claim.","audit/manuscript_nature_health/first_largest_discovery/positioning.md; audit/manuscript_nature_health/first_largest_discovery/verification_report.md; notebooks/descriptives.qmd","a51a31107d7b68953049941bd0e9ed607ba46b4222bcbfb92e1a6855159a1161; 38dc9554b97718b9f2b9324d3536e5bc6ff3a519355fe72609916f875a37a0e0; b631936d9e47c4988dd453ea22184090b076705e3716e8f037e1953e3309cd4c","Bounded evidence discovery and accepted study overview","Architecture must be defined as the recurring daily pattern and nested variation. The bounded search cannot prove absolute priority; older near-eye studies and larger single-country spectacle-mounted samples exist.","Working title; Introduction gap framing; Discussion strengths"
"NH-C050","supporting","Collecting repeated near-eye ocular light measurements with contextual data requires active researcher and participant effort because glasses-mounted sensors need fitting and instruction and are vulnerable to removal, occlusion, activity, charging, weather, comfort, and social constraints.","Balajadia et al. 2023; Stefani et al. 2024; Zauner et al. 2026 QA/QC; accepted study protocol and preparation sources","DOI 10.1159/000531404; DOI 10.3390/clockssleep6040042; DOI 10.1038/s44323-025-00067-9; accepted source identities in source_inventory.md","Verified full-text burden and methods records; study measurement and preparation documentation","External burden findings are device- and context-dependent. Data-collection effort is a strength when paired with quality safeguards, but effort alone does not establish validity.","Methods measurement procedures; Discussion strengths and limitations"
"NH-C051","supporting","The chest option broadened recruitment possibilities at sites where potential participants were reluctant to wear the near-eye light glasses, especially Costa Rica.","audit/manuscript_nature_health/author_decision_2026-08-13.md","5e0fca28da5197810961bda78e188f25e8a532f4b631da84d48a64a91e8a7f86","Task-local author-confirmed implementation fact, Measurement-position implications","This is a recruitment-feasibility statement, not analytical eligibility and not an inference from sample counts. It should remain separate from paired placement analysis.","Methods recruitment and measurement; Results section 6; Discussion measurement meaning and limitations"
"NH-C052","supporting","The accepted chest dataset includes 154 participants and 902 participant-days, while the paired common-observation subset includes 112 participants and 643 participant-days and the primary near-eye dataset includes 141 participants and 816 participant-days.","notebooks/descriptives.qmd; audit/descriptives/sample_count_contract.csv; notebooks/placement_decision.qmd","b631936d9e47c4988dd453ea22184090b076705e3716e8f037e1953e3309cd4c; accepted sample-flow artifact; b090bb87107f310662692db682118f339d7c404c09a45d9735af406d63a78498","Accepted study sample and placement sections","Report the three accepted samples separately. The chest sample is not an enlarged primary ocular sample, and paired evidence does not establish equivalence or a universal correction.","Results sections 1 and 6; Methods; placement limitation"
"NH-C053","supporting","The accepted descriptive metric table contains concise metric explanations and physiological rationales that can orient readers when reconciled with current accepted definitions, units, states, and support rules.","notebooks/descriptives.qmd; artifacts/09_tables/descriptives/metric_descriptive_summary_replica.csv; notebooks/preparation/04_metric_derivation.qmd","b631936d9e47c4988dd453ea22184090b076705e3716e8f037e1953e3309cd4c; accepted descriptive table artifact; 86041585edfb60ba0f3137d268418e7479b369be859b41350d2347bd81e064a6","Descriptives Table 2 meaning and relevance column; accepted metric derivation report","The rationales provide context, not health-effect estimates. Current accepted definitions and support rules control over legacy wording.","Results metric orientation; Methods; Supplementary metric guide"
"NH-C054","supporting","Measurement-position differences are structured by analytical scale, metric class, context, site, day, and participant and therefore cannot be reduced to one universal offset or correction.","Zauner et al. 2026, Sensor placement causes outcome-dependent bias in ambulatory light-exposure estimates, bioRxiv v2","DOI 10.64898/2026.07.28.741277; https://www.biorxiv.org/content/10.64898/2026.07.28.741277v2; verified temporary PDF SHA-256 dd8f47c141c1b36e11b5c83a9665e5101d61054038e4f8f7b673a76a34cbab0a","Version 2 abstract; measurement-level and outcome-level Results; Practical implications; official bioRxiv metadata API","The public preprint is not peer reviewed and uses an overlapping MeLiDos cohort. It is related evidence, not independent replication, and its nominal unadjusted comparisons should not be imported as confirmatory results here. This manuscript's accepted placement analyses control its own numerical claims.","Introduction measurement gap; Results section 6; Discussion measurement meaning; Methods placement citation; related-work disclosure"
