"serial_position","source","working_directory","command","expected_output","source_at_inventory_sha256","status","execution_precondition","freshness_action"
11,"notebooks/hypotheses/H01.qmd","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project","RENV_CONFIG_AUTOLOADER_ENABLED=FALSE R_LIBS_USER=/Users/zauner/Library/R/arm64/4.6/library /usr/local/bin/quarto render notebooks/hypotheses/H01.qmd --profile nathealth --to html --no-clean","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project/_build/nathealth/notebooks/hypotheses/H01.html","4618b80ed84518d94b8e8fe8b80db1fc43d272c2781c5294b3cc48b019348d43","PROPOSED_NOT_EXECUTED_NOT_RELEASED","Approved source, full transitive report-only R/helper/input closure, no analytical producer execution, immutable science pins","Classify accepted source-only delta and reconcile render inputs before report-only re-render"
12,"audit/hypotheses/H01/H01_analysis_preparation.qmd","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project","RENV_CONFIG_AUTOLOADER_ENABLED=FALSE R_LIBS_USER=/Users/zauner/Library/R/arm64/4.6/library /usr/local/bin/quarto render audit/hypotheses/H01/H01_analysis_preparation.qmd --profile nathealth --to html --no-clean","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html","c6435a5f482df40c20f3d4d6e4f77d07f2a4f0bb3f1f2687efd2ebf92829e044","PROPOSED_NOT_EXECUTED_NOT_RELEASED","Approved source, full transitive report-only R/helper/input closure, no analytical producer execution, immutable science pins","Classify accepted source-only delta and reconcile render inputs before report-only re-render"
13,"notebooks/hypotheses/H02.qmd","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project","RENV_CONFIG_AUTOLOADER_ENABLED=FALSE R_LIBS_USER=/Users/zauner/Library/R/arm64/4.6/library /usr/local/bin/quarto render notebooks/hypotheses/H02.qmd --profile nathealth --to html --no-clean","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project/_build/nathealth/notebooks/hypotheses/H02.html","b50b55eebb75f120928707821dc3b8e8d6f16905418c56d8d689744926ff3de8","PROPOSED_NOT_EXECUTED_NOT_RELEASED","Approved source, full transitive report-only R/helper/input closure, no analytical producer execution, immutable science pins","Classify accepted source-only delta and reconcile render inputs before report-only re-render"
14,"audit/hypotheses/H02/H02_analysis_preparation.qmd","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project","RENV_CONFIG_AUTOLOADER_ENABLED=FALSE R_LIBS_USER=/Users/zauner/Library/R/arm64/4.6/library /usr/local/bin/quarto render audit/hypotheses/H02/H02_analysis_preparation.qmd --profile nathealth --to html --no-clean","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project/_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html","92424e41a7f54d05b816ff79144850a27aabc8181aa705384b22f4c7cdc3b9a1","PROPOSED_NOT_EXECUTED_NOT_RELEASED","Approved source, full transitive report-only R/helper/input closure, no analytical producer execution, immutable science pins","Retain accepted content and re-render only after report-only execution preflight"
15,"notebooks/hypotheses/H03.qmd","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project","RENV_CONFIG_AUTOLOADER_ENABLED=FALSE R_LIBS_USER=/Users/zauner/Library/R/arm64/4.6/library /usr/local/bin/quarto render notebooks/hypotheses/H03.qmd --profile nathealth --to html --no-clean","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project/_build/nathealth/notebooks/hypotheses/H03.html","27c1fea54e5f32570613df80768d1fb5b668f3033aee90069820e951001c2513","PROPOSED_NOT_EXECUTED_NOT_RELEASED","Approved source, full transitive report-only R/helper/input closure, no analytical producer execution, immutable science pins","Classify accepted source-only delta and reconcile render inputs before report-only re-render"
16,"audit/hypotheses/H03/H03_analysis_preparation.qmd","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project","RENV_CONFIG_AUTOLOADER_ENABLED=FALSE R_LIBS_USER=/Users/zauner/Library/R/arm64/4.6/library /usr/local/bin/quarto render audit/hypotheses/H03/H03_analysis_preparation.qmd --profile nathealth --to html --no-clean","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project/_build/nathealth/audit/hypotheses/H03/H03_analysis_preparation.html","59270288388e48ceef880ffa4a2ba0e87b8deeb9a8046b49510c4e525ff8c131","PROPOSED_NOT_EXECUTED_NOT_RELEASED","Approved source, full transitive report-only R/helper/input closure, no analytical producer execution, immutable science pins","Retain accepted content and re-render only after report-only execution preflight"
17,"notebooks/hypotheses/H04.qmd","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project","RENV_CONFIG_AUTOLOADER_ENABLED=FALSE R_LIBS_USER=/Users/zauner/Library/R/arm64/4.6/library /usr/local/bin/quarto render notebooks/hypotheses/H04.qmd --profile nathealth --to html --no-clean","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project/_build/nathealth/notebooks/hypotheses/H04.html","243896d4c22f68d23027f77f3721882e0a3d55274e67014e75d6ff55e2e243af","PROPOSED_NOT_EXECUTED_NOT_RELEASED","Approved source, full transitive report-only R/helper/input closure, no analytical producer execution, immutable science pins","Classify accepted source-only delta and reconcile render inputs before report-only re-render"
18,"audit/hypotheses/H04/H04_analysis_preparation.qmd","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project","RENV_CONFIG_AUTOLOADER_ENABLED=FALSE R_LIBS_USER=/Users/zauner/Library/R/arm64/4.6/library /usr/local/bin/quarto render audit/hypotheses/H04/H04_analysis_preparation.qmd --profile nathealth --to html --no-clean","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project/_build/nathealth/audit/hypotheses/H04/H04_analysis_preparation.html","5b6255184ab1988f2b89dfc363e1eb7d010d6f85436c7ff32754289af6e6de48","PROPOSED_NOT_EXECUTED_NOT_RELEASED","Approved source, full transitive report-only R/helper/input closure, no analytical producer execution, immutable science pins","Classify accepted source-only delta and reconcile render inputs before report-only re-render"
19,"notebooks/hypotheses/H05.qmd","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project","RENV_CONFIG_AUTOLOADER_ENABLED=FALSE R_LIBS_USER=/Users/zauner/Library/R/arm64/4.6/library /usr/local/bin/quarto render notebooks/hypotheses/H05.qmd --profile nathealth --to html --no-clean","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project/_build/nathealth/notebooks/hypotheses/H05.html","f748873f5f68198665fc3cb3d7047f586c619408f86e5e22bd9814593f9f2780","PROPOSED_NOT_EXECUTED_NOT_RELEASED","Approved source, full transitive report-only R/helper/input closure, no analytical producer execution, immutable science pins","Classify accepted source-only delta and reconcile render inputs before report-only re-render"
20,"audit/hypotheses/H05/H05_analysis_preparation.qmd","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project","RENV_CONFIG_AUTOLOADER_ENABLED=FALSE R_LIBS_USER=/Users/zauner/Library/R/arm64/4.6/library /usr/local/bin/quarto render audit/hypotheses/H05/H05_analysis_preparation.qmd --profile nathealth --to html --no-clean","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project/_build/nathealth/audit/hypotheses/H05/H05_analysis_preparation.html","843f60f890daac0e41c6655bc365ab0325e3f582e011610469a799946b2f2811","PROPOSED_NOT_EXECUTED_NOT_RELEASED","Approved source, full transitive report-only R/helper/input closure, no analytical producer execution, immutable science pins","Retain accepted content and re-render only after report-only execution preflight"
21,"notebooks/hypotheses/H06.qmd","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project","RENV_CONFIG_AUTOLOADER_ENABLED=FALSE R_LIBS_USER=/Users/zauner/Library/R/arm64/4.6/library /usr/local/bin/quarto render notebooks/hypotheses/H06.qmd --profile nathealth --to html --no-clean","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project/_build/nathealth/notebooks/hypotheses/H06.html","5f8ec988d680e1a3e3dbf2410f0d4e6a49ded80a9990b3a09661aebdc98cbd4e","PROPOSED_NOT_EXECUTED_NOT_RELEASED","Approved source, full transitive report-only R/helper/input closure, no analytical producer execution, immutable science pins","Classify accepted source-only delta and reconcile render inputs before report-only re-render"
22,"audit/hypotheses/H06/H06_analysis_preparation.qmd","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project","RENV_CONFIG_AUTOLOADER_ENABLED=FALSE R_LIBS_USER=/Users/zauner/Library/R/arm64/4.6/library /usr/local/bin/quarto render audit/hypotheses/H06/H06_analysis_preparation.qmd --profile nathealth --to html --no-clean","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project/_build/nathealth/audit/hypotheses/H06/H06_analysis_preparation.html","5b128499a1f1a9312089ec47dfd1ba30cebb2a31059608659c0aa464753abfa0","PROPOSED_NOT_EXECUTED_NOT_RELEASED","Approved source, full transitive report-only R/helper/input closure, no analytical producer execution, immutable science pins","Classify accepted source-only delta and reconcile render inputs before report-only re-render"
23,"notebooks/hypotheses/H06_daily.qmd","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project","RENV_CONFIG_AUTOLOADER_ENABLED=FALSE R_LIBS_USER=/Users/zauner/Library/R/arm64/4.6/library /usr/local/bin/quarto render notebooks/hypotheses/H06_daily.qmd --profile nathealth --to html --no-clean","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project/_build/nathealth/notebooks/hypotheses/H06_daily.html","ddf7e8af287831b80243b4d35e83546fa6ee8f7f3794c9874d4712648b3eb2e7","PROPOSED_NOT_EXECUTED_NOT_RELEASED","Approved source, full transitive report-only R/helper/input closure, no analytical producer execution, immutable science pins","Classify accepted source-only delta and reconcile render inputs before report-only re-render"
24,"audit/hypotheses/H06_daily/H06_daily_analysis_preparation.qmd","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project","RENV_CONFIG_AUTOLOADER_ENABLED=FALSE R_LIBS_USER=/Users/zauner/Library/R/arm64/4.6/library /usr/local/bin/quarto render audit/hypotheses/H06_daily/H06_daily_analysis_preparation.qmd --profile nathealth --to html --no-clean","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project/_build/nathealth/audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html","b1d2c9ec6184e9c537af04119d94040b581ae691069e38e0a713935ab1582536","PROPOSED_NOT_EXECUTED_NOT_RELEASED","Approved source, full transitive report-only R/helper/input closure, no analytical producer execution, immutable science pins","Retain accepted content and re-render only after report-only execution preflight"
25,"notebooks/hypotheses/H07.qmd","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project","RENV_CONFIG_AUTOLOADER_ENABLED=FALSE R_LIBS_USER=/Users/zauner/Library/R/arm64/4.6/library /usr/local/bin/quarto render notebooks/hypotheses/H07.qmd --profile nathealth --to html --no-clean","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project/_build/nathealth/notebooks/hypotheses/H07.html","c2d24ee7199fc8399e7edfa1192a21de7c31bd7854a89d356386c5e669ff55ca","PROPOSED_NOT_EXECUTED_NOT_RELEASED","Approved source, full transitive report-only R/helper/input closure, no analytical producer execution, immutable science pins","Classify accepted source-only delta and reconcile render inputs before report-only re-render"
26,"audit/hypotheses/H07/H07_analysis_preparation.qmd","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project","RENV_CONFIG_AUTOLOADER_ENABLED=FALSE R_LIBS_USER=/Users/zauner/Library/R/arm64/4.6/library /usr/local/bin/quarto render audit/hypotheses/H07/H07_analysis_preparation.qmd --profile nathealth --to html --no-clean","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project/_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html","a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b","PROPOSED_NOT_EXECUTED_NOT_RELEASED","Approved source, full transitive report-only R/helper/input closure, no analytical producer execution, immutable science pins","Retain accepted content and re-render only after report-only execution preflight"
27,"notebooks/hypotheses/H08.qmd","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project","RENV_CONFIG_AUTOLOADER_ENABLED=FALSE R_LIBS_USER=/Users/zauner/Library/R/arm64/4.6/library /usr/local/bin/quarto render notebooks/hypotheses/H08.qmd --profile nathealth --to html --no-clean","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project/_build/nathealth/notebooks/hypotheses/H08.html","56cdd3382ff933f20706d50e75af00160ebdc3c503307f9fdf02fb7c2ae6e859","PROPOSED_NOT_EXECUTED_NOT_RELEASED","Approved source, full transitive report-only R/helper/input closure, no analytical producer execution, immutable science pins","Classify accepted source-only delta and reconcile render inputs before report-only re-render"
28,"audit/hypotheses/H08/H08_analysis_preparation.qmd","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project","RENV_CONFIG_AUTOLOADER_ENABLED=FALSE R_LIBS_USER=/Users/zauner/Library/R/arm64/4.6/library /usr/local/bin/quarto render audit/hypotheses/H08/H08_analysis_preparation.qmd --profile nathealth --to html --no-clean","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project/_build/nathealth/audit/hypotheses/H08/H08_analysis_preparation.html","3eeeda47c909be2ca32bf234af18f2d690f1c3e7b26e854f7311c0d8300f6f2d","PROPOSED_NOT_EXECUTED_NOT_RELEASED","Approved source, full transitive report-only R/helper/input closure, no analytical producer execution, immutable science pins","Retain accepted content and re-render only after report-only execution preflight"
