placement,activity_label,joint_group,joint_order,support_status,site,work_free_day,activity_status,hours,participants,participant_days,exact_zero_hours,display_order,display_name,color_hex
Chest,Sedentary,Free day · Sedentary,3,Observed but sparse,BAUA,Free day,Sedentary (no reported exercise),163,6,7,55,3,Dortmund (DE),#DDCC77
Chest,Active,Free day · Active,4,Supported,BAUA,Free day,"Active (light, moderate, or vigorous exercise)",680,15,29,216,3,Dortmund (DE),#DDCC77
Chest,Sedentary,Work day · Sedentary,1,Supported,TUM,Work day,Sedentary (no reported exercise),236,5,10,54,5,Munich (DE),#DDCC77
Chest,Active,Work day · Active,2,Supported,TUM,Work day,"Active (light, moderate, or vigorous exercise)",461,8,20,122,5,Munich (DE),#DDCC77
Chest,Sedentary,Free day · Sedentary,3,Supported,TUM,Free day,Sedentary (no reported exercise),298,7,13,80,5,Munich (DE),#DDCC77
Chest,Active,Free day · Active,4,Supported,TUM,Free day,"Active (light, moderate, or vigorous exercise)",395,9,17,106,5,Munich (DE),#DDCC77
Chest,Sedentary,Work day · Sedentary,1,Supported,FUSPCEU,Work day,Sedentary (no reported exercise),615,14,26,221,6,Madrid (ES),#CC6677
Chest,Active,Work day · Active,2,Supported,FUSPCEU,Work day,"Active (light, moderate, or vigorous exercise)",725,16,31,249,6,Madrid (ES),#CC6677
Chest,Sedentary,Free day · Sedentary,3,Observed but sparse,FUSPCEU,Free day,Sedentary (no reported exercise),168,4,7,61,6,Madrid (ES),#CC6677
Chest,Active,Free day · Active,4,Supported,FUSPCEU,Free day,"Active (light, moderate, or vigorous exercise)",534,13,23,219,6,Madrid (ES),#CC6677
Chest,Sedentary,Work day · Sedentary,1,Supported,IZTECH,Work day,Sedentary (no reported exercise),585,12,25,128,7,Izmir (TR),#332288
Chest,Active,Work day · Active,2,Supported,IZTECH,Work day,"Active (light, moderate, or vigorous exercise)",908,14,39,261,7,Izmir (TR),#332288
Chest,Sedentary,Free day · Sedentary,3,Supported,IZTECH,Free day,Sedentary (no reported exercise),353,11,15,78,7,Izmir (TR),#332288
Chest,Active,Free day · Active,4,Supported,IZTECH,Free day,"Active (light, moderate, or vigorous exercise)",412,10,18,97,7,Izmir (TR),#332288
Chest,Sedentary,Work day · Sedentary,1,Supported,UCR,Work day,Sedentary (no reported exercise),1552,33,66,384,8,San José (CR),#44AA99
Chest,Active,Work day · Active,2,Supported,UCR,Work day,"Active (light, moderate, or vigorous exercise)",1679,33,73,425,8,San José (CR),#44AA99
Chest,Sedentary,Free day · Sedentary,3,Supported,UCR,Free day,Sedentary (no reported exercise),871,25,37,243,8,San José (CR),#44AA99
Chest,Active,Free day · Active,4,Supported,UCR,Free day,"Active (light, moderate, or vigorous exercise)",851,29,37,254,8,San José (CR),#44AA99
Chest,Sedentary,Work day · Sedentary,1,Observed but sparse,KNUST,Work day,Sedentary (no reported exercise),114,4,5,42,9,Kumasi (GH),#AA4499
Chest,Active,Work day · Active,2,Supported,KNUST,Work day,"Active (light, moderate, or vigorous exercise)",823,14,36,238,9,Kumasi (GH),#AA4499
Chest,Sedentary,Free day · Sedentary,3,Supported,KNUST,Free day,Sedentary (no reported exercise),255,6,11,91,9,Kumasi (GH),#AA4499
Chest,Active,Free day · Active,4,Supported,KNUST,Free day,"Active (light, moderate, or vigorous exercise)",717,11,31,261,9,Kumasi (GH),#AA4499
