artifact_id,path,file_sha256_before,file_sha256_after,invariant_scope,baseline_invariant_digest,updated_invariant_digest,invariant_verified,decision_id,producer,r_version
predictions,artifacts/09_tables/H08/H08_centered_predictions.csv,d91bcf003b083375d98117c8c5933484cb8dd20f29f4c77b495aa5d6d5911585,cd963f18ea179ebd7348b59e14fb62c983ea6db3eb8e55a9d8a727bb619c5f89,every cell outside 276 explicitly permitted target cells,083c60c431ac564720fd32dec63f51923fdb11e353fa72489e03310b2436d203,083c60c431ac564720fd32dec63f51923fdb11e353fa72489e03310b2436d203,TRUE,METRIC-011,scripts/hypotheses/H08/reseal_h08_l10_metric011.R,4.6.1
family_audit,artifacts/09_tables/H08/H08_family_audit.csv,d590f03a417948142d13a9649a67318013ba9605a5752a8822f57a320c7bb6d9,d590f03a417948142d13a9649a67318013ba9605a5752a8822f57a320c7bb6d9,all four unaffected gap-timing-unaware BH-family audits,2bbee0046e6d2e58b81deb7d522fc228217681197275f00a37dc062f8a808a00,2bbee0046e6d2e58b81deb7d522fc228217681197275f00a37dc062f8a808a00,TRUE,METRIC-011,scripts/hypotheses/H08/reseal_h08_l10_metric011.R,4.6.1
master,artifacts/09_tables/H08/H08_model_results_master.csv,b48c5a8ff03071f7794e6e0e1c913b3a9fe720b894a629478fe4a864301468dd,45d11175943af6637347a39e533a4f44c600ce29010dd0bbb4caa38ead82e575,every cell outside 424 explicitly permitted target cells,5799a9f2993517b7d67e4724ded5c3c61d1deab58ced26f7746aa4616ea28688,5799a9f2993517b7d67e4724ded5c3c61d1deab58ced26f7746aa4616ea28688,TRUE,METRIC-011,scripts/hypotheses/H08/reseal_h08_l10_metric011.R,4.6.1
photoperiod,artifacts/09_tables/H08/H08_photoperiod_sensitivity.csv,37ac8862ce0651cccb4c1cdb984302393a56e8c8e21555078cae74c65322e435,f99d6deb929961993823f1420fea166134ea4314d8247ff16e40b158c44bcd0d,every cell outside 74 explicitly permitted target cells,39194a7fac8980a575db4356eb3474005ea41d77d5aa88553f4ab25d765a45b4,39194a7fac8980a575db4356eb3474005ea41d77d5aa88553f4ab25d765a45b4,TRUE,METRIC-011,scripts/hypotheses/H08/reseal_h08_l10_metric011.R,4.6.1
participant,artifacts/09_tables/H08/H08_participant_summary_sensitivity.csv,6f2156af7942943c536ec4f38cfdaded934b5453fc01c48117efea72934b183b,fc6961db006fe62d95348b62db2a2a276c40803e68d0844f725c0a80a60ce29a,every cell outside 78 explicitly permitted target cells,aa5a5d7b2d3fc9eda218ef25a400afc993252622c983685ed7593b9ae127bbc8,aa5a5d7b2d3fc9eda218ef25a400afc993252622c983685ed7593b9ae127bbc8,TRUE,METRIC-011,scripts/hypotheses/H08/reseal_h08_l10_metric011.R,4.6.1
gap,artifacts/09_tables/H08/H08_gap_timing_unaware_sensitivity.csv,ef662e69ec5ab88b2fcbf6b85193bcbc15aae5bda7a98044fe5de965299e7910,22309f1cfa3fff204f7098baf24c31a6a415187f435b6112b553d15751ab7db2,every cell outside 76 explicitly permitted target cells,cbad96b6816f6f459b3951fd60cc139d1156660b1d46e0501ececcdd14708779,cbad96b6816f6f459b3951fd60cc139d1156660b1d46e0501ececcdd14708779,TRUE,METRIC-011,scripts/hypotheses/H08/reseal_h08_l10_metric011.R,4.6.1
v0_comparison,artifacts/09_tables/H08/H08_v0_to_new_comparison.csv,70bd69f0048f154f85f88feb01bcb044903a3c979b4c05b01efd9fbd427e1924,47376caeab4261d226462335d0ce4a922d128d6e702e04e920f3e4bef37c1ceb,every cell outside 94 explicitly permitted target cells,dabb94589a862a5750746730252645533f53d0bce183b630e5466a511094c393,dabb94589a862a5750746730252645533f53d0bce183b630e5466a511094c393,TRUE,METRIC-011,scripts/hypotheses/H08/reseal_h08_l10_metric011.R,4.6.1
diagnostics,artifacts/08_diagnostics/H08/H08_model_diagnostics.csv,a11cccc387796b34ac483ef328d95d9832d5a53f05462fe6c70425e8f3530c96,d6bc40b41094209c08d6bae6cb4cce38ebd45f85f95ee570ff33de9a123e4a68,every cell outside 408 explicitly permitted target cells,e835b7828a94a8b1823f76cf7308413d5f18476f259a559802667371087799eb,e835b7828a94a8b1823f76cf7308413d5f18476f259a559802667371087799eb,TRUE,METRIC-011,scripts/hypotheses/H08/reseal_h08_l10_metric011.R,4.6.1
influence,artifacts/08_diagnostics/H08/H08_participant_influence_screen.csv,4792e3aacd08be8ec42901c462b1ae465d561c2913f7e17d4bc757937495b5aa,f5845bb55bb40716b948937ce33785a51790edbd66f775ab09ff5518bfe2f4f9,every cell outside 240 explicitly permitted target cells,92eba0fec61d01cb2d23f891f378eb842b1f1927102b9af95d4a636cc748210a,92eba0fec61d01cb2d23f891f378eb842b1f1927102b9af95d4a636cc748210a,TRUE,METRIC-011,scripts/hypotheses/H08/reseal_h08_l10_metric011.R,4.6.1
loo,artifacts/08_diagnostics/H08/H08_leave_one_site_out.csv,7d568bf7f2afe449d9cd9a82e8acb482a536ce1fce12da3d8cd3db871f084e26,a09eb38fb573413aafdb8778bbc582a3738bf15797fbf44119597e3a17a4ac97,every cell outside 442 explicitly permitted target cells,11a1b2a58fdaec8b89217fbffedefc92b195344563fb0bd925cf50d344abe8ca,11a1b2a58fdaec8b89217fbffedefc92b195344563fb0bd925cf50d344abe8ca,TRUE,METRIC-011,scripts/hypotheses/H08/reseal_h08_l10_metric011.R,4.6.1
loo_summary,artifacts/08_diagnostics/H08/H08_leave_one_site_out_summary.csv,ae16c4627f03a9409394cfc786fa48febdd04b019f240d394854a7eee008bbe7,feb4a5cd1a9e215db717b6fe8df462f93cea78951ad0341f891e1092f1cc0614,every cell outside 22 explicitly permitted target cells,dabc681eb715c610e0a06bcdb00fd92d9895f35ec4aec2e7e4d73eeb1e423f9c,dabc681eb715c610e0a06bcdb00fd92d9895f35ec4aec2e7e4d73eeb1e423f9c,TRUE,METRIC-011,scripts/hypotheses/H08/reseal_h08_l10_metric011.R,4.6.1
response_gate,artifacts/08_diagnostics/H08/H08_response_family_gate.csv,f24d55266ef09f8c5f55c08ed6beed8611fa731432d2f04c3edfeb3690ae6621,f24d55266ef09f8c5f55c08ed6beed8611fa731432d2f04c3edfeb3690ae6621,every cell outside 11 explicitly permitted target cells,58eff4b3d99888ed2df7d36d9d72cc88c094e128f59fb521d6fbbd39b9b8e45d,58eff4b3d99888ed2df7d36d9d72cc88c094e128f59fb521d6fbbd39b9b8e45d,TRUE,METRIC-011,scripts/hypotheses/H08/reseal_h08_l10_metric011.R,4.6.1
diagnostic_plot,artifacts/11_source_data/H08/H08_primary_diagnostic_plot_data.csv,c6c8a6587974ed4998dcb3b8e253f5b4d10ab111ed02df2331bdf2cb02c0c6f7,bc5e0922840e9d1ca20e5c3c73f5f608102cbbf09a6bb4e049138d66fa057369,"every cell outside 39,514 explicitly permitted target cells",b319eaeb8d1b9923ad214237ebc7a6c7005b6c282f44c005d6cc9fd386d7a699,b319eaeb8d1b9923ad214237ebc7a6c7005b6c282f44c005d6cc9fd386d7a699,TRUE,METRIC-011,scripts/hypotheses/H08/reseal_h08_l10_metric011.R,4.6.1
near_effects,artifacts/11_source_data/H08/H08_near_eye_effects_data.csv,0c70d4a2e028085e0fd1c903f56a048736d047a4239d799752695abd856a5332,0f7ab7b06a23a16089b000607d4cfb239c323ba39df9c549c365c4da1878dd51,every cell outside 97 explicitly permitted target cells,7cc39db3c4043fcba94afbf6f6d9da76f1c62af3902d9508080203518efa4b7b,7cc39db3c4043fcba94afbf6f6d9da76f1c62af3902d9508080203518efa4b7b,TRUE,METRIC-011,scripts/hypotheses/H08/reseal_h08_l10_metric011.R,4.6.1
chest_effects,artifacts/11_source_data/H08/H08_chest_effects_data.csv,bff385c26be652efb1d5aba1d4108156c7a3d45e7da1db2d9bb42a96f34325c7,0b9b8ea7293eea8719c296905b914c75128ec5d801b04a1949a5780db8a24bef,every cell outside 97 explicitly permitted target cells,ec62bc4966ac503dce127b0f3cfaf9c7429218fa77c1b961567d9b7ee82ab4ca,ec62bc4966ac503dce127b0f3cfaf9c7429218fa77c1b961567d9b7ee82ab4ca,TRUE,METRIC-011,scripts/hypotheses/H08/reseal_h08_l10_metric011.R,4.6.1
paired_effects,artifacts/11_source_data/H08/H08_paired_placement_effects_data.csv,89dbff3586d44cebb10eae3222ed45a48b83d8128594d0bfa478126b6623ca79,54963bb499ebb7f162b25346786a15d0b782bb7e7065cd434cb4155b21910513,every cell outside 23 explicitly permitted target cells,acf9d1c70c84ac65fb21eb34ce3ecf129b0a8e81f4b3d783a92879c5ceb56419,acf9d1c70c84ac65fb21eb34ce3ecf129b0a8e81f4b3d783a92879c5ceb56419,TRUE,METRIC-011,scripts/hypotheses/H08/reseal_h08_l10_metric011.R,4.6.1
gap_effects,artifacts/11_source_data/H08/H08_gap_common_sample_effects_data.csv,bc6f43f7813b6d0e3e67075a3e5a86351cf8a54c932b25bad2e02036a8aa5af6,7ddfe2c6635d8dbd6fff4faf2f6085b7459c9463c81494c28c3ce897745b9c48,every cell outside 24 explicitly permitted target cells,98c237248795e3eb12c93fb362dab585433bf09af62cf16a113f12f6949b0378,98c237248795e3eb12c93fb362dab585433bf09af62cf16a113f12f6949b0378,TRUE,METRIC-011,scripts/hypotheses/H08/reseal_h08_l10_metric011.R,4.6.1
near_adequacy,artifacts/11_source_data/H08/H08_near_eye_model_adequacy_data.csv,5891d82be91205871165d360f88f04f51ed201f7a0f414894084f832b4ef8a76,24bade0ab6e45655e870b2b219cc6007bd804710e9e41d4bca31406da82d62e4,"every cell outside 18,768 explicitly permitted target cells",74dfa5eef3359a75c2df48ab98632a3d1c470251f5bc629a92b07e532f143180,74dfa5eef3359a75c2df48ab98632a3d1c470251f5bc629a92b07e532f143180,TRUE,METRIC-011,scripts/hypotheses/H08/reseal_h08_l10_metric011.R,4.6.1
v0_results,artifacts/09_tables/H08/H08_v0_reproduction.csv,cff307130dd9b7b1320f8a6c49acb88390963ed2dd58dd8423092ba55b58b5a6,cff307130dd9b7b1320f8a6c49acb88390963ed2dd58dd8423092ba55b58b5a6,complete protected artifact,cff307130dd9b7b1320f8a6c49acb88390963ed2dd58dd8423092ba55b58b5a6,cff307130dd9b7b1320f8a6c49acb88390963ed2dd58dd8423092ba55b58b5a6,TRUE,METRIC-011,scripts/hypotheses/H08/reseal_h08_l10_metric011.R,4.6.1
v0_rows,artifacts/06_model_data/H08/H08_v0_model_rows.csv,59537bbe3362e5bc8ef24db3ab1c4242fa1e313238e266f7282896c12d85e7d8,59537bbe3362e5bc8ef24db3ab1c4242fa1e313238e266f7282896c12d85e7d8,complete protected artifact,59537bbe3362e5bc8ef24db3ab1c4242fa1e313238e266f7282896c12d85e7d8,59537bbe3362e5bc8ef24db3ab1c4242fa1e313238e266f7282896c12d85e7d8,TRUE,METRIC-011,scripts/hypotheses/H08/reseal_h08_l10_metric011.R,4.6.1
v0_models,artifacts/07_models/H08/H08_v0_models.rds,b2db39862b06780953090d9e6e85421ef4061fd9519bdf3340bba6a129b7ce61,b2db39862b06780953090d9e6e85421ef4061fd9519bdf3340bba6a129b7ce61,complete protected artifact,b2db39862b06780953090d9e6e85421ef4061fd9519bdf3340bba6a129b7ce61,b2db39862b06780953090d9e6e85421ef4061fd9519bdf3340bba6a129b7ce61,TRUE,METRIC-011,scripts/hypotheses/H08/reseal_h08_l10_metric011.R,4.6.1
exact_longest,artifacts/09_tables/H08/H08_exactly_identified_longest_period_sensitivity.csv,435be3e82b4fb64f3d5bb673fe887e232328817e496823f6c7eff8085ee2c8a9,435be3e82b4fb64f3d5bb673fe887e232328817e496823f6c7eff8085ee2c8a9,complete protected artifact,435be3e82b4fb64f3d5bb673fe887e232328817e496823f6c7eff8085ee2c8a9,435be3e82b4fb64f3d5bb673fe887e232328817e496823f6c7eff8085ee2c8a9,TRUE,METRIC-011,scripts/hypotheses/H08/reseal_h08_l10_metric011.R,4.6.1
observed_dose,artifacts/09_tables/H08/H08_observed_dose_sensitivity.csv,d859f8cd51f1cf203a50919d29f3181aa43b0d5e34e9a6672e139362a6bdcdaf,d859f8cd51f1cf203a50919d29f3181aa43b0d5e34e9a6672e139362a6bdcdaf,complete protected artifact,d859f8cd51f1cf203a50919d29f3181aa43b0d5e34e9a6672e139362a6bdcdaf,d859f8cd51f1cf203a50919d29f3181aa43b0d5e34e9a6672e139362a6bdcdaf,TRUE,METRIC-011,scripts/hypotheses/H08/reseal_h08_l10_metric011.R,4.6.1
