path,role,expected_sha256,current_sha256,expected_bytes,current_bytes,present,exact
tests/hypotheses/H01/test_h01_stage3_model_support_display_refresh.R,current H01 implementation test or manifest,dcd3e62574a493d18733a9cb50eb6eb9d7493f8ac7bbb27918dc6535dcd1a603,b47990d03ae386e403e408adadd52f283e24e7162a55f7bbff8868e551068851,8224,8869,TRUE,FALSE
tests/hypotheses/H01/test_h01_report016_deviation_reconciliation.R,current H01 implementation test or manifest,09e8daa4a62a2fe18f29527bc6c5fca610175d651eedc1da10f51fadc9d3af5e,140cc2d0305026885f8703e2aa349d324d1cef9a8d7d92c9b72314d845d0f8ab,14922,15682,TRUE,FALSE
tests/hypotheses/H01/test_h01_order32g_display_repair.R,current H01 implementation test or manifest,73a4d68708cf59855a00f7bf36fe2918e861dd0f0e8d94b8295ab9903a79ca07,73a4d68708cf59855a00f7bf36fe2918e861dd0f0e8d94b8295ab9903a79ca07,7106,7106,TRUE,TRUE
tests/hypotheses/H01/test_h01_reporting_inputs.R,current H01 implementation test or manifest,48f374cc70b69a6d96a95dc425ffd9676b2e83133a5554ae1c19eda939c0c8af,48f374cc70b69a6d96a95dc425ffd9676b2e83133a5554ae1c19eda939c0c8af,23014,23014,TRUE,TRUE
tests/hypotheses/H01/test_h01_preparation_report.R,current H01 implementation test or manifest,379414830e5bcd656ac460c2ad93616ecbcab104259c56a8fcf9296da8c0f2c4,379414830e5bcd656ac460c2ad93616ecbcab104259c56a8fcf9296da8c0f2c4,10993,10993,TRUE,TRUE
artifacts/12_manifests/H01_reporting_artifacts.csv,current H01 implementation test or manifest,dfa9e15f44f0919277264765e84b49b7be78e4822df014abed678b29a9a951b4,dfa9e15f44f0919277264765e84b49b7be78e4822df014abed678b29a9a951b4,11054,11054,TRUE,TRUE
artifacts/12_manifests/H01_stage3_reporting_artifacts.csv,current H01 implementation test or manifest,e9fe8740785e9f4d29e17c4333fdc0615347299c1dabea1d62ffad1cdafd11f9,9bf3cf607f2a333ac1dd07036e5f24894c8a581b2ef7fd62b06c350de60216bf,26497,29706,TRUE,FALSE
artifacts/12_manifests/H01/H01_preparation_report_manifest.csv,current H01 implementation test or manifest,cb89845e92b39f5bab7a0524508a3f7e2ce1d19ebbc99afe12f1ebf8eb9aefb5,69c2215a3c789e31b4b9e820ae1a1c90485a74ec106d4c09269a71d859cdffd5,13841,13841,TRUE,FALSE
artifacts/12_manifests/H01_worker_artifacts.csv,current H01 implementation test or manifest,0d98bcc4ffe312e27ec89e352fdd84eea4ce1b8b8f9b9169307d314ba466b031,882c1e63290384723b47d1bf67eb524c6a18e21d710eb60c989067bfe08c387c,394888,397567,TRUE,FALSE
notebooks/hypotheses/H01.qmd,frozen reader source render profile or semantic hook,9448eacc1345a2b0bf73c988be588308d191e42d90c49d68c7f92db36ba83eeb,9448eacc1345a2b0bf73c988be588308d191e42d90c49d68c7f92db36ba83eeb,93260,93260,TRUE,TRUE
audit/hypotheses/H01/H01_analysis_preparation.qmd,frozen reader source render profile or semantic hook,ed12b6232ef60905b648707240309e6574e627995d0436a19f671fdc033ecc5f,ed12b6232ef60905b648707240309e6574e627995d0436a19f671fdc033ecc5f,55827,55827,TRUE,TRUE
_build/nathealth/notebooks/hypotheses/H01.html,frozen reader source render profile or semantic hook,d1bc9159526c92b9cc9256c58a8232d4779f0014a3aa39ed3680b4e58fb25410,d1bc9159526c92b9cc9256c58a8232d4779f0014a3aa39ed3680b4e58fb25410,1643915,1643915,TRUE,TRUE
_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html,frozen reader source render profile or semantic hook,5857f9e0655e5c1a8530c5794008d20dcb364749a8a7c36bd3e7815c15c36d38,5857f9e0655e5c1a8530c5794008d20dcb364749a8a7c36bd3e7815c15c36d38,667418,667418,TRUE,TRUE
_quarto-nathealth.yml,frozen reader source render profile or semantic hook,80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3,80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3,7480,7480,TRUE,TRUE
scripts/report_harmonization/post_render_gt_html_semantics.R,frozen reader source render profile or semantic hook,28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205,28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205,21453,21453,TRUE,TRUE
scripts/report_harmonization/repair_gt_html_semantics.R,frozen reader source render profile or semantic hook,7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1,7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1,17747,17747,TRUE,TRUE
tests/report_harmonization/test_post_render_gt_html_semantics.R,frozen reader source render profile or semantic hook,696e3308275d366dcc4aefb8e60c36d7c4c42d02a88402e3d06717b6383d0fae,696e3308275d366dcc4aefb8e60c36d7c4c42d02a88402e3d06717b6383d0fae,16662,16662,TRUE,TRUE
audit/handoffs/H01_worker_handoff.md,current H01 handoff,0de574566315d44934d3c6dd5fd91be9045e2f6b43887c9e3ad98d97caf1f19b,0de574566315d44934d3c6dd5fd91be9045e2f6b43887c9e3ad98d97caf1f19b,97406,97406,TRUE,TRUE
artifacts/11_source_data/H01/stage3/H01_stage3_METRIC011_l10_mean_medi_model_support_figure_source.csv,frozen accepted display source,cf869aa233aca9230a9d295f7efae69fc51c1258a80daf90258d08122f5effc0,cf869aa233aca9230a9d295f7efae69fc51c1258a80daf90258d08122f5effc0,96013,96013,TRUE,TRUE
artifacts/11_source_data/H01/stage3/H01_stage3_METRIC011_l10_mean_medi_paired_placement_figure_source.csv,frozen accepted display source,8e1672e499e6bee05cde70647165e780dfa5cb9195ed0c3f1bd203da5d838853,8e1672e499e6bee05cde70647165e780dfa5cb9195ed0c3f1bd203da5d838853,21978,21978,TRUE,TRUE
artifacts/11_source_data/H01/stage3/H01_stage3_diagnostic_figure_source.csv,frozen accepted display source,d9b424ae246fc688670a77a561717701fec3ddffaf000af72ea6b68f214b9397,d9b424ae246fc688670a77a561717701fec3ddffaf000af72ea6b68f214b9397,21261,21261,TRUE,TRUE
artifacts/10_figures/H01/stage3/H01_stage3_model_support.png,accepted live display output,a06d33e4d9708e7a60c0296a645b7c136ffea9f6be5bcf0c7a5e38615a3069de,a06d33e4d9708e7a60c0296a645b7c136ffea9f6be5bcf0c7a5e38615a3069de,332771,332771,TRUE,TRUE
artifacts/10_figures/H01/stage3/H01_stage3_model_support.svg,accepted live display output,897e7b11a27136fd2f3ffca978af72c108ba1f443bb8941ce7d9a5515847e8ba,897e7b11a27136fd2f3ffca978af72c108ba1f443bb8941ce7d9a5515847e8ba,54914,54914,TRUE,TRUE
artifacts/10_figures/H01/stage3/H01_stage3_paired_placement.png,accepted live display output,5ca5a91ed367bdf0158bae99a671819eccf14de0d06938c91a2268275998fee5,5ca5a91ed367bdf0158bae99a671819eccf14de0d06938c91a2268275998fee5,237215,237215,TRUE,TRUE
artifacts/10_figures/H01/stage3/H01_stage3_paired_placement.svg,accepted live display output,87d0df52d9e5134b4a760cea63acd3bdd6f9bc82b675551a3325e30e3afa8a2b,87d0df52d9e5134b4a760cea63acd3bdd6f9bc82b675551a3325e30e3afa8a2b,22469,22469,TRUE,TRUE
artifacts/10_figures/H01/stage3/H01_stage3_diagnostic_assessment.png,accepted live display output,103556d8d6ca681cb8fba1ba65f4b1d7d5839ee477215becdfbc7480af0613c4,103556d8d6ca681cb8fba1ba65f4b1d7d5839ee477215becdfbc7480af0613c4,495057,495057,TRUE,TRUE
artifacts/10_figures/H01/stage3/H01_stage3_diagnostic_assessment.svg,accepted live display output,be25f8b9c83996a2e70cd7333283ae8111a659392f577f02a585508f37116f44,be25f8b9c83996a2e70cd7333283ae8111a659392f577f02a585508f37116f44,76304,76304,TRUE,TRUE
notebooks/preregistration_deviations.qmd,stable shared reader input,b542018a0e127b280fc5a106928d8689307c420f2e62913f4047d5c4c292bc6d,b542018a0e127b280fc5a106928d8689307c420f2e62913f4047d5c4c292bc6d,94061,94061,TRUE,TRUE
config/site_display_registry.csv,stable shared reader input,3d669d459ecc27d3154bbb5ff5b0d64cb510805d486b45264443228c44a6d809,3d669d459ecc27d3154bbb5ff5b0d64cb510805d486b45264443228c44a6d809,295,295,TRUE,TRUE
