path,role,expected_sha256,current_sha256,expected_bytes,current_bytes,present,exact
_quarto-nathealth.yml,frozen reader source render profile or semantic hook,80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3,80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3,7480,7480,TRUE,TRUE
scripts/report_harmonization/post_render_gt_html_semantics.R,frozen reader source render profile or semantic hook,28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205,28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205,21453,21453,TRUE,TRUE
scripts/report_harmonization/repair_gt_html_semantics.R,frozen reader source render profile or semantic hook,7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1,7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1,17747,17747,TRUE,TRUE
tests/report_harmonization/test_post_render_gt_html_semantics.R,frozen reader source render profile or semantic hook,696e3308275d366dcc4aefb8e60c36d7c4c42d02a88402e3d06717b6383d0fae,696e3308275d366dcc4aefb8e60c36d7c4c42d02a88402e3d06717b6383d0fae,16662,16662,TRUE,TRUE
audit/handoffs/H01_worker_handoff.md,current H01 handoff,0de574566315d44934d3c6dd5fd91be9045e2f6b43887c9e3ad98d97caf1f19b,0de574566315d44934d3c6dd5fd91be9045e2f6b43887c9e3ad98d97caf1f19b,97406,97406,TRUE,TRUE
artifacts/11_source_data/H01/stage3/H01_stage3_METRIC011_l10_mean_medi_model_support_figure_source.csv,frozen accepted display source,cf869aa233aca9230a9d295f7efae69fc51c1258a80daf90258d08122f5effc0,cf869aa233aca9230a9d295f7efae69fc51c1258a80daf90258d08122f5effc0,96013,96013,TRUE,TRUE
artifacts/11_source_data/H01/stage3/H01_stage3_METRIC011_l10_mean_medi_paired_placement_figure_source.csv,frozen accepted display source,8e1672e499e6bee05cde70647165e780dfa5cb9195ed0c3f1bd203da5d838853,8e1672e499e6bee05cde70647165e780dfa5cb9195ed0c3f1bd203da5d838853,21978,21978,TRUE,TRUE
artifacts/11_source_data/H01/stage3/H01_stage3_diagnostic_figure_source.csv,frozen accepted display source,d9b424ae246fc688670a77a561717701fec3ddffaf000af72ea6b68f214b9397,d9b424ae246fc688670a77a561717701fec3ddffaf000af72ea6b68f214b9397,21261,21261,TRUE,TRUE
artifacts/10_figures/H01/stage3/H01_stage3_model_support.png,accepted live display output,a06d33e4d9708e7a60c0296a645b7c136ffea9f6be5bcf0c7a5e38615a3069de,a06d33e4d9708e7a60c0296a645b7c136ffea9f6be5bcf0c7a5e38615a3069de,332771,332771,TRUE,TRUE
artifacts/10_figures/H01/stage3/H01_stage3_model_support.svg,accepted live display output,897e7b11a27136fd2f3ffca978af72c108ba1f443bb8941ce7d9a5515847e8ba,897e7b11a27136fd2f3ffca978af72c108ba1f443bb8941ce7d9a5515847e8ba,54914,54914,TRUE,TRUE
artifacts/10_figures/H01/stage3/H01_stage3_paired_placement.png,accepted live display output,5ca5a91ed367bdf0158bae99a671819eccf14de0d06938c91a2268275998fee5,5ca5a91ed367bdf0158bae99a671819eccf14de0d06938c91a2268275998fee5,237215,237215,TRUE,TRUE
artifacts/10_figures/H01/stage3/H01_stage3_paired_placement.svg,accepted live display output,87d0df52d9e5134b4a760cea63acd3bdd6f9bc82b675551a3325e30e3afa8a2b,87d0df52d9e5134b4a760cea63acd3bdd6f9bc82b675551a3325e30e3afa8a2b,22469,22469,TRUE,TRUE
artifacts/10_figures/H01/stage3/H01_stage3_diagnostic_assessment.png,accepted live display output,103556d8d6ca681cb8fba1ba65f4b1d7d5839ee477215becdfbc7480af0613c4,103556d8d6ca681cb8fba1ba65f4b1d7d5839ee477215becdfbc7480af0613c4,495057,495057,TRUE,TRUE
artifacts/10_figures/H01/stage3/H01_stage3_diagnostic_assessment.svg,accepted live display output,be25f8b9c83996a2e70cd7333283ae8111a659392f577f02a585508f37116f44,be25f8b9c83996a2e70cd7333283ae8111a659392f577f02a585508f37116f44,76304,76304,TRUE,TRUE
notebooks/preregistration_deviations.qmd,stable shared reader input,b542018a0e127b280fc5a106928d8689307c420f2e62913f4047d5c4c292bc6d,b542018a0e127b280fc5a106928d8689307c420f2e62913f4047d5c4c292bc6d,94061,94061,TRUE,TRUE
config/site_display_registry.csv,stable shared reader input,3d669d459ecc27d3154bbb5ff5b0d64cb510805d486b45264443228c44a6d809,3d669d459ecc27d3154bbb5ff5b0d64cb510805d486b45264443228c44a6d809,295,295,TRUE,TRUE
