attribute,value,token,resolves_once
aria-describedby,tbl-h01-l10-noon-support-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,tbl-h01-l10-noon-support-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,tbl-h01-l10-noon-effects-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,tbl-h01-l10-noon-effects-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,tbl-h01-period-sensitivity-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,tbl-h01-period-sensitivity-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,tbl-h01-scope-sensitivity-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,tbl-h01-scope-sensitivity-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,tbl-h01-marginalization-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,tbl-h01-marginalization-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,tbl-h01-influence-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,tbl-h01-influence-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,tbl-h01-latitude-loo-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,tbl-h01-latitude-loo-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,tbl-h01-samples-primary-near-eye-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,tbl-h01-samples-primary-near-eye-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,tbl-h01-samples-primary-chest-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,tbl-h01-samples-primary-chest-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,tbl-h01-samples-primary-near-eye-matched-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,tbl-h01-samples-primary-near-eye-matched-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,tbl-h01-samples-primary-chest-matched-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,tbl-h01-samples-primary-chest-matched-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,tbl-h01-samples-gap-near-eye-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,tbl-h01-samples-gap-near-eye-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,tbl-h01-samples-gap-chest-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,tbl-h01-samples-gap-chest-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,tbl-h01-samples-gap-near-eye-matched-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,tbl-h01-samples-gap-near-eye-matched-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,tbl-h01-samples-gap-chest-matched-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,tbl-h01-samples-gap-chest-matched-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,tbl-h01-deviations-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,tbl-h01-deviations-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,tbl-h01-metric-registry-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,tbl-h01-metric-registry-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,tbl-h01-participant-formulas-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,tbl-h01-participant-formulas-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,tbl-h01-participant-day-formulas-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,tbl-h01-participant-day-formulas-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,tbl-h01-preregistered-scope-formulas-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,tbl-h01-preregistered-scope-formulas-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,tbl-h01-formula-manifest-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,tbl-h01-formula-manifest-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
