"table_index","table_endpoint","attribute","attribute_index","pre_value_start_byte","pre_value_end_byte","pre_value","post_value","intended_pre_ids","intended_post_ids","post_value_start_byte","post_value_end_byte","pre_value_bytes","post_value_bytes","preview_endpoint","source_html"
1,"tbl-plan-h01-metric-synthesis-candidate","headers",2,13153,13181,"Duration stub_1_1 descriptive","tbl-plan-h01-metric-synthesis-candidate--gt-0011 tbl-plan-h01-metric-synthesis-candidate--gt-0012 tbl-plan-h01-metric-synthesis-candidate--gt-0006","Duration|stub_1_1|descriptive","tbl-plan-h01-metric-synthesis-candidate--gt-0011|tbl-plan-h01-metric-synthesis-candidate--gt-0012|tbl-plan-h01-metric-synthesis-candidate--gt-0006",13693,13838,29,146,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","headers",3,14049,14078,"Duration stub_1_1 distribution","tbl-plan-h01-metric-synthesis-candidate--gt-0011 tbl-plan-h01-metric-synthesis-candidate--gt-0012 tbl-plan-h01-metric-synthesis-candidate--gt-0007","Duration|stub_1_1|distribution","tbl-plan-h01-metric-synthesis-candidate--gt-0011|tbl-plan-h01-metric-synthesis-candidate--gt-0012|tbl-plan-h01-metric-synthesis-candidate--gt-0007",14706,14851,30,146,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","headers",4,120478,120507,"Duration stub_1_1 overall_site","tbl-plan-h01-metric-synthesis-candidate--gt-0011 tbl-plan-h01-metric-synthesis-candidate--gt-0012 tbl-plan-h01-metric-synthesis-candidate--gt-0008","Duration|stub_1_1|overall_site","tbl-plan-h01-metric-synthesis-candidate--gt-0011|tbl-plan-h01-metric-synthesis-candidate--gt-0012|tbl-plan-h01-metric-synthesis-candidate--gt-0008",121251,121396,30,146,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","headers",5,121193,121221,"Duration stub_1_1 photoperiod","tbl-plan-h01-metric-synthesis-candidate--gt-0011 tbl-plan-h01-metric-synthesis-candidate--gt-0012 tbl-plan-h01-metric-synthesis-candidate--gt-0009","Duration|stub_1_1|photoperiod","tbl-plan-h01-metric-synthesis-candidate--gt-0011|tbl-plan-h01-metric-synthesis-candidate--gt-0012|tbl-plan-h01-metric-synthesis-candidate--gt-0009",122082,122227,29,146,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","headers",6,122034,122069,"Duration stub_1_1 modelled_variation","tbl-plan-h01-metric-synthesis-candidate--gt-0011 tbl-plan-h01-metric-synthesis-candidate--gt-0012 tbl-plan-h01-metric-synthesis-candidate--gt-0010","Duration|stub_1_1|modelled_variation","tbl-plan-h01-metric-synthesis-candidate--gt-0011|tbl-plan-h01-metric-synthesis-candidate--gt-0012|tbl-plan-h01-metric-synthesis-candidate--gt-0010",123040,123185,36,146,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","id",13,122895,122902,"stub_1_2","tbl-plan-h01-metric-synthesis-candidate--gt-0013","","",124011,124058,8,48,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","headers",7,123569,123596,"Duration stub_1_2 definition","tbl-plan-h01-metric-synthesis-candidate--gt-0011 tbl-plan-h01-metric-synthesis-candidate--gt-0013 tbl-plan-h01-metric-synthesis-candidate--gt-0002","Duration|stub_1_2|definition","tbl-plan-h01-metric-synthesis-candidate--gt-0011|tbl-plan-h01-metric-synthesis-candidate--gt-0013|tbl-plan-h01-metric-synthesis-candidate--gt-0002",124725,124870,28,146,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","headers",8,124275,124303,"Duration stub_1_2 descriptive","tbl-plan-h01-metric-synthesis-candidate--gt-0011 tbl-plan-h01-metric-synthesis-candidate--gt-0013 tbl-plan-h01-metric-synthesis-candidate--gt-0006","Duration|stub_1_2|descriptive","tbl-plan-h01-metric-synthesis-candidate--gt-0011|tbl-plan-h01-metric-synthesis-candidate--gt-0013|tbl-plan-h01-metric-synthesis-candidate--gt-0006",125549,125694,29,146,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","headers",9,125263,125292,"Duration stub_1_2 distribution","tbl-plan-h01-metric-synthesis-candidate--gt-0011 tbl-plan-h01-metric-synthesis-candidate--gt-0013 tbl-plan-h01-metric-synthesis-candidate--gt-0007","Duration|stub_1_2|distribution","tbl-plan-h01-metric-synthesis-candidate--gt-0011|tbl-plan-h01-metric-synthesis-candidate--gt-0013|tbl-plan-h01-metric-synthesis-candidate--gt-0007",126654,126799,30,146,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","headers",10,240070,240099,"Duration stub_1_2 overall_site","tbl-plan-h01-metric-synthesis-candidate--gt-0011 tbl-plan-h01-metric-synthesis-candidate--gt-0013 tbl-plan-h01-metric-synthesis-candidate--gt-0008","Duration|stub_1_2|overall_site","tbl-plan-h01-metric-synthesis-candidate--gt-0011|tbl-plan-h01-metric-synthesis-candidate--gt-0013|tbl-plan-h01-metric-synthesis-candidate--gt-0008",241577,241722,30,146,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","headers",11,240890,240918,"Duration stub_1_2 photoperiod","tbl-plan-h01-metric-synthesis-candidate--gt-0011 tbl-plan-h01-metric-synthesis-candidate--gt-0013 tbl-plan-h01-metric-synthesis-candidate--gt-0009","Duration|stub_1_2|photoperiod","tbl-plan-h01-metric-synthesis-candidate--gt-0011|tbl-plan-h01-metric-synthesis-candidate--gt-0013|tbl-plan-h01-metric-synthesis-candidate--gt-0009",242513,242658,29,146,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","headers",12,241823,241858,"Duration stub_1_2 modelled_variation","tbl-plan-h01-metric-synthesis-candidate--gt-0011 tbl-plan-h01-metric-synthesis-candidate--gt-0013 tbl-plan-h01-metric-synthesis-candidate--gt-0010","Duration|stub_1_2|modelled_variation","tbl-plan-h01-metric-synthesis-candidate--gt-0011|tbl-plan-h01-metric-synthesis-candidate--gt-0013|tbl-plan-h01-metric-synthesis-candidate--gt-0010",243563,243708,36,146,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","id",14,242776,242783,"stub_1_3","tbl-plan-h01-metric-synthesis-candidate--gt-0014","","",244626,244673,8,48,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","headers",13,243450,243477,"Duration stub_1_3 definition","tbl-plan-h01-metric-synthesis-candidate--gt-0011 tbl-plan-h01-metric-synthesis-candidate--gt-0014 tbl-plan-h01-metric-synthesis-candidate--gt-0002","Duration|stub_1_3|definition","tbl-plan-h01-metric-synthesis-candidate--gt-0011|tbl-plan-h01-metric-synthesis-candidate--gt-0014|tbl-plan-h01-metric-synthesis-candidate--gt-0002",245340,245485,28,146,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","headers",14,244049,244077,"Duration stub_1_3 descriptive","tbl-plan-h01-metric-synthesis-candidate--gt-0011 tbl-plan-h01-metric-synthesis-candidate--gt-0014 tbl-plan-h01-metric-synthesis-candidate--gt-0006","Duration|stub_1_3|descriptive","tbl-plan-h01-metric-synthesis-candidate--gt-0011|tbl-plan-h01-metric-synthesis-candidate--gt-0014|tbl-plan-h01-metric-synthesis-candidate--gt-0006",246057,246202,29,146,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","headers",15,244945,244974,"Duration stub_1_3 distribution","tbl-plan-h01-metric-synthesis-candidate--gt-0011 tbl-plan-h01-metric-synthesis-candidate--gt-0014 tbl-plan-h01-metric-synthesis-candidate--gt-0007","Duration|stub_1_3|distribution","tbl-plan-h01-metric-synthesis-candidate--gt-0011|tbl-plan-h01-metric-synthesis-candidate--gt-0014|tbl-plan-h01-metric-synthesis-candidate--gt-0007",247070,247215,30,146,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","headers",16,357472,357501,"Duration stub_1_3 overall_site","tbl-plan-h01-metric-synthesis-candidate--gt-0011 tbl-plan-h01-metric-synthesis-candidate--gt-0014 tbl-plan-h01-metric-synthesis-candidate--gt-0008","Duration|stub_1_3|overall_site","tbl-plan-h01-metric-synthesis-candidate--gt-0011|tbl-plan-h01-metric-synthesis-candidate--gt-0014|tbl-plan-h01-metric-synthesis-candidate--gt-0008",359713,359858,30,146,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","headers",17,358200,358228,"Duration stub_1_3 photoperiod","tbl-plan-h01-metric-synthesis-candidate--gt-0011 tbl-plan-h01-metric-synthesis-candidate--gt-0014 tbl-plan-h01-metric-synthesis-candidate--gt-0009","Duration|stub_1_3|photoperiod","tbl-plan-h01-metric-synthesis-candidate--gt-0011|tbl-plan-h01-metric-synthesis-candidate--gt-0014|tbl-plan-h01-metric-synthesis-candidate--gt-0009",360557,360702,29,146,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","headers",18,359049,359084,"Duration stub_1_3 modelled_variation","tbl-plan-h01-metric-synthesis-candidate--gt-0011 tbl-plan-h01-metric-synthesis-candidate--gt-0014 tbl-plan-h01-metric-synthesis-candidate--gt-0010","Duration|stub_1_3|modelled_variation","tbl-plan-h01-metric-synthesis-candidate--gt-0011|tbl-plan-h01-metric-synthesis-candidate--gt-0014|tbl-plan-h01-metric-synthesis-candidate--gt-0010",361523,361668,36,146,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","id",15,359908,359915,"stub_1_4","tbl-plan-h01-metric-synthesis-candidate--gt-0015","","",362492,362539,8,48,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","headers",19,360581,360608,"Duration stub_1_4 definition","tbl-plan-h01-metric-synthesis-candidate--gt-0011 tbl-plan-h01-metric-synthesis-candidate--gt-0015 tbl-plan-h01-metric-synthesis-candidate--gt-0002","Duration|stub_1_4|definition","tbl-plan-h01-metric-synthesis-candidate--gt-0011|tbl-plan-h01-metric-synthesis-candidate--gt-0015|tbl-plan-h01-metric-synthesis-candidate--gt-0002",363205,363350,28,146,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","headers",20,361277,361305,"Duration stub_1_4 descriptive","tbl-plan-h01-metric-synthesis-candidate--gt-0011 tbl-plan-h01-metric-synthesis-candidate--gt-0015 tbl-plan-h01-metric-synthesis-candidate--gt-0006","Duration|stub_1_4|descriptive","tbl-plan-h01-metric-synthesis-candidate--gt-0011|tbl-plan-h01-metric-synthesis-candidate--gt-0015|tbl-plan-h01-metric-synthesis-candidate--gt-0006",364019,364164,29,146,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","headers",21,362265,362294,"Duration stub_1_4 distribution","tbl-plan-h01-metric-synthesis-candidate--gt-0011 tbl-plan-h01-metric-synthesis-candidate--gt-0015 tbl-plan-h01-metric-synthesis-candidate--gt-0007","Duration|stub_1_4|distribution","tbl-plan-h01-metric-synthesis-candidate--gt-0011|tbl-plan-h01-metric-synthesis-candidate--gt-0015|tbl-plan-h01-metric-synthesis-candidate--gt-0007",365124,365269,30,146,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","headers",22,449751,449780,"Duration stub_1_4 overall_site","tbl-plan-h01-metric-synthesis-candidate--gt-0011 tbl-plan-h01-metric-synthesis-candidate--gt-0015 tbl-plan-h01-metric-synthesis-candidate--gt-0008","Duration|stub_1_4|overall_site","tbl-plan-h01-metric-synthesis-candidate--gt-0011|tbl-plan-h01-metric-synthesis-candidate--gt-0015|tbl-plan-h01-metric-synthesis-candidate--gt-0008",452726,452871,30,146,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","headers",23,450558,450586,"Duration stub_1_4 photoperiod","tbl-plan-h01-metric-synthesis-candidate--gt-0011 tbl-plan-h01-metric-synthesis-candidate--gt-0015 tbl-plan-h01-metric-synthesis-candidate--gt-0009","Duration|stub_1_4|photoperiod","tbl-plan-h01-metric-synthesis-candidate--gt-0011|tbl-plan-h01-metric-synthesis-candidate--gt-0015|tbl-plan-h01-metric-synthesis-candidate--gt-0009",453649,453794,29,146,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","headers",24,451473,451508,"Duration stub_1_4 modelled_variation","tbl-plan-h01-metric-synthesis-candidate--gt-0011 tbl-plan-h01-metric-synthesis-candidate--gt-0015 tbl-plan-h01-metric-synthesis-candidate--gt-0010","Duration|stub_1_4|modelled_variation","tbl-plan-h01-metric-synthesis-candidate--gt-0011|tbl-plan-h01-metric-synthesis-candidate--gt-0015|tbl-plan-h01-metric-synthesis-candidate--gt-0010",454681,454826,36,146,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","id",16,452424,452431,"stub_1_5","tbl-plan-h01-metric-synthesis-candidate--gt-0016","","",455742,455789,8,48,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","headers",25,453096,453123,"Duration stub_1_5 definition","tbl-plan-h01-metric-synthesis-candidate--gt-0011 tbl-plan-h01-metric-synthesis-candidate--gt-0016 tbl-plan-h01-metric-synthesis-candidate--gt-0002","Duration|stub_1_5|definition","tbl-plan-h01-metric-synthesis-candidate--gt-0011|tbl-plan-h01-metric-synthesis-candidate--gt-0016|tbl-plan-h01-metric-synthesis-candidate--gt-0002",456454,456599,28,146,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","headers",26,453701,453729,"Duration stub_1_5 descriptive","tbl-plan-h01-metric-synthesis-candidate--gt-0011 tbl-plan-h01-metric-synthesis-candidate--gt-0016 tbl-plan-h01-metric-synthesis-candidate--gt-0006","Duration|stub_1_5|descriptive","tbl-plan-h01-metric-synthesis-candidate--gt-0011|tbl-plan-h01-metric-synthesis-candidate--gt-0016|tbl-plan-h01-metric-synthesis-candidate--gt-0006",457177,457322,29,146,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","headers",27,454597,454626,"Duration stub_1_5 distribution","tbl-plan-h01-metric-synthesis-candidate--gt-0011 tbl-plan-h01-metric-synthesis-candidate--gt-0016 tbl-plan-h01-metric-synthesis-candidate--gt-0007","Duration|stub_1_5|distribution","tbl-plan-h01-metric-synthesis-candidate--gt-0011|tbl-plan-h01-metric-synthesis-candidate--gt-0016|tbl-plan-h01-metric-synthesis-candidate--gt-0007",458190,458335,30,146,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","headers",28,562082,562111,"Duration stub_1_5 overall_site","tbl-plan-h01-metric-synthesis-candidate--gt-0011 tbl-plan-h01-metric-synthesis-candidate--gt-0016 tbl-plan-h01-metric-synthesis-candidate--gt-0008","Duration|stub_1_5|overall_site","tbl-plan-h01-metric-synthesis-candidate--gt-0011|tbl-plan-h01-metric-synthesis-candidate--gt-0016|tbl-plan-h01-metric-synthesis-candidate--gt-0008",565791,565936,30,146,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","headers",29,562796,562824,"Duration stub_1_5 photoperiod","tbl-plan-h01-metric-synthesis-candidate--gt-0011 tbl-plan-h01-metric-synthesis-candidate--gt-0016 tbl-plan-h01-metric-synthesis-candidate--gt-0009","Duration|stub_1_5|photoperiod","tbl-plan-h01-metric-synthesis-candidate--gt-0011|tbl-plan-h01-metric-synthesis-candidate--gt-0016|tbl-plan-h01-metric-synthesis-candidate--gt-0009",566621,566766,29,146,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","headers",30,563636,563671,"Duration stub_1_5 modelled_variation","tbl-plan-h01-metric-synthesis-candidate--gt-0011 tbl-plan-h01-metric-synthesis-candidate--gt-0016 tbl-plan-h01-metric-synthesis-candidate--gt-0010","Duration|stub_1_5|modelled_variation","tbl-plan-h01-metric-synthesis-candidate--gt-0011|tbl-plan-h01-metric-synthesis-candidate--gt-0016|tbl-plan-h01-metric-synthesis-candidate--gt-0010",567578,567723,36,146,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","id",17,565154,565161,"Dynamics","tbl-plan-h01-metric-synthesis-candidate--gt-0017","","",569206,569253,8,48,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","id",18,565306,565313,"stub_1_6","tbl-plan-h01-metric-synthesis-candidate--gt-0018","","",569398,569445,8,48,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","headers",31,565964,565991,"Dynamics stub_1_6 definition","tbl-plan-h01-metric-synthesis-candidate--gt-0017 tbl-plan-h01-metric-synthesis-candidate--gt-0018 tbl-plan-h01-metric-synthesis-candidate--gt-0002","Dynamics|stub_1_6|definition","tbl-plan-h01-metric-synthesis-candidate--gt-0017|tbl-plan-h01-metric-synthesis-candidate--gt-0018|tbl-plan-h01-metric-synthesis-candidate--gt-0002",570096,570241,28,146,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","headers",32,566669,566697,"Dynamics stub_1_6 descriptive","tbl-plan-h01-metric-synthesis-candidate--gt-0017 tbl-plan-h01-metric-synthesis-candidate--gt-0018 tbl-plan-h01-metric-synthesis-candidate--gt-0006","Dynamics|stub_1_6|descriptive","tbl-plan-h01-metric-synthesis-candidate--gt-0017|tbl-plan-h01-metric-synthesis-candidate--gt-0018|tbl-plan-h01-metric-synthesis-candidate--gt-0006",570919,571064,29,146,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
