href,valid_unique
index.html#supplementary-table-s5.-near-eye-fitted-curve-dispersion-and-full-model-r%C2%B2-allocation,True
index.html#supplementary-table-s6.-chest-fitted-curve-dispersion-and-full-model-r%C2%B2-allocation,True
index.html#geographic-and-civil-photoperiod-context,True
index.html#supplementary-figure-s7.-geographic-support-and-nonlinear-photoperiod-classifications,True
index.html#supplementary-table-s7.-geographic-and-photoperiod-associations,True
index.html#supplementary-table-s8.-nonlinear-civil-photoperiod-classifications,True
index.html#immediate-environments-and-routines,True
index.html#supplementary-figure-s8.-light-source-category-and-local-clock-pattern-of-near-eye-melanopic-edi,True
index.html#hourly-routine-analyses,True
index.html#supplementary-figure-s9.-paired-sensor-position-hourly-associations,True
index.html#supplementary-figure-s10.-free-versus-work-hourly-timing,True
index.html#supplementary-figure-s11.-active-versus-sedentary-hourly-timing,True
index.html#supplementary-figure-s12.-site-specific-hourly-routine-associations,True
index.html#supplementary-table-s9.-participant-hour-routine-associations,True
index.html#person-level-findings,True
index.html#supplementary-table-s10.-person-level-evidence-synthesis,True
index.html#supplementary-figure-s13-and-table-s11.-light-exposure-behaviour-and-awareness,True
index.html#supplementary-figure-s14-and-table-s12.-visual-light-sensitivity,True
index.html#supplementary-figure-s15-and-table-s13.-chronotype-and-timing,True
index.html#supplementary-figure-s16-and-table-s14.-age-and-biological-sex,True
index.html#supplementary-figure-s17-and-table-s15.-biological-sex-specific-daily-curves,True
index.html#measurement-position-robustness-and-reproducibility,True
supplementary_information.html,True
supplementary_information.html#supplementary-information,True
supplementary_information.html#study-support-and-exposure-definitions,True
supplementary_information.html#supplementary-table-s1.-descriptive-sample-flow,True
supplementary_information.html#supplementary-table-s2.-full-near-eye-metric-dictionary-and-distributions,True
supplementary_information.html#supplementary-table-s3.-descriptive-recommendation-range-fractions,True
supplementary_information.html#supplementary-figure-s1.-near-eye-metric-distributions,True
supplementary_information.html#supplementary-figure-s2.-worked-metric-derivation,True
supplementary_information.html#supplementary-figure-s3.-latitude-and-civil-photoperiod-measurement-range,True
supplementary_information.html#recommendation-adherence,True
supplementary_information.html#supplementary-figure-s4.-site-average-recommendation-adherence,True
supplementary_information.html#supplementary-figure-s5.-site-specific-adherence-and-day-type-differences,True
supplementary_information.html#supplementary-table-s4.-exploratory-cross-window-recommendation-adherence-associations,True
supplementary_information.html#supplementary-figure-s6.-anonymous-participant-recommendation-adherence-profiles,True
supplementary_information.html#daily-architecture,True
supplementary_information.html#supplementary-table-s5.-near-eye-fitted-curve-dispersion-and-full-model-r%C2%B2-allocation,True
supplementary_information.html#supplementary-table-s6.-chest-fitted-curve-dispersion-and-full-model-r%C2%B2-allocation,True
supplementary_information.html#geographic-and-civil-photoperiod-context,True
supplementary_information.html#supplementary-figure-s7.-geographic-support-and-nonlinear-photoperiod-classifications,True
supplementary_information.html#supplementary-table-s7.-geographic-and-photoperiod-associations,True
supplementary_information.html#supplementary-table-s8.-nonlinear-civil-photoperiod-classifications,True
supplementary_information.html#immediate-environments-and-routines,True
supplementary_information.html#supplementary-figure-s8.-light-source-category-and-local-clock-pattern-of-near-eye-melanopic-edi,True
supplementary_information.html#hourly-routine-analyses,True
supplementary_information.html#supplementary-figure-s9.-paired-sensor-position-hourly-associations,True
supplementary_information.html#supplementary-figure-s10.-free-versus-work-hourly-timing,True
supplementary_information.html#supplementary-figure-s11.-active-versus-sedentary-hourly-timing,True
supplementary_information.html#supplementary-figure-s12.-site-specific-hourly-routine-associations,True
supplementary_information.html#supplementary-table-s9.-participant-hour-routine-associations,True
supplementary_information.html#person-level-findings,True
supplementary_information.html#supplementary-table-s10.-person-level-evidence-synthesis,True
supplementary_information.html#supplementary-figure-s13-and-table-s11.-light-exposure-behaviour-and-awareness,True
supplementary_information.html#supplementary-figure-s14-and-table-s12.-visual-light-sensitivity,True
supplementary_information.html#supplementary-figure-s15-and-table-s13.-chronotype-and-timing,True
supplementary_information.html#supplementary-figure-s16-and-table-s14.-age-and-biological-sex,True
supplementary_information.html#supplementary-figure-s17-and-table-s15.-biological-sex-specific-daily-curves,True
supplementary_information.html#measurement-position-robustness-and-reproducibility,True
notebooks/preparation/01_import_state_alignment.html,True
notebooks/preparation/01_import_state_alignment.html#purpose-and-position-in-the-analysis-chain,True
notebooks/preparation/01_import_state_alignment.html#establish-the-exact-source-files,True
notebooks/preparation/01_import_state_alignment.html#preserve-actual-time-and-local-clock-time,True
notebooks/preparation/01_import_state_alignment.html#prepare-sleep-and-wear-periods,True
notebooks/preparation/01_import_state_alignment.html#align-measurement-context-without-losing-rows,True
notebooks/preparation/01_import_state_alignment.html#apply-the-meledi-operating-limit,True
notebooks/preparation/01_import_state_alignment.html#stored-sample-after-import-and-alignment,True
notebooks/preparation/01_import_state_alignment.html#checks-that-had-to-pass,True
notebooks/preparation/01_import_state_alignment.html#production-scripts-and-why-the-operations-are-separate,True
notebooks/preparation/01_import_state_alignment.html#exact-artifacts-passed-to-preparation-02,True
notebooks/preparation/01_import_state_alignment.html#render-environment,True
notebooks/preparation/01_import_state_alignment.html#quarto-bibliography,True
notebooks/preparation/02_coverage_sample_flow.html,True
notebooks/preparation/02_coverage_sample_flow.html#purpose-and-position-in-the-analysis-chain,True
notebooks/preparation/02_coverage_sample_flow.html#the-decisions-applied,True
notebooks/preparation/02_coverage_sample_flow.html#overall-input-and-retained-coverage,True
notebooks/preparation/02_coverage_sample_flow.html#coverage-by-site,True
notebooks/preparation/02_coverage_sample_flow.html#why-measurements-were-unavailable,True
notebooks/preparation/02_coverage_sample_flow.html#sample-flow-through-each-branch,True
notebooks/preparation/02_coverage_sample_flow.html#checks-that-passed,True
notebooks/preparation/02_coverage_sample_flow.html#production-scripts-and-execution-order,True
notebooks/preparation/02_coverage_sample_flow.html#exact-artifacts-passed-forward,True
notebooks/preparation/02_coverage_sample_flow.html#render-environment,True
notebooks/preparation/03_reference_profiles.html,True
notebooks/preparation/03_reference_profiles.html#purpose-and-position-in-the-preparation-chain,True
notebooks/preparation/03_reference_profiles.html#how-the-reference-profiles-are-defined,True
notebooks/preparation/03_reference_profiles.html#what-the-pooled-profiles-look-like,True
notebooks/preparation/03_reference_profiles.html#exact-inputs-and-clock-handling,True
notebooks/preparation/03_reference_profiles.html#support-for-the-intensity-profiles,True
notebooks/preparation/03_reference_profiles.html#probability-of-exceeding-250-lx-by-time-of-day,True
notebooks/preparation/03_reference_profiles.html#how-preparation-04-may-use-each-map,True
notebooks/preparation/03_reference_profiles.html#limitation-of-current-independent-verification,True
notebooks/preparation/03_reference_profiles.html#technical-provenance-and-file-checks,True
notebooks/preparation/03_reference_profiles.html#producing-scripts-in-execution-order,True
notebooks/preparation/03_reference_profiles.html#artifacts-passed-to-metric-derivation,True
notebooks/preparation/03_reference_profiles.html#handoff-to-preparation-04,True
notebooks/preparation/04_metric_derivation.html,True
notebooks/preparation/04_metric_derivation.html#purpose-and-position-in-the-preparation-chain,True
notebooks/preparation/04_metric_derivation.html#exact-inputs,True
notebooks/preparation/04_metric_derivation.html#scientific-rules-applied-during-production,True
notebooks/preparation/04_metric_derivation.html#source-verified-zeros-after-geometric-means,True
notebooks/preparation/04_metric_derivation.html#cohort-and-time-grid-outputs,True
notebooks/preparation/04_metric_derivation.html#diary-period-support,True
notebooks/preparation/04_metric_derivation.html#mder-from-viable-one-minute-channel-pairs,True
notebooks/preparation/04_metric_derivation.html#thirty-minute-and-hourly-values,True
notebooks/preparation/04_metric_derivation.html#which-metric-values-are-available,True
notebooks/preparation/04_metric_derivation.html#gaps-and-daylight-saving-changes,True
notebooks/preparation/04_metric_derivation.html#limitation-of-current-independent-verification,True
notebooks/preparation/04_metric_derivation.html#technical-provenance-and-version-specific-verification,True
notebooks/preparation/04_metric_derivation.html#production-sequence-and-stored-hand-offs,True
notebooks/preparation/04_metric_derivation.html#exact-artifacts-passed-forward,True
notebooks/preparation/04_metric_derivation.html#file-checks-and-version-specific-evidence,True
notebooks/preparation/05_model_input_acquisition.html,True
notebooks/preparation/05_model_input_acquisition.html#purpose-and-position-in-the-preparation-chain,True
notebooks/preparation/05_model_input_acquisition.html#files-acquired-and-why,True
notebooks/preparation/05_model_input_acquisition.html#access-privacy-and-acquired-contents,True
notebooks/preparation/05_model_input_acquisition.html#technical-provenance,True
notebooks/preparation/05_model_input_acquisition.html#input-specification-records,True
notebooks/preparation/05_model_input_acquisition.html#fixed-source-releases,True
notebooks/preparation/05_model_input_acquisition.html#corrected-munich-de-exercise-source,True
notebooks/preparation/05_model_input_acquisition.html#how-files-were-obtained-in-the-recorded-run,True
notebooks/preparation/05_model_input_acquisition.html#production-sequence,True
notebooks/preparation/05_model_input_acquisition.html#exact-stored-artifacts-passed-to-preparation-06,True
notebooks/preparation/05_model_input_acquisition.html#checks-tied-to-the-current-stored-files,True
notebooks/preparation/05_model_input_acquisition.html#stored-independent-verification,True
notebooks/preparation/06_model_ready_datasets.html,True
notebooks/preparation/06_model_ready_datasets.html#purpose-and-position-in-the-analysis-chain,True
notebooks/preparation/06_model_ready_datasets.html#standardize-participant-questionnaire-and-diary-structures,True
notebooks/preparation/06_model_ready_datasets.html#keep-the-prepared-data-comparison-separate,True
notebooks/preparation/06_model_ready_datasets.html#add-site-and-daylight-context,True
notebooks/preparation/06_model_ready_datasets.html#preserve-time-of-day-and-actual-elapsed-time,True
notebooks/preparation/06_model_ready_datasets.html#combine-checked-data-without-choosing-a-hypothesis-sample,True
notebooks/preparation/06_model_ready_datasets.html#current-mder-in-the-shared-inputs,True
notebooks/preparation/06_model_ready_datasets.html#source-verified-l10-zeros-in-the-shared-inputs,True
notebooks/preparation/06_model_ready_datasets.html#store-the-first-hypothesis-specific-inputs,True
notebooks/preparation/06_model_ready_datasets.html#describe-composition-before-hypothesis-fitting,True
notebooks/preparation/06_model_ready_datasets.html#limitations-carried-into-the-model-ready-inputs,True
notebooks/preparation/06_model_ready_datasets.html#technical-provenance-and-stored-artifact-handoff,True
notebooks/preparation/06_model_ready_datasets.html#render-boundary,True
notebooks/preparation/06_model_ready_datasets.html#file-identity-checks,True
notebooks/preparation/06_model_ready_datasets.html#mder-artifact-identities,True
notebooks/preparation/06_model_ready_datasets.html#numerical-zero-artifact-identities,True
notebooks/preparation/06_model_ready_datasets.html#producing-scripts-in-execution-order,True
notebooks/preparation/07_example_days.html,True
notebooks/preparation/07_example_days.html#purpose-and-position-in-the-preparation-chain,True
notebooks/preparation/07_example_days.html#inputs-and-selection-requirements,True
notebooks/preparation/07_example_days.html#selected-participant-days,True
notebooks/preparation/07_example_days.html#how-to-read-the-one-minute-profiles,True
notebooks/preparation/07_example_days.html#one-minute-profiles,True
notebooks/preparation/07_example_days.html#technical-provenance-and-checks-on-the-current-stored-bundle,True
notebooks/preparation/07_example_days.html#exact-input-identities,True
notebooks/preparation/07_example_days.html#complete-stored-selection-and-display-rules,True
notebooks/preparation/07_example_days.html#production-and-verification-scripts,True
notebooks/preparation/07_example_days.html#current-bundle-checks,True
notebooks/preparation/07_example_days.html#stored-display-artifacts-and-analytical-handoff,True
notebooks/placement_decision.html,True
notebooks/placement_decision.html#why-the-sensor-positions-stay-separate,True
notebooks/placement_decision.html#how-the-positions-are-compared,True
notebooks/placement_decision.html#what-sleep-period-measurements-represent,True
notebooks/descriptives.html,True
notebooks/descriptives.html#study-sample-and-sites,True
notebooks/descriptives.html#data-coverage-and-measurement-placements,True
notebooks/descriptives.html#main-descriptive-figure-and-table,True
notebooks/descriptives.html#figure-1-study-overview,True
notebooks/descriptives.html#table-1-participant-and-site-characteristics,True
notebooks/descriptives.html#reduced-participant-characteristics-table,True
notebooks/descriptives.html#light-distributions-and-temporal-context,True
notebooks/descriptives.html#table-2-metric-distributions,True
notebooks/descriptives.html#figure-2-site-specific-profiles,True
notebooks/descriptives.html#figure-3-near-eye-metric-distributions,True
notebooks/descriptives.html#figure-4-from-time-series-to-a-daily-metric,True
notebooks/descriptives.html#figure-5-latitude-and-observed-photoperiod,True
notebooks/descriptives.html#light-exposure-in-recommendation-contexts,True
notebooks/descriptives.html#data-quality-and-denominator-qualifications,True
notebooks/descriptives.html#source-data-and-technical-provenance,True
notebooks/descriptives.html#reference-table-comparison,True
notebooks/descriptives.html#visual-export-comparison,True
notebooks/descriptives.html#figure-display-contract,True
notebooks/descriptives.html#quarto-bibliography,True
notebooks/preregistration_deviations.html,True
notebooks/preregistration_deviations.html#how-to-read,True
notebooks/preregistration_deviations.html#statistical-terms-used-across-entries,True
notebooks/preregistration_deviations.html#light-exposure-measures-named-in-entries,True
notebooks/preregistration_deviations.html#scientific-deviation,True
notebooks/preregistration_deviations.html#study-population-samples-placement-and-context,True
notebooks/preregistration_deviations.html#dev-001,True
notebooks/preregistration_deviations.html#dev-004,True
notebooks/preregistration_deviations.html#imp-012,True
notebooks/preregistration_deviations.html#rep-001,True
notebooks/preregistration_deviations.html#rep-002,True
notebooks/preregistration_deviations.html#rep-003,True
notebooks/preregistration_deviations.html#data-preparation-timing-state-and-support,True
notebooks/preregistration_deviations.html#dev-005,True
notebooks/preregistration_deviations.html#dev-006,True
notebooks/preregistration_deviations.html#imp-002,True
notebooks/preregistration_deviations.html#imp-017,True
notebooks/preregistration_deviations.html#imp-018,True
notebooks/preregistration_deviations.html#dev-019,True
notebooks/preregistration_deviations.html#dev-055,True
notebooks/preregistration_deviations.html#dev-056,True
notebooks/preregistration_deviations.html#dev-057,True
notebooks/preregistration_deviations.html#metric-and-outcome-definitions,True
notebooks/preregistration_deviations.html#dev-007,True
notebooks/preregistration_deviations.html#dev-052,True
notebooks/preregistration_deviations.html#dev-053,True
notebooks/preregistration_deviations.html#dev-054,True
notebooks/preregistration_deviations.html#dev-058,True
notebooks/preregistration_deviations.html#imp-023,True
notebooks/preregistration_deviations.html#imp-024,True
notebooks/preregistration_deviations.html#hypothesis-models-estimands-and-inference,True
notebooks/preregistration_deviations.html#dev-009,True
notebooks/preregistration_deviations.html#dev-010,True
notebooks/preregistration_deviations.html#dev-011,True
notebooks/preregistration_deviations.html#dev-012,True
notebooks/preregistration_deviations.html#dev-013,True
notebooks/preregistration_deviations.html#dev-014,True
notebooks/preregistration_deviations.html#dev-015,True
notebooks/preregistration_deviations.html#dev-016,True
notebooks/preregistration_deviations.html#dev-017,True
notebooks/preregistration_deviations.html#dev-018,True
notebooks/preregistration_deviations.html#dev-020,True
notebooks/preregistration_deviations.html#dev-021,True
notebooks/preregistration_deviations.html#dev-022,True
notebooks/preregistration_deviations.html#dev-023,True
notebooks/preregistration_deviations.html#dev-024,True
notebooks/preregistration_deviations.html#dev-025,True
notebooks/preregistration_deviations.html#dev-026,True
notebooks/preregistration_deviations.html#dev-027,True
notebooks/preregistration_deviations.html#dev-028,True
notebooks/preregistration_deviations.html#dev-029,True
notebooks/preregistration_deviations.html#dev-030,True
notebooks/preregistration_deviations.html#dev-031,True
notebooks/preregistration_deviations.html#dev-032,True
notebooks/preregistration_deviations.html#dev-033,True
notebooks/preregistration_deviations.html#dev-034,True
notebooks/preregistration_deviations.html#dev-035,True
notebooks/preregistration_deviations.html#dev-036,True
notebooks/preregistration_deviations.html#dev-037,True
notebooks/preregistration_deviations.html#dev-038,True
notebooks/preregistration_deviations.html#dev-039,True
notebooks/preregistration_deviations.html#dev-040,True
notebooks/preregistration_deviations.html#dev-041,True
notebooks/preregistration_deviations.html#dev-042,True
notebooks/preregistration_deviations.html#dev-043,True
notebooks/preregistration_deviations.html#dev-044,True
notebooks/preregistration_deviations.html#dev-045,True
notebooks/preregistration_deviations.html#dev-047,True
notebooks/preregistration_deviations.html#dev-048,True
notebooks/preregistration_deviations.html#current-qualification,True
notebooks/preregistration_deviations.html#entries,True
notebooks/preregistration_deviations.html#dev-003,True
notebooks/preregistration_deviations.html#resolved-implementation-history,True
notebooks/preregistration_deviations.html#entries-1,True
notebooks/preregistration_deviations.html#dev-008,True
notebooks/preregistration_deviations.html#imp-001,True
notebooks/preregistration_deviations.html#imp-003,True
notebooks/preregistration_deviations.html#imp-004,True
notebooks/preregistration_deviations.html#imp-005,True
notebooks/preregistration_deviations.html#imp-006,True
notebooks/preregistration_deviations.html#imp-007,True
notebooks/preregistration_deviations.html#imp-008,True
notebooks/preregistration_deviations.html#imp-009,True
notebooks/preregistration_deviations.html#imp-010,True
notebooks/preregistration_deviations.html#imp-011,True
notebooks/preregistration_deviations.html#imp-013,True
notebooks/preregistration_deviations.html#imp-014,True
notebooks/preregistration_deviations.html#imp-015,True
notebooks/preregistration_deviations.html#imp-016,True
notebooks/preregistration_deviations.html#imp-019,True
notebooks/preregistration_deviations.html#imp-021,True
notebooks/preregistration_deviations.html#dev-046,True
notebooks/preregistration_deviations.html#dev-051,True
notebooks/preregistration_deviations.html#technical-provenance,True
notebooks/preregistration_deviations.html#entries-2,True
notebooks/preregistration_deviations.html#dev-002,True
notebooks/preregistration_deviations.html#doc-001,True
notebooks/preregistration_deviations.html#imp-020,True
notebooks/preregistration_deviations.html#dev-049,True
notebooks/preregistration_deviations.html#dev-050,True
notebooks/preregistration_deviations.html#imp-022,True
notebooks/preregistration_deviations.html#source-and-update-note,True
notebooks/hypotheses/H01.html,True
notebooks/hypotheses/H01.html#hypothesis-and-analytical-question,True
notebooks/hypotheses/H01.html#what-was-analysed,True
notebooks/hypotheses/H01.html#statistical-models,True
notebooks/hypotheses/H01.html#results-overview,True
notebooks/hypotheses/H01.html#primary-near-eye-summary,True
notebooks/hypotheses/H01.html#primary-near-eye-results,True
notebooks/hypotheses/H01.html#model-level-tests,True
notebooks/hypotheses/H01.html#photoperiod-and-latitude-effects,True
notebooks/hypotheses/H01.html#hierarchical-site-contrasts,True
notebooks/hypotheses/H01.html#variation-represented,True
notebooks/hypotheses/H01.html#complementary-chest-results,True
notebooks/hypotheses/H01.html#model-level-tests-1,True
notebooks/hypotheses/H01.html#photoperiod-and-latitude-effects-1,True
notebooks/hypotheses/H01.html#hierarchical-site-contrasts-1,True
notebooks/hypotheses/H01.html#variation-represented-1,True
notebooks/hypotheses/H01.html#matched-near-eye-and-chest-evidence,True
notebooks/hypotheses/H01.html#model-checks,True
notebooks/hypotheses/H01.html#representative-review-examples,True
notebooks/hypotheses/H01.html#sensitivity-analyses,True
notebooks/hypotheses/H01.html#alternative-dataset-and-matched-sample-results,True
notebooks/hypotheses/H01.html#matched-near-eye-and-chest-estimands,True
notebooks/hypotheses/H01.html#darkest-10-hour-midpoint-clock-cut,True
notebooks/hypotheses/H01.html#exactly-identified-continuous-periods,True
notebooks/hypotheses/H01.html#preregistered-photoperiod-scope,True
notebooks/hypotheses/H01.html#marginalization-participant-influence-and-latitude-leverage,True
notebooks/hypotheses/H01.html#interpretation,True
notebooks/hypotheses/H01.html#limitations,True
notebooks/hypotheses/H01.html#detailed-analysis-record,True
notebooks/hypotheses/H01.html#exact-fitted-samples,True
notebooks/hypotheses/H01.html#h01-preregistration-deviations,True
notebooks/hypotheses/H01.html#response-and-model-family-registry,True
notebooks/hypotheses/H01.html#exact-formulas-and-model-engines,True
notebooks/hypotheses/H01.html#participant-level-formula-objects,True
notebooks/hypotheses/H01.html#participant-day-formula-objects,True
notebooks/hypotheses/H01.html#preregistered-scope-sensitivity-formula-objects,True
notebooks/hypotheses/H01.html#analysis-record-and-source-data,True
audit/hypotheses/H01/H01_analysis_preparation.html,True
audit/hypotheses/H01/H01_analysis_preparation.html#about-this-analysis-record,True
audit/hypotheses/H01/H01_analysis_preparation.html#analysis-map,True
audit/hypotheses/H01/H01_analysis_preparation.html#render-boundary,True
audit/hypotheses/H01/H01_analysis_preparation.html#data-entering-the-analysis,True
audit/hypotheses/H01/H01_analysis_preparation.html#verified-inputs,True
audit/hypotheses/H01/H01_analysis_preparation.html#what-these-files-contain,True
audit/hypotheses/H01/H01_analysis_preparation.html#why-prepared-records-did-not-enter-every-model-frame,True
audit/hypotheses/H01/H01_analysis_preparation.html#the-17-metric-response-package,True
audit/hypotheses/H01/H01_analysis_preparation.html#construct-specific-rules,True
audit/hypotheses/H01/H01_analysis_preparation.html#model-frame-and-sample-construction,True
audit/hypotheses/H01/H01_analysis_preparation.html#eight-analysis-scenarios,True
audit/hypotheses/H01/H01_analysis_preparation.html#exact-primary-fitted-samples,True
audit/hypotheses/H01/H01_analysis_preparation.html#retention-from-prepared-rows-to-fitted-rows,True
audit/hypotheses/H01/H01_analysis_preparation.html#site-specific-support,True
audit/hypotheses/H01/H01_analysis_preparation.html#model-construction,True
audit/hypotheses/H01/H01_analysis_preparation.html#exact-formula-set,True
audit/hypotheses/H01/H01_analysis_preparation.html#central-settings,True
audit/hypotheses/H01/H01_analysis_preparation.html#estimands-uncertainty-and-multiplicity,True
audit/hypotheses/H01/H01_analysis_preparation.html#bootstrap-model-checks-and-influence,True
audit/hypotheses/H01/H01_analysis_preparation.html#stored-joint-refit-support,True
audit/hypotheses/H01/H01_analysis_preparation.html#model-check-and-influence-chain,True
audit/hypotheses/H01/H01_analysis_preparation.html#sensitivity-branches,True
audit/hypotheses/H01/H01_analysis_preparation.html#limitations-and-qualifications,True
audit/hypotheses/H01/H01_analysis_preparation.html#technical-provenance-and-reproduction,True
audit/hypotheses/H01/H01_analysis_preparation.html#code-map-and-execution-order,True
audit/hypotheses/H01/H01_analysis_preparation.html#reusable-modules,True
audit/hypotheses/H01/H01_analysis_preparation.html#executable-entry-points,True
audit/hypotheses/H01/H01_analysis_preparation.html#commands,True
audit/hypotheses/H01/H01_analysis_preparation.html#output-provenance-and-file-identities,True
audit/hypotheses/H01/H01_analysis_preparation.html#how-to-examine-or-reproduce-h01,True
audit/hypotheses/H01/H01_analysis_preparation.html#environment,True
notebooks/hypotheses/H02.html,True
notebooks/hypotheses/H02.html#question,True
notebooks/hypotheses/H02.html#what-was-analysed,True
notebooks/hypotheses/H02.html#terms-used-below,True
notebooks/hypotheses/H02.html#model,True
notebooks/hypotheses/H02.html#quantities-used-to-compare-sites-and-people,True
notebooks/hypotheses/H02.html#primary-near-eye-result,True
notebooks/hypotheses/H02.html#daily-profiles,True
notebooks/hypotheses/H02.html#fitted-curve-dispersion,True
notebooks/hypotheses/H02.html#relative-contribution-to-fitted-model-performance,True
notebooks/hypotheses/H02.html#pointwise-site-windows,True
notebooks/hypotheses/H02.html#complementary-chest-result,True
notebooks/hypotheses/H02.html#fitted-curve-dispersion-1,True
notebooks/hypotheses/H02.html#relative-contribution-to-fitted-model-performance-1,True
notebooks/hypotheses/H02.html#daily-profiles-1,True
notebooks/hypotheses/H02.html#direct-comparison-of-near-eye-and-chest-patterns,True
notebooks/hypotheses/H02.html#model-checks,True
notebooks/hypotheses/H02.html#near-eye-model-checks,True
notebooks/hypotheses/H02.html#chest-model-checks,True
notebooks/hypotheses/H02.html#sensitivity-to-other-analytical-choices,True
notebooks/hypotheses/H02.html#interpretation,True
notebooks/hypotheses/H02.html#limitations,True
notebooks/hypotheses/H02.html#detailed-analysis-record,True
notebooks/hypotheses/H02.html#exact-fitted-samples,True
notebooks/hypotheses/H02.html#near-eye,True
notebooks/hypotheses/H02.html#chest,True
notebooks/hypotheses/H02.html#h02-preregistration-deviations,True
notebooks/hypotheses/H02.html#source-data-and-technical-provenance,True
audit/hypotheses/H02/H02_analysis_preparation.html,True
audit/hypotheses/H02/H02_analysis_preparation.html#about-this-analysis-record,True
audit/hypotheses/H02/H02_analysis_preparation.html#analysis-map,True
audit/hypotheses/H02/H02_analysis_preparation.html#render-boundary,True
audit/hypotheses/H02/H02_analysis_preparation.html#data-entering-the-analysis,True
audit/hypotheses/H02/H02_analysis_preparation.html#verifying-the-source-files,True
audit/hypotheses/H02/H02_analysis_preparation.html#what-the-source-data-already-contain,True
audit/hypotheses/H02/H02_analysis_preparation.html#fitted-samples-and-model-frames,True
audit/hypotheses/H02/H02_analysis_preparation.html#code-and-purpose,True
audit/hypotheses/H02/H02_analysis_preparation.html#primary-fitted-samples-by-site,True
audit/hypotheses/H02/H02_analysis_preparation.html#why-the-response-was-transformed,True
audit/hypotheses/H02/H02_analysis_preparation.html#clock-support-and-participant-day-completeness,True
audit/hypotheses/H02/H02_analysis_preparation.html#response-transformation-and-nonlinear-model-construction,True
audit/hypotheses/H02/H02_analysis_preparation.html#exact-selected-formula,True
audit/hypotheses/H02/H02_analysis_preparation.html#model-settings,True
audit/hypotheses/H02/H02_analysis_preparation.html#how-the-selected-model-was-applied,True
audit/hypotheses/H02/H02_analysis_preparation.html#ordering-and-residual-dependence,True
audit/hypotheses/H02/H02_analysis_preparation.html#why-local-time-and-true-time-are-both-needed,True
audit/hypotheses/H02/H02_analysis_preparation.html#what-the-ar-step-contributed,True
audit/hypotheses/H02/H02_analysis_preparation.html#from-fitted-models-to-reported-quantities,True
audit/hypotheses/H02/H02_analysis_preparation.html#site-curves-and-pointwise-intervals,True
audit/hypotheses/H02/H02_analysis_preparation.html#fitted-curve-variation,True
audit/hypotheses/H02/H02_analysis_preparation.html#shapley-allocation-of-fitted-model-relevance,True
audit/hypotheses/H02/H02_analysis_preparation.html#model-checks-and-influence-assessment,True
audit/hypotheses/H02/H02_analysis_preparation.html#sensitivity-analyses-and-limitations,True
audit/hypotheses/H02/H02_analysis_preparation.html#technical-provenance-and-reproduction,True
audit/hypotheses/H02/H02_analysis_preparation.html#code-modules,True
audit/hypotheses/H02/H02_analysis_preparation.html#executable-entry-points,True
audit/hypotheses/H02/H02_analysis_preparation.html#commands,True
audit/hypotheses/H02/H02_analysis_preparation.html#output-manifests-and-file-identities,True
audit/hypotheses/H02/H02_analysis_preparation.html#how-to-examine-or-reproduce-h02,True
audit/hypotheses/H02/H02_analysis_preparation.html#environment,True
notebooks/hypotheses/H03.html,True
notebooks/hypotheses/H03.html#question,True
notebooks/hypotheses/H03.html#what-was-analysed,True
notebooks/hypotheses/H03.html#primary-population-mean-and-category-by-site-interaction-models,True
notebooks/hypotheses/H03.html#principal-results,True
