"path","sha256","bytes","role","observed_from","current_or_preimage_sha256","current_or_preimage_bytes","status"
"audit/hypotheses/H09/H09_analysis_preparation.html","4054dfc668365fdcb0d8cdedcb73900cbd3c471a1443fdcf37dfb4a1c9379d05",593181,"historical source-side companion HTML","live project file","4054dfc668365fdcb0d8cdedcb73900cbd3c471a1443fdcf37dfb4a1c9379d05",593181,"PASS"
"scripts/hypotheses/H09/build_h09_preparation_report_manifest.R","c7a320367e0115aee221a3a6ba5228a9a27ba55f734bd07881455b3159cebf56",9753,"unchanged helper","live project file","c7a320367e0115aee221a3a6ba5228a9a27ba55f734bd07881455b3159cebf56",9753,"PASS"
"tests/hypotheses/H09/test_h09_preparation_report.R","9a243e391de7069179fcd0ccb7cc6813a5e779b1ae1bf7fcb52706349553dfe7",12824,"historical preparation test","live project file","9a243e391de7069179fcd0ccb7cc6813a5e779b1ae1bf7fcb52706349553dfe7",12824,"PASS"
"tests/hypotheses/H09/test_h09_stage3_reader_report.R","a0309e55d305b13be7571e404eb9650154f0ffc494c44b4512c833aa579d2bd1",17786,"historical result test","live project file","a0309e55d305b13be7571e404eb9650154f0ffc494c44b4512c833aa579d2bd1",17786,"PASS"
"artifacts/12_manifests/H09/H09_preparation_report_manifest.csv","8e1d633262b33df64e45f0fc3fd677f4bb1e8a69120cb76a9b152509b94f0aaf",35323,"current preparation manifest","live project file","8e1d633262b33df64e45f0fc3fd677f4bb1e8a69120cb76a9b152509b94f0aaf",35323,"PASS"
"artifacts/12_manifests/H09/H09_stage3_artifacts.csv","0103aad8bf3b2424358fc139b85b95564054745b180a80d1e12c27ff72e1bef2",24678,"Stage 3 manifest","live project file","0103aad8bf3b2424358fc139b85b95564054745b180a80d1e12c27ff72e1bef2",24678,"PASS"
"artifacts/12_manifests/H09/H09_figure_manifest.csv","74c0f444f5670ec86b319f09836e2fb670ebba768f81b0bbdeeaf989159f15ce",4360,"current figure manifest","live project file","74c0f444f5670ec86b319f09836e2fb670ebba768f81b0bbdeeaf989159f15ce",4360,"PASS"
"notebooks/hypotheses/H09.qmd","c738a4365d01497030a260691ceff35fd5c2dab478148fd28676e27981e203c6",36970,"accepted result source","live project file","c738a4365d01497030a260691ceff35fd5c2dab478148fd28676e27981e203c6",36970,"PASS"
"_build/nathealth/notebooks/hypotheses/H09.html","901fd63b45182be70ef77166c418633220a7226d86f52e14d1c79afbfc7cdd16",244127,"accepted result HTML","live project file","901fd63b45182be70ef77166c418633220a7226d86f52e14d1c79afbfc7cdd16",244127,"PASS"
"_quarto-nathealth.yml","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,"accepted profile","live project file","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,"PASS"
"scripts/report_harmonization/post_render_gt_html_semantics.R","28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205",21453,"semantic wrapper","live project file","28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205",21453,"PASS"
"scripts/report_harmonization/repair_gt_html_semantics.R","7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1",17747,"semantic engine","live project file","7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1",17747,"PASS"
"audit/report_harmonization/phase4_corpus_manifest.csv","73f1a371f8352f1baf69d38f1613de1a662112642370b0cc89798b4d6d469334",11937,"historical phase-4 corpus manifest","live project file","73f1a371f8352f1baf69d38f1613de1a662112642370b0cc89798b4d6d469334",11937,"PASS"
"audit/handoffs/H09_worker_handoff.md","f6a596f9c2ac8ad295e13d2283026c5068da57af36914cccb662620da861fcf4",20162,"H09 handoff","live project file","f6a596f9c2ac8ad295e13d2283026c5068da57af36914cccb662620da861fcf4",20162,"PASS"
"renv.lock","3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350",603493,"environment lock","live project file","3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350",603493,"PASS"
"artifacts/06_model_data/scenarios/manuscript_prepared_data/participant_day_metrics.rds","7561b5dd47cb5e23ca94ba59bd57648f11fe492f86af53a566c5c9cf42d932f1",88248,"current gap artifact","live project file","7561b5dd47cb5e23ca94ba59bd57648f11fe492f86af53a566c5c9cf42d932f1",88248,"PASS"
"artifacts/12_manifests/manuscript_prepared_data_artifacts.csv","4ed62fbe58de65a6d05d8cfc6b5d870d7c74a3c83fe89bcd72bd1dd838698935",4497,"current gap manifest","live project file","4ed62fbe58de65a6d05d8cfc6b5d870d7c74a3c83fe89bcd72bd1dd838698935",4497,"PASS"
"config/metric_display_registry.csv","c82db05a77cc50ce5b9dbd459c90997fa6bb7d87c0b8e880c1bf8186fad06ed0",3203,"current metric display registry","live project file","c82db05a77cc50ce5b9dbd459c90997fa6bb7d87c0b8e880c1bf8186fad06ed0",3203,"PASS"
"artifacts/06_model_data/H09/H09_METRIC-011_excluded_shared_drift.csv","91d9781466273385338432c7d86c68f35ae65ba828e547659d0cf69720b5b5b9",1266,"historical excluded transition record","live project file","91d9781466273385338432c7d86c68f35ae65ba828e547659d0cf69720b5b5b9",1266,"PASS"
"artifacts/06_model_data/H09/H09_model_frames.rds","19389e7f2f24b662d041f96bd62cf18deccae0f038328f6358a50b18fc6480d5",167812,"stored H09 frames","live project file","19389e7f2f24b662d041f96bd62cf18deccae0f038328f6358a50b18fc6480d5",167812,"PASS"
"artifacts/06_model_data/H09/H09_model_frame_index.csv","5a0fb42c30fa03d7f86c598d74455d7fca3bd8c3d4af957ae014f870e029fadb",39838,"stored H09 frame index","live project file","5a0fb42c30fa03d7f86c598d74455d7fca3bd8c3d4af957ae014f870e029fadb",39838,"PASS"
"artifacts/12_manifests/H09/H09_METRIC-011_scientific_identity.csv","9f49733db1a678fbd990fb88494901da15851c127aab6bbc2405eb5808e35b9d",16669,"historical scientific inventory","live project file","9f49733db1a678fbd990fb88494901da15851c127aab6bbc2405eb5808e35b9d",16669,"PASS"
"audit/decisions/mder_mean_of_viable_ratios.md","1664347de976057807fcb5ac6e24bd4b66af1fe32378fabd1f2acafcfc9266de",9617,"MDER scope decision","live project file","1664347de976057807fcb5ac6e24bd4b66af1fe32378fabd1f2acafcfc9266de",9617,"PASS"
"audit/reconciliation/mder_METRIC-010_gap_repair/gap_repair_evidence_manifest.csv","81e3aa9439b88cf239d6669dc4343cfb146cd2f45790bae412ab837156315018",1913,"MDER repair evidence","live project file","81e3aa9439b88cf239d6669dc4343cfb146cd2f45790bae412ab837156315018",1913,"PASS"
"audit/report_harmonization/report018_h09_order56b_result_independent_acceptance.md","4748b3b18e6ca0589e00e629490cca97aa72507589be6165e1893640d08b5288",4049,"accepted result prerequisite","live project file","4748b3b18e6ca0589e00e629490cca97aa72507589be6165e1893640d08b5288",4049,"PASS"
"audit/report_harmonization/report018_h09_order56b_result_independent_acceptance_manifest.csv","cf3e85d447a6e4523e647a29e6989d678d29bed6af7c18f11523db0208175df3",5458,"result acceptance seal","live project file","cf3e85d447a6e4523e647a29e6989d678d29bed6af7c18f11523db0208175df3",5458,"PASS"
