"path","sha256","bytes","role","observed_from","observed_sha256","observed_bytes","status"
"audit/report_harmonization/report018_h09_order56b_result_independent_acceptance_manifest.csv","cf3e85d447a6e4523e647a29e6989d678d29bed6af7c18f11523db0208175df3",5458,"result acceptance seal","live project file","cf3e85d447a6e4523e647a29e6989d678d29bed6af7c18f11523db0208175df3",5458,"PASS"
"artifacts/06_model_data/scenarios/manuscript_prepared_data/participant_day_metrics.rds","7561b5dd47cb5e23ca94ba59bd57648f11fe492f86af53a566c5c9cf42d932f1",88248,"current gap artifact","live project file","7561b5dd47cb5e23ca94ba59bd57648f11fe492f86af53a566c5c9cf42d932f1",88248,"PASS"
"artifacts/12_manifests/manuscript_prepared_data_artifacts.csv","4ed62fbe58de65a6d05d8cfc6b5d870d7c74a3c83fe89bcd72bd1dd838698935",4497,"current gap manifest","live project file","4ed62fbe58de65a6d05d8cfc6b5d870d7c74a3c83fe89bcd72bd1dd838698935",4497,"PASS"
"config/metric_display_registry.csv","c82db05a77cc50ce5b9dbd459c90997fa6bb7d87c0b8e880c1bf8186fad06ed0",3203,"current metric display registry","live project file","c82db05a77cc50ce5b9dbd459c90997fa6bb7d87c0b8e880c1bf8186fad06ed0",3203,"PASS"
"audit/reconciliation/mder_METRIC-010_gap_repair/gap_repair_evidence_manifest.csv","81e3aa9439b88cf239d6669dc4343cfb146cd2f45790bae412ab837156315018",1913,"MDER repair evidence","live project file","81e3aa9439b88cf239d6669dc4343cfb146cd2f45790bae412ab837156315018",1913,"PASS"
"artifacts/06_model_data/H09/H09_METRIC-011_excluded_shared_drift.csv","91d9781466273385338432c7d86c68f35ae65ba828e547659d0cf69720b5b5b9",1266,"historical excluded transition record","live project file","91d9781466273385338432c7d86c68f35ae65ba828e547659d0cf69720b5b5b9",1266,"PASS"
"artifacts/06_model_data/H09/H09_model_frames.rds","19389e7f2f24b662d041f96bd62cf18deccae0f038328f6358a50b18fc6480d5",167812,"stored H09 model frames","live project file","19389e7f2f24b662d041f96bd62cf18deccae0f038328f6358a50b18fc6480d5",167812,"PASS"
"artifacts/06_model_data/H09/H09_model_frame_index.csv","5a0fb42c30fa03d7f86c598d74455d7fca3bd8c3d4af957ae014f870e029fadb",39838,"stored H09 frame index","live project file","5a0fb42c30fa03d7f86c598d74455d7fca3bd8c3d4af957ae014f870e029fadb",39838,"PASS"
"artifacts/12_manifests/H09/H09_METRIC-011_scientific_identity.csv","9f49733db1a678fbd990fb88494901da15851c127aab6bbc2405eb5808e35b9d",16669,"historical scientific inventory","live project file","9f49733db1a678fbd990fb88494901da15851c127aab6bbc2405eb5808e35b9d",16669,"PASS"
"audit/decisions/mder_mean_of_viable_ratios.md","1664347de976057807fcb5ac6e24bd4b66af1fe32378fabd1f2acafcfc9266de",9617,"MDER scope decision","live project file","1664347de976057807fcb5ac6e24bd4b66af1fe32378fabd1f2acafcfc9266de",9617,"PASS"
"scripts/hypotheses/H09/h09_contract.R","458dc3c08f0cd74acecc790d30226d930839b3f8f252a3018085e35611de3cd1",16374,"contract preimage","external byte-identical preimage","458dc3c08f0cd74acecc790d30226d930839b3f8f252a3018085e35611de3cd1",16374,"PASS"
"artifacts/06_model_data/H09/H09_input_audit.csv","be258bf523eadc318cf8926298e83275f64b38f5c5c4d1cc499f7841c0c2cafb",4253,"input audit preimage","external byte-identical preimage","be258bf523eadc318cf8926298e83275f64b38f5c5c4d1cc499f7841c0c2cafb",4253,"PASS"
"audit/hypotheses/H09/H09_analysis_preparation.qmd","7563a933289b1c4a2275eead58ae8cfaa6492fb0a27b7202f4a9be516eb88a46",47901,"companion source preimage","external byte-identical preimage","7563a933289b1c4a2275eead58ae8cfaa6492fb0a27b7202f4a9be516eb88a46",47901,"PASS"
"notebooks/hypotheses/H09.qmd","c738a4365d01497030a260691ceff35fd5c2dab478148fd28676e27981e203c6",36970,"accepted result source","live project file","c738a4365d01497030a260691ceff35fd5c2dab478148fd28676e27981e203c6",36970,"PASS"
"_build/nathealth/notebooks/hypotheses/H09.html","901fd63b45182be70ef77166c418633220a7226d86f52e14d1c79afbfc7cdd16",244127,"accepted result HTML","live project file","901fd63b45182be70ef77166c418633220a7226d86f52e14d1c79afbfc7cdd16",244127,"PASS"
"_quarto-nathealth.yml","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,"accepted profile","live project file","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,"PASS"
"renv.lock","3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350",603493,"environment lock","live project file","3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350",603493,"PASS"
