description,asset,sha256,source_ratio,old_width_in,old_height_in,new_width_in,new_height_in,page_orientation,text_width_in,final_page,page_width_pt,page_height_pt,actual_member,source_width,source_height,source_units,actual_width_in,actual_height_in,outer_inner_extents_exact,aspect_ratio_preserved,source_payload_exact,accessible_title
"Supplementary Table S2, part 1 of 3",word/media/image9.png,bdbaab25c36f9b1ed47af19164a828b21eb9154034a5864fc3bb59b841b9a93b,2.3352083206737473,15.55,6.658934820647419,10.793055555555556,4.6218812514515095,landscape,10.793055555555556,58,841.889763779528,595.303937007874,word/media/image9.png,2076,889,PNG pixels,10.793055555555556,4.621881014873141,True,True,True,"Supplementary Table S2, part 1 of 3"
"Supplementary Table S2, part 2 of 3",word/media/image10.png,641b5b0f929f9027d38f930a2c74345d932745345ec9404cd94b8466522990ad,2.81916367975199,15.55,5.515820209973754,10.793055555555556,3.8284600617815325,landscape,10.793055555555556,59,841.889763779528,595.303937007874,word/media/image10.png,2089,741,PNG pixels,10.793055555555556,3.8284601924759407,True,True,True,"Supplementary Table S2, part 2 of 3"
"Supplementary Table S2, part 3 of 3",word/media/image11.png,a8f3595f69ebe281c59e870629fdbde8e2cb71423af7178bef4d191a0d80a579,2.7816247017644904,15.55,5.590258092738408,10.793055555555556,3.8801264414675027,landscape,10.793055555555556,60,841.889763779528,595.303937007874,word/media/image11.png,2089,751,PNG pixels,10.793055555555556,3.880126859142607,True,True,True,"Supplementary Table S2, part 3 of 3"
"Supplementary Table S3, part 1 of 1",word/media/image12.png,bdfd17e6097a9925a883e2b385a6f319346df864db4c516370d5f6d07733a8fb,1.3748459395889365,10.55,7.673587051618548,7.368055555555555,5.359186322911585,portrait,7.368055555555555,61,595.303937007874,841.889763779528,word/media/image12.png,1115,811,PNG pixels,7.368055555555555,5.359186351706037,True,True,True,"Supplementary Table S3, part 1 of 1"
Supplementary Figure S1,word/media/nh_supplementary_figure_s1.svg,63c21b0d084b76e63e50d24f097ab3a881c7056ca4d73c7def5f7a064d1daf05,1.0,5.75,5.75,6.25,6.25,portrait,6.268055555555556,62,595.303937007874,841.889763779528,word/media/nh_supplementary_figure_s1.svg,481.89,481.89,SVG viewBox units,6.25,6.25,True,True,True,Supplementary Figure S1
Supplementary Figure S2,word/media/nh_supplementary_figure_s2.svg,61de5a9df7dda373d27935a9905bde99c2857c52787dafaedbb11a240efa7bbe,1.1111136730458842,6.25,5.62498687664042,6.25,5.624987030235117,portrait,6.268055555555556,63,595.303937007874,841.889763779528,word/media/nh_supplementary_figure_s2.svg,481.89,433.7,SVG viewBox units,6.25,5.62498687664042,True,True,True,Supplementary Figure S2
Supplementary Figure S3,word/media/nh_supplementary_figure_s3.svg,58b7263ac915e910c268d840f00cb1a036fcc7036ed7b1ef0a201bb4202117fa,1.0,4.4,4.4,4.4,4.4,portrait,6.268055555555556,64,595.303937007874,841.889763779528,word/media/nh_supplementary_figure_s3.svg,481.89,481.89,SVG viewBox units,4.4,4.4,True,True,True,Supplementary Figure S3
Supplementary Figure S4,word/media/nh_supplementary_figure_s4.svg,11b008bda0e8cfce327a943e23107ec26d31bc7c434184f6636aec4d48861353,1.700028222676921,6.25,3.676408573928259,6.25,3.676409554047604,portrait,6.268055555555556,65,595.303937007874,841.889763779528,word/media/nh_supplementary_figure_s4.svg,481.89,283.46,SVG viewBox units,6.25,3.676409667541557,True,True,True,Supplementary Figure S4
Supplementary Figure S5A,word/media/nh_supplementary_figure_s5a.svg,ecca6b95391659817dee792c9abd35acf3a7a93aaf184203ad0c284258708b86,0.739129101032256,5.986945538057743,8.1,5.986945718361274,8.1,portrait,6.268055555555556,66,595.303937007874,841.889763779528,word/media/nh_supplementary_figure_s5a.svg,481.89,651.97,SVG viewBox units,5.986945538057743,8.1,True,True,True,Supplementary Figure S5A
Supplementary Figure S5B,word/media/nh_supplementary_figure_s5b.svg,62414031116e794769d6f59ba4e5ac73fd2d44d698b54ff9ef1f0c3344c5c8b5,0.739129101032256,5.986945538057743,8.1,5.986945718361274,8.1,portrait,6.268055555555556,67,595.303937007874,841.889763779528,word/media/nh_supplementary_figure_s5b.svg,481.89,651.97,SVG viewBox units,5.986945538057743,8.1,True,True,True,Supplementary Figure S5B
Supplementary Figure S6,word/media/nh_supplementary_figure_s6.svg,200e85cb494e28865cafe677c860ec8a6e4eb426c86c78b37819a4bd19e08653,1.559322033898305,6.25,4.008151793525809,6.25,4.008152173913044,portrait,6.268055555555556,70,595.303937007874,841.889763779528,word/media/nh_supplementary_figure_s6.svg,662.4,424.8,SVG viewBox units,6.25,4.008151793525809,True,True,True,Supplementary Figure S6
"Supplementary Table S5, part 1 of 1",word/media/image15.png,da4420467049b14411cbf564300b6aff329816a75d489045a0abfb4c999083c6,2.277777869600091,10.55,4.631707130358705,10.55,4.631707130358705,landscape,10.793055555555556,71,841.889763779528,595.303937007874,word/media/image15.png,1804,792,PNG pixels,10.55,4.631707130358705,True,True,True,"Supplementary Table S5, part 1 of 1"
"Supplementary Table S6, part 1 of 1",word/media/image16.png,4aa092ae5b952c3508e049e4452e59ec68f34d94e68ae6c95b7ab9eb9688f5a4,2.277777869600091,10.55,4.631707130358705,10.55,4.631707130358705,landscape,10.793055555555556,72,841.889763779528,595.303937007874,word/media/image16.png,1804,792,PNG pixels,10.55,4.631707130358705,True,True,True,"Supplementary Table S6, part 1 of 1"
Supplementary Figure S7A,word/media/nh_supplementary_figure_s7a.svg,4ddf972fc4c8082594d13a3b446537ae8a525ca35077e0605967f9c4c0ce519e,1.418918918918919,6.25,4.404761592300963,6.25,4.404761904761904,portrait,6.268055555555556,73,595.303937007874,841.889763779528,word/media/nh_supplementary_figure_s7a.svg,756.0,532.8,SVG viewBox units,6.25,4.404761592300963,True,True,True,Supplementary Figure S7A
Supplementary Figure S7B,word/media/nh_supplementary_figure_s7b.svg,f12465fd629c44bbcc7f09a13fccd88b41eda9b80d1cba1310bbdab4ce52ba57,0.5,6.85,13.7,4.2,8.4,portrait,7.368055555555555,74,595.303937007874,841.889763779528,word/media/nh_supplementary_figure_s7b.svg,648.0,1296.0,SVG viewBox units,4.2,8.4,True,True,True,Supplementary Figure S7B
"Supplementary Table S8, part 1 of 1",word/media/image22.png,08ad149d4a8538efec7173f73b1f0f2dc0ceb2e8b4fcb368f910d971f7c559e8,1.4950000689624285,10.55,7.056855861767279,7.368055555555555,4.928465027208453,portrait,7.368055555555555,77,595.303937007874,841.889763779528,word/media/image22.png,1794,1200,PNG pixels,7.368055555555555,4.928464566929134,True,True,True,"Supplementary Table S8, part 1 of 1"
Supplementary Figure S8,word/media/nh_supplementary_figure_s8.svg,a510c6bc356bba1ed748d4f0f4a308669b218af36af0b06e0fc18f82014674b3,0.6406779661016949,10.55,6.966334208223972,4.164406779661017,6.5,portrait,7.368055555555555,78,595.303937007874,841.889763779528,word/media/nh_supplementary_figure_s8.svg,1134.0,1770.0,SVG viewBox units,4.164407261592301,6.5,True,True,True,Supplementary Figure S8
Supplementary Figure S9,word/media/nh_supplementary_figure_s9.svg,e9d44034ace69fc82f67079fdabb266827cc06e053f948bd47e90d6ce1a47e14,1.416656867356538,6.25,4.411794619422572,6.25,4.411795222976198,portrait,6.268055555555556,79,595.303937007874,841.889763779528,word/media/nh_supplementary_figure_s9.svg,481.89,340.16,SVG viewBox units,6.25,4.411795713035871,True,True,True,Supplementary Figure S9
Supplementary Figure S10,word/media/nh_supplementary_figure_s10.svg,3005cbcd8c8b7a40339542fbe776853567d0ff56ae4d98fa6d2ebee6118110d3,0.8292720702116675,4.43660542432196,5.35,6.219540526587506,7.5,portrait,6.268055555555556,80,595.303937007874,841.889763779528,word/media/nh_supplementary_figure_s10.svg,481.89,581.1,SVG viewBox units,6.219540682414698,7.5,True,True,True,Supplementary Figure S10
Supplementary Figure S11,word/media/nh_supplementary_figure_s11.svg,07b54b298f8c159432f08fc81b0ca2025915c1eb2128d6b02783f14987c58fb0,0.8292720702116675,4.43660542432196,5.35,6.219540526587506,7.5,portrait,6.268055555555556,81,595.303937007874,841.889763779528,word/media/nh_supplementary_figure_s11.svg,481.89,581.1,SVG viewBox units,6.219540682414698,7.5,True,True,True,Supplementary Figure S11
Supplementary Figure S12,word/media/nh_supplementary_figure_s12.svg,2b955196ce35eae1c973201a00523e538a6535ac59c8abe240160611a74c8b83,1.2592505487613672,6.25,4.9632688101487314,6.25,4.9632696258482225,portrait,6.268055555555556,82,595.303937007874,841.889763779528,word/media/nh_supplementary_figure_s12.svg,481.89,382.68,SVG viewBox units,6.25,4.96326990376203,True,True,True,Supplementary Figure S12
"Supplementary Table S9, part 1 of 1",word/media/image23.png,aa5bb0381f9f8880757a46cfe210aa00b3723d3ccb587aa59dc475a75984c8f6,4.955802220394526,10.55,2.128817804024497,10.55,2.128817804024497,landscape,10.793055555555556,83,841.889763779528,595.303937007874,word/media/image23.png,1794,362,PNG pixels,10.55,2.128817804024497,True,True,True,"Supplementary Table S9, part 1 of 1"
"Supplementary Table S10, part 1 of 2",word/media/image24.png,c578a78077103fa0756fe2aefbc19c1dbb44fd694f76a395ca4849a802ecd1f5,1.833671482874123,10.55,5.753484251968504,10.55,5.753484251968504,landscape,10.793055555555556,84,841.889763779528,595.303937007874,word/media/image24.png,1808,986,PNG pixels,10.55,5.753484251968504,True,True,True,"Supplementary Table S10, part 1 of 2"
"Supplementary Table S10, part 2 of 2",word/media/image25.png,c070b82780bdfbc9b26d090b8f232fe5acfb3afc72d027bdc97174ff529d4629,1.7865612882460071,10.55,5.905199037620298,8.932806441230035,5.0,landscape,10.793055555555556,85,841.889763779528,595.303937007874,word/media/image25.png,1808,1012,PNG pixels,8.932806211723534,5.0,True,True,True,"Supplementary Table S10, part 2 of 2"
Supplementary Figure S13,word/media/nh_supplementary_figure_s13.svg,e9d7d60100403aea3ac25282f9be33f981b182a09e74479cd160bdc296ae63b3,1.0,5.25,5.25,6.25,6.25,portrait,6.268055555555556,86,595.303937007874,841.889763779528,word/media/nh_supplementary_figure_s13.svg,648.0,648.0,SVG viewBox units,6.25,6.25,True,True,True,Supplementary Figure S13
"Supplementary Table S11, part 1 of 1",word/media/image26.png,085266979acbcf2081a0bc95d98050d7071b95def61ac7bb6f060cf20a935708,1.603942652329749,9.944444444444445,6.2,9.302867383512545,5.8,landscape,10.793055555555556,87,841.889763779528,595.303937007874,word/media/image26.png,1790,1116,PNG pixels,9.302867454068242,5.8,True,True,True,"Supplementary Table S11, part 1 of 1"
"Supplementary Table S11, part 1 of 1",word/media/image27.png,18ea22e03f53a7ac6da7ce68144f544abf86e260ef0acfcd9f321c64b39a12e6,1.9247315389241129,10.55,5.481283902012248,10.55,5.481283902012248,landscape,10.793055555555556,88,841.889763779528,595.303937007874,word/media/image27.png,1790,930,PNG pixels,10.55,5.481283902012248,True,True,True,"Supplementary Table S11, part 1 of 1"
Supplementary Figure S14,word/media/nh_supplementary_figure_s14.svg,f0f77bbd896739941d8ae63bb24ed889528a410a963c2123b07ca3a825f7ddee,1.2500064849160852,6.25,4.99997375328084,6.25,4.999974060470231,portrait,6.268055555555556,89,595.303937007874,841.889763779528,word/media/nh_supplementary_figure_s14.svg,481.89,385.51,SVG viewBox units,6.25,4.99997375328084,True,True,True,Supplementary Figure S14
"Supplementary Table S12, part 1 of 1",word/media/image29.png,4be6ed86410ab60a7c4ee030dc899d4c932eaaccd738f8fbb29f8822f343248f,1.853305797031843,10.55,5.692530621172353,10.55,5.692530621172353,landscape,10.793055555555556,90,841.889763779528,595.303937007874,word/media/image29.png,1794,968,PNG pixels,10.55,5.692530621172353,True,True,True,"Supplementary Table S12, part 1 of 1"
Supplementary Figure S15,word/media/nh_supplementary_figure_s15a.svg,a3f9bdb969c075d33adf9a0e6e751a1f967d5111856fcd0db07cbc36575a745a,1.6153846153846154,6.25,3.869047462817148,6.25,3.869047619047619,portrait,6.268055555555556,91,595.303937007874,841.889763779528,word/media/nh_supplementary_figure_s15a.svg,1134.0,702.0,SVG viewBox units,6.25,3.869047462817148,True,True,True,Supplementary Figure S15
Supplementary Figure S16,word/media/nh_supplementary_figure_s15b.svg,0a3d0cabcd6cdb67db072cfa566448a885a774db519bea442a973896a7d616e8,1.2352941176470589,6.25,5.059523184601924,6.25,5.059523809523809,portrait,6.268055555555556,92,595.303937007874,841.889763779528,word/media/nh_supplementary_figure_s15b.svg,1134.0,918.0,SVG viewBox units,6.25,5.059524278215223,True,True,True,Supplementary Figure S16
"Supplementary Table S13, part 1 of 1",word/media/image30.png,1cbbf6ecead455b33f0394abc28804d17bf5ae8063cac617b3f487cfb5da42e8,1.8765690889334223,10.55,5.621961942257218,10.55,5.621961942257218,landscape,10.793055555555556,93,841.889763779528,595.303937007874,word/media/image30.png,1794,956,PNG pixels,10.55,5.621961942257218,True,True,True,"Supplementary Table S13, part 1 of 1"
Supplementary Figure S17,word/media/nh_supplementary_figure_s16.svg,1340491390703f642e30b0284bd4e0416a704015bc717dd2a6e56a8073901799,0.7230769230769231,9.255383858267717,12.8,5.567692307692307,7.7,portrait,7.368055555555555,94,595.303937007874,841.889763779528,word/media/nh_supplementary_figure_s16.svg,676.8,936.0,SVG viewBox units,5.5676924759405075,7.7,True,True,True,Supplementary Figure S17
"Supplementary Table S14, part 1 of 1",word/media/image31.png,5a01c243e5bb113aa296a56c7f87a21df6567cbd10166bf2d9e3208e89e4f4ce,1.672253090339514,10.367969160104987,6.2,9.699067923969181,5.8,landscape,10.793055555555556,95,841.889763779528,595.303937007874,word/media/image31.png,1796,1074,PNG pixels,9.699068241469817,5.8,True,True,True,"Supplementary Table S14, part 1 of 1"
Supplementary Figure S18,word/media/nh_supplementary_figure_s17.svg,ee82f8f1ef3f360a584a92712ea1e9e1e48341617d5d0e332743c72c956cdbfe,0.9545454545454546,4.629545056867891,4.849998906386702,6.25,6.5476190476190474,portrait,6.268055555555556,96,595.303937007874,841.889763779528,word/media/nh_supplementary_figure_s17.svg,756.0,792.0,SVG viewBox units,6.25,6.547619203849519,True,True,True,Supplementary Figure S18
"Supplementary Table S15, part 1 of 1",word/media/image32.png,f69bfc0cd6f58e0e34adc2f2c41fb82ec92f9af79635436b9c34e45b1f8ce78c,3.8750011548378467,10.55,2.7225798337707787,10.55,2.7225798337707787,landscape,10.793055555555556,97,841.889763779528,595.303937007874,word/media/image32.png,1798,464,PNG pixels,10.55,2.7225798337707787,True,True,True,"Supplementary Table S15, part 1 of 1"
