analysis_state,site,sample_id,family,state_display,site_display,contrast,estimate,standard_error,conf_low,conf_high,statistic,p_value,p_adjusted_zero,p_adjusted_average,fdr_significant,state_order,site_order,reference,Window,point,lower,upper,Site,reference_pp,Mark
"Pre-sleep","THUAS","primary_any_valid","BA-M4","Pre-sleep","Delft (NL)","Free day minus Work day",0.080387776213724,0.0762907995012605,-0.069139443160513,0.229914995587961,1.05370210745263,0.292019323779801,0.414974828529191,0.895807647438067,FALSE,2,2,0.059179818185073,"Pre-sleep",8.0387776213724,-6.9139443160513,22.9914995587961,"Delft (NL)",5.9179818185073,"FDR threshold not met"
"Pre-sleep","BAUA","primary_any_valid","BA-M4","Pre-sleep","Dortmund (DE)","Free day minus Work day",0.0842743493917095,0.0619182271062672,-0.0370831457231459,0.205631844506565,1.36105882435997,0.17349510056281,0.334597693942562,0.824421008792394,FALSE,2,3,0.059179818185073,"Pre-sleep",8.42743493917095,-3.70831457231459,20.5631844506565,"Dortmund (DE)",5.9179818185073,"FDR threshold not met"
"Pre-sleep","MPI","primary_any_valid","BA-M4","Pre-sleep","Tübingen (DE)","Free day minus Work day",0.00722211152472663,0.0469403379581567,-0.084779260295399,0.0992234833448522,0.153857254525191,0.877722288648274,0.911480838211669,0.690616683994313,FALSE,2,4,0.059179818185073,"Pre-sleep",0.722211152472663,-8.4779260295399,9.92234833448522,"Tübingen (DE)",5.9179818185073,"FDR threshold not met"
"Pre-sleep","TUM","primary_any_valid","BA-M4","Pre-sleep","Munich (DE)","Free day minus Work day",0.0136836400628061,0.0791111716400877,-0.141371407126532,0.168738687252144,0.172967228004903,0.862677187581969,0.911480838211669,0.690616683994313,FALSE,2,5,0.059179818185073,"Pre-sleep",1.36836400628061,-14.1371407126532,16.8738687252144,"Munich (DE)",5.9179818185073,"FDR threshold not met"
"Pre-sleep","FUSPCEU","primary_any_valid","BA-M4","Pre-sleep","Madrid (ES)","Free day minus Work day",0.0713396630121444,0.0586315605648786,-0.0435760840523965,0.186255410076685,1.21674508276483,0.223701220437753,0.377495809488709,0.895807647438067,FALSE,2,6,0.059179818185073,"Pre-sleep",7.13396630121444,-4.35760840523965,18.6255410076685,"Madrid (ES)",5.9179818185073,"FDR threshold not met"
"Pre-sleep","IZTECH","primary_any_valid","BA-M4","Pre-sleep","Izmir (TR)","Free day minus Work day",0.0193519881363754,0.063600433321067,-0.105302570574057,0.144006546846808,0.30427446993455,0.760918793658445,0.898538083499841,0.690616683994313,FALSE,2,7,0.059179818185073,"Pre-sleep",1.93519881363754,-10.5302570574057,14.4006546846808,"Izmir (TR)",5.9179818185073,"FDR threshold not met"
"Pre-sleep","UCR","primary_any_valid","BA-M4","Pre-sleep","San José (CR)","Free day minus Work day",0.156679239008466,0.10224100173605,-0.0437094421374898,0.357067920154422,1.53245015549589,0.125411388716133,0.260469807333507,0.690616683994313,FALSE,2,8,0.059179818185073,"Pre-sleep",15.6679239008466,-4.37094421374898,35.7067920154422,"San José (CR)",5.9179818185073,"FDR threshold not met"
"Pre-sleep","KNUST","primary_any_valid","BA-M4","Pre-sleep","Kumasi (GH)","Free day minus Work day",0.105185822480122,0.06122012626091,-0.0148034201202564,0.2251750650805,1.71815755543916,0.08576788105721,0.192977732378723,0.690616683994313,FALSE,2,9,0.059179818185073,"Pre-sleep",10.5185822480122,-1.48034201202564,22.51750650805,"Kumasi (GH)",5.9179818185073,"FDR threshold not met"
"Sleep environment","RISE","primary_any_valid","BA-M4","Sleep","Borås (SE)","Free day minus Work day",-0.0968446910422361,0.0486318622813385,-0.192161389614772,-0.00152799246970077,-1.99138356006158,0.0464387352313697,0.125384585124698,0.690616683994313,FALSE,3,1,-0.0649096220449399,"Sleep",-9.68446910422361,-19.2161389614772,-0.152799246970077,"Borås (SE)",-6.49096220449399,"FDR threshold not met"
"Sleep environment","THUAS","primary_any_valid","BA-M4","Sleep","Delft (NL)","Free day minus Work day",-0.0886330149610092,0.0366092238532687,-0.16038577521538,-0.0168802547066379,-2.42105692587895,0.0154754536443357,0.0696395413995108,0.690616683994313,FALSE,3,2,-0.0649096220449399,"Sleep",-8.86330149610092,-16.038577521538,-1.68802547066379,"Delft (NL)",-6.49096220449399,"FDR threshold not met"
"Sleep environment","BAUA","primary_any_valid","BA-M4","Sleep","Dortmund (DE)","Free day minus Work day",-0.0408982391267082,0.0323128231282081,-0.104230208696809,0.0224337304433926,-1.26569687100491,0.205621629004739,0.37011893220853,0.690616683994313,FALSE,3,3,-0.0649096220449399,"Sleep",-4.08982391267082,-10.4230208696809,2.24337304433926,"Dortmund (DE)",-6.49096220449399,"FDR threshold not met"
"Sleep environment","MPI","primary_any_valid","BA-M4","Sleep","Tübingen (DE)","Free day minus Work day",-0.0703634819536875,0.0237086433968921,-0.116831569133899,-0.0238953947734755,-2.96784091673972,0.00299899502054698,0.0269909551849228,0.895807647438067,FALSE,3,4,-0.0649096220449399,"Sleep",-7.03634819536875,-11.6831569133899,-2.38953947734755,"Tübingen (DE)",-6.49096220449399,"Different from zero"
"Sleep environment","TUM","primary_any_valid","BA-M4","Sleep","Munich (DE)","Free day minus Work day",-0.0984311725051145,0.0570711947643034,-0.21028865879782,0.0134263137875911,-1.72470846127582,0.0845800254241047,0.192977732378723,0.690616683994313,FALSE,3,5,-0.0649096220449399,"Sleep",-9.84311725051145,-21.028865879782,1.34263137875911,"Munich (DE)",-6.49096220449399,"FDR threshold not met"
"Sleep environment","FUSPCEU","primary_any_valid","BA-M4","Sleep","Madrid (ES)","Free day minus Work day",-0.0308856487962941,0.013232763079,-0.0568213878470855,-0.0049499097455027,-2.33402869921465,0.0195942192149166,0.0755777026861069,0.284974345227772,FALSE,3,6,-0.0649096220449399,"Sleep",-3.08856487962941,-5.68213878470855,-0.49499097455027,"Madrid (ES)",-6.49096220449399,"FDR threshold not met"
"Sleep environment","IZTECH","primary_any_valid","BA-M4","Sleep","Izmir (TR)","Free day minus Work day",-0.0881877035431524,0.0389611844490978,-0.164550221858406,-0.0118251852278987,-2.26347593868375,0.0236063662145984,0.0796714859742697,0.690616683994313,FALSE,3,7,-0.0649096220449399,"Sleep",-8.81877035431524,-16.4550221858406,-1.18251852278987,"Izmir (TR)",-6.49096220449399,"FDR threshold not met"
"Sleep environment","UCR","primary_any_valid","BA-M4","Sleep","San José (CR)","Free day minus Work day",-0.0681201925602842,0.0641368878007227,-0.193826182730187,0.0575857976096185,-1.06210629945029,0.288187430634428,0.414974828529191,0.986209715178377,FALSE,3,8,-0.0649096220449399,"Sleep",-6.81201925602842,-19.3826182730187,5.75857976096185,"San José (CR)",-6.49096220449399,"FDR threshold not met"
"Sleep environment","KNUST","primary_any_valid","BA-M4","Sleep","Kumasi (GH)","Free day minus Work day",-0.00182245391597258,0.00764548993484033,-0.0168073388324231,0.0131624310004779,-0.238369801216753,0.811594287571764,0.911480838211669,0.000342114533189325,TRUE,3,9,-0.0649096220449399,"Sleep",-0.182245391597258,-1.68073388324231,1.31624310004779,"Kumasi (GH)",-6.49096220449399,"FDR threshold not met"
