frame_id,run_order,run_id,data_scenario_id,reader_scenario,placement,placement_label,sample_scenario,analytical_role,metric_id,instrument_id,availability,row_key_hash,participants,participant_days,observations,sites,derivation_hours,min_days_per_participant,median_days_per_participant,max_days_per_participant
primary__chest__all_available__m10_midpoint__MCTQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,m10_midpoint,MCTQ,ESTIMABLE,7c71e2e3a958ce98e767038ec07d8cd2044de75ee11c46fbf063e8a112b33e2a,153,896,896,8,20752.433333333334,2,6,8
primary__chest__all_available__m10_midpoint__MEQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,m10_midpoint,MEQ,ESTIMABLE,a53255e778373e68d08ff71302616cadee864974760dd069ccfe88d52361e099,154,902,902,8,20891.75,2,6,8
primary__chest__all_available__mean_timing_above_250__MCTQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,mean_timing_above_250,MCTQ,ESTIMABLE,00077b75ea786147cf82f8c5d8d5bb8903460ae2561fbdf56ed89c566abb8a4c,153,825,825,8,19196.816666666666,2,6,7
primary__chest__all_available__mean_timing_above_250__MEQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,mean_timing_above_250,MEQ,ESTIMABLE,61a7b57f8de7dd440eb961dc8333da2f02c0e811f8cf6532e10f0d1d7175fb90,154,831,831,8,19336.133333333335,2,6,7
primary__glasses__paired_common__first_timing_above_250__MCTQ,3,primary__glasses__paired_common,primary,Primary dataset,glasses,Near eye,paired_common,paired_placement_sensitivity,first_timing_above_250,MCTQ,ESTIMABLE,4d7f5884323df82a23446d8a2c2445f2a022e69aa1b5542b16e0baf0d45aa537,111,558,558,8,12943.483333333334,1,5,7
primary__glasses__paired_common__first_timing_above_250__MEQ,3,primary__glasses__paired_common,primary,Primary dataset,glasses,Near eye,paired_common,paired_placement_sensitivity,first_timing_above_250,MEQ,ESTIMABLE,345c252f0c9601f8b26fc09d3317cb330481d6203fbabab6ed04551cc66ef3f7,112,563,563,8,13059.716666666667,1,5,7
primary__glasses__paired_common__l10_midpoint__MCTQ,3,primary__glasses__paired_common,primary,Primary dataset,glasses,Near eye,paired_common,paired_placement_sensitivity,l10_midpoint,MCTQ,ESTIMABLE,f4eb99bba1f6bbea64cd929474b079b966341939a601088025f4550048eb1e9b,111,637,637,8,14734.8,3,6,8
primary__glasses__paired_common__l10_midpoint__MEQ,3,primary__glasses__paired_common,primary,Primary dataset,glasses,Near eye,paired_common,paired_placement_sensitivity,l10_midpoint,MEQ,ESTIMABLE,64013f092d80cfe82958b5fe2d6613591d6bf6b2562fe189da44e701cfb02516,112,643,643,8,14874.116666666667,3,6,8
primary__glasses__paired_common__last_timing_above_250__MCTQ,3,primary__glasses__paired_common,primary,Primary dataset,glasses,Near eye,paired_common,paired_placement_sensitivity,last_timing_above_250,MCTQ,ESTIMABLE,26c5d1aab74d2fe26c0a446cbf05b476ada858146b4d4741178794aa2c0a78e7,111,520,520,8,12131.816666666668,2,5,7
primary__glasses__paired_common__last_timing_above_250__MEQ,3,primary__glasses__paired_common,primary,Primary dataset,glasses,Near eye,paired_common,paired_placement_sensitivity,last_timing_above_250,MEQ,ESTIMABLE,00493dd1095273812da93f4bdb1fc3343ae41e2dbd9310853fedacee804af87e,112,524,524,8,12226.083333333334,2,5,7
primary__glasses__paired_common__longest_period_midpoint__MCTQ,3,primary__glasses__paired_common,primary,Primary dataset,glasses,Near eye,paired_common,paired_placement_sensitivity,longest_period_midpoint,MCTQ,ESTIMABLE,f3746d1ac910b04692d48fe478c73006c509f1faebacdcfbb4f5c3060c3b7d8f,104,355,355,8,8428.933333333332,1,4,7
primary__glasses__paired_common__longest_period_midpoint__MEQ,3,primary__glasses__paired_common,primary,Primary dataset,glasses,Near eye,paired_common,paired_placement_sensitivity,longest_period_midpoint,MEQ,ESTIMABLE,45eb634ca54fba7c5d2dba612b55b612958581b678553cadd1650c31d474f12c,105,357,357,8,8476.683333333332,1,4,7
primary__glasses__paired_common__m10_midpoint__MCTQ,3,primary__glasses__paired_common,primary,Primary dataset,glasses,Near eye,paired_common,paired_placement_sensitivity,m10_midpoint,MCTQ,ESTIMABLE,f4eb99bba1f6bbea64cd929474b079b966341939a601088025f4550048eb1e9b,111,637,637,8,14734.8,3,6,8
primary__glasses__paired_common__m10_midpoint__MEQ,3,primary__glasses__paired_common,primary,Primary dataset,glasses,Near eye,paired_common,paired_placement_sensitivity,m10_midpoint,MEQ,ESTIMABLE,64013f092d80cfe82958b5fe2d6613591d6bf6b2562fe189da44e701cfb02516,112,643,643,8,14874.116666666667,3,6,8
primary__glasses__paired_common__mean_timing_above_250__MCTQ,3,primary__glasses__paired_common,primary,Primary dataset,glasses,Near eye,paired_common,paired_placement_sensitivity,mean_timing_above_250,MCTQ,ESTIMABLE,d48caa80ffef6b0c8cca423378b9c7b7fe1f6598069b6a0c33f75efabe0cfbe7,111,567,567,8,13171.083333333334,2,5,7
primary__glasses__paired_common__mean_timing_above_250__MEQ,3,primary__glasses__paired_common,primary,Primary dataset,glasses,Near eye,paired_common,paired_placement_sensitivity,mean_timing_above_250,MEQ,ESTIMABLE,e9335af9515f3a9b0a0a7a11144e0d569bdf6bd21304a07f49b1bda5f968965a,112,573,573,8,13310.4,2,5,7
primary__chest__paired_common__first_timing_above_250__MCTQ,4,primary__chest__paired_common,primary,Primary dataset,chest,Chest,paired_common,paired_placement_sensitivity,first_timing_above_250,MCTQ,ESTIMABLE,4d7f5884323df82a23446d8a2c2445f2a022e69aa1b5542b16e0baf0d45aa537,111,558,558,8,12939.05,1,5,7
primary__chest__paired_common__first_timing_above_250__MEQ,4,primary__chest__paired_common,primary,Primary dataset,chest,Chest,paired_common,paired_placement_sensitivity,first_timing_above_250,MEQ,ESTIMABLE,345c252f0c9601f8b26fc09d3317cb330481d6203fbabab6ed04551cc66ef3f7,112,563,563,8,13055.283333333333,1,5,7
primary__chest__paired_common__l10_midpoint__MCTQ,4,primary__chest__paired_common,primary,Primary dataset,chest,Chest,paired_common,paired_placement_sensitivity,l10_midpoint,MCTQ,ESTIMABLE,f4eb99bba1f6bbea64cd929474b079b966341939a601088025f4550048eb1e9b,111,637,637,8,14734.4,3,6,8
primary__chest__paired_common__l10_midpoint__MEQ,4,primary__chest__paired_common,primary,Primary dataset,chest,Chest,paired_common,paired_placement_sensitivity,l10_midpoint,MEQ,ESTIMABLE,64013f092d80cfe82958b5fe2d6613591d6bf6b2562fe189da44e701cfb02516,112,643,643,8,14873.716666666667,3,6,8
primary__chest__paired_common__last_timing_above_250__MCTQ,4,primary__chest__paired_common,primary,Primary dataset,chest,Chest,paired_common,paired_placement_sensitivity,last_timing_above_250,MCTQ,ESTIMABLE,26c5d1aab74d2fe26c0a446cbf05b476ada858146b4d4741178794aa2c0a78e7,111,520,520,8,12132.316666666668,2,5,7
primary__chest__paired_common__last_timing_above_250__MEQ,4,primary__chest__paired_common,primary,Primary dataset,chest,Chest,paired_common,paired_placement_sensitivity,last_timing_above_250,MEQ,ESTIMABLE,00493dd1095273812da93f4bdb1fc3343ae41e2dbd9310853fedacee804af87e,112,524,524,8,12226.583333333334,2,5,7
primary__chest__paired_common__longest_period_midpoint__MCTQ,4,primary__chest__paired_common,primary,Primary dataset,chest,Chest,paired_common,paired_placement_sensitivity,longest_period_midpoint,MCTQ,ESTIMABLE,f3746d1ac910b04692d48fe478c73006c509f1faebacdcfbb4f5c3060c3b7d8f,104,355,355,8,8428.466666666667,1,4,7
primary__chest__paired_common__longest_period_midpoint__MEQ,4,primary__chest__paired_common,primary,Primary dataset,chest,Chest,paired_common,paired_placement_sensitivity,longest_period_midpoint,MEQ,ESTIMABLE,45eb634ca54fba7c5d2dba612b55b612958581b678553cadd1650c31d474f12c,105,357,357,8,8476.216666666667,1,4,7
primary__chest__paired_common__m10_midpoint__MCTQ,4,primary__chest__paired_common,primary,Primary dataset,chest,Chest,paired_common,paired_placement_sensitivity,m10_midpoint,MCTQ,ESTIMABLE,f4eb99bba1f6bbea64cd929474b079b966341939a601088025f4550048eb1e9b,111,637,637,8,14734.4,3,6,8
primary__chest__paired_common__m10_midpoint__MEQ,4,primary__chest__paired_common,primary,Primary dataset,chest,Chest,paired_common,paired_placement_sensitivity,m10_midpoint,MEQ,ESTIMABLE,64013f092d80cfe82958b5fe2d6613591d6bf6b2562fe189da44e701cfb02516,112,643,643,8,14873.716666666667,3,6,8
primary__chest__paired_common__mean_timing_above_250__MCTQ,4,primary__chest__paired_common,primary,Primary dataset,chest,Chest,paired_common,paired_placement_sensitivity,mean_timing_above_250,MCTQ,ESTIMABLE,d48caa80ffef6b0c8cca423378b9c7b7fe1f6598069b6a0c33f75efabe0cfbe7,111,567,567,8,13173.366666666667,2,5,7
primary__chest__paired_common__mean_timing_above_250__MEQ,4,primary__chest__paired_common,primary,Primary dataset,chest,Chest,paired_common,paired_placement_sensitivity,mean_timing_above_250,MEQ,ESTIMABLE,e9335af9515f3a9b0a0a7a11144e0d569bdf6bd21304a07f49b1bda5f968965a,112,573,573,8,13312.683333333332,2,5,7
gap__glasses__all_available__first_timing_above_250__MCTQ,5,gap__glasses__all_available,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,all_available,data_preparation_sensitivity,first_timing_above_250,MCTQ,ESTIMABLE,4cbf5db2e080bf2bcc55807d295df4a0de7bd0983ab4f790afa4f387420378fa,140,772,772,9,,2,6,7
gap__glasses__all_available__first_timing_above_250__MEQ,5,gap__glasses__all_available,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,all_available,data_preparation_sensitivity,first_timing_above_250,MEQ,ESTIMABLE,524421f35c1dde4a487dc4f1b52f3409ae0aad5a9cf5ec77979ebcbb4f4c433a,141,778,778,9,,2,6,7
gap__glasses__all_available__l10_midpoint__MCTQ,5,gap__glasses__all_available,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,all_available,data_preparation_sensitivity,l10_midpoint,MCTQ,ESTIMABLE,46ae8773269a7fffe08895d619e6f91f8727d90b6212c6ba35dafb3f0709a675,140,805,805,9,,3,6,8
gap__glasses__all_available__l10_midpoint__MEQ,5,gap__glasses__all_available,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,all_available,data_preparation_sensitivity,l10_midpoint,MEQ,ESTIMABLE,e3cb946628555c4b277767992c79327826b151e78d9a882a930f97da60f36b4b,141,811,811,9,,3,6,8
gap__glasses__all_available__last_timing_above_250__MCTQ,5,gap__glasses__all_available,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,all_available,data_preparation_sensitivity,last_timing_above_250,MCTQ,ESTIMABLE,4cbf5db2e080bf2bcc55807d295df4a0de7bd0983ab4f790afa4f387420378fa,140,772,772,9,,2,6,7
gap__glasses__all_available__last_timing_above_250__MEQ,5,gap__glasses__all_available,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,all_available,data_preparation_sensitivity,last_timing_above_250,MEQ,ESTIMABLE,524421f35c1dde4a487dc4f1b52f3409ae0aad5a9cf5ec77979ebcbb4f4c433a,141,778,778,9,,2,6,7
gap__glasses__all_available__m10_midpoint__MCTQ,5,gap__glasses__all_available,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,all_available,data_preparation_sensitivity,m10_midpoint,MCTQ,ESTIMABLE,46ae8773269a7fffe08895d619e6f91f8727d90b6212c6ba35dafb3f0709a675,140,805,805,9,,3,6,8
gap__glasses__all_available__m10_midpoint__MEQ,5,gap__glasses__all_available,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,all_available,data_preparation_sensitivity,m10_midpoint,MEQ,ESTIMABLE,e3cb946628555c4b277767992c79327826b151e78d9a882a930f97da60f36b4b,141,811,811,9,,3,6,8
gap__glasses__all_available__mean_timing_above_250__MCTQ,5,gap__glasses__all_available,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,all_available,data_preparation_sensitivity,mean_timing_above_250,MCTQ,ESTIMABLE,4cbf5db2e080bf2bcc55807d295df4a0de7bd0983ab4f790afa4f387420378fa,140,772,772,9,,2,6,7
gap__glasses__all_available__mean_timing_above_250__MEQ,5,gap__glasses__all_available,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,all_available,data_preparation_sensitivity,mean_timing_above_250,MEQ,ESTIMABLE,524421f35c1dde4a487dc4f1b52f3409ae0aad5a9cf5ec77979ebcbb4f4c433a,141,778,778,9,,2,6,7
gap__chest__all_available__first_timing_above_250__MCTQ,6,gap__chest__all_available,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,all_available,complementary_data_preparation_sensitivity,first_timing_above_250,MCTQ,ESTIMABLE,925d8e638d11c2ebd91a46ee82ec2a71646b452f5d1431fd7329a3d559cb63bd,153,861,861,8,,2,6,7
gap__chest__all_available__first_timing_above_250__MEQ,6,gap__chest__all_available,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,all_available,complementary_data_preparation_sensitivity,first_timing_above_250,MEQ,ESTIMABLE,7b31d3e42c219fa88b2875eb0fc8e2a350c5000f3c64385706facae131cef818,154,867,867,8,,2,6,7
gap__chest__all_available__l10_midpoint__MCTQ,6,gap__chest__all_available,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,all_available,complementary_data_preparation_sensitivity,l10_midpoint,MCTQ,ESTIMABLE,24afd58f6dd680494af0ad6773b59dc3d39ac04f9dc2f2f92744d8f1bbc01c24,153,891,891,8,,2,6,8
gap__chest__all_available__l10_midpoint__MEQ,6,gap__chest__all_available,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,all_available,complementary_data_preparation_sensitivity,l10_midpoint,MEQ,ESTIMABLE,8130bf22ac5b5844032a1a913721c84039c13c81982ca77de9ca6a1cadc4c426,154,897,897,8,,2,6,8
gap__chest__all_available__last_timing_above_250__MCTQ,6,gap__chest__all_available,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,all_available,complementary_data_preparation_sensitivity,last_timing_above_250,MCTQ,ESTIMABLE,925d8e638d11c2ebd91a46ee82ec2a71646b452f5d1431fd7329a3d559cb63bd,153,861,861,8,,2,6,7
gap__chest__all_available__last_timing_above_250__MEQ,6,gap__chest__all_available,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,all_available,complementary_data_preparation_sensitivity,last_timing_above_250,MEQ,ESTIMABLE,7b31d3e42c219fa88b2875eb0fc8e2a350c5000f3c64385706facae131cef818,154,867,867,8,,2,6,7
gap__chest__all_available__m10_midpoint__MCTQ,6,gap__chest__all_available,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,all_available,complementary_data_preparation_sensitivity,m10_midpoint,MCTQ,ESTIMABLE,24afd58f6dd680494af0ad6773b59dc3d39ac04f9dc2f2f92744d8f1bbc01c24,153,891,891,8,,2,6,8
gap__chest__all_available__m10_midpoint__MEQ,6,gap__chest__all_available,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,all_available,complementary_data_preparation_sensitivity,m10_midpoint,MEQ,ESTIMABLE,8130bf22ac5b5844032a1a913721c84039c13c81982ca77de9ca6a1cadc4c426,154,897,897,8,,2,6,8
gap__chest__all_available__mean_timing_above_250__MCTQ,6,gap__chest__all_available,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,all_available,complementary_data_preparation_sensitivity,mean_timing_above_250,MCTQ,ESTIMABLE,925d8e638d11c2ebd91a46ee82ec2a71646b452f5d1431fd7329a3d559cb63bd,153,861,861,8,,2,6,7
gap__chest__all_available__mean_timing_above_250__MEQ,6,gap__chest__all_available,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,all_available,complementary_data_preparation_sensitivity,mean_timing_above_250,MEQ,ESTIMABLE,7b31d3e42c219fa88b2875eb0fc8e2a350c5000f3c64385706facae131cef818,154,867,867,8,,2,6,7
primary__glasses__gap_common__first_timing_above_250__MCTQ,7,primary__glasses__gap_common,primary,Primary dataset,glasses,Near eye,gap_common,exact_common_data_sensitivity,first_timing_above_250,MCTQ,ESTIMABLE,9135502ad270e83b23bc76163c818d383d99f6782c576cbcb422e1b365b55b5a,139,715,715,9,16579.033333333333,1,5,7
primary__glasses__gap_common__first_timing_above_250__MEQ,7,primary__glasses__gap_common,primary,Primary dataset,glasses,Near eye,gap_common,exact_common_data_sensitivity,first_timing_above_250,MEQ,ESTIMABLE,1789ef2f9df7e87a099e81595e5020588842d78a8513259e230bd4b532fc7848,140,720,720,9,16695.266666666666,1,5,7
primary__glasses__gap_common__l10_midpoint__MCTQ,7,primary__glasses__gap_common,primary,Primary dataset,glasses,Near eye,gap_common,exact_common_data_sensitivity,l10_midpoint,MCTQ,ESTIMABLE,2bb4ced13f077ae6c4bb4e74f4851962ed2331617356e4dfb057e3b4a68950cc,140,803,803,9,18574.45,3,6,8
primary__glasses__gap_common__l10_midpoint__MEQ,7,primary__glasses__gap_common,primary,Primary dataset,glasses,Near eye,gap_common,exact_common_data_sensitivity,l10_midpoint,MEQ,ESTIMABLE,61039a9159cf67f3ff487eb424ac12bc6635491c324a2ba837ea7cbc2f2c4f60,141,809,809,9,18713.766666666666,3,6,8
primary__glasses__gap_common__last_timing_above_250__MCTQ,7,primary__glasses__gap_common,primary,Primary dataset,glasses,Near eye,gap_common,exact_common_data_sensitivity,last_timing_above_250,MCTQ,ESTIMABLE,540e33ad24567b04f8d5ce2c752eaa5746cf1a77a193120d5c4b2050c6f5c3c2,140,680,680,9,15840.933333333332,1,5,7
primary__glasses__gap_common__last_timing_above_250__MEQ,7,primary__glasses__gap_common,primary,Primary dataset,glasses,Near eye,gap_common,exact_common_data_sensitivity,last_timing_above_250,MEQ,ESTIMABLE,2c566bd1c6b99aa941be6a3b58cd177055f1222d04f2c5edc2f96c91f5254974,141,684,684,9,15935.2,1,5,7
primary__glasses__gap_common__m10_midpoint__MCTQ,7,primary__glasses__gap_common,primary,Primary dataset,glasses,Near eye,gap_common,exact_common_data_sensitivity,m10_midpoint,MCTQ,ESTIMABLE,2bb4ced13f077ae6c4bb4e74f4851962ed2331617356e4dfb057e3b4a68950cc,140,803,803,9,18574.45,3,6,8
primary__glasses__gap_common__m10_midpoint__MEQ,7,primary__glasses__gap_common,primary,Primary dataset,glasses,Near eye,gap_common,exact_common_data_sensitivity,m10_midpoint,MEQ,ESTIMABLE,61039a9159cf67f3ff487eb424ac12bc6635491c324a2ba837ea7cbc2f2c4f60,141,809,809,9,18713.766666666666,3,6,8
primary__glasses__gap_common__mean_timing_above_250__MCTQ,7,primary__glasses__gap_common,primary,Primary dataset,glasses,Near eye,gap_common,exact_common_data_sensitivity,mean_timing_above_250,MCTQ,ESTIMABLE,a5b9fb18fa9a429e4ff1b158c61861a886fc029e41a81c4bf468ea425c49381e,140,731,731,9,16971.85,2,5,7
primary__glasses__gap_common__mean_timing_above_250__MEQ,7,primary__glasses__gap_common,primary,Primary dataset,glasses,Near eye,gap_common,exact_common_data_sensitivity,mean_timing_above_250,MEQ,ESTIMABLE,eadfb1cdd333fadee16969bc3c69d391dccecb3bf78271737400695e8684a28f,141,737,737,9,17111.166666666668,2,5,7
gap__glasses__gap_common__first_timing_above_250__MCTQ,8,gap__glasses__gap_common,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,gap_common,exact_common_data_sensitivity,first_timing_above_250,MCTQ,ESTIMABLE,9135502ad270e83b23bc76163c818d383d99f6782c576cbcb422e1b365b55b5a,139,715,715,9,,1,5,7
gap__glasses__gap_common__first_timing_above_250__MEQ,8,gap__glasses__gap_common,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,gap_common,exact_common_data_sensitivity,first_timing_above_250,MEQ,ESTIMABLE,1789ef2f9df7e87a099e81595e5020588842d78a8513259e230bd4b532fc7848,140,720,720,9,,1,5,7
gap__glasses__gap_common__l10_midpoint__MCTQ,8,gap__glasses__gap_common,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,gap_common,exact_common_data_sensitivity,l10_midpoint,MCTQ,ESTIMABLE,2bb4ced13f077ae6c4bb4e74f4851962ed2331617356e4dfb057e3b4a68950cc,140,803,803,9,,3,6,8
gap__glasses__gap_common__l10_midpoint__MEQ,8,gap__glasses__gap_common,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,gap_common,exact_common_data_sensitivity,l10_midpoint,MEQ,ESTIMABLE,61039a9159cf67f3ff487eb424ac12bc6635491c324a2ba837ea7cbc2f2c4f60,141,809,809,9,,3,6,8
gap__glasses__gap_common__last_timing_above_250__MCTQ,8,gap__glasses__gap_common,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,gap_common,exact_common_data_sensitivity,last_timing_above_250,MCTQ,ESTIMABLE,540e33ad24567b04f8d5ce2c752eaa5746cf1a77a193120d5c4b2050c6f5c3c2,140,680,680,9,,1,5,7
gap__glasses__gap_common__last_timing_above_250__MEQ,8,gap__glasses__gap_common,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,gap_common,exact_common_data_sensitivity,last_timing_above_250,MEQ,ESTIMABLE,2c566bd1c6b99aa941be6a3b58cd177055f1222d04f2c5edc2f96c91f5254974,141,684,684,9,,1,5,7
