frame_id,run_id,metric_id,instrument_id,site,participants,participant_days,observations,derivation_hours
primary__glasses__all_available__last_timing_above_250__MEQ,primary__glasses__all_available,last_timing_above_250,MEQ,THUAS,13,62,62,1450.6833333333334
primary__glasses__all_available__last_timing_above_250__MEQ,primary__glasses__all_available,last_timing_above_250,MEQ,BAUA,18,89,89,2073.05
primary__glasses__all_available__last_timing_above_250__MEQ,primary__glasses__all_available,last_timing_above_250,MEQ,MPI,26,121,121,2811.2
primary__glasses__all_available__last_timing_above_250__MEQ,primary__glasses__all_available,last_timing_above_250,MEQ,TUM,10,53,53,1219.3166666666666
primary__glasses__all_available__last_timing_above_250__MEQ,primary__glasses__all_available,last_timing_above_250,MEQ,FUSPCEU,23,106,106,2509.6833333333334
primary__glasses__all_available__last_timing_above_250__MEQ,primary__glasses__all_available,last_timing_above_250,MEQ,IZTECH,17,89,89,2076.7
primary__glasses__all_available__last_timing_above_250__MEQ,primary__glasses__all_available,last_timing_above_250,MEQ,UCR,6,28,28,646.1333333333333
primary__glasses__all_available__last_timing_above_250__MEQ,primary__glasses__all_available,last_timing_above_250,MEQ,KNUST,15,66,66,1512.65
primary__glasses__all_available__longest_period_midpoint__MCTQ,primary__glasses__all_available,longest_period_midpoint,MCTQ,RISE,13,49,49,1160.6666666666667
primary__glasses__all_available__longest_period_midpoint__MCTQ,primary__glasses__all_available,longest_period_midpoint,MCTQ,THUAS,13,46,46,1090.9
primary__glasses__all_available__longest_period_midpoint__MCTQ,primary__glasses__all_available,longest_period_midpoint,MCTQ,BAUA,18,68,68,1601.05
primary__glasses__all_available__longest_period_midpoint__MCTQ,primary__glasses__all_available,longest_period_midpoint,MCTQ,MPI,23,84,84,1991.4333333333334
primary__glasses__all_available__longest_period_midpoint__MCTQ,primary__glasses__all_available,longest_period_midpoint,MCTQ,TUM,9,32,32,748.4333333333333
primary__glasses__all_available__longest_period_midpoint__MCTQ,primary__glasses__all_available,longest_period_midpoint,MCTQ,FUSPCEU,22,91,91,2172.4166666666665
primary__glasses__all_available__longest_period_midpoint__MCTQ,primary__glasses__all_available,longest_period_midpoint,MCTQ,IZTECH,17,65,65,1541.4
primary__glasses__all_available__longest_period_midpoint__MCTQ,primary__glasses__all_available,longest_period_midpoint,MCTQ,UCR,5,14,14,332.6333333333333
primary__glasses__all_available__longest_period_midpoint__MCTQ,primary__glasses__all_available,longest_period_midpoint,MCTQ,KNUST,11,29,29,686.6166666666667
primary__glasses__all_available__longest_period_midpoint__MEQ,primary__glasses__all_available,longest_period_midpoint,MEQ,RISE,13,49,49,1160.6666666666667
primary__glasses__all_available__longest_period_midpoint__MEQ,primary__glasses__all_available,longest_period_midpoint,MEQ,THUAS,13,46,46,1090.9
primary__glasses__all_available__longest_period_midpoint__MEQ,primary__glasses__all_available,longest_period_midpoint,MEQ,BAUA,18,68,68,1601.05
primary__glasses__all_available__longest_period_midpoint__MEQ,primary__glasses__all_available,longest_period_midpoint,MEQ,MPI,23,84,84,1991.4333333333334
primary__glasses__all_available__longest_period_midpoint__MEQ,primary__glasses__all_available,longest_period_midpoint,MEQ,TUM,9,32,32,748.4333333333333
primary__glasses__all_available__longest_period_midpoint__MEQ,primary__glasses__all_available,longest_period_midpoint,MEQ,FUSPCEU,23,95,95,2266.6833333333334
primary__glasses__all_available__longest_period_midpoint__MEQ,primary__glasses__all_available,longest_period_midpoint,MEQ,IZTECH,17,65,65,1541.4
primary__glasses__all_available__longest_period_midpoint__MEQ,primary__glasses__all_available,longest_period_midpoint,MEQ,UCR,5,14,14,332.6333333333333
primary__glasses__all_available__longest_period_midpoint__MEQ,primary__glasses__all_available,longest_period_midpoint,MEQ,KNUST,11,29,29,686.6166666666667
primary__glasses__all_available__mean_timing_above_250__MCTQ,primary__glasses__all_available,mean_timing_above_250,MCTQ,RISE,13,72,72,1680.3833333333334
primary__glasses__all_available__mean_timing_above_250__MCTQ,primary__glasses__all_available,mean_timing_above_250,MCTQ,THUAS,13,71,71,1641.0166666666667
primary__glasses__all_available__mean_timing_above_250__MCTQ,primary__glasses__all_available,mean_timing_above_250,MCTQ,BAUA,18,93,93,2160.3166666666666
primary__glasses__all_available__mean_timing_above_250__MCTQ,primary__glasses__all_available,mean_timing_above_250,MCTQ,MPI,26,138,138,3184.25
primary__glasses__all_available__mean_timing_above_250__MCTQ,primary__glasses__all_available,mean_timing_above_250,MCTQ,TUM,10,55,55,1266.8333333333333
primary__glasses__all_available__mean_timing_above_250__MCTQ,primary__glasses__all_available,mean_timing_above_250,MCTQ,FUSPCEU,22,111,111,2612.55
primary__glasses__all_available__mean_timing_above_250__MCTQ,primary__glasses__all_available,mean_timing_above_250,MCTQ,IZTECH,17,94,94,2188.4333333333334
primary__glasses__all_available__mean_timing_above_250__MCTQ,primary__glasses__all_available,mean_timing_above_250,MCTQ,UCR,6,31,31,710.4166666666666
primary__glasses__all_available__mean_timing_above_250__MCTQ,primary__glasses__all_available,mean_timing_above_250,MCTQ,KNUST,15,71,71,1626.1166666666666
primary__glasses__all_available__mean_timing_above_250__MEQ,primary__glasses__all_available,mean_timing_above_250,MEQ,RISE,13,72,72,1680.3833333333334
primary__glasses__all_available__mean_timing_above_250__MEQ,primary__glasses__all_available,mean_timing_above_250,MEQ,THUAS,13,71,71,1641.0166666666667
primary__glasses__all_available__mean_timing_above_250__MEQ,primary__glasses__all_available,mean_timing_above_250,MEQ,BAUA,18,93,93,2160.3166666666666
primary__glasses__all_available__mean_timing_above_250__MEQ,primary__glasses__all_available,mean_timing_above_250,MEQ,MPI,26,138,138,3184.25
primary__glasses__all_available__mean_timing_above_250__MEQ,primary__glasses__all_available,mean_timing_above_250,MEQ,TUM,10,55,55,1266.8333333333333
primary__glasses__all_available__mean_timing_above_250__MEQ,primary__glasses__all_available,mean_timing_above_250,MEQ,FUSPCEU,23,117,117,2751.866666666667
primary__glasses__all_available__mean_timing_above_250__MEQ,primary__glasses__all_available,mean_timing_above_250,MEQ,IZTECH,17,94,94,2188.4333333333334
primary__glasses__all_available__mean_timing_above_250__MEQ,primary__glasses__all_available,mean_timing_above_250,MEQ,UCR,6,31,31,710.4166666666666
primary__glasses__all_available__mean_timing_above_250__MEQ,primary__glasses__all_available,mean_timing_above_250,MEQ,KNUST,15,71,71,1626.1166666666666
primary__chest__all_available__m10_midpoint__MCTQ,primary__chest__all_available,m10_midpoint,MCTQ,RISE,16,96,96,2232.366666666667
primary__chest__all_available__m10_midpoint__MCTQ,primary__chest__all_available,m10_midpoint,MCTQ,THUAS,15,93,93,2151.8
primary__chest__all_available__m10_midpoint__MCTQ,primary__chest__all_available,m10_midpoint,MCTQ,BAUA,20,114,114,2651.233333333333
primary__chest__all_available__m10_midpoint__MCTQ,primary__chest__all_available,m10_midpoint,MCTQ,TUM,10,60,60,1374.2
primary__chest__all_available__m10_midpoint__MCTQ,primary__chest__all_available,m10_midpoint,MCTQ,FUSPCEU,21,117,117,2750.9333333333334
primary__chest__all_available__m10_midpoint__MCTQ,primary__chest__all_available,m10_midpoint,MCTQ,IZTECH,17,102,102,2371.4
primary__chest__all_available__m10_midpoint__MCTQ,primary__chest__all_available,m10_midpoint,MCTQ,UCR,39,230,230,5305.516666666666
primary__chest__all_available__m10_midpoint__MCTQ,primary__chest__all_available,m10_midpoint,MCTQ,KNUST,15,84,84,1914.9833333333333
primary__chest__all_available__m10_midpoint__MEQ,primary__chest__all_available,m10_midpoint,MEQ,RISE,16,96,96,2232.366666666667
primary__chest__all_available__m10_midpoint__MEQ,primary__chest__all_available,m10_midpoint,MEQ,THUAS,15,93,93,2151.8
primary__chest__all_available__m10_midpoint__MEQ,primary__chest__all_available,m10_midpoint,MEQ,BAUA,20,114,114,2651.233333333333
primary__chest__all_available__m10_midpoint__MEQ,primary__chest__all_available,m10_midpoint,MEQ,TUM,10,60,60,1374.2
primary__chest__all_available__m10_midpoint__MEQ,primary__chest__all_available,m10_midpoint,MEQ,FUSPCEU,22,123,123,2890.25
primary__chest__all_available__m10_midpoint__MEQ,primary__chest__all_available,m10_midpoint,MEQ,IZTECH,17,102,102,2371.4
primary__chest__all_available__m10_midpoint__MEQ,primary__chest__all_available,m10_midpoint,MEQ,UCR,39,230,230,5305.516666666666
primary__chest__all_available__m10_midpoint__MEQ,primary__chest__all_available,m10_midpoint,MEQ,KNUST,15,84,84,1914.9833333333333
primary__chest__all_available__l10_midpoint__MCTQ,primary__chest__all_available,l10_midpoint,MCTQ,RISE,16,96,96,2232.366666666667
primary__chest__all_available__l10_midpoint__MCTQ,primary__chest__all_available,l10_midpoint,MCTQ,THUAS,15,93,93,2151.8
primary__chest__all_available__l10_midpoint__MCTQ,primary__chest__all_available,l10_midpoint,MCTQ,BAUA,20,114,114,2651.233333333333
primary__chest__all_available__l10_midpoint__MCTQ,primary__chest__all_available,l10_midpoint,MCTQ,TUM,10,60,60,1374.2
primary__chest__all_available__l10_midpoint__MCTQ,primary__chest__all_available,l10_midpoint,MCTQ,FUSPCEU,21,117,117,2750.9333333333334
primary__chest__all_available__l10_midpoint__MCTQ,primary__chest__all_available,l10_midpoint,MCTQ,IZTECH,17,102,102,2371.4
primary__chest__all_available__l10_midpoint__MCTQ,primary__chest__all_available,l10_midpoint,MCTQ,UCR,39,230,230,5305.516666666666
primary__chest__all_available__l10_midpoint__MCTQ,primary__chest__all_available,l10_midpoint,MCTQ,KNUST,15,84,84,1914.9833333333333
primary__chest__all_available__l10_midpoint__MEQ,primary__chest__all_available,l10_midpoint,MEQ,RISE,16,96,96,2232.366666666667
primary__chest__all_available__l10_midpoint__MEQ,primary__chest__all_available,l10_midpoint,MEQ,THUAS,15,93,93,2151.8
primary__chest__all_available__l10_midpoint__MEQ,primary__chest__all_available,l10_midpoint,MEQ,BAUA,20,114,114,2651.233333333333
primary__chest__all_available__l10_midpoint__MEQ,primary__chest__all_available,l10_midpoint,MEQ,TUM,10,60,60,1374.2
primary__chest__all_available__l10_midpoint__MEQ,primary__chest__all_available,l10_midpoint,MEQ,FUSPCEU,22,123,123,2890.25
primary__chest__all_available__l10_midpoint__MEQ,primary__chest__all_available,l10_midpoint,MEQ,IZTECH,17,102,102,2371.4
primary__chest__all_available__l10_midpoint__MEQ,primary__chest__all_available,l10_midpoint,MEQ,UCR,39,230,230,5305.516666666666
primary__chest__all_available__l10_midpoint__MEQ,primary__chest__all_available,l10_midpoint,MEQ,KNUST,15,84,84,1914.9833333333333
primary__chest__all_available__first_timing_above_250__MCTQ,primary__chest__all_available,first_timing_above_250,MCTQ,RISE,16,92,92,2142.4666666666667
primary__chest__all_available__first_timing_above_250__MCTQ,primary__chest__all_available,first_timing_above_250,MCTQ,THUAS,15,80,80,1856.3833333333334
primary__chest__all_available__first_timing_above_250__MCTQ,primary__chest__all_available,first_timing_above_250,MCTQ,BAUA,20,103,103,2402.516666666667
primary__chest__all_available__first_timing_above_250__MCTQ,primary__chest__all_available,first_timing_above_250,MCTQ,TUM,10,54,54,1238.1666666666667
primary__chest__all_available__first_timing_above_250__MCTQ,primary__chest__all_available,first_timing_above_250,MCTQ,FUSPCEU,21,107,107,2521.883333333333
primary__chest__all_available__first_timing_above_250__MCTQ,primary__chest__all_available,first_timing_above_250,MCTQ,IZTECH,17,97,97,2256
primary__chest__all_available__first_timing_above_250__MCTQ,primary__chest__all_available,first_timing_above_250,MCTQ,UCR,39,200,200,4637.616666666667
primary__chest__all_available__first_timing_above_250__MCTQ,primary__chest__all_available,first_timing_above_250,MCTQ,KNUST,15,64,64,1463.3833333333334
primary__chest__all_available__first_timing_above_250__MEQ,primary__chest__all_available,first_timing_above_250,MEQ,RISE,16,92,92,2142.4666666666667
primary__chest__all_available__first_timing_above_250__MEQ,primary__chest__all_available,first_timing_above_250,MEQ,THUAS,15,80,80,1856.3833333333334
primary__chest__all_available__first_timing_above_250__MEQ,primary__chest__all_available,first_timing_above_250,MEQ,BAUA,20,103,103,2402.516666666667
primary__chest__all_available__first_timing_above_250__MEQ,primary__chest__all_available,first_timing_above_250,MEQ,TUM,10,54,54,1238.1666666666667
primary__chest__all_available__first_timing_above_250__MEQ,primary__chest__all_available,first_timing_above_250,MEQ,FUSPCEU,22,112,112,2638.116666666667
primary__chest__all_available__first_timing_above_250__MEQ,primary__chest__all_available,first_timing_above_250,MEQ,IZTECH,17,97,97,2256
primary__chest__all_available__first_timing_above_250__MEQ,primary__chest__all_available,first_timing_above_250,MEQ,UCR,39,200,200,4637.616666666667
primary__chest__all_available__first_timing_above_250__MEQ,primary__chest__all_available,first_timing_above_250,MEQ,KNUST,15,64,64,1463.3833333333334
primary__chest__all_available__last_timing_above_250__MCTQ,primary__chest__all_available,last_timing_above_250,MCTQ,RISE,16,89,89,2079.9666666666667
primary__chest__all_available__last_timing_above_250__MCTQ,primary__chest__all_available,last_timing_above_250,MCTQ,THUAS,15,73,73,1717.1666666666667
primary__chest__all_available__last_timing_above_250__MCTQ,primary__chest__all_available,last_timing_above_250,MCTQ,BAUA,20,100,100,2338.516666666667
primary__chest__all_available__last_timing_above_250__MCTQ,primary__chest__all_available,last_timing_above_250,MCTQ,TUM,10,51,51,1173.05
primary__chest__all_available__last_timing_above_250__MCTQ,primary__chest__all_available,last_timing_above_250,MCTQ,FUSPCEU,21,100,100,2369.383333333333
primary__chest__all_available__last_timing_above_250__MCTQ,primary__chest__all_available,last_timing_above_250,MCTQ,IZTECH,17,90,90,2099.6833333333334
primary__chest__all_available__last_timing_above_250__MCTQ,primary__chest__all_available,last_timing_above_250,MCTQ,UCR,39,210,210,4879.283333333334
primary__chest__all_available__last_timing_above_250__MCTQ,primary__chest__all_available,last_timing_above_250,MCTQ,KNUST,15,70,70,1606.8
primary__chest__all_available__last_timing_above_250__MEQ,primary__chest__all_available,last_timing_above_250,MEQ,RISE,16,89,89,2079.9666666666667
primary__chest__all_available__last_timing_above_250__MEQ,primary__chest__all_available,last_timing_above_250,MEQ,THUAS,15,73,73,1717.1666666666667
primary__chest__all_available__last_timing_above_250__MEQ,primary__chest__all_available,last_timing_above_250,MEQ,BAUA,20,100,100,2338.516666666667
primary__chest__all_available__last_timing_above_250__MEQ,primary__chest__all_available,last_timing_above_250,MEQ,TUM,10,51,51,1173.05
primary__chest__all_available__last_timing_above_250__MEQ,primary__chest__all_available,last_timing_above_250,MEQ,FUSPCEU,22,104,104,2463.65
primary__chest__all_available__last_timing_above_250__MEQ,primary__chest__all_available,last_timing_above_250,MEQ,IZTECH,17,90,90,2099.6833333333334
primary__chest__all_available__last_timing_above_250__MEQ,primary__chest__all_available,last_timing_above_250,MEQ,UCR,39,210,210,4879.283333333334
primary__chest__all_available__last_timing_above_250__MEQ,primary__chest__all_available,last_timing_above_250,MEQ,KNUST,15,70,70,1606.8
primary__chest__all_available__longest_period_midpoint__MCTQ,primary__chest__all_available,longest_period_midpoint,MCTQ,RISE,16,64,64,1515.9833333333333
primary__chest__all_available__longest_period_midpoint__MCTQ,primary__chest__all_available,longest_period_midpoint,MCTQ,THUAS,15,59,59,1403.75
primary__chest__all_available__longest_period_midpoint__MCTQ,primary__chest__all_available,longest_period_midpoint,MCTQ,BAUA,20,74,74,1757.6166666666666
primary__chest__all_available__longest_period_midpoint__MCTQ,primary__chest__all_available,longest_period_midpoint,MCTQ,TUM,9,30,30,703.25
primary__chest__all_available__longest_period_midpoint__MCTQ,primary__chest__all_available,longest_period_midpoint,MCTQ,FUSPCEU,21,88,88,2101.95
primary__chest__all_available__longest_period_midpoint__MCTQ,primary__chest__all_available,longest_period_midpoint,MCTQ,IZTECH,16,62,62,1474.85
primary__chest__all_available__longest_period_midpoint__MCTQ,primary__chest__all_available,longest_period_midpoint,MCTQ,UCR,38,134,134,3175.5
primary__chest__all_available__longest_period_midpoint__MCTQ,primary__chest__all_available,longest_period_midpoint,MCTQ,KNUST,14,36,36,847.15
primary__chest__all_available__longest_period_midpoint__MEQ,primary__chest__all_available,longest_period_midpoint,MEQ,RISE,16,64,64,1515.9833333333333
primary__chest__all_available__longest_period_midpoint__MEQ,primary__chest__all_available,longest_period_midpoint,MEQ,THUAS,15,59,59,1403.75
primary__chest__all_available__longest_period_midpoint__MEQ,primary__chest__all_available,longest_period_midpoint,MEQ,BAUA,20,74,74,1757.6166666666666
primary__chest__all_available__longest_period_midpoint__MEQ,primary__chest__all_available,longest_period_midpoint,MEQ,TUM,9,30,30,703.25
primary__chest__all_available__longest_period_midpoint__MEQ,primary__chest__all_available,longest_period_midpoint,MEQ,FUSPCEU,22,90,90,2149.7
primary__chest__all_available__longest_period_midpoint__MEQ,primary__chest__all_available,longest_period_midpoint,MEQ,IZTECH,16,62,62,1474.85
primary__chest__all_available__longest_period_midpoint__MEQ,primary__chest__all_available,longest_period_midpoint,MEQ,UCR,38,134,134,3175.5
primary__chest__all_available__longest_period_midpoint__MEQ,primary__chest__all_available,longest_period_midpoint,MEQ,KNUST,14,36,36,847.15
primary__chest__all_available__mean_timing_above_250__MCTQ,primary__chest__all_available,mean_timing_above_250,MCTQ,RISE,16,91,91,2126.7
primary__chest__all_available__mean_timing_above_250__MCTQ,primary__chest__all_available,mean_timing_above_250,MCTQ,THUAS,15,84,84,1948.65
primary__chest__all_available__mean_timing_above_250__MCTQ,primary__chest__all_available,mean_timing_above_250,MCTQ,BAUA,20,104,104,2429.8166666666666
primary__chest__all_available__mean_timing_above_250__MCTQ,primary__chest__all_available,mean_timing_above_250,MCTQ,TUM,10,52,52,1198.2833333333333
primary__chest__all_available__mean_timing_above_250__MCTQ,primary__chest__all_available,mean_timing_above_250,MCTQ,FUSPCEU,21,107,107,2523.2833333333333
primary__chest__all_available__mean_timing_above_250__MCTQ,primary__chest__all_available,mean_timing_above_250,MCTQ,IZTECH,17,96,96,2235.1833333333334
primary__chest__all_available__mean_timing_above_250__MCTQ,primary__chest__all_available,mean_timing_above_250,MCTQ,UCR,39,216,216,5016.25
primary__chest__all_available__mean_timing_above_250__MCTQ,primary__chest__all_available,mean_timing_above_250,MCTQ,KNUST,15,75,75,1718.65
primary__chest__all_available__mean_timing_above_250__MEQ,primary__chest__all_available,mean_timing_above_250,MEQ,RISE,16,91,91,2126.7
primary__chest__all_available__mean_timing_above_250__MEQ,primary__chest__all_available,mean_timing_above_250,MEQ,THUAS,15,84,84,1948.65
primary__chest__all_available__mean_timing_above_250__MEQ,primary__chest__all_available,mean_timing_above_250,MEQ,BAUA,20,104,104,2429.8166666666666
primary__chest__all_available__mean_timing_above_250__MEQ,primary__chest__all_available,mean_timing_above_250,MEQ,TUM,10,52,52,1198.2833333333333
primary__chest__all_available__mean_timing_above_250__MEQ,primary__chest__all_available,mean_timing_above_250,MEQ,FUSPCEU,22,113,113,2662.6
primary__chest__all_available__mean_timing_above_250__MEQ,primary__chest__all_available,mean_timing_above_250,MEQ,IZTECH,17,96,96,2235.1833333333334
primary__chest__all_available__mean_timing_above_250__MEQ,primary__chest__all_available,mean_timing_above_250,MEQ,UCR,39,216,216,5016.25
