reader_placement,metric_order,metric_id,manuscript_name,metric_display,factor_order,factor_id,factor_label,factor_display,model_adequacy,reader_inference_status,specified_limitations,reader_model_assessment
Near eye,6,duration_above_1000,"Time above 1,000 lx melEDI","Time above 1,000 lx melEDI",4,leba_f5,Using light in the morning and during daytime,F5: Using light in the morning and during daytime,acceptable,retained_for_inference,,acceptable
Near eye,7,duration_above_250_wake,Time above 250 lx melEDI during wake,Time above 250 lx melEDI during wake,1,leba_f2,Spending time outdoors,F2: Spending time outdoors,acceptable_with_specified_limitations,retained_for_inference,WARN_TWEEDIE_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,7,duration_above_250_wake,Time above 250 lx melEDI during wake,Time above 250 lx melEDI during wake,2,leba_f3,Using phones and smartwatches in bed before sleep,F3: Using phones and smartwatches in bed before sleep,acceptable,retained_for_inference,,acceptable
Near eye,7,duration_above_250_wake,Time above 250 lx melEDI during wake,Time above 250 lx melEDI during wake,3,leba_f4,Controlling and using ambient light before bedtime,F4: Controlling and using ambient light before bedtime,acceptable,retained_for_inference,,acceptable
Near eye,7,duration_above_250_wake,Time above 250 lx melEDI during wake,Time above 250 lx melEDI during wake,4,leba_f5,Using light in the morning and during daytime,F5: Using light in the morning and during daytime,acceptable,retained_for_inference,,acceptable
Near eye,8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,Time below 10 lx melEDI before sleep,1,leba_f2,Spending time outdoors,F2: Spending time outdoors,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,Time below 10 lx melEDI before sleep,2,leba_f3,Using phones and smartwatches in bed before sleep,F3: Using phones and smartwatches in bed before sleep,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,Time below 10 lx melEDI before sleep,3,leba_f4,Controlling and using ambient light before bedtime,F4: Controlling and using ambient light before bedtime,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,Time below 10 lx melEDI before sleep,4,leba_f5,Using light in the morning and during daytime,F5: Using light in the morning and during daytime,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,Time below 1 lx melEDI during sleep,1,leba_f2,Spending time outdoors,F2: Spending time outdoors,acceptable_with_specified_limitations,unfit_for_inference,WARN_STRONG_TWEEDIE_MISFIT | WARN_PREDICTED_BOUND,unfit_for_inference
Near eye,9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,Time below 1 lx melEDI during sleep,2,leba_f3,Using phones and smartwatches in bed before sleep,F3: Using phones and smartwatches in bed before sleep,acceptable_with_specified_limitations,unfit_for_inference,WARN_STRONG_TWEEDIE_MISFIT | WARN_PREDICTED_BOUND,unfit_for_inference
Near eye,9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,Time below 1 lx melEDI during sleep,3,leba_f4,Controlling and using ambient light before bedtime,F4: Controlling and using ambient light before bedtime,acceptable_with_specified_limitations,unfit_for_inference,WARN_STRONG_TWEEDIE_MISFIT | WARN_PREDICTED_BOUND,unfit_for_inference
Near eye,9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,Time below 1 lx melEDI during sleep,4,leba_f5,Using light in the morning and during daytime,F5: Using light in the morning and during daytime,acceptable_with_specified_limitations,unfit_for_inference,WARN_STRONG_TWEEDIE_MISFIT | WARN_PREDICTED_BOUND,unfit_for_inference
Near eye,10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,Longest continuous period above 250 lx melEDI,1,leba_f2,Spending time outdoors,F2: Spending time outdoors,acceptable,retained_for_inference,,acceptable
Near eye,10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,Longest continuous period above 250 lx melEDI,2,leba_f3,Using phones and smartwatches in bed before sleep,F3: Using phones and smartwatches in bed before sleep,acceptable,retained_for_inference,,acceptable
Near eye,10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,Longest continuous period above 250 lx melEDI,3,leba_f4,Controlling and using ambient light before bedtime,F4: Controlling and using ambient light before bedtime,acceptable,retained_for_inference,,acceptable
Near eye,10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,Longest continuous period above 250 lx melEDI,4,leba_f5,Using light in the morning and during daytime,F5: Using light in the morning and during daytime,acceptable,retained_for_inference,,acceptable
Near eye,11,m10_midpoint,Midpoint of the brightest 10 hours,Midpoint of the brightest 10 hours,1,leba_f2,Spending time outdoors,F2: Spending time outdoors,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,11,m10_midpoint,Midpoint of the brightest 10 hours,Midpoint of the brightest 10 hours,2,leba_f3,Using phones and smartwatches in bed before sleep,F3: Using phones and smartwatches in bed before sleep,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,11,m10_midpoint,Midpoint of the brightest 10 hours,Midpoint of the brightest 10 hours,3,leba_f4,Controlling and using ambient light before bedtime,F4: Controlling and using ambient light before bedtime,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,11,m10_midpoint,Midpoint of the brightest 10 hours,Midpoint of the brightest 10 hours,4,leba_f5,Using light in the morning and during daytime,F5: Using light in the morning and during daytime,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,12,l10_midpoint,Midpoint of the darkest 10 hours,Midpoint of the darkest 10 hours,1,leba_f2,Spending time outdoors,F2: Spending time outdoors,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,12,l10_midpoint,Midpoint of the darkest 10 hours,Midpoint of the darkest 10 hours,2,leba_f3,Using phones and smartwatches in bed before sleep,F3: Using phones and smartwatches in bed before sleep,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,12,l10_midpoint,Midpoint of the darkest 10 hours,Midpoint of the darkest 10 hours,3,leba_f4,Controlling and using ambient light before bedtime,F4: Controlling and using ambient light before bedtime,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,12,l10_midpoint,Midpoint of the darkest 10 hours,Midpoint of the darkest 10 hours,4,leba_f5,Using light in the morning and during daytime,F5: Using light in the morning and during daytime,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,Mean timing of exposure above 250 lx melEDI,1,leba_f2,Spending time outdoors,F2: Spending time outdoors,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,Mean timing of exposure above 250 lx melEDI,2,leba_f3,Using phones and smartwatches in bed before sleep,F3: Using phones and smartwatches in bed before sleep,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,Mean timing of exposure above 250 lx melEDI,3,leba_f4,Controlling and using ambient light before bedtime,F4: Controlling and using ambient light before bedtime,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,Mean timing of exposure above 250 lx melEDI,4,leba_f5,Using light in the morning and during daytime,F5: Using light in the morning and during daytime,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,14,first_timing_above_250,First light timing above 250 lx melEDI,First light timing above 250 lx melEDI,1,leba_f2,Spending time outdoors,F2: Spending time outdoors,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,14,first_timing_above_250,First light timing above 250 lx melEDI,First light timing above 250 lx melEDI,2,leba_f3,Using phones and smartwatches in bed before sleep,F3: Using phones and smartwatches in bed before sleep,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,14,first_timing_above_250,First light timing above 250 lx melEDI,First light timing above 250 lx melEDI,3,leba_f4,Controlling and using ambient light before bedtime,F4: Controlling and using ambient light before bedtime,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,14,first_timing_above_250,First light timing above 250 lx melEDI,First light timing above 250 lx melEDI,4,leba_f5,Using light in the morning and during daytime,F5: Using light in the morning and during daytime,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,15,last_timing_above_250,Last light timing above 250 lx melEDI,Last light timing above 250 lx melEDI,1,leba_f2,Spending time outdoors,F2: Spending time outdoors,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,15,last_timing_above_250,Last light timing above 250 lx melEDI,Last light timing above 250 lx melEDI,2,leba_f3,Using phones and smartwatches in bed before sleep,F3: Using phones and smartwatches in bed before sleep,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,15,last_timing_above_250,Last light timing above 250 lx melEDI,Last light timing above 250 lx melEDI,3,leba_f4,Controlling and using ambient light before bedtime,F4: Controlling and using ambient light before bedtime,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,15,last_timing_above_250,Last light timing above 250 lx melEDI,Last light timing above 250 lx melEDI,4,leba_f5,Using light in the morning and during daytime,F5: Using light in the morning and during daytime,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,16,dose_time_sensitive_corrected_medi,melEDI dose,melEDI dose,1,leba_f2,Spending time outdoors,F2: Spending time outdoors,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,16,dose_time_sensitive_corrected_medi,melEDI dose,melEDI dose,2,leba_f3,Using phones and smartwatches in bed before sleep,F3: Using phones and smartwatches in bed before sleep,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,16,dose_time_sensitive_corrected_medi,melEDI dose,melEDI dose,3,leba_f4,Controlling and using ambient light before bedtime,F4: Controlling and using ambient light before bedtime,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,16,dose_time_sensitive_corrected_medi,melEDI dose,melEDI dose,4,leba_f5,Using light in the morning and during daytime,F5: Using light in the morning and during daytime,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,17,mder_mean_of_viable_ratios,Melanopic daylight efficacy ratio,Melanopic daylight efficacy ratio,1,leba_f2,Spending time outdoors,F2: Spending time outdoors,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,17,mder_mean_of_viable_ratios,Melanopic daylight efficacy ratio,Melanopic daylight efficacy ratio,2,leba_f3,Using phones and smartwatches in bed before sleep,F3: Using phones and smartwatches in bed before sleep,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,17,mder_mean_of_viable_ratios,Melanopic daylight efficacy ratio,Melanopic daylight efficacy ratio,3,leba_f4,Controlling and using ambient light before bedtime,F4: Controlling and using ambient light before bedtime,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,17,mder_mean_of_viable_ratios,Melanopic daylight efficacy ratio,Melanopic daylight efficacy ratio,4,leba_f5,Using light in the morning and during daytime,F5: Using light in the morning and during daytime,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
