"page","case","header_index","header_text","width"
"table_s2_part_02.html","s2_02_desktop_left",9,"Madrid
(ES)",138
"table_s2_part_02.html","s2_02_desktop_left",10,"Izmir
(TR)",146
"table_s2_part_02.html","s2_02_desktop_left",11,"San José
(CR)",138
"table_s2_part_02.html","s2_02_desktop_left",12,"Kumasi
(GH)",130
"table_s2_part_02.html","s2_02_desktop_left",13,"Scaling2",120
"table_s2_part_02.html","s2_02_desktop_left",14,"Distribution3",252.0078125
"table_s2_part_02.html","s2_02_desktop_right",1,"Metric1",210
"table_s2_part_02.html","s2_02_desktop_right",2,"Unit",86
"table_s2_part_02.html","s2_02_desktop_right",3,"Overall",138
"table_s2_part_02.html","s2_02_desktop_right",4,"Borås
(SE)",146
"table_s2_part_02.html","s2_02_desktop_right",5,"Delft
(NL)",146
"table_s2_part_02.html","s2_02_desktop_right",6,"Dortmund
(DE)",154
"table_s2_part_02.html","s2_02_desktop_right",7,"Tübingen
(DE)",138
"table_s2_part_02.html","s2_02_desktop_right",8,"Munich
(DE)",146
"table_s2_part_02.html","s2_02_desktop_right",9,"Madrid
(ES)",138
"table_s2_part_02.html","s2_02_desktop_right",10,"Izmir
(TR)",146
"table_s2_part_02.html","s2_02_desktop_right",11,"San José
(CR)",138
"table_s2_part_02.html","s2_02_desktop_right",12,"Kumasi
(GH)",130
"table_s2_part_02.html","s2_02_desktop_right",13,"Scaling2",120
"table_s2_part_02.html","s2_02_desktop_right",14,"Distribution3",252.0078125
"table_s2_part_02.html","s2_02_narrow_left",1,"Metric1",210
"table_s2_part_02.html","s2_02_narrow_left",2,"Unit",86
"table_s2_part_02.html","s2_02_narrow_left",3,"Overall",138
"table_s2_part_02.html","s2_02_narrow_left",4,"Borås
(SE)",146
"table_s2_part_02.html","s2_02_narrow_left",5,"Delft
(NL)",146
"table_s2_part_02.html","s2_02_narrow_left",6,"Dortmund
(DE)",154
"table_s2_part_02.html","s2_02_narrow_left",7,"Tübingen
(DE)",138
"table_s2_part_02.html","s2_02_narrow_left",8,"Munich
(DE)",146
"table_s2_part_02.html","s2_02_narrow_left",9,"Madrid
(ES)",138
"table_s2_part_02.html","s2_02_narrow_left",10,"Izmir
(TR)",146
"table_s2_part_02.html","s2_02_narrow_left",11,"San José
(CR)",138
"table_s2_part_02.html","s2_02_narrow_left",12,"Kumasi
(GH)",130
"table_s2_part_02.html","s2_02_narrow_left",13,"Scaling2",120
"table_s2_part_02.html","s2_02_narrow_left",14,"Distribution3",252.0078125
"table_s2_part_02.html","s2_02_narrow_right_final",1,"Metric1",210
"table_s2_part_02.html","s2_02_narrow_right_final",2,"Unit",86
"table_s2_part_02.html","s2_02_narrow_right_final",3,"Overall",138
"table_s2_part_02.html","s2_02_narrow_right_final",4,"Borås
(SE)",146
"table_s2_part_02.html","s2_02_narrow_right_final",5,"Delft
(NL)",146
"table_s2_part_02.html","s2_02_narrow_right_final",6,"Dortmund
(DE)",154
"table_s2_part_02.html","s2_02_narrow_right_final",7,"Tübingen
(DE)",138
"table_s2_part_02.html","s2_02_narrow_right_final",8,"Munich
(DE)",146
"table_s2_part_02.html","s2_02_narrow_right_final",9,"Madrid
(ES)",138
"table_s2_part_02.html","s2_02_narrow_right_final",10,"Izmir
(TR)",146
"table_s2_part_02.html","s2_02_narrow_right_final",11,"San José
(CR)",138
"table_s2_part_02.html","s2_02_narrow_right_final",12,"Kumasi
(GH)",130
"table_s2_part_02.html","s2_02_narrow_right_final",13,"Scaling2",120
"table_s2_part_02.html","s2_02_narrow_right_final",14,"Distribution3",252.0078125
"table_s2_part_03.html","s2_03_desktop_left",1,"Metric1",210
"table_s2_part_03.html","s2_03_desktop_left",2,"Unit",86
"table_s2_part_03.html","s2_03_desktop_left",3,"Overall",138
"table_s2_part_03.html","s2_03_desktop_left",4,"Borås
(SE)",146
"table_s2_part_03.html","s2_03_desktop_left",5,"Delft
(NL)",146
"table_s2_part_03.html","s2_03_desktop_left",6,"Dortmund
(DE)",154
"table_s2_part_03.html","s2_03_desktop_left",7,"Tübingen
(DE)",138
"table_s2_part_03.html","s2_03_desktop_left",8,"Munich
(DE)",146
"table_s2_part_03.html","s2_03_desktop_left",9,"Madrid
(ES)",138
"table_s2_part_03.html","s2_03_desktop_left",10,"Izmir
(TR)",146
"table_s2_part_03.html","s2_03_desktop_left",11,"San José
(CR)",138
"table_s2_part_03.html","s2_03_desktop_left",12,"Kumasi
(GH)",130
"table_s2_part_03.html","s2_03_desktop_left",13,"Scaling2",120
"table_s2_part_03.html","s2_03_desktop_left",14,"Distribution3",252.0078125
"table_s2_part_03.html","s2_03_desktop_right",1,"Metric1",210
"table_s2_part_03.html","s2_03_desktop_right",2,"Unit",86
"table_s2_part_03.html","s2_03_desktop_right",3,"Overall",138
"table_s2_part_03.html","s2_03_desktop_right",4,"Borås
(SE)",146
"table_s2_part_03.html","s2_03_desktop_right",5,"Delft
(NL)",146
"table_s2_part_03.html","s2_03_desktop_right",6,"Dortmund
(DE)",154
"table_s2_part_03.html","s2_03_desktop_right",7,"Tübingen
(DE)",138
"table_s2_part_03.html","s2_03_desktop_right",8,"Munich
(DE)",146
"table_s2_part_03.html","s2_03_desktop_right",9,"Madrid
(ES)",138
"table_s2_part_03.html","s2_03_desktop_right",10,"Izmir
(TR)",146
"table_s2_part_03.html","s2_03_desktop_right",11,"San José
(CR)",138
"table_s2_part_03.html","s2_03_desktop_right",12,"Kumasi
(GH)",130
"table_s2_part_03.html","s2_03_desktop_right",13,"Scaling2",120
"table_s2_part_03.html","s2_03_desktop_right",14,"Distribution3",252.0078125
"table_s2_part_03.html","s2_03_narrow_left",1,"Metric1",210
"table_s2_part_03.html","s2_03_narrow_left",2,"Unit",86
"table_s2_part_03.html","s2_03_narrow_left",3,"Overall",138
"table_s2_part_03.html","s2_03_narrow_left",4,"Borås
(SE)",146
"table_s2_part_03.html","s2_03_narrow_left",5,"Delft
(NL)",146
"table_s2_part_03.html","s2_03_narrow_left",6,"Dortmund
(DE)",154
"table_s2_part_03.html","s2_03_narrow_left",7,"Tübingen
(DE)",138
"table_s2_part_03.html","s2_03_narrow_left",8,"Munich
(DE)",146
"table_s2_part_03.html","s2_03_narrow_left",9,"Madrid
(ES)",138
"table_s2_part_03.html","s2_03_narrow_left",10,"Izmir
(TR)",146
"table_s2_part_03.html","s2_03_narrow_left",11,"San José
(CR)",138
"table_s2_part_03.html","s2_03_narrow_left",12,"Kumasi
(GH)",130
"table_s2_part_03.html","s2_03_narrow_left",13,"Scaling2",120
"table_s2_part_03.html","s2_03_narrow_left",14,"Distribution3",252.0078125
"table_s2_part_03.html","s2_03_narrow_right_final",1,"Metric1",210
"table_s2_part_03.html","s2_03_narrow_right_final",2,"Unit",86
"table_s2_part_03.html","s2_03_narrow_right_final",3,"Overall",138
"table_s2_part_03.html","s2_03_narrow_right_final",4,"Borås
(SE)",146
"table_s2_part_03.html","s2_03_narrow_right_final",5,"Delft
(NL)",146
"table_s2_part_03.html","s2_03_narrow_right_final",6,"Dortmund
(DE)",154
"table_s2_part_03.html","s2_03_narrow_right_final",7,"Tübingen
(DE)",138
"table_s2_part_03.html","s2_03_narrow_right_final",8,"Munich
(DE)",146
"table_s2_part_03.html","s2_03_narrow_right_final",9,"Madrid
(ES)",138
"table_s2_part_03.html","s2_03_narrow_right_final",10,"Izmir
(TR)",146
"table_s2_part_03.html","s2_03_narrow_right_final",11,"San José
(CR)",138
"table_s2_part_03.html","s2_03_narrow_right_final",12,"Kumasi
(GH)",130
"table_s2_part_03.html","s2_03_narrow_right_final",13,"Scaling2",120
"table_s2_part_03.html","s2_03_narrow_right_final",14,"Distribution3",252.0078125
"table_s7_part_03.html","s7_03_desktop",1,"Photoperiod association (95% CI)",145
"table_s7_part_03.html","s7_03_desktop",2,"Photoperiod FDR-adjusted p",84
"table_s7_part_03.html","s7_03_desktop",3,"Latitude association per 10° (95% CI)",145
"table_s7_part_03.html","s7_03_desktop",4,"Latitude FDR-adjusted p",84.0078125
"table_s7_part_03.html","s7_03_narrow_left",1,"Photoperiod association (95% CI)",145
"table_s7_part_03.html","s7_03_narrow_left",2,"Photoperiod FDR-adjusted p",84
"table_s7_part_03.html","s7_03_narrow_left",3,"Latitude association per 10° (95% CI)",145
"table_s7_part_03.html","s7_03_narrow_left",4,"Latitude FDR-adjusted p",84.0078125
"table_s7_part_03.html","s7_03_narrow_right",1,"Photoperiod association (95% CI)",145
"table_s7_part_03.html","s7_03_narrow_right",2,"Photoperiod FDR-adjusted p",84
"table_s7_part_03.html","s7_03_narrow_right",3,"Latitude association per 10° (95% CI)",145
"table_s7_part_03.html","s7_03_narrow_right",4,"Latitude FDR-adjusted p",84.0078125
"table_s7_part_04.html","s7_04_desktop",1,"Photoperiod association (95% CI)",145
"table_s7_part_04.html","s7_04_desktop",2,"Photoperiod FDR-adjusted p",84
"table_s7_part_04.html","s7_04_desktop",3,"Latitude association per 10° (95% CI)",145
"table_s7_part_04.html","s7_04_desktop",4,"Latitude FDR-adjusted p",84.0078125
"table_s7_part_04.html","s7_04_narrow_left",1,"Photoperiod association (95% CI)",145
"table_s7_part_04.html","s7_04_narrow_left",2,"Photoperiod FDR-adjusted p",84
"table_s7_part_04.html","s7_04_narrow_left",3,"Latitude association per 10° (95% CI)",145
"table_s7_part_04.html","s7_04_narrow_left",4,"Latitude FDR-adjusted p",84.0078125
"table_s7_part_04.html","s7_04_narrow_right",1,"Photoperiod association (95% CI)",145
"table_s7_part_04.html","s7_04_narrow_right",2,"Photoperiod FDR-adjusted p",84
"table_s7_part_04.html","s7_04_narrow_right",3,"Latitude association per 10° (95% CI)",145
"table_s7_part_04.html","s7_04_narrow_right",4,"Latitude FDR-adjusted p",84.0078125
