check_id,status,expected,observed,detail
protected_tests_hypotheses_H01_test_h01_stage3_model_support_display_refresh_R,PASS,121135a4ea1c86cc6e11fc476615ee207fb34fe01270912d3f74ef2c8b5ad9cb,121135a4ea1c86cc6e11fc476615ee207fb34fe01270912d3f74ef2c8b5ad9cb,
manifest_reporting_classification,PASS,unique paths; mismatches=,rows=49; mismatches=,
manifest_stage3_classification,PASS,unique paths; mismatches=,rows=108; mismatches=,
manifest_preparation_classification,PASS,unique paths; mismatches=_build/nathealth/notebooks/hypotheses/H01.html|_quarto-nathealth.yml|scripts/hypotheses/H01/build_h01_stage3_reporting_inputs.R,rows=62; mismatches=_build/nathealth/notebooks/hypotheses/H01.html|_quarto-nathealth.yml|scripts/hypotheses/H01/build_h01_stage3_reporting_inputs.R,
manifest_worker_classification,PASS,unique paths; mismatches=_build/nathealth/notebooks/hypotheses/H01.html|_quarto-nathealth.yml,rows=1649; mismatches=_build/nathealth/notebooks/hypotheses/H01.html|_quarto-nathealth.yml,
manifest_reporting_notebooks_hypotheses_H01_qmd,PASS,one exact current source row,1 rows; exact= TRUE,
manifest_reporting_audit_hypotheses_H01_H01_analysis_preparation_qmd,PASS,one exact current source row,1 rows; exact= TRUE,
manifest_stage3_notebooks_hypotheses_H01_qmd,PASS,one exact current source row,1 rows; exact= TRUE,
manifest_stage3_audit_hypotheses_H01_H01_analysis_preparation_qmd,PASS,one exact current source row,1 rows; exact= TRUE,
historical_report016_order31f_31i_preservation,PASS,18 baseline worker identities exact,18 of 18 exact,
historical_report016_reconciliation_manifest,PASS,15f88d244450f380112f1ab7adfadade56f518ea43daf8ef4fb0454278cdd5bf,15f88d244450f380112f1ab7adfadade56f518ea43daf8ef4fb0454278cdd5bf,
manifest_reporting_authorized_row_diff,PASS,audit/hypotheses/H01/H01_analysis_preparation.qmd|notebooks/hypotheses/H01.qmd,audit/hypotheses/H01/H01_analysis_preparation.qmd|notebooks/hypotheses/H01.qmd,
manifest_reporting_reverse_proof,PASS,d0ed8e0c62579597f11c3fa701af35b5016e4921bee0000d2fd700b719f25079,d0ed8e0c62579597f11c3fa701af35b5016e4921bee0000d2fd700b719f25079,
manifest_stage3_authorized_row_diff,PASS,audit/hypotheses/H01/H01_analysis_preparation.qmd|notebooks/hypotheses/H01.qmd,audit/hypotheses/H01/H01_analysis_preparation.qmd|notebooks/hypotheses/H01.qmd,
manifest_stage3_reverse_proof,PASS,16e752b57eafa43b9cc09d70a698ba194cb3fe83dc62bf1bcc3e08c67f85eb6e,16e752b57eafa43b9cc09d70a698ba194cb3fe83dc62bf1bcc3e08c67f85eb6e,
manifest_preparation_authorized_row_diff,PASS,artifacts/12_manifests/H01_reporting_artifacts.csv|artifacts/12_manifests/H01_stage3_reporting_artifacts.csv|audit/hypotheses/H01/H01_analysis_preparation.qmd|notebooks/hypotheses/H01.qmd,artifacts/12_manifests/H01_reporting_artifacts.csv|artifacts/12_manifests/H01_stage3_reporting_artifacts.csv|audit/hypotheses/H01/H01_analysis_preparation.qmd|notebooks/hypotheses/H01.qmd,
manifest_preparation_reverse_proof,PASS,bae856c2bb75df317f476e7e993178061628c0fcdbc6795a4b88f78843f8d9d0,bae856c2bb75df317f476e7e993178061628c0fcdbc6795a4b88f78843f8d9d0,
focused_test_reporting,PASS,exit status 0,0,H01 reporting input and HTML structure tests passed
focused_test_preparation_source_only,PASS,exit status 0,0,"H01 preparation source-only report passed: 2 figure endpoints, 20 gt-table endpoints, and current source dependencies verified"
focused_test_report016,PASS,exit status 0,0,H01 REPORT-016 deviation reconciliation checks passed: 1161 protected scientific artifacts unchanged
focused_test_display_refresh_unchanged,PASS,exit status 0,0,H01 Stage 3 model-support display refresh checks passed: 136 frozen cells and title-only PNG/SVG change
scoped_git_diff_check,PASS,exit status 0,0,
